BUSINESS PLAN QUARTERLY DATA SUMMARY -  APRIL 2012,,,,,,,,,,,,,,,,,,

SPENDING,,,,,,,,,,,RESULTS,,,,PEOPLE,,,

Budget,,,£million,,,Common Areas of Spend,,Q3 2011-12,Q2 2011-12,,Input Indicators,Current,Previous,,Whole Department Family - Workforce Size ,,Current,Previous
Financial Indicators,,,Q3 2011-12,Q2 2011-12,,Future Strategic Aiercraft Tanker (£million),,,"11,900.00",,"8a  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Royal Navy   (%, current = Q4 2010-11)",09/12/1947,not applicable,,"Attendance (AWDL) (current = at 31 Dec 2011, previous = at 30 Sept 2011)",Actual,8.2,8.1
Accuracy of Cash Forecasting ( +/- %),,,4.13,3.43,,Astute Submarine (£million),,,"6,700.00",,"8b  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Army   (%, current = Q4 2010-11)",31/46/62,not applicable,,,Standardised,Not Applicable,Not Applicable
Working Capital Forecast (% variance of Actual v Forecast),,,-0.01,3.61,,Type 45 Destroyer (£million),,,"6,500.00",,"8c  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Royal Air Force   (%, current = Q4 2010-11)",25/14/15,not applicable,,Department only; People Survey Metrics,,2011 survey,2010 survey
Net Book Value (% variance of Actual v Forecast),,,-0.79,3.88,,Queen Elizabeth Class Aircraft Carrier (£million),,,"5,900.00",,"9  Percentage of Service personnel (Officers / Other Ranks) who are satisfied with Service life in general   (%, current = 2011, previous=2010)",62/56,70/57,,Engagement Index (%),,53,58
,,,,,,£m whole life cost of ALL major projects,,,"67,100.00",,"10  Overall favourability of the UK Armed Forces   (%, current = Q4 2010-11, previous = Q4 2009-10)",88,82,,Theme scores  (%),Leadership and Managing Change,22,25
,,,,,,,,,,,Structural Reform Plan Actions,Q4 2011-12,Q3 2011-12,,,My Work,70,73
"Notes: 
(1) For more information on time periods, please refer to measurement annex;
(2) Numbers may not sum to totals due to rounding;
(3) For cells that are marked as 'not applicable' please refer to measurement annex  for specific reasons;
(4) For cells that are marked with a QDS number and a year (e.g. QDS4 2011-12) refers to the future QDS publication that the department will be able to provide the missing data. Please refer to measurement annex for specific reasons for this missing data;
(5) Cells coloured 'white' indicate missing data cells;
(6) Cells coloured ""light grey"" indicate where data does not conform to the techincal definition requested, please refer to the measurement annex for specific reasons;
(7) Further information on input and impact indicators visit: http://www.mod.uk/NR/rdonlyres/455FA472-13BF-43AC-9C88-2704DA941332/0/20110506_business_plan_measurement_template.pdf;
(8) Further information on the Structural Reform Plan Actions visit: http://transparency.number10.gov.uk/transparency/srp;
(9) Please refer to the 'People' Section fo rthe Civilian statistics.

 
",,,,,,,,,,,Total number of actions completed over the quarter,4,8,,,My Line Manager,60,61
,,,,,,,,,,,Total number of actions overdue at the end of the quarter,1,1,,,Organisational Objectives & Purpose,76,80
,,,,,,,,,,,Number of overdue actions that are attributable to external factors,1,1,,"Contact details:
Public enquires: Members of the public should contact DefRes-AnnualReportAccounts@mod.uk
Press enquiries: Members of the media should contact the News Desk on 020 7218 7907.",,,
,,,,,,,,,,,Total number of actions ongoing,40,43,,,,,
,,,,,,,,,,,Total number of actions in the business plan that have yet to start,15,16,,,,,

"Any interpretation of this management information must give careful consideration to the caveats noted in the measurement annex. Many of the measures are not yet directly comparable because they do not have common definitions, time periods, or data collection processes.",,,,,,,,,,,,,,,,,,
