Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Supplier Type,Expenditure Type
DCLG,The Planning Inspectorate,13/01/2012,Specialist Contractors,NSI Fees,ERIMAX LTD,103,"2,755.20",Micro,Running cost
DCLG,The Planning Inspectorate,13/01/2012,Specialist Contractors,Tree Preservation Orders,ALAN J ENGLEY & ASSOCIATES,507,"2,143.68",Micro,Running cost
DCLG,The Planning Inspectorate,13/01/2012,Post & Courier,Estates,CITY LINK BRISTOL,60885359,"1,547.11",Large,Running cost
DCLG,The Planning Inspectorate,13/01/2012,Specialist Contractors,NSI Fees,LEIGH & GLENNIE LTD,1824,"1,310.40",Micro,Running cost
DCLG,The Planning Inspectorate,13/01/2012,Specialist Contractors,NSI Fees,FITZSIMON PLANNING & DEVELOPMENT,PINS/12/003,504.00,Micro,Running cost
DCLG,The Planning Inspectorate,16/01/2012,Specialist Contractors,NSI Fees,G POWYS JONES,2012(01),"6,081.60",Micro,Running cost
DCLG,The Planning Inspectorate,16/01/2012,Specialist Contractors,Tree Preservation Orders,P G BIDDLE,2012/2,"1,355.20",Micro,Running cost
DCLG,The Planning Inspectorate,16/01/2012,Specialist Contractors,NSI Fees,SIMON MILES PLANNING,PINS/2012/01,"1,288.00",Micro,Running cost
DCLG,The Planning Inspectorate,16/01/2012,Specialist Contractors,NSI Fees,DC PLANNING LTD,12/970,"1,276.80",Micro,Running cost
DCLG,The Planning Inspectorate,16/01/2012,Specialist Contractors,NSI Fees,EVANS PLANNING & DEVELOPMENT CONSULTANCY,2306,"1,276.80",Micro,Running cost
DCLG,The Planning Inspectorate,16/01/2012,Specialist Contractors,NSI Fees,MIKE CROFT,PINS075,840.00,Micro,Running cost
DCLG,The Planning Inspectorate,16/01/2012,Specialist Contractors,NSI Fees,BROOKES ASSOCIATES,PINS1/12,784.00,Micro,Running cost
DCLG,The Planning Inspectorate,16/01/2012,Specialist Contractors,NSI Fees,G POWYS JONES,2012(01),526.74,Micro,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Networking,Information Services,CABLE & WIRELESS COMMUNICATION,UK10/012012/7724,"35,553.60",Large,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Networking,Information Services,CABLE & WIRELESS COMMUNICATION,UK10/102011/6715,"9,072.00",Large,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Records Storage,Admin Support,TNT UK LTD,0116788,"5,119.96",Large,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Specialist Contractors,IS Projects,CAPITA RESOURCING,WN70106314,"4,536.68",Large,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Specialist Contractors,NSI Fees,DAVID HAINSWORTH,60,"3,897.60",Micro,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Specialist Contractors,NSI Fees,K2,21,"3,276.00",Micro,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Specialist Contractors,Human Resources,CAPITA RESOURCING,WN70106313,"2,393.81",Large,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Specialist Contractors,NSI Fees,BROOKES ASSOCIATES,PINS11/11,"1,764.00",Micro,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Specialist Contractors,NSI Fees,JULIE GERMAN,201176,"1,260.00",Micro,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Specialist Contractors,NSI Fees,CARBROOK ASSOCIATES,2/12/PINS,952.00,Micro,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Specialist Contractors,NSI Fees,K2,21,568.83,Micro,Running cost
DCLG,The Planning Inspectorate,17/01/2012,Networking,Information Services,CABLE & WIRELESS COMMUNICATION,UK10/012012/7724,"-25,507.64",Large,Running cost
DCLG,The Planning Inspectorate,18/01/2012,Interpretation & Translation Services,Director Wales,TROSOL,19031,"2,645.38",Small,Running cost
DCLG,The Planning Inspectorate,18/01/2012,Specialist Contractors,Tree Preservation Orders,ALAN J ENGLEY & ASSOCIATES,508,"1,995.84",Micro,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Systems Delivery,Information Services,INFOR GLOBAL SOLUTIONS (FARNBOROUGH II),11200158,"39,601.92",Large,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Specialist Contractors,NSI Fees,URBAN PLANNING UK,455/11,"4,300.80",Micro,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Building Management,Estates,TAYLOR WOODROW CONSTRUCTION,12010021,"3,022.79",Large,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Staff Training & Development,CX Office,INFRASTRUCTURE PLANNING COMMISSION,1800000009,"3,000.00",Undefined,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Specialist Contractors,NSI Fees,URBAN PLANNING UK,457/11,"2,352.00",Micro,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Specialist Contractors,NSI Fees,URBAN PLANNING UK,458/11,"2,284.80",Micro,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Specialist Contractors,NSI Fees,URBAN PLANNING UK,456/11,"2,284.80",Micro,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Specialist Contractors,NSI Fees,EGGLETON PLANNING & DESIGN,201,"2,184.00",Micro,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Specialist Contractors,NSI Fees,CHRIS CHECKLEY,52.11.PINS,"1,960.00",Micro,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Specialist Contractors,Tree Preservation Orders,BRIAN G CRANE & ASSOCIATES,646,"1,626.24",Micro,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Post & Courier,Estates,ROYAL MAIL,9037123191,"1,548.25",Large,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Specialist Contractors,NSI Fees,URBAN PLANNING UK,459/11,"1,512.00",Micro,Running cost
DCLG,The Planning Inspectorate,19/01/2012,Specialist Contractors,NSI Fees,CHRIS CHECKLEY,53.11.PINS,"1,400.00",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,RICHARD J MAILE,RJM.CJS.01267,"2,688.00",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Telecoms,Admin Support,VODAFONE - CORPORATE LTD,61959978,"1,958.10",Large,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,DESIGN 2,100/189,"1,948.80",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,PHILIPPA JARVIS,373,"1,680.00",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,CARBROOK ASSOCIATES,1/12/PINS,"1,624.00",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,ROGER DEAN,RGD/P/JAN/12,"1,624.00",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Post & Courier,Estates,CITY LINK BRISTOL,60894246  CN960011176,"1,370.23",Large,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,DGW PLANNING,90054,"1,285.20",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,L J E PLANNING LIMITED,2012/204,"1,276.80",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,ENERGIA CONSULTANTS LTD,ECL/PM/PINS/116,"1,176.00",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,THE STEP CONSULTANCY LTD,1269r,"1,176.00",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,C G DOWN,12001,"1,008.00",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,LEIGH & GLENNIE LTD,1826,"1,008.00",Micro,Running cost
DCLG,The Planning Inspectorate,20/01/2012,Specialist Contractors,NSI Fees,EGGLETON PLANNING & DESIGN,202,940.80,Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Building Management,Estates,TAYLOR WOODROW CONSTRUCTION,12010916,"35,453.64",Large,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Office Consumables,Admin Support,XMA,R077507,"3,207.72",Undefined,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Building Management,Estates,TAYLOR WOODROW CONSTRUCTION,12010916,"3,151.23",Large,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Specialist Contractors,NSI Fees,CHRISTOPHER GETHIN,PINS12/102,"2,856.00",Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Specialist Contractors,NSI Fees,JOHN BENTLEY,4,"2,373.00",Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Gas,Estates,CORONA ENERGY,06817009,"2,286.30",Large,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Specialist Contractors,NSI Fees,PETER HORRIDGE,11453,"2,016.00",Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Specialist Contractors,NSI Fees,THE STEP CONSULTANCY LTD,1271,"1,814.40",Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Specialist Contractors,NSI Fees,PETER HORRIDGE,11452,"1,780.80",Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Specialist Contractors,NSI Fees,SCOTTS PLANNING SERVICES,10-12(I),"1,568.00",Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Specialist Contractors,NSI Fees,LESLIE G COOP,Pins 40,"1,512.00",Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Telecoms,Information Services,VODAFONE - CORPORATE LTD,61979087,"1,341.90",Large,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Specialist Contractors,Tree Preservation Orders,KEITH RUSHFORTH,3158,"1,256.64",Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Specialist Contractors,NSI Fees,ARROWSMITH ASSOCIATES,1473,"1,176.00",Micro,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-24078338,650.30,Large,Running cost
DCLG,The Planning Inspectorate,23/01/2012,Office Machines,Director Wales,RICOH UK LTD,86793055,631.30,Large,Running cost
DCLG,The Planning Inspectorate,40932,Telecoms,Admin Support,VODAFONE - CORPORATE LTD,61959967,"4,117.59",Large,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,RICHARD J MAILE,1268,"2,620.80",Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,THE TYLER PARKS PARTNERSHIP,9971a,"2,184.00",Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,Tree Preservation Orders,QUAIFE WOODLANDS,PP061,"1,995.84",Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,WRIGHT PLANNING,3,"1,806.00",Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,URBAN PLANNING UK,460/12,"1,780.80",Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,DAVID HAINSWORTH,61,"1,377.60",Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,HIGH ASSOCIATES,2/2012,"1,276.80",Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,E C PLANNING & CONSERVATION LTD,00037,"1,064.00",Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,WILLIAM FIELDHOUSE,WF/NSI/2011-5,"1,064.00",Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,JIM METCALF,PINS/43,980.00,Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,NICK TAYLOR PLANNING & REGENERATION LTD,002-12,714.00,Micro,Running cost
DCLG,The Planning Inspectorate,40932,Specialist Contractors,NSI Fees,H J L PLANNING,PI/052/JANUARY 12 (1),560.00,Micro,Running cost
DCLG,The Planning Inspectorate,40933,Print,Admin Support,TAURUS PRINT & DESIGN LIMITED,22479,"2,093.04",Small,Running cost
DCLG,The Planning Inspectorate,40933,Office Machines,Information Services,RICOH UK LTD,86793062,"1,861.60",Large,Running cost
DCLG,The Planning Inspectorate,40933,Office Machines,Information Services,RICOH UK LTD,86793059,"1,840.87",Large,Running cost
DCLG,The Planning Inspectorate,40933,Office Machines,Information Services,RICOH UK LTD,86793058,"1,593.20",Large,Running cost
DCLG,The Planning Inspectorate,40933,Office Machines,Information Services,RICOH UK LTD,86793063,"1,507.77",Large,Running cost
DCLG,The Planning Inspectorate,40933,Print,Admin Support,TAURUS PRINT & DESIGN LIMITED,22479,"1,175.63",Small,Running cost
DCLG,The Planning Inspectorate,40933,Office Machines,Information Services,RICOH UK LTD,86793060,966.21,Large,Running cost
DCLG,The Planning Inspectorate,40933,Staff Training & Development,Business Planning & Finance,BPP BRISTOL,SIBRS038470,949.98,Large,Running cost
DCLG,The Planning Inspectorate,40934,Office Machines,Information Services,RICOH UK LTD,86806701,"4,495.35",Large,Running cost
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,FITZSIMON PLANNING & DEVELOPMENT,PINS/12/004,"3,360.00",Micro,Running cost
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,DLP PLANNING LTD,19454,"2,553.60",Micro,Running cost
DCLG,The Planning Inspectorate,40934,Systems Delivery,Capital,CACI LTD,ES03780,"2,490.00",Large,Capital
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,JDA DEVELOPMENT & PLANNING SERVICE,544,"2,184.00",Micro,Running cost
DCLG,The Planning Inspectorate,40934,Post & Courier,Estates,CITY LINK BRISTOL,60903554,"1,797.67",Large,Running cost
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,BARRETT CONSERVATION & PLANNING,PINS/RMB/111214,"1,142.40",Micro,Running cost
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,BARRETT CONSERVATION & PLANNING,PINS/RMB/111123,"1,142.40",Micro,Running cost
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,IMCH PLANNING & DEVELOPMENT CONSULTANCY,05/01,"1,142.40",Micro,Running cost
DCLG,The Planning Inspectorate,40934,Post & Courier,Estates,ROYAL MAIL,9037220372,"1,100.04",Large,Running cost
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,DGW PLANNING,90055,"1,024.80",Micro,Running cost
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,DAVIES J,01/2012,952.00,Micro,Running cost
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,BARRETT CONSERVATION & PLANNING,PINS/RMB/111207,856.80,Micro,Running cost
DCLG,The Planning Inspectorate,40934,Specialist Contractors,NSI Fees,LEIGH & GLENNIE LTD,1827,504.00,Micro,Running cost
DCLG,The Planning Inspectorate,40935,Telecoms,Estates,HIGHWAYS AGENCY,49635,"5,116.49",Public Sector,Running cost
DCLG,The Planning Inspectorate,40935,Telecoms,Estates,HIGHWAYS AGENCY,49636,"3,519.97",Public Sector,Running cost
DCLG,The Planning Inspectorate,40935,Specialist Contractors,NSI Fees,CLARK PLANNING CONSULTANT LTD,12/002,"2,240.00",Micro,Running cost
DCLG,The Planning Inspectorate,40935,Telecoms,Estates,HIGHWAYS AGENCY,49634,"1,952.75",Public Sector,Running cost
DCLG,The Planning Inspectorate,40935,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-24114620,650.30,Large,Running cost
