"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Profession"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","B1","56436","72185","Office Manager","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","B2","47942","59535","Office Manager","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","C1","35648","44268","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","D","23427","29093","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","E1","17835","22124","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","E2","15168","18815","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OF3","47760","57200","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OF3","47760","57200","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OR4","26405","33182","Senior Staff Outer Office","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OR6","30013","36929","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123043","OR7","33223","36929","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","C1","35648","44268","Finance Resources and Plans","1.00","Planning"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","C2","29258","36333","Finance Resources and Plans","4.00","Planning"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","D","23427","29093","Finance Resources and Plans","3.00","Planning"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","E2","15168","18815","Finance Resources and Plans","1.00","Planning"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","Physiotherapist Advanced","30460","40157","Finance Resources and Plans","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","Nurse Specialist (GP Practice)","25472","34189","Finance Resources and Plans","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","Pharmacy Technician","18152","21798","Finance Resources and Plans","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","OF2","37916","45090","Finance Resources and Plans","11.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","OF3","47760","57200","Finance Resources and Plans","10.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","OF4","67032","77617","Finance Resources and Plans","13.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","OF5","81310","89408","Finance Resources and Plans","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","OR2","17015","28939","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","OR4","26405","33182","Finance Resources and Plans","12.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","OR6","30013","36929","Finance Resources and Plans","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","OR7","33223","36929","Finance Resources and Plans","8.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","OR9","38600","46753","Finance Resources and Plans","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121945","Civilian Medical Practitioner","65071","77303","Finance Resources and Plans","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","E1","17835","22124","Personal Secretary","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","B1","56436","72185","Assistant Head","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","B2","47942","59535","Third Sector","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","B2","47942","59535","News Editor","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","B2","47942","59535","Media and Comms","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","B2","47942","59535","Legal Adviser","1.00","Law"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","B2","47942","59535","Executive Assistant","7.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","C1","35648","44268","Secretariat","18.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","C1","35648","44268","Deputy News Editor","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","C1","35648","44268","Legal Adviser","1.00","Law"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","C1","35648","44268","Public Relations Officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","C2","29258","36333","Secretariat","30.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","D","23427","29093","Secretariat","32.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","E1","17835","22124","Secretariat","29.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","E2","15168","18815","Secretariat","11.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","D","23427","29093","Secretariat","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","E1","17835","22124","Secretariat","6.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","OF2","37916","45090","Secretariat","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","OF3","47760","57200","Media and Comms","3.00","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","OF4","67032","77617","Media and Comms","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","OF5","81310","89408","Media and Comms","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","OR6","30013","36929","Secretariat","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","Retired Offr 2","30136","34936","Secretariat","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","SZ1","14644","16482","General Hand","12.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","SZ2","16002","18010","General Hand","8.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","B2","47942","59535","Enabling Services","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","C1","35648","44268","Enabling Services","4.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","C2","29258","36333","Enabling Services","18.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","D","23427","29093","Enabling Services","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","E1","17835","22124","Enabling Services","6.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","E2","15168","18815","Enabling Services","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","OF4","67032","77617","Enabling Services","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","OF5","81310","89408","Enabling Services","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","OR4","26405","33182","Enabling Services","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","OR9","38600","46753","Enabling Services","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155422","SZ2","16002","18010","General Hand","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","B1","56436","72185","Finance Resources and Plans","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","B2","47942","59535","Finance Resources and Plans","3.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","C1","35648","44268","Finance Resources and Plans","9.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","C2","29258","36333","Finance Resources and Plans","18.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","D","23427","29093","Finance Resources and Plans","30.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","E1","17835","22124","Finance Resources and Plans","28.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","E2","15168","18815","Finance Resources and Plans","3.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","OF2","37916","45090","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","OF3","47760","57200","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","155423","OR7","33223","36929","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","C2","29258","36333","Estates/Property Manager","3.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","D","23427","29093","Administrator","12.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","E1","17835","22124","Administrator","47.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","E2","15168","18815","Administrator","14.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Physiotherapist Advanced","30460","40157","NHS/Retained Grade","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Retired Offr 3","25600","27973","Retired Officer (MSF)","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Retired Offr 3","25600","27973","Retired Officer (MSF)","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OF1","24615","32703","Other","40.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OF2","37916","45090","Other","105.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OF2","37916","45090","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OF3","47760","57200","Other","54.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OF4","67032","77617","Other","10.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OF5","81310","89408","Other","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OR2","17015","28939","Other","2100.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OR4","26405","33182","Other","558.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OR6","30013","36929","Other","265.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OR7","33223","36929","Other","132.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OR8","36049","43252","Other","83.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OR9","38600","46753","Other","9.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OR6 (RAF)","30013","36929","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Social Worker","23427","32440","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Social Worker","23427","32440","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","Civilian Medical Practitioner","65071","77303","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","SZ1","14644","16482","General Hand","13.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","SZ2","16002","18010","General Hand","36.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","SZ3","17486","22150","General Hand","46.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","SZ4","22150","24930","General Hand","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1127695","OR4 (ARMY)","26405","33182","Front Line Military","1723.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","E1","17835","22124","Personal Secretary","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OF1","24615","32703","Other","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OF2","37916","45090","Other","251.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OF3","47760","57200","Other","144.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OF4","67032","77617","Other","39.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OF5","81310","89408","Other","10.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OR1","17015","28939","Other","457.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OR2","17015","28939","Other","1861.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OR4","26405","33182","Other","1329.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OR6","30013","36929","Other","648.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OR7","33223","36929","Other","402.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OR8","36049","43252","Other","116.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OR9","38600","46753","Other","40.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OF4 (RAF)","67032","77617","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OF2 (RAF)","37916","45090","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086570","OR7 (RAF)","33223","43252","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","E1","17835","22124","Personal Secretary","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","E2","15168","18815","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OF2","37916","45090","Other","113.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OF3","47760","57200","Other","38.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OF4","67032","77617","Other","10.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OF5","81310","89408","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OR1","17015","28939","Other","107.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OR2","17015","28939","Other","462.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OR4","26405","33182","Other","289.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OR6","30013","36929","Other","152.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OR7","33223","36929","Other","162.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OR8","36049","43252","Other","54.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1591647","OR9","38600","46753","Other","18.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","D","23427","29093","Administrator","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","Fast Stream Grade Band C2","29258","34936","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","E2","15168","18815","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF2","37916","45090","Senior Staff Outer Office","60.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF3","47760","57200","Senior Staff Outer Office","50.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF4","67032","77617","Senior Staff Outer Office","22.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF5","81310","89408","Senior Staff Outer Office","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","C2","29258","36333","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR2","17015","28939","Senior Staff Outer Office","52.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR4","26405","33182","Senior Staff Outer Office","53.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR6","30013","36929","Senior Staff Outer Office","46.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR7","33223","36929","Senior Staff Outer Office","20.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR8","36049","43252","Senior Staff Outer Office","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR9","38600","46753","Senior Staff Outer Office","15.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR4 (RAF)","26405","33182","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR6 (RAF)","30013","36929","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR7 (RAF)","33223","43252","Senior Staff Outer Office","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","E1","17835","22124","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","E1","17835","22124","Administrator","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","E1","17835","22124","Senior Staff Outer Office","4.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","E2","15168","18815","Senior Staff Outer Office","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OF1","24615","32703","Other","11.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OF2","37916","45090","Other","226.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OF3","47760","57200","Other","133.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OF4","67032","77617","Other","28.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OF5","81310","89408","Other","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OR1","17015","28939","Other","482.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OR2","17015","28939","Other","1700.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OR4","26405","33182","Other","1201.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OR6","30013","36929","Other","640.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OR7","33223","36929","Other","278.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OR8","36049","43252","Other","67.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OR9","38600","46753","Other","46.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OF2 (RAF)","37916","45090","Other","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","OR6 (RAF)","30013","36929","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","SZ2","16002","18010","General Hand","5.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1086257","SZ3","17486","22150","General Hand","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","E1","17835","22124","Administrator","3.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","E2","15168","18815","Administrator","3.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF1","24615","32703","Other","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF2","37916","45090","Other","26.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF3","47760","57200","Other","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF4","67032","77617","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF5","81310","89408","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR2","17015","28939","Other","385.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR4","26405","33182","Other","78.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR6","30013","36929","Other","25.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR7","33223","36929","Other","12.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR8","36049","43252","Other","9.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR9","38600","46753","Other","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","SZ2","16002","18010","General Hand","4.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","SZ3","17486","22150","General Hand","4.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","E1","17835","22124","Personal Secretary","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OF2","37916","45090","Senior Staff Outer Office","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OF3","47760","57200","Senior Staff Outer Office","18.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OF4","67032","77617","Senior Staff Outer Office","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
