BUSINESS PLAN QUARTERLY DATA SUMMARY - APRIL 2012,,,,,,,,,,,,,,,,,,

SPENDING,,,,,,,,,,,RESULTS,,,,PEOPLE,,,

Budget,,,£million,,,Common Areas of Spend,,Q3 2011-12,Q2 2011-12,,Input Indicators,Current,Previous,,Whole Department Family - Workforce Size ,,Current,Previous
,B: Royal Mail,,-205.89,681.18,,,Procurement spend with VCS (£million),0.11,0.06,,"8. Ease of doing business in the UK, ranking of UK on World Bank Doing Business Report (ranking, current = 2011, previous = 2010) ",5th,4th,,"Workforce Diversity
[Senior Civil Servants only]
(%, current = at 31 Dec 2011, previous = at 30 Sept 2011)",Black and Minority Ethnic,3.4,4
,C: Redundancy Payments Service,,75.08,92.31,,,Grants to VCS (£million),11.7,10,,"9. Change in the net regulatory burden imposed on business by Government (a reduction of £billion, current = January 2011 to June 2012, previous = January to December 2011) ",3.3,3.2,,,Women,38.8,40
,D: Paternity Pay,,27.83,14.93,,Major Projects (Top 5),,,Cost,,"10. Change in employment regulatory burden imposed on business by Government, measured from baseline provided by OECD Indicators of Employment Protection  (An increase of £million, current = Jan 2011-June 2012, previous = Jan-Dec 2011) ",3.3,8,,,Women (Top Management Posts),22,26.8
,E: Construction Industry Training Board,,-22.55,-13.38,,Higher Education Programme (£million),,,"4,600.00",,"11. Openness to Trade: Exports plus imports as a share of GDP, ranked against major competitors  (%, current = 2010, previous = 2009)",62.26,58.17,,,Disabled,4,4.7
Financial Indicators,,,Q3 2011-12,Q2 2011-12,,Green Investment Bank (£million),,,"1,857.00",,"12. The value of the consumer benefits of the competition regime (£million, current = 2010-11, previous = 2009-10) ",689,739,,"Attendance (AWDL) (current = at 31 Dec 2011, previous = at 30 Sept 2011)",Actual,6.8,6.4
Accuracy of Cash Forecasting ( +/- %),,,1.19,2.61,,Further Education Capital (£million),,,"1,934.00",,Structural Reform Plan Actions,Q4 2011-12,Q3 2011-12,,,Standardised,8.8,7.5
Working Capital Forecast (% variance of Actual v Forecast),,,QDS2 2012-13,,,Further Education Loans (£million),,,578.05,,Total number of actions completed over the quarter,29,46,,Department only; People Survey Metrics,,2011 survey,2010 survey
Net Book Value (% variance of Actual v Forecast),,,QDS2 2012-13,,,Technology and Innovation Centres (£million),,,over 200,,Total number of actions overdue at the end of the quarter,0,1,,Engagement Index (%),,49,50
,,,,,,£m whole life cost of ALL major projects,,,"9,766.87",,Number of overdue actions that are attributable to external factors,0,0,,Theme scores  (%),Leadership and Managing Change,33,36
,,,,,,,,,,,Total number of actions ongoing,42,71,,,My Work,74,71
"Notes: 
(1) For more information on time periods, please refer to measurement annex;
(2) Numbers may not sum to totals due to rounding;
(3) For cells that are marked as 'not applicable' please refer to measurement annex  for specific reasons;
(4) For cells that are marked with a QDS number and a year (e.g. QDS4 2011-12) refers to the future QDS publication that the department will be able to provide the missing data. Please refer to measurement annex for specific reasons for this missing data;
(5) Cells coloured 'white' indicate missing data cells;
(6) Cells coloured ""light grey"" indicate where data does not conform to the technical definition requested, please refer to the measurement annex for specific reasons;
(7) Further information on input and impact indicators visit: http://www.bis.gov.uk/about/performance-reports/performance-indicators;
(8) Further information on the Structural Reform Plan Actions visit: http://transparency.number10.gov.uk/transparency/srp;",,,,,,,,,,,Total number of actions in the business plan that have yet to start,0,0,,,My Line Manager,65,66
,,,,,,,,,,,,,,,,Organisational Objectives & Purpose,74,73
,,,,,,,,,,,,,,,"Contact details:
Public enquires: Members of the public should contact 020 7215 5809 or 020 7215 6740 (Minicom).
Press enquiries: Members of the media should contact the News Desk on 020 7215 5078",,,



"Any interpretation of this management information must give careful consideration to the caveats noted in the measurement annex. Many of the measures are not yet directly comparable because they do not have common definitions, time periods, or data collection processes.",,,,,,,,,,,,,,,,,,

