Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher, SumOfAmount 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16566, 800.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Contract Labour,Operations,FORESIGHT AUDIO VISUAL LTD,16567, 212.50 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Commission,Interface,GovNet Communications,16570, 500.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Maintenance,Operations,LOMART LTD,16571, 590.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Training,Administration,CADline Ltd,16572," 1,485.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Time & Labour,Event Management,GALLOWGLASS LIMITED,16573, 240.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Equipment Hire,ITC Department,AUDIOLINK LTD,16574, 223.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16575, 600.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,18/07/2012,Cost of Sales - Equipment Hire,Interface,LOCK ON PRODUCTIONS LTD,16577," 2,150.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Cost of Sales - Commission,Commercial,Zibrant Limited,16579, 554.04 
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Cost of Sales - Commission,Commercial,Zibrant Limited,16580,-298.50 
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Marketing,Commercial,HENDERSON WEB DESIGN LTD,16581, 500.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Audit Costs,Administration,NATIONAL AUDIT OFFICE,16582," 35,000.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Cost of Sales - Commission,Commercial,GovNet Communications,16583," 1,303.35 "
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Cost of Sales - Commission,Commercial,GovNet Communications,16584," 1,651.85 "
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Cost of Sales - Commission,Commercial,GovNet Communications,16585," 1,257.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16586, 618.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16587, 618.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Travel,Interface,GREATER LONDON HIRE LTD,16588, 84.57 
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Travel,Event Management,GREATER LONDON HIRE LTD,16588, 947.81 
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Cost of Sales - Rechargeable Expenses,Interface,GREATER LONDON HIRE LTD,16588, 30.96 
Communities And Local Government,Queen Elizabeth II Conference Centre,19/07/2012,Cost of Sales - Commission,Commercial,Banks Sadler Limited,16589," 1,414.80 "
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2012,Lighting Equipment,Interface,PULSAR LIGHT OF CAMBRIDGE LTD,16592," 12,843.81 "
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2012,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,16593," 12,437.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2012,Maintenance,Interface,Freelancer,16594, 400.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16596, 850.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,16597, 235.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2012,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,16601," 6,678.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2012,Cost of Sales - Freelance Technicians,Interface,THE KEW WORKSHOP COMPANY LTD,16601," 1,560.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2012,Maintenance,Operations,OFFICE FURNITURE ONLINE,16602, 495.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2012,Postage,Event Management,FP MAILING (SOUTH) LIMITED,16603, 235.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2012,Maintenance,Operations,OFFICE FURNITURE ONLINE,16604, 495.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2012,Consultants,Commercial,BDRC CONTINENTAL LTD,16605, 430.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,24/07/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,16607, 470.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,25/07/2012,Cost of Sales - Equipment Hire,Interface,RICHARD MARTIN LIGHTING LTD,16608, 434.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,25/07/2012,Marketing,Commercial,Union of International Associations,16610," 1,599.10 "
Communities And Local Government,Queen Elizabeth II Conference Centre,25/07/2012,Business Rates,Administration,CITY OF WESTMINSTER,16611," 50,631.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Cost of Sales - Freelance Technicians,Interface,AUDIO & INTERPRETATION SERVICES LTD,16613," 3,900.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Cost of Sales - Equipment Hire,Interface,AUDIO & INTERPRETATION SERVICES LTD,16613," 2,120.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Maintenance,Interface,AC ENTERTAINMENT TECHNOLOGIES LTD,16615, 492.50 
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,IT Equipment Maintenance,ITC Department,EVENT MERCHANDISING LTD,16616, 247.49 
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Consultants,Administration,FAIRHURST,16617, 550.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Maintenance,Interface,FELTECH ELECTRONICS LTD,16618, 450.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Maintenance,Operations,GLAZING REFURBISHMENT LTD,16619," 3,120.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Maintenance,Operations,GLAZING REFURBISHMENT LTD,16620," 4,400.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Cleaners & Porters,Event Management,INTERSERVE PLC,16621," 38,218.42 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Maintenance,Operations,INTERSERVE PLC,16621," 16,946.82 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Security,Operations,INTERSERVE PLC,16621," 30,523.57 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Security,Operations,INTERSERVE PLC,16622," 30,523.57 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Cleaners & Porters,Event Management,INTERSERVE PLC,16622," 38,218.42 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Maintenance,Operations,INTERSERVE PLC,16622," 16,946.82 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Maintenance,Operations,INTERSERVE PLC,16623, 424.53 
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Maintenance,Operations,INTERSERVE PLC,16624, 920.78 
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16626, 400.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Consumables,ITC Department,Skye Direct Ltd,16627," 1,519.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,IT Equipment Maintenance,ITC Department,STRAWBERRY GLOBAL TECHNOLOGY LTD,16628," 1,056.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Maintenance,Operations,The Air Conditioning Company,16629," 1,566.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Cost of Sales - Freelance Technicians,Interface,THE KEW WORKSHOP COMPANY LTD,16630, 180.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,01/08/2012,Cost of Sales - Signage,Interface,THE KEW WORKSHOP COMPANY LTD,16630, 900.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Consumables,Operations,A PERTON SIGNS LIMITED,16631," 1,528.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Cost of Sales - Signage,Interface,A PERTON SIGNS LIMITED,16631," 5,147.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Cost of Sales - Sets,Interface,A PERTON SIGNS LIMITED,16631," 3,412.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Cost of Sales - Freelance Technicians,Interface,Live Horizon Ltd,16633, 400.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16637, 600.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Consultants,Administration,TICKETT ENTERPRISES LTD,16639, 750.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Maintenance,Interface,VDC TRADING LIMITED,16640, 335.74 
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Consumables,ITC Department,VITESSE PLC,16642, 688.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Consumables,Commercial,WATTERSTON ASSOCIATES LTD,16643," 1,435.50 "
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Maintenance,Interface,WHITE LIGHT LTD,16644, 245.75 
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Maintenance,Operations,WIFI SPARK LTD,16646," 5,983.64 "
Communities And Local Government,Queen Elizabeth II Conference Centre,08/08/2012,Marketing,Commercial,HENDERSON WEB DESIGN LTD,16647," 2,475.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Marketing,Commercial,ANISEED PR LTD,16648," 2,520.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Cost of Sales - Freelance Technicians,Interface,AP SET CONSTRUCTION LTD,16649, 300.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Cost of Sales - Sets,Interface,AP SET CONSTRUCTION LTD,16649, 650.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Licence Costs,Administration,CITY OF WESTMINSTER (annual),16650, 350.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Licence Costs,Administration,DEPARTMENT OF ENVIRONMENT TRANSPORT & REGIONS,16653, 800.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Electricity,Operations,EDF ENERGY,16654," 37,007.78 "
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Consultants,Operations,ETON ENVIRONMENTAL SERVICES,16655," 11,200.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,IT Equipment Maintenance,ITC Department,INSIGHT DIRECT UK LTD,16657, 618.69 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Marketing,Commercial,PH Media Group,16659, 447.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Training,Administration,PURPLE GRIFFON LTD,16660, 995.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Maintenance,Operations,REAL ASSET MANAGEMENT PLC,16661, 325.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16662, 600.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Travel,Event Management,GREATER LONDON HIRE LTD,16663, 403.74 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Travel,Interface,GREATER LONDON HIRE LTD,16663, 53.61 
Communities And Local Government,Queen Elizabeth II Conference Centre,14/08/2012,Water,Operations,THAMES WATER UTILITIES LTD,16664," 4,832.81 "
Communities And Local Government,Queen Elizabeth II Conference Centre,15/08/2012,Published Material,Administration,BARCLAYCARD PROCUREMENT CARD,16667, 90.76 
Communities And Local Government,Queen Elizabeth II Conference Centre,15/08/2012,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,16667," 1,068.75 "
Communities And Local Government,Queen Elizabeth II Conference Centre,15/08/2012,Cost of Sales - Rechargeable Expenses,Interface,BARCLAYCARD PROCUREMENT CARD,16667, 196.67 
Communities And Local Government,Queen Elizabeth II Conference Centre,15/08/2012,Training,Administration,BARCLAYCARD PROCUREMENT CARD,16667, 416.66 
Communities And Local Government,Queen Elizabeth II Conference Centre,15/08/2012,Maintenance,Interface,BARCLAYCARD PROCUREMENT CARD,16667, 24.98 
Communities And Local Government,Queen Elizabeth II Conference Centre,15/08/2012,Stationery,Event Management,BARCLAYCARD PROCUREMENT CARD,16667, 470.57 
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,Gas,Operations,CORONA ENERGY,16668," 6,432.72 "
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,Staff Welfare,Administration,HEALTH MANAGEMENT LTD,16670, 261.10 
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,Cost of Sales - Equipment Hire,Interface,HIRE INTELLIGENCE INTERNATIONAL  LTD,16671," 2,000.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,Consumables,Interface,LE MARK GROUP,16672, 308.76 
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,Payroll Costs,Administration,LOGICA IT SERVICES UK LTD,16673, 398.02 
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,Payroll Costs,Administration,LOGICA IT SERVICES UK LTD,16674, 225.28 
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,Maintenance,Interface,Piks Ltd,16677, 389.63 
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,Maintenance,Interface,Piks Ltd,16678, 389.63 
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,Maintenance,Interface,Piks Ltd,16679, 372.41 
Communities And Local Government,Queen Elizabeth II Conference Centre,16/08/2012,IT Equipment Maintenance,ITC Department,RS COMPONENTS LTD,16680, 621.68 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2012,Audit Costs,Administration,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,16686," 6,987.55 "
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2012,Marketing,Commercial,Forum Events 2 Ltd,16687," 2,000.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2012,Maintenance,Operations,FURNITURE @ WORK LTD,16688, 446.50 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2012,Disposal Of Waste,Operations,PAKEX UK PLC,16689, 510.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2012,Training,Administration,Spearhead Training Group Ltd,16691, 995.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/08/2012,Maintenance,Operations,CHART INTERIORS,16692," 3,375.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,21/08/2012,Internet & Telecomms,ITC Department,VERIZON UK LIMITED,16693," 1,280.07 "
Communities And Local Government,Queen Elizabeth II Conference Centre,21/08/2012,Marketing,Commercial,VERIZON UK LIMITED,16693, 1.09 
Communities And Local Government,Queen Elizabeth II Conference Centre,21/08/2012,Marketing,Commercial,VOHM,16696, 500.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,21/08/2012,Marketing,Commercial,THE STATIONERY OFFICE LTD,16697, 500.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,21/08/2012,Consultants,Commercial,Lychee3 Solutions Ltd,16698," 2,000.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,21/08/2012,Consultants,Commercial,Jude Cosway Consultancy Services,16699," 1,685.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,21/08/2012,Advertising,Commercial,PATCH MEDIA LTD,16700," 2,145.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,21/08/2012,Consumables,Interface,LE MARK GROUP,16701, 308.76 
Communities And Local Government,Queen Elizabeth II Conference Centre,28/08/2012,Disposal Of Waste,Operations,BPR GROUP EUROPE LTD,16702," 1,088.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,28/08/2012,Maintenance,Interface,THE KEW WORKSHOP COMPANY LTD,16703," 4,616.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,28/08/2012,Consumables,ITC Department,VITESSE PLC,16705, 272.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,28/08/2012,Consumables,ITC Department,VITESSE PLC,16706, 432.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,28/08/2012,Advertising,Commercial,PATCH MEDIA LTD,16707,"-2,145.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,28/08/2012,Advertising,Commercial,PATCH MEDIA LTD,16708," 2,145.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16709, 400.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16710, 600.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Cost of Sales - Time & Labour,Event Management,MOORE PEOPLE KENNER LTD,16713," 2,240.25 "
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,16715," 2,108.42 "
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Audio Equipment,Interface,MERCURY AV LIMITED,16717," 3,408.50 "
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Maintenance,Interface,FORESIGHT AUDIO VISUAL LTD,16718," 1,080.50 "
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Payroll Costs,Administration,LOGICA IT SERVICES UK LTD,16721, 398.02 
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Payroll Costs,Administration,LOGICA IT SERVICES UK LTD,16722, 225.28 
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Maintenance,Interface,MERCURY AV LIMITED,16724, 294.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Consultants,Commercial,WATTERSTON ASSOCIATES LTD,16726," 1,435.50 "
Communities And Local Government,Queen Elizabeth II Conference Centre,04/09/2012,Security,Operations,INTERSERVE PLC,16727," 30,523.57 "
