ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Fire Service College,BUILDING REPAIR AND MAINTENANCE,KPR ENGINEERING (M&E) LTD.,"7,378.00"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,LAIDLAW SOLUTIONS,716.41
Fire Service College,BUILDING REPAIR AND MAINTENANCE,M G SIGNS LTD.,524.08
Fire Service College,BUILDING REPAIR AND MAINTENANCE,MINERVA SIMULATOR FACILITIES LTD,"7,175.62"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,P&J DUST EXTRACTION LTD.,793.76
Fire Service College,BUILDING REPAIR AND MAINTENANCE,PJT PUMPING SERVICES LTD.,"3,061.31"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,RIGGOTT & CO LTD,"1,511.64"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,SAFETY-KLEEN UK LTD,836.00
Fire Service College,BUILDING REPAIR AND MAINTENANCE,SENATE ELECTRICAL,"5,547.22"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,TEAM (EAA) LTD.,"4,659.01"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,TRENT VALLEY RESTORATION UK LTD,858.99
Fire Service College,BUILDING REPAIR AND MAINTENANCE,W.J. MORLEY & SONS,"1,340.00"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,WCS ENVIRONMENTAL LTD,"16,858.43"
Fire Service College,BUILDING REPAIR AND MAINTENANCE,XCALIBRE EQUIPMENT LTD,"6,506.29"
Fire Service College,CATERING,EUROPA FACILITIES MANAGEMENT LTD,"1,052,776.69"
Fire Service College,CATERING,T.W.O. SERVICES LTD,"26,192.01"
Fire Service College,CATERING,THE WELLINGTON INN,900.00
Fire Service College,CATERING,WRVS,625.00
Fire Service College,CLEANING,FOUR COUNTIES  POOL CARE,"2,255.31"
Fire Service College,CLEANING,PREMIERE PRODUCTS,"1,823.18"
Fire Service College,CLEANING,SMITHS OF THE FOREST OF DEAN LTD,"1,047.50"
Fire Service College,CLOTHING,BRISTOL UNIFORMS LTD,"18,526.60"
Fire Service College,CLOTHING,CLIFTON CANVAS DEVELOPMENTS LTD,"1,392.07"
Fire Service College,CLOTHING,DAVIES INDUSTRIAL & WELDING SUPPLIES LTD.,884.44
Fire Service College,CLOTHING,FAITHFUL LTD,562.71
Fire Service College,CLOTHING,FIRMIN & SONS PLC,538.50
Fire Service College,CLOTHING,GEORGE CARR & SONS (SAWS) LTD.,508.00
Fire Service College,CLOTHING,GREENHAM TRADING LTD   A/C F378003,"5,383.60"
Fire Service College,CLOTHING,JAMES HUNTER LTD.,"5,494.50"
Fire Service College,CLOTHING,LION APPAREL SYSTEMS LTD,631.25
Fire Service College,CLOTHING,LIQUAVISION,"3,350.00"
Fire Service College,CLOTHING,MIGTIGARC,707.54
Fire Service College,CLOTHING,MONSOON MARKETING LTD,"8,846.81"
Fire Service College,CLOTHING,MSA (BRITAIN) LIMITED,"1,216.88"
Fire Service College,CLOTHING,RED OAK DIRECT LTD,"3,524.10"
Fire Service College,CLOTHING,SOUTHCOMBE BROS. LTD,988.90
Fire Service College,CLOTHING,TOYE KENNING & SPENCER LTD,"2,807.57"
Fire Service College,CLOTHING,VANDER LTD.,"1,168.15"
Fire Service College,COACH,BAKERS COMMERCIAL SERVICES LTD.,"1,275.00"
Fire Service College,DOMESTIC GOODS,SENATE ELECTRICAL,725.86
Fire Service College,ELECTRICITY,EDF ELECTRICITY (WAS LONDON ELECTRICITY PLC),"234,178.52"
Fire Service College,ELECTRICITY,NPOWER,"1,489.21"
Fire Service College,ENVIRONMENTAL SERVICES,CROWN CONSULTANTS LTD,"4,700.00"
Fire Service College,ENVIRONMENTAL SERVICES,ENTEC UK LIMITED,"8,520.00"
Fire Service College,ENVIRONMENTAL SERVICES,ENVIRONMENT AGENCY,"3,385.00"
Fire Service College,ENVIRONMENTAL SERVICES,THAMES WATER UTILITIES LTD.,"15,953.00"
Fire Service College,EVENTS,ETC VENUES,"20,224.35"
Fire Service College,EVENTS ADMISSION,F.C.E.L,728.80
Fire Service College,EVENTS ADMISSION,FIRE CONFERENCE & EXHIBITION LTD,553.00
Fire Service College,EVENTS ADMISSION,PRINCIPAL MEDIA LTD,796.00
Fire Service College,EVENTS ADMISSION,WINDSOR LEADERSHIP TRUST,760.00
Fire Service College,EVENTS ORGANISATION,BLUE WATER SHIPPING (UK) LTD,"1,837.93"
Fire Service College,EVENTS ORGANISATION,BSIA,"5,363.00"
Fire Service College,EVENTS ORGANISATION,"DAR AL SHARQ PRINTING, PUBLISHING & DIST.","4,165.93"
Fire Service College,EVENTS ORGANISATION,DEUTSCHE MESSE AG,"4,722.85"
Fire Service College,EVENTS ORGANISATION,EMERGENCY SERVICES (MMC) LTD,"3,448.00"
Fire Service College,EVENTS ORGANISATION,NATIONAL CHEMICAL EMERGENCY CENTRE,"1,000.00"
Fire Service College,EVENTS ORGANISATION,UBM INFORMATION LTD.,"8,077.00"
Fire Service College,FINANCE CONSULTANCY,DUN & BRADSTREET LTD,"-1,346.55"
Fire Service College,FINANCE CONSULTANCY,GWS DESIGN,"5,699.00"
Fire Service College,FINANCE CONSULTANCY,THE STATIONERY OFFICE,500.00
Fire Service College,FINANCIAL SERVICES,ASPEY LAWRENCE,"10,050.00"
Fire Service College,FINANCIAL SERVICES,BEARINGPOINT LTD,"13,322.96"
Fire Service College,FINANCIAL SERVICES,DCLG,"11,455.00"
Fire Service College,FINANCIAL SERVICES,DNV CERTIFICATION LTD.,"2,669.00"
Fire Service College,FINANCIAL SERVICES,LLOYDS TSB BANK PLC,693.04
Fire Service College,FINANCIAL SERVICES,LLOYDS TSB CARDNET,"2,760.85"
Fire Service College,FINANCIAL SERVICES,NATIONAL AUDIT OFFICE,"61,700.00"
Fire Service College,FINANCIAL SERVICES,THALES E-TRANSACTIONS LTD,"1,359.50"
Fire Service College,FUELS,ARVAL PHH LTD,810.42
Fire Service College,FUELS,PACE FUELCARE LTD,"77,638.83"
Fire Service College,FUELS,TOTAL BUTLER,"1,037.10"
Fire Service College,GAS,CORONA ENERGY,"227,854.04"
Fire Service College,GASES,AIR PRODUCTS PLC,"3,831.63"
Fire Service College,GASES,BP LPG UK,"14,352.60"
Fire Service College,GASES,F. REYNOLDS,"1,736.63"
Fire Service College,HARDWARE,DELL CORPORATION LTD,"14,916.50"
Fire Service College,HARDWARE,DISPLAY I.T. INTERNATIONAL LIMITED,"8,853.20"
Fire Service College,HARDWARE,LOGICALIS UK LIMITED,"13,872.13"
Fire Service College,HARDWARE,STAR TECHNOLOGY SERVICES LTD.,"46,883.37"
Fire Service College,HOTEL,THE WHITE HART ROYAL HOTEL,"4,501.50"
Fire Service College,HOTELS,DURADIAMOND HEALTHCARE LTD.,"8,670.00"
Fire Service College,HOTELS,EXPOTEL HOTEL RESERVATIONS LTD,"84,604.14"
Fire Service College,HOTELS,F.C.E.L,745.39
Fire Service College,HOTELS,HMS EXCELLENT,820.29
Fire Service College,HOTELS,HMS NELSON WARDROOM,880.97
Fire Service College,HOTELS,JURY'S INN LIVERPOOL/MANCHESTER,"31,138.25"
Fire Service College,HOTELS,REDESDALE ARMS HOTEL (MORETON),"8,238.97"
Fire Service College,HOTELS,THE CROWN INN & HOTEL,"10,818.75"
Fire Service College,HR TRAINING AND EDUCATION,BEAMANS LTD.,"1,180.00"
Fire Service College,"HR, TRAINING AND EDUCATION",RECOGNISING EXCELLENCE LTD,595.00
Fire Service College,INTERIM MANAGERS,A.J. BARNETT LIMITED,"27,938.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,ANGLOCO LTD,"28,580.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,BANBURY PLANT HIRE,"2,215.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,BMD FABRICATIONS LTD.,"6,710.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,BOC LTD,"4,202.19"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,BRITISH STANDARDS INSTITUTE,"13,084.66"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,BTC GROUP,"10,894.80"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,BUDGET SKIPS,563.25
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,BUILDING AND PLUMBING SUPPLIERS LTD.,"17,254.01"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,CHUBB FIRE LTD (AVONMOUTH),"1,033.80"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,CON-SPACE COMMUNICATIONS (UK) LTD.,"1,461.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,CONCEPT ENGINEERING LTD,636.25
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,COSALT INTERNATIONAL LTD,"1,477.18"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,CRIME SCENE RESOURCES,"2,020.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,CUSTOM COACHTRIMMING,"1,350.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,DELTA FIRE,"9,540.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,DEWALT (BLACK & DECKER),617.14
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,DRAEGER SAFETY UK LTD.,"130,080.76"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,E.C.HOPKINS LIMITED,547.50
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,EDUCATIONAL RECORDING AGENCY LTD,653.95
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,ENVIRONMENTAL SCIENCE LTD.,"-2,524.25"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,ENVIROSAFE,"1,360.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,ESP COLOUR LTD,"2,160.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,ESPO,"6,906.54"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,EUROWEB (SW) LTD.,731.28
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,FIRE HOSETECH,"13,126.59"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,FIRE PROTECTION ASSOCIATION,"6,915.27"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,FPM LTD,"1,375.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,G.B CIVIL ENGINEERING,"10,708.96"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,HOLMATRO UK LTD.,"1,083.99"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,INSTITUTION OF FIRE ENGINEERS (PUBLICATIONS),"1,395.65"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,J.P. LENNARD,"1,762.20"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,JAMES LATHAM WESTERN - LATHAMS LTD,"27,160.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,K G MORRIS TIMBER MERCHANTS,750.00
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,K.L. SPECTATOR SEATING,"1,450.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,LE MAITRE (SALES) LTD.,967.39
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,LEB PARTNERSHIPS LTD,"2,244.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,LEXISNEXIS UK,743.80
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,LIFE ORIENTATIONS LTD,674.00
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,LILLESHALL STEEL SERVICES LTD,588.15
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,MACDONALD AIR TOOLS,530.00
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,MFC SURVIVAL LTD.,"1,533.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,MIKE HONOUR WINDOWS,"1,004.44"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,PATERSONS (SAFETY AIR SYSTEMS),"5,526.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,PRECISION UNITS (DORSET) LTD,"4,999.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,R J W PHIPP & SONS,"4,240.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,RIBA BOOKSHOPS  A/C 83289,"2,310.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,RIG SYSTEMS LIMITED,"1,000.09"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,SAI GLOBAL,"1,002.38"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,SIMONEY BADGES,751.00
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,SOMERSCALES (TIMBER MERCHANTS) LTD,"2,000.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,SOUND DYNAMICS,513.50
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,SPEEDINGS LTD,"1,479.00"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,STUART BRUMBY COVERMAKERS,832.50
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,SUPPLY 999 LIMITED,"10,868.38"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,SUPPLY 999 LIMITED,"102,402.03"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,THE CONSORTIUM,545.42
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,THE STATIONERY OFFICE LTD,"2,178.83"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,WATERSTONES BOOKSELLERS LTD.,"1,394.88"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,WHARFEDALE FIBRES,621.70
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,WILLIAMSONS,"15,541.36"
Fire Service College,LEARNING AND DEVELOPMENT MATERIALS,ZETOC HELPDESK,577.07
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,2GETHER EVENT MANAGEMENT,750.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,ACT ASSOCIATES LTD,"2,717.90"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,ACTIVE LEARNING & DEVELOPMENT LTD,"12,677.59"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,AMPUTEES IN ACTION,"1,550.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,ASK EUROPE,"7,215.21"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,CBRNE,"1,114.32"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,CFOA (SERVICES) LTD.,760.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,CHANGE FORUM LTD.,"1,220.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,CHARTERED MANAGEMENT INSTITUTE,775.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,CHEMICAL INDUSTRIES ASSOCIATION,897.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,CHRIS PENKETH ASSOCIATES LTD.,"33,313.20"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,COTSWOLD CONFERENCE CENTRE,"1,980.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,CRANFIELD UNIVERSITY,"1,452.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,DIRECT ACCESS PLATFORMS LTD,"1,359.73"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,EMBASSY OF THE ISLAMIC REPUBLIC OF IRAN,"4,140.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,FC MEDIA  LTD,"6,000.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,FRESH LOGIC,810.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,GLOSCAT,"54,964.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,IS OXFORD,"1,065.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,MESSAM & RIDER,865.60
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,MINERVA SIMULATOR FACILITIES LTD,712.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,MINES RESCUE SERVICES LTD,"31,781.69"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,MONTPELLIER INTERNATIONAL CONSULTING LTD.,"67,046.78"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,NEEDALOO,670.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,QA ASSOCIATES LTD,"40,285.20"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,ROYAL AGRICULTURAL COLLEGE ENTERPRISES LTD,"1,600.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,SPEEDY TRAINING,662.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,ST JOHN AMBULANCE,"4,180.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,THE COGNITIVE CENTRE FOUNDATION/SSD LTD,550.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,TSO CONSULTING,"1,296.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,UNIVERSITY OF BRADFORD,"2,785.00"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,VOICEOVERS LTD.,728.00
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,VT CAREERS MANAGEMENT LTD.,"1,429.28"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,WARWICK BUSINESS SCHOOL,"437,068.50"
Fire Service College,LEARNING AND DEVELOPMENT SERVICES,WILTSHIRE COLLEGE,"64,529.59"
Fire Service College,LEASING,GREEN LINE CONTRACTS,"4,398.45"
Fire Service College,LEASING,IDEAL CAR & VAN HIRE LTD.,"1,200.00"
Fire Service College,LEGAL,CC GROUND INVESTIGATIONS LTD.,"4,378.22"
Fire Service College,LEGAL CONSULTANCY,BELL HAYES LTD,"1,240.00"
Fire Service College,LEGAL CONSULTANCY,HARRISON & HARDIE,"8,251.41"
Fire Service College,LEGAL CONSULTANCY,VEALE WASBROUGH VIZARDS,"27,789.86"
Fire Service College,MAIN CONTRACTOR,BUZZ ELECTRICAL LTD,"132,787.03"
Fire Service College,MAIN CONTRACTOR,MANSELL CONSTRUCTION SERVICES LTD,"208,132.13"
Fire Service College,MAIN CONTRACTOR,QTS ASSOCIATES LTD,"77,638.57"
Fire Service College,MAIN CONTRACTOR,SMITH'S (GLOUCESTER) LIMITED,"73,862.64"
Fire Service College,MAINTENANCE AND SUPPORT,IMC (UK) LEARNING LTD,"35,821.68"
Fire Service College,MANAGED/OUTSOURCED SERVICES,NOMOS MEDIA LTD,"89,150.00"
Fire Service College,MANAGED/OUTSOURCED SERVICES,PARITY SOLUTIONS LTD,"106,582.00"
Fire Service College,MARKETING,ATOMIC MEDIA CONSULTANTS LTD,660.00
Fire Service College,MARKETING,ATTITUDE PROMOTIONS LTD.,780.00
Fire Service College,MARKETING,CENTRAL OFFICE OF INFORMATION,"7,265.00"
Fire Service College,MARKETING,FIVE BY FIVE,"18,031.79"
Fire Service College,MARKETING,KEYWAYS PUBLISHING LTD.,"1,149.00"
Fire Service College,MARKETING,LGA CONFERENCE DEPARTMENT,"1,500.00"
Fire Service College,MARKETING,MERITEX INTERNATIONAL FREIGHT SERVICES LTD,"1,306.00"
Fire Service College,MARKETING,PUBLICATIONS INTERNATIONAL LIMITED,607.57
Fire Service College,MARKETING,STRATHCLYDE FIRE BRIGADE,"1,262.60"
Fire Service College,MARKETING AND COMMUNICATIONS CONSULTANCY,BOOST MARKETING LTD,711.00
Fire Service College,MARKETING AND COMMUNICATIONS CONSULTANCY,BOOST MARKETING LTD.,"4,436.20"
Fire Service College,OFFICE CONSUMABLES,BECHTLE DIRECT,853.01
Fire Service College,OFFICE FURNITURE,ABBEY BUSINESS EQUIPMENT,615.00
Fire Service College,OFFICE FURNITURE,GODFREY SYRETT LTD,592.75
Fire Service College,OFFICE FURNITURE,KC CARPETS LTD,"5,209.61"
Fire Service College,OFFICE FURNITURE,LIGHTHOUSE (UK) LTD.,795.00
Fire Service College,OFFICE FURNITURE,REXEL UK LIMITED,"1,288.20"
Fire Service College,OFFICE MACHINES,ABBEY BUSINESS EQUIPMENT,"1,528.50"
Fire Service College,OFFICE MACHINES,DANWOOD CONTRACT RENTALS,"1,397.14"
Fire Service College,OFFICE MACHINES,DANWOOD FINANCE LIMITED,"1,372.17"
Fire Service College,OFFICE MACHINES,DANWOOD GROUP LTD.,"1,779.33"
Fire Service College,OFFICE SUPPLIES,OFFICE DEPOT UK LTD,"23,662.54"
Fire Service College,OPERATIONAL SERVICES,MONSTER.CO.UK,820.00
Fire Service College,OPERATIONAL SERVICES,MORRIS HOARE & ASSOCIATES,"5,842.60"
Fire Service College,OPERATIONAL SERVICES,SHIRLEY PARSONS ASSOCIATES,"6,028.60"
Fire Service College,POST AND COURIER,DHL EXPRESS UK LTD,"10,188.00"
Fire Service College,POST AND COURIER,NEOPOST LTD,"14,599.58"
Fire Service College,POST AND COURIER,PARCELFORCE WORLDWIDE,"1,464.47"
Fire Service College,PRINT,DECCA PRINT,"1,702.00"
Fire Service College,PROFESSIONAL INTERIM STAFF,COMPUTER PEOPLE,"85,832.09"
Fire Service College,PROFESSIONAL INTERIM STAFF,MICHAEL PAGE INTERNATIONAL,"13,400.00"
Fire Service College,PROMOTION,FIREWORKS EFFECTS,"3,000.00"
Fire Service College,PROMOTION,FOUR COMMUNCIATIONS,"16,948.79"
Fire Service College,PROMOTION,MAGIC TOUCH PROMOTIONS LTD,"4,412.24"
Fire Service College,PROMOTION,REDBOWS LTD,716.00
Fire Service College,PROMOTION,REED BUSINESS INFORMATION (PERSONNEL TODAY),"2,300.00"
Fire Service College,PROMOTION,W & O EVENTS LTD.,525.00
Fire Service College,PROPERTY AND CONSTRUCTION CONSULTANCY,DYNO-ROD,690.00
Fire Service College,PROPERTY AND CONSTRUCTION CONSULTANCY,HYDER CONSULTING (UK) LTD.,"34,814.40"
Fire Service College,PROPERTY AND CONSTRUCTION CONSULTANCY,HYWEL JOHN SURVEYS,500.00
Fire Service College,PROPERTY AND CONSTRUCTION CONSULTANCY,KNIGHT FRANK LLP,"18,075.00"
Fire Service College,PROPERTY AND CONSTRUCTION CONSULTANCY,KNIGHT FRANK LLP,"23,724.05"
Fire Service College,PROPERTY AND CONSTRUCTION CONSULTANCY,KNIGHT FRANK LLP (LONDON),"55,160.40"
Fire Service College,PROPERTY AND CONSTRUCTION CONSULTANCY,URBED,"8,950.02"
Fire Service College,PROPERTY AND CONSTRUCTION CONSULTANCY,WSP DEVELOPMENT & TRANSPORTATION,"4,000.00"
Fire Service College,PROPERTY AND CONSTRUCTION CONSULTANCY,WSP ENVIRONMENT & ENERGY,"9,600.00"
Fire Service College,PURCHASE,COMMON ROAD DISMANTLERS,"18,270.00"
Fire Service College,PURCHASE,JOHN LAMB,"17,800.00"
Fire Service College,PURCHASE,MOTORAIL LOGISTICS CONTROL TOWER,"20,500.00"
Fire Service College,PURCHASE,OXFORDSHIRE FIRE SERVICE HQ,"83,000.00"
Fire Service College,PURCHASE,R & W RECOVERY & REPAIRS,"10,745.00"
Fire Service College,PURCHASE,SMITHS OF BLOXHAM,"35,280.00"
Fire Service College,PURCHASE,TRUCK TECHNOLOGY,500.00
Fire Service College,PURCHASE,UK BUS DISMANTLERS LTD,"4,000.00"
Fire Service College,PURCHASE,W & J ALLARDYCE COMMERCIAL LTD,"6,000.00"
Fire Service College,PURCHASES,S M BEASLEY,"1,100.00"
Fire Service College,RAIL,RSP RAIL TRAVEL ACCOUNT,"4,700.50"
Fire Service College,REPROGRAPHICS,GLENMORE BUSINESS PAPERS,"12,306.33"
Fire Service College,REPROGRAPHICS,IKON,"111,105.95"
Fire Service College,REPROGRAPHICS,KELWAY UK LTD.,"1,009.99"
Fire Service College,REPROGRAPHICS,OCE (UK) LTD.,"44,641.21"
Fire Service College,REPROGRAPHICS,XEROX (UK) LTD,"1,459.94"
