ALB,Supplier,Net Amount £
Ordnance Survey,best western qh,"6,607.78"
Ordnance Survey,bip solutions ltd,"3,600.00"
Ordnance Survey,Bizspace Limited,"2,876.70"
Ordnance Survey,Black Pear Limited,"5,371.40"
Ordnance Survey,Blake Lapthorn Tarlo Lyons,"2,208.00"
Ordnance Survey,Blue Orange Media Ltd,"3,000.00"
Ordnance Survey,BML,"1,235.00"
Ordnance Survey,BNP Paribas Real Estate,"80,136.18"
Ordnance Survey,Bond Pearce LLP,"86,184.31"
Ordnance Survey,botley park,"8,928.85"
Ordnance Survey,Bottcher UK Ltd,"9,905.40"
Ordnance Survey,Box UK Ltd,"38,357.18"
Ordnance Survey,braid hills hotel - recep,"1,928.00"
Ordnance Survey,Bribex Ltd,"1,155.39"
Ordnance Survey,british airw,"50,528.24"
Ordnance Survey,british bankers a',"3,304.33"
Ordnance Survey,British Heart Foundation Ventures Ltd,"37,500.00"
Ordnance Survey,british midl,"4,300.15"
Ordnance Survey,British Printing Industries,"3,080.00"
Ordnance Survey,British Quality Foundation,"1,500.00"
Ordnance Survey,British Telecommunications PLC,"461,842.00"
Ordnance Survey,broad house hotel,"1,401.70"
Ordnance Survey,broadford hotel,"1,002.97"
Ordnance Survey,Brodies LLP,"1,500.00"
Ordnance Survey,bruntsfield hotel,"5,084.70"
Ordnance Survey,BSRIA Ltd,"1,450.00"
Ordnance Survey,BT Contract Rentals Ltd,"15,366.83"
Ordnance Survey,Burness LLP,"1,887.95"
Ordnance Survey,Burrows Communications Limited,"2,000.00"
Ordnance Survey,Business in the Community,"1,950.00"
Ordnance Survey,Butterworths Tolley,"16,351.80"
Ordnance Survey,caberfeidh hotel,"3,726.70"
Ordnance Survey,Cable And Wireless Communications,"1,450,195.11"
Ordnance Survey,Cannon Hygiene Ltd,"3,202.09"
Ordnance Survey,capita business servs,"2,000.00"
Ordnance Survey,Capital Enterprise Centres,"4,145.99"
Ordnance Survey,Care First,"23,175.00"
Ordnance Survey,careys manor hotel,"1,591.38"
Ordnance Survey,Carillion Services Ltd,"1,256.46"
Ordnance Survey,Carlisle Group,"2,914,045.15"
Ordnance Survey,Carter Design Group,"1,740.00"
Ordnance Survey,cbs outdoor ltd,"1,627.00"
Ordnance Survey,ccsale@winzip.com,"3,168.51"
Ordnance Survey,CD Team Limited,"15,395.00"
Ordnance Survey,cedar court hotel,"5,143.44"
Ordnance Survey,Celebrity Speakers Ltd,"6,000.00"
Ordnance Survey,Centaur Communications Ltd,"2,075.00"
Ordnance Survey,central law,"4,650.00"
Ordnance Survey,Channel Business Centres Ltd,"1,149.88"
Ordnance Survey,chartered ins of,"4,986.42"
Ordnance Survey,Chartered Institute of Loss Adjusters,"5,000.00"
Ordnance Survey,Chartered Management Institute,"5,000.00"
Ordnance Survey,checker cars gatwick l,"5,164.38"
Ordnance Survey,Chilworth Manor Ltd,"15,902.78"
Ordnance Survey,Chorley Business & Technology Centre,"1,379.80"
Ordnance Survey,Chronos Technology Ltd,"22,116.00"
Ordnance Survey,CIT Vendor Finance (UK) Ltd,"13,653.05"
Ordnance Survey,citb,"1,138.32"
Ordnance Survey,City & West End Solutions Ltd,"33,434.08"
Ordnance Survey,city cabs & cars lt 00780,"1,575.28"
Ordnance Survey,city inn westminster,"4,033.85"
Ordnance Survey,Clarehill Associates,"31,237.00"
Ordnance Survey,Clarke Energy Limited,"27,365.81"
Ordnance Survey,CMG (UK) Ltd,"108,671.64"
Ordnance Survey,CMP Information Ltd,"9,937.08"
Ordnance Survey,Combined Property Control,"26,530.47"
Ordnance Survey,comet plc (778),"1,355.45"
Ordnance Survey,Computacenter (UK) Ltd,"1,611,511.01"
Ordnance Survey,Connells Relocation Services Ltd,"80,566.34"
Ordnance Survey,Conniosseur Cars,"6,486.50"
Ordnance Survey,Conservation By Design Ltd,"7,651.43"
Ordnance Survey,Conservative Party Finance Dept,"3,015.00"
Ordnance Survey,Consult Human Resources,"20,442.90"
Ordnance Survey,ConsultingWhere Ltd,"19,706.41"
Ordnance Survey,Context Information Security Ltd,"6,600.00"
Ordnance Survey,Corona Energy Retail 4 Ltd,"593,484.07"
Ordnance Survey,Corven Consulting Ltd,"26,701.25"
Ordnance Survey,cotswold outdoor,"4,061.88"
Ordnance Survey,County Crest Pallets (UK) Ltd,"1,710.00"
Ordnance Survey,Cranfield Management,"17,800.50"
Ordnance Survey,Cre:8 Multimedia Ltd,"9,000.00"
Ordnance Survey,croner cch product,"3,667.12"
Ordnance Survey,crowne plaza,"14,103.83"
Ordnance Survey,crucial.com-lexarmedia,"5,951.80"
Ordnance Survey,Cube Publications,"3,500.00"
Ordnance Survey,cumbria park hotel ltd,"1,210.95"
Ordnance Survey,Cyclescheme Ltd,"1,610.41"
Ordnance Survey,dabs.com plc.,"1,603.45"
Ordnance Survey,daratechinc,"5,013.01"
Ordnance Survey,Datacash Ltd,"3,820.00"
Ordnance Survey,Davies & Robson,"22,902.00"
Ordnance Survey,days hotel,"2,013.04"
Ordnance Survey,de vere hotels,"33,139.96"
Ordnance Survey,Deecal International Ltd,"22,250.00"
Ordnance Survey,DeHavilland E-Map Public Sector,"19,446.34"
Ordnance Survey,Deloitte & Touche,"54,083.00"
Ordnance Survey,Demon Internet,"57,668.03"
Ordnance Survey,Design Team Solutions Limited,"82,486.50"
Ordnance Survey,devon hotel,"1,659.05"
Ordnance Survey,DHL Express (UK) Ltd,"255,493.16"
Ordnance Survey,Direct Adhesives,"5,042.10"
Ordnance Survey,Dod's Parliamentary Communications Ltd,"16,432.07"
Ordnance Survey,Dolphin Computer Access Ltd,"1,462.00"
Ordnance Survey,donington manor hotel,"9,730.03"
Ordnance Survey,Drewsen Special Papers Ltd,"345,698.24"
Ordnance Survey,dsg retail ltd,"3,067.20"
Ordnance Survey,Duncan McCall QC,"4,400.00"
Ordnance Survey,Dundas & Wilson CS LLP,"1,200.00"
Ordnance Survey,dunston hall hotel,"7,576.91"
Ordnance Survey,eastern airw,"5,300.20"
Ordnance Survey,Eastern Business Park,"3,516.85"
Ordnance Survey,Easypack Limited,"9,150.00"
Ordnance Survey,E-Consultancy,"5,059.88"
Ordnance Survey,EDF Energy,"594,087.08"
Ordnance Survey,Education Direct,"3,646.67"
Ordnance Survey,elan valley hotel,"3,864.84"
Ordnance Survey,EMAP Glenigan Ltd,"8,053.00"
Ordnance Survey,English Heritage,"2,596.50"
Ordnance Survey,Enviro Management Systems Limited,"28,667.38"
Ordnance Survey,EPM Air Conditioning,"64,699.40"
Ordnance Survey,Equanet,"5,188.89"
Ordnance Survey,ESRI (UK),"116,510.03"
Ordnance Survey,Ettington Park Hotel,"7,805.73"
Ordnance Survey,Eurest,"46,815.96"
Ordnance Survey,eurostar uk limited,"1,832.50"
Ordnance Survey,Evac+Chair International Ltd,"1,336.00"
Ordnance Survey,Everycare (Wessex) Ltd,"4,030.99"
Ordnance Survey,exhi nursling,"8,324.14"
Ordnance Survey,expedia uk,"7,204.34"
Ordnance Survey,Experian Limited,"19,381.13"
Ordnance Survey,Expolink Europe Ltd,"1,800.00"
Ordnance Survey,express by holiday inn,"96,679.33"
Ordnance Survey,eyecare vouchers,"4,926.25"
Ordnance Survey,Faber Maunsell Ltd,"15,208.50"
Ordnance Survey,Fasset Limited,"227,800.25"
Ordnance Survey,Federation Against Software,"5,000.00"
Ordnance Survey,Field Fisher Waterhouse,"10,858.26"
Ordnance Survey,firebrand training ltd,"3,162.00"
Ordnance Survey,first conferences,"3,014.15"
Ordnance Survey,first great wester,"11,174.05"
Ordnance Survey,flybe,"91,922.55"
Ordnance Survey,fox it ltd,"3,410.00"
Ordnance Survey,Foxhall Business Centre,"2,998.91"
Ordnance Survey,FrontRange Solutions,"25,735.70"
Ordnance Survey,FRST Consulting Ltd,"84,722.50"
Ordnance Survey,Fujifilm UK Ltd,"18,565.68"
Ordnance Survey,future inns cardiff,"1,007.71"
Ordnance Survey,future publishing,"1,150.00"
Ordnance Survey,Futuremedia Learning,"1,650.00"
Ordnance Survey,G E Capital Equipment Finance,"2,044.16"
Ordnance Survey,Gardner Denver Alton Ltd,"10,103.68"
Ordnance Survey,Gartner UK Ltd,"30,967.50"
Ordnance Survey,GB Group Plc,"5,000.00"
Ordnance Survey,Geodis Wilson UK Ltd,"12,478.64"
Ordnance Survey,Geoplan,"102,158.83"
Ordnance Survey,GHL Liftrucks Ltd,"16,084.43"
Ordnance Survey,GILES Aviation Ltd,"3,268.89"
Ordnance Survey,Global Knowledge Network Training Ltd,"6,080.00"
Ordnance Survey,Government IT Govnet,"5,199.00"
Ordnance Survey,greenham trading ltd,"4,670.91"
Ordnance Survey,Guardian News & Media Ltd,"34,762.50"
Ordnance Survey,h & h catering ltd 00710,"1,125.84"
Ordnance Survey,Hallogen Limited,"2,218.25"
Ordnance Survey,hamilton rentals ltd,"1,320.00"
Ordnance Survey,hardwick hall hote,"3,290.56"
Ordnance Survey,harfield components lt,"1,545.51"
Ordnance Survey,Harris Transport Ltd,"7,483.21"
Ordnance Survey,Hartley Resourcing,"6,037.50"
Ordnance Survey,Hawksmere Group Ltd,"8,218.22"
Ordnance Survey,Hay Group Management Ltd,"9,500.00"
Ordnance Survey,Haymarket Publishing Services Ltd,"3,146.00"
Ordnance Survey,Hays Purchasing,"15,870.00"
Ordnance Survey,heathmount hotel,"3,713.45"
Ordnance Survey,Heidelberg Graphic Equipment Ltd,"1,137.59"
Ordnance Survey,Helical Pier Systems UK Ltd,"3,865.00"
Ordnance Survey,Helios Technology Ltd,"6,000.00"
Ordnance Survey,hemming group ltd,"3,515.40"
Ordnance Survey,hendy group ltd,"1,075.88"
Ordnance Survey,Hewlett Packard Ltd,"36,179.04"
Ordnance Survey,Hextalls LLP,"2,632.15"
Ordnance Survey,hilton hotel,"19,926.26"
Ordnance Survey,hinckley island hotel,"1,898.90"
Ordnance Survey,hire intelligence,"1,115.52"
Ordnance Survey,Hitwise,"34,000.00"
Ordnance Survey,honiley court hotel & co,"1,988.15"
Ordnance Survey,Horwath Software Services,"11,527.50"
Ordnance Survey,Hotel Chocolat,"2,256.82"
Ordnance Survey,hotel du vin,"1,099.23"
Ordnance Survey,hotel habakuk-recepcija,"2,091.35"
Ordnance Survey,hotel taj coromandel,"3,037.20"
Ordnance Survey,hotelsmotel,"5,106.56"
Ordnance Survey,Howard Smith Papers Ltd,"275,229.65"
Ordnance Survey,HP Education Services,"1,995.00"
Ordnance Survey,HPC plc,"3,842.98"
Ordnance Survey,huntington hotel,"1,410.95"
Ordnance Survey,ibis southampton centre,"6,607.53"
Ordnance Survey,IBM United Kingdom,"15,000.00"
Ordnance Survey,Icendris Training &,"4,009.50"
Ordnance Survey,idm training ltd,"1,076.63"
Ordnance Survey,IDS Security Systems Ltd,"17,475.00"
Ordnance Survey,ilx group plc,"6,211.88"
Ordnance Survey,Incisive Financial Publishing,"10,000.00"
Ordnance Survey,Informa UK Ltd,"7,776.92"
Ordnance Survey,Infotech Enterprises Europe Ltd,"585,801.50"
Ordnance Survey,Innovation Leadership Forum,"3,000.00"
Ordnance Survey,Institute for Employment Studies,"38,830.00"
Ordnance Survey,Intellident Ltd,"5,665.00"
Ordnance Survey,Intelligent Addressing Limited,"1,270.25"
Ordnance Survey,interface europe,"3,668.81"
Ordnance Survey,Intergraph (UK) Ltd,"3,875,156.55"
Ordnance Survey,iqpc ltd,"1,499.00"
Ordnance Survey,ISL (Insite Solutions Ltd),"23,800.00"
Ordnance Survey,its united kingdom,"1,350.00"
Ordnance Survey,Jagger Software Ltd,"7,500.00"
Ordnance Survey,James Barr,"5,602.90"
Ordnance Survey,jobserve ltd,"3,666.00"
Ordnance Survey,john lewis,"2,066.10"
Ordnance Survey,jurys inn,"45,950.85"
Ordnance Survey,Kaleidoscope Management Development,"17,360.29"
Ordnance Survey,KBA (UK) Ltd,"31,637.45"
Ordnance Survey,Keele Facilities Management Limited,"2,505.04"
Ordnance Survey,Keen Marketing Supplies Ltd,"22,981.13"
Ordnance Survey,Kennedy Grinding Ltd,"1,886.92"
Ordnance Survey,Keswick Tourism Association Ltd,"6,680.85"
Ordnance Survey,key industrial equipment,"4,615.57"
Ordnance Survey,Key Terra -Firma Ltd,"3,000.00"
Ordnance Survey,keyzone ltd,"4,404.00"
Ordnance Survey,Kier Property Developments Ltd,"382,435.00"
Ordnance Survey,King Sturge,"42,176.46"
Ordnance Survey,kingston communication,"1,522.10"
Ordnance Survey,Kingston Consulting,"22,820.00"
Ordnance Survey,kinnarps (uk) l,"3,461.85"
Ordnance Survey,Kite Packaging Ltd,"67,469.32"
Ordnance Survey,Kodak Ltd,"98,335.60"
Ordnance Survey,KSA Business Development,"5,815.09"
Ordnance Survey,L C Kittow & Co Ltd,"18,125.72"
Ordnance Survey,Langtree Group Plc,"4,282.76"
Ordnance Survey,lastminute.com,"1,615.93"
Ordnance Survey,Learning Tree International,"11,128.75"
Ordnance Survey,Leopold Professional Services Ltd,"4,816.06"
Ordnance Survey,Liberal Democrats,"3,771.60"
Ordnance Survey,Lighthouse Business Consultants Ltd,"10,500.00"
Ordnance Survey,Livework Studio Ltd,"72,712.38"
Ordnance Survey,LMD Learning Solutions Ltd,"2,850.00"
Ordnance Survey,Lodge Catering Ltd,"8,520.81"
Ordnance Survey,london business forum,"4,200.00"
Ordnance Survey,Longdown Management Ltd (see vendor 9027,"17,300.00"
Ordnance Survey,Lorien Resourcing Ltd,"7,138,748.16"
Ordnance Survey,losehill hall,"2,515.62"
Ordnance Survey,Louis Hampshire Ltd,"9,000.00"
Ordnance Survey,lyreco uk ltd,"14,568.32"
Ordnance Survey,M62 Visualcommunications Ltd,"3,450.00"
Ordnance Survey,macdonald hotels manch,"1,256.08"
Ordnance Survey,Mace Macro Ltd,"71,880.35"
Ordnance Survey,mackays hotel,"1,324.50"
Ordnance Survey,Mallett Consulting,"3,164.57"
Ordnance Survey,malmaison hotel,"1,414.69"
Ordnance Survey,Man Roland Great Britain Limited,"7,733.38"
Ordnance Survey,Managed Occupational Health,"28,390.12"
Ordnance Survey,Mandate Communications,"63,280.00"
Ordnance Survey,manor training,"3,335.01"
Ordnance Survey,Map Info Limited,"11,102.50"
Ordnance Survey,Mapflow International Ltd,"5,755.15"
Ordnance Survey,maplin,"1,340.82"
Ordnance Survey,marks & spencer,"5,370.45"
Ordnance Survey,marriott,"11,418.04"
Ordnance Survey,Marshall ACM Ltd,"2,000.00"
Ordnance Survey,Martin Ward Anderson Ltd,"49,082.49"
Ordnance Survey,marwell hotel,"4,681.94"
Ordnance Survey,master builders ho,"1,613.94"
Ordnance Survey,Masterlease Limited,"257,063.45"
Ordnance Survey,Matford Business Centres Ltd,"1,946.14"
Ordnance Survey,Mayo Learning International Ltd,"76,021.93"
Ordnance Survey,media resources,"28,640.01"
Ordnance Survey,mercure wessex hotel winc,"5,518.02"
Ordnance Survey,merrion hotel,"1,063.05"
Ordnance Survey,Meta Translation Company,"18,150.36"
Ordnance Survey,Metaskil Plc,"3,000.00"
Ordnance Survey,Michael Page International,"105,835.00"
Ordnance Survey,Minitab Ltd,"1,881.00"
Ordnance Survey,Mintel International Group Ltd,"5,700.00"
Ordnance Survey,MIS Corporate Defence Solutions,"57,249.12"
Ordnance Survey,mode hotel,"12,461.20"
Ordnance Survey,montagu arms hotel,"2,005.35"
Ordnance Survey,Morse Ltd,"4,300.00"
Ordnance Survey,Mosaic Print Management,"47,622.13"
Ordnance Survey,Mott MacDonald Ltd,"11,020.50"
Ordnance Survey,Myosotis,"6,525.00"
Ordnance Survey,national express ltd,"3,428.13"
Ordnance Survey,National Physical Laboratory,"4,545.00"
Ordnance Survey,NCC Services Ltd,"2,879.95"
Ordnance Survey,ncp limited,"5,319.93"
Ordnance Survey,neil stewart assoc,"1,834.00"
Ordnance Survey,Neopost Ltd,"36,828.54"
Ordnance Survey,nestle waters poww,"2,572.95"
Ordnance Survey,New Frontiers Management Ltd,"123,468.67"
Ordnance Survey,New Level Safety,"151,591.26"
Ordnance Survey,New Network Mapping Ltd,"20,985.00"
Ordnance Survey,Newsquest Specialist Media Ltd,"37,362.50"
Ordnance Survey,Nielsen Book Services Ltd,"55,721.95"
Ordnance Survey,nimlok ltd,"3,990.00"
Ordnance Survey,northlink ferries,"1,474.50"
Ordnance Survey,novatech ltd,"5,162.91"
Ordnance Survey,novotec ltd,"1,500.00"
Ordnance Survey,novotel southampton,"51,118.54"
Ordnance Survey,Nuffield Proactive Health Medical Ltd,"5,045.62"
Ordnance Survey,nx east anglia,"4,238.71"
Ordnance Survey,nxec trains.com,"4,675.20"
Ordnance Survey,Oce (UK) Limited,"29,040.25"
Ordnance Survey,Oce Finance,"28,113.66"
Ordnance Survey,Octopus Publishing Group Ltd,"35,000.00"
Ordnance Survey,Odgers Ray & Berndtson,"67,497.03"
Ordnance Survey,office depot uk,"20,634.72"
Ordnance Survey,OLM Systems Limited,"4,580.00"
Ordnance Survey,One Northeast,"1,608.94"
Ordnance Survey,Open Reality Ltd,"7,593.00"
Ordnance Survey,Open Spaces Ltd,"459,670.00"
Ordnance Survey,Open Systems Management Limited,"11,537.82"
Ordnance Survey,OPP Ltd,"15,424.00"
Ordnance Survey,Optichrome Computer Systems Ltd,"28,889.21"
Ordnance Survey,Oracle Corporation UK Ltd,"625,686.43"
Ordnance Survey,Orange Personal Communications,"91,783.21"
Ordnance Survey,Orbital Marketing Services Group Ltd,"143,488.29"
Ordnance Survey,ORC International,"43,273.00"
Ordnance Survey,Orchard Information Systems Ltd,"3,843.69"
Ordnance Survey,orion media marketing,"17,343.92"
Ordnance Survey,Outer Limits Explore Ltd,"5,264.60"
Ordnance Survey,outsourced events,"4,699.41"
Ordnance Survey,P&D Employment Ltd,"3,062.50"
Ordnance Survey,Parcelforce Worldwide,"1,081.96"
Ordnance Survey,Parity Training Ltd,"6,190.89"
Ordnance Survey,park inn telford,"1,342.09"
Ordnance Survey,park plaza riverbank,"1,929.93"
Ordnance Survey,Parsons Brinckerhoff,"15,344.93"
Ordnance Survey,partnership media,"2,888.22"
Ordnance Survey,Pass Mark Training,"2,875.00"
Ordnance Survey,paul macarthur ltd,"5,515.00"
Ordnance Survey,pc world,"1,776.75"
Ordnance Survey,pdc presentation solut,"3,328.14"
Ordnance Survey,Peak Training Solutions Ltd,"9,550.00"
Ordnance Survey,Pendax UK Ltd,"12,540.00"
Ordnance Survey,phs services ltd,"2,583.15"
Ordnance Survey,Pinsent Masons LLP,"27,135.41"
Ordnance Survey,Pira International,"3,528.00"
Ordnance Survey,pizza express,"1,103.25"
Ordnance Survey,portman travel ltd,"23,738.77"
Ordnance Survey,Post Office Ltd,"2,881.08"
Ordnance Survey,Posturite (UK) Ltd,"1,000.00"
Ordnance Survey,potters heron hotel,"2,758.15"
Ordnance Survey,Powergen,"3,263.83"
Ordnance Survey,pr newswire europe ltd,"2,000.00"
Ordnance Survey,Practical Law Company,"12,210.00"
Ordnance Survey,Preferred IT,"53,900.00"
Ordnance Survey,premier inn,"30,802.91"
Ordnance Survey,premier paper grou,"1,473.48"
Ordnance Survey,Pricewaterhouse Coopers,"4,950.00"
Ordnance Survey,Prime Energy (MK) Ltd,"9,760.00"
Ordnance Survey,Print Dimensions Limited,"12,018.00"
Ordnance Survey,protean international,"3,256.72"
Ordnance Survey,Public Sector Forums,"3,877.50"
Ordnance Survey,Puma Engineering &,"6,237.00"
Ordnance Survey,QA-IQ Ltd,"132,384.01"
Ordnance Survey,QAS Systems Limited,"14,289.98"
Ordnance Survey,quality hotel (bell),"14,655.62"
Ordnance Survey,Qube Strategic Consultants Ltd,"18,040.00"
Ordnance Survey,queens hotel,"1,325.35"
Ordnance Survey,Quest Software,"41,394.26"
Ordnance Survey,quorn country hotel,"1,404.26"
Ordnance Survey,r s components,"4,132.77"
Ordnance Survey,RAC Auto Windscreens,"2,917.08"
Ordnance Survey,Radio Relations Ltd,"5,216.00"
Ordnance Survey,Radio Taxis (Southampton) Ltd,"7,331.22"
Ordnance Survey,radisson sas hotel,"3,422.77"
Ordnance Survey,rainbow private hi,"7,427.50"
Ordnance Survey,ramada hotel,"17,339.92"
Ordnance Survey,RBB Economics Ltd,"20,086.35"
Ordnance Survey,REAL Solutions Ltd,"72,500.00"
Ordnance Survey,red funnel group,"3,136.20"
Ordnance Survey,red hat limited,"4,851.63"
Ordnance Survey,Red Technologies Ltd,"158,840.17"
Ordnance Survey,Redline Associates Ltd,"3,000.00"
Ordnance Survey,Reed Business Information Ltd,"15,235.77"
Ordnance Survey,Reed Employment PLC,"16,107.15"
Ordnance Survey,Reed Exhibition Companies,"3,164.00"
Ordnance Survey,Reed Learning Plc,"2,142.90"
Ordnance Survey,Regus Management (UK) Ltd,"19,337.40"
Ordnance Survey,Regus UK Ltd,"11,559.20"
Ordnance Survey,repropoint,"16,142.50"
Ordnance Survey,ReprOtec,"1,267.70"
Ordnance Survey,Rhian French Communications,"3,000.00"
Ordnance Survey,RIBA Enterprises Ltd,"9,055.00"
Ordnance Survey,Rider Hunt Management Services Ltd,"6,234.35"
Ordnance Survey,Rivergreen Ltd,"1,816.10"
Ordnance Survey,Rob Harris Productions Ltd,"21,385.00"
Ordnance Survey,Robatech UK Ltd,"5,238.24"
Ordnance Survey,Robert Half International,"29,372.17"
Ordnance Survey,Roke Manor Research Limited,"3,931.00"
Ordnance Survey,Rombourne Business Centres,"15,737.09"
Ordnance Survey,Ronin Ltd,"29,764.30"
Ordnance Survey,Rose Plastics Ltd,"18,619.00"
Ordnance Survey,royal cambridge hotel,"3,279.20"
Ordnance Survey,royal court hotel,"1,033.61"
Ordnance Survey,Royal Geographical Society,"1,835.60"
Ordnance Survey,royal hotel,"3,863.28"
Ordnance Survey,ROYAL INSTITUTE OF CHARTERED,"20,138.42"
Ordnance Survey,Royce Communications,"136,378.40"
Ordnance Survey,rtr catering limit,"2,330.85"
Ordnance Survey,sainsbury's s/mkt,"8,077.09"
Ordnance Survey,SAP (UK) Limited,"217,501.89"
Ordnance Survey,Satisnet,"5,285.00"
Ordnance Survey,Satmap Systems Ltd,"32,500.00"
Ordnance Survey,sccs,"5,902.65"
Ordnance Survey,Schofield Publishing Ltd,"1,500.00"
Ordnance Survey,Scotprint,"2,712.24"
Ordnance Survey,seazone solutions ltd,"1,000.00"
Ordnance Survey,Sector Mailing Services Ltd,"11,462.80"
Ordnance Survey,Seeburger UK Limited,"11,014.41"
Ordnance Survey,Seem Internet Solutions Ltd,"1,500.00"
Ordnance Survey,Senator International Ltd,"2,967.43"
Ordnance Survey,Severn Trent Water Ltd,"2,000.00"
Ordnance Survey,Sheridan Maine Ltd,"55,670.60"
Ordnance Survey,shetland hotel,"2,517.24"
Ordnance Survey,Shine Management Development Ltd,"45,580.08"
Ordnance Survey,Shinton Consulting Ltd,"10,561.33"
Ordnance Survey,SHL (UK) Ltd,"2,560.00"
Ordnance Survey,Siemens Enterprise Communications Ltd,"52,885.04"
Ordnance Survey,Siemens Financial Services Limited,"3,810.84"
Ordnance Survey,SITA UK Ltd,"4,809.26"
Ordnance Survey,Site Confidence Ltd,"22,063.12"
Ordnance Survey,Skilstream,"16,419.15"
Ordnance Survey,slaley hall,"4,896.55"
Ordnance Survey,Slaughter & May,"129,993.04"
Ordnance Survey,Sledge Ltd,"12,980.00"
Ordnance Survey,Snow Valley Ltd,"55,920.00"
Ordnance Survey,Snowflake Software Ltd,"50,320.00"
Ordnance Survey,Softcat Ltd,"23,977.00"
Ordnance Survey,Solace,"61,925.95"
Ordnance Survey,Solutions 4 Recruitment,"7,053.00"
Ordnance Survey,Solutions2 (UK) Ltd,"48,926.00"
Ordnance Survey,somerfield,"1,149.15"
Ordnance Survey,south west trains,"1,641.57"
Ordnance Survey,southampton park hotel,"7,795.49"
Ordnance Survey,southern,"1,514.80"
Ordnance Survey,Southern Water,"171,122.50"
Ordnance Survey,SP Cabling Company Ltd,"16,950.00"
Ordnance Survey,Spar,"2,492.43"
Ordnance Survey,Spectrum Signs & Workwear Limited,"8,231.91"
Ordnance Survey,SPSS (UK) Ltd,"4,651.17"
Ordnance Survey,SSI Schaefer Ltd,"1,020.00"
Ordnance Survey,st giles hotel (heathr,"2,172.56"
Ordnance Survey,Stage Sound Services,"11,775.00"
Ordnance Survey,Stairway2,"37,187.50"
Ordnance Survey,stanco exhibitions,"1,541.20"
Ordnance Survey,staples uk,"2,748.13"
Ordnance Survey,Star-Apic,"14,800.00"
Ordnance Survey,stationery office book,"1,343.87"
Ordnance Survey,Stehlin Hostag Ink (UK) Ltd,"36,740.78"
Ordnance Survey,steria ltd,"1,350.00"
Ordnance Survey,Streetwise,"1,000.00"
Ordnance Survey,Sugarworks,"1,635.00"
Ordnance Survey,sun microsystems,"4,331.25"
Ordnance Survey,supplies team,"2,328.32"
Ordnance Survey,Survey Supplies Ltd T/A KOREC Group,"4,000.00"
Ordnance Survey,sw trains waterloo,"100,891.46"
Ordnance Survey,swallow three tuns hotel,"1,302.25"
