Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Fees Planning,MR WILL FIELDHOUSE,,Micro,,2100001456,#,S10 2NQ,952.00,
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Expenses Planning,MR WILL FIELDHOUSE,,Micro,,2100001456,#,S10 2NQ,128.55,
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Fees Planning,SCOTTS PLANNING SERVICES,,Micro,,2100001452,#,PO21 3UU,"1,120.00",
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Expenses Planning,SCOTTS PLANNING SERVICES,,Micro,,2100001452,#,PO21 3UU,74.10,
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Fees Planning,STAR PLANNING & DEVELOPMENT LTD,,Micro,,2100001439,#,B14 6BX,"4,704.00",
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Expenses Planning,STAR PLANNING & DEVELOPMENT LTD,,Micro,,2100001439,#,B14 6BX,497.32,
Communities & Local Government,PINS,05/07/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106180775,Royal Mail Postal rates,S49 1HQ,"1,930.06",
Communities & Local Government,PINS,05/07/2012,Legal Fees,IPC (agreed pre-integration),BURGES SALMON LLP,,Large,,5106180773,Professional Charges,BS2 0ZX,"1,530.00",
Communities & Local Government,PINS,05/07/2012,Steady State Service Provision,Human Resources,LOGICA IT SERVICES UK LTD,,Large,,5106180767,Payslips,CF31 9AP,"4,036.47",
Communities & Local Government,PINS,05/07/2012,Steady State Service Provision,Human Resources,LOGICA IT SERVICES UK LTD,,Large,,5106180768,Licenses for June,CF31 9AP,439.16,
Communities & Local Government,PINS,06/07/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106180833,Extension 11/06/12-06/07/12,SL6 1DP,"2,992.26",
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,ALDERWOOD CONSULTING LTD,,Micro,,2100001499,#,SO19 7GU,739.20,
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,ALDERWOOD CONSULTING LTD,,Micro,,2100001499,#,SO19 7GU,39.42,
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Fees Planning,FITZSIMON PLANNING & DEVELOPMENT,,Micro,,2100001501,#,CH7 5NL,"3,628.80",
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Expenses Planning,FITZSIMON PLANNING & DEVELOPMENT,,Micro,,2100001501,#,CH7 5NL,339.66,
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,MR I R MURAT,,Not assigned,,2100001498,#,WA16 6BY,887.04,
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,MR I R MURAT,,Not assigned,,2100001498,#,WA16 6BY,94.14,
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Fees Planning,MR I R MURAT,,Not assigned,,2100001502,#,WA16 6BY,887.04,
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Expenses Planning,MR I R MURAT,,Not assigned,,2100001502,#,WA16 6BY,111.42,
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Fees Planning,MR I R MURAT,,Not assigned,,2100001503,#,WA16 6BY,887.04,
Communities & Local Government,PINS,06/07/2012,NSI Fees & Expenses,NSI Expenses Planning,MR I R MURAT,,Not assigned,,2100001503,#,WA16 6BY,94.14,
Communities & Local Government,PINS,06/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Not assigned,,5106180817,HP 90 Black toner C5059A,NG11 7EP,659.99,
Communities & Local Government,PINS,06/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Not assigned,,5106180817,HP Cyan ink carts 7680 C9391AE,NG11 7EP,778.20,
Communities & Local Government,PINS,06/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Not assigned,,5106180817,HP LTO Ultrium 800GB tapes C7974A,NG11 7EP,397.20,
Communities & Local Government,PINS,06/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Not assigned,,5106180817,HP Magenta ink carts 7680 C9392AE,NG11 7EP,46.69,
Communities & Local Government,PINS,06/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Not assigned,,5106180817,HP Yellow ink carts 7680 C9393AE,NG11 7EP,778.20,
Communities & Local Government,PINS,06/07/2012,Web Services,National Infrastructure Director,OTS BACS VENDOR,,Not assigned,,2100001527,#,#,"1,320.00",
Communities & Local Government,PINS,09/07/2012,Conferences and Meeting Facilities,Common Land,OTS BACS VENDOR,,Not assigned,,2100001563,#,#,"1,008.00",
Communities & Local Government,PINS,09/07/2012,NSI Fees & Expenses,NSI Fees Planning,MARTIN CHAMPION,,Micro,,2100001529,#,KT24 5HH,"2,296.00",
Communities & Local Government,PINS,09/07/2012,NSI Fees & Expenses,NSI Expenses Planning,MARTIN CHAMPION,,Micro,,2100001529,#,KT24 5HH,28.70,
Communities & Local Government,PINS,10/07/2012,Advertising,ROW,PENNA PLC,,Large,,5106180864,Statutory Advertising,EC4M 7RD,506.86,
Communities & Local Government,PINS,10/07/2012,Courier Services,Estates,CITY LINK,,Large,,5106180868,City Link Postage,WA4 4SN,"1,698.18",
Communities & Local Government,PINS,10/07/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106180881,Courier Services,S49 1HQ,"1,976.93",
Communities & Local Government,PINS,10/07/2012,IT - Software Maintenance,ICT,TOWERS WATSON,,Large,,5106180874,JEGS framework software 1/7/12-30/6/13,WC1V 6TP,"1,510.00",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHEC PLANNING LTD,,Micro,,2100001560,#,CB6 3PG,"1,344.00",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHEC PLANNING LTD,,Micro,,2100001560,#,CB6 3PG,88.80,
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHEC PLANNING LTD,,Micro,,2100001561,#,CB6 3PG,"1,814.40",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHEC PLANNING LTD,,Micro,,2100001561,#,CB6 3PG,129.45,
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHEC PLANNING LTD,,Micro,,2100001562,#,CB6 3PG,"1,680.00",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHEC PLANNING LTD,,Micro,,2100001562,#,CB6 3PG,118.20,
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHEC PLANNING LTD,,Micro,,2100001566,#,CB6 3PG,"1,680.00",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHEC PLANNING LTD,,Micro,,2100001566,#,CB6 3PG,114.60,
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHEC PLANNING LTD,,Micro,,2100001567,#,CB6 3PG,"1,680.00",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHEC PLANNING LTD,,Micro,,2100001567,#,CB6 3PG,116.40,
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHEC PLANNING LTD,,Micro,,2100001569,#,CB6 3PG,"1,512.00",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHEC PLANNING LTD,,Micro,,2100001569,#,CB6 3PG,147.00,
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHEC PLANNING LTD,,Micro,,2100001570,#,CB6 3PG,"1,344.00",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHEC PLANNING LTD,,Micro,,2100001570,#,CB6 3PG,128.10,
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHEC PLANNING LTD,,Micro,,2100001571,#,CB6 3PG,"1,680.00",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHEC PLANNING LTD,,Micro,,2100001571,#,CB6 3PG,98.40,
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHEC PLANNING LTD,,Micro,,2100001572,#,CB6 3PG,"1,680.00",
Communities & Local Government,PINS,10/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHEC PLANNING LTD,,Micro,,2100001572,#,CB6 3PG,150.60,
Communities & Local Government,PINS,11/07/2012,Conferences and Meeting Facilities,Common Land,OTS BACS VENDOR,,Not assigned,,2100001591,#,#,624.00,
Communities & Local Government,PINS,11/07/2012,NSI Fees & Expenses,NSI Fees Planning,ARROWSMITH ASSOCIATES,,Micro,,2100001594,#,HG5 9AY,"1,680.00",
Communities & Local Government,PINS,11/07/2012,NSI Fees & Expenses,NSI Expenses Planning,ARROWSMITH ASSOCIATES,,Micro,,2100001594,#,HG5 9AY,130.86,
Communities & Local Government,PINS,11/07/2012,NSI Fees & Expenses,NSI Fees Planning,EGGLETON PLANNING AND DESIGN,,Micro,,2100001583,#,HG4 1HZ,"2,016.00",
Communities & Local Government,PINS,11/07/2012,NSI Fees & Expenses,NSI Expenses Planning,EGGLETON PLANNING AND DESIGN,,Micro,,2100001583,#,HG4 1HZ,83.88,
Communities & Local Government,PINS,11/07/2012,NSI Fees & Expenses,NSI Fees Planning,FITZSIMON PLANNING & DEVELOPMENT,,Micro,,2100001584,#,CH7 5NL,"3,292.80",
Communities & Local Government,PINS,11/07/2012,NSI Fees & Expenses,NSI Fees Planning,GARY DEANE ASSOCIATES,,Micro,,2100001595,#,M33 6RG,"3,192.00",
Communities & Local Government,PINS,11/07/2012,NSI Fees & Expenses,NSI Expenses Planning,GARY DEANE ASSOCIATES,,Micro,,2100001595,#,M33 6RG,100.44,
Communities & Local Government,PINS,11/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106180913,HP C8543X TONERS,NG11 7EP,"2,050.56",
Communities & Local Government,PINS,11/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106180913,HP C9730A BLACK 5500 TONERS,NG11 7EP,423.18,
Communities & Local Government,PINS,11/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106180913,HP C9731A CYAN 5500 TONERS,NG11 7EP,593.93,
Communities & Local Government,PINS,11/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106180913,HP C9732A YELLOW 5500 TONERS,NG11 7EP,596.81,
Communities & Local Government,PINS,11/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106180913,HP C9733A MAGENTA 5500 TONERS,NG11 7EP,596.80,
Communities & Local Government,PINS,11/07/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106180915,HP Magenta ink carts 7680 C9392AE,NG11 7EP,731.51,
Communities & Local Government,PINS,11/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180919,Banner closed loop A4 paper,NR3 1PD,653.18,
Communities & Local Government,PINS,11/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180919,Plotter rolls,NR3 1PD,271.44,
Communities & Local Government,PINS,12/07/2012,IT - Software Maintenance,ICT,INSIGHT DIRECT (UK) LTD,,Large,,5106181010,Clearswift Mimesweeper for SMTP,UB8 1PH,"2,749.25",
Communities & Local Government,PINS,12/07/2012,NSI Fees & Expenses,NSI Fees Planning,FITZSIMON PLANNING & DEVELOPMENT,,Micro,,2100001598,#,CH7 5NL,"3,292.80",
Communities & Local Government,PINS,12/07/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,SYMBIOSIS CONSULTING LTD,,Micro,,2100001596,#,LE9 9FL,665.28,
Communities & Local Government,PINS,12/07/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,SYMBIOSIS CONSULTING LTD,,Micro,,2100001596,#,LE9 9FL,97.74,
Communities & Local Government,PINS,12/07/2012,Training,Projects,ELEPHANT SOLUTIONS,,Micro,,5106181012,Project Management Diploma,GU22 0EL,580.00,
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Fees Planning,MEDIATION & PLANNING SERVICES LTD,,Data Not Provided,,2100001630,#,BS20 7PX,"1,478.40",
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Expenses Planning,MEDIATION & PLANNING SERVICES LTD,,Data Not Provided,,2100001630,#,BS20 7PX,313.00,
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Fees Planning,MR WILL FIELDHOUSE,,Micro,,2100001627,#,S10 2NQ,"1,036.00",
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Expenses Planning,MR WILL FIELDHOUSE,,Micro,,2100001627,#,S10 2NQ,63.60,
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Fees Planning,TOWN PLANNING CONS SERVICE,,Micro,,2100001629,#,BR2 0SA,840.00,
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Expenses Planning,TOWN PLANNING CONS SERVICE,,Micro,,2100001629,#,BR2 0SA,37.05,
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Fees Planning,URBAN RURAL PLANNING ASSCN LTD,,Micro,,2300000001,#,PL14 6AF,"-1,142.40",
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Expenses Planning,URBAN RURAL PLANNING ASSCN LTD,,Micro,,2300000001,#,PL14 6AF,-89.48,
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Fees Planning,W D M PLANNING LTD,,Micro,,2100001625,#,RG12 9YL,840.00,
Communities & Local Government,PINS,13/07/2012,NSI Fees & Expenses,NSI Expenses Planning,W D M PLANNING LTD,,Micro,,2100001625,#,RG12 9YL,64.35,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Banner Document Wallets with Flap (Buff),NR3 1PD,36.00,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Banner Labels (1/Sheet),NR3 1PD,24.60,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Banner Magazine Files,NR3 1PD,44.69,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Banner Page Markers,NR3 1PD,4.68,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Banner Parcel Tape,NR3 1PD,27.94,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Banner Post-It Notes 76x76mm,NR3 1PD,13.54,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Banner Presentation 4D Ring Binder 60mm,NR3 1PD,47.04,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Banner Storage Boxes,NR3 1PD,151.02,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Banner Velcro Wallets,NR3 1PD,145.37,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Himark Black Markers,NR3 1PD,7.74,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Rapesco 4400 Large 4 Hole Punch,NR3 1PD,106.81,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Rapesco AV-79 Large Stapler,NR3 1PD,45.89,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Rapesco P2200 Large 2 Hole Punch,NR3 1PD,51.96,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Rapesco Replacement Punch Boards,NR3 1PD,6.58,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Rapesco Replacement Punch Cutters,NR3 1PD,93.91,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Rapesco Staples 9/(23)/14,NR3 1PD,11.64,
Communities & Local Government,PINS,13/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181066,Spiralbound Shorthand Notebook 203x127mm,NR3 1PD,7.80,
Communities & Local Government,PINS,16/07/2012,Legal Fees,Wales Director,TREASURY SOLICITORS DEPT,,Public Bodies,,5106181135,"Fees, charges & disembursements",WC2B 4TS,"1,248.00",
Communities & Local Government,PINS,16/07/2012,NSI Fees & Expenses,NSI Fees Planning,FITZSIMON PLANNING & DEVELOPMENT,,Micro,,2100001638,#,CH7 5NL,"3,796.80",
Communities & Local Government,PINS,16/07/2012,NSI Fees & Expenses,NSI Fees Planning,HIGH ASSOCIATES,,Small,,2100001637,#,PE30 3MB,"3,192.00",
Communities & Local Government,PINS,16/07/2012,NSI Fees & Expenses,NSI Expenses Planning,HIGH ASSOCIATES,,Small,,2100001637,#,PE30 3MB,284.04,
Communities & Local Government,PINS,16/07/2012,Office Machinery (<£5000),ICT,DANWOOD FINANCE LIMITED,,Large,,5106181143,Photocopiers,RH1 1NY,517.23,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,avery quick & clean business cards,NR3 1PD,110.38,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,banner A4 2 ring binder red,NR3 1PD,17.89,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,banner doc wallet heavy duty,NR3 1PD,484.56,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,banner self adhesive address labels,NR3 1PD,14.16,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,banner square cut folders buff,NR3 1PD,56.52,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,banner square cut folders red,NR3 1PD,56.52,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,banner staples 26/6,NR3 1PD,15.12,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,clensa screen wipes tubs,NR3 1PD,5.26,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,rapesco AV 79 stapler,NR3 1PD,45.89,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,rapesco foolscap clipboard,NR3 1PD,9.48,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,rapesco staples 9(23)14,NR3 1PD,11.64,
Communities & Local Government,PINS,16/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106181128,stylo stik black ballpoint pens,NR3 1PD,11.30,
