Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,BARRETT CONSERVATION & PLANNING,,MIC,,2100000002,,RG28 7DW,89.85,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,BARRETT CONSERVATION & PLANNING,,MIC,,2100000003,,RG28 7DW,143.85,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,CAMBRIDGE PLANNING SERVICES,,MIC,,2100000018,,CB3 0HS,102.95,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,CHARISMA SPATIAL PLANNING LTD,,MIC,,2100000015,,CM1 7DR,92.94,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,CHRIS THOMAS PLANNING,,,,2100000014,,CH6 5QE,54.60,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,DLP PLANNING,,MIC,,2100000020,,MK40 3NF,546.42,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,GARY DEANE ASSOCIATES,,MIC,,2100000012,,M33 6RG,189.00,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,LJE PLANNING LTD,,,,2100000022,,SO22 6RT,121.68,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,SIMON MILES PLANNING,,MIC,,2100000021,,EX20 4JW,264.65,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,STEP CONSULTANCY LTD,,MIC,,2100000011,,BN8 5DW,28.08,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Expenses Planning,WILLIAM FIELDHOUSE,,MIC,,2100000024,,S10 2NQ,275.00,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,BARRETT CONSERVATION & PLANNING,,MIC,,2100000002,,RG28 7DW,"1,142.40",,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,BARRETT CONSERVATION & PLANNING,,MIC,,2100000003,,RG28 7DW,"1,142.40",,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,CAMBRIDGE PLANNING SERVICES,,MIC,,2100000018,,CB3 0HS,952.00,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,CHARISMA SPATIAL PLANNING LTD,,MIC,,2100000015,,CM1 7DR,840.00,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,CHRIS THOMAS PLANNING,,,,2100000014,,CH6 5QE,980.00,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,DLP PLANNING,,MIC,,2100000020,,MK40 3NF,"2,116.80",,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,GARY DEANE ASSOCIATES,,MIC,,2100000012,,M33 6RG,"2,016.00",,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,LJE PLANNING LTD,,,,2100000022,,SO22 6RT,672.00,,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,SIMON MILES PLANNING,,MIC,,2100000021,,EX20 4JW,"1,932.00",,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,STEP CONSULTANCY LTD,,MIC,,2100000011,,BN8 5DW,"1,176.00",,,,
Communities & Local Government,PINS,10/04/2012,NSI Fees & Expenses,NSI Fees Planning,WILLIAM FIELDHOUSE,,MIC,,2100000024,,S10 2NQ,"1,064.00",,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Expenses Planning,H J L PLANNING,,MIC,,2100000108,,CM3 1HZ,31.50,,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Expenses Planning,SCOTTS PLANNING SERVICES,,MIC,,2100000099,,PO21 3UU,132.10,,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Expenses Planning,STAR PLANNING & DEVELOPMENT LTD,,MIC,,2100000105,,B14 6BX,482.56,,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Expenses Planning,TYLER PARKES PARTNERSHIP,,MIC,,2100000098,,B28 9HH,306.84,,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Fees Planning,H J L PLANNING,,MIC,,2100000108,,CM3 1HZ,840.00,,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Fees Planning,MR R J MAILE,,MIC,,2100000083,,BN11 1QG,"2,688.00",,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Fees Planning,MR R J MAILE,,MIC,,2100000089,,BN11 1QG,"2,016.00",,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Fees Planning,SCOTTS PLANNING SERVICES,,MIC,,2100000099,,PO21 3UU,"1,792.00",,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Fees Planning,STAR PLANNING & DEVELOPMENT LTD,,MIC,,2100000105,,B14 6BX,"5,275.20",,,,
Communities & Local Government,PINS,11/04/2012,NSI Fees & Expenses,NSI Fees Planning,TYLER PARKES PARTNERSHIP,,MIC,,2100000098,,B28 9HH,"2,150.40",,,,
Communities & Local Government,PINS,12/04/2012,Courier Services,Estates,CITY LINK,,LAR,,5106177732,City Link Postage,WA4 4SN,"1,692.21",,,,
Communities & Local Government,PINS,12/04/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,LAR,,5106177738,Interim Resource to Support Pins,SL6 1DP,"2,992.26",,,,
Communities & Local Government,PINS,12/04/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,LAR,,5106177737,Interim resource to support PINS,SL6 1DP,"4,189.16",,,,
Communities & Local Government,PINS,12/04/2012,Steady State Service Provision,Human Resources,LOGICA IT SERVICES UK LTD,,LAR,,5106177761,Payroll Service,CF31 9AP,"4,205.24",,,,
Communities & Local Government,PINS,12/04/2012,IT Maintenance,ICT,GETRONICS UK LTD,,LAR,,5106177704,Hardware and Maintenance Support,GU14 0NL,"15,175.25",,,,
Communities & Local Government,PINS,12/04/2012,IT SUPPORT,ICT,CAPITA RESOURCING LTD,,LAR,,5106177736,Contractor Support for development work,SL6 1DP,"5,752.88",,,,
Communities & Local Government,PINS,12/04/2012,Training,Inspector Costs,BRISTOL MARRIOTT CITY CENTRE HOTEL,,LAR,,5106177739,Inspector Training Event,BS1 3AD,"62,275.57",,,,
Communities & Local Government,PINS,12/04/2012,Online Database Information Retrieval,Library,THOMSON REUTERS,,LAR,,5106177698,Lawtel UK Services,SP10 9AF,"3,654.00",,,,
Communities & Local Government,PINS,12/04/2012,Online Database Information Retrieval,Library,THOMSON REUTERS,,LAR,,5106177700,Westlaw Services,SP10 9AF,"20,586.00",,,,
Communities & Local Government,PINS,12/04/2012,NSI Fees & Expenses,NSI Expenses Planning,CARBROOK ASSOCIATES,,MIC,,2100000140,,M32 8PN,56.40,,,,
Communities & Local Government,PINS,12/04/2012,NSI Fees & Expenses,NSI Expenses Planning,LEIGH & GLENNIE LTD,,MIC,,2100000141,,SL5 9EA,142.72,,,,
Communities & Local Government,PINS,12/04/2012,NSI Fees & Expenses,NSI Fees Planning,CARBROOK ASSOCIATES,,MIC,,2100000140,,M32 8PN,840.00,,,,
Communities & Local Government,PINS,12/04/2012,NSI Fees & Expenses,NSI Fees Planning,LEIGH & GLENNIE LTD,,MIC,,2100000141,,SL5 9EA,"2,016.00",,,,
Communities & Local Government,PINS,12/04/2012,Advertising,ROW,PENNA PLC,,LAR,,5106177733,Statutory Advert,EC4M 7RD,533.70,,,,
Communities & Local Government,PINS,12/04/2012,Advertising,ROW,PENNA PLC,,LAR,,5106177743,Statutory Advert,EC4M 7RD,"1,267.93",,,,
Communities & Local Government,PINS,13/04/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,LAR,,5106177701,A4 Printer Paper x 48 boxes (80gsm),NR3 1PD,650.30,,,,
Communities & Local Government,PINS,13/04/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,MR P G BIDDLE,,MIC,,2100000179,,OX12 9JA,359.50,,,,
Communities & Local Government,PINS,13/04/2012,NSI Fees & Expenses,NSI Expenses Planning,ALISON ROWLAND,,MIC,,2100000177,,BD20 7BG,120.78,,,,
Communities & Local Government,PINS,13/04/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,MR P G BIDDLE,,MIC,,2100000179,,OX12 9JA,616.00,,,,
Communities & Local Government,PINS,13/04/2012,NSI Fees & Expenses,NSI Fees Planning,ALISON ROWLAND,,MIC,,2100000177,,BD20 7BG,"3,360.00",,,,
Communities & Local Government,PINS,16/04/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,ALAN J ENGLEY & ASSOCIATES,,MIC,,2100000182,,BS37 6SN,105.84,,,,
Communities & Local Government,PINS,16/04/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,SYMBIOSIS CONSULTING LTD,,MIC,,2100000180,,LE9 9FL,147.06,,,,
Communities & Local Government,PINS,16/04/2012,NSI Fees & Expenses,NSI Expenses Planning,ARROWSMITH ASSOCIATES,,MIC,,2100000181,,HG5 9AY,177.48,,,,
Communities & Local Government,PINS,16/04/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,ALAN J ENGLEY & ASSOCIATES,,MIC,,2100000182,,BS37 6SN,"1,256.64",,,,
Communities & Local Government,PINS,16/04/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,SYMBIOSIS CONSULTING LTD,,MIC,,2100000180,,LE9 9FL,"1,256.64",,,,
Communities & Local Government,PINS,16/04/2012,NSI Fees & Expenses,NSI Fees Planning,ARROWSMITH ASSOCIATES,,MIC,,2100000181,,HG5 9AY,"2,016.00",,,,
Communities & Local Government,PINS,17/04/2012,Restaurant and Supplies,Estates,EUREST,,LAR,,5106177975,Hospitality March 2012,B45 9PZ,617.59,,,,
Communities & Local Government,PINS,18/04/2012,Printing,Admin Support,TAURUS PRINT & DESIGN LTD,,,,5106178007,1st class PPI stickers,KT14 7LF,"2,095.00",,,,
Communities & Local Government,PINS,18/04/2012,Printing,Admin Support,TAURUS PRINT & DESIGN LTD,,,,5106178042,Appeal files covers & Envelopes,KT14 7LF,"2,919.83",,,,
Communities & Local Government,PINS,18/04/2012,Courier Services,Estates,ROYAL MAIL,,LAR,,5106178016,Royal Mail Post,S49 1HQ,"1,613.62",,,,
Communities & Local Government,PINS,18/04/2012,Advertising,Human Resources,HAYMARKET PUBLISHING SERVS LTD,,,,5106178010,Premium listing on PlanningJobs,TW11 9BE,"1,512.00",,,,
Communities & Local Government,PINS,18/04/2012,Intangible Software Acquisition Cost,ICT,CACI INFORMATION SOLUTIONS LTD,,LAR,,5106177999,Remaining fee for variation 037,W14 8TS,"14,100.00",,,,
Communities & Local Government,PINS,18/04/2012,NSI Fees & Expenses,NSI Expenses Planning,MR A DALE,,MIC,,2100000253,,WA4 6LU,723.12,,,,
Communities & Local Government,PINS,18/04/2012,NSI Fees & Expenses,NSI Fees Planning,MR A DALE,,MIC,,2100000253,,WA4 6LU,"3,864.00",,,,
Communities & Local Government,PINS,18/04/2012,Advertising,ROW,PENNA PLC,,LAR,,5106178025,Statutory Advert,EC4M 7RD,"1,360.46",,,,
Communities & Local Government,PINS,19/04/2012,Courier Services,Estates,CITY LINK,,LAR,,5106178078,City Link Postage,WA4 4SN,"1,014.88",,,,
Communities & Local Government,PINS,19/04/2012,"IT - PC, Network & Hardware",ICT,DCLG ,,PUB,,5106178013,Set up of monitoring on Network Bridge,HP2 4XN,740.43,,,,
Communities & Local Government,PINS,19/04/2012,NSI Fees & Expenses,NSI Expenses Planning,WILLIAM FIELDHOUSE,,MIC,,2100000279,,S10 2NQ,174.98,,,,
Communities & Local Government,PINS,19/04/2012,NSI Fees & Expenses,NSI Fees Planning,WILLIAM FIELDHOUSE,,MIC,,2100000279,,S10 2NQ,"1,064.00",,,,
Communities & Local Government,PINS,20/04/2012,Courier Services,Estates,ROYAL MAIL,,LAR,,5106178112,Non VAT charges,S49 1HQ,105.80,,,,
Communities & Local Government,PINS,20/04/2012,Courier Services,Estates,ROYAL MAIL,,LAR,,5106178112,Royal Mail Post,S49 1HQ,"1,222.33",,,,
Communities & Local Government,PINS,20/04/2012,Courier Services,Estates,ROYAL MAIL,,LAR,,5106178119,Non VAT charges,S49 1HQ,1.27,,,,
Communities & Local Government,PINS,20/04/2012,Courier Services,Estates,ROYAL MAIL,,LAR,,5106178119,Royal Mail Post,S49 1HQ,"1,850.88",,,,
Communities & Local Government,PINS,20/04/2012,Electricity,Estates,EDF ENERGY 1 LIMITED,,LAR,,5106178142,Electricity for TQH 01/04/12-31/03/13,PL3 5XQ,"22,485.29",,,,
Communities & Local Government,PINS,24/04/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,LAR,,5106178199,Stationary Items,NR3 1PD,509.06,,,,
Communities & Local Government,PINS,24/04/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,LAR,,5106178201,Stationary Supplies,NR3 1PD,554.54,,,,
Communities & Local Government,PINS,24/04/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,LAR,,5106178202,Various paper goods,NR3 1PD,"1,057.52",,,,
Communities & Local Government,PINS,24/04/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,LAR,,5106178205,Stationary Supplies,NR3 1PD,708.58,,,,
Communities & Local Government,PINS,24/04/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,MR K RUSHFORTH,,MIC,,2100000415,,EX15 3NL,140.58,,,,
Communities & Local Government,PINS,24/04/2012,Electricity,Estates,EDF ENERGY 1 LIMITED,,LAR,,2100000413,,PL3 5XQ,78.90,,,,
Communities & Local Government,PINS,24/04/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,MR K RUSHFORTH,,MIC,,2100000415,,EX15 3NL,"1,995.84",,,,
Communities & Local Government,PINS,24/04/2012,Electricity,Estates,EDF ENERGY 1 LIMITED,,LAR,,2100000413,,PL3 5XQ,840.00,,,,
Communities & Local Government,PINS,24/04/2012,Advertising,ROW,PENNA PLC,,LAR,,5106178196,Advertising,EC4M 7RD,"1,024.20",,,,
Communities & Local Government,PINS,25/04/2012,Common Land,Group Managers,BERWIN LEIGHTON PAISNER LLP,,,,2100000426,PINS CP005308 REFUND,EC4R 9HA,"5,486.72",,,,
Communities & Local Government,PINS,25/04/2012,Advertising,Human Resources,HAYMARKET PUBLISHING SERVS LTD,,,,5106178266,1/4 pg mono advert in Planning,TW11 9BE,"2,754.00",,,,
Communities & Local Government,PINS,25/04/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,BRIAN G CRANE & ASSOCIATES,,MIC,,2100000425,,SG13 9EL,74.70,,,,
Communities & Local Government,PINS,25/04/2012,NSI Fees & Expenses,NSI Expenses Planning,H J L PLANNING,,MIC,,2100000423,,CM3 1HZ,31.95,,,,
Communities & Local Government,PINS,25/04/2012,NSI Fees & Expenses,NSI Expenses Planning,MANSELL JAGGER,,MIC,,2100000424,,CT2 8NH,72.00,,,,
Communities & Local Government,PINS,25/04/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,BRIAN G CRANE & ASSOCIATES,,MIC,,2100000425,,SG13 9EL,"1,256.64",,,,
Communities & Local Government,PINS,25/04/2012,NSI Fees & Expenses,NSI Fees Planning,H J L PLANNING,,MIC,,2100000423,,CM3 1HZ,840.00,,,,
Communities & Local Government,PINS,25/04/2012,NSI Fees & Expenses,NSI Fees Planning,HIGH ASSOCIATES,,SMA,,2100000416,,PE30 3MB,"1,476.48",,,,
Communities & Local Government,PINS,25/04/2012,NSI Fees & Expenses,NSI Fees Planning,MANSELL JAGGER,,MIC,,2100000424,,CT2 8NH,"1,400.00",,,,
Communities & Local Government,PINS,26/04/2012,IT - Service Contracts,ICT,SYNETRIX LTD,,LAR,,2100000473,Remote Access & WAN links,ST5 5NB,"-2,552.00",,,,
Communities & Local Government,PINS,26/04/2012,IT - Service Contracts,ICT,SYNETRIX LTD,,LAR,,5106178348,Remote Access & WAN links,ST5 5NB,"2,552.00",,,,
Communities & Local Government,PINS,27/04/2012,Mobile phone costs,Admin Support,VODAFONE UK,,LAR,,5106178349,Mobile Phone Charges,NG24 2EG,"4,117.68",,,,
Communities & Local Government,PINS,27/04/2012,Mobile phone costs,Admin Support,VODAFONE UK,,LAR,,5106178363,mobile phone costs,NG24 2EG,"1,958.10",
Communities & Local Government,PINS,27/04/2012,Office machinery consumables,Admin Support,X M A LTD,,,,5106178364,IT Consumables,NG11 7EP,"2,969.86",
Communities & Local Government,PINS,27/04/2012,Physical Storage,Admin Support,TNT UK LTD,,LAR,,5106178418,File storage & associated costs,DE11 1EG,"3,284.67",
Communities & Local Government,PINS,27/04/2012,Courier Services,Estates,CITY LINK,,LAR,,5106178360,City Link Postage,WA4 4SN,"1,390.96",
Communities & Local Government,PINS,27/04/2012,Gas,Estates,CORONA ENERGY LTD,,LAR,,5106178366,Gas Payment,WD17 1JW,"3,915.94",
Communities & Local Government,PINS,27/04/2012,Cmmunication Telecom Costs,ICT,CABLE & WIRELESS,,LAR,,5106178371,GCF Hosting,MK3 5JP,"14,857.85",
Communities & Local Government,PINS,27/04/2012,IT - Service Contracts,ICT,SYNETRIX LTD,,LAR,,5106178416,Remote Access & WAN links,ST5 5NB,"93,411.00",
Communities & Local Government,PINS,27/04/2012,IT - Service Contracts,ICT,SYNETRIX LTD,,LAR,,5106178417,Remote Access & WAN links,ST5 5NB,"-2,552.00",
Communities & Local Government,PINS,27/04/2012,IT - Software Maintenance,ICT,SOFTCAT LTD,,LAR,,5106178361,PGP & Lumension Renewal 2012/2013,SL7 1TB,"17,382.16",
Communities & Local Government,PINS,27/04/2012,IT SUPPORT,ICT,CAPITA RESOURCING LTD,,LAR,,5106178355,Fabasoft Upgrade - Specialist Contractor,SL6 1DP,"3,517.38",
Communities & Local Government,PINS,27/04/2012,IT SUPPORT,ICT,CAPITA RESOURCING LTD,,LAR,,5106178375,Fabasoft Upgrade - Specialist Contractor,SL6 1DP,"3,057.91",
Communities & Local Government,PINS,27/04/2012,Mobile phone costs,ICT,VODAFONE UK,,LAR,,5106178365,mobile phone contracts,NG24 2EG,"1,353.98",
Communities & Local Government,PINS,27/04/2012,Mobile phone costs,ICT,VODAFONE UK,,LAR,,5106178365,mobile phone costs,NG24 2EG,4.50,
Communities & Local Government,PINS,27/04/2012,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,PUB,,5106178387,Treasury Solicitors 0%,WC2B 4TS,865.39,
Communities & Local Government,PINS,27/04/2012,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,PUB,,5106178387,Treasury Solicitors 20%,WC2B 4TS,"129,536.22",
Communities & Local Government,PINS,27/04/2012,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,PUB,,5106178390,Treasury Solicitors 17.50%,WC2B 4TS,"1,128.00",
Communities & Local Government,PINS,27/04/2012,Legal Fees,Legal,TREASURY SOLICITORS DEPT,,PUB,,5106178390,Treasury Solicitors 20%,WC2B 4TS,"1,113.60",
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,ALAN J ENGLEY & ASSOCIATES,,MIC,,2100000398,,BS37 6SN,153.36,
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,MR B J UNWIN,,MIC,,2100000394,,GL20 6BD,126.90,
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,SYMBIOSIS CONSULTING LTD,,MIC,,2100000396,,LE9 9FL,155.16,
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Expenses Planning,ARGYLE PLANNING CONSULTANCY LTD,,MIC,,2100000382,,NE66 1AJ,574.69,
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Expenses Planning,EGGLETON PLANNING AND DESIGN,,MIC,,2100000381,,HG4 1HZ,359.57,
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Expenses Planning,GRESTY LAND AGENCY LTD,,MIC,,2100000393,,PE9 4EF,151.35,
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Expenses Planning,MARTIN CHAMPION,,MIC,,2100000383,,KT24 5HH,186.30,
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,ALAN J ENGLEY & ASSOCIATES,,MIC,,2100000398,,BS37 6SN,"1,256.64",
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,MR B J UNWIN,,MIC,,2100000394,,GL20 6BD,"1,034.88",
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,SYMBIOSIS CONSULTING LTD,,MIC,,2100000396,,LE9 9FL,"1,404.48",
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Fees Planning,ARGYLE PLANNING CONSULTANCY LTD,,MIC,,2100000382,,NE66 1AJ,"2,576.00",
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Fees Planning,EGGLETON PLANNING AND DESIGN,,MIC,,2100000381,,HG4 1HZ,"1,276.80",
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Fees Planning,FITZSIMON PLANNING & DEVELOPMENT,,MIC,,2100000378,,CH7 5NL,"2,620.80",
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Fees Planning,GRESTY LAND AGENCY LTD,,MIC,,2100000393,,PE9 4EF,980.00,
Communities & Local Government,PINS,27/04/2012,NSI Fees & Expenses,NSI Fees Planning,MARTIN CHAMPION,,MIC,,2100000383,,KT24 5HH,"1,288.00",
Communities & Local Government,PINS,27/04/2012,Office Machinery (<£5000),Wales Director,NEW RICOH UK,,LAR,,5106178354,MDF Costs,TW13 7HG,"1,207.79",
Communities & Local Government,PINS,27/04/2012,Translations,Wales Director,TROSOL CYFYNGEDIG,,SMA,,5106178374,Welsh translation for PINS Wales,CF14 5GH,"2,348.91",
Communities & Local Government,PINS,30/04/2012,Mobile phone costs,Admin Support,VODAFONE UK,,LAR,,5106178461,Mobile Payments,NG24 2EG,"1,959.32",
Communities & Local Government,PINS,30/04/2012,Office machinery consumables,Admin Support,X M A LTD,,,,5106178440,Cartridge Replacements,NG11 7EP,"2,210.72",
Communities & Local Government,PINS,30/04/2012,Office machinery consumables,Admin Support,X M A LTD,,,,5106178441,Cartridge Replacements,NG11 7EP,657.70,
Communities & Local Government,PINS,30/04/2012,Courier Services,Estates,ROYAL MAIL,,LAR,,5106178377,Non VAT charges,S49 1HQ,2.49,
Communities & Local Government,PINS,30/04/2012,Courier Services,Estates,ROYAL MAIL,,LAR,,5106178377,Royal Mail Post,S49 1HQ,"2,122.64",
Communities & Local Government,PINS,30/04/2012,Facilities Management (ISD use only),Estates,TAYLOR WOODROW CONSTRUCTION,,LAR,,5106178450,Stage 3 of move management in TQH,WD24 4WW,"86,996.99",
Communities & Local Government,PINS,30/04/2012,Office Machinery (<£5000),ICT,DANWOOD FINANCE LIMITED,,LAR,,5106178454,Lease Rental,RH1 1NY,517.24,
,,,,,,,,,,,,,
Communities & Local Government,PINS,25/04/2012,Notional Internal Audit Services (IAS),IPC (agreed pre-integration),MOORE STEPHENS,,LAR,,2100000427,Moore Stephens 211790,EC1A 4AB,"9,916.20",
Communities & Local Government,PINS,27/04/2012,Agency Staff,IPC (agreed pre-integration),CAPITA RESOURCING LTD,,LAR,,5106178333,Contractor for IPC,SL6 1DP,"1,490.40",
Communities & Local Government,PINS,27/04/2012,Agency Staff,IPC (agreed pre-integration),CAPITA RESOURCING LTD,,LAR,,5106178379,Contractor for IPC,SL6 1DP,779.72,
Communities & Local Government,PINS,27/04/2012,Catering,IPC (agreed pre-integration),EUREST,,LAR,,5106178342,Hospitality,B45 9PZ,8.80,
Communities & Local Government,PINS,27/04/2012,Catering,IPC (agreed pre-integration),EUREST,,LAR,,5106178342,Hospitality March 2012,B45 9PZ,589.22,
Communities & Local Government,PINS,27/04/2012,Courier Services,IPC (agreed pre-integration),ROYAL MAIL,,LAR,,5106178396,Royal Mail Services for IPC,S49 1HQ,"1,002.96",
Communities & Local Government,PINS,27/04/2012,Legal Fees,IPC (agreed pre-integration),TREASURY SOLICITORS DEPT,,PUB,,5106178383,Treasury Solicitor Service,WC2B 4TS,"4,092.00",
Communities & Local Government,PINS,27/04/2012,Legal Fees,IPC (agreed pre-integration),GOVT ACTUARYS DEPARTMENT,,PUB,,2100000397,Actuarial March 2013,EC4A 1AB,"2,040.30",
