Name,Rank,Job Title,Date,Detail,Journalist/Organisation,Hospitality
Paul Lambert,Vice Admiral,DCDS(Cap),14-Sep-11,Attended DSEI Conference ,Various journalists in attendance,Nil
Paul Lambert,Vice Admiral,DCDS(Cap),24-Oct-11,"Witness, Public Accounts Committee Hearing on Armoured Fighting Vehicles",Recorded for Parliament TV & streamed online,Nil
Charles Montgomery,Vice Admiral,Second Sea Lord and Commander-in-Chief Naval Home Command,20-Oct-11,"Maritime Component Training System Opening, HMS COLLINGWOOD – short television interview",BFBS,Nil
Charles Montgomery,Vice Admiral,Second Sea Lord and Commander-in-Chief Naval Home Command,21-Oct-11,Trafalgar Day Ceremony – HMS VICTORY.  2 short television interviews.,"ITV Meridian, BBC South, BFBS.",Nil
Philip Raffaelli,Vice Admiral,Surgeon General,13-Sep-11,Interview BFBS/SSAFA for inclusion in SSAFA conference,James Banks BFBS,Nil
Philip Raffaelli,Vice Admiral,Surgeon General,30-Sep-11,MMA Turf Cutting Ceremony DMS Whittington,Local media in attendance,Surgeon General hosted lunch
Sir William Rollo,Lieutenant General ,DCDS(Pers&Trg),29-Sep-11,Interview for an article on the Military Covenant for RUSI.,Mr Padraig Belton. Researcher & Journalist at the University of Oxford,Nil
Gary Coward,Lieutenant General ,Chief of Materiel - Land,10-Aug-11,Regional Media Briefing,"Editor Bristol Evening Post – Mike Norton, Western Daily Press-Eleanor McGillie, Glos Gazette – Alexander Womack  ",Nil
Gary Coward,Lieutenant General ,Chief of Materiel - Land,14-Sep-11,Attended DSEI Conference ,Various journalists in attendance,Nil
Mark Mans,Lieutenant General ,Adjutant General ,13-Sep-11,Speech delivered as Inspecting Officer at 8FEB Search Badge Parade at Wimbish,Local media possibly in attendance,Nil
Mark Mans,Lieutenant General ,Adjutant General ,23-Sep-11,Speech delivered as Inspecting Officer at Gurkha Recruit Pass Off Parade at Catterick,Local media possibly in attendance,Nil
Sir Stuart Peach,Air Marshal,Chief Joint Operations (CJO),30-Sep-11,RUSI Trenchard Memorial Lecture,Various national and regional media in attendance,Nil
Sir Stuart Peach,Air Marshal,Chief Joint Operations,11-13 Oct 11,Attendance at talks in Australia at Australian Defence College and Australian Joint Warfare Conference,Australian media possibly in attendance.  ,Nil
Sir Stuart Peach,Air Marshal,Chief Joint Operations,27-Oct-11,End of ELLAMY press conference ,Various journalists in attendance,Nil
Andrew Pulford,Air Marshal ,Air Member for Personnel and Deputy Commander-in-Chief Personnel,15-Sep-11,Attended Air Force Board Dinner,"Sir David Frost and Martha Kearney, World at One",AFB Hospitality
Kevin Leeson,Air Marshal,Chief of Materiel (Air),02-Sep-11,Speech and interviews for the opening of the Cobham Voyager conversion facility,Various local media and aviation publications ,Buffet lunch
Kevin Leeson,Air Marshal,Chief of Materiel (Air),14-Sep-11,Attended DSEI Conference ,Various journalists in attendance,Nil
Timothy Anderson  ,Air Marshal ,Director General Military Aviation Authority,14-Sep-11,Attended DSEI Conference ,Various journalists in attendance,Nil
Paul Newton,Lieutenant General ,Commander Force Development and Training ,14-Sep-11,Attended DSEI Conference ,Various journalists in attendance,Nil
Tom McKane ,SCS Band 3,Director General Security Policy,9-11 Sep-11,"Attended IISS Conference, Geneva","Elizabeth Pond, Independent Author and Journalist; Philip Stephens
Associate Editor, Financial Times; and Nick Cumming-Bruce, Journalist were present",Nil
Peter Watkins ,SCS Band 3,Director General Defence Academy,14-Sep-11,Attended DSEI Conference ,Various journalists in attendance,Nil
Andrew Manley,SCS Band 3,CEO Defence Infrastructure Organisation,14-Sep-11,Attended DSEI Conference ,Various journalists in attendance,Nil
Dr Frances Saunders,SCS Band 3,"Chief Executive, DSTL",14-Sep-11,Attended DSEI Conference ,Various journalists in attendance,Nil
Pete Worrall,SCS Band 3,Chief of Materiel Joint Enablers,14-Sep-11,Attended DSEI Conference ,Various journalists in attendance,Nil
