Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,25/11/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,KY11 2YD,5000066843,Estate core services charge,"2,603,514.04"
Ministry of Defence,Ministry of Defence,23/11/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,871808,Transport other operating lease,"2,475,550.98"
Ministry of Defence,Ministry of Defence,04/11/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,864531,Cost of food purchases,"2,407,521.37"
Ministry of Defence,Ministry of Defence,07/11/2011,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,864987,Intangible single use military equipment asset  - in year capital addition,"2,345,645.95"
Ministry of Defence,Ministry of Defence,04/11/2011,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,ROYAL MAIL GROUP LIMITED,S49 1HQ,864558,Freight movement costs,"2,322,333.49"
Ministry of Defence,Ministry of Defence,08/11/2011,Fees for professional services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,865396,Fees for professional services excluding legal fees,"2,295,191.17"
Ministry of Defence,Ministry of Defence,18/11/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,870185,Fiscal asset under construction - capital in year addition,"2,253,641.57"
Ministry of Defence,Ministry of Defence,14/11/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000013488,Raw materials and consumable aviation fuel inventory purchased,"2,242,702.05"
Ministry of Defence,Ministry of Defence,14/11/2011,Transport hire charges,Air Command,FBS LIMITED,RG24 8AG,867846,Transport finance lease service charge,"2,202,475.83"
Ministry of Defence,Ministry of Defence,23/11/2011,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,871867,Works - estate management,"2,111,307.96"
Ministry of Defence,Ministry of Defence,25/11/2011,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,873246,Estate + facilities management services - accommodation inventory + service,"2,082,979.02"
Ministry of Defence,Ministry of Defence,16/11/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,868730,Works - estate management,"2,068,298.57"
Ministry of Defence,Ministry of Defence,15/11/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,BFPO 57,5000066049,Estate + facilities management services - accommodation inventory + service,"2,009,085.66"
Ministry of Defence,Ministry of Defence,18/11/2011,Medical treatment & stores and welfare services,Central TLB,SERVICES SOUND & VISION CORPORATION,SL9 8TN,870589,Recreational facilities costs in support of social work,"1,991,668.00"
Ministry of Defence,Ministry of Defence,23/11/2011,Transport hire charges,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,871808,Transport other operating lease,"1,957,365.64"
Ministry of Defence,Ministry of Defence,04/11/2011,Purchase of information and communications technology,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,OX25 1LP,864401,IT + communications asset - in year capital addition,"1,929,703.00"
Ministry of Defence,Ministry of Defence,21/11/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,871221,Utilities consumed - electricity,"1,924,509.99"
Ministry of Defence,Ministry of Defence,14/11/2011,Fees for professional services,Land Forces,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,867906,Fees for professional services excluding legal fees,"1,906,157.00"
Ministry of Defence,Ministry of Defence,23/11/2011,Design services and minor equipment purchases,Air Command,BABCOCK SUPPORT SERVICES LIMITED,BH23 6BS,871812,Equipment support non-project costs,"1,845,152.54"
Ministry of Defence,Ministry of Defence,02/11/2011,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,863251,Estate + facilities management services - accommodation inventory + service,"1,843,200.34"
Ministry of Defence,Ministry of Defence,14/11/2011,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,867772,Property non dwellings private finance initiative - service concession arrangement service charge,"1,759,387.28"
Ministry of Defence,Ministry of Defence,21/11/2011,Grants to Reserves Forces and Cadets Association,Land Forces,THE ARMY CADET FORCE ASSOCIATION,EC2A 4DW,871243,Grants to reserve forces and cadet associations,"1,748,902.07"
Ministry of Defence,Ministry of Defence,21/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,870820,Fiscal asset under construction - capital in year addition,"1,667,245.08"
Ministry of Defence,Ministry of Defence,08/11/2011,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000065346,Works services - excluding United States forces/NATO + married quarters,"1,656,060.09"
Ministry of Defence,Ministry of Defence,18/11/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,870546,Cost of food purchases,"1,652,955.88"
Ministry of Defence,Ministry of Defence,09/11/2011,Transport hire charges,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,865854,Transport fighting equipment operating lease,"1,639,028.00"
Ministry of Defence,Defence Science and Technology Laboratory,18/11/2011,Facility Management Costs,Infrastructure,SERCO LIMITED,,V - 9000137942 - 00122081,,"1,588,792.70"
Ministry of Defence,Ministry of Defence,24/11/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,872838,Cost of food purchases,"1,584,197.50"
Ministry of Defence,Ministry of Defence,29/11/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000013781,Raw materials and consumable aviation fuel inventory purchased,"1,513,677.78"
Ministry of Defence,Ministry of Defence,16/11/2011,Design services and minor equipment purchases,Defence Equipment & Support,VECTOR AEROSPACE INTERNATIONAL  LIMITED,PO13 0AA,869265,Equipment support non-project costs,"1,502,233.35"
Ministry of Defence,Ministry of Defence,17/11/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,869913,Equipment support non-project costs,"1,482,866.79"
Ministry of Defence,Ministry of Defence,21/11/2011,Property leases,Defence Infrastructure Organisation ,TRICOMM HOUSING LIMITED,EH3 7HL,871261,Property dwellings private finance initiative - service concession arrangement service charge,"1,467,144.38"
Ministry of Defence,Ministry of Defence,24/11/2011,"Administration, claims, compensation and awards",Central TLB,H M REVENUE & CUSTOMS,CF14 5XZ,165064,Cost of claims/compensation and related expenses against MOD,"1,417,409.00"
Ministry of Defence,Ministry of Defence,21/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,VOLKER STEVIN LIMITED,EN11 9BX,871300,Fiscal asset under construction - capital in year addition,"1,358,104.80"
Ministry of Defence,Ministry of Defence,24/11/2011,Spend on Inventory - General,Defence Equipment & Support,AGUSTAWESTLAND LIMITED,BA20 2YB,872394,Spend on Inventory - General,"1,348,590.75"
Ministry of Defence,Ministry of Defence,16/11/2011,Fees for professional services,Central TLB,SERCO LIMITED,RG27 9UY,869160,Fees for professional services excluding legal fees,"1,274,201.68"
Ministry of Defence,Ministry of Defence,14/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER ESTATE SOLUTIONS LIMITED,KY11 2BL,868178,Fiscal asset under construction - capital in year addition,"1,247,750.40"
Ministry of Defence,Ministry of Defence,08/11/2011,Grants to Reserves Forces and Cadets Association,Land Forces,THE ARMY CADET FORCE ASSOCIATION,EC2A 4DW,865742,Grants to reserve forces and cadet associations,"1,231,323.00"
Ministry of Defence,Ministry of Defence,10/11/2011,Fees for professional services,Central TLB,CRANFIELD UNIVERSITY,MK43 0AL,866606,Fees for professional services excluding legal fees,"1,226,124.17"
Ministry of Defence,Ministry of Defence,18/11/2011,General services and support,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,870336,Defence equipment CLS/IOS service charge,"1,201,002.00"
Ministry of Defence,Ministry of Defence,03/11/2011,Property leases,Defence Infrastructure Organisation ,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,863743,Property dwellings private finance initiative - service concession arrangement service charge,"1,167,768.26"
Ministry of Defence,Defence Science and Technology Laboratory,25/11/2011,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000138136 - 00123095,,"1,155,067.81"
Ministry of Defence,Ministry of Defence,22/11/2011,Design services and minor equipment purchases,Defence Equipment & Support,EUROCOPTER,,5000066493,Equipment support project costs,"1,125,746.96"
Ministry of Defence,Ministry of Defence,04/11/2011,Spend on Inventory - General,Defence Equipment & Support,FORCE PROTECTION EUROPE LIMITED,CV31 1FQ,864369,Spend on Inventory - General,"1,112,467.20"
Ministry of Defence,Ministry of Defence,11/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,867189,Fiscal asset under construction - capital in year addition,"1,104,612.00"
Ministry of Defence,Ministry of Defence,03/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,863687,Fiscal asset under construction - capital in year addition,"1,102,213.92"
Ministry of Defence,Defence Science and Technology Laboratory,04/11/2011,Sub Contracted Research,Programme Office,MBDA UK LIMITED,,V - 9000137395 - 00118121,,"1,100,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,18/11/2011,Sub Contracted Work,Programme Office,EPSRC,,V - 9000137850 - 00121490,,"1,100,000.00"
Ministry of Defence,Ministry of Defence,02/11/2011,Property leases,Central TLB,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,863298,Property non dwellings private finance initiative - service concession arrangement service charge,"1,086,832.51"
Ministry of Defence,Ministry of Defence,17/11/2011,Property leases,Central TLB,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,869697,Property non dwellings private finance initiative - service concession arrangement service charge,"1,084,458.69"
Ministry of Defence,Ministry of Defence,16/11/2011,Transport hire charges,Land Forces,BUSVERKEHR OSTWESTFALEN GMBH,,6000000175,Transport other hire charge,"1,058,636.30"
Ministry of Defence,Ministry of Defence,07/11/2011,Purchase of inventory and services ,Defence Equipment & Support,AGUSTAWESTLAND LIMITED,BA20 2YB,864697,Consumption of medical dental and veterinary inventory,"1,046,666.66"
Ministry of Defence,Ministry of Defence,02/11/2011,Spend on Inventory - General,Defence Equipment & Support,FORCE PROTECTION EUROPE LIMITED,CV31 1FQ,863206,Spend on Inventory - General,"1,020,736.08"
Ministry of Defence,Ministry of Defence,23/11/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,872285,Utilities consumed - electricity,"1,010,629.46"
Ministry of Defence,Ministry of Defence,03/11/2011,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,863592,Property dwellings private finance initiative - service concession arrangement service charge,"995,544.27"
Ministry of Defence,Ministry of Defence,07/11/2011,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,864733,External military training ,"988,411.73"
Ministry of Defence,Ministry of Defence,03/11/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,864046,Equipment support non-project costs,"986,012.31"
Ministry of Defence,Ministry of Defence,21/11/2011,Design services and minor equipment purchases,Defence Equipment & Support,ROLLS-ROYCE PLC,BS34 7QE,871165,Equipment support non-project costs,"936,093.00"
Ministry of Defence,Ministry of Defence,03/11/2011,Grants to NDPBs,Land Forces,ROYAL HOSPITAL,SW3 4SR,864033,Operating costs grant in aid to the Royal Hospital Chelsea,"916,750.00"
Ministry of Defence,Ministry of Defence,07/11/2011,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,BFPO 53,6000000053,Utilities consumed - electricity,"911,695.10"
Ministry of Defence,Ministry of Defence,08/11/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,865698,Estate + facilities management services - accommodation inventory + service,"882,967.67"
Ministry of Defence,Ministry of Defence,21/11/2011,Transport hire charges,Land Forces,RYDER DEUTSCHLAND GMBH,,5000066429,Transport other operating lease,"865,839.57"
Ministry of Defence,Ministry of Defence,11/11/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,867101,Single use military equipment asset under construction - capital in year addition,"862,200.00"
Ministry of Defence,Ministry of Defence,16/11/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,869202,Utilities consumed - electricity,"844,799.41"
Ministry of Defence,Ministry of Defence,22/11/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,871702,Utilities consumed - electricity,"840,629.56"
Ministry of Defence,Ministry of Defence,17/11/2011,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10896,Monthly GPC payment,"836,071.80"
Ministry of Defence,Ministry of Defence,14/11/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,868071,Cost of food purchases,"821,677.40"
Ministry of Defence,Ministry of Defence,21/11/2011,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,870820,Works - estate management,"821,238.18"
Ministry of Defence,Ministry of Defence,21/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER ESTATE SOLUTIONS LIMITED,KY11 2BL,871266,Fiscal asset under construction - capital in year addition,"820,018.00"
Ministry of Defence,Ministry of Defence,02/11/2011,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,863428,Works - estate management,"817,114.93"
Ministry of Defence,Ministry of Defence,28/11/2011,Estate management,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000066990,Works - estate management,"815,355.05"
Ministry of Defence,Ministry of Defence,18/11/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,870607,Utilities consumed - electricity,"813,851.80"
Ministry of Defence,Ministry of Defence,08/11/2011,Research and development,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,865397,Research and development incurred on projects with defence science and technology laboratory,"811,511.44"
Ministry of Defence,Ministry of Defence,14/11/2011,General services and support,Land Forces,FBS LIMITED,RG24 8AG,867846,Defence equipment private finance initiative - service concession arrangement service charge,"810,662.45"
Ministry of Defence,Ministry of Defence,28/11/2011,Purchase of inventory and services ,Defence Equipment & Support,HAWKER BEECHCRAFT LIMITED,CH4 0BA,873782,Consumption of medical dental and veterinary inventory,"806,557.60"
Ministry of Defence,Ministry of Defence,22/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLION CONSTRUCTION LIMITED,WV1 4HY,871404,Fiscal asset under construction - capital in year addition,"802,402.00"
Ministry of Defence,Defence Science and Technology Laboratory,18/11/2011,Sub Contracted Work,Operations,EPSRC,,V - 9000137850 - 00121490,,"800,000.00"
Ministry of Defence,Ministry of Defence,03/11/2011,General services and support,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,863865,Defence equipment CLS/IOS service charge,"799,505.40"
Ministry of Defence,Defence Science and Technology Laboratory,04/11/2011,IT Hardware,Infrastructure,STERIA LIMITED,,V - 9000137447 - 00121177,,"798,310.73"
Ministry of Defence,Ministry of Defence,23/11/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,871917,Fiscal asset under construction - capital in year addition,"788,680.50"
Ministry of Defence,Ministry of Defence,08/11/2011,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,865320,External military training ,"788,393.76"
Ministry of Defence,Ministry of Defence,29/11/2011,Design services and minor equipment purchases,Defence Equipment & Support,NAMSA,,5000067150,Equipment support non-project costs,"784,686.45"
Ministry of Defence,Ministry of Defence,18/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,870175,Fiscal asset under construction - capital in year addition,"770,280.10"
Ministry of Defence,Defence Science and Technology Laboratory,04/11/2011,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000137447 - 00121181,,"766,967.90"
Ministry of Defence,Defence Science and Technology Laboratory,25/11/2011,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000138102 - 00122810,,"766,967.90"
Ministry of Defence,Ministry of Defence,17/11/2011,Rental of plant and machinery,Defence Equipment & Support,BARLOWORLD HANDLING LTD,WA3 3JD,869371,Plant + machinery private finance initiative - service concession arrangements service charge,"752,448.40"
Ministry of Defence,Ministry of Defence,21/11/2011,Grants to NDPBs,Land Forces,NATIONAL ARMY MUSEUM,SW3 4HT,871042,Operating costs grant in aid to the National Army museum,"752,000.00"
Ministry of Defence,Ministry of Defence,24/11/2011,Grants to NDPBs,Air Command,ROYAL AIR FORCE MUSEUM,NW9 5LL,872860,Operating costs grant in aid to the Royal Air Force museum,"750,000.00"
Ministry of Defence,Ministry of Defence,03/11/2011,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,864000,Equipment support project costs,"743,927.00"
Ministry of Defence,Ministry of Defence,21/11/2011,International contributions,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,Defence military assistance fund international subscriptions and other payments,"736,804.00"
Ministry of Defence,Ministry of Defence,10/11/2011,Design services and minor equipment purchases,Defence Equipment & Support,POLAR SHIP INVEST II AS,N5809,3000006145,Equipment support non-project costs,"736,250.00"
Ministry of Defence,Ministry of Defence,07/11/2011,Estate management,Defence Infrastructure Organisation ,VT FLAGSHIP LTD,PO6 4PR,865262,Estate + facilities management services - accommodation inventory + service,"728,396.94"
Ministry of Defence,Ministry of Defence,25/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SEFA CONTRACTORS JV,,3000006243,Fiscal asset under construction - capital in year addition,"728,277.71"
Ministry of Defence,Ministry of Defence,08/11/2011,Spend on Inventory - General,Defence Equipment & Support,ITURRI SA,OX16 3TA,3000006133,Spend on Inventory - General,"722,672.57"
Ministry of Defence,Ministry of Defence,29/11/2011,IT and communication services,Defence Equipment & Support,CAPGEMINI UK PLC,GU21 6DB,874193,Information technology services,"721,090.94"
Ministry of Defence,Ministry of Defence,08/11/2011,Spend on Inventory - General,Defence Equipment & Support,ITURRI SA,OX16 3TA,3000006132,Spend on Inventory - General,"719,095.68"
Ministry of Defence,Ministry of Defence,15/11/2011,Rent and rates,Defence Infrastructure Organisation ,WILTSHIRE COUNCIL,BA14 4DS,868659,Rent buildings - non civil estate property and married quarter property,"716,098.31"
Ministry of Defence,Ministry of Defence,10/11/2011,Design services and minor equipment purchases,Defence Equipment & Support,SOUTHERN SCIENTIFIC LIMITED,BN15 0DP,866946,Equipment support non-project costs,"715,000.00"
Ministry of Defence,Ministry of Defence,04/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,VSM ESTATES LIMITED,B32 1AF,864664,Fiscal asset under construction - capital in year addition,"710,374.80"
Ministry of Defence,Ministry of Defence,23/11/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,871808,Transport other operating lease,"688,661.83"
Ministry of Defence,Ministry of Defence,11/11/2011,Grants to NDPBs,Navy Command,SEA CADET CORPS,SE1 7JF,867487,Operating costs grant in aid to the royal navy marine society and sea cadets.,"684,362.00"
Ministry of Defence,Ministry of Defence,18/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,870560,Fiscal asset under construction - capital in year addition,"672,879.16"
