Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total (£)
Ministry of Defence,Ministry of Defence,06/03/2012,Purchase of inventory and services ,Central TLB,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,909360,Cost of other material consumed,"16,525.19"
Ministry of Defence,Ministry of Defence,08/03/2012,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,911136,Fees for professional services excluding legal fees,"16,417.53"
Ministry of Defence,Ministry of Defence,23/03/2012,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,917561,Transport other operating lease,"16,398.94"
Ministry of Defence,Ministry of Defence,23/03/2012,Administration,Air Command,VT FLAGSHIP LTD,PO6 4PR,918178,General administration,"16,398.00"
Ministry of Defence,Ministry of Defence,12/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,HALE HAMILTON (VALVES) LTD,UB8 2AF,912321,Equipment support non-project costs,"16,371.39"
Ministry of Defence,Ministry of Defence,09/03/2012,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,911758,Medical health services,"16,360.54"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,914430,Works - estate management,"16,336.28"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of inventory and services ,Land Forces,C F ANDERSON & SON LIMITED,C06 1HD,918310,Consumption of general inventory,"16,332.50"
Ministry of Defence,Ministry of Defence,20/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,DSV AIR & SEA LIMITED,M22 4NY,915858,Freight movement costs,"16,289.29"
Ministry of Defence,Ministry of Defence,08/03/2012,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,911110,Utilities consumed - heating oil,"16,270.91"
Ministry of Defence,Ministry of Defence,30/03/2012,Spend on Inventory - General,Land Forces,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3RY,921341,Spend on Inventory - General,"16,264.97"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Defence Equipment & Support,C F ANDERSON & SON LIMITED,C06 1HD,912179,Consumption of general inventory,"16,184.46"
Ministry of Defence,Ministry of Defence,06/03/2012,"Transportation of personnel, freight and travel expenses",Air Command,JETEX FZCO,,5000073619,Aircraft landing fees,"16,119.00"
Ministry of Defence,Ministry of Defence,09/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,KIDDE GRAVINER LIMITED,SL3 0HB,911780,Equipment support non-project costs,"16,096.68"
Ministry of Defence,Ministry of Defence,28/03/2012,Spend on Inventory - General,Land Forces,BUNZL UK LIMITED,KT19 8TY,919490,Spend on Inventory - General,"16,055.89"
Ministry of Defence,Ministry of Defence,23/03/2012,Food and clothing,Air Command,TECHNOGYM U K LIMITED,RG12 8PE,918128,Cost of purchasing and repairing clothing,"15,988.60"
Ministry of Defence,Ministry of Defence,23/03/2012,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,917636,Medical health services,"15,986.25"
Ministry of Defence,Ministry of Defence,28/03/2012,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,919635,Medical health services,"15,959.58"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,912663,Cost of other material consumed,"15,953.08"
Ministry of Defence,Ministry of Defence,14/03/2012,"Transportation of personnel, freight and travel expenses",Air Command,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013644,Aircraft landing fees,"15,926.82"
Ministry of Defence,Ministry of Defence,07/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,910463,Freight movement costs,"15,921.95"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,918811,Cost of other material consumed,"15,900.19"
Ministry of Defence,Ministry of Defence,16/03/2012,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,914439,Equipment support non-project costs,"15,884.67"
Ministry of Defence,Ministry of Defence,22/03/2012,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,916972,Cost of other material consumed,"15,867.57"
Ministry of Defence,Ministry of Defence,08/03/2012,Payment of utilities,Defence Equipment & Support,PACE FUELCARE LIMITED,TW20 9AB,911339,Utilities consumed - heating oil,"15,777.97"
Ministry of Defence,Ministry of Defence,05/03/2012,Development costs for military equipment,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,908879,Intangible fiscal asset  - in year capital addition,"15,736.99"
Ministry of Defence,Ministry of Defence,02/03/2012,Purchase of inventory and services ,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,908314,Cost of other material consumed,"15,727.38"
Ministry of Defence,Ministry of Defence,15/03/2012,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,913838,Consumption of medical dental and veterinary inventory,"15,701.57"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Defence Equipment & Support,AVENANCE PLC,SK11 6ET,914435,Estate + facilities management services - accommodation inventory + service,"15,669.17"
Ministry of Defence,Ministry of Defence,08/03/2012,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,910936,Equipment support non-project costs,"15,662.76"
Ministry of Defence,Ministry of Defence,21/03/2012,IT and communication services,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,916392,Information technology services,"15,651.45"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Sub Contracted Work,Operations,SMART FIBRES LIMITED,,V - 9000141580 - 00132587,,"15,512.25"
Ministry of Defence,Ministry of Defence,13/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,VT FLAGSHIP LTD,PO6 4PR,913142,Equipment support non-project costs,"15,494.00"
Ministry of Defence,Ministry of Defence,30/03/2012,Fuel for military use,Air Command,EUROSHELL DEUTSCHLAND GMBH,,5000075881,Oil and lubricants consumed excluding those from the inventory system,"15,481.15"
Ministry of Defence,Ministry of Defence,19/03/2012,Design services and minor equipment purchases,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,915058,Equipment support non-project costs,"15,473.05"
Ministry of Defence,Ministry of Defence,22/03/2012,Purchase of inventory and services ,Navy Command,E.P.BARRUS LTD,OX26 4UR,917104,Consumption of engineering and technical inventory,"15,440.96"
Ministry of Defence,Ministry of Defence,15/03/2012,"Purchase of munitions, other inventory or fuel",Land Forces,CYMA PETROLEUM (UK) LIMITED,EN5 5TD,913975,Raw materials and consumable aviation fuel inventory purchased,"15,349.67"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of inventory and services ,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,914497,Cost of other material consumed,"15,335.75"
Ministry of Defence,Ministry of Defence,30/03/2012,Spend on Inventory - General,Land Forces,JOSEPH GLEAVE & SON LTD,M32 0NB,921269,Spend on Inventory - General,"15,321.48"
Ministry of Defence,Ministry of Defence,21/03/2012,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,916788,Cost of food services,"15,315.38"
Ministry of Defence,Ministry of Defence,28/03/2012,Food and clothing,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,919913,Cost of food services,"15,314.05"
Ministry of Defence,Ministry of Defence,30/03/2012,Food and clothing,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,921606,Cost of food services,"15,314.05"
Ministry of Defence,Ministry of Defence,19/03/2012,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,915130,Medical health services,"15,302.58"
Ministry of Defence,Ministry of Defence,02/03/2012,Fees for professional services,Central TLB,MAYOR'S OFFICE FOR POLICING AND CRIME (MOPC),SW6 1TR,908478,Fees for professional services excluding legal fees,"15,274.00"
Ministry of Defence,Ministry of Defence,12/03/2012,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,912305,Utilities consumed - heating oil,"15,218.29"
Ministry of Defence,Ministry of Defence,02/03/2012,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,RH1 1RX,908701,Utilities consumed - gas,"15,035.52"
Ministry of Defence,Ministry of Defence,13/03/2012,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,912874,Fees for professional services excluding legal fees,"15,006.36"
Ministry of Defence,Ministry of Defence,21/03/2012,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,916867,Works - estate management,"15,000.00"
Ministry of Defence,Ministry of Defence,19/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,915639,Fiscal asset under construction - capital in year addition,"14,978.82"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Air Command,WATSON PETROLEUM LTD,SN15 5DN,916217,Utilities consumed - heating oil,"14,922.37"
Ministry of Defence,Ministry of Defence,21/03/2012,Payment of utilities,Land Forces,WATSON PETROLEUM LTD,SN15 5DN,916899,Utilities consumed - heating oil,"14,888.16"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Land Forces,WATSON PETROLEUM LTD,SN15 5DN,917479,Utilities consumed - heating oil,"14,827.45"
Ministry of Defence,Ministry of Defence,14/03/2012,Payment of utilities,Land Forces,BP OIL UK LTD,BS11 8DL,913238,Utilities consumed - gas,"14,782.85"
Ministry of Defence,Ministry of Defence,13/03/2012,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,912674,Consumption of medical dental and veterinary inventory,"14,744.24"
Ministry of Defence,Ministry of Defence,29/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,D 30169,5000075691,Fiscal asset under construction - capital in year addition,"14,733.87"
Ministry of Defence,Ministry of Defence,05/03/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,908741,Consumption of medical dental and veterinary inventory,"14,711.39"
Ministry of Defence,Ministry of Defence,15/03/2012,Fees for professional services,Air Command,AMEC ENVIRONMENT & INFRASTRUCTURE UK LIMITED,NE3 3PX,913860,Fees for professional services excluding legal fees,"14,692.65"
Ministry of Defence,Ministry of Defence,28/03/2012,Food and clothing,Air Command,COTSWOLD OUTDOOR LTD,SN16 9SH,919532,Cost of purchasing and repairing clothing,"14,628.97"
Ministry of Defence,Ministry of Defence,09/03/2012,Payment of utilities,Air Command,GB OILS LIMITED,FK5 4RB,911728,Utilities consumed - heating oil,"14,622.72"
Ministry of Defence,Ministry of Defence,29/03/2012,Spend on Inventory - General,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,920800,Spend on Inventory - General,"14,619.00"
Ministry of Defence,Ministry of Defence,01/03/2012,Medical treatment & stores and welfare services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,907876,Medical health services,"14,611.80"
Ministry of Defence,Ministry of Defence,28/03/2012,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,919601,Utilities consumed - heating oil,"14,605.05"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,917142,Utilities consumed - heating oil,"14,604.14"
Ministry of Defence,Ministry of Defence,06/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,909723,Fiscal asset under construction - capital in year addition,"14,592.00"
Ministry of Defence,Ministry of Defence,07/03/2012,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,910873,Cost of other material consumed,"14,567.24"
Ministry of Defence,Ministry of Defence,19/03/2012,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,915558,Cost of food services,"14,529.93"
Ministry of Defence,Ministry of Defence,05/03/2012,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,909243,Cost of other material consumed,"14,494.99"
Ministry of Defence,Ministry of Defence,13/03/2012,Purchase of inventory and services ,Command Joint Operations,BOC LIMITED,M28 2UT,912750,Consumption of engineering and technical inventory,"14,493.77"
Ministry of Defence,Ministry of Defence,08/03/2012,Payment of utilities,Air Command,PACE FUELCARE LIMITED,TW20 9AB,911339,Utilities consumed - heating oil,"14,446.13"
Ministry of Defence,Ministry of Defence,07/03/2012,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,910545,Medical health services,"14,414.03"
Ministry of Defence,Ministry of Defence,12/03/2012,Fuel for military use,Land Forces,GB OILS LIMITED,FK5 4RB,912305,Oil and lubricants consumed excluding those from the inventory system,"14,402.95"
Ministry of Defence,Ministry of Defence,16/03/2012,Medical treatment & stores and welfare services,Land Forces,SERVICES SOUND & VISION CORPORATION,SL9 8TN,914876,Welfare services including sports equipment and ministers of religion.,"14,334.00"
Ministry of Defence,Ministry of Defence,07/03/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,BUNZL UK LIMITED,KT19 8TY,910403,Spend on Inventory - General,"14,297.05"
Ministry of Defence,Ministry of Defence,20/03/2012,Estate management,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,915723,Works services - excluding United States forces/NATO + married quarters,"14,264.62"
Ministry of Defence,Ministry of Defence,01/03/2012,IT and communication services,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,907807,Information technology services,"14,249.77"
Ministry of Defence,Ministry of Defence,27/03/2012,Estate management,Air Command,QINETIQ LIMITED,PO12 2AG,919219,Estate + facilities management services - accommodation inventory + service,"14,216.00"
Ministry of Defence,Ministry of Defence,09/03/2012,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,912072,Cost of other material consumed,"14,203.48"
Ministry of Defence,Ministry of Defence,05/03/2012,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,908879,Research and development incurred on projects with defence science and technology laboratory,"14,197.60"
Ministry of Defence,Ministry of Defence,30/03/2012,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,920859,Consumption of medical dental and veterinary inventory,"14,153.06"
Ministry of Defence,Ministry of Defence,30/03/2012,Estate management,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,920912,Works services - excluding United States forces/NATO + married quarters,"14,141.58"
Ministry of Defence,Ministry of Defence,22/03/2012,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,917028,Medical health services,"14,106.03"
Ministry of Defence,Ministry of Defence,19/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,915179,Equipment support project costs,"14,093.89"
Ministry of Defence,Ministry of Defence,30/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,921094,Equipment support non-project costs,"14,074.94"
Ministry of Defence,Ministry of Defence,30/03/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,TECHNOGYM U K LIMITED,RG12 8PE,921670,Fiscal asset under construction - capital in year addition,"14,046.48"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Travel & Subsistence,Operations,BARCLAYCARD,,G - 0000002054 - 00132904,,"14,007.59"
Ministry of Defence,Ministry of Defence,06/03/2012,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,909249,Consumption of medical dental and veterinary inventory,"14,001.84"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Central TLB,WATSON PETROLEUM LTD,SN15 5DN,916217,Utilities consumed - heating oil,"13,998.74"
Ministry of Defence,Ministry of Defence,28/03/2012,Spend on Inventory - General,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 3LS,919447,Spend on Inventory - General,"13,989.62"
Ministry of Defence,Ministry of Defence,09/03/2012,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,911728,Utilities consumed - heating oil,"13,982.16"
Ministry of Defence,Ministry of Defence,20/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013697,Movement of service personnel,"13,978.06"
Ministry of Defence,Ministry of Defence,29/03/2012,Payment of utilities,Land Forces,DCC ENERGY LTD,BT3 9ED,35022,Utilities consumed - heating oil,"13,977.86"
Ministry of Defence,Ministry of Defence,22/03/2012,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,917490,Cost of other material consumed,"13,901.65"
Ministry of Defence,Ministry of Defence,27/03/2012,Food and clothing,Navy Command,COTSWOLD OUTDOOR LTD,SN16 9SH,918960,Cost of purchasing and repairing clothing,"13,890.69"
Ministry of Defence,Ministry of Defence,27/03/2012,Fees for professional services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,918968,Fees for professional services excluding legal fees,"13,859.71"
Ministry of Defence,Ministry of Defence,12/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,912242,Freight movement costs,"13,819.87"
Ministry of Defence,Ministry of Defence,29/03/2012,Payment of utilities,Air Command,GB OILS LIMITED,FK5 4RB,920304,Utilities consumed - heating oil,"13,785.92"
Ministry of Defence,Ministry of Defence,07/03/2012,Purchase of inventory and services ,Navy Command,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,910444,Cost of other material consumed,"13,780.99"
Ministry of Defence,Ministry of Defence,01/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,908159,Fiscal asset under construction - capital in year addition,"13,749.43"
Ministry of Defence,Ministry of Defence,30/03/2012,Payment of utilities,Land Forces,GB OILS LIMITED,FK5 4RB,921189,Utilities consumed - heating oil,"13,710.28"
Ministry of Defence,Ministry of Defence,29/03/2012,Purchase of inventory and services ,Air Command,CANON (UK) LIMITED,RH2 8BF,920159,Cost of other material consumed,"13,684.61"
Ministry of Defence,Ministry of Defence,13/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,SELEX GALILEO LTD,SS14 3EL,913082,Equipment support non-project costs,"13,673.40"
Ministry of Defence,Ministry of Defence,23/03/2012,Research and development,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,918017,Research and development excluding defence science and technology laboratory,"13,627.00"
Ministry of Defence,Ministry of Defence,23/03/2012,General services and support,Land Forces,AMPLIVOX LTD,OX5 1JD,917527,Purchase of defence support equipment below capitalisation threshold of £25k.,"13,612.00"
Ministry of Defence,Ministry of Defence,30/03/2012,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,920951,Cost of other material consumed,"13,604.27"
Ministry of Defence,Ministry of Defence,12/03/2012,Spend on Inventory - General,Land Forces,L WHITAKER & SONS (1983) LIMITED,OL11 2PU,912364,Spend on Inventory - General,"13,596.04"
Ministry of Defence,Ministry of Defence,27/03/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,918880,Cost of other material consumed,"13,571.48"
Ministry of Defence,Ministry of Defence,16/03/2012,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,914498,Medical health services,"13,563.01"
Ministry of Defence,Ministry of Defence,07/03/2012,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,910873,Cost of other material consumed,"13,530.17"
Ministry of Defence,Ministry of Defence,05/03/2012,Spend on Inventory - General,Land Forces,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3RY,909015,Spend on Inventory - General,"13,518.99"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Defence Equipment & Support,WATSON PETROLEUM LTD,SN15 5DN,917479,Utilities consumed - heating oil,"13,427.61"
Ministry of Defence,Ministry of Defence,30/03/2012,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,921651,Utilities consumed - electricity,"13,425.27"
Ministry of Defence,Ministry of Defence,16/03/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,FORBO FLOORING UK LIMITED,DE5 3NT,914597,Spend on Inventory - General,"13,418.50"
Ministry of Defence,Ministry of Defence,08/03/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3RY,911216,Spend on Inventory - General,"13,400.85"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,917500,Consumption of medical dental and veterinary inventory,"13,395.49"
Ministry of Defence,Ministry of Defence,15/03/2012,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,914085,Medical health services,"13,378.64"
Ministry of Defence,Ministry of Defence,22/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,E.P.BARRUS LTD,OX26 4UR,917104,Equipment support non-project costs,"13,376.08"
Ministry of Defence,Ministry of Defence,30/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,TELEVISION INSTALLATION SERVICES (MANSFIELD) LIMITED,NG18 5BU,921674,Equipment support non-project costs,"13,337.84"
Ministry of Defence,Ministry of Defence,20/03/2012,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,915691,Consumption of medical dental and veterinary inventory,"13,331.34"
Ministry of Defence,Ministry of Defence,19/03/2012,Spend on Inventory - General,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,915061,Spend on Inventory - General,"13,299.48"
Ministry of Defence,Ministry of Defence,26/03/2012,Food and clothing,Air Command,COTSWOLD OUTDOOR LTD,SN16 9SH,918352,Cost of purchasing and repairing clothing,"13,294.85"
Ministry of Defence,Ministry of Defence,02/03/2012,Research and development,Central TLB,QINETIQ LIMITED,PO12 2AG,908606,Research and development excluding defence science and technology laboratory,"13,257.60"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,912080,Consumption of medical dental and veterinary inventory,"13,235.54"
Ministry of Defence,Ministry of Defence,29/03/2012,Rent and rates,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013788,Rent buildings - civil estate property,"13,230.60"
Ministry of Defence,Ministry of Defence,14/03/2012,Rent and rates,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013643,Rent buildings - civil estate property,"13,204.15"
Ministry of Defence,Ministry of Defence,02/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SOUTHERN WATER SERVICES LIMITED,BN13 3NZ,908658,Utilities consumed - water + sewage,"13,200.80"
Ministry of Defence,Ministry of Defence,22/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,SODEXO LTD,M50 0AL,917402,Military short term detached duty,"13,167.26"
Ministry of Defence,Ministry of Defence,01/03/2012,Research and development,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,907807,Feasibility studies covering concept/assessment phase costs,"13,071.33"
Ministry of Defence,Ministry of Defence,21/03/2012,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,916487,Utilities consumed - heating oil,"13,030.98"
Ministry of Defence,Ministry of Defence,09/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,THALES OPTRONICS LTD,G51 4BZ,912012,Equipment support non-project costs,"13,023.00"
Ministry of Defence,Ministry of Defence,23/03/2012,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,917751,Utilities consumed - heating oil,"12,980.12"
Ministry of Defence,Ministry of Defence,15/03/2012,Medical treatment & stores and welfare services,Land Forces,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,914073,Medical health services,"12,951.43"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Land Forces,GB OILS LIMITED,FK5 4RB,917142,Utilities consumed - heating oil,"12,918.03"
Ministry of Defence,Ministry of Defence,08/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,ROCKWELL COLLINS UK LIMITED,RG6 1LA,911381,Equipment support non-project costs,"12,911.10"
Ministry of Defence,Ministry of Defence,30/03/2012,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,921786,Cost of other material consumed,"12,852.35"
Ministry of Defence,Ministry of Defence,30/03/2012,Food and clothing,Land Forces,NAVY ARMY AND AIR FORCE INSTITUES (THE),DL1 1YN,5000075917,Cost of food purchases,"12,767.84"
Ministry of Defence,Ministry of Defence,05/03/2012,Purchase of inventory and services ,Central TLB,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,908868,Cost of other material consumed,"12,679.94"
Ministry of Defence,Ministry of Defence,28/03/2012,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,920030,Cost of other material consumed,"12,654.99"
Ministry of Defence,Ministry of Defence,29/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,CITYSPRINT (UK) LIMITED,RH1 1SH,920186,Freight movement costs,"12,606.92"
Ministry of Defence,Ministry of Defence,30/03/2012,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,920930,Equipment support non-project costs,"12,581.99"
Ministry of Defence,Ministry of Defence,21/03/2012,Research and development,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,916735,Research and development excluding defence science and technology laboratory,"12,571.71"
Ministry of Defence,Ministry of Defence,27/03/2012,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,918861,Transport other operating lease,"12,544.35"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,918811,Cost of other material consumed,"12,504.14"
Ministry of Defence,Ministry of Defence,02/03/2012,Property leases,Navy Command,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,908377,Property dwellings private finance initiative - service concession arrangement service charge,"12,466.85"
Ministry of Defence,Ministry of Defence,14/03/2012,Purchase of inventory and services ,Navy Command,BOC LIMITED,M28 2UT,913231,Consumption of engineering and technical inventory,"12,447.67"
Ministry of Defence,Ministry of Defence,23/03/2012,Transport hire charges,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,917561,Transport other operating lease,"12,409.51"
Ministry of Defence,Ministry of Defence,26/03/2012,Spend on Inventory - General,Defence Equipment & Support,HALE HAMILTON (VALVES) LTD,UB8 2AF,918437,Spend on Inventory - General,"12,390.57"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Navy Command,GB OILS LIMITED,FK5 4RB,915890,Utilities consumed - heating oil,"12,387.60"
Ministry of Defence,Ministry of Defence,06/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,CHARLES GEE & CO. LIMITED,EC4V 5JT,909348,Freight movement costs,"12,366.81"
Ministry of Defence,Ministry of Defence,06/03/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,909249,Consumption of medical dental and veterinary inventory,"12,350.71"
