Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total (£)
Ministry of Defence,Ministry of Defence,30/03/2012,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,921233,Estate + facilities management services - accommodation inventory + service,"4,390,000.00"
Ministry of Defence,Ministry of Defence,08/03/2012,Transport hire charges,Air Command,FBS LIMITED,RG24 8AG,911089,Transport finance lease service charge,"4,206,758.83"
Ministry of Defence,Ministry of Defence,19/03/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,915183,Fiscal asset under construction - capital in year addition,"3,584,054.25"
Ministry of Defence,Ministry of Defence,12/03/2012,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,912126,Estate core services charge,"3,546,967.49"
Ministry of Defence,Ministry of Defence,22/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLION CONSTRUCTION LIMITED,WV1 4HY,917023,Fiscal asset under construction - capital in year addition,"3,251,760.40"
Ministry of Defence,Ministry of Defence,02/03/2012,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,908216,Plant + machinery private finance initiative - service concession arrangements service charge,"3,174,329.28"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000140866 - 00128006,,"2,727,316.65"
Ministry of Defence,Ministry of Defence,08/03/2012,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,KY11 2YD,5000073775,Estate core services charge,"2,726,838.66"
Ministry of Defence,Ministry of Defence,23/03/2012,Administration,Navy Command,VT FLAGSHIP LTD,PO6 4PR,918178,General administration,"2,671,339.00"
Ministry of Defence,Ministry of Defence,12/03/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000015050,Raw materials and consumable aviation fuel inventory purchased,"2,540,831.44"
Ministry of Defence,Ministry of Defence,28/03/2012,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,919913,Equipment support non-project costs,"2,466,442.51"
Ministry of Defence,Ministry of Defence,15/03/2012,Purchase of information and communications technology,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,OX25 1LP,914088,IT + communications asset - in year capital addition,"2,443,725.74"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SEFA CONTRACTORS JV,,3000006811,Fiscal asset under construction - capital in year addition,"2,420,115.61"
Ministry of Defence,Ministry of Defence,14/03/2012,Purchase of buildings and military equipment ,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,913432,Fiscal asset under construction - capital in year addition,"2,379,863.84"
Ministry of Defence,Ministry of Defence,12/03/2012,Fees for professional services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,912233,Fees for professional services excluding legal fees,"2,372,632.92"
Ministry of Defence,Ministry of Defence,09/03/2012,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000073869,Works services - excluding United States forces/NATO + married quarters,"2,318,394.48"
Ministry of Defence,Ministry of Defence,05/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SEFA CONTRACTORS JV,,3000006675,Fiscal asset under construction - capital in year addition,"2,312,934.95"
Ministry of Defence,Ministry of Defence,12/03/2012,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,912129,Transport other operating lease,"2,306,996.12"
Ministry of Defence,Defence Support Group,09/03/2012,Debtors - Sundry,Business Stream 1,DE&S/DLO,,10156098,,"2,266,044.21"
Ministry of Defence,Ministry of Defence,23/03/2012,Rent and rates,Defence Infrastructure Organisation ,TOUCHSTONE CORPORATE PROPERTY SERVICES LIMITED,BA2 2AF,918144,Rent land - non civil estate property + married quarter property,"2,210,463.46"
Ministry of Defence,Ministry of Defence,29/03/2012,Rent and rates,Defence Infrastructure Organisation ,LONDON & REGIONAL (ST GEORGES  COURT) LIMITED,W1U 8EW,920407,Rent land - non civil estate property + married quarter property,"2,160,000.00"
Ministry of Defence,Ministry of Defence,16/03/2012,Medical treatment & stores and welfare services,Central TLB,SERVICES SOUND & VISION CORPORATION,SL9 8TN,914876,Recreational facilities costs in support of social work,"2,041,196.00"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,Sub Contracted Research,Programme Office,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000140560 - 00127657,,"1,993,553.95"
Ministry of Defence,Ministry of Defence,30/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,921720,Utilities consumed - gas,"1,984,958.99"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,916142,Utilities consumed - electricity,"1,983,524.71"
Ministry of Defence,Ministry of Defence,12/03/2012,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,912126,Works - estate management,"1,948,560.86"
Ministry of Defence,Ministry of Defence,20/03/2012,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,915830,Property non dwellings private finance initiative - service concession arrangement service charge,"1,863,025.47"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,918323,Fiscal asset under construction - capital in year addition,"1,859,531.81"
Ministry of Defence,Ministry of Defence,12/03/2012,Transport hire charges,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,912129,Transport other operating lease,"1,802,675.38"
Ministry of Defence,Ministry of Defence,08/03/2012,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,911153,Estate + facilities management services - accommodation inventory + service,"1,742,379.47"
Ministry of Defence,Ministry of Defence,30/03/2012,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,921537,Cost of food purchases,"1,719,960.68"
Ministry of Defence,Ministry of Defence,27/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,919326,Utilities consumed - gas,"1,709,845.19"
Ministry of Defence,Ministry of Defence,08/03/2012,Fees for professional services,Land Forces,CENTRAL OFFICE OF INFORMATION,SE1 7DU,911002,Fees for professional services excluding legal fees,"1,701,326.00"
Ministry of Defence,Ministry of Defence,30/03/2012,Purchase of inventory and services ,Land Forces,HORIZONS INCORPORATED,,3000006847,Consumption of engineering and technical inventory,"1,593,438.37"
Ministry of Defence,Ministry of Defence,22/03/2012,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,917352,Cost of food purchases,"1,569,132.96"
Ministry of Defence,Ministry of Defence,09/03/2012,Transport hire charges,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,911594,Transport fighting equipment operating lease,"1,561,686.00"
Ministry of Defence,Ministry of Defence,07/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,910453,Fiscal asset under construction - capital in year addition,"1,557,781.82"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Facility Management Costs,Infrastructure,SERCO LIMITED,,V - 9000141122 - 00131245,,"1,551,017.18"
Ministry of Defence,Ministry of Defence,21/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,916805,Utilities consumed - electricity,"1,546,384.12"
Ministry of Defence,Ministry of Defence,13/03/2012,Externally delivered education and training,Navy Command,VT FLAGSHIP LTD,PO6 4PR,913142,External military training ,"1,516,483.25"
Ministry of Defence,Ministry of Defence,01/03/2012,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,908060,Cost of food purchases,"1,489,583.09"
Ministry of Defence,Ministry of Defence,19/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,VOLKER STEVIN LIMITED,EN11 9BX,915668,Fiscal asset under construction - capital in year addition,"1,451,923.40"
Ministry of Defence,Ministry of Defence,02/03/2012,Property leases,Defence Infrastructure Organisation ,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,908377,Property dwellings private finance initiative - service concession arrangement service charge,"1,438,383.38"
Ministry of Defence,Ministry of Defence,30/03/2012,Development costs for military equipment,Defence Equipment & Support,FUJITSU SERVICES LIMITED,TW18 3BF,921181,Intangible fiscal asset  - in year capital addition,"1,417,967.55"
Ministry of Defence,Ministry of Defence,01/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,908149,Utilities consumed - gas,"1,393,083.40"
Ministry of Defence,Ministry of Defence,02/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,908701,Utilities consumed - gas,"1,348,063.79"
Ministry of Defence,Defence Support Group,09/03/2012,Debtors - Sundry,Business Stream 1,DE&S/DLO,,10156097,,"1,316,893.27"
Ministry of Defence,Ministry of Defence,30/03/2012,Grants to Reserves Forces and Cadets Association,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,921072,Grants to reserve forces and cadet associations,"1,279,790.83"
Ministry of Defence,Ministry of Defence,14/03/2012,Fees for professional services,Central TLB,SERCO LIMITED,RG27 9UY,913688,Fees for professional services excluding legal fees,"1,279,654.67"
Ministry of Defence,Ministry of Defence,12/03/2012,Fees for professional services,Central TLB,CRANFIELD UNIVERSITY,MK43 0AL,912223,Fees for professional services excluding legal fees,"1,242,300.92"
Ministry of Defence,Ministry of Defence,14/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,913432,Fiscal asset under construction - capital in year addition,"1,231,143.94"
Ministry of Defence,Ministry of Defence,16/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,914903,Utilities consumed - electricity,"1,225,523.79"
Ministry of Defence,Ministry of Defence,14/03/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,913323,Fiscal asset under construction - capital in year addition,"1,190,032.52"
Ministry of Defence,Ministry of Defence,05/03/2012,Spend on Inventory - General,Defence Equipment & Support,ITURRI SA,OX16 3TA,3000006671,Spend on Inventory - General,"1,188,130.00"
Ministry of Defence,Ministry of Defence,13/03/2012,Fees for professional services,Land Forces,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,912878,Fees for professional services excluding legal fees,"1,164,224.17"
Ministry of Defence,Ministry of Defence,07/03/2012,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,910735,Cost of food purchases,"1,164,083.06"
Ministry of Defence,Ministry of Defence,14/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,913717,Utilities consumed - electricity,"1,160,777.13"
Ministry of Defence,Ministry of Defence,26/03/2012,"Adminstration, claims, compensation and awards",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013750,Cost of claims/compensation and related expenses against MOD,"1,139,519.00"
Ministry of Defence,Ministry of Defence,02/03/2012,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000073409,Estate core services charge,"1,137,093.89"
Ministry of Defence,Ministry of Defence,22/03/2012,Grants to Reserves Forces and Cadets Association,Central TLB,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,917062,Grants to reserve forces and cadet associations,"1,137,000.00"
Ministry of Defence,Ministry of Defence,20/03/2012,Property leases,Central TLB,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,915971,Property non dwellings private finance initiative - service concession arrangement service charge,"1,104,903.87"
Ministry of Defence,Ministry of Defence,15/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,914301,Utilities consumed - electricity,"1,098,279.35"
Ministry of Defence,Ministry of Defence,22/03/2012,Spend on Inventory - General,Defence Equipment & Support,ITURRI SA,OX16 3TA,3000006794,Spend on Inventory - General,"1,075,090.26"
Ministry of Defence,Ministry of Defence,07/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,910831,Utilities consumed - gas,"1,071,477.35"
Ministry of Defence,Ministry of Defence,07/03/2012,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,910454,Works - estate management,"1,059,483.73"
Ministry of Defence,Ministry of Defence,28/03/2012,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,919717,Estate core services charge,"1,049,067.84"
Ministry of Defence,Ministry of Defence,30/03/2012,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,921606,Equipment support non-project costs,"1,041,296.68"
Ministry of Defence,Ministry of Defence,21/03/2012,Transport hire charges,Land Forces,BUSVERKEHR OSTWESTFALEN GMBH,,5000074701,Transport other hire charge,"1,031,721.82"
Ministry of Defence,Ministry of Defence,06/03/2012,Fees for professional services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013564,Fees for professional services excluding legal fees,"1,030,905.09"
Ministry of Defence,Ministry of Defence,12/03/2012,Grants to NDPBs,Navy Command,SEA CADET CORPS,SE1 7JF,912548,Operating costs grant in aid to the royal navy marine society and sea cadets.,"1,000,000.00"
Ministry of Defence,Ministry of Defence,29/03/2012,Design services and minor equipment purchases,Land Forces,EUROCOPTER,,5000075590,Equipment support project costs,"984,585.59"
Ministry of Defence,Ministry of Defence,13/03/2012,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,912906,Estate core services charge,"977,217.38"
Ministry of Defence,Ministry of Defence,30/03/2012,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,920882,Plant + machinery private finance initiative - service concession arrangements service charge,"976,012.12"
Ministry of Defence,Ministry of Defence,23/01/2012,"Public relations, including marketing and advertising",Command Joint Operations,CABLE AND WIRELESS,,16,Public relations services including items such as sales marketing and advertising,"965,315.00"
Ministry of Defence,Ministry of Defence,21/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,916348,Fiscal asset under construction - capital in year addition,"962,658.96"
Ministry of Defence,Ministry of Defence,01/03/2012,Spend on Inventory - General,Defence Equipment & Support,FORCE PROTECTION EUROPE LIMITED,CV31 1FQ,907859,Spend on Inventory - General,"959,836.02"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,914887,Estate + facilities management services - accommodation inventory + service,"956,268.37"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000141571 - 00132896,,"948,655.18"
Ministry of Defence,Defence Science and Technology Laboratory,23/03/2012,Rent/Lease of Land & Bldgs,Infrastructure,QINETIQ LIMITED,,V - 9000141332 - 00131587,,"933,199.65"
Ministry of Defence,Ministry of Defence,21/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,916391,Fiscal asset under construction - capital in year addition,"925,965.00"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,IT Hardware,Infrastructure,STERIA LIMITED,,V - 9000140612 - 00130023,,"904,361.28"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000140612 - 00130025,,"902,848.19"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000141531 - 00132982,,"902,848.19"
Ministry of Defence,Ministry of Defence,20/03/2012,International contributions,Central TLB,UNITED NATIONS,,2000015134,Defence military assistance fund international subscriptions and other payments,"898,734.18"
Ministry of Defence,Ministry of Defence,27/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,EUROCOPTER,,5000075159,Equipment support project costs,"886,890.67"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER ESTATE SOLUTIONS LIMITED,KY11 2BL,918155,Fiscal asset under construction - capital in year addition,"878,408.40"
Ministry of Defence,Ministry of Defence,20/03/2012,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,916122,Estate + facilities management services - accommodation inventory + service,"866,343.04"
Ministry of Defence,Ministry of Defence,29/03/2012,Fees for professional services,Land Forces,CENTRAL OFFICE OF INFORMATION,SE1 7DU,920174,Fees for professional services excluding legal fees,"860,534.59"
Ministry of Defence,Ministry of Defence,21/03/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,MEGGITT TRAINING SYSTEMS INC,,916600,Single use military equipment asset under construction - capital in year addition,"812,700.00"
Ministry of Defence,Ministry of Defence,08/03/2012,General services and support,Land Forces,FBS LIMITED,RG24 8AG,911089,Defence equipment private finance initiative - service concession arrangement service charge,"810,662.45"
Ministry of Defence,Ministry of Defence,26/03/2012,Medical treatment & stores and welfare services,Land Forces,SSAFA GSTT CARE LLP,SE1 2LP,918724,Medical health services,"808,683.36"
Ministry of Defence,Ministry of Defence,27/03/2012,Fees for professional services,Land Forces,CENTRAL OFFICE OF INFORMATION,SE1 7DU,918934,Fees for professional services excluding legal fees,"808,582.80"
Ministry of Defence,Ministry of Defence,16/03/2012,Spend on Inventory - General,Defence Equipment & Support,ITURRI SA,OX16 3TA,3000006766,Spend on Inventory - General,"796,997.70"
Ministry of Defence,Ministry of Defence,22/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,AGUSTAWESTLAND LIMITED,BA20 2YB,916919,Equipment support non-project costs,"793,035.96"
Ministry of Defence,Ministry of Defence,13/03/2012,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,912724,External military training ,"791,057.61"
Ministry of Defence,Ministry of Defence,23/03/2012,Payment of utilities,Defence Infrastructure Organisation ,NEW NIEDERRHEIN ENERGIE UND WASSER GMBH,,5000074934,Utilities consumed - electricity,"788,427.59"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,917415,Utilities consumed - electricity,"782,024.35"
Ministry of Defence,Ministry of Defence,01/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,907807,Equipment support project costs,"780,347.37"
Ministry of Defence,Ministry of Defence,30/03/2012,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,921732,Works - estate management,"776,032.32"
Ministry of Defence,Ministry of Defence,22/03/2012,Spend on Inventory - General,Defence Equipment & Support,ITURRI SA,OX16 3TA,3000006795,Spend on Inventory - General,"773,620.55"
Ministry of Defence,Ministry of Defence,21/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,ISG JACKSON LIMITED,IP3 0NA,916534,Fiscal asset under construction - capital in year addition,"758,631.26"
Ministry of Defence,Ministry of Defence,23/03/2012,Rental of plant and machinery,Defence Equipment & Support,BARLOWORLD HANDLING LTD,WA3 3JD,917582,Plant + machinery private finance initiative - service concession arrangements service charge,"757,908.45"
Ministry of Defence,Ministry of Defence,06/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,909718,Utilities consumed - gas,"753,473.10"
Ministry of Defence,Ministry of Defence,16/03/2012,Property leases,Defence Infrastructure Organisation ,TRICOMM HOUSING LIMITED,EH3 7HL,914946,Property dwellings private finance initiative - service concession arrangement service charge,"742,218.83"
Ministry of Defence,Ministry of Defence,27/03/2012,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000075160,Works services - excluding United States forces/NATO + married quarters,"733,083.64"
Ministry of Defence,Ministry of Defence,09/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,912031,Utilities consumed - gas,"732,122.33"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,914875,Works - estate management,"728,897.24"
Ministry of Defence,Ministry of Defence,05/03/2012,Estate management,Defence Infrastructure Organisation ,VT FLAGSHIP LTD,PO6 4PR,909233,Estate + facilities management services - accommodation inventory + service,"728,396.94"
Ministry of Defence,Ministry of Defence,21/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,VSM ESTATES LIMITED,B32 1AF,916895,Fiscal asset under construction - capital in year addition,"725,780.40"
Ministry of Defence,Ministry of Defence,29/03/2012,IT and communication services,Central TLB,IBM UNITED KINGDOM LIMITED,PO6 3AE,920344,Information technology services,"720,000.00"
Ministry of Defence,Ministry of Defence,06/03/2012,Spend on Inventory - General,Defence Equipment & Support,SCA PACKAGING LIMITED,LE10 3BX,909644,Spend on Inventory - General,"699,182.16"
Ministry of Defence,Ministry of Defence,26/03/2012,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,918366,Works - estate management,"693,721.29"
Ministry of Defence,Ministry of Defence,09/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,POLAR SHIP INVEST II AS,N5809,3000006720,Equipment support non-project costs,"688,750.00"
Ministry of Defence,Ministry of Defence,26/03/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,918726,Utilities consumed - electricity,"685,665.73"
Ministry of Defence,Ministry of Defence,16/03/2012,Nuclear decommissioning and restoration,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,914535,Nuclear decommissioning and restoration liability provision payment against provision,"683,193.40"
Ministry of Defence,Ministry of Defence,07/03/2012,Purchase of inventory and services ,Land Forces,NAMSA,,5000073746,Consumption of engineering and technical inventory,"681,702.22"
Ministry of Defence,Ministry of Defence,22/03/2012,IT and communication services,Defence Equipment & Support,MICROSOFT LTD,,34937,Information technology services,"645,161.00"
Ministry of Defence,Ministry of Defence,23/03/2012,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,918143,Utilities consumed - gas,"637,141.10"
Ministry of Defence,Ministry of Defence,26/03/2012,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,918323,Works - estate management,"634,268.27"
