Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,10/03/2011,Conferences and Meeting Facilities,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000003021,580.00
Communities & Local Government,GO,10/03/2011,Electricity,RCU - PAM - Property Asset Management,NPOWER LTD,5106158775,536.40
Communities & Local Government,GO,10/03/2011,Rent,RCU - PAM - Property Asset Management,HSBC BANK PENSION TRUSTEES (UK) LTD,5106158769,"7,500.00"
Communities & Local Government,GO,10/03/2011,Training,GOEM,NEWLINK PROJECT LIMITED,2100189938,"10,242.49"
Communities & Local Government,GO,10/03/2011,Training,GONW,CAPITA BUSINESS SERVICES LTD,5106151486,"-1,056.32"
Communities & Local Government,GO,10/03/2011,Training,GONW,NATIONAL SCHOOL OF GOVERNMENT,5106158752,"5,700.00"
Communities & Local Government,GO,10/03/2011,Training,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000003021,"1,725.00"
Communities & Local Government,GO,11/03/2011,Accommodation Service Charges,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,5106158951,"74,672.00"
Communities & Local Government,GO,11/03/2011,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106158849,"1,038.82"
Communities & Local Government,GO,11/03/2011,Agency Staff,GOSW,REED SPECIALIST RECRUITMENT LTD,2100189961,655.20
Communities & Local Government,GO,11/03/2011,Car Lease (expense),GONE,GOVERNMENT CAR & DESPATCH AGENCY,2100189966,"1,028.40"
Communities & Local Government,GO,11/03/2011,Electricity,RCU - PAM - Property Asset Management,*SOUTHERN ELECTRIC PLC,5106158739,"7,153.32"
Communities & Local Government,GO,11/03/2011,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106158451,"4,344.42"
Communities & Local Government,GO,11/03/2011,Rent,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,5106158951,"322,442.75"
Communities & Local Government,GO,11/03/2011,Storage,GOE,IRON MOUNTAIN (UK) LIMITED,5106158888,731.80
Communities & Local Government,GO,11/03/2011,Storage,GOSW,IRON MOUNTAIN (UK) LIMITED,2100189963,"2,579.03"
Communities & Local Government,GO,11/03/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106158705,"1,090.00"
Communities & Local Government,GO,11/03/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106158707,"1,090.00"
Communities & Local Government,GO,14/03/2011,Electricity,RCU - PAM - Property Asset Management,SOUTHERN ELECTRIC PLC,5106158725,"7,457.04"
Communities & Local Government,GO,14/03/2011,"IT - PC, Network & Hardware",GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100189970,22.26
Communities & Local Government,GO,14/03/2011,IT - Service Contracts,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106159016,"294,078.01"
Communities & Local Government,GO,14/03/2011,IT Maintenance,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106159022,"21,204.97"
Communities & Local Government,GO,14/03/2011,IT SUPPORT,GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100189970,525.00
Communities & Local Government,GO,14/03/2011,Office Machinery (<£5000),GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100189970,128.38
Communities & Local Government,GO,14/03/2011,Office Supplies,GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100189970,863.64
Communities & Local Government,GO,14/03/2011,Post,GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100189970,19.81
Communities & Local Government,GO,14/03/2011,Printing,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106159020,"28,899.72"
Communities & Local Government,GO,14/03/2011,Rent,GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100189970,"2,966.72"
Communities & Local Government,GO,14/03/2011,Rent,RCU - PAM - Property Asset Management,CCPF NO 1 LP C/O WORKMAN LLP,5106158936,"520,607.40"
Communities & Local Government,GO,14/03/2011,Rent,RCU - PAM - Property Asset Management,PRUPIM LTD,5106158994,"174,000.00"
Communities & Local Government,GO,14/03/2011,Telecoms equipment (non-capitalised),GORCU Admin DEL Votd,MEETINGZONE LTD,5106159035,"1,461.14"
Communities & Local Government,GO,14/03/2011,Telephone line costs,GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100189970,173.21
Communities & Local Government,GO,14/03/2011,Training,GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100189970,"3,381.25"
Communities & Local Government,GO,14/03/2011,Training,GOSE,ACUITY TRAINING LTD,2100190025,795.00
Communities & Local Government,GO,14/03/2011,Training,GOYH,GREEN LEAN SOLUTIONS LTD,2100190027,"1,835.00"
Communities & Local Government,GO,14/03/2011,Travel and Subsistence Account,GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100189970,"1,208.78"
Communities & Local Government,GO,14/03/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,MITIE FAC SERV LTD (STH WEST & WALE,5106158965,"5,803.86"
Communities & Local Government,GO,15/03/2011,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106159133,"1,581.93"
Communities & Local Government,GO,15/03/2011,Electricity,RCU - PAM - Property Asset Management,EON UK PLC,5106158729,505.28
Communities & Local Government,GO,15/03/2011,Electricity,RCU - PAM - Property Asset Management,GREEN ENERGY UK PLC,5106158877,"1,095.60"
Communities & Local Government,GO,15/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106159062,"3,867.30"
Communities & Local Government,GO,15/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106159064,"1,913.52"
Communities & Local Government,GO,15/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106159066,888.63
Communities & Local Government,GO,15/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106159070,"2,702.30"
Communities & Local Government,GO,15/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106159113,"1,844.29"
Communities & Local Government,GO,15/03/2011,Professional services,GORCU Admin DEL Votd,LOGICA (CMG UK LTD),5106159145,"7,352.82"
Communities & Local Government,GO,15/03/2011,Removals and Porterage,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES (SOUTHERN) L,5106159052,"1,008.86"
Communities & Local Government,GO,15/03/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106158696,"4,330.00"
Communities & Local Government,GO,15/03/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106158698,"2,275.00"
Communities & Local Government,GO,15/03/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106159106,"2,275.00"
Communities & Local Government,GO,15/03/2011,Training,GORCU Admin DEL Votd,NATIONAL SCHOOL OF GOVERNMENT,5106159068,"3,200.00"
Communities & Local Government,GO,16/03/2011,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106159297,"1,136.52"
Communities & Local Government,GO,16/03/2011,Domestic Services,RCU - PAM - Property Asset Management,GROWING SUCCESS LTD,5106158409,695.50
Communities & Local Government,GO,16/03/2011,Electricity,RCU - PAM - Property Asset Management,NPOWER LTD,5106159211,"5,117.11"
Communities & Local Government,GO,16/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,5106158419,"23,143.25"
Communities & Local Government,GO,16/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES (SOUTHERN) L,5106159054,"15,690.19"
Communities & Local Government,GO,16/03/2011,Minor office costs,GONE,SHRED IT EUROPE LTD,2100190067,772.20
Communities & Local Government,GO,16/03/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106159255,"1,090.00"
Communities & Local Government,GO,16/03/2011,Training,GORCU Admin DEL Votd,FARADAY PARTNERSHIP LTD,5106158413,"2,900.00"
Communities & Local Government,GO,16/03/2011,Training,GORCU Admin DEL Votd,WEB STUDIO NOTTINGHAM LTD,5106159121,595.00
Communities & Local Government,GO,16/03/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES (SOUTHERN) L,5106159349,666.80
Communities & Local Government,GO,17/03/2011,Electricity,RCU - PAM - Property Asset Management,NPOWER LTD,5106159369,"6,454.08"
Communities & Local Government,GO,17/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES LTD,5106159285,"11,229.25"
Communities & Local Government,GO,17/03/2011,Gas,RCU - PAM - Property Asset Management,BRITISH GAS BUSINESS,5106159203,"2,747.72"
Communities & Local Government,GO,17/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106159119,"2,430.04"
Communities & Local Government,GO,17/03/2011,Professional services,RCU - PAM - Property Asset Management,DLA PIPER UK LLP,2100190105,"5,505.40"
Communities & Local Government,GO,17/03/2011,Training,GONW,GEOFFREY LEIGH LTD,5106159366,"4,051.20"
Communities & Local Government,GO,17/03/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106159465,"1,800.00"
Communities & Local Government,GO,17/03/2011,Training,GOSE,GUILDFORD COLLEGE OF FURTHER EDUC,5106159391,600.00
Communities & Local Government,GO,17/03/2011,Training,GOWM,QA  LTD,2100190107,"1,002.00"
Communities & Local Government,GO,17/03/2011,Training,GOYH,CONNECT TEAM LIMITED,2100190157,"8,070.00"
Communities & Local Government,GO,17/03/2011,Training,GOYH,CONNECT TEAM LIMITED,2100190159,"1,900.00"
Communities & Local Government,GO,17/03/2011,Training,GOYH,WISE OWL BUSINESS SOLUTIONS LTD,2100190147,850.00
Communities & Local Government,GO,17/03/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES (SOUTHERN) L,5106159456,"5,483.61"
Communities & Local Government,GO,17/03/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES LTD,5106159353,"8,603.33"
Communities & Local Government,GO,18/03/2011,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106159487,"1,038.82"
Communities & Local Government,GO,18/03/2011,Agency Staff,GOSW,REED SPECIALIST RECRUITMENT LTD,2100190145,655.20
Communities & Local Government,GO,18/03/2011,IT Maintenance,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106159492,"19,800.00"
Communities & Local Government,GO,18/03/2011,Professional services,GOWM,CLEVER ELEPHANT LLP,2100190150,"4,483.00"
Communities & Local Government,GO,18/03/2011,Storage,GONE,CROWN RECORDS MANAGEMENT LTD,2100190158,"33,220.38"
Communities & Local Government,GO,18/03/2011,Telecoms equipment (non-capitalised),GORCU Admin DEL Votd,VODAFONE LTD (PAGING),5106159539,"1,109.74"
Communities & Local Government,GO,18/03/2011,Training,GOSW,NATIONAL SCHOOL OF GOVERNMENT,2100190216,615.00
Communities & Local Government,GO,21/03/2011,Fares UK,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100190279,"8,194.50"
Communities & Local Government,GO,21/03/2011,Fares UK,RCU - PAM - Property Asset Management,REDFERN TRAVEL LIMITED,2100190279,"1,103.54"
Communities & Local Government,GO,21/03/2011,Office Machinery Rental,GOWM,PITNEY BOWES FINANCE PLC,2100190218,"9,911.04"
Communities & Local Government,GO,21/03/2011,Post,GORCU Admin DEL Votd,GOVERNMENT CAR & DESPATCH AGENCY,5106159631,857.00
Communities & Local Government,GO,21/03/2011,Training,GORCU Admin DEL Votd,ST JOHN AMBULANCE (SAC),5106159633,"1,410.00"
Communities & Local Government,GO,22/03/2011,Electricity,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,5106159681,"11,838.04"
Communities & Local Government,GO,22/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE FAC SERV LTD (STH WEST & WALE,5106159692,"35,072.30"
Communities & Local Government,GO,22/03/2011,Gas,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,5106159681,"1,616.32"
Communities & Local Government,GO,22/03/2011,Insurance,RCU - PAM - Property Asset Management,CCPF NO 1 LP C/O WORKMAN LLP,5106159689,"22,136.10"
Communities & Local Government,GO,22/03/2011,IT Maintenance,GORCU Admin DEL Votd, E-NIK LIMITED,5106159751,"26,400.00"
Communities & Local Government,GO,22/03/2011,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,5106159681,"1,586.84"
Communities & Local Government,GO,22/03/2011,Professional services,RCU - PAM - Property Asset Management,GVA GRIMLEY LTD,2100190328,"12,715.33"
Communities & Local Government,GO,22/03/2011,Rates,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,5106159681,"25,188.00"
Communities & Local Government,GO,22/03/2011,Rent,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,5106159681,"463,667.43"
Communities & Local Government,GO,22/03/2011,Rent,RCU - PAM - Property Asset Management,JONES LANG LASALLE,5106159677,"171,000.00"
Communities & Local Government,GO,22/03/2011,Storage,GOYH,MANAGEMENT ARCHIVES,2100190275,"4,692.90"
Communities & Local Government,GO,22/03/2011,Telecoms equipment (non-capitalised),GORCU Admin DEL Votd,CABLE & WIRELESS,5106159725,556.88
Communities & Local Government,GO,22/03/2011,Training,GOSW,PHOENIX TRAINING & DEVELOPMENT,2100190329,"1,740.00"
Communities & Local Government,GO,22/03/2011,Training,GOYH,CONNECT TEAM LIMITED,2100190327,"1,295.00"
Communities & Local Government,GO,22/03/2011,Water,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,5106159681,"1,613.22"
Communities & Local Government,GO,23/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106159705,"2,921.29"
Communities & Local Government,GO,23/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106159707,993.08
Communities & Local Government,GO,23/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106159711,527.16
Communities & Local Government,GO,23/03/2011,Goods Received/Invoice Received,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,2300002075,"-44,673.00"
Communities & Local Government,GO,23/03/2011,Goods Received/Invoice Received,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,2300002076,"-37,376.41"
Communities & Local Government,GO,23/03/2011,"IT - PC, Network & Hardware",RCU - PAM - Property Asset Management,FUJITSU SERVICES LTD,5106159913,"4,280.40"
Communities & Local Government,GO,23/03/2011,IT - Service Contracts,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,2300002075,"-7,817.77"
Communities & Local Government,GO,23/03/2011,IT - Service Contracts,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,2300002076,"-6,540.87"
Communities & Local Government,GO,23/03/2011,IT - Service Contracts,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106159911,"286,380.52"
Communities & Local Government,GO,23/03/2011,Photocopying,GOEM,NEW RICOH UK,2100190351,"25,757.43"
Communities & Local Government,GO,23/03/2011,Professional services,GOWM,ANTHONY COLLINS SOLICITORS,2100190357,576.00
Communities & Local Government,GO,23/03/2011,Storage,GOEM,RADS,5106159832,"1,935.60"
Communities & Local Government,GO,23/03/2011,Telecoms equipment (non-capitalised),GORCU Admin DEL Votd,CABLE & WIRELESS,5106159861,"8,164.80"
Communities & Local Government,GO,23/03/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106159821,"3,200.00"
Communities & Local Government,GO,24/03/2011,Agency Staff,GOSW,REED SPECIALIST RECRUITMENT LTD,2100190353,655.20
Communities & Local Government,GO,24/03/2011,Security,RCU - PAM - Property Asset Management,ADT FIRE & SECURITY PLC,5106159921,"2,502.28"
Communities & Local Government,GO,24/03/2011,Security,RCU - PAM - Property Asset Management,ADT FIRE & SECURITY PLC,5106159923,"1,192.80"
Communities & Local Government,GO,24/03/2011,Web Services,GORCU Admin DEL Votd,ULTRA ELECTRONICS LIMITED,5106160072,"5,100.00"
Communities & Local Government,GO,25/03/2011,Accommodation Service Charges,RCU - PAM - Property Asset Management,CB RICHARD ELLIS LTD,2100190422,"14,209.79"
Communities & Local Government,GO,25/03/2011,Rent,RCU - PAM - Property Asset Management,JONES LANG LASALLE,5106160116,"-167,437.50"
Communities & Local Government,GO,25/03/2011,Rent,RCU - PAM - Property Asset Management,JONES LANG LASALLE,5106160191,"171,000.00"
Communities & Local Government,GO,25/03/2011,Storage,GOEM,RADS,5106160103,"1,935.60"
Communities & Local Government,GO,25/03/2011,Training,GORCU Admin DEL Votd,COMMUNICAID GROUP LTD,5106159601,"1,400.00"
Communities & Local Government,GO,25/03/2011,Training,GOYH,REZOUND LTD,2100190326,795.00
Communities & Local Government,GO,28/03/2011,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106160232,"1,038.82"
Communities & Local Government,GO,28/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,5106160157,"51,542.09"
Communities & Local Government,GO,28/03/2011,"Furniture, Fittings and carpets",RCU - PAM - Property Asset Management,HERMAN MILLER LTD,5106160269,"1,171.82"
Communities & Local Government,GO,28/03/2011,Training,GOEM,CIPD ENTERPRISES LTD,2100190476,540.00
Communities & Local Government,GO,28/03/2011,Training,GOEM,DERBYSHIRE CHAMBER & BUS LINK,2100190475,567.60
Communities & Local Government,GO,28/03/2011,Training,GOEM,NOTTM&DIST PRERETIRE COUNCIL,2100190424,657.00
Communities & Local Government,GO,28/03/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,5106160165,"2,621.25"
Communities & Local Government,GO,28/03/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,5106160167,"7,947.00"
Communities & Local Government,GO,28/03/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,5106160213,907.55
Communities & Local Government,GO,28/03/2011,Vehicle Maintenance,GOE,ENTERPRISE RENT- A-CAR,2100190423,516.18
Communities & Local Government,GO,29/03/2011,Accommodation Service Charges,RCU - PAM - Property Asset Management,HSBC BANK PENSION TRUSTEES (UK) LTD,5106160427,"4,352.34"
Communities & Local Government,GO,29/03/2011,Accommodation Service Charges,RCU - PAM - Property Asset Management,NOTTINGHAM TRENT UNIVERSITY,5106160434,"20,198.32"
Communities & Local Government,GO,29/03/2011,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106160389,"1,079.70"
