METADATA FOR DATA FIELDS,,,,,,,,,,,,
"This worksheet lists the fields of the ""Quarterly Data Summary"" sheet and provides explanation of the metrics (metdata).",,,,,,,,,Organisations in-scope,[Please specify],,
,,ALL INFORMATION SHOULD RELATE TO THE LATEST AVAILABLE DATA,,,,,,,Organisations out-of-scope,[Please specify],,
,,D,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,E,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,Total Annually Managed Expenditure (AME),"(Resource AME excluding depreciation) + (Capital AME), taken from COINS",Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Full,COINS,Management information,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,Top 5 contributory elements,"5 largest areas of spending, as defined by the department, to cover a substantial proportion of Total AME.",Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Determined by top 5 programmes chosen,COINS,Management information,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,A,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,B,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,C,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,D,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,E,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,Common Areas of Spend,Office Estate Area,"The sum of Building Net Internal Area (NIA) for the buildings occupied by the organisation. NIA is the part of the net internal area in a building currently physically occupied by the organisation. This equates with an estate agent’s floor area available for letting.  It is calculated by subtracting the vertical ducts, structural columns, plant areas, toilets, lifts, staircases and lift lobbies from the gross internal area.  NIA is measured in sq metres.  NIA should only cover those buildings used as office space and for buildings over 500m2. 
",Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Full,ePIMS - Property benchmarking,Management information,"Total m2 of the office estate. Details the most significant office occupations in the estate. Source: : Property Benchmarking Service, 2009/2010 Performance Statement, MOD - 2009-2010","a. Details the most significant office occupations in the estate. These are: Abbey Wood, Bristol; MOD Main Building, London; Ensleigh, Bath; Foxhill, Bath; Kentigern House Glasgow, Glasgow; PPA Cheadle Hulme, Wilmslow; Kingston Road, Sutton Coldfield; Walker House, Liverpool; Warminster Road Bath, Bath; Blackpool Tomlinson House Norc, Thornton Cleveleys; Abbey Wood Somerset Site, Bristol; Stirling House Cambridge, Cambridge; Delta 900, Swindon; Forthview House 2066, Dunfermline; Delta 800, Swindon; Aldershot Blandford House De Offices, Aldershot; The Cerium Building Glasgow, Glasgow; Caledonia House, Dunfermline; Bacchus House, York; Unit 2 Lancaster Court and Fareham.","Quarterly Data not available annual cost for 10/11 = £278,601M",
,,Office Estate Costs,"This is the sum of the following items: Service charges, Internal repair and maintenance costs, Security costs, Cleaning costs, Water and sewerage costs, Total energy costs, Net rent, Rates, Unitary Charges / Facilities Price.  As defined by e-PIMS. This should be provided as £m and cover the cost for the NIA reported, for office buildings over 500m2. 
",Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Office Accomodation over 500m2 for entire family,ePIMS - Property benchmarking,Management information,"Total Property Costs are defined to specifically include the annual rent, rates and ""other"" operating costs (""other costs"" include net service charges payments, utility costs, cleaning, security and revenue maintenance costs). This total cost represents a sub-set of Investment Property Databank (IPD) Total Occupancy Costs (defined in the IPD International Total Occupancy Cost Code) which has been identified and reported by IPD as it represents the majority of total annual property expenditure where data is robust and is applicable for most property types. Reporting focuses on this as a key indicator of occupancy cost efficiency (ie. per m², FTE or workstation). For freehold properties, annual rent is represented by a Treasury Capital Charge and for properties managed under Public Finance Initiative (PFI) agreements the unitary charge payment is specifically incorporated and reported as part of the Total Property Cost.",Derived from cost of the most significant office occupations in the estate (details as above),Quarterly Data not available annual cost for 10/11 =£ 91.7M,
,,Cost of the Office Estate per M2,Derived from the cost and total m2.,Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Office Accomodation over 500m2 for entire family,ePIMS - Property benchmarking,Management information,Cost of the estate per m2. a. Derived from the cost and total m2. b. Data Details the most significant office occupations in the estate (details as above).,Derived from cost of the most significant office occupations in the estate (details as above),Quarterly Data not available annual cost for 10/11 = £4476,
,,Cost of the Office Estate per full-time equivalent (FTE),"Derived from cost of the estate and FTEs (sourced above).    Office based staff (FTE), Permanent and temporary employees who are based in office accomodation with all the facilties they need to undertake thier job. This should include the time home workers spend in the office. This figure should exclude contractors, outsourced staff (who may not be listed on the pay-roll but seen as a ""contract"" costs and not ""staff salary"" cost) and home workers time spent working from home.",Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Office Accomodation over 500m2 for entire family,ePIMS - Property benchmarking,Management information,"Derived from cost of the most significant office occupations in the estate (details as above) and the FTEs (20,495) which occupy them. b. FTE Staff for this data set includes all full time and part time military and civilian staff and refers to office based FTE only. It does not include home workers. Part time and non-payroll staff, such as consultants, contractors, and other outsourced staff, have been converted to full-time equivalents using the factors as a guide for conversion to FTE: (1) Personnel working on a regular basis >30 hours per week – 1.00
(2) Personnel working on a regular basis 20-30 hours per week – 0.75
(3) Personnel working on a regular basis 15-20 hours per week – 0.50
(4) Personnel working on a regular basis <15 hours per week – 0.25.
(5) To qualify as a member of staff working in the premises, staff must use the premises as their main base and also expect to work at the premises for at least some part of a typical working week. Full time home working staff are excluded.",Derived from cost of the most significant office occupations in the estate (details as above),Quarterly Data not available annual cost for 10/11 = £329,
,,Procurement spend,"The total value of payments made to third party suppliers, excluding VAT.  This excludes payroll, non-cash expenditure (e.g. depreciation), grants and benefit payments, but should include capital, resource and programme spend on goods and services.",Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Full,Commercial Function,Management information,"Procurement spend. The total value of payments made to third party suppliers, excluding VAT for 2009/10. This excludes payroll, non-cash expenditure (e.g. depreciation), grants and benefit payments, but should include capital, resource and programme spend on goods and services. Costs split by master category in Procurement Master Category Breakdown.",,Quarterly Data not available annual cost for 10/11 = £24700M,
,,Price of standard commodity items,"Price of a box of standard A4 white copier plain paper (typically 80 gsm) in £ units per 2,500 sheets of paper.

Average price paid per KWH of energy in £ units.",Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Full,Commercial Function,Management information,"Price of a box of standard A4 white copier plain paper (typically 80 gsm) in £ units per 2,500 sheets of paper. MOD Standard = 80 gsm, 75% recycled, per box of 5 reams (2500 sheets). Average price paid per KWH of energy in £ units. (energy cost only based on volume weighted average of electricity and gas) OR £0.05136 (delivered cost averaged on same basis);",,,
,,Total 3rd party ICT cost,"The total value of payments made to third party ICT suppliers, excluding VAT.
",Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Full,Commercial Function,Management information,"Total 3rd party ICT cost The total value of payments made to third party suppliers, excluding VAT.",,Quarterly Data not available annual cost for 10/11 = £961M,
,,Desktop Cost per full-time equivalent,"Future work on ICT desktop will be based around IT assets definitions. Please provide data against the contemporary definitions used within your department, specifying the standard within the caveats section (column Q).",Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Full,Commercial Function,Management information,"Desktop Cost per FTE.
a. Total annual cost of Defence Information Infrastructure (Future) programme divided by number of User Access Devices (broadly desktops/ laptops) divided by four. FTE values are based on the volumes of Accounts and UADs rolled out by the DII Programme to all 4 Services (RN, Army, RAF and CS) the average numbers for each of the FY 10/11.

(1) UADs are shared by many servicemen who do not use IT for their primary role.
(2) Figures in £.p. (ex VAT)
Supplementary Notes.
1. Service Based Contract
2. Service Charges are Banded so unit cost decrease as volume increases
3. Service Charges recover Design and Implementation costs
4. Service Charges exclude Capital Asset costs
5. VAT recovered under COSVAT agreement so figures above are ex-VAT
6. Service Charges exclude costs associated with delivery and support of Business applications
7. Figures exclude Secret, Deployed and Above Secret Environment
8. Account Figures are averages for Occasional and Standard Restricted
9. User Access Devices are averages for Fixed/Mobile Restricted
10. Excludes costs of WAN provided by Networks Delivery Team",,Quarterly Data not available annual cost for 10/11 = £1550K,
,,"Corporate Service cost, broken out by functional area into HR, Finance, Procurement, Legal and Communications",Either use: (a) OEP definitions or (b) department own definitions. Please specify definitions within caveats section (column Q).,Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Full,Finance Function,Management information,"Cost of HR function - Total cost of the HR function is based: a) on the average number of employees in the HR function (those on a HR job code), and; b) the capitation rates.
Source: Data from MOD back office benchmark information 2009/10.
Finance
£194.5m
Cost of Finance Function -Cost of the Finance Function is based: a) on the average number of employees in the finance function (those on a resource management job code), and; b) the capitation rates.
Source: Data from MOD back office benchmark information 2009/10.
Procurement
£154.8m
Cost of Procurement Function -Total cost of the procurement function is based: a) on the average number of employees in the Commercial function (those on a Commercial job code, and those in the DGDC and DE&S D Commercial's support organisations), and; b) the capitation rates.
Source: Data from MOD back office benchmark information 2009/10.
Legal
£37.7m
Cost of Legal Function - Total cost of the Legal function is based: a) on the average number of Government Legal Service (GLS) lawyers and the admin and support staff that work to them, and; b) the capitation rates. Overseas local hire support staff have been included, but non GLS lawyers at those locations have not. In addition, data relating to Service lawyers or staff employed in the DSP or MOD Claims is not included. It does not include the Hydrographic Office or the Met Office.
Source: Data from MOD back office benchmark information 2009/10.
Communications
£94.1m
Detail definition: Either use: (a) OEP definitions or (b) department own definitions. Please specify definitions within caveats.
Cost of Communications Function - Total cost of the Communication function",,"Quarterly Data not available annual cost for 09/10 = HR; £84.6M, Finance; £194.5M, Procurement; £154.8M, Legal; £37.7M, Communications; £94.41M.",
,,"Fraud, Error, Debt

Total Identified Fraud (£million)

Total Known Errors (£million)

Total Debt (£million)

Total Debtor Days","Either use: (a) NFA definitions or (b) department own definitions. Please specify definitions within caveats section (column Q).

Debt and debtor days should be those arising from Fraud and Error
",Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Full,Finance Function,Management information,"Fraud = Reported incidents
Source: Consolidated Departmental Resource Accounts 10/11.
Error
N/A
Error – data not available
Debt
£XXXm
Debt – Includes
Trade receivables due within one year, Receipts from Supplies and services and income from provision of goods and services. Some of this debt is from foreign governments, and may have been outstanding for several years.
Source: Consolidated Departmental Resource Accounts 1/110.
Debtor days
xxx
Debtor days –
During the course of financial year 2010/11 debt was recovered as follows:
Within 30 days X% by value was recovered
Within 40 days X% by value was recovered
Within 50 days X% by value was recovered
Within 60 days X% by value was recovered",,"Quarterly Data Not Available. Fraud = 10/11 1025 Reported incidents
Error – data not available
Debt - £188M
Debtor days - 219 days",
,,"Voluntary and community sector (VCS)/Small and medium enterprises (SME)

Procurement spend with SME (£)



Procurement spend with VCS (£)

Grants to VCS (£)","





Sum of procurement spend with SMEs (organisations with less than 250 employees per European Commission definition found at http://ec.europa.eu/enterprise/policies/sme/facts-figures-analysis/sme-definition/index_en.htm).

Sum of procurement spend with VCS organisations.


Sum of grant spend with VCS organisations. VCS Organisations definition can be found at Charity Commission website.",Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Full,Finance Function,Management information,"SME’s
a. Sum of procurement spend / grant spend with SMEs (organisations with less than 250 employees per European Commission definition found at: http://ec.europa.eu/enterprise/policies/sme/facts-figures-analysis/sme-definition/index_en.htm).
b. We are unable to split this information into Spends and Grants.
c. Does not include contracts set up through third parties such as Prime Contractors
d. This gives the value of new contracts placed with SMEsThe data underpinning this analysis has been extracted from the MOD contracts database. The contracts database contains information on the majority of new contracts and reflects transactions made through the MOD’s central Financial Management Shared Service Centre. Contracts not included are those which may have been set up:
(1) On behalf of other government departments;
(2) By the MOD’s Trading Funds and Executive Non Departmental Public Bodies (which lie outside the MOD’s accounting boundary);
(3) Locally by the Department;
(4) In relation to collaborative projects where the payments are made through international procurement agencies or overseas governments; and
(5) For service items such as the provision of utilities which do not require an actual contract number to be generated.
Source: Defence Analytical Services and Advice (DASA)                                                                                                                                                                                           VCS
a. Sum of procurement spend / grant spend with VCS organisations, as a % of total budget.
b. We are unable to split this information into Spend and Grants.
c. VCS Organisations definition can be found at Charity Commission website.",,"Quarterly Data not available annual cost for 10/11 = Spend With SMEs - £686M. Spend and grants with/to VCS cannot be split, joint total  - £148M",
,Financial Indicators,"Accuracy of Cash Forecasting

",Cashflow Management Scheme: Departments with a gross cashflow of over £3bn p.a. provide daily and monthly forecasts of their gross cash payments and receipts up to six weeks ahead. The scheme monitors the difference between the forecast and outturn and expresses the difference as a percentage variance on forecast.. Target is for the outturn to be within 5% of the forecast.,Quarter,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)",Large departments,Departmental Cashflow Management outturns,Management information,,,,
,,"Working Capital Forecast
[% variance of Actual v Forecast]","The percentage variance of forecast to actual working capital. 

Working capital is calculated as : Total current assets less total current liabilities

o Current Assets
- Inventories
- Current trade and other receivables
- Cash and cash equivalents
- Other current financial assets
- Assets classified as held for sale
o Current Liabilities
- Current trade and other payables
- Gilt edged stock
- Other current liabilities                                                                                                                                                                                                                                                                             ",Annual,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)

* where possible",All departments,Management Information and Annual Accounts ,Management information,,"Current= Year End FY2010-11, Current Assets - Current Liabilities Previous= FY2010-11 AP06 Position Forecast for Year-End.",,
,,Net Book Value (%) [% variance of Actual v Forecast],"The percentage variance of forecast to actual Net Book Value(NBV) of Fixed Assets. 

NBV of fixed assets is calculated  as the historic cost or valuation (of the assets included) less accumulated depreciation (i.e. depreciation to date) of the assets. 

Note that in WGA, Fixed Assets are referred to as ""Non-current assets"" and include the following:
- property, plant and equipment
- investment property
- intangible assets
- non-current trade and other receivables
- Other non-current financial assets                                                                                                   ",Annual,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q4 2010-11 (Jan-Mar)

* where possible",All departments,Management Information and Annual Accounts ,Management information,,Current= Year End FY2010-11 Previous= FY2010-11 AP06 Position Forecast for Year-End. N.B.V,,
,Major Projects (Top 5),Project A,Whole life department cost as defined in the Major Projects Authority (MPA) guidelines.,Full life,Q2 2011-12,Full,Departmental internal reporting systems,Management information,"Figures are valid as at 31 March 2010. The Value of Major Projects covers the total forecast cost of the MOD’s top 15 Projects as published in the Major Projects report validated by the national Audit Office; these will form the basis for selection of the final list of Major Projects between Efficiency Reform Group (ERG) and MOD.
Approved acquisition cost is the endorsed basis for reporting the forecast cost of projects where the MOD has approved a main investment decision.",,,
,,Project B,,,,,,,"Major Projects
a. Typhoon - Typhoon is core to the RAF’s combat aircraft capability and emphasized the Government’s commitment to develop Typhoon into a fully multi-role aircraft which can conduct both air-to-air and ground attack missions.
b. Future Strategic Tanker Aircraft - is a Public Finance Initiative (PFI) project to replace the RAF’s fleet of VC10 and TriStar aircraft in the Air-to-Air Refuelling (AAR) and most Passenger Air Transport (AT) roles.
c. Astute submarine - the Royal Navy’s future nuclear powered attack submarine project
d. Type 45 Destroyer - the project to deliver Royal Navy’s Anti-Air Warfare Destroyer.
e. Queen Elizabeth Class Aircraft Carriers, which will form the basis of the Royal Navy’s future carrier strike capability.",,,
,,Project C,,,,,,,,,,
,,Project D,,,,,,,,,,
,,Project E,,,,,,,,,,
,,£m whole life cost of major projects,,,,,,,,,,
Results,Input Indicators,1,As per Business Plan and Business Plan Measurement Annex,,,,,,,,,
,,2,,,,,,,,,,
,,3,,,,,,,,,,
,,4,,,,,,,,,,
,,5,,,,,,,,,,
,,6,,,,,,,,,,
,,7,,,,,,,,,,
,,8,,,,,,,,,,
,,9,,,,,,,This figure is the same as that under the People section.,,,
,,10,,,,,,,,,,
,,11,,,,,,,,,,
,,12,,,,,,,,,,
