FREEDOM OF INFORMATION,,
MOD Requests to 21 January 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,

Case Number,Date Due,Request Summary
21-01-2011-102313-002,17/02/2011,Reports of UFO activity over the UK during the periods covering Jan 01 2010 to Jan 01 2011.
21-01-2011-105022-003,17/02/2011,"Expenditure of the recent road building network over Salisbury plain, including the reinforced tank crossings."
21-01-2011-110818-004,17/02/2011,Information about the UNAMSIL mission (Sierra Leone) and Operation Palliser.
21-01-2011-113405-005,18/02/2011,Information regarding MODPGA personnel attending an incident involving radioactivity under the Radiation (Emergency Preparedness and Public Information) Regulations 2001 (REPPIR)
21-01-2011-121010-001,15/02/2011,A copy of the MOD Police terms and conditions including pay and pensions.
21-01-2011-121101-006,18/02/2011,"Details of RAF Chief Engineer, Officer Commanding, Officer Commanding Engineering Wing, and Officer Commanding Number 7 Squadron from 1980 onwards at RAF Odiham."
21-01-2011-121708-007,18/02/2011,A copy of the full RAF Board of Inquiry and hazard analysis by the design authority re: Chinook ZA721 which crashed in the Falkland Islands.
21-01-2011-142418-001,18/02/2011,"Since May 1 2010, have your staff have been issued with any new guidance to advise them on their use of language and written style, including lists of words or phrases to be either avoided or used."
21-01-2011-143700-002,18/02/2011,Copies of reports and papers on the proposal to build an additional new tritium facility for the Atomic Weapons Establishment (AWE).
21-01-2011-144150-003,18/02/2011,"Information on Number of FOI requests received, granted, refused, and cost of attending to FOI requests (annually from 2000-present)."
21-01-2011-154931-001,16/02/2011,"Request for full BOI for Military Aircraft Accident Summary (MAAS) for Chinook ZA721, which crashed in the Falklands in 1987 during a post-maintenance flight-test."
21-01-2011-171346-004,15/02/2011,Please provide information on RMP secondment and exchanges.
