Minister,Date,Name of External Organisation*,Purpose of meeting
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,Planning Issues Ltd,Planning - Housing our Ageing Population Panel for Innovation’s (HAPPI) report.
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,Coalpro and the Coal Authority.,Planning issues surrounding coal extraction.
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,COUNTRY LAND & BUSINESS ASSOCIATION (CLA) Ltd -,The national planning policy
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,Home Building Federation (HBF),Localism Bill and the new national planning policy framework
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,British Retail Consortium,Planning for town centres
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,Health Bevan Brittan LLP,Total Place or Place Based Budgets
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,Professor Colin Copus,Elected Mayors
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,British Land PLC,Penfold Review
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,Lee Valley Regional Park Authority Legacy,Legacy  of Lee Valley Regional Park Authority
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,SIGOMA,SIGOMA
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,Association of British Insurers,Managing Flood Risks and Fires
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,Thames Gateway London Partnership and Ford UK,Ford low carbon project (SIMPLIFY). Localised partnerships in London Thames Gateway. Gateway to London 
"Bob Neill MP, Parliamentary Under-Secretary of State",Oct-10,London Fire Brigade,Fire Planning for Emergency during Olympics
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-10,Capshop,Thurrock Lakeside Basin Shopping Centre - Planning
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-10,IsItFair,Campaign (Nationwide Campaign Calling for Reform of C Tax System)
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-10,Association of Principal Fire Officers (APFO),Fire Issues
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-10,Skills for Justice ,"Safer communities, Fire and Rescue Service"
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-10,Confederation of British Industry (CBI) Members,"Spending Review, Community Budgets and Shared Services"
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-10,CFOA Presidential Team,Fire Issues
"Bob Neill MP, Parliamentary Under-Secretary of State",Nov-10,Landmark Chambers,Planning
"Bob Neill MP, Parliamentary Under-Secretary of State",Dec-10,Institute of Directors,Regional economic development and Business Rates
"Bob Neill MP, Parliamentary Under-Secretary of State",Dec-10,Lichfield,Communities and Development
"Bob Neill MP, Parliamentary Under-Secretary of State",Dec-10,Peel ports,Thames Gateway Medway Estuary Superhub
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Oct-10,Locus Association,To discuss public sector mapping and data
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Oct-10,Volunteering England,To discuss Volunteering England’s concerns and ideas in relation volunteering and its importance in the Big Society.
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Dec-10,CBI roundtable  local government service reform,Local government service reform
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Dec-10,Turning Point,Place space project

"*Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of devolved or foreign governments.",,,
