Name,Grade,Job Title,FTE,Parent Department,Organsiation,Unit,Actual pay floor,Actual pay ceiling,Notes
"Shaw, Mr. Brian ",Senior Civil Service.Pay Band 2,"Managing Director, Business Group, UK Trade & Investment",1.00,Business Innovation and Skills,Business Innovation and Skills,UK Trade & Investment,120000.00,124999.00,Full Time
"Smith, Mr. Ceri ",Senior Civil Service.Pay Band 2,"Director, Business Environment and Growth and Office of  Life Science",1.00,Business Innovation and Skills,Business Innovation and Skills,Business Group ,85000.00,89999.00,Full Time
"Warwick, Mr. Ken ",Senior Civil Service.Pay Band 2,Deputy Chief Economic Advisor and Director of Analysis,1.00,Business Innovation and Skills,Business Innovation and Skills,Economic Policy and Analysis,95000.00,99999.00,Full Time
"Williams, Mr. Martin ",Senior Civil Service.Pay Band 2,"Director, Higher Education ",1.00,Business Innovation and Skills,Business Innovation and Skills,Universities and Skills,85000.00,89999.00,Full Time
"Wyn Griffith, Mr. Martin ",Senior Civil Service.Pay Band 2,"Director, Commercial Directorate",1.00,Business Innovation and Skills,Business Innovation and Skills,     Finance and Commercial,140000.00,144999.00,Full Time
"Cahn, Sir Andrew ",Senior Civil Service.Pay Band 3,"Chief Executive, UK Trade & Investment",1.00,Business Innovation and Skills,Business Innovation and Skills,UK Trade & Investment,205000.00,209999.00,Full Time
"Kelly, Ms. Bernadette ",Senior Civil Service.Pay Band 3,"Director General , Fair Markets",0.90,Business Innovation and Skills,Business Innovation and Skills,Fair Markets,115000.00,119999.00,Part Time
"Lovegrove, Mr. Stephen ",Senior Civil Service.Pay Band 3,"Chief Executive, Shareholder Executive",1.00,Business Innovation and Skills,Business Innovation and Skills,Shareholder Executive ,185000.00,189999.00,Full Time
"Marston, Mr. Stephen",Senior Civil Service.Pay Band 3,"Director General, Universities and Skills",1.00,Business Innovation and Skills,Business Innovation and Skills,Universities and Skills,135000.00,139999.00,Full Time
"Orme, Mr. Howard ",Senior Civil Service.Pay Band 3,"Director General , Finance and Commercial",1.00,Business Innovation and Skills,Business Innovation and Skills,Finance and Commercial,160000.00,164999.00,Full Time
"Pryce, Mrs. Vicky ",Senior Civil Service.Pay Band 3,"Director General, Economics ",1.00,Business Innovation and Skills,Business Innovation and Skills,Economic Policy and Analysis,175000.00,179999.00,Full Time
"Rutnam, Mr. Philip ",Senior Civil Service.Pay Band 3,"Director General, Business ",1.00,Business Innovation and Skills,Business Innovation and Skills,Business Group ,180000.00,184999.00,Full Time
"Rycroft, Mr. Philip ",Senior Civil Service.Pay Band 3,"Director General, Innovation and Enterprise; Chief Executive, Better Regulation Executive",1.00,Business Innovation and Skills,Business Innovation and Skills,Innovation and Enterprise,160000.00,164999.00,Full Time
"Sandby-Thomas, Ms. Rachel ",Senior Civil Service.Pay Band 3,"The Solicitor and Director General, Legal, People and Communications",1.00,Business Innovation and Skills,Business Innovation and Skills,"Legal, People and Communications",120000.00,124999.00,Full Time
"Smith, Professor Adrian ",Senior Civil Service.Pay Band 3,"Director General, Science and Research ",1.00,Business Innovation and Skills,Business Innovation and Skills,Science and Research,160000.00,164999.00,Full Time
,,,,,,,,,
