Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,SZ1,,,,5,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,SZ3,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),Not RN/RM REG,,,,1,RAF
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OF3,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OF2,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OF3,,,,23,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OF4,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OF5,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OR2,,,,7,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OR4,,,,6,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OR6,,,,7,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OR7,,,,4,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),OR9,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1079272 / Commander UK Maritime Forces (COMUKMARFOR),D,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,Not RN/RM REG,,,,1,RAF
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OF2,,,,5,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OF3,,,,12,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OF4,,,,3,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OF5,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OR2,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OR4,,,,5,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OR7,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OR8,,,,3,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OR9,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OF3,,,,4,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OF4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OR7,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,OR9,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Commander UK Amphibious Forces / Commandant General Royal Marines,E1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),Not RN/RM REG,,,,1,ARMY
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),Not RN/RM REG,,,,7,RAF
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF1,,,,3,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF2,,,,26,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF3,,,,9,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF4,,,,4,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF5,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR2,,,,372,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR4,,,,74,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR6,,,,23,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR7,,,,12,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR8,,,,8,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR9,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF2,,,,82,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF3,,,,65,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF4,,,,22,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF5,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR1,,,,37,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR2,,,,216,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR4,,,,172,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR6,,,,117,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR7,,,,103,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR8,,,,25,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OR9,,,,16,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF4,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF3,,,,2,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),OF2,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),B2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),C1,,,,3,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),C2,,,,10,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),D,,,,8,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),E1,,,,13,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),E2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),SZ1,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123122 / Commander Maritime Operations (COMOPS),Fast Stream Grade Band C2,29258,34936,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),Not RN/RM REG,,,,10,RAF
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OR4,,,,4,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OR6,,,,3,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OR7,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OF2,,,,259,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OF3,,,,89,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OF4,,,,13,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OF5,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OR2,,,,561,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OR4,,,,404,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OR6,,,,399,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OR7,,,,271,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OR8,,,,24,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1125222 / Chief of Staff Aviation & Carriers (COS A&C),OR9,,,,32,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OF3,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OF4,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OF2,,,,7,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OF3,,,,24,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OF4,,,,12,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OF5,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OR2,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OR4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OR6,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OR7,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OR9,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OF3,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OR4,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),OR3,,,,2,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),E1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1119941 / Chief of Staff of Capability (COS (CAP)),C1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105390 / Assistant Chief of the Naval Staff,OF4,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1116716 / Chief of Staff Personnel / Naval Secretary,OF2,,,,4,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1116716 / Chief of Staff Personnel / Naval Secretary,OF4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1116716 / Chief of Staff Personnel / Naval Secretary,OR2,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1116716 / Chief of Staff Personnel / Naval Secretary,OR4,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1116716 / Chief of Staff Personnel / Naval Secretary,OR6,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1116716 / Chief of Staff Personnel / Naval Secretary,OR7,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1116716 / Chief of Staff Personnel / Naval Secretary,C1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1116716 / Chief of Staff Personnel / Naval Secretary,E1,,,,5,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,OF4,,,,2,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,OF3,,,,4,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,OF2,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,OR4,,,,6,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,OR3,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,C1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,D,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,E1,,,,10,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,E2,,,,4,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083930 / Flag Officer Sea Training (FOST) and Rear Admiral Surface Ships,SZ1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OF2,,,,6,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OF3,,,,4,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OF4,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR2,,,,188,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR4,,,,46,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR6,,,,44,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR7,,,,21,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR8,,,,10,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR9,,,,4,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OF2,,,,44,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OF3,,,,22,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OF4,,,,12,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OF5,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR2,,,,13,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR4,,,,13,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR6,,,,32,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR7,,,,40,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR9,,,,6,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OF2,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),OR2,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),B2,,,,3,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),C1,,,,11,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),C2,,,,16,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),D,,,,18,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),E1,,,,56,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),E2,,,,8,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),JNC Lvl 2 (Youth Worker) 2-10,21525,28461,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),Retired Offr 3,25600,27973,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),NHS Band 6,25472,34189,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1129143 / Flag Officer Scotland Northern England and Northern Ireland (FOSNNI),MPGS,,,,410,MPGS
Ministry of Defence,Ministry of Defence,Navy Command TLB,Director General Naval Chaplaincy Services (DGNCS),OF2,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Director General Naval Chaplaincy Services (DGNCS),OF4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Director General Naval Chaplaincy Services (DGNCS),OF5,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Director General Naval Chaplaincy Services (DGNCS),D,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Director General Naval Chaplaincy Services (DGNCS),E1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Director General Naval Chaplaincy Services (DGNCS),E2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155423 / Command Secretary,OF3,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155423 / Command Secretary,C2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,00155423 / Command Secretary,E1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,OF4,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,OR6,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,OF2,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,OF3,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,OF4,,,,13,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,OF5,,,,4,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,B1,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,B2,,,,7,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,C1,,,,5,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,C2,,,,7,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,D,,,,5,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,E1,,,,4,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,E2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1105593 / Commodore Naval Staff,Fast Stream Grade Band C2,29258,34936,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,1485456 / Commander UK Task Group (COMUKTG),OF2,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1485456 / Commander UK Task Group (COMUKTG),OR4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1485456 / Commander UK Task Group (COMUKTG),OF3,,,,1,RFA
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083208 / Commander UK Carrier Strike Group,OF2,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083208 / Commander UK Carrier Strike Group,OF3,,,,7,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083208 / Commander UK Carrier Strike Group,OF4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1083208 / Commander UK Carrier Strike Group,OR4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1080848 / Commander UK Amphibious Task Group,Not RN/RM REG,,,,1,RAF
Ministry of Defence,Ministry of Defence,Navy Command TLB,1080848 / Commander UK Amphibious Task Group,OF2,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1080848 / Commander UK Amphibious Task Group,OF3,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1080848 / Commander UK Amphibious Task Group,OF4,,,,2,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1080848 / Commander UK Amphibious Task Group,OR6,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,1080848 / Commander UK Amphibious Task Group,OR8,,,,1,RM
