FREEDOM OF INFORMATION,,
MOD Requests to 28 May 2010,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
10-05-2010-100708-001,07/06/2010,"Disclosure of the funding that the Royal Air Force receives from the public purse in the form of the Learning Skills Council (LSC), Young Persons Funding Agency (YPFA) and Skills Funding Agency (SFA) to fund its NVQ?s, etc over the past four financial years including this year so far."
10-05-2010-101802-002,07/06/2010,Request for details of Ethiopian military personnel the MOD had helped train in UK military training institutions since the 1950s.
10-05-2010-102737-002,08/06/2010,Fourteen questions requesting details on the number of service personnel killed in road traffic accidents in the UK.
10-05-2010-105053-003,07/06/2010,"Please provide me with a full electronic copy of your publication, BR20: Flags of All Nations."
10-05-2010-110937-003,08/06/2010,Request for a copy of the letter of request from the Ministry of Defense to the International Red Cross and any e-mails or records pertaining to this request which was described as follows by a specified indivicual in MoD asked Red Cross to look into Iraq birth defects - Letter reveals Government wanted charity to investigate claims following Fallujah attacks.
10-05-2010-111835-002,07/06/2010,I'm asking for the email address of a specified individual.
10-05-2010-113950-004,08/06/2010,Asking for return of notes made by father during Operation Cuxhaven during WWII.
10-05-2010-115901-003,08/06/2010,Combined Cavalry Memorial Parade May 9th 2010 at Hyde Park How many Regulars and Territorials were on parade?  Could I have a copy of any press release about the event?
10-05-2010-140528-001,02/06/2010,"Provide copies of the Cabinet Office correspondence received by DSG on or after 14th December 2009, which prevent DSG from providing calculations for the payment of accrued annual leave in accordance with the advice from the Cabinet Office dated 14 December 2009."
10-05-2010-164135-001,08/06/2010,Request for Information on Land Forces per vehicle type for this year and the past 5 years?
11-05-2010-103950-001,25/05/2010,"Requesting the strength numbers per trades training (i.e. how many people are in the infantry, how many are in the logistics corps and how many are in the medical corps).  I need this information to determine my sample size. I can only find information as it pertains to the entire service, such as Army, RAF, and Navy."
11-05-2010-105304-002,08/06/2010,Is RAF Kirknewton still an active RAF base and why has there been so much military activity at the base over the last few months 
11-05-2010-105308-003,08/06/2010,Request for the figures for the number of Army personnel who have gone absent without leave each year starting in 2000 through to this year.
11-05-2010-111550-001,09/06/2010,"Enquiry about posting a parcel to Camp Bastion, Afghanistan. Australia Post (Australia's postal service) will not recognise the address."
11-05-2010-112456-003,09/06/2010,"I would like to obtain some photographs of  WW2 Lullingstone Park, Kent was used as a dummy airfield for the nearby fighter station at Biggin Hill."
11-05-2010-114216-002,09/06/2010,"First of all, can you advise me whether or not a specified individual is still receiving an Army pension?  Secondly, please advise whether or not the following specified individuals ever served at Dishforth."
11-05-2010-150246-001,08/06/2010,Request for a copy of a reply to an FOI request.
11-05-2010-152536-002,09/06/2010,Defence Fixed Telecommunications Service extension with BT announced July 2009.
11-05-2010-161640-001,08/06/2010,"I would like a copy of the current edition of Queen's Regulations please. In the unlikely event that any part is entitled to be withheld under the FOIA, I would like all parts that are not exempt from disclosure."
11-05-2010-163628-002,09/06/2010,"I would also like any guidance issued or produced on the duty on military commanders to act in 'a grave and sudden emergency' alluded to at paragraph 78 of a 'Memorandum by the Ministry of Defence on Defence and Security in the UK (January 2002)' provided to the Select Committee on Defence, and any guidance on Military Aid to the Civil Power and Military Aid to the Civil Community."
12-05-2010-122709-001,01/06/2010,Environmental assessment following closure of RAF Greenham Common.  Environmental assessment after remediation and restoration of the common. Were any Rights of Common reinstituted after closure of the station.?  Which areas of the former station comprise open access land in accordance with the Countryside & Rights of Way Act 2000.?  Is there right of access to the former Cruise Missile silos?
12-05-2010-123147-001,08/06/2010,"Copies of documents relating to the environmental assessment and remediation of contamination of: US Navy's Submarine Station at Holy Loch; RAF Chicksands
RAF Upper Heyford; RAF Bentwaters; RAF Woodbridge."
12-05-2010-134253-001,10/06/2010,"Please supply a redacted copy of the Board of Inquiry report on the RAF Harrier crash in Oxfordshire in July, 2007."
12-05-2010-143536-002,09/06/2010,"I am trying to find the numbers for the core defense budget (from 2001 to present, plus any future plan if available)  I have seen the outturn on the website, but it is not clear to me which is the right number.  Can you point me in the right direction?"
12-05-2010-143733-001,09/06/2010,How many Subject Access Requests (SAR) for disclosure of information were received by the Armed Forces (identified by each Force) over the last 5 years?
12-05-2010-145440-001,10/06/2010,Six questions on reports of UFO sightings has the MOD investigated in various locations year on year since 2005?
12-05-2010-150259-001,09/06/2010,"Please provide a complete breakdown of the UK contribution to Exercise ARRCADE ROVER, and Exercise ARRCADE THUNDERBOLT. The original funding comes from shared NATO funding, which UK contributes to.  Please provide a copy of the exercise specifications, plus a copy of the NATO regulations for travel expenses, and a copy of the travel booked for specified individual over the past two years."
12-05-2010-150749-003,09/06/2010,"I would like information or publications on the role and procedures of UK MED group. The role of doctors in the army. procedures and policies relating to treatment of the wounded in field hospitals, technology that is used and anything that has been developed recently. "
12-05-2010-153326-004,09/06/2010,On the topic of information Management: (i) the total number of paper-based (non-digitised) documents stored in your department.  (ii) the total number of digitised documents held by the department.  (iii) the total number of paper-based documents reported stolen/lost/damaged each year for the last three years.  (iv) annual department spend on paper for storing paper-based records.
12-05-2010-153936-002,09/06/2010,"On the topic of data loss and security:  (i) the total number of incidents of data loss on removable media. laptops,CDs,memory sticks) in your department in the last year.  (ii) from this figure, please provide a breakdown of incidents where the removable media was unencrypted "
12-05-2010-160551-002,08/06/2010,Request for clarification as to whether the army or ministry of defence hold information relating to recovery or disposal of military weapons.
12-05-2010-174503-005,19/05/2010,Please supply copies of the source code used by the London Volcanic  Ash Advisory Centre for computer simulations.
12-05-2010-175259-002,19/05/2010,"Can you please tell me the following:  1. How you procure Construction Consultancy Services.  2. How you procure Construction Contractors.  3. If by your own framework, please tell me:  a. The titles and content of the relevant frameworks. b. Who is on the current frameworks. c. The start and end dates of the frameworks.  d. Any possible extention periods to the frameworks.  e. The name and contact email of person responsible for the frameworks."
13-05-2010-105400-001,04/06/2010,A Copy of the runway report for RAF Abingdon.
13-05-2010-110747-001,03/06/2010,"The numbers and percentages of those deployed to Afghanistan between 23rd January 2010 and 20th February 2010 and/or Herrick 11 by sex, enlistment status (regular/reservist) and rank."
13-05-2010-111204-002,11/06/2010,"In the last finnancial year, how much money did the MOD spend on commercially hiring physical storage space?"
13-05-2010-113625-003,11/06/2010,"I would like to obtain a set of General Arrangement plans of the Vanguard class submarine, to assist with producing an illustartion for the Navy News."
13-05-2010-115925-002,11/06/2010,Three questions regarding the retirement of General Sir Richard Dannatt.
13-05-2010-121332-004,11/06/2010,"Four questions regarding any meeting and or correspondence with a specified individual and specified individual after 1 March 2010 4) Please disclose to me any documents (eg emails, memos) linked to the meetings such as letters to and from specified individual or specified individual, and minutes from the meetings."
13-05-2010-122912-003,10/06/2010,"What is the current average pay of broader banded civil servants (by pay band) working in the ministry of defence, including:  basic pay; overtime and allowances; national insurance; pension contributions."
13-05-2010-134824-001,10/06/2010,Request for Information on why an application for Hhonours and Award was not upheld.
13-05-2010-155616-001,11/06/2010,"Request for details of the changes made in the last 12 months to the categorisation of injured soldiers, in particular to the new guidelines surrounding whether a UK soldier is classed as 'Very Seriously Injured' or 'Seriously Injured' and Could the government explain the difference this would make in reporting the casualty figures to parliament and other public bodies and Could the government please provide the statement where these changes were made and and minutes relating to the meeting where these decisions were taken."
13-05-2010-155744-001,11/06/2010,Request for data on annual defence spending from 1978 to the last full year you have eg 2009/10.  I am looking for: budget as a %age GDP; annual budget; annual spend excluding and including HMT financed operational budget
13-05-2010-172713-002,11/06/2010,"(a) Whether either or both of the two RAF Chinook helicopters destroyed in Afghanistan in 2009 were equipped with ""night enhancement packages"".  (b) Whether the NEP caused or in any way contributed to either incident.  (c) Whether the Chinook involved in the non-fatal accident in Afghanistan in May-June 2006 and subsequently recovered to the UK was equipped with NEP.  (d) Whether the NEP in any way contributed to or caused this incident/accident.  (e) Details of all/any further incidents involving Chinooks where NEP has been implicated, or has been suspected of contributing to or causing the incident, between 2002 and 2010.  (f) Details of any reference to NEP made by the Defence Environment and Safety Board between 2002 and 2010."
13-05-2010-173308-003,11/06/2010,Please could you tell me if the 24 hour army ration packs contain nuts or traces of nuts.
14-05-2010-093340-001,11/06/2010,"(1)  What might be the most time spend apart on average per annum for a married couple with a spouse in a high-demand position - ie with tours, pre-tour training.  (2) How many married couples are opting out of married quarters so that one spouse can maintain a stable household and the partner choosing to live-in mess. (accommodation and commuting home at weekends.  I'm not sure what figures you might have around this - married people  living in?  Number of entitled not choosing to take a MQ (although this would include a variety of other factors).  I can work around whatever you are able to supply."
14-05-2010-100322-001,11/06/2010,Above Poteathbank Cottage in Scotland there is a large square building.  Are you able to confirm or deny any knowlege as to if the building is MOD or Government related?
14-05-2010-102734-001,09/06/2010,"Request for up-to-date data which shows which RN ships are currently undergoing refit.  Table 4.5 from the published UK Defence Statistics 2009 (published by DASA) shows this very nicely, however, I was wondering whether it would be possible to have something more up-to-date."
14-05-2010-143504-001,28/05/2010,Requesing information on the deficits in the Met Office pension fund and other questions.
14-05-2010-161438-002,10/06/2010,RAF Lakenheath Cultural Heritage Management Plan.  Report on excavation sites.
17-05-2010-084250-001,14/06/2010,"Copy of your FOI response to Sebastian Darby, dated 29 March 2010, on the subject of ""MOD knowledge of Sea Monsters""."
17-05-2010-095836-001,14/06/2010,Any records or information in relation to the Grain Tower Battery which was used as a military fort during the world war. It was built in 1855 and is situated just off the Isle of Grain.
17-05-2010-103637-002,15/06/2010,"A copy of the paper 'Can the UK continue to demonstrate its disarmament and non-proliferation credentials having committed to Continuous at Sea Deterrence?' presented by Gareth Stevens, Nuclear and Strategic Deterrent Office, British Defence Staff ? United States, British Embassy, Washington, at the Centre for Strategic and International Studies 'Project on Nuclear Issues Spring Conference 2010', April 8-9 2010, Washington."
17-05-2010-104406-001,15/06/2010,"The number of reported cases of mental health disorders (including ptsd, depression and anxiety) in the armed forces in the last three years. Please break down results by gender or give a clear indication of how many of these cases were women. The number of people discharged from duty due to the aforementioned health problems, again indicating how many cases were male or female."
17-05-2010-105155-001,15/06/2010,Meetings of the Service Personnel Executive Group/Service Personnel Operating Board since May 2008
17-05-2010-105955-003,15/06/2010,"Please supply a listing (as at May 2010) of all recipients of the 'Elizabeth Cross' linked to the Ulster Defence Regiment (UDR) or Royal Irish Regiments detailing their names, deceased persons name, date person died, whether ex Ulster Defence Regiment (UDR) or Royal Irish Regiments and any other relevent information?"
17-05-2010-111257-002,15/06/2010,"Please can you tell me what the safety and environmental performance indicators are for the Naval Nuclear Propulsion Programme, in particular the leading and lagging safety performance indicators."
17-05-2010-111848-002,15/06/2010,"How many times in 2009 and 2010 have UK military planes intercepted Russian Aircraft? How many each month? Is the number of times increasing? What is the threat level to the UK from the aircraft? Do you believe the aircraft to be carrying Nuclear Arms? What is the reason, do you believe for them trying to enter UK Airspace? How close to UK airspace have these aircraft reached? What do you believe are the aircrafts destinations?"
17-05-2010-112449-002,15/06/2010,"Looking for the MAAS reports concerning two Panavia Tornado F.3 accidents neither of which currently appears on the MAAS web site. These involve aircraft ZE962 which crashed 1o miles SE of Leuchars on October 14, 2005 and aircraft ZE982 that crashed at Glen Kinglas on July 2, 2009"
17-05-2010-113014-003,15/06/2010,How much does the MOD spend annually on ink cartridges/ink consumables for printer use. Please could I have the annual figures for the last 5 years. Also who are the main providers of ink consumables to the MOD.
17-05-2010-145350-001,17/05/2010,"Results of penalties awarded at all Civil Service hearings for alleged acts of gross misconduct involving money claims from 1 Feb 07 to 31 Jan 10, including number of charges, length of service and grade held by offenders."
17-05-2010-150619-001,11/06/2010,Whether the Navy News or a previous titled publication was in production in 1985. circulation numbers at that time would also be helpful I would also appreciate any information you could point me to in regards 'The Army News'
17-05-2010-172239-002,15/06/2010,I should like to know what restrictions were placed on Neutrals residing in Britain during WW2.
17-05-2010-172812-001,15/06/2010,I would like to know how much has been paid to service men and women under the Armed Forces and Reserve Forces Compensation Scheme (AFCS) for injuries received during active service between April 2009-April 2010.
17-05-2010-173209-002,15/06/2010,I would like to know the justification for the drop in Motor Mileage Allowance in JPA from 31.2 pence per mile in 2009 to 25 pence per mile in 2010.
17-05-2010-174029-002,15/06/2010,"I would like to see all comments civil servants have made relating to Web browsers (such as Microsoft's Internet Explorer, Mozilla's Firefox, Opera, Google's Chrome and Apple's Safari browsers) and the Government computer systems."
17-05-2010-180152-003,02/06/2010,1.Has His Royal Highness the Prince of Wales written to any member of the Ministerial team?  2.Has any member of the Royal Household acting on behalf of and or representing the Prince of Wales written to any member of the Ministerial team. 3.Has his Royal Highness the Prince of Wales met with any member of the Ministerial team? 4.Has any member of the Royal Household acting on and or representing the Prince of Wales met with any member of the Ministerial team?
17-05-2010-180846-003,15/06/2010,Daily weather reports for Kilmarnock for period 25-12-2009 to 08-01-2010.
18-05-2010-111804-001,15/06/2010,This request relates to development work at tank crossings on the Salisbury Plain Training Area. 1. What is the purpose and justification of the expense of the new tank crossings. 2. How much in total will be spent on the new crossings.
18-05-2010-112449-001,15/06/2010,"How much is spent by the MoD on boarding School allowance each year. How is this broken down ie civial servants, army , Navy and RAF. In adition how is this broken down by Officers and other ranks."
18-05-2010-150407-001,02/06/2010,"I would like to know whether anyone was brought in from outside the department ahead of the General Election to brief staff on what to expect in the even of a change of government.Please provide, within cost and time limits, details of who was brought in, whether they were paid, and any minutes that were taken during the briefings."
18-05-2010-152125-001,16/06/2010,1.Does the Ministry of Defence hold information which relates to the use of airbases in the UK and or UK controlled airbases overseas for the purposes of rendition/extra-ordinary rendition flights. 2.All communications between the the Secretary of State for Defence and the Permanent Secretary which relates to the use of airbases in the UK and or UK controlled airbases overseas for rendition and extra-ordinary rendition flights.  3.Did a rendition/extra-ordinary rendition flight(s) make use of an airbase in the UK and or a UK controlled airbase overseas. 4.All correspondence between the Ministry of Defence and the American Embassy in London relates to the use of airbases in the UK and or UK controlled airbases overseas for the purposes of rendition/extra-ordinary rendition flights.
19-05-2010-103131-001,16/06/2010,A330-200 AirTanker introduction. What is the size of and how much did the new passenger and freight handling reception facilities cost? How much did the new 2 bay A330-200 hangar cost? What other facilities needed upgrading ahead of the A330-200 introduction and what were their costs?
19-05-2010-111343-002,16/06/2010,"Please can you provide details of the MOD procurement team, contact details and e-mail would be preferable"
19-05-2010-120649-001,16/06/2010,"Please can you disclose whether the Ministry of Defence uses the Government Air Programme (GAP), provided by Buying Solutions, to book short-haul (Domestic and European) air travel?"
19-05-2010-122805-002,15/06/2010,I request the figures charged by rail companies and road hauliers to move MOD equipment. And the criteria to award either rail or road moves.
19-05-2010-125554-003,16/06/2010,"Please provide me with a list of all emails, memos and documents held by the department relating to the departments plans for the repatriation flights for UK hostages in Iraq in 2009. I am particularly interested to see evidence of objections about the repatriation flights for UK hostages in Iraq in 2009, and the responses from ministers."
19-05-2010-144127-001,17/06/2010,"17 July 1974 RN personnel landed on Rockall via 826 Squadron SeaKing from HMS Tiger, at the request of Trinity House to check why their light beacon had failed. References, information and photos of the event from RN or MOD Public Relations archives"
19-05-2010-145453-002,17/06/2010,"I am interested in the organisational structure of your organisation, and would like to request a full structure chart including names and job titles of all managers."
19-05-2010-152150-001,17/06/2010,"UK-RAF Northolt and BFPO - Multi Activity Contract for facilities management services. Please could you tell me the current annual price to the Authority for this contract and the list of activities this price covers (eg MT Ops, CIS etc)?"
19-05-2010-155421-001,17/06/2010,Copy of data captured during full condition survey of specified address in Stanmore - previous FOI request recorded as 03-07-2009-103752-002
19-05-2010-160318-003,17/06/2010,"I would like the full breakdown of the budgets for Wattisham Airfield for the last three financial years, plus the one for the year ahead. In particular, I would like the budget for the Apache arm of the base for those years. I would also like the budget for maintenance (i.e building repairs, groundwork etc.) for those years."
19-05-2010-160822-004,17/06/2010,The numbers of service personnel registered as AWOL over the past 12 months compared to previous 12 month periods as far back as records are available and accessible within the expenditure limits of such requests.
19-05-2010-161615-002,16/06/2010,"Statistics relating to: Service Leavers (Ages, ranks, time served, arms/services/regiments); Resettlement through flow; Employment statistics for service leavers."
19-05-2010-162818-005,16/06/2010,How I would be able to obtain information concerning how many people join the armed forces over the last ten years and more specifically from which area.
20-05-2010-103938-001,22/04/2010,Five questions regarding budget and training of the Gurkha Language Wing at Catterick
20-05-2010-115826-001,17/06/2010,1.All correspondence between any member of the MOD's ministerial team and the company North British Windpower Limited which in any way relates to the planned Fallago Rig Windfarm in Scotland? 2.All correspondence between any civil servant and or MOD representative involved in negotiations with North British Windpower and the company itself. 3.All MOD internal documentation which relate to a meeting between MOD officials and North British Windpower on 11 February 2009.
20-05-2010-121344-002,30/04/2010,"The amount of Ministry of Defence funding the Army Cadet Force received in the financial years 2008/09, 2009/10 and is projected to receive in the financial year 2010/11."
20-05-2010-122017-003,16/06/2010,"Figures related to SFA work orders raised as a result of calls received by the MHS & TES. Require a breakdown of the work orders by region, and nature of work required."
20-05-2010-123141-002,14/06/2010,1. How you procure Construction Consultancy Services 2. How you procure Construction Contractors
20-05-2010-151905-001,30/04/2010,"Information related to the Department's development of, or plans to develop, iPhone Apps"
20-05-2010-154114-001,30/04/2010,I am researching the former Royal Ordnance Factory at Kirkby (Filling Factory No:7). I was interested in seeing any plans of the original site or any available photographs etc.
20-05-2010-160241-001,30/04/2010,"Three questions in relation to the site disposal currently advertised by Defence Estates (with Drivers Jonas Deloitte) of the former RAF base at Machrihanish on the Mull of Kintyre in Argyll,"
20-05-2010-162549-001,18/06/2010,Defence Equipment and Support - amount of funding given to trade unions and the amount of staff time given to trade union activities in 2008-09 and 2009-10.  
20-05-2010-163126-002,18/06/2010,MOD Police and Guarding Agency - amount of funding given to trade unions and the amount of staff time given to trade union activities in 2008-09 and 2009-10
20-05-2010-163252-003,30/04/2010,I would like to know if any of the vast network of underground tunnels and caves in the chalk hills around Dover are available for sale or perhaps longterm lease.
20-05-2010-163555-002,18/06/2010,Defence Storage and Distribution Agency - amount of funding given to trade unions and the amount of staff time given to trade union activities in 2008-09 and 2009-10
20-05-2010-164143-002,18/06/2010,"Ministry of Defence -	 amount of funding given to trade unions and the amount of staff time given to trade union activities in 2008-09 and 2009-"
20-05-2010-164526-003,18/06/2010,Defence Analytical Service Agency (DASA) - amount of funding given to trade unions and the amount of staff time given to trade union activities in 2008-09 and 2009-10
20-05-2010-164838-002,18/06/2010,Defence Vetting Agency - amount of funding given to trade unions and the amount of staff time given to trade union activities in 2008-09 and 2009-10
20-05-2010-165336-003,18/06/2010,"Defence Medical, Education and Training Agency - amount of funding given to trade unions and the amount of staff time given to trade union activities in 2008-09 and 2009-10"
20-05-2010-165855-004,18/06/2010,Defence Aviation Repair Agency (DARA) - amount of funding given to trade unions and the amount of staff time given to trade union activities in 2008-09 and 2009-10
20-05-2010-171103-004,18/06/2010,Request to find out the army records for a specified individual
20-05-2010-171510-004,18/06/2010,I would like information on the purpose of the Criggion transmitter (masts) that lied on the Welsh border (six miles from Welshpool). Was it used as a nuclear communcations base and a former Soviet Cold war nuclear target.
20-05-2010-172250-003,17/06/2010,"I am interested in the organisational structure of your organisation, and would like to request a full structure chart including names and job titles of all managers."
20-05-2010-172906-005,18/06/2010,"The written ministerial direction, the resulting ministerial response and any other correspondence pertaining to:2006 Rt Hon John Reid MP The Armed Forces Memorial Propriety; 2008 Rt Hon Des Browne MP Remploy Procurement VFM; 2009 Rt Hon Bob Ainsworth MP Repatriation Flights for UK Hostages in Iraq  Propriety; 2009 Rt Hon Bob Ainsworth MP Repatriation Flights for UK Hostages in Iraq  Propriety; Basra Memorial Wall Dedication Ceremony 2010 (Propriety)"
