Department ,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Net Total
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/03/2011,Rail Fares,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276691,69.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/03/2011,Subsistence Payments Overseas,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276691,13.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/03/2011,Other Overseas Travel & Subsistence,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276691,20
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Air Fares,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276814,263
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Taxis,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276814,16.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Other UK Travel & Subsistence,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276814,22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Rail Fares Overseas,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276814,3.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Taxis Overseas,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276814,8.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Hotels Overseas,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276814,63.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Subsistence Payments Overseas,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276814,60.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Other Overseas Travel & Subsistence,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276814,40.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Capital Grants - Other,Business & Skills Group - Economic Development Directorate,ONE NORTH EAST,1022550,1000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Business & Skills Group - Economic Development Directorate,NH ATLANTA HOTEL,1022650,123.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Taxis,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276295,76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Subsistence Payments,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276295,34.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Other UK Travel & Subsistence,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276797,40.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Other Overseas Travel & Subsistence,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276797,52.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Rail Fares,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276836,65.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Taxis,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276836,52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Other UK Travel & Subsistence,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276836,52.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Capital Grants - Other,Business & Skills Group - Economic Development Directorate,ONE NORTH EAST,1022553,1500000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2011,Library Services,Business & Skills Group - Economic Development Directorate,THE BRITISH LIBRARY,1021004,43.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Catering Services,Business & Skills Group - Economic Development Directorate,AMEY COMMUNITY LTD,1021112,49.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2011,Rail Fares,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10275937,52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Rail Fares,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276551,22.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Mileage Allowances,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276551,64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Rail Fares,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276558,55.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Taxis,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276558,11.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Hotels,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276558,39.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Subsistence Payments,Business & Skills Group - Economic Development Directorate,"Personal Expense, Name Withheld.",10276558,20.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Catering Services,Business & Skills Group - Economic Development Directorate,BRENNAN TRADING LTD T/A CAPER & BERRY,1020941,53.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/03/2011,Publications,Business & Skills Group - Economic Development Directorate,JONES YARRELL LEADENHALL,1020651,27.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/03/2011,Publications,Business & Skills Group - Economic Development Directorate,COMPANIES HOUSE,1021763,5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Other Telephone Costs,Business & Skills Group - Economic Development Directorate,BT CONFERENCING,1023191,35.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Technical Advice / Services & Support,Business & Skills Group - Economic Development Directorate,J M W MOSAIC LTD,1023476,3360
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Technical Advice / Services & Support,Business & Skills Group - Economic Development Directorate,J M W MOSAIC LTD,1023573,6720
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,London Development Agency - Current Statutory Grant,Business & Skills Group - Economic Development Directorate,THE LONDON DEVELOPMENT AGENCY LTD,1023599,335000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,London Development Agency - Current Statutory Grant,Business & Skills Group - Economic Development Directorate,THE LONDON DEVELOPMENT AGENCY LTD,1021300,3000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,EAST MIDLANDS DEVELOPMENT AGENCY,1021263,5000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,EAST MIDLANDS DEVELOPMENT AGENCY,1021263,5000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,EAST MIDLANDS DEVELOPMENT AGENCY,1021263,5000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,EAST MIDLANDS DEVELOPMENT AGENCY,1021263,5000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,ADVANTAGE WEST MIDLANDS,1021298,35373000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,NORTHWEST REGIONAL DEVELOPMENT AGENCY,1021303,24543000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,ONE NORTH EAST,1021305,39000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,SOUTH EAST ENGLAND DEVELOPMENT AGENCY,1021306,15728000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,YORKSHIRE FORWARD,1021307,20000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,EAST OF ENGLAND DEVELOPMENT AGENCY (EEDA),1021308,14910000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,EAST OF ENGLAND DEVELOPMENT AGENCY (EEDA),1021308,2090000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,SOUTH WEST OF ENGLAND REGIONAL DEVELOPMENT AGENCY,1021310,18135000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,SOUTH WEST OF ENGLAND REGIONAL DEVELOPMENT AGENCY,1021310,16622000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Grant in Aid - Current -Other,Business & Skills Group - Economic Development Directorate,EAST MIDLANDS DEVELOPMENT AGENCY,1021649,5000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Publications,Market and Frameworks Group - Business Environment and Growth Directorate,JONES YARRELL LEADENHALL,1020456,34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2011,Secondees (not paid directly),Market and Frameworks Group - Business Environment and Growth Directorate,KPMG LLP,1021006,7100
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/03/2011,Secondees (not paid directly),Market and Frameworks Group - Business Environment and Growth Directorate,KPMG LLP,1022257,7100
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Rail Fares,Market and Frameworks Group - Business Environment and Growth Directorate,"Personal Expense, Name Withheld.",10276740,27
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Taxis,Market and Frameworks Group - Business Environment and Growth Directorate,"Personal Expense, Name Withheld.",10276740,13.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2011,Capital Grants - Other,Business & Skills Group - Life Sciences,STEVENAGE BIOSCIENCE PARK,1020342,125236
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2011,Capital Grants - Other,Business & Skills Group - Life Sciences,STEVENAGE BIOSCIENCE PARK,1020342,812000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2011,Capital Grants - Other,Business & Skills Group - Life Sciences,STEVENAGE BIOSCIENCE PARK,1020342,324358
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Capital Grants - Other,Business & Skills Group - Life Sciences,STEVENAGE BIOSCIENCE PARK,1021835,1271000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Capital Grants - Other,Business & Skills Group - Life Sciences,STEVENAGE BIOSCIENCE PARK,1021835,387970
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Rail Fares,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1020975,223
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Taxis,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1020975,77.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Hotels,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1020975,637
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Other UK Travel & Subsistence,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1020975,62.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Rail Fares,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1021320,277.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Rail Fares,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1021320,98.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Rail Fares,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1021320,108.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Rail Fares,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1023420,202.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Taxis,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1023420,27.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Mileage Allowances,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1023420,196.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Hotels,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1023420,756
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Other UK Travel & Subsistence,Business & Skills Group - Life Sciences,CDB (MEADOWSIDE) LTD,1023420,123.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Mileage Allowances,Business & Skills Group - Life Sciences,"Personal Expense, Name Withheld.",10276569,76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Rail Fares,Business & Skills Group - Life Sciences,"Personal Expense, Name Withheld.",10276731,10.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Taxis,Business & Skills Group - Life Sciences,"Personal Expense, Name Withheld.",10276731,5.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hospitality - UK,Business & Skills Group - Life Sciences,"Personal Expense, Name Withheld.",10276731,7.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Capital Grants - Other,Business & Skills Group - Life Sciences,SCOTTISH ENTERPRISE,1021839,63036.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Capital Grants - Other,Business & Skills Group - Life Sciences,SCOTTISH ENTERPRISE,1021839,1080000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Capital Grants - Other,Business & Skills Group - Life Sciences,SCOTTISH ENTERPRISE,1021839,768841.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2011,Publications (Programme),Business & Skills Group - Life Sciences,INFORMA UK LTD,1020428,2415
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Research & Development Expenditure (Programme),Business & Skills Group - Life Sciences,DUN & BRADSTREET LTD,1023188,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Research & Development Expenditure (Programme),Business & Skills Group - Life Sciences,CELS BUSINESS SERVICES LTD,1023515,52735
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Grants - Current - Other,Business & Skills Group - Enterprise Directorate,BRITISH BUSINESS ANGELS ASSOCIATION,1023109,35000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/03/2011,Staff Transfer/Detached Duty Costs,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10275977,113.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Capital Grants - Other,Knowledge and Innovation Group - Innovation,BIS UK INNOVATION INVESTMENT FUND,1020501,1500000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Capital Grants - Other,Knowledge and Innovation Group - Innovation,BIS UK INNOVATION INVESTMENT FUND,1023238,660921.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Capital Grants - Other,Knowledge and Innovation Group - Innovation,BIS UK INNOVATION INVESTMENT FUND,1023238,144159.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Non Grant-in-Aid Funding of Bodies (Departmental and Non-Departmental),Knowledge and Innovation Group - Innovation,NATIONAL MEASUREMENT OFFICE,1021475,7270000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Innovation,UNIVERSITY OF CAMBRIDGE,1020144,56.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Stationery,Knowledge and Innovation Group - Innovation,LYRECO UK LTD,1021290,0.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/03/2011,Stationery,Knowledge and Innovation Group - Innovation,OFFICE DEPOT UK LTD,1021574,259.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Recruitment Consultancy Costs,Knowledge and Innovation Group - Innovation,BRIAN HUTCHINSON,1022836,750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/03/2011,Stationery,Knowledge and Innovation Group - Innovation,LYRECO UK LTD,1023074,143.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Stationery,Knowledge and Innovation Group - Innovation,LYRECO UK LTD,1023361,2.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2011,Professional Subscriptions,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276055,102
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Grants - Non Statutory - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1020494,52166.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Grants - Non Statutory - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1022692,52166.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Grants - Non Statutory - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1020495,230222.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Grants - Non Statutory - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1022695,150222.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Grants - Non Statutory - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1022695,80000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2011,Grants - Non Statutory - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1020779,4267.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Grants - Non Statutory - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1021864,3197.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Grants - Non Statutory - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1022694,25031.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2011,Grants - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1020780,52417.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Grants - Current - Other,Knowledge and Innovation Group - Innovation,BRITISH STANDARDS INSTITUTION (BSI),1022693,335349.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Administration of Grants and Awards,Knowledge and Innovation Group - Innovation,THE TECHNOLOGY STRATEGY BOARD,1023171,86433
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Administration of Grants and Awards,Knowledge and Innovation Group - Innovation,THE TECHNOLOGY STRATEGY BOARD,1023171,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Business Management Advice,Knowledge and Innovation Group - Innovation,JERA CONSULTING LTD,1021795,8592.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Business Management Advice,Knowledge and Innovation Group - Innovation,JERA CONSULTING LTD,1021795,1116.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Financial Advice and Services,Knowledge and Innovation Group - Innovation,CAPITAL FOR ENTERPRISE LTD,1021792,8333.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Innovation,DESIGN COUNCIL,1022090,348500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Grant in Aid - Current -Other,Knowledge and Innovation Group - Innovation,DESIGN COUNCIL,1022090,165131.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Contributions (Programme),Knowledge and Innovation Group - Innovation,DESIGN COUNCIL,1020937,25000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Innovation,QED CONFERENCE & CATERING LTD,1020939,344
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Independent Experts,Knowledge and Innovation Group - Innovation,THE TECHNOPOLICY NETWORK,1022157,5072.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Innovation,ASEPTIKA LTD,1022736,815.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/03/2011,Economic Consultancy and Research,Knowledge and Innovation Group - Innovation,OECD ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT,1020676,29841
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Economic Consultancy and Research,Knowledge and Innovation Group - Innovation,OFFICE FOR NATIONAL STATISTICS,1020962,436.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Economic Consultancy and Research,Knowledge and Innovation Group - Innovation,UNIVERSITY OF CAMBRIDGE,1021183,3000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Economic Consultancy and Research,Knowledge and Innovation Group - Innovation,OFFICE FOR NATIONAL STATISTICS,1021316,187.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Innovation,SILKEN BERLAYMONT HOTEL,1020138,200.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Innovation,JOLLY HOTEL DU GRAND SABLON,1020148,120.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2011,Publications,Knowledge and Innovation Group - Innovation,JONES YARRELL LEADENHALL,1020452,17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/03/2011,Interpreters,Knowledge and Innovation Group - Innovation,MS JACKIE STORRIE,1021109,110
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Interpreters,Knowledge and Innovation Group - Innovation,JANETTE NIMMO,1021801,135
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Interpreters,Knowledge and Innovation Group - Innovation,DESMOND MALCOLM,1022045,351.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Secondees (not paid directly),Knowledge and Innovation Group - Innovation,EAST OF ENGLAND DEVELOPMENT AGENCY (EEDA),1022097,7619.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Secondees (not paid directly),Knowledge and Innovation Group - Innovation,EAST OF ENGLAND DEVELOPMENT AGENCY (EEDA),1022097,11472.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Innovation,NH ATLANTA HOTEL,1022646,127.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Secondees (not paid directly),Knowledge and Innovation Group - Innovation,EAST OF ENGLAND DEVELOPMENT AGENCY (EEDA),1022664,14677.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Secondees (not paid directly),Knowledge and Innovation Group - Innovation,EAST OF ENGLAND DEVELOPMENT AGENCY (EEDA),1022664,1741.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Rail Fares,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276117,4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Rail Fares Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276117,8.71
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Taxis Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276117,18.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Hotels Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276117,62.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276117,32.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Rail Fares Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276153,9.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276153,37.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Professional Subscriptions,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276345,109
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Rail Fares,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276387,25.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Taxis,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276387,7.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276387,3.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Rail Fares Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276387,4.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Hotels Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276387,107.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276387,26.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276387,12.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Rail Fares,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276607,20.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Rail Fares Overseas,Knowledge and Innovation Group - Innovation,"Personal Expense, Name Withheld.",10276607,14.28
