UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC15981,04-Nov-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"4,269.25",15981
MODGPC15982,01-Nov-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,"3,375.00",15982
MODGPC15983,03-Nov-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,700,15983
MODGPC15984,03-Nov-11,Training and Educational           , SCHOOLS - DEFAULT,"1,357.20",15984
MODGPC15985,10-Nov-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,665.00",15985
MODGPC15986,03-Nov-11,General Retail and Wholesale       , VARIETY STORES,535.45,15986
MODGPC15987,09-Nov-11,General Retail and Wholesale       ," HOBBY, TOY & GAME SHOPS",749.34,15987
MODGPC15988,02-Nov-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,696,15988
MODGPC15989,03-Nov-11,General Retail and Wholesale       , SPORTING GOODS STORES,737,15989
MODGPC15990,04-Nov-11,General Retail and Wholesale       , ARTIST/CRAFT SHOPS,945.6,15990
MODGPC15991,04-Nov-11,General Retail and Wholesale       , TENT AND AWNING SHOPS,720,15991
MODGPC15992,09-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,564,15992
MODGPC15993,07-Nov-11,General Retail and Wholesale       ," HOBBY, TOY & GAME SHOPS",558,15993
MODGPC15994,08-Nov-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"3,000.00",15994
MODGPC15995,01-Nov-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,882.01,15995
MODGPC15996,02-Nov-11,Leisure Activities                 , MEMBER CLUBS/SPORT/REC/GOLF,996,15996
MODGPC15997,08-Nov-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"1,166.10",15997
MODGPC15998,01-Nov-11,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY",554.43,15998
MODGPC15999,02-Nov-11,Financial Services                 , INSURANCE SALES/UNDERWRITE,"4,595.40",15999
MODGPC16000,10-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,948,16000
MODGPC16001,03-Nov-11,Leisure Activities                 , MEMBER CLUBS/SPORT/REC/GOLF,"2,059.55",16001
MODGPC16002,01-Nov-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,691.8,16002
MODGPC16003,07-Nov-11,Catering and Catering Supplies     , CATERERS,"2,524.50",16003
MODGPC16004,04-Nov-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,916.81,16004
MODGPC16005,04-Nov-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"2,340.00",16005
MODGPC16006,04-Nov-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,958.8,16006
MODGPC16007,02-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,082.40",16007
MODGPC16008,09-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,753.58,16008
MODGPC16009,09-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,947.4,16009
MODGPC16010,01-Nov-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"1,025.59",16010
MODGPC16011,04-Nov-11,General Retail and Wholesale       , WOMENS ACCESS/SPECIALTY,"1,311.95",16011
MODGPC16012,07-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"2,345.77",16012
MODGPC16013,07-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"2,004.82",16013
MODGPC16014,11-Nov-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"1,998.75",16014
MODGPC16015,02-Nov-11,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,554,16015
MODGPC16016,09-Nov-11,Professional Services              , ARCHITECTURAL/ENG/SURVEY,519.82,16016
MODGPC16017,01-Nov-11,Utilities and Non Automotive Fuel  , UTILITIES/ELEC/GAS/H2O/SANI,599.09,16017
MODGPC16018,01-Nov-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,647.94,16018
MODGPC16019,04-Nov-11,"Vehicles, Servicing and Spares     ", AUTO BODY REPAIR SHOPS,708.5,16019
MODGPC16020,07-Nov-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,673.3,16020
MODGPC16021,02-Nov-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"1,702.00",16021
MODGPC16022,08-Nov-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,671.64,16022
MODGPC16023,07-Nov-11,General Retail and Wholesale       , MISC APPAREL/ACCESS STORES,501.39,16023
MODGPC16024,07-Nov-11,General Retail and Wholesale       , SPORTING GOODS STORES,600,16024
MODGPC16025,11-Nov-11,Mail and Courier Services          , POSTAGE STAMPS,550,16025
MODGPC16026,04-Nov-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,504.64,16026
MODGPC16027,08-Nov-11,Medical Supplies and Services      , OPTICIANS,702.54,16027
MODGPC16028,11-Nov-11,Miscellaneous Industrial/Commercial, TOOL HIRE,"1,104.00",16028
MODGPC16029,11-Nov-11,Miscellaneous Industrial/Commercial, DURABLE GOODS - DEFAULT,713.47,16029
MODGPC16030,03-Nov-11,Restaurants and Bars               ," HOTELS, RESTAURANTS AND BARS","3,400.00",16030
MODGPC16031,10-Nov-11,Restaurants and Bars               ," HOTELS, RESTAURANTS AND BARS","3,570.00",16031
MODGPC16032,04-Nov-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,580.02,16032
MODGPC16033,08-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"2,109.30",16033
MODGPC16034,09-Nov-11,"Office Stationery, Equipment and Su", STATIONERY STORES,"2,151.14",16034
MODGPC16035,02-Nov-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"1,868.38",16035
MODGPC16036,11-Nov-11,Medical Supplies and Services      ," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",590.28,16036
MODGPC16037,10-Nov-11,"Office Stationery, Equipment and Su", QUICK COPY/REPRO SERVICES,"1,294.48",16037
MODGPC16038,08-Nov-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"1,679.00",16038
MODGPC16039,10-Nov-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/USED ONLY,649.19,16039
MODGPC16040,04-Nov-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,675,16040
MODGPC16041,09-Nov-11,Building Materials                 , CONSTRUCTION MATERIALS - DEF,943.75,16041
MODGPC16042,03-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,775.1,16042
MODGPC16043,03-Nov-11,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"1,097.00",16043
MODGPC16044,10-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,115.98",16044
MODGPC16045,01-Nov-11,Estate and Garden Services         , FLORISTS,997.34,16045
MODGPC16046,09-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,912,16046
MODGPC16047,09-Nov-11,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,"1,584.00",16047
MODGPC16048,10-Nov-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"2,666.40",16048
MODGPC16049,10-Nov-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"4,967.42",16049
MODGPC16050,04-Nov-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"1,067.72",16050
MODGPC16051,11-Nov-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"1,356.00",16051
MODGPC16052,08-Nov-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,650,16052
MODGPC16053,01-Nov-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,"3,216.00",16053
MODGPC16054,02-Nov-11,Building Services                  , ELECTRICAL CONTRACTORS,522.54,16054
MODGPC16055,08-Nov-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,643.5,16055
MODGPC16056,08-Nov-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,528,16056
MODGPC16057,11-Nov-11,General Retail and Wholesale       , HARDWARE STORES,852.72,16057
MODGPC16058,03-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,148.38",16058
MODGPC16059,07-Nov-11,General Retail and Wholesale       , DISCOUNT STORES,640,16059
MODGPC16060,10-Nov-11,Mail Order / Direct Selling        , CONTINUITY/SUBSCRIPTION MERCHT,673.5,16060
MODGPC16061,02-Nov-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,835.96,16061
MODGPC16062,03-Nov-11,"Office Stationery, Equipment and Su", STATIONERY STORES,549.65,16062
MODGPC16063,03-Nov-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,534.96,16063
MODGPC16064,03-Nov-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"1,266.29",16064
MODGPC16065,11-Nov-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,631.73,16065
MODGPC16066,05-Nov-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,733.5,16066
MODGPC16067,08-Nov-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,624.86,16067
MODGPC16068,12-Nov-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"1,084.37",16068
MODGPC16069,01-Nov-11,Restaurants and Bars               , BARS/TAVERNS/LOUNGES/DISCOS,896.28,16069
MODGPC16070,11-Nov-11,Restaurants and Bars               , BARS/TAVERNS/LOUNGES/DISCOS,"1,349.45",16070
MODGPC16071,01-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,"1,273.68",16071
MODGPC16072,01-Nov-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE TIRE STORES,"3,000.00",16072
MODGPC16073,07-Nov-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,972.95,16073
MODGPC16074,10-Nov-11,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,899.21,16074
MODGPC16075,10-Nov-11,Miscellaneous Industrial/Commercial, PETROLEUM/PETROLEUM PRODUCTS,"1,500.00",16075
MODGPC16076,10-Nov-11,Miscellaneous Industrial/Commercial, PETROLEUM/PETROLEUM PRODUCTS,"1,494.57",16076
MODGPC16077,09-Nov-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,576.4,16077
MODGPC16078,02-Nov-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,865.88,16078
MODGPC16079,09-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,500.85,16079
MODGPC16080,10-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,890.63,16080
MODGPC16081,10-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,"1,000.00",16081
MODGPC16082,10-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,"1,218.00",16082
MODGPC16083,03-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,918.77,16083
MODGPC16084,04-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,865.42,16084
MODGPC16085,08-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,718.31,16085
MODGPC16086,09-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,782.16,16086
MODGPC16087,10-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,723.45,16087
MODGPC16088,11-Nov-11,Utilities and Non Automotive Fuel  , FUEL DEALERS,683.7,16088
MODGPC16089,02-Nov-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,637.2,16089
MODGPC16090,08-Nov-11,Medical Supplies and Services      , OPTICIANS,"1,514.26",16090
MODGPC16091,01-Nov-11,"Vehicles, Servicing and Spares     ", AUTO BODY REPAIR SHOPS,613.44,16091
MODGPC16092,09-Nov-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"1,018.08",16092
MODGPC16093,10-Nov-11,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY","3,243.36",16093
MODGPC16094,11-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,526.63,16094
MODGPC16095,11-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,830.88,16095
MODGPC16096,11-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,930.38,16096
MODGPC16097,11-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,927.36,16097
MODGPC16098,11-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,853.54,16098
MODGPC16099,02-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,621.48,16099
MODGPC16100,02-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,994.37,16100
MODGPC16101,02-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,588.89,16101
MODGPC16102,11-Nov-11,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,"1,463.06",16102
MODGPC16103,10-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,682.93,16103
MODGPC16104,11-Nov-11,Catering and Catering Supplies     , CATERERS,665.39,16104
MODGPC16105,07-Nov-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"1,342.44",16105
MODGPC16106,09-Nov-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,612,16106
MODGPC16107,02-Nov-11,Telecommunication Services         , TELECOMMUNICATION EQUIPMENT,"1,956.96",16107
MODGPC16108,11-Nov-11,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,"1,393.92",16108
MODGPC16109,11-Nov-11,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,"2,158.46",16109
MODGPC16110,11-Nov-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,899.76,16110
MODGPC16111,07-Nov-11,General Retail and Wholesale       , SPORTING GOODS STORES,"2,435.00",16111
MODGPC16112,07-Nov-11,Professional Services              , VETERINARY SERVICES,"2,010.96",16112
MODGPC16113,03-Nov-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,"1,375.78",16113
MODGPC16114,07-Nov-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"3,400.00",16114
MODGPC16115,10-Nov-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"1,400.00",16115
MODGPC16116,03-Nov-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,737.16,16116
MODGPC16117,01-Nov-11,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"2,726.85",16117
MODGPC16118,02-Nov-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"2,081.66",16118
MODGPC16119,04-Nov-11,Miscellaneous Industrial/Commercial, MISC REPAIR SERVICES,"5,998.20",16119
MODGPC16120,04-Nov-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,685.56,16120
MODGPC16121,09-Nov-11,General Retail and Wholesale       , SPORTING GOODS STORES,750,16121
MODGPC16122,09-Nov-11,Leisure Activities                 , MEMBER CLUBS/SPORT/REC/GOLF,515,16122
MODGPC16123,03-Nov-11,Miscellaneous Industrial/Commercial, TOOL HIRE,783.65,16123
MODGPC16124,08-Nov-11,Books and Periodicals              , BOOK STORES,640,16124
MODGPC16125,10-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,547.67,16125
MODGPC16126,10-Nov-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,515.45,16126
MODGPC16127,10-Nov-11,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,"1,011.94",16127
MODGPC16128,04-Nov-11,General Retail and Wholesale       , SHOE STORES,536.46,16128
MODGPC16129,11-Nov-11,Leisure Activities                 , RECREATION SERVICES,"1,311.30",16129
MODGPC16130,03-Nov-11,Print and Advertising              , MISC PUBLISHING & PRINTING,534.6,16130
MODGPC16131,04-Nov-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,622.42,16131
MODGPC16132,03-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,518.45,16132
MODGPC16133,08-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,066.36",16133
MODGPC16134,08-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,772.8,16134
MODGPC16135,09-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,646.42,16135
MODGPC16136,04-Nov-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,575.33,16136
MODGPC16137,11-Nov-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"4,536.00",16137
MODGPC16138,02-Nov-11,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"1,074.00",16138
MODGPC16139,08-Nov-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,948,16139
MODGPC16140,02-Nov-11,"Vehicles, Servicing and Spares     ", MISC AUTO DEALERS - DEFAULT,599.03,16140
MODGPC16141,02-Nov-11,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"1,319.55",16141
MODGPC16142,03-Nov-11,General Retail and Wholesale       , BICYCLE SHOPS/SALES/SERVICE,"4,082.00",16142
MODGPC16143,07-Nov-11,General Retail and Wholesale       , SPORTING GOODS STORES,"1,941.41",16143
MODGPC16144,08-Nov-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"4,856.40",16144
MODGPC16145,02-Nov-11,General Retail and Wholesale       , SMALL APPLIANCE REPAIR DEF,"1,454.97",16145
MODGPC16146,10-Nov-11,Mail and Courier Services          , POSTAGE STAMPS,500,16146
MODGPC16147,04-Nov-11,Mail Order / Direct Selling        , CATALOG MERCHANT,"2,469.56",16147
MODGPC16148,08-Nov-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE TIRE STORES,"1,860.00",16148
MODGPC16149,01-Nov-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,918.37,16149
MODGPC16150,03-Nov-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,522,16150
MODGPC16151,01-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,696.96,16151
MODGPC16152,04-Nov-11,Miscellaneous Industrial/Commercial, HARDWARE EQUIPMENT/SUPPLIES,"2,616.00",16152
MODGPC16153,10-Nov-11,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,858,16153
MODGPC16154,08-Nov-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,540.48,16154
MODGPC16155,03-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"2,082.55",16155
MODGPC16156,11-Nov-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,903,16156
MODGPC16157,09-Nov-11,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,743.62,16157
MODGPC16158,07-Nov-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"2,289.60",16158
MODGPC16159,08-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,544.5,16159
MODGPC16160,09-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"1,071.00",16160
MODGPC16161,09-Nov-11,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,521.4,16161
MODGPC16162,11-Nov-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,039.09",16162
MODGPC16163,03-Nov-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,576.67,16163
MODGPC16164,02-Nov-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"4,445.97",16164
MODGPC16165,03-Nov-11,Miscellaneous Industrial/Commercial, HARDWARE EQUIPMENT/SUPPLIES,764.4,16165
MODGPC16166,01-Nov-11,"Vehicles, Servicing and Spares     ", AUTO BODY REPAIR SHOPS,500,16166
MODGPC16167,01-Nov-11,"Vehicles, Servicing and Spares     ", AUTO BODY REPAIR SHOPS,665.94,16167
MODGPC16168,01-Nov-11,"Vehicles, Servicing and Spares     ", AUTO BODY REPAIR SHOPS,538,16168
MODGPC16169,01-Nov-11,"Vehicles, Servicing and Spares     ", AUTO BODY REPAIR SHOPS,500,16169
MODGPC16170,11-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,863.96,16170
MODGPC16171,11-Nov-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,673.34,16171
MODGPC16172,01-Nov-11,Building Services                  , SPEC CONTRACTORS - DEFAULT,"1,241.66",16172
MODGPC16173,08-Nov-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,522,16173
MODGPC16174,04-Nov-11,Catering and Catering Supplies     , CATERERS,611.63,16174
MODGPC16175,04-Nov-11,General Retail and Wholesale       , ARTIST/CRAFT SHOPS,798,16175
MODGPC16176,09-Nov-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,756,16176
MODGPC16177,10-Nov-11,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,"1,620.00",16177
MODGPC16178,01-Nov-11,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,726,16178
MODGPC16179,02-Nov-11,Medical Supplies and Services      , MEDICAL/DENTAL LABS,"2,313.60",16179
MODGPC16180,10-Nov-11,Medical Supplies and Services      , DRUG STORES & PHARMACIES,"1,188.00",16180
MODGPC16181,09-Nov-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,660,16181
MODGPC16182,09-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"2,759.74",16182
MODGPC16183,09-Nov-11,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,717.83,16183
MODGPC16184,11-Nov-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,723.14,16184
MODGPC16185,01-Nov-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"1,152.00",16185
MODGPC16186,08-Nov-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"10,392.00",16186
MODGPC16187,10-Nov-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"1,108.80",16187
MODGPC16188,08-Nov-11,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,"1,800.65",16188
MODGPC16189,09-Nov-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,558.08,16189
MODGPC16190,07-Nov-11,General Retail and Wholesale       , SPORTING GOODS STORES,824.32,16190
MODGPC16191,01-Nov-11,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,"1,804.78",16191
MODGPC16192,10-Nov-11,Catering and Catering Supplies     , CATERERS,835.49,16192
MODGPC16193,03-Nov-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"1,551.01",16193
MODGPC16194,11-Nov-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,930.1,16194
MODGPC16195,03-Nov-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,660,16195
MODGPC16196,03-Nov-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,660,16196
MODGPC16197,07-Nov-11,Utilities and Non Automotive Fuel  , UTILITIES/ELEC/GAS/H2O/SANI,"11,020.23",16197
MODGPC16198,11-Nov-11,General Retail and Wholesale       , DEPARTMENT STORES,"2,796.00",16198
MODGPC16199,03-Nov-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,553.27,16199
MODGPC16200,09-Nov-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,631.56,16200
MODGPC16201,01-Nov-11,General Retail and Wholesale       , GROCERY STORES/SUPERMARKETS,618.47,16201
MODGPC16202,03-Nov-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,854.73,16202
MODGPC16203,07-Nov-11,Professional Services              , PROFESSIONAL SERVICES - DEF,540,16203
