Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Maintenance,Interface,BARCLAYCARD PROCUREMENT CARD,12024,306.59
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Cost of Sales - Equipment Hire,ITC Department,BARCLAYCARD PROCUREMENT CARD,12024,12.34
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Licence Costs,Administration,BARCLAYCARD PROCUREMENT CARD,12024,800
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Stationery,Event Management,BARCLAYCARD PROCUREMENT CARD,12024,233.9
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Cost of Sales - Equipment Hire,Interface,BARCLAYCARD PROCUREMENT CARD,12024,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Travel,ITC Department,BARCLAYCARD PROCUREMENT CARD,12024,16
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,IT Equipment Maintenance,ITC Department,BARCLAYCARD PROCUREMENT CARD,12024,2975.48
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,12024,18
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Internet & Telecomms,ITC Department,BARCLAYCARD PROCUREMENT CARD,12024,58.57
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,12025,1042.8
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,12026,1056
Communities And Local Government,Queen Elizabeth II Conference Centre,16/09/2010,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,12027,3815
Communities And Local Government,Queen Elizabeth II Conference Centre,16/09/2010,Cost of Sales - Commission,Commercial,The Outlook Creative Group Ltd,12028,2895.98
Communities And Local Government,Queen Elizabeth II Conference Centre,16/09/2010,Gas,Operations,CORONA ENERGY,12030,1309.29
Communities And Local Government,Queen Elizabeth II Conference Centre,16/09/2010,Advertising,Commercial,Visit London Ltd,12031,800
Communities And Local Government,Queen Elizabeth II Conference Centre,16/09/2010,Marketing,Commercial,ANISEED PR LTD,12032,2020
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Building Improvements,Operations,THOMPSON ELECTRICAL SERVICES,12033,2023.18
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Entertaining,Event Management,Leith's at the Centre,12034,64.9
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Entertaining,Interface,Leith's at the Centre,12034,22.13
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Entertaining,Commercial,Leith's at the Centre,12034,260.7
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Entertaining,Commercial,Leith's at the Centre,12034,34.85
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Entertaining,Interface,Leith's at the Centre,12034,40.3
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Entertaining,Administration,Leith's at the Centre,12034,59
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Entertaining,Administration,Leith's at the Centre,12034,20.65
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Consumables,ITC Department,VITESSE PLC,12035,509
Communities And Local Government,Queen Elizabeth II Conference Centre,17/09/2010,Cost of Sales - Commission,Commercial,Corporate Venue Solutions,12037,2509.5
Communities And Local Government,Queen Elizabeth II Conference Centre,20/09/2010,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,12042,1231.48
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2010,Maintenance,Interface,THE MUSIC ROOM SOLUTIONS LTD,12048,509.72
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2010,Computer Software,Operations,QUADSYS LTD,12050,6180
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2010,Cost of Sales - Contract Labour,Operations,PIGGOTT BROTHERS & CO LTD,12053,660
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2010,Marketing,Commercial,Visit London Ltd,12054,1500
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2010,Agency Labour,Commercial,Poolia UK Ltd,12055,487.8
Communities And Local Government,Queen Elizabeth II Conference Centre,21/09/2010,Consultants,Commercial,WATTERSTON ASSOCIATES LTD,12056,1336
Communities And Local Government,Queen Elizabeth II Conference Centre,23/09/2010,Cost of Sales - Equipment Hire,Interface,WHITE LIGHT LTD,12061,537.87
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Agency Labour,Commercial,Poolia UK Ltd,12063,487.8
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Marketing,Commercial,DK ADVERTISING LTD,12064,5280
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,12070,681
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Maintenance,Operations,GROSVENOR CONTRACTS (LONDON) L,12071,1198
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cost of Sales - Freelance Technicians,Interface,LAWRENCE TILDESLEY,12072,800
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cost of Sales - Freelance Technicians,Interface,Bosco O'Toole,12073,1200
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cost of Sales - Freelance Technicians,Interface,ADAM WILLIAMS,12074,600
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cost of Sales - Consumables,Interface,STANLEY PRODUCTIONS LTD,12076,760
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cost of Sales - Freelance Technicians,Interface,MATTHEW DOCHERTY T/A Orange Genie Cover Ltd,12077,800
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,12079,1218.53
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,12080,2606.33
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,12082,1898.98
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Maintenance,Interface,AP SET CONSTRUCTION LTD,12083,445
Communities And Local Government,Queen Elizabeth II Conference Centre,27/09/2010,Cost of Sales - Freelance Technicians,Interface,MATT PHILLIPS,12084,800
Communities And Local Government,Queen Elizabeth II Conference Centre,28/09/2010,Maintenance,Operations,MAINTEL EUROPE LTD,12087,2302.23
Communities And Local Government,Queen Elizabeth II Conference Centre,28/09/2010,Cost of Sales - Freelance Technicians,Interface,LOUISA GLADWIN,12088,854
Communities And Local Government,Queen Elizabeth II Conference Centre,28/09/2010,Cost of Sales - Freelance Technicians,Interface,NICK POWERS LTD,12089,1018
Communities And Local Government,Queen Elizabeth II Conference Centre,28/09/2010,Cost of Sales - Freelance Technicians,Interface,JIM COUGHLAN VISUAL COMM. LTD,12090,1018
Communities And Local Government,Queen Elizabeth II Conference Centre,28/09/2010,IT Equipment Maintenance,ITC Department,MAINTEL EUROPE LTD,12091,1217.5
Communities And Local Government,Queen Elizabeth II Conference Centre,29/09/2010,Cost of Sales - Equipment Hire,Interface,HIRE INTELLIGENCE INTERNATIONAL  LTD,12094,1640
Communities And Local Government,Queen Elizabeth II Conference Centre,29/09/2010,Cost of Sales - Equipment Hire,Operations,EVE TRAKWAY LTD,12095,500
Communities And Local Government,Queen Elizabeth II Conference Centre,29/09/2010,Water,Operations,THAMES WATER UTILITIES LTD,12096,2789.44
Communities And Local Government,Queen Elizabeth II Conference Centre,29/09/2010,Cost of Sales - Freelance Technicians,Interface,DAVID BOYCE,12101,800
Communities And Local Government,Queen Elizabeth II Conference Centre,29/09/2010,Cost of Sales - Freelance Technicians,Interface,TIM HIGHAM,12102,800
Communities And Local Government,Queen Elizabeth II Conference Centre,29/09/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,12103,38688.43
Communities And Local Government,Queen Elizabeth II Conference Centre,29/09/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,12104,4398.25
Communities And Local Government,Queen Elizabeth II Conference Centre,29/09/2010,Cost of Sales - Freelance Technicians,Interface,CHRIS BRAUN,12106,1200
Communities And Local Government,Queen Elizabeth II Conference Centre,01/10/2010,IT Equipment Maintenance,ITC Department,SHIRE SYSTEMS LIMITED,12107,1452
Communities And Local Government,Queen Elizabeth II Conference Centre,01/10/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,12108,761.66
Communities And Local Government,Queen Elizabeth II Conference Centre,01/10/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,12109,56172.16
Communities And Local Government,Queen Elizabeth II Conference Centre,01/10/2010,Cost of Sales - Freelance Technicians,Interface,DENE UNSWORTH,12111,1036
Communities And Local Government,Queen Elizabeth II Conference Centre,01/10/2010,Cost of Sales - Freelance Technicians,Interface,LOUISA GLADWIN,12113,600
Communities And Local Government,Queen Elizabeth II Conference Centre,01/10/2010,Leith's Receipts,Finance,Leith's at the Centre,12114,1250
Communities And Local Government,Queen Elizabeth II Conference Centre,01/10/2010,Marketing,Commercial,ANISEED PR LTD,12115,2020
Communities And Local Government,Queen Elizabeth II Conference Centre,05/10/2010,Marketing,Commercial,Marmalade On Toast,12120,500
Communities And Local Government,Queen Elizabeth II Conference Centre,05/10/2010,Maintenance,Interface,DELPHINI LTD,12123,960
