Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Department for Communities and Local Government,Government Office Network,GO North East,0,Grade 7 (G7),46112,62375,Not In Post,10,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North East,0,Grade 6 (G6),56452,74968,Not In Post,1,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North West,0,Administrative Assistant (AA),15468,21114,Not In Post,1,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North West,0,Administrative Officer (AO),17050,24291,Not In Post,9,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North West,0,Executive Officer (EO),20645,32086,Not In Post,18.1,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North West,0,Higher Executive Officer (HEO),27637,40873,Not In Post,22.7,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North West,0,Senior Executive Officer (SEO),33773,50379,Not In Post,13.5,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North West,0,Grade 7 (G7),46112,62375,Not In Post,11.9,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South East,0,Administrative Officer (AO),17050,24291,Not In Post,10.3,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South East,0,Executive Officer (EO),20645,32086,Not In Post,19.7,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South East,0,Higher Executive Officer (HEO),27637,40873,Not In Post,18.4,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South East,0,Senior Executive Officer (SEO),33773,50379,Not In Post,25,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South East,0,Grade 7 (G7),46112,62375,Not In Post,13.4,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South West,0,Administrative Assistant (AA),15468,21114,Not In Post,1.8,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South West,0,Administrative Officer (AO),17050,24291,Not In Post,9.4,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South West,0,Executive Officer (EO),20645,32086,Not In Post,12.6,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South West,0,Higher Executive Officer (HEO),27637,40873,Not In Post,12.6,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South West,0,Senior Executive Officer (SEO),33773,50379,Not In Post,15.8,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO South West,0,Grade 7 (G7),46112,62375,Not In Post,14,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO West Midlands,0,Administrative Assistant (AA),15468,21114,Not In Post,4,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO West Midlands,0,Administrative Officer (AO),17050,24291,Not In Post,14.5,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO West Midlands,0,Executive Officer (EO),20645,32086,Not In Post,9.4,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO West Midlands,0,Higher Executive Officer (HEO),27637,40873,Not In Post,18.6,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO West Midlands,0,Senior Executive Officer (SEO),33773,50379,Not In Post,16.4,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO West Midlands,0,Grade 7 (G7),46112,62375,Not In Post,11,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,0,Administrative Assistant (AA),15468,21114,Not In Post,0.3,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,0,Administrative Officer (AO),17050,24291,Not In Post,8.3,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,0,Executive Officer (EO),20645,32086,Not In Post,19.5,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,0,Higher Executive Officer (HEO),27637,40873,Not In Post,18,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,0,Senior Executive Officer (SEO),33773,50379,Not In Post,18.8,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,0,Grade 7 (G7),46112,62375,Not In Post,13.3,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,0,Higher Executive Officer (HEO),27637,40873,Not In Post,1,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,0,Senior Executive Officer (SEO),33773,50379,Not In Post,2,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,0,Grade 7 (G7),46112,62375,Not In Post,0.9,Operational Delivery
