Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,01/03/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,761901,1849.96
Ministry of Defence,Ministry of Defence,01/03/2011,Transport hire charges,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,761901,1844.81
Ministry of Defence,Ministry of Defence,01/03/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,761901,623.7
Ministry of Defence,Ministry of Defence,01/03/2011,Transport hire charges,Defence Estates,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,761901,508.2
Ministry of Defence,Ministry of Defence,01/03/2011,Design services and minor equipment purchases,Defence Estates,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,761901,130.89
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,761904,30549.06
Ministry of Defence,Ministry of Defence,01/03/2011,Building maintenance and accommodation stores,Navy Command,BAE SYSTEMS SURFACE SHIPS SUPPORT LIMITED,761911,7395.71
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Air Command,BIFFA WASTE SERVICES LIMITED,761915,21235.12
Ministry of Defence,Ministry of Defence,01/03/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,CITYSPRINT (UK) LIMITED,761958,26920.74
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES (SOUTH WEST)LIMITED,761979,900000
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Defence Estates,DEBUT SERVICES (SOUTH WEST)LIMITED,761979,89596.67
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,761986,219495.67
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Defence Estates,EMCOR FACILITIES SERVICES LTD,762014,32937.33
Ministry of Defence,Ministry of Defence,01/03/2011,Fees for professional services,Defence Equipment & Support,ENTEC U K LTD,762016,43471.48
Ministry of Defence,Ministry of Defence,01/03/2011,Fees for professional services,Land Forces,FRONTIER MEDICAL SERVICES  LIMITED,762027,102220
Ministry of Defence,Ministry of Defence,01/03/2011,Externally delivered education and training.,Land Forces,GALAHAD SUBSTANCE MISUSE SOLUTIONS LIMITED,762031,52190.79
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,GARDNER DENVER LIMITED,762032,24597.89
Ministry of Defence,Ministry of Defence,01/03/2011,Design services and minor equipment purchases,Defence Equipment & Support,GARDNER DENVER LIMITED,762032,583
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Central TLB,GB OILS LIMITED,762034,44393.57
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Land Forces,GB OILS LIMITED,762034,22429.39
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Air Command,GB OILS LIMITED,762034,18492.67
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Navy Command,GB OILS LIMITED,762034,17413.14
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,762034,16280.11
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Defence Estates,GB OILS LIMITED,762034,16185.62
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Defence Equipment & Support,HENTY OIL LTD,762050,58027.79
Ministry of Defence,Ministry of Defence,01/03/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,762054,6044
Ministry of Defence,Ministry of Defence,01/03/2011,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,762058,838.44
Ministry of Defence,Ministry of Defence,01/03/2011,IT and communication services,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,762062,956369.85
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,ICETHAW SALT SUPPLIES LTD,762064,78519.68
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,JOSEPH GLEAVE & SON LTD,762078,27383.6
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Air Command,JOSEPH GLEAVE & SON LTD,762078,3753.39
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Land Forces,JOSEPH GLEAVE & SON LTD,762078,2252.35
Ministry of Defence,Ministry of Defence,01/03/2011,Building maintenance and accommodation stores,Defence Equipment & Support,JOSEPH GLEAVE & SON LTD,762078,182.6
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Land Forces,L WHITAKER & SONS (1983) LIMITED,762087,6287.52
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Command Joint Operations,L WHITAKER & SONS (1983) LIMITED,762087,2870.41
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Air Command,L WHITAKER & SONS (1983) LIMITED,762087,1351.86
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,LAND ROVER,762090,81874.23
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,MAN DIESEL & TURBO UK LIMITED,762104,312749.98
Ministry of Defence,Ministry of Defence,01/03/2011,IT and communication services,Air Command,PARITY SOLUTIONS LTD,762186,20865
Ministry of Defence,Ministry of Defence,01/03/2011,IT and communication services,Defence Equipment & Support,PARITY SOLUTIONS LTD,762186,11940
Ministry of Defence,Ministry of Defence,01/03/2011,Externally delivered education and training.,Air Command,QINETIQ LIMITED,762204,5000
Ministry of Defence,Ministry of Defence,01/03/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,RAIL SETTLEMENT PLAN LIMITED,762209,239
Ministry of Defence,Ministry of Defence,01/03/2011,Design services and minor equipment purchases,Defence Equipment & Support,RAYTHEON SYSTEMS LIMITED,762210,23082.52
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,REXEL UK LTD,762215,21836.04
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Command Joint Operations,REXEL UK LTD,762215,16452.94
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Land Forces,REXEL UK LTD,762215,1402.52
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,SCA PACKAGING LIMITED,762230,59701.46
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Defence Equipment & Support,SCOTT WILSON LTD,762233,99502.16
Ministry of Defence,Ministry of Defence,01/03/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,762239,108119.01
Ministry of Defence,Ministry of Defence,01/03/2011,Research and development,Defence Equipment & Support,SERCO LIMITED,762239,96718.74
Ministry of Defence,Ministry of Defence,01/03/2011,IT and communication services,Defence Equipment & Support,SERCO LIMITED,762239,44574.37
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Central TLB,SERCO LIMITED,762239,34042.6
Ministry of Defence,Ministry of Defence,01/03/2011,Fees for professional services,Central TLB,SERCO LIMITED,762239,27864.27
Ministry of Defence,Ministry of Defence,01/03/2011,Food and clothing,Central TLB,SERCO LIMITED,762239,1349.91
Ministry of Defence,Ministry of Defence,01/03/2011,Miscellaneous Administration Costs,Central TLB,SERCO LIMITED,762239,337.08
Ministry of Defence,Ministry of Defence,01/03/2011,Official entertainment and hospitality.,Central TLB,SERCO LIMITED,762239,229.14
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Central TLB,SERCO LIMITED,762239,138.19
Ministry of Defence,Ministry of Defence,01/03/2011,"Transporation of personnel, freight and travel expenses",Central TLB,SERCO LIMITED,762239,84.31
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,SEYNTEX NV,762243,127933.8
Ministry of Defence,Ministry of Defence,01/03/2011,Fuel for military use,Air Command,SHELL U.K. OIL PRODUCTS LTD,762247,31587.87
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Defence Equipment & Support,SODEXO LTD,762250,8633.21
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Land Forces,SODEXO LTD,762250,1664
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Central TLB,SODEXO LTD,762250,16.64
Ministry of Defence,Ministry of Defence,01/03/2011,Design services and minor equipment purchases,Defence Equipment & Support,SOMERS TOTALKARE LIMITED,762254,25959.84
Ministry of Defence,Ministry of Defence,01/03/2011,Medical treatment & stores and welfare services.,Central TLB,SPIRE HEALTHCARE LIMITED,762264,67969.92
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Defence Equipment & Support,SSE ENERGY SUPPLY LIMITED,762267,567344.22
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,762267,198794.58
Ministry of Defence,Ministry of Defence,01/03/2011,IT and communication services,Defence Equipment & Support,SUNGARD PUBLIC SECTOR LIMITED,762277,904.59
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,762302,72097.87
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,762302,6089.19
Ministry of Defence,Ministry of Defence,01/03/2011,Payments on behalf of Defence Support Group,Central TLB,TOTAL GAS & POWER LIMITED,762302,1166.72
Ministry of Defence,Ministry of Defence,01/03/2011,IT and communication services,Defence Equipment & Support,TRUSTMARQUE SOLUTIONS LIMITED,762303,1289.67
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Defence Estates,TURNER FACILITIES MANAGEMENT LTD,762305,324658.25
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of buildings and military equipment ,Defence Estates,TURNER FACILITIES MANAGEMENT LTD,762305,205270.22
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,TURNER FACILITIES MANAGEMENT LTD,762305,170638.69
Ministry of Defence,Ministry of Defence,01/03/2011,General services and support,Defence Equipment & Support,ULTRA ELECTRONICS LIMITED,762310,26621
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,VARIVANE INDUSTRIES LIMITED,762315,42895.39
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Land Forces,XMA LTD,762330,123125.19
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,762330,42425.99
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Air Command,XMA LTD,762330,34504.39
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Navy Command,XMA LTD,762330,11990.22
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Central TLB,XMA LTD,762330,5985.12
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Estates,XMA LTD,762330,4654.67
Ministry of Defence,Ministry of Defence,01/03/2011,IT and communication services,Air Command,XMA LTD,762330,1711.05
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Command Joint Operations,XMA LTD,762330,1162.24
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,ITURRI SA,3000005211,502389.25
Ministry of Defence,Ministry of Defence,01/03/2011,Food and clothing,Air Command,ITURRI SA,3000005211,743.8
Ministry of Defence,Ministry of Defence,01/03/2011,Food and clothing,Land Forces,ITURRI SA,3000005211,543.07
Ministry of Defence,Ministry of Defence,01/03/2011,Food and clothing,Defence Equipment & Support,ITURRI SA,3000005211,497.54
Ministry of Defence,Ministry of Defence,01/03/2011,Food and clothing,Central TLB,ITURRI SA,3000005211,30.49
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Defence Estates,INTERSERVE (DEFENCE) LTD,5000051377,57104.41
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Land Forces,NEW ENERGIE GMBH,5000051392,40975.37
Ministry of Defence,Ministry of Defence,01/03/2011,Payment of utilities,Land Forces,STADTWERKE GUETERSLOH GMBH,5000051404,149359.48
Ministry of Defence,Ministry of Defence,01/03/2011,Development costs for military equipment.,Defence Equipment & Support,CESG,2.00E+11,31574.72
Ministry of Defence,Ministry of Defence,01/03/2011,Research and development,Defence Equipment & Support,CESG,2.00E+11,107
Ministry of Defence,Ministry of Defence,01/03/2011,Medical treatment & stores and welfare services.,Central TLB,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2.00E+11,182415
Ministry of Defence,Ministry of Defence,01/03/2011,Transport hire charges,Land Forces,Cowlard Construction Ltd,Cash Office AP12 01,38823
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Land Forces,Metal Box Ltd (Postal supplies),Cash Office AP12 02,45516
Ministry of Defence,Ministry of Defence,01/03/2011,Rent and rates,Land Forces,Municipal Security Ltd (Rental Property),Cash Office AP12 03,69680.62
Ministry of Defence,Ministry of Defence,01/03/2011,"Transporation of personnel, freight and travel expenses",Land Forces,Canadian Pacific Railfeight,Cash Office AP12 04,807226.33
Ministry of Defence,Ministry of Defence,01/03/2011,Estate management,Land Forces,KN Nursery,Cash Office AP12 05,80213.33
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Land Forces,Lung Hoon Furniture,Cash Office AP12 06,62729.15
Ministry of Defence,Ministry of Defence,01/03/2011,IT and communication services,Land Forces,Sakam Enterprises - telephone exchange works,Cash Office AP12 07,279227.05
Ministry of Defence,Defence Science and Technology Laboratory,01/03/2011,Materials & Equipment,Operations,ALCHEMY LABORATORIES LIMITED (T/AS,V - 9000130354 - 00101245,46350
Ministry of Defence,National Museum of the Royal Navy,01/03/2011,GIA payments,National Museum of the Royal Navy,RNM,1524,74087
Ministry of Defence,National Museum of the Royal Navy,01/03/2011,GIA payments,National Museum of the Royal Navy,RNSM,1527,46706
Ministry of Defence,National Museum of the Royal Navy,01/03/2011,GIA payments,National Museum of the Royal Navy,RMM,1526,36400.76
Ministry of Defence,National Museum of the Royal Navy,01/03/2011,GIA payments,National Museum of the Royal Navy,FAAM,1525,33391
Ministry of Defence,Ministry of Defence,02/03/2011,Payment of utilities,Command Joint Operations,VEOLIA WATER OUTSOURCING LIMITED,157612,60592.81
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,762335,39316.77
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,762335,20261.98
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,762335,14571.83
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,762335,4408.01
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,762335,1611.6
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,762335,335.14
Ministry of Defence,Ministry of Defence,02/03/2011,IT and communication services,Land Forces,ALLOCATE SOFTWARE PLC,762349,137000
Ministry of Defence,Ministry of Defence,02/03/2011,Food and clothing,Land Forces,ARAMARK LTD,762358,45496.17
Ministry of Defence,Ministry of Defence,02/03/2011,Food and clothing,Air Command,ARAMARK LTD,762358,3990.66
Ministry of Defence,Ministry of Defence,02/03/2011,Externally delivered education and training.,Land Forces,ARMY CATERING TRAINING TRUST,762359,35748.35
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Defence Equipment & Support,AUSTIN HAYES LTD,762369,37057.83
Ministry of Defence,Ministry of Defence,02/03/2011,Estate management,Defence Estates,BABCOCK DYNCORP LIMITED,762376,3145985.89
Ministry of Defence,Ministry of Defence,02/03/2011,Estate management,Defence Equipment & Support,BABCOCK DYNCORP LIMITED,762376,255966.52
Ministry of Defence,Ministry of Defence,02/03/2011,Development costs for military equipment.,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS PORTSMOUTH LIMITED,762384,240606.44
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Air Command,BOC LIMITED,762394,11442.41
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Land Forces,BOC LIMITED,762394,3210.88
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,762394,2111.77
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Navy Command,BOC LIMITED,762394,141.12
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Command Joint Operations,BOC LIMITED,762394,11.57
Ministry of Defence,Ministry of Defence,02/03/2011,Payment of utilities,Defence Equipment & Support,BP OIL UK LTD,762398,20584.32
Ministry of Defence,Ministry of Defence,02/03/2011,Payment of utilities,Land Forces,BRITISH GAS TRADING LIMITED,762404,26471.02
Ministry of Defence,Ministry of Defence,02/03/2011,Payment of utilities,Defence Equipment & Support,BRITISH GAS TRADING LIMITED,762404,8901.06
Ministry of Defence,Ministry of Defence,02/03/2011,Payment of utilities,Air Command,BRITISH GAS TRADING LIMITED,762404,6723.51
Ministry of Defence,Ministry of Defence,02/03/2011,Payment of utilities,Defence Estates,BRITISH GAS TRADING LIMITED,762404,5147.44
Ministry of Defence,Ministry of Defence,02/03/2011,Payment of utilities,Central TLB,BRITISH GAS TRADING LIMITED,762404,505.35
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Land Forces,BUNZL UK LIMITED,762410,56595.91
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Air Command,BUNZL UK LIMITED,762410,11358.89
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Defence Equipment & Support,BUNZL UK LIMITED,762410,5030.19
Ministry of Defence,Ministry of Defence,02/03/2011,Building maintenance and accommodation stores,Land Forces,BUNZL UK LIMITED,762410,987.76
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Navy Command,BUNZL UK LIMITED,762410,478.08
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Command Joint Operations,BUNZL UK LIMITED,762410,81.28
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Defence Equipment & Support,C F ANDERSON & SON LIMITED,762413,15312.84
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Land Forces,C F ANDERSON & SON LIMITED,762413,12796.44
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Air Command,C F ANDERSON & SON LIMITED,762413,7482.3
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Navy Command,C F ANDERSON & SON LIMITED,762413,4619.14
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Defence Estates,C F ANDERSON & SON LIMITED,762413,513.62
Ministry of Defence,Ministry of Defence,02/03/2011,IT and communication services,Defence Equipment & Support,CANON (UK) LIMITED,762417,4054.16
Ministry of Defence,Ministry of Defence,02/03/2011,Rental of plant and machinery,Defence Equipment & Support,CANON (UK) LIMITED,762417,29.62
Ministry of Defence,Ministry of Defence,02/03/2011,Miscellaneous Administration Costs,Land Forces,CANON (UK) LIMITED,762417,5.93
Ministry of Defence,Ministry of Defence,02/03/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,CARTUS LTD,762421,15288.85
Ministry of Defence,Ministry of Defence,02/03/2011,"Transporation of personnel, freight and travel expenses",Central TLB,CARTUS LTD,762421,8406.41
Ministry of Defence,Ministry of Defence,02/03/2011,"Transporation of personnel, freight and travel expenses",Land Forces,CARTUS LTD,762421,2428.9
Ministry of Defence,Ministry of Defence,02/03/2011,"Transporation of personnel, freight and travel expenses",Defence Estates,CARTUS LTD,762421,571.43
Ministry of Defence,Ministry of Defence,02/03/2011,Design services and minor equipment purchases,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,762422,2685.06
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,762422,612
Ministry of Defence,Ministry of Defence,02/03/2011,Estate management,Land Forces,CHUBB SECURITY PERSONNEL LIMITED,762432,-136.96
Ministry of Defence,Ministry of Defence,02/03/2011,Food and clothing,Land Forces,COMPASS CONTRACT SERVICES (U K)LIMITED,762437,522089.2
Ministry of Defence,Ministry of Defence,02/03/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DB SCHENKER RAIL (UK) LTD,762445,2091.36
Ministry of Defence,Ministry of Defence,02/03/2011,"Transporation of personnel, freight and travel expenses",Command Joint Operations,DB SCHENKER RAIL (UK) LTD,762445,98.98
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of buildings and military equipment ,Defence Estates,DEBUT SERVICES LIMITED,762447,1680116.16
Ministry of Defence,Ministry of Defence,02/03/2011,Fees for professional services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,762448,90300
Ministry of Defence,Ministry of Defence,02/03/2011,Payment of utilities,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,762448,42331.43
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,762448,14996.53
Ministry of Defence,Ministry of Defence,02/03/2011,"Adminstration, claims, compensation and awards",Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,762448,9649.82
Ministry of Defence,Ministry of Defence,02/03/2011,IT and communication services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,762448,3289.1
Ministry of Defence,Ministry of Defence,02/03/2011,Estate management,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,762448,151.88
Ministry of Defence,Ministry of Defence,02/03/2011,Miscellaneous Administration Costs,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,762448,49.18
Ministry of Defence,Ministry of Defence,02/03/2011,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,1070332.78
Ministry of Defence,Ministry of Defence,02/03/2011,Research and development,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,418134.24
Ministry of Defence,Ministry of Defence,02/03/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,269048.92
Ministry of Defence,Ministry of Defence,02/03/2011,Fees for professional services,Air Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,142885.72
Ministry of Defence,Ministry of Defence,02/03/2011,Research and development,Land Forces,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,114659.32
Ministry of Defence,Ministry of Defence,02/03/2011,International contributions,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,111828.74
Ministry of Defence,Ministry of Defence,02/03/2011,Design services and minor equipment purchases,Air Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,96135.66
Ministry of Defence,Ministry of Defence,02/03/2011,Energy conservation and environmental charges.,Land Forces,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,95526.38
Ministry of Defence,Ministry of Defence,02/03/2011,Design services and minor equipment purchases,Navy Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,88659.63
Ministry of Defence,Ministry of Defence,02/03/2011,IT and communication services,Navy Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,69615.73
Ministry of Defence,Ministry of Defence,02/03/2011,Fees for professional services,Command Joint Operations,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,51094.12
Ministry of Defence,Ministry of Defence,02/03/2011,Development costs for military equipment.,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,48879.87
Ministry of Defence,Ministry of Defence,02/03/2011,General services and support,Air Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,29278.93
Ministry of Defence,Ministry of Defence,02/03/2011,Fees for professional services,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,10112.7
Ministry of Defence,Ministry of Defence,02/03/2011,Estate management,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,9601.47
Ministry of Defence,Ministry of Defence,02/03/2011,Purchase of inventory and services ,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,8846.1
Ministry of Defence,Ministry of Defence,02/03/2011,Environmental clear up,Defence Estates,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,8039.46
Ministry of Defence,Ministry of Defence,02/03/2011,Estate management,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,762449,6081.78
