FREEDOM OF INFORMATION,,
MOD Requests to 02 September 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
04-08-2011-165152-008,02/09/2011,"Please provide contact details for IT and GIS Managers at HQ Land Forces in Andover, Hampshire."
05-08-2011-083857-001,05/09/2011,"Please advise, and provide information and details, on the number of occasions, since 1 January 2008 - 4 August 2011, the Queen's Flight has been used for a single trip from one airstrip to another to carry either a member of the Royal Family or another VIP."
05-08-2011-100909-001,02/09/2011,"Please provide copies of all correspondence between the League Against Cruel Sports, xxxxxx, Deputy Head (Policy) DIO, his office and/other relevant staff in DIO and local staff in Pembrokeshire from 1 March - 1 August 2011 regarding Templeton airfield."
05-08-2011-103539-002,15/07/2011,"Please advise, and provide information and details, on the maintenance of fire prevention equipment contract given to a private sector company in Ashchurch."
05-08-2011-104522-003,01/09/2011,Please advise on the release of various archival documents.
05-08-2011-111411-004,30/08/2011,"Please advise, and provide information and details, to various questions regarding the Departmental five year rule for overseas postings."
05-08-2011-113346-005,05/09/2011,"Please advice, and provide information and details, to various questions regarding FTRS post."
05-08-2011-120435-006,05/09/2011,Please advise on the number of FOI requests the MOD receives a year along with information and details on their various outcomes. 
05-08-2011-121742-007,05/09/2011,Please advise on post trauma treatment delivered to injured military personnel.
05-08-2011-125132-008,05/09/2011,Please advise on whether any property deeds were taken/retained by the War Office for 'Newlands Farm'.
05-08-2011-130912-009,05/09/2011,Please advise on the yearly revenue total billed for access to MOD land by Landmarc Support Services (LSS) to non MOD parties and nett incomes passed on from LSS to MOD in the last three years.
05-08-2011-140015-002,05/09/2011,"Please advise, and provide information and details, to various questions regarding void SFA."
05-08-2011-140524-001,05/09/2011,"Please advise, and provide information and details, to various questions regarding common law compensation claims received by MOD from 2002-2003 - 2010-2011."
05-08-2011-122545-001,01/07/2011,Please provide copies of the investigating officers and witness statements for a court case in the early 1990s 
05-08-2011-141541-002,05/09/2011,Please provide copies of all correspondence relating to the decision to decommission HMY Britannia. 
05-08-2011-150008-010,05/09/2011,"Please advise, and provide information and details, to various questions regarding common law compensation claims received by MOD from 2002-2003 - 2010-2011."
05-08-2011-150707-003,31/08/2011,"Please advise, and provide information and details, on the composition of the Intelligence Corps in the latter stages of the Cold War."
05-08-2011-155228-012,05/09/2011,"Please advise on the amount spent by MOD in legal fees, advisory bodies, biological test and any other expenses used to deny any responsibility of harm caused to service personnel during the hydrogen bomb test at Christmas Island."
05-08-2011-163534-013,05/09/2011,Please provide a copy of the MOD's Arctic strategy document.
08-08-2011-084904-001,06/09/2011,Please advise and provide information on all digitally stored data held on Robert Mugabe relating to weapons purchased from external nations/sources to Zimbabwe from 1980 - present.   
08-08-2011-085336-002,05/09/2011,"Please advise, and provide information and details, on military training courses/programmes which St John University, York has taught with funding from the MOD over the last five years."
08-08-2011-101350-001,05/09/2011,"Please advise, and provide information and details, on the number of service personnel in 3 Commando Brigade who have been injured (to a point where they are unable to return to service) during operations in Afghanistan."
08-08-2011-112001-005,05/09/2011,Please advise on the evolving future use of UVAs and their importance in combat operations.
08-08-2011-113259-006,05/09/2011,"Please advise on the publication of all pictures regarding the recycling of HMS Invincible and three type 42 destroyers in Aliaga, Turkey by Leyal Ltd."
08-08-2011-114132-007,05/09/2011,Please advise on the number of UFO sightings in Portsmouth between 2008-2011.
08-08-2011-115003-008,06/09/2011,Please advise on the supplier of the material/fabric for the new MTP uniform that the troops are now wearing and whether the material pattern is the sole ownership of the MOD.
08-08-2011-120940-009,06/09/2011,Please advise on external temperatures for DB15 from 1 January 2006 - 3 September 2010.
08-08-2011-135412-010,06/09/2011,"Please advise, and provide information and details, on the number of soldiers disciplined while on tour in Afghanistan."
08-08-2011-135746-011,06/09/2011,"Please advise, and provide information and details, on the number of soldiers, disciplined while on tour in Iraq between 2003 and 2009."
08-08-2011-142115-012,06/09/2011,Please advise on the number of service personnel in the Armed Forces known to have been diagnosed with HIV and Hepatitis C. Please advise on the Armed Forces' policy for service personnel to serve while their condition is stable and asymptomatic.
08-08-2011-143412-013,06/09/2011,Please provide information on an ex army Can am motorcycle.
08-08-2011-161157-014,06/09/2011,"Please advise, and provide details and information, on the main communication priorities for the MOD."
08-08-2011-161521-015,23/08/2011,Please advise on the policy in place for RAF aircraft using the landing strip in Malta whilst undertaking operations In Libya.   
08-08-2011-162258-016,06/09/2011,Please provide a copy of JSP 482 - Ministry of Defence Explosives Regulations.
09-08-2011-095444-001,05/09/2011,Please provide information on the full time trained strength and outflow figures for the Royal Engineers from 2005 onwards.
09-08-2011-102815-001,06/09/2011,Please provide a copy of D/DAO/14/3/5 as referenced in the Nimrod Review.
09-08-2011-140800-002,05/09/2011,"Please advise and provide information and details, to various questions regarding knee pads and firearms qualification shoots. "
09-08-2011-144711-001,07/09/2011,Please provide information on the Dornier Delphin and Dornier Komet aircrafts.
09-08-2011-145951-002,07/09/2011,Please provide information and clarification to various questions regarding the new SFA homes being built outside the wire in Carterton.
09-08-2011-154142-003,06/09/2011,Please advise on how a copy of the TA television advertisement in 1975 can be obtained.
09-08-2011-155011-004,07/09/2011,Please provide copies of associated papers and studies into the suitability and employment of women in the Armed Forces.
09-08-2011-161520-005,07/09/2011,"Please provide information and details for all parties that have participated in the tender preparations, evaluations, biddings, negotiations, management or operations of PFI or similar private investment projects since 2005."
09-08-2011-164936-003,07/09/2011,Please advise on the release of various archival documents.
10-08-2011-092217-001,08/09/2011,Please advise on military operations in Northern Ireland during 1970s - 1980s.
10-08-2011-094341-001,07/09/2011,"Please provide information and details of a WWII bunker or observation post at Fiddlehall Farm, Falkland, Fife."
10-08-2011-095043-002,08/09/2011,Please advise on the number of civil servants that applied for Voluntary Redundancy under the 2011 Early Release Scheme and the number that were offered redundancy.
10-08-2011-103640-003,07/09/2011,Please advise on the decision that Bomber Commander should not receive a medal.
10-08-2011-144333-004,08/09/2011,"Please advise on the number of officers of Chief Inspector rank, stationed within Aldermaston Division, applied for VERS."
10-08-2011-144931-005,08/09/2011,"Please advise, and provide information and details, to various questions regarding Royal Navy Able Rates."
10-08-2011-154011-007,08/09/2011,"Please provide a copy of the letter written to xxxxxx by the commander of RNEC Manadon, regarding his idea for the 'shaftless turbine'."
10-08-2011-155332-001,10/08/2011,Please provide information on xxxxxx.
10-08-2011-160421-008,08/09/2011,"Please advise, and provide information and details, on the number of incidents investigated by the MOD or military police authorities involving service personnel alleged to have mutilated the bodies of dead combatants and/or captured combatant in 1982 and 2002."
10-08-2011-161841-002,08/09/2011,"Please advise, and provide information and details, on the percentages of successful VERS applications made by MDPGA staff. "
10-08-2011-162739-003,30/08/2011,Please advise on the number of War Pensions currently being paid for pleural plaques along with information on the branch of the Armed Forces where the recipient served.
10-08-2011-164800-009,08/09/2011,"Please advice, and provide information and details, on the number of British military personnel in Hertfordshire who have hearing or sight loss."
10-08-2011-174205-010,08/09/2011,"Please advise, and provide information and details, on the total number of redundancy payments paid out to civil servants in 2010-11."
11-08-2011-091554-001,07/09/2011,"Please provide information on any assessment, correspondence or implications for radar mitigation schemes held by the MOD."
11-08-2011-091657-001,07/09/2011,"Please provide copies of all correspondence (emails, letters, etc) relating to xxxxxx appeal against dismissal from the Civil Service."
11-08-2011-091917-002,08/09/2011,Please provide information on all correspondence held concerning the diagnosis and treatment of service personnel who served on Operation Gabriel for the United Nations Assistance Mission in Rwanda for depression and/or Post Traumatic Stress Disorder.
11-08-2011-092039-001,09/09/2011,"Please advise, and provide information and details, to various questions regarding latest profile for RAF ground engineering trades."
11-08-2011-092419-003,08/09/2011,"Please advise, and provide information to various questions regarding the MOD Medal Review Report."
11-08-2011-095205-004,08/09/2011,"Please advise, and provide information and details, on the number of MOD staff with specific core responsibilities for FOI compliance and related issues."
11-08-2011-135933-002,08/09/2011,"Please advise on the accessibility of personnel files for the following deceased personnel: Pilot Officer Sidney John Bunn and or Sergeant Harry Hardwick, Sergeant Roy Venables Snell Wilson and Flight Sergeant Terence William Richards."
11-08-2011-140137-002,09/09/2011,Please provide copies of all correspondence regarding xxxxxx court martial.
11-08-2011-150312-006,09/09/2011,Please provide copies of any old photographs of horses working in the military. 
11-08-2011-152007-007,09/09/2011,Please provide information and details on an ex military vehicle. 
11-08-2011-161244-003,09/09/2011,Please provide information on xxxxxx fraud case.
11-08-2011-161255-008,09/09/2011,Please provide information on the environmental recordings for Main camp and Port camp on Christmas Island on 28 April 1958.
11-08-2011-162710-009,09/09/2011,Please advise and provide the latest copies of the  Queens Regulations for the Army and Navy.
11-08-2011-165327-010,09/09/2011,"Please advise, and provide information and details, on the number of full-time senior civil servants recruited into the MOD from 1 January 2008 - 31 December 2008, 1 January 2009 - 31 December 2009 and 1 January 2010 - 31 December 2010. "
12-08-2011-082250-001,12/09/2011,"Please advise, and provide information and details, to various questions regarding medical assistants."
12-08-2011-092112-001,09/09/2011,"Please advise, and provide information and details, to various questions regarding Royal Air Force and Royal Navy pilots that have applied for officer exchanges with the US Armed Forces."
12-08-2011-094512-001,06/09/2011,"Please advise, and provide information and details, to various questions regarding former MOD property, Hangar 3, Hemswell Cliff, Gainsborough, Lincolnshire."
12-08-2011-100427-002,09/09/2011,Please advise on the British Army Regular strength totals from 1960 - present.
12-08-2011-111154-002,12/09/2011,"Please advise on whether any record of MOD prosecutions at the Regional Seat of Government Bunker at Kelvedon Hatch, by pupils of Chase Cross Comprehensive School during 1975 - 1980, are held."
12-08-2011-114802-003,07/09/2011,Please provide copies of the agenda minutes for the Principal Personnel Officers' Committee held between 1980 - 1993.
12-08-2011-120313-004,09/09/2011,Please provide information on the temperature at Glasgow airport on 20 January at 21:00hrs.
12-08-2011-121024-005,12/09/2011,"Please advise, and provide information and details, on the number of civilian compensation claims against the MOD in Afghanistan from FY 2009-2010  - FY 2010-2011 inclusive."
12-08-2011-122115-007,12/09/2011,"Please advise, and provide information and details, on the number of compensation claims submitted to the MOD that were repudiated (e.g. the MOD denied liability) from FY 2009-10 - FY 2010-11 inclusive."
12-08-2011-122448-008,12/09/2011,"Please advise, and provide information and details, on the median salary of all Broader Banded FTE staff when the current pay system was fully introduced in 31 July 2007, 31 March 2008, 31 March 2009 and 31 March 2010."
12-08-2011-141259-009,12/09/2011,Please provide information on the exact dates HMS Exeter D89 went to the Gulf in 1991 and any other Gulf theatre along with dates when it was also involved in any Bosnian theatre. 
12-08-2011-142317-003,12/09/2011,Please advise on any data held on the number of dependants for serving personnel and veterans.
12-08-2011-145913-002,30/08/2011,"Please advise, and provide information and details, on whether British Gulf War Veterans of the 1990 -91 conflict are being treated and/or monitored as a special category by SPVA. "
12-08-2011-163300-003,09/09/2011,"Please advise, and provide information and details, to various questions regarding flying activity at RAF Brize Norton."
12-08-2011-163743-010,12/09/2011,Please provide a copy of the survey report carried out in Drummore Harbour Luce Bay SW Scotland in the late 1970s early 1980s by PSA.
15-08-2011-095614-001,12/09/2011,Please advise on whether VT Flagship or Debut (Bacock) are contractually responsible to the MOD for delivering the four incomplete Capital Works Projects.  
15-08-2011-100533-001,12/09/2011,"Please advise, and provide information and details, to various questions regarding SFA at Shepperton."
15-08-2011-101134-002,12/09/2011,"Please advise, and provide information and details, to various questions regarding FOIs answered by the MOD in the last three years."
15-08-2011-103112-003,12/09/2011,"Please advise whether the MOD has carried our or commissioned an assessment of the risks to the population and/or environment of Scotland, or to the security of the submarines themselves, attached to the decision to concentrate all the UK's nuclear powered submarine fleet at Faslane and if the Scottish government has requested access to these reports in 2009 - present."
15-08-2011-104018-004,12/09/2011,Please advise whether any information is held on Milivoje Ilic.
15-08-2011-105337-005,13/09/2011,Please advise whether the Secretary of State for Defence and/or any of his Ministers held meetings with any executive board member from News Corporation of News International.
15-08-2011-110439-006,12/09/2011,Please provide a copy of the service record for xxxxxx.
15-08-2011-112141-007,12/09/2011,Please provide copies of plans and specifications for the 'Instant harbour system' for Port Stanley.
15-08-2011-114532-009,12/09/2011,Please provide full details of the accident on 23 October 1943 when five members of the ATS were killed following an incident involving a low-flying plane over Salisbury Plain.
15-08-2011-135345-010,13/09/2011,"Please provide information and details on the 1965 Conveyance of land at East Moor Leazes, Brasside, Durham since March 2011.  "
15-08-2011-140026-011,12/09/2011,"Please advise, and provide information and details, to various questions regarding the Met Office and the wind industry."
15-08-2011-160356-013,13/09/2011,Please advise and provide information ad details on radiation surveys carried out at Kiribati (Christmas Island).
15-08-2011-161111-014,13/09/2011,Please provide a list of all instances of promotion in support of UKTI DSO campaigns and costs cited in the MOD Annual Report and Accounts 2010-11.
15-08-2011-164848-015,08/09/2011,Please provide information on the weather recorded in the Aberdeen area between the hours of 21.00 and 23.00 on 17 November 1997.
16-08-2011-103017-001,13/09/2011,"Please advise, and provide information and details, to various questions regarding the measures in place to ensure medical assistance can be provided to casualties in Libya."
16-08-2011-104939-003,13/09/2011,"Please advise, and provide information and details, on the FOI requests received and actioned by MOD from May 2010 - present."
16-08-2011-105600-004,13/09/2011,Please provide information on the Royal Marines' reaction to MOD's sustainable development policy.
16-08-2011-113002-005,13/09/2011,"Please advise, and provide information and details, to various questions regarding the health and wellbeing of Armed Forces personnel in Yorkshire."
16-08-2011-145203-006,14/09/2011,"Please advise, and provide information and details to various questions regarding special advisors and National Security Vetting."
16-08-2011-150114-007,14/09/2011,"Please provide information and details on the layout of the foul sewer and surface water drainage systems that are part of an ex RAF camp in Harpur Hill, Buxton, Derbyshire."
16-08-2011-151005-008,14/09/2011,"Please advise, and provide information and details, on the management of MOD stocks of Charm III anti-armour rounds (depleted uranium (DU) weapons used by Challenger II tanks."
16-08-2011-151734-009,13/09/2011,"Please advise, and provide information and details, on the numbers and types of the Queen's body guards that have arrested and/or charged with a criminal offence."
16-08-2011-152035-010,14/09/2011,Please advise on the number of ex service personnel that pursue careers in the retail industry.
16-08-2011-152906-011,13/09/2011,Please advise whether the MOD hold any 19th century records that originate from the Tower of London.
16-08-2011-161518-012,14/09/2011,"Please advise, and provide information and details, on the number of UK troops that died in January - July 2011."
17-08-2011-091121-001,12/09/2011,Please information and details on the reasons why Astute was venting steam when she was grounded.
17-08-2011-103208-001,14/09/2011,Please provide copies of any correspondence between Mr Gerald Howarth MP and the European Defence Agency or European Commission. 
17-08-2011-110234-002,14/09/2011,Please provide information and details on the loss of RAF Halifax MZ811 on the night of 6 - 7 January 1945.
17-08-2011-115228-003,15/09/2011,"Please advise, and provide information and details, on the number of staff that have been disciplined for the creation and/or distribution for online child pornography in the last two years."
17-08-2011-140455-004,08/09/2011,Please provide a hard copy of the Review of Acquisition for the Secretary of State for Defence by Bernard Gray.
17-08-2011-142948-005,08/09/2011,"Please advise whether HM The Queen, via the HD Committee, has formally approved the medal recently awarded to Mr Frank Cook MP under the Parliamentary Armed Forces Scheme and presented by the CDS Air Marshall Sir Jock Stirrup and the Secretary of State for Defence, Mr John Hutton."
17-08-2011-145641-002,13/09/2011,"Please advise on the company who has the contract to make the new chronograph, when the next new military chronograph will be made and provide any photographs and the specifications for this."
17-08-2011-150920-006,08/09/2011,"Please provide information on the property at Factory Road, Sandycroft, Deeside CH5 2QJ."
17-08-2011-152247-007,08/09/2011,"Please advise and provide information on whether the Gazelle XX377, shot down in a friendly fire incident during the Falklands War, carried the SNEB rocket launcher modification. Please provide any photographs of the ""Sea Dart missile casing"" found near the crash site as mentioned by the Minister of State for the Armed Forces in Hansard."
17-08-2011-154011-009,15/09/2011,"Please advise, and provide information and details, on the number of chaplains employed by the Armed Forces at the present time. "
17-08-2011-155640-010,08/09/2011,"Please provide information and details on the causes and accidents at Centronics Ltd formerly 20th Century, King Henrys Drive New Addington Croydon Surrey along with assurances that there is not nor has ever been any risk to public health from MOD and civilian activities at the site."
17-08-2011-160807-011,08/09/2011,Please provide any relevant site maps/drawings of the test facility known as N.G.T.E at Pyestock in Farnborough. 
17-08-2011-161805-012,09/09/2011,"Please provide information the Chilwell Depot, formerly Chilwell shell filling factory and its association with the 1st Chilwell Depot Scouts group."
17-08-2011-170722-014,15/09/2011,Please advise on the accessibility of BAE-MPP-R-AEW-0063 BOI Report. 
17-08-2011-170937-003,14/09/2011,Please advise on MOD expenditure on hiring commercial physical storage space in the last financial year.
17-08-2011-172620-004,14/09/2011,Please advise on RAF expenditure on hiring commercial physical storage space.
17-08-2011-173106-005,14/09/2011,Please advise on Royal Navy expenditure on hiring commercial physical storage space.
17-08-2011-174552-006,13/09/2011,Please provide information and details on the individual dismissed for abusing the homeworking alternative working pattern. 
18-08-2011-070143-001,15/09/2011,"Please advise, and provide information and details, on the propriety and open source software used by the MOD. "
18-08-2011-085413-002,15/09/2011,"Please provide a copy of the Targetry Consumables catalogue published by Battlefield Support, Engineer Systems Support IPT (Army Code 13535)."
18-08-2011-091138-003,16/09/2011,"Please advise and provide information and details on the official role, obligations and/or contingencies of the Roulement Infantry Company in 1994."
18-08-2011-100221-001,16/09/2011,Please can you send me a full list of all MOD Land Holdings and Buildings
18-08-2011-114822-004,13/09/2011,Please provide information on the American Army Nurse Corps/Hospitals stationed at Whittington Barracks during WWII.
18-08-2011-120009-005,09/09/2011,Please provide copies and associated communications of all documents/correspondence held by the MOD between 1962 and 1967 that relate to the planning and construction of the Transalpine Pipeline running from Trieste to Ingolstadt.
18-08-2011-122428-006,12/09/2011,"Please advise on the discussions that took place between senior military officials, the Prime Minister and Secretary of State for Defence, about inadequate military provisions for soldiers sent to Iraq and Afghanistan. "
18-08-2011-123240-001,16/09/2011,Please advise on the number of Royal Naval personnel attending Medical Board Of Survey and Employability Boards for migraines and of the numbers retained in service.
18-08-2011-130704-007,09/09/2011,Please provide details of any swimming and water polo championships/competitions organised by the Armed Forces during WWII.
18-08-2011-141352-008,06/09/2011,Please provide documentary evidence of the scores and comments on skills and releasability the DBS Sub Panel received from the FMSCC Sub Panel for the VERS application for xxxxxx.
18-08-2011-150314-010,16/09/2011,Please provide confirmation for the reasons to leave the sunken ship S.S. Richard Montgomery undisturbed.
18-08-2011-151044-011,16/09/2011,Please provide a copy of the minutes where recommendations endorsed the airworthiness of platforms and regulatory compliance for the three services.
18-08-2011-151456-012,16/09/2011,Please provide a comprehensive list of the MOD's framework suppliers/sub-contractors who work for the Defence Infrastructure Organisation.
18-08-2011-152808-013,16/09/2011,Please advise and provide information on underground plant/equipment belonging to the MOD.
18-08-2011-154534-002,16/09/2011,Please provide information on the former SFA at Bicester.
18-08-2011-154731-014,16/09/2011,"Please advise on the number of women from St Vincent and Fiji, who joined the Royal Navy in 2007, 2008, 2009 and 2010, that took maternity leave within eighteen months of their enrolment."
18-08-2011-154949-003,14/09/2011,Please provide written confirmation that no families have been moved from SFA in the vicinity of Hinchinbrooke Road due to noise and traffic concerns.
18-08-2011-173703-004,16/09/2011,"Please advise, and provide information and details to various questions regarding Substitute Single Service Accommodation."
19-08-2011-094226-001,13/09/2011,Please advise on the number of top/higher bonus awards in the Department. 
19-08-2011-102753-001,13/09/2011,Please provide a copy of xxxxxx medical report.
19-08-2011-104615-001,14/09/2011,Please advise on the percentage cost of recovery centres that were funded from the Defence Budget as compared with the funding that was provided by the British Legion and Help for Heroes.
19-08-2011-111337-002,08/09/2011,Please provide information and details relating to the production of Chapter 3: Influence - The Central Idea of the Development Concepts and Doctrine Centre's JDP3-40 Security and Stabilisation: The Military Contribution.
19-08-2011-112551-003,19/09/2011,Please confirm the monetary arrangement in place for civil servants leaving MOD under an early retirement/severance or compulsory or voluntary redundancy scheme.
19-08-2011-112604-003,09/09/2011,Please advise on the average amount of money claimed on JPA expenses per person per Service.
19-08-2011-113257-004,09/09/2011,Please advise on the average amount of money claimed on JPA expenses per person per Service.
19-08-2011-114414-004,13/09/2011,"Please advise, and provide information and details, to various questions regarding staff undertaking trade unions duties on Facility time in 2009-10, and 2010-11."
19-08-2011-115020-005,14/09/2011,"Please provide a copy of the report entitled Extremist Threat Assessment, reported by The Telegraph on 25 February 2007."
19-08-2011-120725-006,15/09/2011,Please advise on the dates and Nimrod aircraft serial number carried out icing trials with the Canberra WV787 (1966-1972).
19-08-2011-125230-008,19/09/2011,"Please advise, and provide information and details, to various questions regarding the MOD's ICT spend for 2009/2010 and 2010/2011 and indicative budgets for 2011/2012 and 2012/2013."
19-08-2011-130103-005,19/09/2011,"Please advise, and provide information and details, on MOD expenditure on flowers, plants and gardening for FY 2008-09 and FY 2010-11."
19-08-2011-143121-001,16/09/2011,"Please advise on the total number of service personnel injured, along with details of the types of injuries, in the last 24 months."
19-08-2011-150515-006,15/09/2011,Please provide information on an ex-Army Can Am motorcycle. 
19-08-2011-153534-002,14/09/2011,Please advise on the duration and purpose of a four engined propeller driven aircraft circling the sky over Birmingham.
22-08-2011-092301-001,19/09/2011,"Please provide information and details on the number of FOI requests (not internal reviews) received in January 2010, June 2010, January 2011 and June 2011."
22-08-2011-101434-002,19/09/2011,"Please provide information on the EM-2, also known as Rifle No.9 Mk1 or ""Janson rifle"". "
22-08-2011-102013-003,19/09/2011,Please provide information on the Local Overseas Allowance scheme for Australia.
22-08-2011-103809-002,20/09/2011,"Please provide information and details to various questions regarding the cost and operation of the Joint Equality and Diversity Training Centre (JEDTC) at the Defence Academy, Shrivenham for FY 2009, 2010 and 2011."
22-08-2011-105151-003,20/09/2011,Please provide information and details on the cost of the damage of the fire at AWE.
