Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",413,374.01,617,592.26,1736,1686.65,270,264.24,57,53.35,121,68.66,"3,214","3,039",25,24.5,5,3,8,8,10,8.46,48,43.96,"3,262","3,083","121,878,056.01","725,122.66","421,749.23","248,757.82","12,061,602.08","11,353,932.25","146,689,220.05",,,0,"146,689,220.05",
"National Endowment for Science, Technology and the Arts",Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,81,81,81,81,..,..,..,..,..,..,..,..,..,..,81,81,,,,,,,"6,687,000.00",,,..,"6,687,000.00",Payroll and non payroll staff breakdown not available
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",7,6,11,10.53,34,33.1,17,16.1,1,1,0,0,70,67,1,1,0,0,0,0,0,0,1,1,71,68,"2,581,656.66","2,361.46","26,959.63",39.16,"500,769.72","212,093.82","3,323,880.45","29,068.06","212,883.00","241,951.06","3,565,831.51",
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",300,269,430,409,1070,1026,426,408,49,48,304,302,"2,579","2,462",14,14,0,0,5,5,2,2,21,21,"2,600","2,483",,,,,,,"105,740,063.00",,,..,"105,740,063.00",Salary costs amended in October - no breakdown available
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,324,..,324,..,..,..,..,..,..,..,..,..,..,..,324,,,,,,,"21,275,000.00",,,..,"21,275,000.00",breakdown of payroll staff and non payroll staff not available
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,4,4,4,4,..,..,..,..,..,..,..,..,..,..,4,4,,,,,,,"283,304.00",,,..,"283,304.00",breakdown of payroll staff and non payroll staff not available
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,275,..,275,..,..,..,..,..,..,..,..,..,..,..,275,,,,,,,"16,913,000.00",,,..,"16,913.00",breakdown of payroll staff and non payroll staff not available
Postal Services Commission,Non-Ministerial Department,"Department for Business, Innovation & Skills",2,2,11,10.75,15,11.5,23,19.75,10,6.5,,,61,51,2,2,6,4.6,,,,,8,6.6,69,57,"2,604,040.00","8,041.00","127,543.00","16,376.00","485,000.00","257,000.00","3,498,000.00","1,415,000.00",,"1,415,000.00","4,913,000.00",
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",137,128.9,258,247.2,968,948.5,331,316.2,37,34.2,29,29,"1,760","1,704",3,3,1,1,3,3,0,0,7,7,"1,767","1,711","61,602,669.00","1,803,658.00","342,068.00","1,657,268.00","15,745,043.00","5,261,129.00","86,411,835.00","22,030.00",,"22,030.00","86,433,865.00",
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",174,165.2608108,590,570.0797297,623,607.4121622,162,161.472973,59,58.20540541,27,25.04054054,"1,635","1,587",17,17,0,0,98,98,5,5,120,120,"1,755","1,707","67,590,269.99","2,119,050.43","35,798.79","9,492.60","13,670,400.54","5,959,164.25","89,384,176.60","1,602,370.80","256,692.00","1,859,062.80","91,243,239.40",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,199,..,199,..,..,..,..,..,..,..,..,..,..,..,199,,,,,,,"14,288,000.00",,,..,"14,288,000.00",breakdown of payroll staff and non payroll staff not available
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,241,..,241,..,..,..,..,..,..,..,..,..,..,..,241,,,,,,,"16,972,000.00",,,..,"16,972,000.00",breakdown of payroll staff and non payroll staff not available
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1353,1266.78,431,408.5,175,169.23,25,25,6,5.4,6,0.64,"1,996","1,876",61,61,0,0,33,33,0,0,94,94,"2,090","1,970",,,,,,,"50,538,179.00",,"4,294,033.00","4,294,033.00","50,538,179.00",Salary costs amended in October - no breakdown available
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,25,25,12,12,57,57,5,5,,,99,99,16,16,46,46,,,,,62,62,161,161,"4,046,165.12","608,342.55",,,"1,083,851.84","503,498.73","6,241,858.24","4,369,362.15",,"4,369,362.15","10,611,220.39",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",20,19.7,15,15,55,54.7,20,20,8,8,0,0,118,117,0,0,0,0,1,0.4,0,0,1,0.4,119,118,"4,577,827.00",,"209,501.87",,"876,833.16","406,751.21","6,070,913.24","152,061.00",,"152,061.00","6,222,974.24",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",257,227.26,215,206.59,192,185.53,210,199.19,27,27,0,0,901,846,1,1,0,0,6,6,0,0,7,7,908,853,"25,112,858.00","897,168.00","25,558.00","390,905.00","5,164,529.00","2,089,685.00","33,680,703.00","1,637,732.00","86,392.00","1,724,124.00","35,404,827.00",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",64,59.95,77,73.61,293,288.76,105,103.21,10,9.6,16,16,565,551,15,15,0,0,426,426,0,0,441,441,"1,006",992,"22,178,275.00",,"398,148.00","525,931.00","3,392,923.00","1,941,192.00","28,436,469.00","20,051,728.76","2,200.00","20,053,928.76","48,490,397.76",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,272,..,272,..,..,..,..,..,..,..,..,..,..,..,272,,,,,,,"19,657,000.00",,,..,"19,657,000.00",breakdown of payroll staff and non payroll staff not available
