Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) 
FCO,FCO,21-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1055534,"34,042.00"
FCO,FCO,21-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1055534,"2,495.90"
FCO,FCO,21-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1055534,"11,847.50"
FCO,FCO,21-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1055534,"10,602.40"
FCO,FCO,21-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1055534,"6,808.40"
FCO,FCO,26-Sep-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,GO GROUP NLE,1000999,"41,152.76"
FCO,FCO,21-Sep-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1055524,"36,683.00"
FCO,FCO,21-Sep-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1055524,733.66
FCO,FCO,21-Sep-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1055524,146.73
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000293,"1,352.94"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000293,"2,673.43"
FCO,FCO,18-Sep-12,FM Interserve Cleaning,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000293,"6,292.71"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000293,"2,498.32"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000293,"2,115.27"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000293,"12,465.61"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,"2,676.99"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,765
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,"1,450.04"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,"1,629.44"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,323.75
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,167.31
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,259.33
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,"2,353.52"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,592.05
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000294,"46,633.13"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000297,35.94
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000297,"47,746.41"
FCO,FCO,18-Sep-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000297,"49,729.26"
FCO,FCO,18-Sep-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,118.56
FCO,FCO,18-Sep-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,296.39
FCO,FCO,18-Sep-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"3,529.31"
FCO,FCO,18-Sep-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,296.39
FCO,FCO,18-Sep-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,889.18
FCO,FCO,18-Sep-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,652.06
FCO,FCO,18-Sep-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,355.67
FCO,FCO,18-Sep-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,889.18
FCO,FCO,18-Sep-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"5,099.77"
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,711.16
FCO,FCO,18-Sep-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,889.18
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,120.34
FCO,FCO,18-Sep-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,592.78
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,420.89
FCO,FCO,18-Sep-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,296.39
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"1,299.26"
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,117.96
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,652.16
FCO,FCO,18-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"51,536.70"
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,509.9
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,94.26
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,105.54
FCO,FCO,18-Sep-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"1,185.56"
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,618.86
FCO,FCO,18-Sep-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"2,189.04"
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,274.46
FCO,FCO,18-Sep-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,296.39
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,356.26
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,48.04
FCO,FCO,18-Sep-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,652.06
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,531.17
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,384.19
FCO,FCO,18-Sep-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,711.16
FCO,FCO,18-Sep-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"2,371.13"
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,29.64
FCO,FCO,18-Sep-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"17,645.29"
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,88.91
FCO,FCO,18-Sep-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,528.97
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,171.32
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,144.64
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,11.85
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,71.11
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,65.21
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,124.39
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,29.64
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,144.64
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,88.91
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,129.92
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"5,153.67"
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,88.91
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,122.11
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,118.56
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,59.28
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,187.91
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,53.35
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,65.22
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,218.9
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,183.17
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,65.21
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,50.99
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,10.56
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,39.34
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,71.11
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,115.59
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,29.64
FCO,FCO,18-Sep-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,826.79
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,4.81
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,46.24
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,38.42
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"1,764.53"
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,122.7
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,52.9
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,25.4
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,111.44
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,135.15
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,45.29
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,272.09
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,387.93
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,401.32
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,82.39
FCO,FCO,18-Sep-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"3,164.87"
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,88.91
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,47.42
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,278.01
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,303.12
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,116.18
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,101.37
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,95.97
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,126.86
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,104.92
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,219.33
FCO,FCO,18-Sep-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"2,963.91"
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,336.03
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,165.88
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,470.67
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,250.16
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,122.11
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,239.18
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,96.03
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,152.94
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,502.93
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,90.1
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"1,196.77"
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,138.71
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,361.01
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,62.7
FCO,FCO,18-Sep-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"2,691.71"
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,361.6
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,100.78
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,88.91
FCO,FCO,18-Sep-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"3,384.64"
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,74.5
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,88.91
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,318.11
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,501.49
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,88.91
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,283.95
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,148.19
FCO,FCO,18-Sep-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"3,541.70"
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,88.91
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,270.31
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,100.77
FCO,FCO,18-Sep-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"4,829.81"
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,88.91
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,437.85
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,100.78
FCO,FCO,18-Sep-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"1,983.35"
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,361.6
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,81.8
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,380.57
FCO,FCO,18-Sep-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"2,691.69"
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,69.81
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,231.19
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,355.67
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,326.03
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"3,502.16"
FCO,FCO,18-Sep-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"2,266.56"
FCO,FCO,18-Sep-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,326.03
FCO,FCO,18-Sep-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,"2,606.69"
FCO,FCO,18-Sep-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,231.19
FCO,FCO,18-Sep-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,355.67
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,352.93
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,29.64
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,35.57
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,12.04
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,42.09
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,11.8
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,9.43
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,61.89
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,27.45
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,35.63
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,53.12
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,237.12
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,17.13
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,14.46
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,12.44
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,14.46
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,12.21
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,18.79
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,5.33
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,18.32
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,3.93
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,11.56
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,82.68
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,4.62
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,12.27
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,2.54
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,11.14
FCO,FCO,18-Sep-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000301,13.52
