Department Family,Entity,Payment Date,Expense type,Expense Area,Vendor,Doc Ref,Amount
CLG,VTS,13/05/2009,Rent,Estate,TRAFCOURT PROPERTIES LTD,2100061256,7781.76
CLG,VTS,13/05/2009,Rent,Estate,TRAFCOURT PROPERTIES LTD,2100061257,7715.06
CLG,VTS,13/05/2009,Property maintenance,Estate,COFELY LTD,2100061259,507.27
CLG,VTS,13/05/2009,Property maintenance,Estate,COFELY LTD,2100061265,500.96
CLG,VTS,13/05/2009,Property maintenance,Estate,COFELY LTD,2100061266,592.11
CLG,VTS,13/05/2009,Property maintenance,Estate,COFELY LTD,2100061268,580.45
CLG,VTS,13/05/2009,Domestic Services,Estate,CLD SERVICES LTD,2100061270,805
CLG,VTS,13/05/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100061299,604.03
CLG,VTS,13/05/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100061301,645.39
CLG,VTS,13/05/2009,Agency Staff,HR,ROBERT HALF LIMITED,2100061303,720.88
CLG,VTS,13/05/2009,Agency Staff,HR,ARDEN SHIELDS RECRUITMENT LTD,2100061308,595.53
CLG,VTS,18/05/2009,Telecoms,IT,B T PAYMENT SERVICES LTD,2100061313,562.03
CLG,VTS,18/05/2009,Judicial Journals,Corporate,LEXIS-NEXIS UK,2100061375,2945.45
CLG,VTS,18/05/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100061385,655.65
CLG,VTS,18/05/2009,Agency Staff,HR,HUNTRESS SEARCH LTD,2100061386,780.17
CLG,VTS,19/05/2009,Rent,Estate,NAT CAR PARKS LTD,2100061422,525
CLG,VTS,19/05/2009,Rent,Estate,NAT CAR PARKS LTD,2100061423,525
CLG,VTS,18/05/2009,Health & Safety,Estate,ADVANCED SAFETY CONSULTANCY LTD,2100061427,511.75
CLG,VTS,18/05/2009,Fixed Maintenance,Estate,LAMBERT SMITH HAMPTON,2100061431,652.05
CLG,VTS,18/05/2009,Domestic Services,Estate,CLD SERVICES LTD,2100061435,805
CLG,VTS,18/05/2009,Domestic Services,Estate,CLD SERVICES LTD,2100061436,805
CLG,VTS,18/05/2009,Agency Staff,HR,REED SPECIALIST RECRUITMENT LTD,2100061437,3737.5
CLG,VTS,18/05/2009,Agency Staff,HR,REED SPECIALIST RECRUITMENT LTD,2100061438,2990
CLG,VTS,18/05/2009,Agency Staff,HR,REED SPECIALIST RECRUITMENT LTD,2100061439,2990
CLG,VTS,18/05/2009,Agency Staff,HR,REED SPECIALIST RECRUITMENT LTD,2100061440,2990
CLG,VTS,18/05/2009,Agency Staff,HR,REED SPECIALIST RECRUITMENT LTD,2100061441,2242.5
CLG,VTS,18/05/2009,T&S claim,Operational,Staff,2100061443,607.53
CLG,VTS,18/05/2009,T&S claim,Board,Board Chairman,2100061446,1388.38
CLG,VTS,18/05/2009,Agency Staff,HR,HUNTRESS SEARCH LTD,2100061449,800.3
CLG,VTS,18/05/2009,Rail and Hotel booking services,Training,CAPITA BUSINESS,2100061470,370.1
CLG,VTS,18/05/2009,Rail and Hotel booking services,Operational,CAPITA BUSINESS,2100061470,232.1
CLG,VTS,18/05/2009,Rail and Hotel booking services,Central Services,CAPITA BUSINESS,2100061470,637.9
CLG,VTS,18/05/2009,Rail and Hotel booking services,Finance,CAPITA BUSINESS,2100061470,277.7
CLG,VTS,18/05/2009,Rail and Hotel booking services,HR,CAPITA BUSINESS,2100061470,414.6
CLG,VTS,18/05/2009,Rail and Hotel booking services,IT,CAPITA BUSINESS,2100061470,330.5
CLG,VTS,18/05/2009,Rail and Hotel booking services,Corporate,CAPITA BUSINESS,2100061470,357.5
CLG,VTS,18/05/2009,Rail and Hotel booking services,Estate,CAPITA BUSINESS,2100061470,191.1
CLG,VTS,18/05/2009,T&S claim,Central Services,Staff,2100061473,2186.7
CLG,VTS,20/05/2009,Meeting expenses,Operational,FORDE ABBEY,2100061560,805
CLG,VTS,20/05/2009,Tribunal Hearing Venues,Operational,FORDE ABBEY,2100061560,172.5
CLG,VTS,21/05/2009,Outsourced services,Central Services,DCLG,2100061605,8625
CLG,VTS,21/05/2009,Removal services,Estate,GREEN-WORKS,2100061607,1845.75
CLG,VTS,21/05/2009,Office Supplies,Central Services,MISCO,2100061616,2320.63
CLG,VTS,21/05/2009,Telecoms,IT,B T PAYMENT SERVICES LTD,2100061618,1949.96
CLG,VTS,21/05/2009,Legal fees,Central Services,BEACHCROFT LLP,2100061638,1129.07
CLG,VTS,21/05/2009,Legal fees,Central Services,BEACHCROFT LLP,2100061639,2165.91
CLG,VTS,21/05/2009,Legal fees,Central Services,BEACHCROFT LLP,2100061641,1268.69
CLG,VTS,04/06/2009,Telecoms,IT,B T PAYMENT SERVICES LTD,2100061722,1054.15
CLG,VTS,27/05/2009,Accom Service Charge,Estate,FPD SAVILLS LTD,2100061723,4847.25
CLG,VTS,27/05/2009,Rent,Estate,FPD SAVILLS LTD,2100061723,11787.5
CLG,VTS,04/06/2009,Telecoms,IT,B T PAYMENT SERVICES LTD,2100061735,595.77
CLG,VTS,27/05/2009,Heating and lighting,Operational,BRITISH GAS BUSINESS,2100061753,521.54
CLG,VTS,27/05/2009,IT support,IT,VALUATION OFFICE AGENCY,2100061813,57580.85
CLG,VTS,11/06/2009,Dilaps/Refurbishment,Estate,PIG FUND HORSHAM SPV LIMITED/dilap,2100061881,56925
CLG,VTS,02/06/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100061886,507.9
CLG,VTS,02/06/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100061887,583.34
CLG,VTS,02/06/2009,Post,Central Services,ROYAL MAIL GROUP PLC,2100061888,500
CLG,VTS,02/06/2009,Rent,Estate,COMBE ESTATE,2100061889,7250
CLG,VTS,02/06/2009,Agency Staff,HR,BLUE ARROW LTD,2100061891,533.72
CLG,VTS,02/06/2009,Redundancy,HR,VT METHVEN,2100061907,772.52
CLG,VTS,02/06/2009,T&S claim,IT,Staff,2100061917,83.09
CLG,VTS,02/06/2009,T&S claim,Operational,Staff,2100061917,473.49
CLG,VTS,02/06/2009,T&S claim,HR,Staff,2100061919,530.55
CLG,VTS,02/06/2009,Property maintenance,Estate,COFELY LTD,2100061922,905.3
CLG,VTS,02/06/2009,Telecoms,IT,BT GLOBAL,2100061924,44243.45
CLG,VTS,02/06/2009,Telecoms,IT,BT GLOBAL,2100061925,618.07
CLG,VTS,02/06/2009,Printing,Corporate,WHITEHALL PRINTING CO (AVON) LTD,2100061938,3824.9
CLG,VTS,02/06/2009,Telecoms,IT,VODAFONE UK,2100061963,815.09
CLG,VTS,02/06/2009,Audit Fees,Central Services,AHL BUSINESS ASSURANCE LTD,2100061993,2415
CLG,VTS,02/06/2009,Building Insurance,Estate,LOCKTON,2100061995,3042.14
CLG,VTS,02/06/2009,Rent,Estate,CAEC HOWARD ARKWRIGHT LTD,2100061997,5189.38
CLG,VTS,04/06/2009,Domestic Services,Estate,CLD SERVICES LTD,2100062010,805
CLG,VTS,04/06/2009,Rent,Estate,*NAT CAR PARKS LTD,2100062011,566.71
CLG,VTS,04/06/2009,Rent,Estate,*NAT CAR PARKS LTD,2100062012,566.71
CLG,VTS,04/06/2009,Rent,Estate,*NAT CAR PARKS LTD,2100062013,548.01
CLG,VTS,04/06/2009,Agency Staff,HR,HUNTRESS SEARCH LTD,2100062042,615.34
CLG,VTS,04/06/2009,Agency Staff,HR,HUNTRESS SEARCH LTD,2100062043,835.11
CLG,VTS,04/06/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100062045,655.65
CLG,VTS,04/06/2009,Agency Staff,HR,ARDEN SHIELDS RECRUITMENT LTD,2100062046,599.29
CLG,VTS,04/06/2009,Property maintenance,Estate,COFELY LTD,2100062048,500.96
CLG,VTS,04/06/2009,Property maintenance,Estate,COFELY LTD,2100062049,592.11
CLG,VTS,04/06/2009,Property maintenance,Estate,COFELY LTD,2100062050,580.45
CLG,VTS,04/06/2009,Property maintenance,Estate,COFELY LTD,2100062052,507.27
CLG,VTS,04/06/2009,Property maintenance,Estate,COFELY LTD,2100062055,905.3
CLG,VTS,04/06/2009,Audit Fees,Central Services,AHL BUSINESS ASSURANCE LTD,2100062061,2760
CLG,VTS,04/06/2009,Outsourced services,Central Services,*LOGICA CMG UK LTD,2100062062,1457.8
CLG,VTS,04/06/2009,T&S claim,Board,Board Chairman,2100062065,1350.47
CLG,VTS,04/06/2009,Heating and lighting,Operational,E.ON ENERGY LIMITED,2100062066,1561.98
CLG,VTS,12/06/2009,T&S claim,Operational,Staff,2100062080,585.14
CLG,VTS,04/06/2009,Removal services,Estate,A W WHEADON & SONS,2100062086,517.5
CLG,VTS,12/06/2009,Property maintenance,Estate,COFELY LTD,2100062098,602.06
CLG,VTS,12/06/2009,Rail and Hotel booking services,Board,EXPOTEL HOTEL RESERVATIONS LTD,2100062100,558.36
CLG,VTS,12/06/2009,Rail and Hotel booking services,IT,EXPOTEL HOTEL RESERVATIONS LTD,2100062100,331.42
CLG,VTS,12/06/2009,Rail and Hotel booking services,Operational,EXPOTEL HOTEL RESERVATIONS LTD,2100062100,174.86
CLG,VTS,12/06/2009,Rail and Hotel booking services,Central Services,EXPOTEL HOTEL RESERVATIONS LTD,2100062100,75.51
CLG,VTS,12/06/2009,Agency Staff,HR,REED SPECIALIST RECRUITMENT LTD,2100062101,2990
CLG,VTS,12/06/2009,Agency Staff,HR,REED SPECIALIST RECRUITMENT LTD,2100062102,3737.5
CLG,VTS,12/06/2009,Agency Staff,HR,REED SPECIALIST RECRUITMENT LTD,2100062103,3737.5
CLG,VTS,12/06/2009,Agency Staff,HR,REED SPECIALIST RECRUITMENT LTD,2100062104,2242.5
CLG,VTS,12/06/2009,Agency Staff,HR,BLUE ARROW LTD,2100062110,530.3
CLG,VTS,05/06/2009,Meeting expenses,Operational,YORKSHIRE EVENT CENTRE LTD,2100062118,165.25
CLG,VTS,05/06/2009,Tribunal Hearing Venues,Operational,YORKSHIRE EVENT CENTRE LTD,2100062118,510
CLG,VTS,12/06/2009,Dilaps/Refurbishment,Estate,CANFORD PROPERTY VENTURES LLP,2100062143,2300
CLG,VTS,12/06/2009,Judicial Journals,Corporate,PLAIN ENGLISH CAMPAIGN LTD,2100062144,3450
CLG,VTS,12/06/2009,Meeting expenses,Operational,FORESTDALE HOTELS LTD,2100062145,1015.1
CLG,VTS,12/06/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100062146,606.99
CLG,VTS,12/06/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100062147,608.15
CLG,VTS,12/06/2009,Agency Staff,HR,MORGAN HUNT PUBLIC SECTOR LTD,2100062148,583.34
CLG,VTS,12/06/2009,Rent,Estate,SPEAKMAN & LIPTROTT,2100062150,8437.5
CLG,VTS,12/06/2009,Rent,Estate,REMIZ PROPERTIES LTD,2100062151,9343.75
CLG,VTS,12/06/2009,Property maintenance,Estate,COFELY LTD,2100062152,1067
CLG,VTS,12/06/2009,Staff Training,Training,MARION TURNER CONSULTIING,2100062163,1495
CLG,VTS,09/06/2009,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100062175,343.03
CLG,VTS,09/06/2009,Meeting expenses,Operational,COMPANY BARCLAYCARD,2100062175,429.48
CLG,VTS,09/06/2009,Meeting expenses,Finance,COMPANY BARCLAYCARD,2100062175,24
CLG,VTS,09/06/2009,Meeting expenses,Corporate,COMPANY BARCLAYCARD,2100062175,1360
CLG,VTS,09/06/2009,Office Supplies,Central Services,COMPANY BARCLAYCARD,2100062175,102.5
CLG,VTS,09/06/2009,Post,Central Services,COMPANY BARCLAYCARD,2100062175,52
CLG,VTS,09/06/2009,Rail and Hotel booking services,Board,COMPANY BARCLAYCARD,2100062175,120.5
CLG,VTS,09/06/2009,Rail and Hotel booking services,Corporate,COMPANY BARCLAYCARD,2100062175,281.5
CLG,VTS,09/06/2009,Staff Training,Training,COMPANY BARCLAYCARD,2100062175,1000.12
CLG,VTS,12/06/2009,Removal services,Estate,GREEN-WORKS,2100062197,764.75
CLG,VTS,12/06/2009,Telecoms,IT,B T PAYMENT SERVICES LTD,2100062201,1051.23
CLG,VTS,12/06/2009,Property maintenance,Estate,CAEC HOWARD ARKWRIGHT LTD,2100062202,1898.65
CLG,VTS,12/06/2009,Agency Staff,HR,ADVANTAGE PROFESSIONAL UK LTD,2100062206,530.99
CLG,VTS,12/06/2009,Meeting expenses,Operational,KINGSTON UPON HULL CITY COUNCIL,2100062228,34.8
CLG,VTS,12/06/2009,Tribunal Hearing Venues,Operational,KINGSTON UPON HULL CITY COUNCIL,2100062228,493.97
CLG,VTS,12/06/2009,Property maintenance,Estate,COFELY LTD,2100062239,728.62
CLG,VTS,18/06/2009,Outsourced services,Central Services,HYMANS ROBERTSON,2100062243,2111.4
CLG,VTS,18/06/2009,Legal fees,Central Services,BEACHCROFT LLP,2100062253,554.53
CLG,VTS,17/06/2009,T&S claim,Operational,Staff,2100062279,779.55
CLG,VTS,19/06/2009,Agency Staff,HR,ARDEN SHIELDS RECRUITMENT LTD,2100062335,569.14
CLG,VTS,19/06/2009,Accom Service Charge,Estate,KEY PROPERTY INVESTMENTS (NO 2) LTD,2100062336,1180.94
CLG,VTS,19/06/2009,Rent,Estate,KEY PROPERTY INVESTMENTS (NO 2) LTD,2100062336,7302.5
CLG,VTS,19/06/2009,Legal fees,Central Services,BEACHCROFT WANSBROUGHS,2100062337,6701.63
CLG,VTS,19/06/2009,Rent,Estate,*NAT CAR PARKS LTD,2100062351,548.01
CLG,VTS,12/06/2009,Fixed Maintenance,Estate,NELSON BAKEWELL LTD (B/A),2100062354,-575
CLG,VTS,19/06/2009,Meeting expenses,Operational,YORKSHIRE EVENT CENTRE LTD,2100062362,988.25
CLG,VTS,19/06/2009,Rail and Hotel booking services,Board,CAPITA BUSINESS,2100062363,194.3
CLG,VTS,19/06/2009,Rail and Hotel booking services,HR,CAPITA BUSINESS,2100062363,565.7
CLG,VTS,19/06/2009,Rail and Hotel booking services,IT,CAPITA BUSINESS,2100062363,336.6
