ALB,Supplier,Net Amount £
Department for Communities and Local Government ,BROOK STREET UK LTD,"1,066,260.74"
Department for Communities and Local Government ,LA INT COMPUTER CONSULTANTS LTD,"1,065,059.52"
Department for Communities and Local Government ,DENTON WILDE SAPTE LLP,"983,384.54"
Department for Communities and Local Government ,HERMAN MILLER LTD,"981,564.80"
Department for Communities and Local Government ,CAPITA BUSINESS,"933,355.73"
Department for Communities and Local Government ,BADENOCH & CLARK,"912,881.41"
Department for Communities and Local Government ,VEREDUS INTERIM MGMT,"905,833.36"
Department for Communities and Local Government ,ROYAL TOWN PLANNING INSTITUTE,"868,217.58"
Department for Communities and Local Government ,G W S LTD,"791,002.09"
Department for Communities and Local Government ,KENT COUNTY COUNCIL,"788,088.36"
Department for Communities and Local Government ,EDF ENERGY PLC,"779,096.44"
Department for Communities and Local Government ,ADECCO,"767,244.36"
Department for Communities and Local Government ,HYNDBURN HOMES LTD,"761,311.00"
Department for Communities and Local Government ,AEA TECHNOLOGY ENVIRONMENT,"705,545.33"
Department for Communities and Local Government ,ALLEN LANE FINANCIAL RECRUITMENT,"688,789.09"
Department for Communities and Local Government ,MOUCHEL MANAGEMENT CONSULTING LTD,"670,394.17"
Department for Communities and Local Government ,PARTNERSHIPS UK PLC,"664,487.48"
Department for Communities and Local Government ,SECURITY RISK MANAGEMENT,"662,143.09"
Department for Communities and Local Government ,DAVIS LANGDON LLP,"645,373.66"
Department for Communities and Local Government ,GATEWAY HOUSING ASSOCIATION LTD,"632,358.00"
Department for Communities and Local Government ,AMQIS CONSORTIUM,"624,926.95"
Department for Communities and Local Government ,HAYS PERSONNEL SERVICES,"600,244.84"
Department for Communities and Local Government ,SOLIDNET SOLUTIONS LTD,"570,827.34"
Department for Communities and Local Government ,"ODGERS, RAY & BERNDSTON","565,851.46"
Department for Communities and Local Government ,IRON MOUNTAIN,"552,775.53"
Department for Communities and Local Government ,CABLE & WIRELESS UK,"549,255.34"
Department for Communities and Local Government ,BANNER BUSINESS SUPPLIES LTD,"535,633.57"
Department for Communities and Local Government ,LOGICA CMG UK LTD,"531,995.83"
Department for Communities and Local Government ,COMO INTERIORS LTD,"531,012.19"
Department for Communities and Local Government ,AUTO ELECTRICAL SERVICES LTD,"530,335.50"
Department for Communities and Local Government ,CAPITA COMMUNICATIONS,"526,329.18"
Department for Communities and Local Government ,CIRIA,"521,117.31"
Department for Communities and Local Government ,ATKINS MANAGEMENT CONSULTANTS,"514,708.56"
Department for Communities and Local Government ,SBS GROUP (UK) LTD,"490,183.79"
Department for Communities and Local Government ,ALPINE RESOURCING LTD,"488,523.33"
Department for Communities and Local Government ,CAPITA RESOURCING LTD,"487,949.56"
Department for Communities and Local Government ,EURO RSCG LONDON LTD,"470,726.66"
Department for Communities and Local Government ,ARQIVA LTD,"464,455.23"
Department for Communities and Local Government ,PARITY RESOURCES LTD,"458,969.35"
Department for Communities and Local Government ,CGI CROUP (EUROPE) LTD,"451,741.56"
Department for Communities and Local Government ,CHIEF FIRE OFFICERS ASSOCIATION,"426,239.27"
Department for Communities and Local Government ,MITIE CATERING SERVICES LTD,"422,615.45"
Department for Communities and Local Government ,MORGAN HUNT PUBLIC SECTOR LTD,"419,184.92"
Department for Communities and Local Government ,ECOTEC RESEARCH & CONSULTING LTD,"398,614.52"
Department for Communities and Local Government ,OVERBURY PLC,"397,999.58"
Department for Communities and Local Government ,LIVERPOOL CHAMBER OF COMMERCE,"390,417.20"
Department for Communities and Local Government ,PENNA PLC,"383,044.45"
Department for Communities and Local Government ,A4E,"380,258.73"
Department for Communities and Local Government ,METHODS CONSULTING LTD,"367,224.13"
Department for Communities and Local Government ,ACCOR SERVICES,"360,933.71"
Department for Communities and Local Government ,INFICON GMBH,"354,854.87"
Department for Communities and Local Government ,CEDAR HARP,"348,350.32"
Department for Communities and Local Government ,HYTRANS SYSTEMS BV,"325,934.93"
Department for Communities and Local Government ,BURGES SALMON LLP,"313,517.98"
Department for Communities and Local Government ,MICHAEL PAGE INTERNATIONAL,"304,584.37"
Department for Communities and Local Government ,INTELLIGENT ADDRESSING LTD,"300,642.13"
Department for Communities and Local Government ,NPOWER LTD,"299,165.80"
Department for Communities and Local Government ,TRIBAL CONSULTING LTD,"295,107.60"
Department for Communities and Local Government ,COMPUTER PEOPLE LTD,"294,665.75"
Department for Communities and Local Government ,CONNECTOLOGY NETWORK SERVICES LTD,"285,393.39"
Department for Communities and Local Government ,WHITESPACE EXHIBITIONS LIMITED,"283,914.61"
Department for Communities and Local Government ,PKF,"271,919.66"
Department for Communities and Local Government ,SUMMERFIELD DEVELOPMENTS (SW) LTD,"269,605.31"
Department for Communities and Local Government ,DIGIRATI LTD,"265,282.63"
Department for Communities and Local Government ,SCOTT WILSON LTD,"264,951.22"
Department for Communities and Local Government ,XANTURA LIMITED,"263,565.57"
Department for Communities and Local Government ,HRG UK,"259,677.74"
Department for Communities and Local Government ,BRITISH BOARD AGREMENT,"255,195.65"
Department for Communities and Local Government ,VENN GROUP,"250,388.26"
Department for Communities and Local Government ,GREENSTREET BERMAN LTD,"249,491.33"
Department for Communities and Local Government ,ROYAL LIVER ASSURANCE LTD,"249,290.94"
Department for Communities and Local Government ,TECHNOPHOBIA LIMITED,"244,960.90"
Department for Communities and Local Government ,LEO BURNETT LTD,"244,722.51"
Department for Communities and Local Government ,MATRIX RESEARCH & CONSULTANCY LTD,"243,638.89"
Department for Communities and Local Government ,B T PLC,"241,213.62"
Department for Communities and Local Government ,CORNWELL MANAGEMENT CONSULTANTS PLC,"239,609.98"
Department for Communities and Local Government ,MACDONALD & COMPANY FREELANCE LTD,"238,362.83"
Department for Communities and Local Government ,BUPA WELLNESS,"237,842.75"
Department for Communities and Local Government ,ANDREW IRVING ASSOCIATES LTD,"236,162.50"
Department for Communities and Local Government ,STANTON MARRIS LLP,"233,948.75"
Department for Communities and Local Government ,SHARED INTELLIGENCE LTD,"231,653.39"
Department for Communities and Local Government ,YELL LTD,"226,609.60"
Department for Communities and Local Government ,MAURICE PAYNE COLOURPRINT LTD,"224,602.44"
Department for Communities and Local Government ,SMITHS DETECTION WATFORD LTD,"216,930.12"
Department for Communities and Local Government ,HARROW GREEN REMOVALS GROUP,"215,700.60"
Department for Communities and Local Government ,ERIC BOWES & CO,"214,192.35"
Department for Communities and Local Government ,FIELD FISHER WATERHOUSE LLP,"213,396.43"
Department for Communities and Local Government ,MSB INTERNATIONAL PLC,"210,410.58"
Department for Communities and Local Government ,SLAUGHTER & MAY,"207,478.37"
Department for Communities and Local Government ,SAP (UK) LTD,"203,132.53"
Department for Communities and Local Government ,DERWENT VALLEY CITY LIMITED,"203,117.39"
Department for Communities and Local Government ,OFFICE PUBLIC MGMT LTD,"198,540.65"
Department for Communities and Local Government ,OVE ARUP & PARTNERS,"196,995.55"
Department for Communities and Local Government ,TRUSTMARQUE SOLUTIONS LTD,"196,156.60"
Department for Communities and Local Government ,QUO IMUS LTD,"192,141.14"
Department for Communities and Local Government ,NORWICH UNION LIFE & PENSIONS LTD,"191,743.24"
Department for Communities and Local Government ,TERRY FARRELL & PARTNERS LTD,"189,116.25"
Department for Communities and Local Government ,WILSON BOWDEN DEVELOPMENTS LTD,"186,976.65"
Department for Communities and Local Government ,CHARTERED INST OF HOUSING,"186,091.62"
Department for Communities and Local Government ,INNOGISTIC SOFTWARE PLC,"184,141.65"
Department for Communities and Local Government ,EUROPE ECONOMICS,"183,375.88"
Department for Communities and Local Government ,BRAMBLE CC LIMITED,"181,857.41"
Department for Communities and Local Government ,DURRANTS LTD,"180,934.47"
Department for Communities and Local Government ,SQUARE ONE RESOURCES LTD,"177,927.28"
Department for Communities and Local Government ,ACUMEN CONSORTIUM,"175,524.71"
Department for Communities and Local Government ,REDHOUSE LANE COMMUNICATIONS LTD,"173,006.77"
Department for Communities and Local Government ,JOHN DENNIS COACHBUILDERS LTD,"168,183.32"
Department for Communities and Local Government ,AMION CONSULTING,"168,014.14"
Department for Communities and Local Government ,H S B C INSURANCE BROKERS LTD,"167,757.75"
Department for Communities and Local Government ,VODAFONE LTD,"166,561.41"
Department for Communities and Local Government ,BRUNTWOOD ESTATES BETA PORTFOLIO LT,"166,419.22"
Department for Communities and Local Government ,7E COMMUNICATIONS LIMITED,"163,885.94"
Department for Communities and Local Government ,INSIGHT MGMT & SYSTEMS CONSULTANTS,"163,596.60"
Department for Communities and Local Government ,ELAN COMPUTING LTD,"163,262.25"
Department for Communities and Local Government ,WHITE CONSULTANTS LTD,"162,376.03"
Department for Communities and Local Government ,STEELCASE SOLUTIONS,"159,299.68"
Department for Communities and Local Government ,KPMG LLP,"157,297.88"
Department for Communities and Local Government ,CW PRINT GROUP,"156,171.71"
Department for Communities and Local Government ,SOUTH EAST CONSORTIUM,"156,166.30"
Department for Communities and Local Government ,ADVANTAGE SOUTHWEST LLP,"156,031.00"
Department for Communities and Local Government ,SQW LTD,"155,354.04"
Department for Communities and Local Government ,LIAISON,"150,939.38"
Department for Communities and Local Government ,METAMORPHIC MANAGEMENT SOLUTIONS LT,"150,869.79"
Department for Communities and Local Government ,INTERIM PERFORMERS LTD,"148,292.51"
Department for Communities and Local Government ,THERMO ELECTRON LTD,"144,959.75"
Department for Communities and Local Government ,HUGHES SAFETY SHOWERS LTD,"144,465.67"
Department for Communities and Local Government ,GRANT THORNTON UK LLP,"136,427.75"
Department for Communities and Local Government ,SCOTTISH & SOUTHERN ENERGY,"136,360.50"
Department for Communities and Local Government ,CEMEX UK CEMENT LIMITED,"133,085.20"
Department for Communities and Local Government ,JOHN YARD ASSOCIATES LTD,"131,232.97"
Department for Communities and Local Government ,INOVEM LTD,"129,110.58"
Department for Communities and Local Government ,MONARCH RECRUITMENT LTD,"125,326.89"
Department for Communities and Local Government ,AIM ACADEMY,"125,119.83"
Department for Communities and Local Government ,ENTEC UK LTD,"123,635.52"
Department for Communities and Local Government ,ORACLE CORPORATION UK LTD,"123,289.42"
Department for Communities and Local Government ,SAND RESOURCES LTD,"122,657.73"
Department for Communities and Local Government ,CORONA ENERGY,"122,366.65"
Department for Communities and Local Government ,COPYRIGHT LICENSING AGENCY LTD,"119,488.20"
Department for Communities and Local Government ,FOOT ANSTEY,"119,331.94"
Department for Communities and Local Government ,ADDISON & ASSOCIATES LTD,"119,243.67"
Department for Communities and Local Government ,GVA GRIMLEY,"118,443.16"
Department for Communities and Local Government ,CORPORATE DOCUMENT SERVICES,"115,483.91"
Department for Communities and Local Government ,TYPE GENERATION,"114,675.76"
Department for Communities and Local Government ,COTTIMORE DESIGN CONSULTANCY,"113,586.95"
Department for Communities and Local Government ,BUSINESS IN THE COMMUNITY,"110,566.67"
Department for Communities and Local Government ,EXPERIAN LTD,"110,378.50"
Department for Communities and Local Government ,T P S CONSULT LTD,"109,168.00"
Department for Communities and Local Government ,ALPHA CONSOLIDATED TRAINING LTD,"108,046.43"
Department for Communities and Local Government ,BUFFALO DESIGN LTD,"107,395.09"
Department for Communities and Local Government ,EXPERIENCE CORPS,"105,406.89"
Department for Communities and Local Government ,FAITHWISE LTD,"104,456.25"
Department for Communities and Local Government ,JAMES FISHER IMS LTD,"103,703.41"
Department for Communities and Local Government ,GFK NOP LTD,"102,255.15"
Department for Communities and Local Government ,NAVIGANT CONSULTING (EUROPE) LTD,"102,056.10"
Department for Communities and Local Government ,RICHARD EDWARD LIMITED,"101,505.78"
Department for Communities and Local Government ,PRIORITY ESTATES PROJECT LTD,"101,026.47"
Department for Communities and Local Government ,CLAN TOOLS & PLANT LTD,"100,732.55"
Department for Communities and Local Government ,OXFORD CONSULT SOCIAL INCLUSION LTD,"99,785.29"
Department for Communities and Local Government ,RM EDUCATION PLC,"98,700.00"
Department for Communities and Local Government ,LIMETREE OFFSET LTD,"97,950.75"
Department for Communities and Local Government ,WALKER COX LTD,"96,887.25"
Department for Communities and Local Government ,CXPARTNERS LTD,"96,284.02"
Department for Communities and Local Government ,T P A S LTD,"93,309.56"
Department for Communities and Local Government ,SWETS INFORMATION SERVICES LTD,"91,919.65"
Department for Communities and Local Government ,HACKNEY HOMES LTD,"91,000.00"
Department for Communities and Local Government ,MITIE SECURITY LTD,"90,390.73"
Department for Communities and Local Government ,LEXIS-NEXIS UK,"89,712.64"
Department for Communities and Local Government ,BAND & BROWN COMMUNICATIONS LTD,"88,797.49"
Department for Communities and Local Government ,BROWN KNIGHT & TRUSCOTT LTD,"88,279.13"
Department for Communities and Local Government ,ASSOC FOR GEOGRAPHIC INFORMATION,"88,250.50"
Department for Communities and Local Government ,ROBERT WALTERS OPERATIONS LTD,"87,572.24"
Department for Communities and Local Government ,NB REAL ESTATE,"86,820.80"
Department for Communities and Local Government ,DMA CONSULTANCY LTD,"86,744.65"
Department for Communities and Local Government ,EQUANET,"86,639.05"
Department for Communities and Local Government ,PROFESSIONAL PROTECTION SYSTEMS,"86,340.55"
Department for Communities and Local Government ,JOHN DAVIES INTERIORS LTD,"85,893.63"
Department for Communities and Local Government ,APTO SOLUTIONS LTD,"85,487.51"
Department for Communities and Local Government ,C I P F A,"84,773.82"
Department for Communities and Local Government ,SPIKES CAVELL ANALYTIC LIMITED,"84,568.13"
Department for Communities and Local Government ,COUNCIL MORTGAGE LENDERS,"83,965.00"
Department for Communities and Local Government ,THE STATIONERY OFFICE LTD,"83,953.57"
Department for Communities and Local Government ,DELL COMPUTER,"83,822.95"
Department for Communities and Local Government ,ROCKET SCIENCE UK LTD,"83,705.15"
Department for Communities and Local Government ,REED TECHNOLOGY,"83,285.99"
Department for Communities and Local Government ,COUGAR MONITORING LTD,"83,178.90"
Department for Communities and Local Government ,OXFORD STRATEGIC MARKETING LTD,"82,960.66"
Department for Communities and Local Government ,COLES HR LIMITED,"82,912.51"
Department for Communities and Local Government ,COHESIA LTD,"82,646.01"
Department for Communities and Local Government ,ACPO,"82,178.00"
Department for Communities and Local Government ,ESRI (UK) LIMITED,"82,060.69"
Department for Communities and Local Government ,ABBEVILLE ASSOCIATES LTD,"81,975.49"
Department for Communities and Local Government ,CHURCH HOUSE CONFERENCE CENTRE LTD,"81,050.48"
Department for Communities and Local Government ,BAKER ASSOCIATES,"80,628.50"
Department for Communities and Local Government ,PROGRESSIVE COMPUTER RECRUITMENT,"80,097.92"
Department for Communities and Local Government ,CRAGG ROSS DAWSON LTD,"78,302.60"
Department for Communities and Local Government ,KATE MCALLISTER CONSULTANCY LTD,"76,200.33"
Department for Communities and Local Government ,TRANSMEDIA LINK LTD,"75,074.12"
Department for Communities and Local Government ,DTZ DEBENHAM TIE LEUNG LTD,"74,845.21"
Department for Communities and Local Government ,LIFE SAFETY DISTRIBUTION AG,"74,757.06"
Department for Communities and Local Government ,MARCUS LTD,"74,582.13"
Department for Communities and Local Government ,SMITH & WATTS LIMITED,"72,981.52"
Department for Communities and Local Government ,EKOS CONSULTING (UK) LTD,"70,918.36"
Department for Communities and Local Government ,OUTREACH ORGANISATION LTD,"70,782.00"
Department for Communities and Local Government ,HEWLETT PACKARD LTD,"70,746.93"
Department for Communities and Local Government ,ROGER TYM & PARTNERS,"70,684.75"
Department for Communities and Local Government ,DODS PARLIAMENTARY COMM LTD,"69,441.09"
Department for Communities and Local Government ,TEAM BRAND COMM CONSULTANTS LTD,"68,840.01"
Department for Communities and Local Government ,HAYMARKET PUBLISHING SERVICES LTD,"67,888.04"
Department for Communities and Local Government ,VEALE WASBROUGH SOLICITOR,"67,879.74"
Department for Communities and Local Government ,CHANGE INSTITUTE,"67,240.00"
Department for Communities and Local Government ,WHITE YOUNG GREEN,"67,001.87"
Department for Communities and Local Government ,LAPN LTD (LONDON AREA PROCURMNT NET,"66,292.00"
Department for Communities and Local Government ,BACK TO WORK CO LTD,"66,199.41"
Department for Communities and Local Government ,GASTEC AT CRE LTD,"65,406.95"
Department for Communities and Local Government ,OCEAN MEDIA GROUP LTD,"64,982.27"
Department for Communities and Local Government ,HEMSLEY FRASER GROUP LIMITED,"63,559.90"
Department for Communities and Local Government ,TAURUS PRINT & DESIGN LTD,"63,466.26"
Department for Communities and Local Government ,DEVELOPMENT PARTNERSHIP,"63,360.40"
Department for Communities and Local Government ,VEGA GROUP PLC,"62,600.00"
Department for Communities and Local Government ,CERTES COMPUTING LTD,"61,953.54"
Department for Communities and Local Government ,ESP COLOUR LIMITED,"61,856.00"
Department for Communities and Local Government ,TWIN VALLEY HOMES LTD,"60,000.00"
Department for Communities and Local Government ,EMAP COMMUNICATIONS,"59,975.98"
Department for Communities and Local Government ,GRAY PUBLISHING,"59,752.48"
Department for Communities and Local Government ,WTG TECHNOLOGIES LTD,"59,486.45"
Department for Communities and Local Government ,KING STURGE LLP,"58,903.94"
Department for Communities and Local Government ,IECR LTD,"58,783.75"
Department for Communities and Local Government ,CYRIL SWEETT LTD,"58,382.50"
Department for Communities and Local Government ,GARTNER UK LTD,"57,927.50"
Department for Communities and Local Government ,VICTORIA PARK PLAZA,"55,398.71"
Department for Communities and Local Government ,OPINION LEADER RESEARCH,"55,209.78"
Department for Communities and Local Government ,2010 ROTHERHAM LIMITED,"54,945.00"
Department for Communities and Local Government ,UBM INFORMATION LTD,"54,937.11"
Department for Communities and Local Government ,BRITISH URBAN REGENERATION ASSOC,"54,250.28"
Department for Communities and Local Government ,RECRUIT 2 SUIT,"54,017.93"
Department for Communities and Local Government ,DANWOOD GROUP LTD,"53,655.44"
Department for Communities and Local Government ,E C HOPKINS LTD,"53,606.43"
Department for Communities and Local Government ,IPSOS UK,"53,169.99"
Department for Communities and Local Government ,OPEN SPACES LTD,"52,829.40"
Department for Communities and Local Government ,CYCLONE COURIER CO LTD,"52,729.15"
Department for Communities and Local Government ,INSPIRA CONSULTING LTD,"52,221.50"
Department for Communities and Local Government ,EDUSERV TECHNOLOGIES LTD,"51,636.65"
Department for Communities and Local Government ,ST IVES DIRECT LTD,"51,180.15"
Department for Communities and Local Government ,SPSS (UK)LTD,"50,418.89"
Department for Communities and Local Government ,LEITH'S,"50,394.48"
Department for Communities and Local Government ,TUDORSEED LIMITED,"50,296.38"
Department for Communities and Local Government ,SOLCARA LIMITED,"50,140.00"
Department for Communities and Local Government ,LAND DATA CIC,"50,000.00"
Department for Communities and Local Government ,CON-SPACE COMMUNICATIONS UK LTD,"49,797.19"
Department for Communities and Local Government ,PROCSERVE SHARED SERVICES LTD,"49,507.81"
Department for Communities and Local Government ,QAS SYSTEMS LTD,"49,421.96"
Department for Communities and Local Government ,MIDLAND REGIONAL PRINTERS LTD,"48,917.66"
Department for Communities and Local Government ,THISTLE HOTEL LONDON TOWER,"48,198.81"
Department for Communities and Local Government ,REGENERIS CONSULTING LTD,"47,572.81"
Department for Communities and Local Government ,JONES YARRELL LEADENHALL LTD,"47,496.57"
Department for Communities and Local Government ,MARSH LTD,"47,430.99"
Department for Communities and Local Government ,PEARN KANDOLA,"47,404.85"
Department for Communities and Local Government ,FDS INTERNATIONAL LTD,"47,302.50"
Department for Communities and Local Government ,FORMARA LTD,"47,180.19"
Department for Communities and Local Government ,K INTERNATIONAL PLC,"47,094.06"
Department for Communities and Local Government ,NIESR,"46,948.77"
Department for Communities and Local Government ,ROCKPOOLS PEOPLE & PERFORMANCE LTD,"46,431.66"
Department for Communities and Local Government ,RSE CONSULTING LTD,"46,369.69"
Department for Communities and Local Government ,SOLACE ENTERPRISES LTD,"46,125.16"
Department for Communities and Local Government ,BRIDGET SKELTON LTD,"46,062.24"
Department for Communities and Local Government ,MWL PRINT GROUP LTD,"45,997.50"
Department for Communities and Local Government ,WESTDALE PRESS LTD,"45,786.00"
Department for Communities and Local Government ,ZURICH RISK SERVICES,"45,408.85"
Department for Communities and Local Government ,DELOITTE & TOUCHE,"45,054.50"
Department for Communities and Local Government ,JOHN MELVILLE PARTNERSHIP LTD,"43,658.05"
Department for Communities and Local Government ,IKON OFFICE SOLUTIONS PLC,"43,232.91"
Department for Communities and Local Government ,POSFORD HASKONING LTD,"42,624.34"
Department for Communities and Local Government ,DRAEGER SAFETY UK LIMITED,"42,589.25"
Department for Communities and Local Government ,M A NOMINEES LTD,"42,071.66"
Department for Communities and Local Government ,TEMPO GRAPHIC DESIGN LTD,"41,744.41"
Department for Communities and Local Government ,EXPERIOR LTD,"41,719.47"
Department for Communities and Local Government ,PAVER SMITH & CO LTD,"41,656.99"
Department for Communities and Local Government ,SWEET & MAXWELL LTD,"41,647.13"
Department for Communities and Local Government ,CAMARGUE GROUP LIMITED,"41,158.43"
Department for Communities and Local Government ,TEG KENYON LIMITED,"41,100.00"
Department for Communities and Local Government ,CONNECT PUBLIC AFFAIRS LTD,"40,920.37"
Department for Communities and Local Government ,IRIS CONSULTING (UK) LTD,"40,825.00"
Department for Communities and Local Government ,FUJITSU SERVICES,"40,708.49"
Department for Communities and Local Government ,HQN LTD,"40,025.75"
Department for Communities and Local Government ,FIRE & RISK MANAGEMENT SUPPORT SERV,"39,420.50"
Department for Communities and Local Government ,PROQUEST INFORMATION & LEARNING,"38,978.63"
Department for Communities and Local Government ,ON DEMAND PR AND MARKETING,"38,829.00"
Department for Communities and Local Government ,RESCUE TECHNOLOGIES DIV OF ZUMRO BV,"38,814.80"
Department for Communities and Local Government ,GUARDIAN NEWS & MEDIA LTD,"38,681.10"
Department for Communities and Local Government ,ONTRAC 360 LTD,"38,297.41"
Department for Communities and Local Government ,CORPORATE IT FORUM LTD,"37,778.75"
Department for Communities and Local Government ,HAYLEY CONFERENCE CENTRES,"37,727.50"
Department for Communities and Local Government ,C V S CONSULTANTS,"37,658.76"
Department for Communities and Local Government ,EXPERIAN BUSINESS STRAT(USE 402879),"37,541.25"
Department for Communities and Local Government ,COUNTERPOINT PARTNERSHIP LLP,"37,490.00"
Department for Communities and Local Government ,EDS MEDIA,"37,330.04"
Department for Communities and Local Government ,S A S SOFTWARE LTD,"36,862.60"
Department for Communities and Local Government ,GARDINER & THEOBALD LLP,"36,612.35"
Department for Communities and Local Government ,SCOUT ENTERPRISES (WESTERN) LTD,"36,581.36"
Department for Communities and Local Government ,OPERATIONAL RSEARCH IN HEALTH LTD,"36,520.00"
Department for Communities and Local Government ,COLT TELECOMMUNICATIONS,"36,469.26"
Department for Communities and Local Government ,POGO CREATIVE MARKETING LTD,"36,314.11"
Department for Communities and Local Government ,SENATOR INTERNATIONAL LTD,"36,190.69"
Department for Communities and Local Government ,INSTITUTE OF EDUCATION,"35,587.50"
Department for Communities and Local Government ,E2V TECHNOLOGIES (UK) LTD,"35,538.21"
Department for Communities and Local Government ,CLIVE JACOTINE ASSOCIATES LTD,"35,442.06"
Department for Communities and Local Government ,EDUCE LTD,"35,084.51"
Department for Communities and Local Government ,PARITY SOLUTIONS LTD,"34,983.82"
Department for Communities and Local Government ,BPP PROFESSIONAL EDUCATION LTD,"34,964.53"
Department for Communities and Local Government ,CORINNE FLEMING ASSOCIATES LTD,"34,585.00"
Department for Communities and Local Government ,HILTI (GT BRITAIN) LTD,"34,532.74"
Department for Communities and Local Government ,IT WORLD LTD,"34,020.76"
Department for Communities and Local Government ,TMP (UK) LTD,"33,236.74"
Department for Communities and Local Government ,HBL MEDIA LTD,"32,782.51"
Department for Communities and Local Government ,SOPPTOOVEY CONSULTANCY,"32,560.43"
Department for Communities and Local Government ,HESPERIA VICTORIA UK LTD,"32,558.22"
Department for Communities and Local Government ,SUNDIAL GROUP RE HIGHGATE HOUSE,"32,526.44"
Department for Communities and Local Government ,CONNAUGHT COMPLIANCE SERVICES LTD,"32,470.13"
Department for Communities and Local Government ,NEOPOST LTD,"32,237.32"
Department for Communities and Local Government ,DOLPHIN HOUSE,"32,110.00"
Department for Communities and Local Government ,DC GROUP (UK) LTD,"31,990.79"
Department for Communities and Local Government ,VT METHVEN,"31,786.80"
Department for Communities and Local Government ,CELERITAS UK LTD,"31,711.31"
Department for Communities and Local Government ,CENTRAL HALL WESTMINSTER LTD,"31,664.66"
Department for Communities and Local Government ,BRITISH STANDARDS INSTITUTION,"31,477.19"
Department for Communities and Local Government ,PITNEY BOWES PURCHASE POWER,"31,160.45"
Department for Communities and Local Government ,YOUGOV PLC,"30,681.25"
Department for Communities and Local Government ,FRONTRANGE SOLUTIONS UK LTD,"30,459.91"
Department for Communities and Local Government ,THAMES WATER,"30,401.94"
Department for Communities and Local Government ,ATISREAL LIMITED,"30,383.31"
Department for Communities and Local Government ,FLEXIFORM BUSINESS FURNITURE LTD,"30,281.48"
Department for Communities and Local Government ,HARPER RESOURCING LTD,"30,271.40"
Department for Communities and Local Government ,SOCITM LTD,"30,253.22"
Department for Communities and Local Government ,ARTEMIS INTERNATIONAL CORP LTD,"30,203.12"
Department for Communities and Local Government ,NETFUNDI LTD,"30,142.56"
Department for Communities and Local Government ,ENVIRONMENTAL RESOURCES MGMT LTD,"30,100.00"
Department for Communities and Local Government ,CLICKS AND LINKS LTD,"29,859.36"
Department for Communities and Local Government ,DX NETWORK SERVICES LTD,"29,435.54"
Department for Communities and Local Government ,OXFORD ECONOMICS LTD,"29,210.00"
Department for Communities and Local Government ,DOW JONES REUTERS BUS INTERACTIVE L,"29,153.12"
