FREEDOM OF INFORMATION,,
MOD Requests to 29 July 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
08-07-2011-160657-007,05/08/2011,Please advise on the duration and cost of the visit to Cyprus in November 2010 of the Honourable Mr Justice Teare to administer the Oath of Allegiance and the Oath of Service to Air Vice-Marshal Graham Stacey on taking up the office of Sovereign Base Area Administrator on Cyprus.
08-07-2011-171845-008,05/08/2011,Please provide a copy of the schedule recording on the condition of Fulmer House. 
11-07-2011-082245-001,05/08/2011,Please advise and provide details and information to various questions regarding smoke grenades from Chemring to MOD. 
11-07-2011-102835-001,05/08/2011,Please provide mission reports and information relating to Tornado GR1 operations from RAF Bruggen during Allied Force missions against Serbia.
11-07-2011-103649-002,05/08/2011,Please advise on the number of times various types of restraining powers has been used under Operation Helvetic.
11-07-2011-110353-001,03/08/2011,Please provide a copy of AWE's Strategy for the Management and Disposal of Low Activity Solid Wastes (REF: AWE/ EDMS1/80155913/B/WM206) along with any supplements or updates.
11-07-2011-110857-002,03/08/2011,"Please provide copies of the protocols agreed between AWE and Royal Berkshire Fire and Rescue Service in relation to notification, attendance, site access and fire fighting in the event of a fire at the Atomic Weapons Establishment site. "
11-07-2011-113708-003,29/07/2011,Please provide service record details for xxxxxx.
11-07-2011-115430-004,08/08/2011,Please provide a list of contracts for services or equipment between the MOD and SMAE institute company number: 02690497.
11-07-2011-115815-005,08/08/2011,Please provide information on any bid for MOD contracts by SMAE institute company number: 02690497 made between 1 May 2010 and 11 July 2011.
11-07-2011-120124-006,08/08/2011,Please provide a list of contracts for services or equipment between the MOD and PODIA CARE company number: 02157223.
11-07-2011-120509-007,08/08/2011,Please provide information on any bid for MOD contracts by PODIA CARE company number: 02157223 made between 1 May 2010 and 11 July 2011.
11-07-2011-120516-008,08/08/2011,Please advise on the MOD pensions paid from the MOD's budget.
11-07-2011-132034-009,05/08/2011,"Please advise and provide copies of all correspondence regarding the consideration given to the possibility of allowing British merchant vessels to carry armed guards as a deterrent against piracy, particularly in the Indian Ocean, since April 2011."
11-07-2011-132626-010,05/08/2011,"Please provide confirmation of the median salary of FTE staff of AA - SCS grades as applied respectively on 31 March 2005, 2006, 2007, 2008, 2009, 2010 and 2011. "
11-07-2011-145706-011,01/08/2011,Please provide information of the mental health of veterans in the South West.
11-07-2011-145850-012,05/08/2011,Please provide historical information on HMS Churchill.
11-07-2011-150540-013,05/08/2011,Please advise on the number of British (those with NI numbers) Nuclear Test Participants still alive as of 1 July 2011. 
11-07-2011-150611-014,05/08/2011,Please advise and provide statistical information on the number of amputees from 2001 - present.
11-07-2011-151231-015,05/08/2011,Please provide a copy of the recent QinetiQ report on the potential for helicopter losses in Afghanistan until the end of the current conflict.
11-07-2011-151536-016,05/08/2011,"Please advise and provide information and details on helicopter accidents and incidents, during the past ten years, where loss of visual acuity (brownout, whiteout etc) was either the cause or a contributory factor. "
11-07-2011-152226-017,05/08/2011,"Please advise on the number of MOD employees working for the 'Service Children's Education' who have taken up their appointment in British Forces Germany, on or after the 1 September 2001 but before the 1 September 2005, who still receive free accommodation in Service Family Accommodation British Forces Germany."
11-07-2011-152757-018,05/08/2011,Please provide historical information on the Royal Engineers. 
11-07-2011-153529-019,05/08/2011,Please advise and provide information and details to various questions about the Defence Recovery Capability and Charitable donations. 
11-07-2011-154051-020,05/08/2011,Please advise and provide copies of any documents used to provide training and instruct staff on presentational style while appearing on television.
11-07-2011-154915-021,05/08/2011,"Please provide copies of all documentation that reference ""stratospheric aerosol injection"" and ""low-level cloud `whitening'"". "
11-07-2011-155824-022,08/08/2011,Please provide information and details on all ICT contracts relating to mobiles phones.
11-07-2011-160507-023,08/08/2011,Please provide information and details on all ICT contracts relating to mobiles phones.
11-07-2011-163630-024,08/08/2011,Please provide copies of all documentation into the review of over-payments for xxxxxx.
11-07-2011-165215-026,08/08/2011,"Please advise and provide information into the numbers of personnel deployed overseas, using the Military Balance."
12-07-2011-113204-002,09/08/2011,Please advise and provide information on the UK-Glasgow:Management Partner for Defence Business Services (Ref: 96121-2011) contract.
12-07-2011-113622-003,09/08/2011,Please provide a copy of D/DAO/14/3/5 dated Oct 1998 mentioned in the Haddon-Cave report.
12-07-2011-121626-004,09/08/2011,Please provide details of the staffing of the MOD's communications teams including those who have left and those who has joined since the last General Election.
12-07-2011-145821-006,09/08/2011,"Please provide details of all payments of £10,000 or greater that have been made to named suppliers (corporations or individuals) in 2006, 2007. 2008, 2009, 2010 and 2011."
12-07-2011-164737-007,09/08/2011,Please provide information on the Afghanistan National Army.
13-07-2011-102714-001,09/08/2011,"Please provide a list of (independently-owned) companies who provide training and education, accreditation and professional development in the Military sector in the UK."
13-07-2011-102810-001,09/08/2011,Please provide information on HMS Blue Sky.
13-07-2011-103959-001,09/08/2011,Please advise and provide a breakdown of the excess liability of 1020 officers in the Armed Forces.
13-07-2011-112745-002,09/08/2011,Please provide a hard copy of the patrol report for the HMS Conqueror.
13-07-2011-114013-003,10/08/2011,Please advise and provide information to various questions regarding the percentage of GDP spent on defence.
13-07-2011-114204-001,09/08/2011,Please advise and provide information to various questions about RAF Communications System Analyst (Voice).
13-07-2011-114745-004,10/08/2011,Please advise on the storage procedure of MDP officers' firearms when officers are not on duty.
13-07-2011-120506-005,10/08/2011,Please advise on the reasons for the authorisation given to award the dispensation on the military overspend of approximately £160M in 2009/10.
13-07-2011-135924-006,03/08/2011,Please provide a copy of the interview record undertaken by an Immigration Officer at Eaton House Immigration Centre for xxxxxx on 21 June 2011.
13-07-2011-140936-007,09/08/2011,Please advise and provide information to various questions about bonus awarded to Met Office personnel . 
13-07-2011-143812-008,10/08/2011,Please advise and provide information and details on all military working dogs that have been destroyed or died in service in the last three years.
13-07-2011-144102-002,10/08/2011,Please provide information and details on the numbers of members of the Household Division that have been charged and convicted of criminal offences.
13-07-2011-144300-009,10/08/2011,Please advise whether the Operation Allowance is administered to servicemen and women in NATO operations outside Afghanistan and Libya.
13-07-2011-145105-010,10/08/2011,"Please provide information on Westonzoyland Airfield, Bridgewater, Somerset."
13-07-2011-145644-011,10/08/2011,"Please advise, and provide information to various questions, on the contract MOD have with CTP (Right Management Ltd) that runs until 2015."
13-07-2011-150451-012,05/08/2011,Please advise on the wood and lining material used to make military coffins.
13-07-2011-152636-013,10/08/2011,Please advise on systems and civil emergency contingency procedures in place for the UK.
13-07-2011-153815-014,10/08/2011,"Please advise, and provide information, to various questions about the MOD Construction Frameworks announced in January 2011."
13-07-2011-154152-015,10/08/2011,"Please provide a copy of the original documents detailing the radiation surveys undertaken on Christmas Island prior to, during and post Atomic and Nuclear testing up to the present day."
14-07-2011-101422-001,10/08/2011,Please provide a copy of Specification UK/SC/4981 - Royal Marine and other cap badges.
14-07-2011-092708-001,22/06/2011,Please provide details of the number of consignments dispatched through the Defence/GFTS interface.
14-07-2011-112309-001,04/08/2011,"Please provide a breakdown, along with details, of the latest figures for UK deaths in Afghanistan. "
14-07-2011-114414-001,10/08/2011,Please provide information and details on meetings held between senior MOD officials and Andy Coulson between 12 May 2010 and 1 February 2011.
14-07-2011-114902-002,10/08/2011,Please advise on the total cost of training and compensation of RAF Student Pilots who have been deselected from Flying Training and either made redundant or re-branched.
14-07-2011-115708-003,10/08/2011,"Please advise, and provide information to various questions, on the Royal Naval Reserve (RNR) and visits to the US in 2010 and 2011."
14-07-2011-120535-004,11/08/2011,"Please advise, and provide information to various questions, on MOD Equality Impact Assessments between 1997 and 2010. "
14-07-2011-130930-005,11/08/2011,"Please provide details of any discussions that took place, regarding Gerald Howarth's meeting at the EDA on 30 June, in particular concerning offsets and/or industrial participation under EC Directive 2009/81, which comes into force August 21 2011. "
14-07-2011-141340-001,05/08/2011,"Please advise, and provide information and details, about the Squirrel helicopter accident on 29 May 2008. "
14-07-2011-145812-001,05/08/2011,"Please advise, and provide information and details, on the number of MOD police officer offered VERS."
14-07-2011-150024-006,11/08/2011,"Please advise, and provide information, on the Eddystone - IMO number 9234070 - (operated by the MOD) docked in Mombasa, Kenya on 11 July with a shipment of arms. "
14-07-2011-151919-007,11/08/2011,Please provide copies of the operational orders and debriefing documents/situational reports on military operations against the PIRA during the 1970s and 1980s. 
14-07-2011-152338-008,11/08/2011,Pleas provide information on the total number of staff (excluding PAYE employees) that appear in the MOD's staff directory who conducting business or providing office or accounts in the MOD.
14-07-2011-152657-002,11/08/2011,"Please advise, and provide information and details, to various questions regarding staff in the RDP."
14-07-2011-152951-009,11/08/2011,Please advise on the total annual cost to the Department on staff who are not PAYE employees.
14-07-2011-153537-010,11/08/2011,Please provide historical information on Strensall Barracks. 
14-07-2011-154249-011,11/08/2011,"Please advise, and provide information and details, on the number of occasions the Secretary of State for Defence has met with executives of, and journalists from, News International and News Corp between 12 May2010 and 13 July 2011."
14-07-2011-154954-012,11/08/2011,Please provide information regarding ministerial discussions with both the EC and the EDA concerning industrial participation or offsets and the EC Directive 2009/81 in the last 6 months.
15-07-2011-095905-001,12/08/2011,"Please advise, and provide information, on the 'core services' that constitute the basis of costs of the RFI awarded to AirTanker plc/AirTanker Services."
15-07-2011-100634-002,12/08/2011,"Please advise, and provide information and details, on the total cost paid out in the settlement of the Royal Irish Home Service Part Time (HSPT) proceedings against the Ministry of Defence."
15-07-2011-101840-003,12/08/2011,Please provide information and details of the last three MOD/HSE JLC Meetings.
15-07-2011-103352-001,12/08/2011,Please provide information on the death of Mary Irene Woods. 
15-07-2011-111725-001,12/08/2011,Please provide historical information on the Royal York Hotel in Ryde.
15-07-2011-112549-002,11/08/2011,Please advise on the public accessibility of DTR PFI information from March - September 2010.
15-07-2011-134948-004,12/08/2011,"Please advise, and provide information, on the total value of assets held in Industry (at Defence contractors) and at companies that have failed a MOD audit."
15-07-2011-135733-005,12/08/2011,"Please advise, and provide information, on what will happen to fallout bunkers in the Scottish Highlands."
15-07-2011-144815-001,11/08/2011,Please advise on the location of monthly reports sent back to the DRAC in the 1950s.
15-07-2011-161817-006,12/08/2011,Please provide a copy of the Chinook Mull of Kintyre report.
18-07-2011-090855-001,12/08/2011,Please provide a copy of Vol. One of the TP1 AWE plan.
18-07-2011-094755-001,15/08/2011,Please advise and provide details and information to various questions regarding successful requests that have been made to DE&S for food and clothing that have cost more than £100 to fulfil from January 2009 - July 2011 inclusive.
18-07-2011-102328-001,15/08/2011,Please provide a copy of ATC fieldcraft manual (ACP 16).
18-07-2011-104950-002,15/08/2011,Please advise on the cost and the total number of days taken sick at Aldergrove from Defence Infrastructure Organisation (DIO) Northern Ireland and its predecessor Defence Estates in the last three years.
18-07-2011-105758-003,15/08/2011,Please advise on the cost and the total number of days taken sick at Ballykinler from Defence Infrastructure Organisation (DIO) Northern Ireland and its predecessor Defence Estates in the last three years.
18-07-2011-110518-002,12/08/2011,Please provide details of information held or exchanged during 2011 and 2011 relating to potential radar mitigation for Wester Dod Windfarm in East Lothian/Scottish Borders. 
18-07-2011-111227-003,12/08/2011,"Please provide details of information held or exchanged relating to Rowntree Windfarm, Scottish Borders. "
18-07-2011-111740-004,15/08/2011,Please advise on the cost and the total number of days taken sick at Thiepval Barracks from Defence Infrastructure Organisation (DIO) Northern Ireland and its predecessor Defence Estates in the last three years.
18-07-2011-112126-005,15/08/2011,Please advise on the cost and the total number of days taken sick at Palace Barracks from Defence Infrastructure Organisation (DIO) Northern Ireland and its predecessor Defence Estates in the last three years.
18-07-2011-114641-004,15/08/2011,Please advise on the availability of files with reference:DEFE 19/36 - Assistant Chief Scientific Adviser (Nuclear): Nuclear Intelligence.
18-07-2011-115134-001,12/08/2011,Please advise and provide information and details to various questions about conditions faced by Afghan interpreters.
18-07-2011-145400-006,15/08/2011,Please provide historical information on the Royal Artillery. 
18-07-2011-150025-007,15/08/2011,Please provide historical information on General Lindsay.
18-07-2011-150509-008,10/06/2011,"Please provide copies of all correspondence between ministers, officials and lawyers regarding the Atomic Veterans Group Litigation."
18-07-2011-151036-009,15/08/2011,Please advise on the recognition of service for New Zealand military personnel servicing along side British Armed Forces.
18-07-2011-151856-010,15/08/2011,Please advise and provide information and details on the number of security breaches that have occurred in the last five years through use of social networking sites by civilian and Armed Forces personnel.
18-07-2011-152249-011,15/08/2011,"Please provide plans and photographs of Building 39, RAF Bicester."
18-07-2011-153203-012,15/08/2011,"Please provide information held regarding any assessment, correspondence or implications for radar mitigation schemes, such as that for Fallago Rig Windfarm."
18-07-2011-153650-013,15/08/2011,Please advise on the number of individuals in the last five years that have passed the MOD A&DC with dyslexia. 
18-07-2011-161841-014,15/08/2011,Please advise the minister responsible for taking the decision to not award the Kuwait Liberation medal to BAe employees who took part in combat roles with the Royal Saudi Air Force.
18-07-2011-163536-005,17/08/2011,Please provide a breakdown of Nepalese personnel in the Ghurkhas along with their religion.
18-07-2011-163937-015,15/08/2011,Please provide a service and active and reserve breakdown on the size of the UK regular Armed Forces from 1900 to 2011.
19-07-2011-092713-001,08/08/2011,Please advise and provide information and details to various questions regarding civilian personnel working beyond 65 years of age.
19-07-2011-095409-001,15/08/2011,"Please advise, and provide information and details, on MOD's expenditure on Metal Working Fluids in 2007-08, 2008-09, 2009-10 & 2010-11. "
19-07-2011-105638-003,16/08/2011,"Please advise on the percentage of greenhouse gases produced by human activity in UK, as well as overall, as opposed to natural causes (e.g. volcanoes)."
19-07-2011-111615-004,16/08/2011,"Please provide a information and details of transactions made from 2007-8, 2008-9 and 2009-10 for any Apple products."
19-07-2011-112908-001,15/08/2011,Please provide a copy of the business case for the Nuclear Warhead Capability Sustainment Programme and advise on the elements of the reasons for the elements of the project still awaiting approval.
19-07-2011-120155-005,16/08/2011,"Please provide copies of all decisions made by Boards of Enquiry and Service Inquiries, during the last 10 years, on applications for Redress of Complaints regarding wrongful discharge, harassment and/or discrimination."
19-07-2011-131213-002,10/06/2011,"Please advise, and provide information and details, on the number of personnel holding 5 star rank in the British Armed Forces. "
19-07-2011-143158-006,16/08/2011,Please provide information on the MOD's IT usage policy.
19-07-2011-145142-003,15/08/2011,Please advise on the benchmarked weighting score for a successful VERS application in the PPPA. 
19-07-2011-163716-008,16/08/2011,Please advise on the content of Para 380 of Queen's Regulations 1975.
19-07-2011-164516-009,16/08/2011,"Please advise on domestic abuse incidences carried out by Army personnel returning from conflict, how this is received by the MOD, and the help available.  "
19-07-2011-165553-002,16/08/2011,Please advise on the  Army's policy for tolerating personnel belonging to far right wing organisations such as the BNP or EDL.
20-07-2011-095056-001,05/08/2011,"Please provide a copy of ref no. R0001C94E An Unmanned Combat Air Systems Concept of Use dated 2008, "
20-07-2011-095655-002,08/08/2011,Please provide information and details of all ICT contracts relating to mobiles phones.
20-07-2011-113522-003,16/08/2011,Please provide information and details about the Amazon Class Type 21 Frigates.
20-07-2011-114203-004,16/08/2011,"Please advise and provide information and details to various questions regarding compensations paid out to Afghans and the families of members of the Armed Forces killed in Afghanistan, since the conflict began."
20-07-2011-115318-001,08/08/2011,Please provide details and information of all ICT contracts relating to mobile phones.
20-07-2011-145157-005,17/08/2011,Please provide a full breakdown of the costs of scrapping the Nimrod MRA4.
20-07-2011-152250-007,17/08/2011,"Please advise on the accessibility of file AIR 29/3881 'No.26 SU RAF Gatow Jan66-Dec1970', along with any other information that refer to 26 Signals Unit from 1970-73, or to Teuflesberg at this time."
20-07-2011-152818-008,16/08/2011,"Please advise, and provide information and details, on monies paid out in payment bonus to staff in FY 2008/2009, 2009/2010, and 2010/2011."
20-07-2011-153650-009,17/08/2011,"Please provide details for any documents that constitute, form or represent a budget plan for FY2011-12 that state the gross revenue expenditure for the Ministry of Defence Police."
20-07-2011-154611-010,17/08/2011,Please advise and provide information on the methodology used to conduct the foresight exercise into Global Strategic Trends.
20-07-2011-155302-011,17/08/2011,Please provide information and details on the average and median length of service for officers in the Royal Engineers.
20-07-2011-155440-002,17/08/2011,Please advise on the number of people killed and injured by IEDs throughout the Afghanistan campaign.
20-07-2011-161038-012,16/08/2011,"Please advise, and provide information and details, on the purchase of protective footwear/ice pleats in the last three years."
20-07-2011-165135-013,17/08/2011,Please advise on the accessibility of JSP 822 - Defence Manual of Training Management.
21-07-2011-090007-001,16/08/2011,Please provide copies of various reports regarding women at sea.
21-07-2011-091832-001,18/08/2011,Please provide a copy of the latest up-to-date timetable for planning applications yet to be submitted for developments at Atomic Weapons Establishment sites.
21-07-2011-104134-001,17/08/2011,Please advise and provide information on large cat sightings within MOD premises.
21-07-2011-111554-002,18/08/2011,Please advice on the level of medical diagnostic treatment nuclear veterans are permitted to receive under the 'military covenant'.
21-07-2011-112535-003,18/08/2011,"Please provide an up-to-date may list and information and details of subcontractors, contractors and suppliers that have been scheduled to work on the project Military Camp in Plumer Road, Catterick Garrison. "
21-07-2011-113629-004,18/08/2011,Please provide details on which regiments provided the FIRIC following A Coy 1 Yorkshire's tour in April 201 - present.
21-07-2011-144439-006,18/08/2011,Please advise whether the MOD has ever attempted to recruit or employed former Irish terrorists to assist the quality of training of military bomb disposal operators.  
21-07-2011-120221-001,19/07/2011,Please provide information on the projects of the MARS Tanker project.
21-07-2011-145331-007,18/08/2011,"Please provide information and details on Pilot Officer Sidney John Bunn, Sergeant Harry Hardwicke, Sergeant Roy Venables "
21-07-2011-150653-008,18/08/2011,Please provide information and details of all conferences held by the Defence Infrastructure Organisation in venues not owned by the MOD since its launch in April.
21-07-2011-151401-009,18/08/2011,Please provide details of any information relating to or written by xxxxxx 
21-07-2011-151711-010,18/08/2011,Please provide details of any information relating to or written by xxxxxx. 
