Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,THREE RIVERS DC,,,,5000172516,Grant Payable by Exchequer,"15,006.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,THURROCK  BOROUGH COUNCIL,,,,5000172517,Grant Payable by Exchequer,"143,392.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TORBAY BC,,,,5000172518,Grant Payable by Exchequer,"153,927.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TRAFFORD MBC,,,,5000172519,Grant Payable by Exchequer,"220,068.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CITY OF WAKEFIELD MDC,,,,5000172520,Grant Payable by Exchequer,"280,117.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WALSALL MBC,,,,5000172521,Grant Payable by Exchequer,"272,454.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WALTHAM FOREST LB,,,,5000172522,Grant Payable by Exchequer,"218,558.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WANDSWORTH LB,,,,5000172523,Grant Payable by Exchequer,"119,623.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WARRINGTON BC,,,,5000172524,Grant Payable by Exchequer,"199,358.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WARWICK,,,,5000172525,Grant Payable by Exchequer,"19,555.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WARWICKSHIRE COUNTY CNCL,,,,5000172526,Grant Payable by Exchequer,"581,676.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WATFORD COUNCIL,,,,5000172527,Grant Payable by Exchequer,"20,469.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WELLINGBOROUGH,,,,5000172528,Grant Payable by Exchequer,"7,981.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST BERKSHIRE COUNCIL,,,,5000172529,Grant Payable by Exchequer,"198,299.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST LANCASHIRE BC,,,,5000172530,Grant Payable by Exchequer,"17,309.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST SUSSEX CC,,,,5000172531,Grant Payable by Exchequer,"950,653.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WESTMINSTER CITY CNCL,,,,5000172532,Grant Payable by Exchequer,"122,805.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEYMOUTH & PORTLAND BC,,,,5000172533,Grant Payable by Exchequer,"15,385.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WIGAN MBC,,,,5000172534,Grant Payable by Exchequer,"282,985.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WIRRAL MBC,,,,5000172535,Grant Payable by Exchequer,"328,585.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WOKING BC,,,,5000172536,Grant Payable by Exchequer,"20,863.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WOKINGHAM DC,,,,5000172537,Grant Payable by Exchequer,"196,240.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WOLVERHAMPTON MBC,,,,5000172538,Grant Payable by Exchequer,"233,795.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WORCESTER CITY CNCL,,,,5000172539,Grant Payable by Exchequer,"13,370.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WORCESTERSHIRE COUNTY COUNCIL,,,,5000172540,Grant Payable by Exchequer,"546,533.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WORTHING BC,,,,5000172541,Grant Payable by Exchequer,"20,977.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WYRE FOREST DISTRICT COUNCIL,,,,5000172542,Grant Payable by Exchequer,"17,344.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,YORK CITY CNCL,,,,5000172543,Grant Payable by Exchequer,"182,831.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHESHIRE POLICE AUTHORITY (RSG),,,,5000172544,Grant Payable by Exchequer,"136,143.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CLEVELAND POLICE AUTHORITY,,,,5000172545,Grant Payable by Exchequer,"79,999.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CUMBRIA POLICE AUTHORITY (RSG),,,,5000172546,Grant Payable by Exchequer,"85,781.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DERBYSHIRE POLICE AUTHORITY (RSG,,,,5000172547,Grant Payable by Exchequer,"135,401.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DORSET POLICE AUTHORITY (RSG),,,,5000172548,Grant Payable by Exchequer,"133,051.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE CONSTABULARY (RS,,,,5000172549,Grant Payable by Exchequer,"111,675.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER LONDON AUTHORITY (RSG),,Large,,5000172093,Grant Payable by Exchequer,"717,804.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER MANCHESTER FIRE (RSG),,,,5000172094,Grant Payable by Exchequer,"166,185.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER MANCHESTER FIRE (RSG),,,,5000172550,Grant Payable by Exchequer,"105,787.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER MANCHESTER POL AUTH (RSG,,,,5000172551,Grant Payable by Exchequer,"289,996.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT POLICE AUTHORITY,,,,5000172552,Grant Payable by Exchequer,"220,349.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,,,,5000172095,Grant Payable by Exchequer,"95,242.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MERSEYSIDE FIRE & RESCUE SERVICE,,,,5000172553,Grant Payable by Exchequer,"68,105.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORFOLK POLICE AUTHORITY (RSG),,,,5000172554,Grant Payable by Exchequer,"142,790.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHUMBRIA POLICE AUTH (RSG),,,,5000172555,Grant Payable by Exchequer,"91,192.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTINGHAMSHIRE POLICE AU (RSG),,,,5000172556,Grant Payable by Exchequer,"133,210.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH YORKSHIRE FIRE & CD (RSG),,,,5000172096,Grant Payable by Exchequer,"8,727.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH YORKSHIRE FIRE & CD (RSG),,,,5000172557,Grant Payable by Exchequer,"57,699.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SUFFOLK COUNTY CNCL (RSG),,,,5000172097,Grant Payable by Exchequer,"7,743.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SUSSEX POLICE AUTHORITY,,,,5000172558,Grant Payable by Exchequer,"217,552.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,THAMES VALLEY POLICE AUTHORITY (,,,,5000172559,Grant Payable by Exchequer,"337,241.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TYNE & WEAR FIRE AUTHORITY (RSG),,,,5000172098,Grant Payable by Exchequer,"91,441.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TYNE & WEAR FIRE AUTHORITY (RSG),,,,5000172560,Grant Payable by Exchequer,"59,758.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST MIDLANDS FIRE & CIVIL DEFENCE,,,,5000172100,Grant Payable by Exchequer,"96,204.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST MIDLANDS FIRE & CIVIL DEFENCE,,,,5000172562,Grant Payable by Exchequer,"95,773.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WILTSHIRE POLICE (RSG),,,,5000172563,Grant Payable by Exchequer,"99,055.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BUCKS & MILTON KEYNES FIRE AUTH,,,,5000172101,Grant Payable by Exchequer,"82,765.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BUCKS & MILTON KEYNES FIRE AUTH,,,,5000172564,Grant Payable by Exchequer,"43,870.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX FIRE AUTHORITY,,Large,,5000172102,Grant Payable by Exchequer,"92,148.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX FIRE AUTHORITY,,Large,,5000172565,Grant Payable by Exchequer,"107,231.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ROYAL BERKSHIRE FIRE AUTHORITY,,,,5000172103,Grant Payable by Exchequer,"15,613.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ROYAL BERKSHIRE FIRE AUTHORITY,,,,5000172566,Grant Payable by Exchequer,"46,498.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CLEVELAND FIRE AUTHORITY,,Medium,,5000172104,Grant Payable by Exchequer,"12,081.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CLEVELAND FIRE AUTHORITY,,Medium,,5000172567,Grant Payable by Exchequer,"27,244.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,,,5000172105,Grant Payable by Exchequer,"7,245.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,,,5000172568,Grant Payable by Exchequer,"56,143.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,Large,,5000172106,Grant Payable by Exchequer,"98,717.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,Large,,5000172569,Grant Payable by Exchequer,"107,966.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHESHIRE FIRE AUTHORITY,,,,5000172107,Grant Payable by Exchequer,"12,180.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHESHIRE FIRE AUTHORITY,,,,5000172570,Grant Payable by Exchequer,"62,575.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,,,,5000172108,Grant Payable by Exchequer,"10,926.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,,,,5000172571,Grant Payable by Exchequer,"40,017.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,STAFFORDSHIRE  FIRE & RESCUE SERV,,,,5000172109,Grant Payable by Exchequer,"21,262.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,STAFFORDSHIRE  FIRE & RESCUE SERV,,,,5000172572,Grant Payable by Exchequer,"60,737.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,,Large,,5000172110,Grant Payable by Exchequer,"20,095.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NOTTS & CITY NOTTINGHAM FIRE AUTH,,Large,,5000172573,Grant Payable by Exchequer,"57,981.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,,Large,,5000172111,Grant Payable by Exchequer,"136,197.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,,Large,,5000172574,Grant Payable by Exchequer,"109,857.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,,Medium,,5000172112,Grant Payable by Exchequer,"9,702.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,,Medium,,5000172575,Grant Payable by Exchequer,"42,763.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HEREFORD WORCESTER FIRE BRIGADE,,Large,,5000172113,Grant Payable by Exchequer,"97,411.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HEREFORD WORCESTER FIRE BRIGADE,,Large,,5000172576,Grant Payable by Exchequer,"51,891.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WILTSHIRE & SWINDON FIRE AUTHORITY,,Large,,5000172114,Grant Payable by Exchequer,"12,838.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WILTSHIRE & SWINDON FIRE AUTHORITY,,Large,,5000172577,Grant Payable by Exchequer,"39,166.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,Large,,5000172115,Grant Payable by Exchequer,"91,829.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,Large,,5000172578,Grant Payable by Exchequer,"74,589.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,COUNTY DURHAM & DARLINGTON,,,,5000172116,Grant Payable by Exchequer,"129,585.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,COUNTY DURHAM & DARLINGTON,,,,5000172579,Grant Payable by Exchequer,"41,684.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DERBYSHIRE FIRE AUTHORITY,,,,5000172117,Grant Payable by Exchequer,"15,790.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DERBYSHIRE FIRE AUTHORITY,,,,5000172580,Grant Payable by Exchequer,"55,545.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DORSET FIRE AUTHORITY,,Large,,5000172118,Grant Payable by Exchequer,"44,658.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DORSET FIRE AUTHORITY,,Large,,5000172581,Grant Payable by Exchequer,"44,638.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,Large,,5000172119,Grant Payable by Exchequer,"95,937.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,Large,,5000172582,Grant Payable by Exchequer,"97,252.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SHROPSHIRE & WREKIN FIRE AUTHORITY,,,,5000172120,Grant Payable by Exchequer,"3,583.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SHROPSHIRE & WREKIN FIRE AUTHORITY,,,,5000172583,Grant Payable by Exchequer,"33,592.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,,,,5000172121,Grant Payable by Exchequer,"213,706.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,,,,5000172584,Grant Payable by Exchequer,"42,465.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX FIRE AUTHORITY,,Large,,5000172122,Grant Payable by Exchequer,"6,570.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX FIRE AUTHORITY,,Large,,5000172585,Grant Payable by Exchequer,"61,685.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,,Large,,5000172123,Grant Payable by Exchequer,"6,145.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH YORKSHIRE FIRE & RESCUE AUTH,,Large,,5000172586,Grant Payable by Exchequer,"46,517.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,AVON FIRE AUTHORITY,,Large,,5000172124,Grant Payable by Exchequer,"106,059.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,AVON FIRE AUTHORITY,,Large,,5000172587,Grant Payable by Exchequer,"55,546.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WILTSHIRE COUNCIL,,,,5000172588,Grant Payable by Exchequer,"547,947.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHUMBERLAND COUNTY COUNCIL,,,,5000172589,Grant Payable by Exchequer,"374,948.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CENTRAL BEDFORDSHIRE COUNCIL,,,,5000172590,Grant Payable by Exchequer,"320,140.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHESHIRE EAST COUNCIL,,,,5000172591,Grant Payable by Exchequer,"446,698.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHESHIRE WEST & CHESTER COUNCIL,,,,5000172592,Grant Payable by Exchequer,"381,176.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BEDFORD UNITARY AUTHORITY,,,,5000172593,Grant Payable by Exchequer,"183,294.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SHROPSHIRE UNITARY AUTHORITY,,,,5000172594,Grant Payable by Exchequer,"322,475.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CORNWALL UNITARY AUTHORITY,,,,5000172595,Grant Payable by Exchequer,"602,468.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DURHAM UNITARY AUTHORITY,,,,5000172596,Grant Payable by Exchequer,"497,176.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLE OF SCILLY FIRE AND RESCUE SERV,,,,5000172134,Grant Payable by Exchequer,916,Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST SUSSEX FIRE AND RESCUE SERVICE,,,,5000172135,Grant Payable by Exchequer,"57,897.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHUMBERLAND FIRE & RESCUE SERV,,,,5000172136,Grant Payable by Exchequer,"10,517.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CORNWALL COUNTY FIRE BRIGADE,,,,5000172137,Grant Payable by Exchequer,"29,952.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CUMBRIA COUNTY COUNCIL,,,,5000172138,Grant Payable by Exchequer,"8,236.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE COUNTY COUNCIL,,,,5000172139,Grant Payable by Exchequer,"9,790.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE CC,,,,5000172140,Grant Payable by Exchequer,"11,854.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLE OF WIGHT COUNCIL,,,,5000172141,Grant Payable by Exchequer,"4,062.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LINCOLNSHIRE CC,,,,5000172142,Grant Payable by Exchequer,"101,120.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORFOLK COUNTY COUNCIL,,,,5000172143,Grant Payable by Exchequer,"82,114.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHAMPTONSHIRE CC,,,,5000172144,Grant Payable by Exchequer,"15,883.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,OXFORDSHIRE CC,,,,5000172145,Grant Payable by Exchequer,"12,696.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SURREY COUNTY COUNCIL,,,,5000172146,Grant Payable by Exchequer,"9,399.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WARWICKSHIRE CC,,,,5000172147,Grant Payable by Exchequer,"3,583.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,AVON & SOMERSET POLICE AUTHORITY,,,,5000172597,Grant Payable by Exchequer,"236,939.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BEDFORDSHIRE POLICE AUTHORITY,,,,5000172598,Grant Payable by Exchequer,"75,094.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CAMBRIDGESHIRE POLICE AUTHORITY,,,,5000172599,Grant Payable by Exchequer,"117,250.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DEVON & CORNWALL POLICE AUTHORITY,,,,5000172600,Grant Payable by Exchequer,"239,225.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DURHAM POLICE AUTHORITY,,,,5000172601,Grant Payable by Exchequer,"72,798.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX POLICE AUTHORITY,,,,5000172602,Grant Payable by Exchequer,"213,298.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE POLICE AUTHORITY,,,,5000172603,Grant Payable by Exchequer,"251,994.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE POLICE AUTHORITY,,,,5000172604,Grant Payable by Exchequer,"166,029.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE POLICE,,,,5000172605,Grant Payable by Exchequer,"119,945.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE POLICE AUTHORITY,,,,5000172606,Grant Payable by Exchequer,"171,409.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICESTERSHIRE POLICE AUTHORITY,,,,5000172607,Grant Payable by Exchequer,"134,947.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LINCOLNSHIRE POLICE AUTHORITY,,,,5000172608,Grant Payable by Exchequer,"105,867.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MERSEYSIDE POLICE AUTHORITY,,,,5000172609,Grant Payable by Exchequer,"153,759.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTHAMPTONSHIRE POLICE AUTH,,,,5000172610,Grant Payable by Exchequer,"113,152.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH YORKSHIRE POLICE AUTHORITY,,,,5000172611,Grant Payable by Exchequer,"153,221.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH YORKSHIRE P A,,,,5000172612,Grant Payable by Exchequer,"126,894.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,STAFFORDSHIRE POLICE AUTHORITY,,,,5000172613,Grant Payable by Exchequer,"159,485.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SUFFOLK POLICE AUTHORITY,,,,5000172614,Grant Payable by Exchequer,"103,030.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SURREY POLICE AUTHORITY,,,,5000172615,Grant Payable by Exchequer,"246,083.00",Yes
