Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Senior Executive Officer (SEO),32311,45985,Not In Post,6.92,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Fast Stream (HEOD),27000,35000,Not In Post,9,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG147,Administrative Officer (AO),19335,25847,Legal Support Officer,3,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG147,Executive Officer (EO),22279,31225,Legal Support Officer,2,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG147,Grade 6 (G6),50203,70375,Senior Legal Adviser,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG147,Grade 7 (G7),40852,57110,Senior Finance Manager,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG147,Higher Executive Officer (HEO),26058,39513,Legal Support Officer,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG148,Grade 6 (G6),50203,70375,Senior Communications Manager,2,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG148,Grade 7 (G7),40852,57110,Senior Communications Manager,1.6,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG148,Grade 7 (G7),40852,57110,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG149,Executive Officer (EO),22279,31225,Diary Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG150,Executive Officer (EO),22279,31225,Diary Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG150,Grade 7 (G7),40852,57110,Senior Analyst,1,Science and Engineering
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG151,Executive Officer (EO),22279,31225,HR Support Officer,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG151,Grade 6 (G6),50203,70375,Senior HR Manager,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG151,Grade 7 (G7),40852,57110,Senior HR Manager,2,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG151,Higher Executive Officer (HEO),26058,39513,HR Officer,5,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG151,Fast Stream (HEOD),27000,35000,HR Officer,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,16.36,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Executive Officer (EO),22279,31225,Finance Support Officer,26.98,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Grade 7 (G7),40852,57110,Senior Finance Manager,4,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Higher Executive Officer (HEO),26058,39513,Finance Officer,30.98,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Senior Executive Officer (SEO),32311,45985,Finance Officer,16.63,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG198,Executive Officer (EO),22279,31225,Finance Support Officer,3,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG198,Grade 6 (G6),50203,70375,Senior Finance Manager,5,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG198,Grade 7 (G7),40852,57110,Senior Finance Manager,8.63,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG198,Higher Executive Officer (HEO),26058,39513,Finance Officer,13.67,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG198,Senior Executive Officer (SEO),32311,45985,Finance Officer,11,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG198,Senior Executive Officer (SEO),32311,45985,Policy Adviser,1,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG199,Administrative Officer (AO),19335,25847,Diary Manager,1,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG199,Executive Officer (EO),22279,31225,Procurement Officer,0.89,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG199,Executive Officer (EO),22279,31225,Procurement Support Officer,2,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG199,Grade 6 (G6),50203,70375,Senior Procurement Officer,1,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG199,Grade 7 (G7),40852,57110,Senior Procurement Officer,6,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG199,Higher Executive Officer (HEO),26058,39513,Procurement Officer,2.68,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG199,Senior Executive Officer (SEO),32311,45985,Procurement Officer,6.75,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG200,Grade 6 (G6),50203,70375,Senior Finance Manager,1,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG200,Grade 7 (G7),40852,57110,Senior Finance Manager,2,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG200,Grade 7 (G7),40852,57110,Senior Policy Adviser,2,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG200,Higher Executive Officer (HEO),26058,39513,Finance Officer,1,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG200,Senior Executive Officer (SEO),32311,45985,Finance Officer,0.86,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG200,Senior Executive Officer (SEO),32311,45985,Policy Adviser,2,Finance
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Executive Officer (EO),22279,31225,IT Support Officer,2,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Executive Officer (EO),22279,31225,Policy Support Officer,1,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Grade 7 (G7),40852,57110,Senior IT Manager,4,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Higher Executive Officer (HEO),26058,39513,IT Manager,5,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Senior Executive Officer (SEO),32311,45985,IT Manager,2,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Senior Executive Officer (SEO),32311,45985,Knowledge Information Management Manager,2,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Executive Officer (EO),22279,31225,Policy Support Officer,5,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Grade 6 (G6),50203,70375,Senior Policy Adviser,1,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Grade 7 (G7),40852,57110,Senior Information Manager,1,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Grade 7 (G7),40852,57110,Senior Information Manager,2,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Grade 7 (G7),40852,57110,Senior Policy Adviser,3,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Higher Executive Officer (HEO),26058,39513,Knowledge Information Management Manager,2,Information Technology
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Higher Executive Officer (HEO),26058,39513,Policy Adviser,5,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Higher Executive Officer (HEO),26058,39513,Senior Information Manager,1,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Senior Executive Officer (SEO),32311,45985,Knowledge Information Management Manager,1,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Senior Executive Officer (SEO),32311,45985,Policy Adviser,2,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG202,Senior Executive Officer (SEO),32311,45985,Senior Policy Adviser,1,Property and asset management
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG203,Administrative Assistant (AA),15717,21133,Knowledge Information Management Support Officer,1,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG203,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,11.24,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG203,Executive Officer (EO),22279,31225,Knowledge Information Management Support Officer,10.95,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG203,Grade 6 (G6),50203,70375,Senior Information Manager,1,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG203,Grade 7 (G7),40852,57110,Senior Information Manager,2,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG203,Higher Executive Officer (HEO),26058,39513,Knowledge Information Management Manager,5.81,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG203,Senior Executive Officer (SEO),32311,45985,Knowledge Information Management Manager,3,Knowledge and Information Management (KIM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG204,Executive Officer (EO),22279,31225,Internal Audit Support Officer,2,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG204,Executive Officer (EO),22279,31225,Internal Auditor,4,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG204,Grade 7 (G7),40852,57110,Programme Manager,2,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG204,Grade 7 (G7),40852,57110,Senior Internal Auditor,7.73,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG204,Higher Executive Officer (HEO),26058,39513,Internal Auditor,15.81,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG204,Higher Executive Officer (HEO),26058,39513,Office Manager,1,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG204,Senior Executive Officer (SEO),32311,45985,Internal Auditor,1,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG204,Senior Executive Officer (SEO),32311,45985,Senior Internal Auditor,19.41,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG204,Fast Stream (HEOD),27000,35000,Programme Support Officer,1,Internal Audit
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG205,Administrative Officer (AO),19335,25847,HR Support Officer,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG205,Executive Officer (EO),22279,31225,HR Support Officer,3,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG205,Grade 6 (G6),50203,70375,Senior HR Manager,1.83,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG205,Grade 7 (G7),40852,57110,Senior HR Manager,8,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG205,Higher Executive Officer (HEO),26058,39513,HR Officer,9,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG205,Senior Executive Officer (SEO),32311,45985,HR Officer,2,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG206,Administrative Officer (AO),19335,25847,HR Support Officer,3,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG206,Executive Officer (EO),22279,31225,HR Support Officer,2,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG206,Grade 7 (G7),40852,57110,Senior HR Manager,2,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG206,Higher Executive Officer (HEO),26058,39513,HR Officer,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG206,Senior Executive Officer (SEO),32311,45985,HR Officer,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG207,Administrative Assistant (AA),15717,21133,HR Support Officer,0.58,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG207,Grade 7 (G7),40852,57110,HR Officer,0.6,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG207,Grade 7 (G7),40852,57110,Senior HR Manager,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG207,Higher Executive Officer (HEO),26058,39513,HR Officer,2,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG207,Higher Executive Officer (HEO),26058,39513,Programme Support Officer,1,Human Resources
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG208,Administrative Officer (AO),19335,25847,Legal Support Officer,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG208,Grade 6 (G6),50203,70375,Senior Legal Adviser,4.72,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG208,Grade 7 (G7),40852,57110,Senior Legal Adviser,4.57,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG208,Higher Executive Officer (HEO),26058,39513,Legal Adviser,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG208,Senior Executive Officer (SEO),32311,45985,Legal Adviser,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG209,Grade 6 (G6),50203,70375,Senior Legal Adviser,6.65,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG209,Grade 7 (G7),40852,57110,Senior Legal Adviser,4.4,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG209,Higher Executive Officer (HEO),26058,39513,Legal Adviser,2,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG211,Administrative Officer (AO),19335,25847,Legal Support Officer,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG211,Grade 6 (G6),50203,70375,Senior Legal Adviser,6.91,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG211,Grade 7 (G7),40852,57110,Senior Legal Adviser,4.6,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG212,Administrative Officer (AO),19335,25847,Legal Support Officer,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG212,Grade 6 (G6),50203,70375,Senior Legal Adviser,6.37,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG212,Grade 7 (G7),40852,57110,Senior Legal Adviser,3.49,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG212,Higher Executive Officer (HEO),26058,39513,Legal Adviser,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG212,Senior Executive Officer (SEO),32311,45985,Legal Adviser,1,Law
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG213,Executive Officer (EO),22279,31225,Communications Support Officer,5.8,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG213,Grade 6 (G6),50203,70375,Senior Communications Manager,2,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG213,Grade 7 (G7),40852,57110,Senior Communications Manager,7.38,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG213,Higher Executive Officer (HEO),26058,39513,Communications Manager,10.83,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG213,Senior Executive Officer (SEO),32311,45985,Communications Manager,13.78,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG214,Administrative Officer (AO),19335,25847,Communications Support Officer,1,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG214,Executive Officer (EO),22279,31225,Communications Support Officer,6,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG214,Grade 6 (G6),50203,70375,Senior Communications Manager,1,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG214,Grade 7 (G7),40852,57110,Senior Communications Manager,1,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG214,Higher Executive Officer (HEO),26058,39513,Communications Manager,8.6,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG214,Senior Executive Officer (SEO),32311,45985,Communications Manager,8,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG214,Senior Executive Officer (SEO),32311,45985,Senior Information Manager,1,Communications
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Administrative Officer (AO),19335,25847,Economist,1,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Administrative Officer (AO),19335,25847,Statistical Support Officer,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Executive Officer (EO),22279,31225,Statistical Support Officer,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Executive Officer (EO),22279,31225,Statistician,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Grade 6 (G6),50203,70375,Senior Analyst,1,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Grade 6 (G6),50203,70375,Senior Economist,4,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Grade 6 (G6),50203,70375,Senior Statistician,2,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Grade 7 (G7),40852,57110,Senior Analyst,2,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Grade 7 (G7),40852,57110,Senior Economist,7,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Grade 7 (G7),40852,57110,Senior Statistician,5.75,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Higher Executive Officer (HEO),26058,39513,Statistician,3,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Senior Executive Officer (SEO),32311,45985,Analyst,1.83,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Senior Executive Officer (SEO),32311,45985,Statistician,2,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Fast Stream (HEOD),27000,35000,Analyst,1,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Fast Stream (HEOD),27000,35000,Economist,6,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG215,Fast Stream (HEOD),27000,35000,Statistician,1.69,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG216,Grade 7 (G7),40852,57110,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG216,Grade 7 (G7),40852,57110,Senior Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG216,Senior Executive Officer (SEO),32311,45985,Analyst,1,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG216,Senior Executive Officer (SEO),32311,45985,Programme Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG216,Senior Executive Officer (SEO),32311,45985,Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG216,Fast Stream (HEOD),27000,35000,Policy Support Officer,2,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Administrative Officer (AO),19335,25847,Diary Manager,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Administrative Officer (AO),19335,25847,Economist,1,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Executive Officer (EO),22279,31225,Policy Support Officer,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Executive Officer (EO),22279,31225,Procurement Support Officer,1,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Grade 6 (G6),50203,70375,Senior Economist,1,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Grade 7 (G7),40852,57110,Senior Analyst,2,Social Research
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Grade 7 (G7),40852,57110,Senior Economist,7,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Grade 7 (G7),40852,57110,Senior Policy Adviser,1,Policy
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Grade 7 (G7),40852,57110,Senior Procurement Officer,1,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Higher Executive Officer (HEO),26058,39513,Procurement Support Officer,1,Procurement
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Higher Executive Officer (HEO),26058,39513,Programme Support Officer,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Higher Executive Officer (HEO),26058,39513,Statistician,1,Statisticians
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Senior Executive Officer (SEO),32311,45985,Economist,0.83,Economics
Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG217,Fast Stream (HEOD),27000,35000,Economist,4,Economics
