Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Travel,Commercial,GREATER LONDON HIRE LTD,11488,364.9
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2010,Cost of Sales - Freelance Technicians,Interface,A PERTON SIGNS LIMITED,11489,440
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2010,Cost of Sales - Sets,Interface,A PERTON SIGNS LIMITED,11489,5978
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2010,Cost of Sales - Signage,Interface,A PERTON SIGNS LIMITED,11489,5502
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2010,Marketing,Commercial,A PERTON SIGNS LIMITED,11489,81
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2010,Security,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11493,2260.08
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2010,Cost of Sales - Contract Labour,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11493,2378.34
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2010,Marketing,Commercial,ANISEED PR LTD,11495,2000
Communities And Local Government,Queen Elizabeth II Conference Centre,09/06/2010,Marketing,Commercial,Marmalade On Toast,11497,500
Communities And Local Government,Queen Elizabeth II Conference Centre,10/06/2010,Cost of Sales - Commission,Commercial,Ingenium-SE Limited,11499,1174.5
Communities And Local Government,Queen Elizabeth II Conference Centre,11/06/2010,Maintenance,Operations,FURNITURE @ WORK LTD,11504,2120.42
Communities And Local Government,Queen Elizabeth II Conference Centre,11/06/2010,Building Improvements,Operations,LIME,11512,19729
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,IT & Telecom Equipment,Operations,ANNODATA BUSINESS COMMUNICATIO,11519,5629.6
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Cost of Sales - Freelance Technicians,Interface,MATT PHILLIPS,11524,1063
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Cost of Sales - Freelance Technicians,Interface,CHRISTOPHER SHEAD T/A Global Idea,11525,1327
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,IT Equipment Maintenance,ITC Department,BARCLAYCARD PROCUREMENT CARD,11528,3947.3
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Travel,ITC Department,BARCLAYCARD PROCUREMENT CARD,11528,40
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Internet & Telecomms,ITC Department,BARCLAYCARD PROCUREMENT CARD,11528,60.87
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Stationery,Event Management,BARCLAYCARD PROCUREMENT CARD,11528,73.4
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Internet & Telecomms,Interface,BARCLAYCARD PROCUREMENT CARD,11528,172.5
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Cost Of Sales - Consumables,Business Centre,BARCLAYCARD PROCUREMENT CARD,11528,84.94
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Cost of Sales - Equipment Hire,ITC Department,BARCLAYCARD PROCUREMENT CARD,11528,32.62
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Staff Welfare,Administration,BARCLAYCARD PROCUREMENT CARD,11528,7.36
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,11528,748.09
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Cost of Sales - Equipment Hire,Interface,BARCLAYCARD PROCUREMENT CARD,11528,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Published Material,Operations,BARCLAYCARD PROCUREMENT CARD,11528,156.95
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Travel,Interface,BARCLAYCARD PROCUREMENT CARD,11528,60
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Internet & Telecomms,Event Management,BARCLAYCARD PROCUREMENT CARD,11528,100
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Maintenance,Interface,BARCLAYCARD PROCUREMENT CARD,11528,279.8
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,11528,6.38
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Travel,Interface,BARCLAYCARD PROCUREMENT CARD,11528,148.67
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Maintenance,Operations,DATAFORT,11529,5000
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Maintenance,Operations,DULUX DECORATOR CENTRE,11531,936.11
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11532,1777.4
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11534,1035.58
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Marketing,Commercial,VERIZON UK LIMITED,11537,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Internet & Telecomms,ITC Department,VERIZON UK LIMITED,11537,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,14/06/2010,Cost of Sales - Equipment Hire,ITC Department,VERIZON UK LIMITED,11538,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,15/06/2010,Cost of Sales - Equipment Hire,Interface,LOCK ON PRODUCTIONS LTD,11542,3102.5
Communities And Local Government,Queen Elizabeth II Conference Centre,15/06/2010,Audio Equipment,Interface,FELTECH ELECTRONICS LTD,11544,3387.5
Communities And Local Government,Queen Elizabeth II Conference Centre,15/06/2010,Cost of Sales - Equipment Hire,Interface,PORTAPROMPT LTD,11546,440
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2010,Gas,Operations,CORONA ENERGY,11555,5100.72
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2010,Cost of Sales - Freelance Technicians,Interface,DENE UNSWORTH,11556,1326
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2010,Agency Labour,Commercial,EXPRESS STAFFING SOLUTIONS LTD,11558,429
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2010,Building Improvements,Operations,LIME,11561,7586
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2010,Cost of Sales - Commission,Commercial,SAS Event Management,11563,8939.2
Communities And Local Government,Queen Elizabeth II Conference Centre,22/06/2010,Water,Operations,THAMES WATER UTILITIES LTD,11565,4618.75
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cost of Sales - Freelance Technicians,Interface,CHRIS BRAUN,11571,1308
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,11574,766
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,11575,757
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cost of Sales - Freelance Technicians,Interface,GALLOWGLASS LIMITED,11582,440
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11584,2480.65
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11585,976.69
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11587,1687.86
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11588,458.63
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cost of Sales - Time & Labour,Event Management,MOORE PEOPLE KENNER LTD,11596,940.5
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cost of Sales - Freelance Technicians,Interface,NICK POWERS LTD,11597,600
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Cost of Sales - Freelance Technicians,Interface,PHILIP DE JONG T/A Mr Durden Ltd,11599,448
Communities And Local Government,Queen Elizabeth II Conference Centre,25/06/2010,Marketing,Commercial,THE STATIONERY OFFICE LTD,11603,566
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Cost of Sales - Freelance Technicians,Interface,ADAM WILLIAMS,11607,670
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Cost of Sales - Freelance Technicians,Interface,CHRIS BRAUN,11609,1263
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Cost of Sales - Freelance Technicians,Interface,CHRISTOPHER SHEAD T/A Global Idea,11610,1142
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Cost of Sales - Sets,Interface,FIRST NETWORK LTD,11614,71.5
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,11614,371.2
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Cost of Sales - Freelance Technicians,Interface,MATT PHILLIPS,11616,1342
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Cost of Sales - Equipment Hire,Interface,PORTAPROMPT LTD,11617,488
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,11619,1443
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Stationery,Event Management,SAFEGUARD SYSTEMS EUROPE,11623,1148.85
Communities And Local Government,Queen Elizabeth II Conference Centre,29/06/2010,Consumables,ITC Department,Scorpio Computer Supplies Limited,11624,479
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cost of Sales - Sets,Interface,AP SET CONSTRUCTION LTD,11625,4410
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Marketing,Commercial,CHATLAND DESIGN,11629,4200
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cost of Sales - Freelance Technicians,Interface,CHRIS BRAUN,11630,1133
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cost of Sales - Freelance Technicians,Interface,DAVID BOYCE,11633,670
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,11637,912.75
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11641,4398.25
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11642,41519.79
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cost of Sales - Freelance Technicians,Interface,CHRISTOPHER SHEAD T/A Global Idea,11643,1340
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cost of Sales - Commission,Commercial,GovNet Communications,11644,1279
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cost of Sales - Commission,Commercial,GovNet Communications,11645,1135.5
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Security,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11647,38495.99
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cost of Sales - Freelance Technicians,Interface,LOUISA GLADWIN,11651,1096
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Cost of Sales - Freelance Technicians,Interface,LOUISA GLADWIN,11652,2259
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Consultants,Commercial,Lychee3 Solutions Ltd,11653,3000
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,11657,56172.16
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,IT Equipment Maintenance,ITC Department,NIMANS LIMITED,11658,861.2
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Cost of Sales - Equipment Hire,Interface,RICHARD MARTIN LIGHTING LTD,11662,1014
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Stationery,Event Management,TECHNOGRAPH LTD,11663,4200
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Maintenance,Interface,WHITE LIGHT LTD,11666,450
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Entertaining,Event Management,Leith's at the Centre,11672,3.63
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Entertaining,Commercial,Leith's at the Centre,11672,10.32
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Entertaining,Interface,Leith's at the Centre,11672,23.55
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Entertaining,Operations,Leith's at the Centre,11672,20.6
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Entertaining,Operations,Leith's at the Centre,11672,5.9
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Entertaining,Administration,Leith's at the Centre,11672,85.55
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Entertaining,Commercial,Leith's at the Centre,11672,132.57
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Entertaining,Interface,Leith's at the Centre,11672,111.25
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Entertaining,Event Management,Leith's at the Centre,11672,140.48
Communities And Local Government,Queen Elizabeth II Conference Centre,07/07/2010,Business Rates,Administration,CITY OF WESTMINSTER,11673,48304
