Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1012733,678.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group - Advanced Manufacturing Industries,ADECCO UK LTD,1010379,680.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group - Advanced Manufacturing Industries,ADECCO UK LTD,1011579,680.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group - Advanced Manufacturing Industries,ADECCO UK LTD,1012072,680.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Business Group - Advanced Manufacturing Industries,ADECCO UK LTD,1012734,680.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1010377,750.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1012730,755.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Legal",ADECCO UK LTD,1010176,761.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ADECCO UK LTD,1011531,764.31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ADECCO UK LTD,1012746,805.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ADECCO UK LTD,1010388,816.37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1011575,821.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1011732,826.79
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1012204,858.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",ADECCO UK LTD,1012081,907.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",ADECCO UK LTD,1010408,940.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",ADECCO UK LTD,1012744,940.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",ADECCO UK LTD,1011519,968.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/11/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,ADVANTAGE WEST MIDLANDS,1011018,"8,121.83"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/11/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,ADVANTAGE WEST MIDLANDS,1011025,"16,393.68"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/11/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,ADVANTAGE WEST MIDLANDS,1011018,"17,220.06"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/11/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,ADVANTAGE WEST MIDLANDS,1011025,"22,519.30"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/11/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,ADVANTAGE WEST MIDLANDS,1011018,"39,019.17"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2010,Grant in Aid - Current -Other,Business Group - Economic Development Directorate,ADVANTAGE WEST MIDLANDS,1011366,"15,000,000.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/11/2010,Outsourced Programme Management Services,SCIENCE & RESEARCH GROUP - RESEARCH BASE,AEA TECHNOLOGY plc,1012604,"101,050.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/11/2010,External Training,Finance & Commercial Group - Finance Group,AIMS4CHANGE LTD,1011705,"1,495.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/11/2010,PPM (Project & Programme Management) Training,Universities and Skills Group - USG Admin,AIMS4CHANGE LTD,1012419,"5,345.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/11/2010,Loan Guarantees,Finance & Commercial Group - Finance Group,ALLEN & OVERY LLP,1011845,"1,271.52"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,ALLIANCE FOR A GREEN REVOLUTION IN AFRICA (AGRA),1011806,"1,972.45"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/11/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1013099,"1,066.65"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/11/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1013097,"2,500.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/11/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1010480,"3,150.20"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/11/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1013094,"3,150.20"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/11/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1010479,"6,752.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/11/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1013095,"6,752.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/11/2010,Financial Advice and Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1013091,"53,265.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/11/2010,Payments to Treasury Solicitors and Treasury Counsel,"Legal, People & Communications Group - Legal",ANDERSON STRATHERN LLP,1009641,722
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/11/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",ANDREW DAVIDSON,1013017,951.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/11/2010,Professional Training,Universities and Skills Group - USG Admin,AOC CREATE LTD T/A ASSOCIATION OF COLLEGES,1012284,600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Car Hire and Leasing,Fair Markets Group Summary - Employment Relations,AON LTD,1012059,"4,245.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Lifts,Finance & Commercial Group - Information and Workplace Strategies,APEX LIFT AND ESCALATOR ENGINEERS LTD,1012100,725.44
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Lifts,Finance & Commercial Group - Information and Workplace Strategies,APEX LIFT AND ESCALATOR ENGINEERS LTD,1012100,"1,013.44"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/11/2010,Maintenance,Finance & Commercial Group - Information and Workplace Strategies,APEX LIFT AND ESCALATOR ENGINEERS LTD,1010656,"1,337.79"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Lifts,Finance & Commercial Group - Information and Workplace Strategies,APEX LIFT AND ESCALATOR ENGINEERS LTD,1012100,"1,813.59"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Maintenance,Finance & Commercial Group - Information and Workplace Strategies,APEX LIFT AND ESCALATOR ENGINEERS LTD,1012107,"3,385.86"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Lifts,Finance & Commercial Group - Information and Workplace Strategies,APEX LIFT AND ESCALATOR ENGINEERS LTD,1012100,"8,822.51"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2010,Grant in Aid - Current -Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,ARTS AND HUMANITIES RESEARCH COUNCIL,1010972,"4,990,000.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/11/2010,Car Hire and Leasing (Programme),Fair Markets Group Summary - ECO,ARVAL (UK) LTD,1009893,533.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Coaching,Universities and Skills Group - USG Admin,ASHRIDGE,1011152,"1,125.60"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",ASTON UNIVERSITY,1010958,"11,666.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",ASTON UNIVERSITY,1010979,"11,666.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",ASTON UNIVERSITY,1010958,"11,667.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",ASTON UNIVERSITY,1010958,"11,667.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/11/2010,Media and Design Services,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",ATRIUM (UK) LTD,1012601,"3,000.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/11/2010,Catering Services (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,AVENANCE PLC,1011715,"3,626.60"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/11/2010,Other Overseas T&S,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,BAA BUSINESS SUPPORT CENTRE LTD (HEATHROW AIRPORT),1010221,"1,269.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/11/2010,Outsourced Programme Management Services,"Legal, People & Communications Group - Communications Directorate",BADENOCH AND CLARK LTD,1011869,"1,825.30"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/11/2010,Outsourced Programme Management Services,"Legal, People & Communications Group - Communications Directorate",BADENOCH AND CLARK LTD,1012432,"1,825.30"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/11/2010,Outsourced Programme Management Services,"Legal, People & Communications Group - Communications Directorate",BADENOCH AND CLARK LTD,1012973,"1,825.30"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/11/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BANNER BUSINESS SERVICES LTD,1006063,578.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/11/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BANNER BUSINESS SERVICES LTD,1010761,"1,300.27"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2010,GPC New Procedures,Corporate Payments,BARCLAYS BANK PLC,1011761,"11,361.90"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2010,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1011760,"29,148.58"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2010,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1011759,"88,034.55"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1011762,"292,992.23"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Maintenance,Finance & Commercial Group - Information and Workplace Strategies,BAXTERSTOREY LTD,1012092,"1,118.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2010,Hire of Conference Facilities,Finance & Commercial Group - Information and Workplace Strategies,BAXTERSTOREY LTD,1012095,"2,500.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/11/2010,Hire of Conference Facilities,Finance & Commercial Group - Information and Workplace Strategies,BAXTERSTOREY LTD,1011003,"3,603.50"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/11/2010,Hire of Conference Facilities,Finance & Commercial Group - Information and Workplace Strategies,BAXTERSTOREY LTD,1012203,"32,875.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/11/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BDRC CONTINENTAL LTD,1012316,500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/11/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BDRC CONTINENTAL LTD,1012317,"16,250.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Additions - Bridges Fund Investment,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1011598,"13,978.96"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/11/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1011108,"79,602.62"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1010983,"100,000.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/11/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1012597,"456,589.73"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/11/2010,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),1012597,"800,819.60"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/11/2010,Cash Expenditure during the Year - SFLG,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR SFLG PAYMENT TO LENDERS,1012514,"32,420.80"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Cash Expenditure during the Year - SFLG,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR SFLG PAYMENT TO LENDERS,1011599,"48,348.08"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2010,Cash Expenditure during the Year - SFLG,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR SFLG PAYMENT TO LENDERS,1011601,"63,637.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/11/2010,Outsourced Technical Support (Programme),"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BETA TECHNOLOGY LTD,1011432,"25,262.50"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/11/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,BIOTECHNOLOGY AND BIOLOGICAL SCIENCE RESEARCH COUNCIL,1011847,"8,020.50"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/11/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,BIOTECHNOLOGY AND BIOLOGICAL SCIENCE RESEARCH COUNCIL,1011846,"24,315.50"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/11/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,BIOTECHNOLOGY AND BIOLOGICAL SCIENCE RESEARCH COUNCIL,1011847,"42,726.50"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,BIOTECHNOLOGY AND BIOLOGICAL SCIENCE RESEARCH COUNCIL,1010969,"2,700,000.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2010,Grant in Aid - Current -Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,BIOTECHNOLOGY AND BIOLOGICAL SCIENCE RESEARCH COUNCIL,1010968,"20,000,000.00"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",BLACKFORDS LLP,1012821,"1,821.88"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/11/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",BLACKFORDS LLP,1012675,"7,988.19"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2010,Research & Development Expenditure (Programme),Strategic Policy Analysis - Strategic Policy Analysis,BLOOMBERG FINANCE L.P.,1010306,"4,239.52"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/11/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",BOLITHO WAY,1012975,"1,349.35"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",BOLITHO WAY,1012701,"1,391.40"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/11/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",BOLITHO WAY,1010771,"3,157.66"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/11/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",BOLITHO WAY,1012975,"3,453.28"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",BOLITHO WAY,1012701,"7,454.34"
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/11/2010,Purchase of  Advertising and Publicity (Programme),Fair Markets Group Summary - Employment Relations,BOUNTY UK LTD,1011236,"9,350.00"
