Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total £
Ministry of Defence,Ministry of Defence,20/02/2012,General services and support,Land Forces,CANON (UK) LIMITED,RH2 8BF,5000072564,Purchase of defence support equipment below capitalisation threshold of £25k.,228.44
Ministry of Defence,Ministry of Defence,22/02/2012,Purchase of inventory and services ,Land Forces,BOC LIMITED,M28 2UT,904326,Consumption of engineering and technical inventory,228.12
Ministry of Defence,Ministry of Defence,29/02/2012,Design services and minor equipment purchases,Land Forces,LEASEDRIVE VELO RENTAL  MANAGEMENT LIMITED,RG40 3GA,907313,Equipment support non-project costs,228
Ministry of Defence,Ministry of Defence,09/02/2012,Estate management,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,899472,Estate core services charge,227.4
Ministry of Defence,Ministry of Defence,21/02/2012,Administration,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,904018,General administration,225.61
Ministry of Defence,Ministry of Defence,27/02/2012,Official entertainment and hospitality,Air Command,COMPASS GROUP UK AND IRELAND LIMITED,B45 9PZ,906093,Entertainment + hospitality,222.41
Ministry of Defence,Ministry of Defence,27/02/2012,Purchase of inventory and services ,Central TLB,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,906028,Cost of other material consumed,222.19
Ministry of Defence,Ministry of Defence,13/02/2012,Spend on Inventory - General,Air Command,BUNZL UK LIMITED,KT19 8TY,900743,Spend on Inventory - General,219.64
Ministry of Defence,Ministry of Defence,23/02/2012,Design services and minor equipment purchases,Air Command,XMA LTD,NG11 7EP,905388,Equipment support non-project costs,219.46
Ministry of Defence,Ministry of Defence,03/02/2012,IT and communication services,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,897281,Operating lease IT and communications,217.11
Ministry of Defence,Ministry of Defence,03/02/2012,Fuel for military use,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013342,Oil and lubricants consumed excluding those from the inventory system,215.48
Ministry of Defence,Ministry of Defence,29/02/2012,"Transportation of personnel, freight and travel expenses",Central TLB,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,907480,Civilian short term detached duty,215.4
Ministry of Defence,Ministry of Defence,13/02/2012,Spend on Inventory - General,Command Joint Operations,JOSEPH GLEAVE & SON LTD,M32 0NB,900917,Spend on Inventory - General,214.98
Ministry of Defence,Ministry of Defence,16/02/2012,Design services and minor equipment purchases,Navy Command,XMA LTD,NG11 7EP,902787,Equipment support non-project costs,214.71
Ministry of Defence,Ministry of Defence,06/02/2012,Payment of utilities,Defence Infrastructure Organisation ,CALOR GAS LIMITED,CV34 6RL,897855,Utilities consumed - gas,214.56
Ministry of Defence,Ministry of Defence,03/02/2012,Externally delivered education and training,Land Forces,BABCOCK LAND LIMITED,BH23 9BS,897211,External military training ,213.67
Ministry of Defence,Ministry of Defence,23/02/2012,IT and communication services,Central TLB,CANON (UK) LIMITED,RH2 8BF,904898,Computer equipment costing below the capitalisation threshold,213.66
Ministry of Defence,Ministry of Defence,09/02/2012,Administration,Defence Infrastructure Organisation ,ROYAL MAIL GROUP LIMITED,S49 1HQ,899942,General administration,212.58
Ministry of Defence,Ministry of Defence,27/02/2012,Spend on Inventory - General,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,906551,Spend on Inventory - General,212.12
Ministry of Defence,Ministry of Defence,21/02/2012,Food and clothing,Land Forces,COTSWOLD OUTDOOR LTD,SN16 9SH,903981,Cost of purchasing and repairing clothing,207.84
Ministry of Defence,Ministry of Defence,27/02/2012,Estate management,Air Command,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,906092,Estate + facilities management services - accommodation inventory + service,207.42
Ministry of Defence,Ministry of Defence,24/02/2012,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,905481,Consumption of medical dental and veterinary inventory,206.08
Ministry of Defence,Ministry of Defence,29/02/2012,IT and communication services,Command Joint Operations,SERCO LIMITED,RG27 9UY,907527,Computer equipment costing below the capitalisation threshold,204.93
Ministry of Defence,Ministry of Defence,10/02/2012,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,900168,Consumption of medical dental and veterinary inventory,202.97
Ministry of Defence,Ministry of Defence,07/02/2012,Design services and minor equipment purchases,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013364,Equipment support non-project costs,202.74
Ministry of Defence,Ministry of Defence,07/02/2012,Design services and minor equipment purchases,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013362,Equipment support non-project costs,198.01
Ministry of Defence,Ministry of Defence,03/02/2012,Fuel for military use,Air Command,QINETIQ LIMITED,PO12 2AG,897605,Aviation fuel casual uplift consumed,197.88
Ministry of Defence,Ministry of Defence,13/02/2012,"Transportation of personnel, freight and travel expenses",Defence Infrastructure Organisation ,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,901123,Civilian short term detached duty,196
Ministry of Defence,Ministry of Defence,03/02/2012,IT and communication services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013342,Line + telephone rental including commercial charge for use of radio frequencies,195.92
Ministry of Defence,Ministry of Defence,16/02/2012,Estate management,Navy Command,SODEXO LTD,M50 0AL,902701,Estate + facilities management services - accommodation inventory + service,194.8
Ministry of Defence,Ministry of Defence,10/02/2012,Spend on Inventory - General,Air Command,BUNZL UK LIMITED,KT19 8TY,900180,Spend on Inventory - General,194.15
Ministry of Defence,Ministry of Defence,15/02/2012,Spend on Inventory - General,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,901753,Spend on Inventory - General,193.4
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,Publications/Subscriptions,Operations,BARCLAYCARD,,G - 9000140259 - 00129922,,190.49
Ministry of Defence,Ministry of Defence,02/02/2012,Purchase of inventory and services ,Central TLB,XMA LTD,NG11 7EP,897149,Cost of other material consumed,188.79
Ministry of Defence,Ministry of Defence,03/02/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,897768,Cost of other material consumed,187.49
Ministry of Defence,Ministry of Defence,23/02/2012,Purchase of inventory and services ,Navy Command,CANON (UK) LIMITED,RH2 8BF,904898,Cost of other material consumed,185.18
Ministry of Defence,Ministry of Defence,20/02/2012,Design services and minor equipment purchases,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,903356,Equipment support non-project costs,184.92
Ministry of Defence,Ministry of Defence,01/02/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013319,Civilian short term detached duty,183.98
Ministry of Defence,Ministry of Defence,23/02/2012,IT and communication services,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,904898,IT Services -internal costs,182.54
Ministry of Defence,Ministry of Defence,03/02/2012,General services and support,Navy Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,897339,Purchase of defence support equipment below capitalisation threshold of £25k.,182.29
Ministry of Defence,Ministry of Defence,14/02/2012,IT and communication services,Air Command,NSSLGLOBAL LIMITED,RH1 3DR,901527,Line + telephone rental including commercial charge for use of radio frequencies,181.38
Ministry of Defence,Ministry of Defence,22/02/2012,Medical treatment & stores and welfare services,Land Forces,EQUIPMENT HIRE SERVICES LTD,OL9 7AH,904427,Welfare services including sports equipment and ministers of religion.,181.31
Ministry of Defence,Ministry of Defence,06/02/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,898282,Cost of other material consumed,180.7
Ministry of Defence,Ministry of Defence,27/02/2012,Design services and minor equipment purchases,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,906013,Equipment support non-project costs,178.08
Ministry of Defence,Ministry of Defence,07/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,898364,Equipment support non-project costs,177.94
Ministry of Defence,Ministry of Defence,09/02/2012,Administration,Navy Command,ROYAL MAIL GROUP LIMITED,S49 1HQ,899942,General administration,177.68
Ministry of Defence,Ministry of Defence,16/02/2012,General services and support,Air Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,902345,Purchase of defence support equipment below capitalisation threshold of £25k.,176.99
Ministry of Defence,Ministry of Defence,20/02/2012,General services and support,Central TLB,CANON (UK) LIMITED,RH2 8BF,5000072564,Purchase of defence support equipment below capitalisation threshold of £25k.,176.3
Ministry of Defence,Ministry of Defence,29/02/2012,Administration,Command Joint Operations,SERCO LIMITED,RG27 9UY,907527,General administration,175.33
Ministry of Defence,Ministry of Defence,17/02/2012,General services and support,Air Command,XEROX (UK) LIMITED,BN13 1QG,903306,Purchase of defence support equipment below capitalisation threshold of £25k.,174.47
Ministry of Defence,Ministry of Defence,22/02/2012,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,904680,Cost of food purchases,171.76
Ministry of Defence,Ministry of Defence,16/02/2012,"Transportation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,902355,Freight movement costs,170.2
Ministry of Defence,Ministry of Defence,01/02/2012,"Transportation of personnel, freight and travel expenses",Defence Infrastructure Organisation ,PENTALVER TRANSPORT LTD,SO15 1AW,896532,Freight movement costs,169.26
Ministry of Defence,Ministry of Defence,08/02/2012,Estate management,Central TLB,SODEXO LTD,M50 0AL,899304,Estate + facilities management services - accommodation inventory + service,167.61
Ministry of Defence,Ministry of Defence,07/02/2012,General services and support,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,898364,Purchase of defence support equipment below capitalisation threshold of £25k.,166.22
Ministry of Defence,Ministry of Defence,29/02/2012,IT and communication services,Defence Infrastructure Organisation ,BT PAYMENT SERVICES LIMITED,DH98 1BT,907075,Line + telephone rental including commercial charge for use of radio frequencies,165.6
Ministry of Defence,Ministry of Defence,07/02/2012,Payment of utilities,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013364,Utilities consumed - gas,164.78
Ministry of Defence,Ministry of Defence,01/02/2012,Design services and minor equipment purchases,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013319,Equipment support non-project costs,164.64
Ministry of Defence,Ministry of Defence,01/02/2012,Purchase of inventory and services ,Command Joint Operations,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,896305,Cost of other material consumed,164.22
Ministry of Defence,Ministry of Defence,01/02/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,896305,Cost of other material consumed,163.63
Ministry of Defence,Ministry of Defence,06/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,897906,Equipment support non-project costs,162.82
Ministry of Defence,Ministry of Defence,03/02/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,897281,Cost of other material consumed,160.98
Ministry of Defence,Ministry of Defence,03/02/2012,Purchase of inventory and services ,Air Command,CANON (UK) LIMITED,RH2 8BF,897281,Cost of other material consumed,159.67
Ministry of Defence,Ministry of Defence,07/02/2012,Payment of utilities,Defence Infrastructure Organisation ,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013362,Utilities consumed - electricity,158.64
Ministry of Defence,Ministry of Defence,24/02/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,BOC LIMITED,M28 2UT,905481,Consumption of engineering and technical inventory,157.98
Ministry of Defence,Ministry of Defence,03/02/2012,IT and communication services,Air Command,CANON (UK) LIMITED,RH2 8BF,897281,Computer equipment costing below the capitalisation threshold,156.02
Ministry of Defence,Ministry of Defence,21/02/2012,Estate management,Defence Equipment & Support,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,903978,Estate + facilities management services - accommodation inventory + service,152.95
Ministry of Defence,Ministry of Defence,13/02/2012,"Transportation of personnel, freight and travel expenses",Command Joint Operations,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,901123,Military short term detached duty,152.5
Ministry of Defence,Ministry of Defence,22/02/2012,Purchase of inventory and services ,Defence Equipment & Support,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,KT9 1SN,166976,Consumption of medical dental and veterinary inventory,151.77
Ministry of Defence,Ministry of Defence,09/02/2012,"Transportation of personnel, freight and travel expenses",Navy Command,SODEXO LTD,M50 0AL,899963,Military short term detached duty,149.25
Ministry of Defence,Ministry of Defence,13/02/2012,"Transportation of personnel, freight and travel expenses",Navy Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,901123,Civilian short term detached duty,148.5
Ministry of Defence,Ministry of Defence,06/02/2012,Design services and minor equipment purchases,Air Command,CANON (UK) LIMITED,RH2 8BF,897857,Purchase of photographic equipment below capitalisation threshold,148.08
Ministry of Defence,Ministry of Defence,07/02/2012,Design services and minor equipment purchases,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,898337,Equipment support non-project costs,144.33
Ministry of Defence,Ministry of Defence,17/02/2012,Estate management,Defence Equipment & Support,ARAMARK LTD,LS16 6QY,902822,Estate + facilities management services - accommodation inventory + service,143.57
Ministry of Defence,Ministry of Defence,28/02/2012,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,906640,Consumption of medical dental and veterinary inventory,142.94
Ministry of Defence,Ministry of Defence,10/02/2012,Fuel for military use,Navy Command,ARAL AG.,,5000071934,Oil and lubricants consumed excluding those from the inventory system,142.22
Ministry of Defence,Ministry of Defence,29/02/2012,Transport hire charges,Command Joint Operations,LEASEDRIVE VELO RENTAL  MANAGEMENT LIMITED,RG40 3GA,907313,Transport other hire charge,141.93
Ministry of Defence,Ministry of Defence,17/02/2012,IT and communication services,Command Joint Operations,XEROX (UK) LIMITED,BN13 1QG,903306,Computer equipment costing below the capitalisation threshold,141.6
Ministry of Defence,Ministry of Defence,15/02/2012,Design services and minor equipment purchases,Command Joint Operations,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,901702,Equipment support non-project costs,140.6
Ministry of Defence,Ministry of Defence,28/02/2012,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,M28 2UT,906640,Consumption of medical dental and veterinary inventory,139.54
Ministry of Defence,Ministry of Defence,10/02/2012,IT and communication services,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,900160,Computer equipment costing below the capitalisation threshold,139.32
Ministry of Defence,Ministry of Defence,23/02/2012,Estate management,Defence Equipment & Support,SODEXO LTD,M50 0AL,905264,Estate + facilities management services - accommodation inventory + service,135.26
Ministry of Defence,Ministry of Defence,07/02/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013364,Civilian short term detached duty,134.51
Ministry of Defence,Ministry of Defence,01/02/2012,Spend on Inventory - General,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,896333,Spend on Inventory - General,133
Ministry of Defence,Ministry of Defence,17/02/2012,Fees for professional services,Defence Equipment & Support,CRIMINAL RECORDS BUREAU,L69 3JA,902912,Fees for professional services excluding legal fees,132
Ministry of Defence,Ministry of Defence,09/02/2012,Spend on Inventory - General,Air Command,BUNZL UK LIMITED,KT19 8TY,899536,Spend on Inventory - General,131.52
Ministry of Defence,Ministry of Defence,08/02/2012,Spend on Inventory - General,Command Joint Operations,BUNZL UK LIMITED,KT19 8TY,898868,Spend on Inventory - General,131.52
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,Materials & Equipment,Corporate,BARCLAYCARD,,G - 9000140259 - 00129922,,131.2
Ministry of Defence,Ministry of Defence,17/02/2012,Payment of utilities,Defence Infrastructure Organisation ,BRITISH GAS TRADING LIMITED,LE19 1ZY,902870,Utilities consumed - electricity,130.73
Ministry of Defence,Ministry of Defence,07/02/2012,Transport hire charges,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013364,Transport other hire charge,130.23
Ministry of Defence,Ministry of Defence,01/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,896333,Equipment support non-project costs,129
Ministry of Defence,Ministry of Defence,27/02/2012,"Transportation of personnel, freight and travel expenses",Land Forces,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,906092,Military short term detached duty,127.83
Ministry of Defence,Ministry of Defence,27/02/2012,Transport hire charges,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,906013,Transport other operating lease,126
Ministry of Defence,Ministry of Defence,24/02/2012,"Transportation of personnel, freight and travel expenses",Air Command,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,905547,Freight movement costs,125.91
Ministry of Defence,Ministry of Defence,01/02/2012,Spend on Inventory - General,Central TLB,TURNER VIRR & CO. LTD,LS25 2DY,896644,Spend on Inventory - General,124.8
Ministry of Defence,Ministry of Defence,20/02/2012,IT and communication services,Land Forces,NSSLGLOBAL LIMITED,RH1 3DR,903690,Line + telephone rental including commercial charge for use of radio frequencies,124.7
Ministry of Defence,Ministry of Defence,22/02/2012,Fuel for military use,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013461,Oil and lubricants consumed excluding those from the inventory system,124.29
Ministry of Defence,Ministry of Defence,07/02/2012,Design services and minor equipment purchases,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013360,Equipment support non-project costs,124.29
Ministry of Defence,Ministry of Defence,07/02/2012,Administration,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013362,General administration,122.1
Ministry of Defence,Ministry of Defence,06/02/2012,"Transportation of personnel, freight and travel expenses",Navy Command,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,897913,Freight movement costs,121.85
Ministry of Defence,Ministry of Defence,23/02/2012,Spend on Inventory - General,Defence Equipment & Support,KASHKET & PARTNERS LIMITED,N15 4QA,905064,Spend on Inventory - General,118.81
Ministry of Defence,Ministry of Defence,07/02/2012,Purchase of inventory and services ,Defence Equipment & Support,CANON (UK) LIMITED,RH2 8BF,898364,Cost of other material consumed,118.37
Ministry of Defence,Ministry of Defence,03/02/2012,"Transportation of personnel, freight and travel expenses",Land Forces,ISS MEDICLEAN LIMITED,GU21 5RW,897454,Military short term detached duty,117.42
Ministry of Defence,Ministry of Defence,03/02/2012,Administration,Land Forces,CANON (UK) LIMITED,RH2 8BF,897281,General administration,116.49
Ministry of Defence,Ministry of Defence,08/02/2012,Purchase of inventory and services ,Defence Equipment & Support,BOC LIMITED,M28 2UT,898843,Consumption of medical dental and veterinary inventory,116.28
Ministry of Defence,Ministry of Defence,07/02/2012,Estate management,Air Command,SODEXO LTD,M50 0AL,898706,Estate + facilities management services - accommodation inventory + service,116.12
Ministry of Defence,Ministry of Defence,08/02/2012,"Transportation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,899248,Civilian short term detached duty,116
Ministry of Defence,Ministry of Defence,22/02/2012,Design services and minor equipment purchases,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,904316,Equipment support non-project costs,115.48
Ministry of Defence,Ministry of Defence,24/02/2012,Purchase of inventory and services ,Central TLB,BOC LIMITED,M28 2UT,905481,Consumption of engineering and technical inventory,114.81
Ministry of Defence,Ministry of Defence,07/02/2012,Medical treatment & stores and welfare services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013362,Medical-non hospital treatment,114.28
Ministry of Defence,Ministry of Defence,08/02/2012,Fuel for military use,Air Command,QINETIQ LIMITED,PO12 2AG,899241,Aviation fuel casual uplift consumed,113.41
Ministry of Defence,Ministry of Defence,20/02/2012,"Transportation of personnel, freight and travel expenses",Navy Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,903733,Civilian short term detached duty,112
Ministry of Defence,Ministry of Defence,07/02/2012,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,LS25 2DY,898748,Cost of purchasing and repairing clothing,110.21
Ministry of Defence,Ministry of Defence,21/02/2012,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,903867,Consumption of medical dental and veterinary inventory,109.15
Ministry of Defence,Ministry of Defence,09/02/2012,Spend on Inventory - General,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,899555,Spend on Inventory - General,108.94
Ministry of Defence,Ministry of Defence,07/02/2012,General services and support,Air Command,XMA LTD,NG11 7EP,898760,Purchase of defence equipment below capitalisation threshold of £25k.,106.09
Ministry of Defence,Ministry of Defence,06/02/2012,Design services and minor equipment purchases,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,897857,Equipment support non-project costs,104.82
Ministry of Defence,Ministry of Defence,01/02/2012,Official entertainment and hospitality,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013319,Entertainment + hospitality,104.57
Ministry of Defence,Ministry of Defence,23/02/2012,Medical treatment & stores and welfare services,Land Forces,NHS BLOOD AND TRANSPLANT,LS15 7TW,905135,Medical-non hospital treatment,103.42
Ministry of Defence,Ministry of Defence,06/02/2012,IT and communication services,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,897832,Computer equipment costing below the capitalisation threshold,103.34
Ministry of Defence,Ministry of Defence,23/02/2012,Estate management,Air Command,SODEXO LTD,M50 0AL,905264,Estate + facilities management services - accommodation inventory + service,102.78
Ministry of Defence,Ministry of Defence,21/02/2012,Estate management,Navy Command,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,903978,Estate + facilities management services - accommodation inventory + service,102.39
Ministry of Defence,Ministry of Defence,07/02/2012,Payment of utilities,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013362,Utilities consumed - water + sewage,101.52
Ministry of Defence,Ministry of Defence,20/02/2012,IT and communication services,Land Forces,CANON (UK) LIMITED,RH2 8BF,903405,Computer equipment costing below the capitalisation threshold,100.76
Ministry of Defence,Ministry of Defence,24/02/2012,Fuel for military use,Land Forces,QINETIQ LIMITED,PO12 2AG,905814,Bulk aviation fuel consumed,98.55
Ministry of Defence,Ministry of Defence,24/02/2012,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,905863,Cost of clothing and textile services received,97.96
Ministry of Defence,Ministry of Defence,07/02/2012,Administration,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013363,General administration,97.01
Ministry of Defence,Ministry of Defence,29/02/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,JOSEPH GLEAVE & SON LTD,M32 0NB,907298,Spend on Inventory - General,94.2
Ministry of Defence,Ministry of Defence,01/02/2012,Administration,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013320,General administration,93.96
Ministry of Defence,Ministry of Defence,01/02/2012,"Transportation of personnel, freight and travel expenses",Defence Infrastructure Organisation ,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,896553,Civilian short term detached duty,93.9
Ministry of Defence,Ministry of Defence,17/02/2012,Fees for professional services,Central TLB,CRIMINAL RECORDS BUREAU,L69 3JA,902912,Fees for professional services excluding legal fees,93
Ministry of Defence,Ministry of Defence,20/02/2012,Transport hire charges,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,903356,Transport other operating lease,92.4
Ministry of Defence,Ministry of Defence,21/02/2012,Purchase of inventory and services ,Command Joint Operations,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,903919,Cost of other material consumed,92.23
Ministry of Defence,Ministry of Defence,22/02/2012,Payment of utilities,Defence Infrastructure Organisation ,CALOR GAS LIMITED,CV34 6RL,904351,Utilities consumed - gas,90.87
Ministry of Defence,Ministry of Defence,06/02/2012,"Transportation of personnel, freight and travel expenses",Land Forces,SODEXO LTD,M50 0AL,898192,Military short term detached duty,90.86
Ministry of Defence,Ministry of Defence,22/02/2012,Medical treatment & stores and welfare services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013460,Medical-non hospital treatment,90.5
Ministry of Defence,Ministry of Defence,27/02/2012,Spend on Inventory - General,Air Command,ROYSTON LTD,NE6 3PF,906452,Spend on Inventory - General,89.11
Ministry of Defence,Ministry of Defence,07/02/2012,Payment of utilities,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013360,Utilities consumed - water + sewage,88.23
Ministry of Defence,Ministry of Defence,17/02/2012,Fees for professional services,Defence Infrastructure Organisation ,CRIMINAL RECORDS BUREAU,L69 3JA,902912,Fees for professional services excluding legal fees,88
Ministry of Defence,Ministry of Defence,03/02/2012,"Transportation of personnel, freight and travel expenses",Navy Command,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,897689,Freight movement costs,86.8
Ministry of Defence,Ministry of Defence,27/02/2012,Purchase of inventory and services ,Command Joint Operations,CANON (UK) LIMITED,RH2 8BF,906063,Cost of other material consumed,86.79
Ministry of Defence,Ministry of Defence,03/02/2012,Payment of utilities,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013342,Utilities consumed - water + sewage,86.37
Ministry of Defence,Ministry of Defence,13/02/2012,"Transportation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,901123,Civilian short term detached duty,86.1
Ministry of Defence,Ministry of Defence,07/02/2012,Food and clothing,Land Forces,TURNER VIRR & CO. LTD,LS25 2DY,898748,Cost of purchasing and repairing clothing,85.85
Ministry of Defence,Ministry of Defence,22/02/2012,Payment of utilities,Command Joint Operations,BRITISH GAS TRADING LIMITED,OX4 2JY,904336,Utilities consumed - electricity,85.8
Ministry of Defence,Ministry of Defence,08/02/2012,Food and clothing,Central TLB,SERCO LIMITED,RG27 9UY,899288,Cost of food purchases,84.19
Ministry of Defence,Ministry of Defence,08/02/2012,"Transportation of personnel, freight and travel expenses",Command Joint Operations,SERCO LIMITED,RG27 9UY,899288,Military short term detached duty,84.08
Ministry of Defence,Ministry of Defence,14/02/2012,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,RH1 1RX,901623,Utilities consumed - gas,83.74
Ministry of Defence,Ministry of Defence,07/02/2012,"Transportation of personnel, freight and travel expenses",Defence Infrastructure Organisation ,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,898725,Freight movement costs,83.7
Ministry of Defence,Ministry of Defence,03/02/2012,"Transportation of personnel, freight and travel expenses",Defence Infrastructure Organisation ,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,897689,Freight movement costs,83.7
Ministry of Defence,Ministry of Defence,07/02/2012,Design services and minor equipment purchases,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,898368,Equipment support non-project costs,83.36
Ministry of Defence,Ministry of Defence,22/02/2012,"Transportation of personnel, freight and travel expenses",Navy Command,SODEXO LTD,M50 0AL,904680,Military short term detached duty,82.24
Ministry of Defence,Ministry of Defence,02/02/2012,Design services and minor equipment purchases,Air Command,XMA LTD,NG11 7EP,897149,Equipment support non-project costs,81.65
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,Vehicle Charges,Operations,BARCLAYCARD,,G - 9000140259 - 00129922,,81.53
Ministry of Defence,Ministry of Defence,20/02/2012,Purchase of inventory and services ,Navy Command,BOC LIMITED,M28 2UT,903377,Consumption of engineering and technical inventory,80.41
Ministry of Defence,Ministry of Defence,07/02/2012,Purchase of inventory and services ,Navy Command,BOC LIMITED,M28 2UT,898347,Consumption of engineering and technical inventory,80.41
