111794,,SCS1,DBR-Head of Defence Security & Assurance Services,"The Defence Security and Assurance Services (DBR-DSAS) accredits MOD?s (including List X Industry) IT systems to assure their compliance with National standards. DBR-DSAS provides an independent security, safety and business continuity audit and consultancy service, vulnerability analysis and penetration testing of systems, coordination of STRAP management, and coordination of information assurance. DBR-DSAS provides the Chief Information Officer with an analysis of the risk of loss or compromise of MOD protectively marked or personal data. Within DBR-DSAS, the Joint Security Coordination centre provides real time situational awareness of threats and incidents, and incident investigation",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00111789 DBR,,,
111791,,SCS1,DBR-Head of Defence Security Policy,"Head of Defence Security (DBR-DefSY) is responsible for developing, promulgating and monitoring the Department?s protective security policy and standards; advising Ministers and senior officials on the political, presentational and legal aspects of protective security policy; supporting the Director Business Resilience as Security Process Owner and in providing assurance to the DAC that security risks are being effectively addressed or managed.  Responsibilities cover personnel security (including vetting); information security (including leak investigations); policing policy & physical security (including guarding); nuclear security & safety (including nuclear accident response); and technical and international security issues (including the security relationship with industry).",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00111789 DBR,,,
111792,,SCS1,"DBR-Head of Safety, Sustainable Development & Continuity Policy","Head of Safety, Sustainable Development & Continuity (DBR-SSD&C) is the policy lead for Safety, Sustainable Development, Environmental Protection and Business Continuity (including pandemic flu policy and planning).  SSD&C provides the secretariat for the Defence Environment and Safety Board (DESB), who provide assurance to the Defence Board and Defence Audit Committee (DAC) that safety, environmental, and sustainability risks are being effectively managed. ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00111789 DBR,,,
108754,,SCS1,DCP-Head of Corporate Capability,"Head of DCP-Corporate Capability is responsible for the management of the Senior Civil Service (including:  SCS recruitment, promotion assessment, grade management and SCS pay issues); leading on Talent Management and succession planning (including:  management of the Fast Stream, MIDIT and DESG development programmes, and engagement with the Senior Leadership Council/Cabinet Office Talent Management group and Civil Service Development Group);  and providing an intervention capability to meet urgent operational needs",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00104018 DCP,,,
106838,,SCS1,DCP-Head of Employment Framework,"Head of DCP-Employment Framework is responsible for: Civilian HR policy relating to conditions of service for all civilian employees - UK & overseas ? (including, civilian pay and reward, performance management, leave & working patterns, recruitment, transfers, pensions, health, Employee Relations, welfare and conduct); coordination of work with TSol and CLS in connection with Employment Tribunal and other employment related Litigation; and oversight of the various instruments used to manage civilian training within the Department.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00104018 DCP,,,
1596309,,OF6,Dean - Defence Postgratuate Medical Deanery,Responsible for Post Graduate training delivery and accreditation of clinicians,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1364692 - Comd JMC - AVM P Evans,,,
108528,,SCS1,DEFAC-CMT-AB-HEAD,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,154906 - DEFAC-CMT-HQ DIRECTOR,,,
154906,"Mantell, Carl Nicholas",SCS2,DEFAC-CMT-HQ DIRECTOR,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,109463 - DEFAC-HQ-DIRECTOR GENERAL,,,
1063009,,OF6,DEFAC-CMT-LMD HEAD,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1608729 - DEFAC-CMT-HQ DIRECTOR,,,
70503,,SCS1,DEFAC-CMT-ND HEAD,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,154906 - DEFAC-CMT-HQ DIRECTOR,,,
1239190,,OF6,DEFAC-CMT-TD HEAD,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1608729 - DEFAC-CMT-HQ DIRECTOR,,,
1063013,Lt Gen AJN Graham,OF8,DEFAC-HQ-DIRECTOR GENERAL,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1056191 - VCDS,,,
1240790,,OF6,DEFAC-JSCSC ARMY DIV DIR,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1062997 - DEFAC-JSCSC HQ COMDT,,,
1063002,,OF6,DEFAC-JSCSC HQ ACOMDT AIR,"As Assistant Commandant (Air), the senior airman in the Joint Services Command and Staff College, with oversight of the College?s teaching in the air environment.. As Deputy Commandant, the change agent for JSCSC courses and outputs.Responsible for delivering through-life education of RAF officers between Initial Officer Training and the joint Advanced Command and Staff Course.˜This consists of the Junior Officer Development Programme and the Intermediate Command and Staff Course (Air).",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1062997 - DEFAC-JSCSC HQ COMDT,,,
1239811,,OF6,DEFAC-JSCSC HQ ACOMDT LAND,"As Assistant Commandant (Land) he is the senior representative of the land component at the JSCSC. ˜He is responsible for the provision of land expertise, advice and input (in its broadest sense) in support of the College?s mission and, specifically, for the relevance, accuracy and delivery of land teaching material within all Courses and for land input into doctrine development at the operational level.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1062997 - DEFAC-JSCSC HQ COMDT,,,not on junior sheet
1117089,,OF6,DEFAC-JSCSC HQ ACOMDT MAR,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1062997 - DEFAC-JSCSC HQ COMDT,,,
1062997,AVM R Lock,OF7,DEFAC-JSCSC HQ COMDT,"Commands the UK?s Staff College, responsible for command and staff training, education and research for all 3 Services throughout officers? careers. Wider responsibilities as a member of Defence Academy Board, and owns direct linkages into MOD Personnel/Training Directorate, academia, international military institutions and front-line organizations.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1063013 - DEFAC-HQ-DIRECTOR GENERAL,,,
116270,"Style, Charles Rodney",SCS2,DEFAC-RCDS-COMMANDANT,"The Commandant of the RCDS directs the College.˜ He is responsible for providing a world class course in 'strategy and leadership in the international environment', ensuring that in fast changing times the context and shape of the course keep pace. He recruits high quality membership from over 50 nations (3 star downwards), engages closely with the members, and is their senior mentor.˜ He represents the College with many distinguished interlocutors including Heads of State in the UK and overseas,˜runs the College, manages the establishment's budget, and is charged with constant improvement in quality and cost effectiveness.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,109463 - DEFAC-HQ-DIRECTOR GENERAL,,,not on junior sheet
109484,"Jarvis, Jeremy Charles",SCS2,DEFAC-RCDS-SDS 1,"The incumbent performs the role of RCDS Director of Studies, with overall responsibility to develop and deliver the long course on international security and strategy attended by senior officers and officials from the UK and overseas (some 40 countries each year). It involves directing the College staff in planning the academic programme, ensuring that King?s College London fulfil the academic support contract, and leading on future course design. It also involves personally mentoring 20+ senior officers/officials in their professional development.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,116270 - DEFAC-RCDS-COMMANDANT,,,
1241543,Maj Gen RAM Melvin,OF7,DEFAC-RCDS-SDS 2,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1063013 - DEFAC-HQ-DIRECTOR GENERAL,,,
1128035,R ADM S Williams,OF7,DEFAC-RCDS-SDS 3,,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1063013 - DEFAC-HQ-DIRECTOR GENERAL,,,
1063006,AVM B Bates,OF7,DEFAC-RCDS-SDS 4,"The incumbent is one of four Senior Directing Staff at RCDS and has overall responsibility for external engagement, membership recruitment and development of the RCDS website.  Critical roles in support of the RCDS Course are the personal mentoring and assessment of 20+ senior officers/officials, overseeing key elements of the Course and conducting seminars.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1063013 - DEFAC-HQ-DIRECTOR GENERAL,,,
1597976,,OF6,Defence Medical Group Commandant,"Responsible for patient care pathway in the Defence Medical Group, particularly Role 4",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1364692 - Comd JMC - AVM P Evans,,,
109838,,SCS1,Defence Science & Technology Chief Scientific Adviser's Strategic Adviser,Provide strategic advice and lead/implement/review major change projects ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 2184799,DST-BM@mod.uk,00105227 Chief Scientific Advisor,,,
105234,Peter Sankey,SCS2,Defence Science & Technology Strategic Technologies Director,"Responsible for delivery of MOD?s nuclear warhead and propulsion research programmes, including specific responsibilities as Senior Responsible Owner and central customer for the Nuclear Warhead Capability Sustainment Programme. Is the Departmental authority and custodian, on behalf of MOD Chief Scientific Adviser, of the 1958 UK/US Mutual Defence Agreement and other international nuclear Science & Technology relationships. Has responsibility for development of technical programmes to deal with: emerging Chemical Biological Radiological Nuclear (CBRN) threats; defeating chemical and biological agents, and, all aspects of technical support to CBRN counter-terrorism. Provides technical advice to Ministers/senior officials on strategic Missile Defence (MD), including running of research and assessment programme under the management of UK MD Centre to understand the implications of US MD systems for the UK.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 2184799,DST-BM@mod.uk,00105227 Chief Scientific Advisor,,,
178447,,SCS1,Defence Science & Technology Strategic Technologies Head,"Responsible for the development of technical programmes to deal with: emerging Chemical Biological Radiological Nuclear (CBRN) threats; defeating chemical and biological agents, and all aspects of technical support to CBRN counter-terrorism, including co-operation with the US under the 1958 Mutual Defence Agreement. Responsible for providing technical advice to Ministers/senior officials on strategic Missile Defence (MD), including the running of the research and assessment programme to understand the implications of US MD systems for the UK.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 2184799,DST-BM@mod.uk,105234 Defence Science & Technology Strategic Technologies Director,,,
105230,Prof Philip Sutton,SCS2,Defence Science & Technology Strategy Director,"Supports the Defence Research and Development (R&D) Board in defining R&D and Science & Technology strategy and policy in order to effectively manage the Research Programme. Identifies alternative, more cost, effective options for military capability, so investment brings maximum benefit to UK Armed Forces. Oversees the delivery of MOD?s S&T requirement by Dstl and ensures this aligns with the R&D Board?s strategic direction. Sets the direction of the Defence Innovation Strategy and ensures Dstl delivers the strategy and creates mutually beneficial relationships with Defence research and technology suppliers. Provides advice to Ministers and senior officials on all aspects of defence S&T.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 2184799,DST-BM@mod.uk,00105227 Chief Scientific Advisor,,,
1105780,,OF6,Defence Training Rationalisation  IPT Leader,"The Defence Training Rationalisation project aims to deliver military technical training on a Defence rather than single service basis. The vision is to give our people the best opportunities, training and living environment that MOD can provide and to create a new purpose built Defence Technical College at St Athan.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1056195 - Director Training Education ,,,
100919,,SCS1,Deputy Chief Constable MDPGA,"Deputy Chief Constable MDP is responsible for the delivery of specialised civilian policing services to the whole of the MOD UK community, both military and civilian units, and also for supporting the Defence Vision (A Force for Good in the World) by contributing to international policing in countries such as Kosovo, Iraq and Afghanistan where the MDP?s principal role is to help develop a model for human rights-based local policing, by training and mentoring local recruits",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00100916 CCMDP,,,
1056166,Sir William Rollo ,OF8,Deputy Chief Defence Staff (Personnel & Training),"DCDS (Pers) is the Service personnel Process Owner who directs and coordinates Joint Service Personnel Strategy in order that sufficient Service personnel are recruited, trained, and retained to sustain the Armed Forces.˜ His principal role is to ensure that the right policies, strategies and legislation are in place to deliver sufficient, capable and motivated people both today and in the future, as well as ensuring that Defence obligations for past service are met.˜ He reports to the Vice Chief of the Defence Staff.˜ He attends the Defence Operating Board as required.˜ Drawing on the advice of the Principal Personnel Officers on the Service Personnel Board, he is responsible for advising the Defence Board and Defence Operating Board on joint Service personnel matters and for the formulation of joint Service personnel policy.˜ He is the Senior Responsible Owner for the Defence Training Review Transformation programme.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 6057 ,DCDS PERS-DCDS-SHARED MAILBOX,Vice Chief Defence Staff / 2nd Permanent Under Secretary,,,
105515,Mr J P Colston,SCS2,Deputy Chief of Defence Intelligence,"DCDI leads the Defence Intelligence and Assessments Staff (DIAS) and directs the defence intelligence analytical teams that produce all-source defence intelligence assessments for Ministers, the Chiefs of Staff and senior officials.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1058711,,,
1047423,Paul Lambert,OF8,Deputy Chief of Defence Staff (Capability),"DCDS(Cap) acts as an identifiable, responsible and strong Capability Sponsor across the MOD Unified Customer in order to deliver capability that meets the endorsed requirements. Priority is given to current operations (particularly Afghanistan) exploiting both Equipment Plan and Urgent Operational Requirement processes. DCDS(Cap)s other key objective is to generate and implement an affordable, balanced and coherent Equipment and Equipment Support Plan which is realistic and has agility. DCDS(Cap) chairs the Joint Capabilities Board (JCB) that leads the Capability Sponsor ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1056191 - Vice Chief of the Defence Staff
1055683,Simon Mayall,OF8,Deputy Chief of Defence Staff (Operations),"Director of Operations. Joint responsibility (with DG Sec Pol for delivering strategy and planning for operations, directs and conducts operations at the strategic level)",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Vice Chief of Defence Staff
1128589,,OF6,Deputy Director Combined Joint Operations from the Sea Centre of Excellence,"The Deputy Director (DDir) of CJOS COE is responsible for the daily operations, development and production of the Centre?s Programme of Work, and its future vision.  As the Director is dual hatted with Commander Second Fleet, the DDir generally takes the commanding role.  He forges close links with ACT, NATO commands and authorities, international organizations (including the UN), NATO national authorities as well as academic institutions in order to deliver the Centres? extensive Programme.  He also takes a lead role in promoting UK military interests in the Norfolk area including supporting visits of UK ships and senior personnel.  CJOS COE is a joint and combined MOU-based organization with IMO status.  It is a source of maritime expertise on all aspects of NATO transformation of joint expeditionary operations from the sea to the sponsoring nations.  It is made up of 32 personnel from 13 NATO nations.",Commander-in-Chief Fleet,Commander-in-Chief Fleet,Central Top Level Budget,,,Commander Second Fleet (Director CJOS COE)
1166821,,OF6,Deputy Director Service Prosecutions ,"Support the provision of independent, efficient and consistent consideration of criminal cases and offences contrary to military discipline.
",Ministry of Defence,Ministry of Defence,Service Prosecution Authority,,,179774 - Director Service Prosecution Authority
1431838,Bill Moore,OF7,Director (Battlespace Manoeuvre),"Dir(BM) is a member of the JCB leading on the coordination of battlespace manoeuvre and land environment issues, which provides strategic direction to the coherent delivery of a balanced and affordable Equipment and Support programme.˜ Dir(BM) is the Senior Responsible Owner (SRO) for the Urgent Operational Requirements process and for elements of Counter Improvised Explosives Device capability.˜ Dir(BM) represents the Capability Sponsor on the Army Board as the Master General of Ordnance.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1047423 - DCDS(Capability)
135736,,SCS2,Director (Equipment Resources),"Director Equipment Resources is a member of the JCB and effectively finance director of the Capability Sponsor organisation, responsible for the equipment planning process, secretariat advice to Ministers and liaision with OGDS (especially HM Treasury) on equipment capability issues, the MOD's contribution to export licensing process and its relationship with UKTI on defence export, and ""assured capability"" policy. He is also SRO for the future strategic deterrent programme.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1047423 - DCDS(Capability)
1565824,Steve Hillier,OF7,Director (Information Superiority),"Dir(IS) is a member of the JCB leading on the coordination of Information Superiority and air environment issues, which provides strategic direction to the coherent delivery of a balanced and affordable Equipment and Support programme.˜ Dir(IS) is the Senior Responsible Owner (SRO) for Defence Information Infrastructure, Operational Information Superiority and Combat Identification.˜ Dir(IS) represents the Capability Sponsor on the Air Force Board.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1047423 - DCDS(Capability)
1105905,Amjad Hussain,OF7,Director (Precision Attack),"Dir(PA) is a member of member of the JCB leading on the coordination of Precision Attack and maritime environment issues, which provides strategic direction to the coherent delivery of a balanced and affordable Equipment and Support programme.˜ Dir(PA) is the Senior Responsible Owner (SRO) for Carrier Strike (CS) and is the JCB member for Complex Weapons (CW) and Testing and Evaluation (T&E).˜ Dir(PA) represents the Capability Sponsor on the Navy Board as the Controller of the Navy.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1047423 - DCDS(Capability)
