Post Unique Ref,JPA Post Number ,Forename,Surname ,Grade / Rank,Job Title,Job Team Function,Parent Department,Organisation,Unit,Contact phone,Contact e-mail,Reports to Post Unique Ref,Reports to Job Title,Notes,Staff Costs
64206,,,,Commodore,Naval Base Commander Clyde,"Clyde Naval Base comprises the Faslane Naval Base, the Royal Navy Armament Depot Coulport, HMS Caledonia at Rosyth, the Navy Buildings at Greenock and a number of military ranges.  As the Authorisee for the Nuclear site, the Naval Base Commander is accountable to Director Submarines for the delivery, support and safety of the nuclear programme.  In partnership with the MoD, Babcock Marine is responsible for providing the quality of service and support of three Naval Base outputs of Vessels, Weapons and Operational support.  The Babcock Terms of Business Agreement sets out a long term partnering relationship for surface ship and submarine support at Rosyth and Clyde.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130045,DESCofMFleet-OuterOffice@mod.uk,170311,Chief of Materiel (Fleet),,"?27,051,600"
171090,1574887,,,Commodore,Head Customer Support Team  (Fleet) ,The CST(Fleet) team consists of a Joint Business Agreement (JBA) team responsible for the development and delivery of the Navy Command JBA; monitoring and reporting of Maritime Performance and Risk against JBA metrics; and an Operations Cell responsible for providing 24/7 focal point for Defect Management and Crisis Response in support of Navy Command.,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130045,DESCofMFleet-OuterOffice@mod.uk,170311,Chief of Materiel (Fleet),,"?9,091,514"
170310,1481462,Gary,Coward,Lieutenant General,Chief of Materiel (Land),"Cief of Materiel Land is accountable to CDM for ensuring the operational focus of DE&S and that its outputs are delivered coherently and effectively, meeting agreed requirements.˜ In particular, COM(Land) assures the coherent supply and support of all Land equipments, systems and logistics to support current and future operations.  His specific obligations are to:
coordinate the DE&S support to Op HERRICK.
set the Joint Business Agreement with HQ Land Forces and assure the effective delivery of agreed DE&S outputs thereafter.
ensure coherence between User requirements and capability-based Sponsor direction to DE&S.
oversee operation, development and rationalisation of the Joint Support Chain.
oversee Defence Logistics Change.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9133017,DESCofMLand-OuterOffice@mod.uk,9000,Chief of Defence Materiel,,"?149,997"
24359,1497811,,,Brigadier,Head Customer Support Team (Land),"The CST (L) supports COM(Land) in his responsibilities as a DE&S Board Member, as DE&S Land Forces Champion, Army Board member and Army lead for the Logistic Defence Line of Development (DLOD). In this capacity, CST (L) also acts as a key agent in developing, maintaining and supporting DE&S? relationship with Land Forces (LF).",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,,DESCofMLand-OuterOffice@mod.uk,170310,Chief of Materiel (Land),"Staff costs captured in Joint Customer Support Team, under Head CST (Air)",?0
3320,,Dr Andrew,Tyler,SCS PB3,Chief Operating Officer,"The Chief Operating Officer (COO) is responsible for managing the 10 Operating Centres within DE&S which deliver equipment and support, driving project performance to meet the required safety standards and Time, Cost and Performance envelopes, ensuring that support to Operations is the top priority, managing the key relationships with industry partners and ensuring pull-through of technology into new and existing assets.    ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130010,DESCOO-PS@mod.uk,9000,Chief of Defence Materiel,,"?160,359"
168616,,,,SCS PB2,Chief Of Staff,"The role of the DE&S Chief of Staff is to drive improvement in DE&S?s performance through effective support and provision of key business services. Ultimately, COS provides personal advice and support to CDM and the DE&S Main Board on strategy, performance, risk, communications and governance. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130014,DESCDM-OuterOffice@mod.uk,9000,Chief of Defence Materiel,,"?38,170"
43,,,,SCS PB1,Head of Corporate Approvals Performance and Risk,"The Corporate Approvals Performance and Risk (CAPR) team are based at Abbey Wood, Bristol. The team manages the corporate performance management and risk regimes, and ensures the effective operation of the DE&S Investment Board (DESIB) and the associated assurance and approvals process. This includes delivering the Departmental Major Projects Review; developing and implementing a risk based audit and assurance programme; delegated Approving Authority for all DE&S Cat C Projects; delivering Project Sentinel to Full Operating Capability; delivering the DE&S Risk Coherence Campaign Plan; and implementing the (Noakes) Review to Through Life Investment.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130014,DESCDM-OuterOffice@mod.uk,168616,Chief Of Staff,,"?840,157"
9028,,,,SCS PB1,Head of Secretariat & Communications,"DE&S Secretariat responsibilities include: Parliamentary Business and FOI requests; DE&S Board support; Briefing for CDM; Internal communications including the Face to Face brief, communications strategy and framework and publication of the DE&S corporate newsletter - desider; Media and Press handling; the DE&S Business Strategy, Corporate Governance policy and Compliance and Governance Reviews, and VIP visits. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130014,DESCDM-OuterOffice@mod.uk,168616,Chief Of Staff,,"?2,693,390"
150079,,,,Commodore,Head of Plans & Programmes  ,"Plans & Programmes (P&P) manage the DE&S strategic planning and programming process, and provide programming advice and support to key stakeholders within DE&S and MOD. They maintain programme coherence as well as maximising outputs within the funding available. Key outputs include: co-ordinating and delivering the Planning Process; leading on DE&S Resource Management issues in support of the SDSR; Planning and delivering the DE&S Operating Cost plan; leading on In year Programming action.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130014,DESCDM-OuterOffice@mod.uk,168616,Chief Of Staff,,"?1,001,728"
170429,,,,SCS PB2,Director Air Support,"The Air Support Operating Centre is responsible for acquisition and support for all current and future aircraft other than Fast Jets, including Air Transport, Air to Air Refueling, Air Intelligence and Surveilance assets, and related training and airfield support equipment.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131817,DESAS-DirMA@mod.uk,3320,Chief Operating Officer,,"?78,265"
68,,,,SCS PB1,Head of Commercial,"Head of Commercial Air Support is responsible for providing commercial advice and assurance to D Air Support and commercial functional line management to all commercial staff within the Operating Centre.
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131817,DESAS-DirMA@mod.uk,170429,Director Air Support,,"?674,321"
185268,,,,SCS PB1,Head Air Equipment Systems,"Responsible for the provision of commodities (spares not procured by the relevant platform team) for all aircraft, including helicopters; the procurement and support of airfield ground vehicles and equipment; and for the procurement and support of aircraft defensive and targeting aids (e.g. LAIRCM, Litening) and IFF (Identifier Friend or Foe) equipment. Also responsible for the delivery and support of flight simulators and synthetic trainers for the majority of air platforms (including helicopters), many as PFI services.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131817,DESAS-DirMA@mod.uk,170429,Director Air Support,,"?10,804,387"
"New post, no HRMS reference",,,,SCS PB1,Head Finance Air Support ,"Professional head of Finance within the Air Support Operating Centre, responsible for financial planning, in year management, financial accounting and financial assurance and approvals",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131817,DESAS-DirMA@mod.uk,170429,Director Air Support,"New post, finance staff captured in separate teams",?0
5282,,,,Air Commodore,Head of Nimrod ,Responsible for the delivery of 9 x NIMROD MRA4 aircraft and in-service support;  in-service support and disposal of 3 x NIMROD R1;  disposal of MR2;  procurement of sonabuoys; and support for the Battle of Britain Memorial Flight.  ,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131817,DESAS-DirMA@mod.uk,170429,Director Air Support,staff captured in Air ISTAR headcount,?0
50171,1585295,,,Air Commodore,Head of Air Intelligence Surveillance Target Acquisition Reconnaissance,"Responsible for the delivery of 3 x Airseeker aircraft and in-service support, and the in-service support of 5 x Sentinel battlefield surveillance aircraft plus ground stations and 6 x Sentry airborne early warning aircraft.  Also responsible for OC-wide business support, including transformation.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131817,DESAS-DirMA@mod.uk,170429,Director Air Support,,"?15,636,854"
110863,,,,SCS PB1,Head of Air Transport/Air to Air Refuelling,"Responsible for the delivery and in-service support of 22 x A400M transport aircraft; in-service support of  6 x C17 transport aircraft and delivery of additional aircraft (1 on order) as required; in-service support of RAF comms fleet (6 x BAe125 & 2 x BAe146) and 13 x VC10 tanker aircraft.  Responsible for the delivery of the Future Strategic Tanker Aircraft (based on 14 x A330 tanker/transport aircraft) PFI service. Responsible for the in-service support of 24 x C130J and 9 x C130K Hercules transport aircraft, and 9 x TriStar transport/tanker, as well as the procurement and support of airborne delivery equipment.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131817,DESAS-DirMA@mod.uk,170429,Director Air Support,,"?12,745,465"
49802,,,,SCS PB1,Head of Air Safety & Engineering,"The Air Safety and Engineering team is responsible for establishing and leading the delivery of a safety management, engineering and technical assurance strategy for the DE&S Air domain, and specifically the Air Support teams, that is consistent with Departmental, DE&S and other safety management systems and evolving policy.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131817,DESAS-DirMA@mod.uk,170429,Director Air Support,,"?1,065,870"
51335,1579639,Simon,Bollom ,Air Vice Marshal,Director Combat Air,"The Combat Air Operating Centre is responsible for acquisition and support for all current and future Fast Jet platforms. The in-service support activities cover Harrier, Tornado, Typhoon, Training Aircraft, and Aircrew Escape and Survival (AES) equipment for all fixed and rotary wing aircraft in RAF service. The Joint Combat Aircraft (JCA) is their major future programme, alongside Unmanned Air Systems (UAS) acquisition and support for Reaper, Hermes 450 and Watchkeeper. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131706,DESCA-DirMA@mod.uk,3320,Chief Operating Officer,,"?954,550"
153535,,,,SCS PB1,Head Combat Air Business Industrial Strategy,"This team is responsible for developing the strategic direction for the Combat Air Operating Centre, including the Fixed Wing Sector Strategy. They also include the Unmanned Air Systems (UAS) Delivery Team, which manages all DE&S UAS programmes/projects to deliver current and future front-line capability.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131706,DESCA-DirMA@mod.uk,51335,Director Combat Air,,"?794,615"
172154,,,,SCS PB1,Head of Commercial Combat Air,"Head of Commercial Combat Air is responsible for providing commercial advice and assurance to D Combat Airand commercial functional line management to all commercial staff within the Operating Centre.
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131706,DESCA-DirMA@mod.uk,51335,Director Combat Air,,"?284,009"
5299,1132050,,,Air Commodore,Head of Joint Combat Aircraft  ,"Responsible for delivering the F35 Lightening II Joint Strike Fighter into UK service as the Joint Combat Aircraft. Additionally, responsible for preparing the UK Infrastructure to receive, operate and support JCA through life, minimising cost of ownership and maximising operational capability, and for delivering a UK Industrial Solution as part of the programme which advances the UK?s Industrial Strategy and maximises UK industry involvement in the through life arrangements.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131706,DESCA-DirMA@mod.uk,51335,Director Combat Air,,"?5,125,355"
47,,,,Air Commodore,Head of Typhoon  ,"The Typhoon project team is responsible for the management of the Typhoon programme, including the development and production of future capability and Aircrew Synthetic Training Aids (ASTA) programmes. Management of the support elements of the programme and the development and management of strategies which aim to support Typhoon throughout its operational life, including Integrated Logistics Support and Supply Chain Management.  The team is also responsible for the through-life management of the Typhoon Weapon System (Avionics, General Systems & Structures, Propulsion and Information Systems) and for the integration of weapons onto the aircraft platform. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131706,DESCA-DirMA@mod.uk,51335,Director Combat Air,,"?8,934,202"
179189,1583715,,,Air Commodore,Head of Harrier Survival Tornado & Safety Equipment,"The Harrier, Survival, Tornado and Safety Equipment team is responsible for a variety of Safety-related equipment on fast jet aircraft, and for the maintenance and support of the Harrier and Tornado aircraft.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131706,DESCA-DirMA@mod.uk,51335,Director Combat Air,,"?12,950,470"
1781,,,,SCS PB1,Head of Flying Training Support,The Flying Training Support Team is responsible for delivering military flying training through a programme of incremental acquisition that demonstrates commercial best practice; ensuring the transition from legacy equipment and platforms is seamless. ,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9131706,DESCA-DirMA@mod.uk,51335,Director Combat Air,,"?3,935,427"
175112,,Steve,McCarthy,SCS PB2,Director Change,"Responsible for Board-level direction and engagement on business change in DE&S, and for the development and implementation of the DE&S PACE (Performance, Agility, Confidence, Efficiency) programme.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130241,DESChange-DirEA@mod.uk,9000,Chief of Defence Materiel,,"?25,121"
168617,,,,SCS PB1,Head of Business Change Team,"Responsible for the day to day management of the overall PACE (Performance, Agility, Confidence and Efficiency) DE&S change programme.  Key responsibilities are to deliver the DE&S Blueprint; assure coherence and benefits realisation; deliver the key PACE elements of Collocation, Flexible Resourcing, Integrated Business Planning and Process Framework; and deliver the key elements of the Defence Acquisition Reform Programme in DE&S.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130241,DESChange-DirEA@mod.uk,175112,Director Change,,"?1,021,702"
115151,,,,SCS PB1,Head of Collocation Team,"Delivering the move of around 4,000 posts to Abbey Wood between Aug 07 and Mar 12, a new 600 desk space office building and rollout of flexible working across the site.  Part of the wider DE&S PACE programme, consolidation of acquisition-related activities in a single geographical area will enhance decision-making and improve the through-life management of defence capability.  It is a key enabler for wider MOD estate rationalisation.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130241,DESChange-DirEA@mod.uk,175112,Director Change,,"?1,426,919"
170772,,Les,Mosco,SCS PB2,Director Commercial ,"D Commercial is responsible for delivering a coherent and professional commercial service across the DE&S, and for providing advice, and support to senior commercial managers and Programme Teams across DE&S.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130007,DESComrcl-DirPS1@mod.uk,9005,Chief Corporate Services,,"?94,433"
159581,,,,SCS PB1,Head of Cost Assurance & Analysis ,"Provision of risk based cost/schedule forecasting, utilising Should Costing methodologies, in support of: Project foundation Milestone Reviews and DESIB/IAB business case submissions covering Initial Gate, Main Gate and Review Notes; and, Project Start Up activities being presented under JCB reviews in the development of an affordable Equipment Plan/Support Plan and the Strategic Defence Review. Provision of Estimating Assurance/Output Evaluation in support of projects seeking DESIB/IAB approval and for submissions within the Project Start Up and Project Foundation Milestone Review activities. Develop and advise on forecasting policy and standardised cost model development across MOD.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130007,DESComrcl-DirPS1@mod.uk,170772,Director Commercial,,"?2,108,008"
184578,,,,SCS PB1,Head Liaison Oil Pipeline Agency  ,"The Head OPA Liaison represents the Director Commercial in his role as Departmental Sponsor of the Oil and Pipeline Agency, the only public corporation 'owned' by MOD, and the Government Pipeline and Storage System (GPSS).  GPSS stores and supplies aviation fuel to airfields throughout the UK for military and civil use.  The system is approximately 50% of the total UK?s oil pipeline and delivers some 40% of its jet fuel.  His responsibilities are for front line, day to day liaison with the OPA on all operational aspects relating to OPA management and GPSS operations.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130007,DESComrcl-DirPS1@mod.uk,170772,Director Commercial,"Singleton post, no team",?0
115147,,,,SCS PB1,Head Commercial Project Enabling Team,"Delivery of MOD-wide e-procurement Programme, involving: implementation and support of e-purchasing system (P2P) delivering efficiency through simplified and speedy ordering and payment; MOD?s Government Procurement Card account; reverse auctions capability (delivering average of 15% savings); and e-contracting and business intelligence tools. Working with DG Fin on convergence of purchasing and payment systems to deliver savings under the Corporate Services programme. Other elements of team provide internal (free) consultancy support to joint project teams on joint working/relationship management in accordance with MOD?s Partnering Handbook along with other SME advice to teams. Commercial support provided to teams without their own commercial staff. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130007,DESComrcl-DirPS1@mod.uk,170772,Director Commercial,,"?2,749,028"
291,,,,SCS PB1,Head of Supplier Relations Team,"The Supplier Relations Team are responsible for the central performance management of DE&S' key commercial ans supplier relationships, providing advice to COO as the principle interface with industry.",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130007,DESComrcl-DirPS1@mod.uk,170772,Director Commercial,,"?1,459,978"
184584,,,,SCS PB1,Head of Commercial Operations & Plans,"Head of Commercial Operations & Plans supports the DE&S Director Commercial [not Director General Defence Commercial (DGDC) as in the original text] as Commercial Skills Champion, and represents DE&S on the DGDC People Skills Board. He also conducts commercial assurance of business cases submitted to the DESIB or IAB on D Commercial's behalf when required, and intervenes in specific projects at D Commercial's direction.  He also acts as the Senior Responsible Officer for the Commercial Conversion Scheme that seeks to re-skill resources from other functions to join the commercial function.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130007,DESComrcl-DirPS1@mod.uk,170772,Director Commercial,,"?613,076"
18626,,,,SCS PB1,"Head of Commercial, Commands & Centre","Head of Commercial, Commands and Centre is responsible for the provision of commercial advice and services to the Front Line Commands and to the MOD Centre, inclulding the management of centrally-administered enabling contracts.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130007,DESComrcl-DirPS1@mod.uk,170772,Director Commercial,,"?996,581"
3323,,David,Noble,SCS PB2,Director Finance,The D Finance Operating Centre has four principle functions: To provide sound financial accounting for DE&S; To provide financial management information to the board and operating centres; To ensure regularity and propriety throughout the TLB and support the financial assurance process in Operating Centres; To improve financial professionalism across DE&S.,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130201,DESFinance-DirSO@mod.uk,9000,Chief of Defence Materiel,,"?2,446,542"
148725,,,,SCS PB1,Head of Financial Accounting,"Responsible for helping to ensure the quality and veracity of financial information that is to be used for management reporting and decision-making across DE&S and the Department, and for the production of auditable financial accounts. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130201,DESFinance-DirSO@mod.uk,3323,Director Finance,,"?4,065,982"
183883,,,,SCS PB1,Head of Management Accountant,"The Management Accounting team provides management accounting information to MOD, the DE&S Board and Operating Centres.  Responsible for providing advice on in year management of the operating budget and the financial management of the additional funds for operations.  Manage the process of the Planning Round includes, collection, consolidation and presentation of data.  Collate and report efficiency, provision of guidance and the information. Develop future systems and processes to improve the Through Life Financial Management of Programmes.   ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130201,DESFinance-DirSO@mod.uk,3323,Director Finance,,"?1,244,309"
3179,,,,SCS PB2,Director Helicopters,Responsible for the acquisition and support of all current and future helicopter platforms and equipment in the MOD.  ,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134506,DESHels-DirMA@mod.uk,3320,Chief Operating Officer,,"?78,265"
139595,,,,SCS PB1,Head of Helicopters 2            ,"The Helicopters delivery team 2 is responsible for the acquisition, upgrading and support of the Chinook, Puma and Gazelle helicopters, as well as for the future Search and Rescue programme.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134506,DESHels-DirMA@mod.uk,3179,Director Helicopterss,,"?9,287,267"
173860,,,,SCS PB1,Head of Commercial,"Head of Commercial Helicopters is responsible for providing commercial advice and assurance to D Helicopters and commercial functional line management to all commercial staff within the Operating Centre.
",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9134506,DESHels-DirMA@mod.uk,3179,Director Helicopterss,,"?265,962"
