Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188108,127.91
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188108,284.27
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188108,284.27
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188108,284.27
Communities & Local Government,GO,10/01/2011,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,5106154398,585.62
Communities & Local Government,GO,10/01/2011,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,2100188147,803.27
Communities & Local Government,GO,10/01/2011,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,2100188156,803.27
Communities & Local Government,GO,10/01/2011,Car Lease (expense),GONE,HITACHI CAPITAL VEHICLE SOLUTIONS,5106154536,"1,110.96"
Communities & Local Government,GO,10/01/2011,Car Lease (expense),GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002920,618.75
Communities & Local Government,GO,10/01/2011,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106154496,"1,599.46"
Communities & Local Government,GO,10/01/2011,Electricity,RCU - PAM - Property Asset Management,NPOWER LTD,5106154381,"4,668.49"
Communities & Local Government,GO,10/01/2011,Fares UK,GO Car Park Income,REDFERN TRAVEL LIMITED,2100188134,281.64
Communities & Local Government,GO,10/01/2011,Fares UK,GOSE,REDFERN TRAVEL LIMITED,2100188134,"1,488.73"
Communities & Local Government,GO,10/01/2011,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,239.52
Communities & Local Government,GO,10/01/2011,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,630.65
Communities & Local Government,GO,10/01/2011,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,143.73
Communities & Local Government,GO,10/01/2011,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,84.52
Communities & Local Government,GO,10/01/2011,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,282.75
Communities & Local Government,GO,10/01/2011,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,510.68
Communities & Local Government,GO,10/01/2011,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,"1,210.24"
Communities & Local Government,GO,10/01/2011,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,382.19
Communities & Local Government,GO,10/01/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES (SOUTHERN) L,5106154500,"52,300.49"
Communities & Local Government,GO,10/01/2011,Gas,RCU - PAM - Property Asset Management,BRITISH GAS BUSINESS,5106154540,"2,234.58"
Communities & Local Government,GO,10/01/2011,Overseas expense,GOSE,REDFERN TRAVEL LIMITED,2100188134,309
Communities & Local Government,GO,10/01/2011,Overseas expense,GOSE,REDFERN TRAVEL LIMITED,2100188134,424.06
Communities & Local Government,GO,10/01/2011,Overseas expense,GOSE,REDFERN TRAVEL LIMITED,2100188134,-226.76
Communities & Local Government,GO,10/01/2011,Post,GONE,DCLG GOVERNMENT PROCUREMENT CARD,1000002921,"1,006.98"
Communities & Local Government,GO,10/01/2011,Post,GOSE,GOVERNMENT CAR & DESPATCH AGENCY,5106154437,"1,336.56"
Communities & Local Government,GO,10/01/2011,Publications,GORCU Admin DEL Votd,DCLG GOVERNMENT PROCUREMENT CARD,1000002915,528.16
Communities & Local Government,GO,10/01/2011,Publicity,GONE,PENNA PLC,2100188144,"1,480.59"
Communities & Local Government,GO,10/01/2011,Publicity,GONE,PENNA PLC,2100188145,"2,072.08"
Communities & Local Government,GO,10/01/2011,Publicity,GONE,PENNA PLC,2100188148,"1,155.27"
Communities & Local Government,GO,10/01/2011,Publicity,GONE,PENNA PLC,2100188149,"1,551.75"
Communities & Local Government,GO,10/01/2011,Publicity,GONE,PENNA PLC,2100188151,"5,351.54"
Communities & Local Government,GO,10/01/2011,Publicity,GONE,PENNA PLC,2100188152,"4,480.98"
Communities & Local Government,GO,10/01/2011,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100188134,279.96
Communities & Local Government,GO,10/01/2011,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100188134,71.73
Communities & Local Government,GO,10/01/2011,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100188134,-81
Communities & Local Government,GO,10/01/2011,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100188134,-13.08
Communities & Local Government,GO,10/01/2011,Subsistence UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,82
Communities & Local Government,GO,10/01/2011,Subsistence UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,106
Communities & Local Government,GO,10/01/2011,Subsistence UK,GOWM,REDFERN TRAVEL LIMITED,2100188143,295.42
Communities & Local Government,GO,10/01/2011,Telephone call costs,GORCU Admin DEL Votd,CABLE & WIRELESS,5106154504,"46,700.76"
Communities & Local Government,GO,10/01/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106154443,"4,330.00"
Communities & Local Government,GO,10/01/2011,Training,GOSE,GUILDFORD COLLEGE OF FURTHER EDUC,2100188137,"3,815.70"
Communities & Local Government,GO,10/01/2011,Training,GOSE,GUILDFORD COLLEGE OF FURTHER EDUC,2100188138,"3,827.12"
Communities & Local Government,GO,10/01/2011,Training,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002918,935.3
Communities & Local Government,GO,10/01/2011,Training,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002922,569.87
Communities & Local Government,GO,10/01/2011,Travel and Subsistence Account,GONE,DCLG GOVERNMENT PROCUREMENT CARD,1000002923,733.2
Communities & Local Government,GO,10/01/2011,Travel and Subsistence Account,GONE,DCLG GOVERNMENT PROCUREMENT CARD,1000002923,733.2
Communities & Local Government,GO,10/01/2011,Vehicle hire,GOSW,ARVAL,2100188139,"2,193.48"
Communities & Local Government,GO,11/01/2011,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106154598,"1,168.49"
Communities & Local Government,GO,11/01/2011,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106154600,"1,120.80"
Communities & Local Government,GO,11/01/2011,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106154609,"1,160.54"
Communities & Local Government,GO,11/01/2011,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106154610,755.15
Communities & Local Government,GO,11/01/2011,Domestic Services,RCU - PAM - Property Asset Management,FOSTERS BREATHING SPACE,5106154454,718.61
Communities & Local Government,GO,11/01/2011,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106154492,"1,532.95"
Communities & Local Government,GO,11/01/2011,Fares UK,GOSW,REDFERN TRAVEL LIMITED,2100188173,"6,245.35"
Communities & Local Government,GO,11/01/2011,Post,GONW,GOVERNMENT CAR & DESPATCH AGENCY,5106154588,681.5
Communities & Local Government,GO,11/01/2011,Post,GONW,GOVERNMENT CAR & DESPATCH AGENCY,5106154589,692.08
Communities & Local Government,GO,11/01/2011,Post,GORCU Admin DEL Votd,GOVERNMENT CAR & DESPATCH AGENCY,2100188200,-857
Communities & Local Government,GO,11/01/2011,Post,GORCU Admin DEL Votd,GOVERNMENT CAR & DESPATCH AGENCY,5106154168,857
Communities & Local Government,GO,11/01/2011,Stationery,GOWM,*OFFICETEAM LTD,2100188174,692.59
Communities & Local Government,GO,11/01/2011,Storage,GOE,IRON MOUNTAIN (UK) LIMITED,5106154587,840
Communities & Local Government,GO,11/01/2011,Telephone call costs,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106154653,"5,866.90"
Communities & Local Government,GO,11/01/2011,Training,GONW,BPP PROFESSIONAL EDUCATION,5106154614,"1,005.00"
Communities & Local Government,GO,11/01/2011,Training,GONW,DCLG GOVERNMENT PROCUREMENT CARD,1000002929,500
Communities & Local Government,GO,11/01/2011,Training,GORCU Admin DEL Votd,BRAY LEINO LTD,5106154640,"1,030.00"
Communities & Local Government,GO,11/01/2011,Training,GORCU Admin DEL Votd,CHARTERED INST OF HOUSING,5106154655,"1,762.50"
Communities & Local Government,GO,11/01/2011,Training,GOSW,KNOWLEDGE ACADEMY LTD,5106154556,"2,340.00"
Communities & Local Government,GO,11/01/2011,Travel and Subsistence Account,GONE,DCLG GOVERNMENT PROCUREMENT CARD,1000002930,"1,601.40"
Communities & Local Government,GO,12/01/2011,Fares UK,GONE,REDFERN TRAVEL LIMITED,2100188205,271.72
Communities & Local Government,GO,12/01/2011,Fares UK,GONW,REDFERN TRAVEL LIMITED,2100188205,81.42
Communities & Local Government,GO,12/01/2011,Fares UK,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188205,"12,453.77"
Communities & Local Government,GO,12/01/2011,Fares UK,RCU - PAM - Property Asset Management,REDFERN TRAVEL LIMITED,2100188205,"2,346.94"
Communities & Local Government,GO,12/01/2011,Training,GOSE,DODS PARLIAMENTARY COMM  LTD,5106154677,"1,440.00"
Communities & Local Government,GO,12/01/2011,Training,GOWM,CMT SERVICES LTD,2100188176,"3,525.00"
Communities & Local Government,GO,12/01/2011,Travel and Subsistence Account,GONW,REDFERN TRAVEL LIMITED,2100188198,"3,604.18"
Communities & Local Government,GO,13/01/2011,Domestic Services,RCU - PAM - Property Asset Management,GROWING SUCCESS LTD,5106154772,695.5
Communities & Local Government,GO,13/01/2011,Electricity,RCU - PAM - Property Asset Management,*SOUTHERN ELECTRIC PLC,5106154621,"7,868.04"
Communities & Local Government,GO,13/01/2011,Post,GORCU Admin DEL Votd,GOVERNMENT CAR & DESPATCH AGENCY,5106154813,857
Communities & Local Government,GO,13/01/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106153887,"3,200.00"
Communities & Local Government,GO,13/01/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106153889,"3,200.00"
Communities & Local Government,GO,13/01/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106153903,"3,200.00"
Communities & Local Government,GO,13/01/2011,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106154759,"2,275.00"
Communities & Local Government,GO,13/01/2011,Training,GORCU Admin DEL Votd,NATIONAL SCHOOL OF GOVERNMENT,5106154792,"7,500.00"
Communities & Local Government,GO,13/01/2011,Training,GOYH,PR ACADEMY,2100188242,"1,400.00"
Communities & Local Government,GO,14/01/2011,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106154866,844.45
Communities & Local Government,GO,14/01/2011,Professional services,GORCU Admin DEL Votd,LOGICA (CMG UK LTD),5106154875,"2,543.79"
Communities & Local Government,GO,14/01/2011,Professional services,GORCU Admin DEL Votd,LOGICA (CMG UK LTD),5106154877,462.2
Communities & Local Government,GO,14/01/2011,Professional services,GORCU Admin DEL Votd,LOGICA (CMG UK LTD),5106154879,"8,636.17"
Communities & Local Government,GO,14/01/2011,Publicity,GONE,PENNA PLC,2100188274,"3,700.37"
Communities & Local Government,GO,14/01/2011,Removals and Porterage,GOYH,FINE ART SERVICES LTD,2100188278,"1,350.00"
Communities & Local Government,GO,14/01/2011,Training,GOSE,ITS FEDA LTD,5106154871,"8,431.20"
Communities & Local Government,GO,17/01/2011,Hospitalty,GOYH,AMEY COMMUNITY LTD,2100188324,357.39
Communities & Local Government,GO,17/01/2011,IT - Service Contracts,GORCU Admin DEL Votd,METHODS CONSULTING LTD,5106155047,"19,500.00"
Communities & Local Government,GO,17/01/2011,IT Maintenance,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106155073,"19,800.00"
Communities & Local Government,GO,17/01/2011,Post,GOYH,AMEY COMMUNITY LTD,2100188324,528.75
Communities & Local Government,GO,17/01/2011,Stationery,GOYH,AMEY COMMUNITY LTD,2100188324,872.67
Communities & Local Government,GO,17/01/2011,Telecoms equipment (non-capitalised),GORCU Admin DEL Votd,VODAFONE LTD (PAGING),5106155091,653.72
Communities & Local Government,GO,17/01/2011,Training,GOWM,QA  LTD,2100188330,821.33
Communities & Local Government,GO,17/01/2011,Training,GOWM,QA  LTD,2100188331,"28,722.88"
Communities & Local Government,GO,17/01/2011,Training,GOWM,TALLY HO SPORTS & CONFERENCE CENTRE,2100188318,819.85
Communities & Local Government,GO,18/01/2011,Conferences and Meeting Facilities,GONW,BUSINESS IN THE COMMUNITY,5106155200,"1,762.50"
Communities & Local Government,GO,18/01/2011,Electricity,RCU - PAM - Property Asset Management,GREEN ENERGY UK PLC,5106155228,"1,319.36"
Communities & Local Government,GO,18/01/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE FAC SERV LTD (STH WEST & WALE,5106155205,"15,960.54"
Communities & Local Government,GO,18/01/2011,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,2100187471,"3,085.46"
Communities & Local Government,GO,18/01/2011,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,2100187471,"7,085.52"
Communities & Local Government,GO,18/01/2011,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,2100188370,"-3,085.46"
Communities & Local Government,GO,18/01/2011,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,2100188370,"-7,085.52"
Communities & Local Government,GO,18/01/2011,Rates,RCU - PAM - Property Asset Management,MANCHESTER CITY COUNCIL,2100188329,444.14
Communities & Local Government,GO,18/01/2011,Rates,RCU - PAM - Property Asset Management,MANCHESTER CITY COUNCIL,2100188329,55.81
Communities & Local Government,GO,18/01/2011,Training,GORCU Admin DEL Votd,PRICEWATERHOUSECOOPERS,5106155202,"2,881.00"
Communities & Local Government,GO,18/01/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,MITIE FAC SERV LTD (STH WEST & WALE,5106155176,"4,335.80"
Communities & Local Government,GO,19/01/2011,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106154487,"9,009.03"
Communities & Local Government,GO,19/01/2011,Electricity,RCU - PAM - Property Asset Management,SOUTHERN ELECTRIC PLC,5106154633,"7,362.80"
Communities & Local Government,GO,19/01/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,5106155017,"51,781.25"
Communities & Local Government,GO,19/01/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,5106155019,"52,262.32"
Communities & Local Government,GO,19/01/2011,Minor office costs,GONE,SHRED IT EUROPE LTD,5106155242,540
Communities & Local Government,GO,19/01/2011,Storage,RCU - PAM - Property Asset Management,DCLG GOVERNMENT PROCUREMENT CARD,1000002942,504.53
Communities & Local Government,GO,19/01/2011,Training,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002945,941.01
Communities & Local Government,GO,20/01/2011,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106155065,"2,048.78"
Communities & Local Government,GO,20/01/2011,Agency Staff,GOSW,SWAN,5106155335,"5,000.00"
Communities & Local Government,GO,20/01/2011,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106155338,"1,728.90"
Communities & Local Government,GO,20/01/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106153601,"1,821.61"
Communities & Local Government,GO,20/01/2011,"IT - PC, Network & Hardware",RCU - PAM - Property Asset Management,FUJITSU SERVICES LTD,5106155390,"2,388.00"
Communities & Local Government,GO,20/01/2011,IT - Service Contracts,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106155394,"302,385.33"
Communities & Local Government,GO,20/01/2011,IT - Service Contracts,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106155396,"294,078.01"
Communities & Local Government,GO,20/01/2011,IT SUPPORT,GOEM,MULTITIME SYSTEMS LTD,2100188418,"1,164.43"
Communities & Local Government,GO,20/01/2011,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,2100188369,"7,085.52"
Communities & Local Government,GO,20/01/2011,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,2100188369,"3,085.46"
Communities & Local Government,GO,20/01/2011,Research,GOEM,H R WALLINGFORD LTD,5106155381,"13,994.40"
Communities & Local Government,GO,20/01/2011,Telecoms equipment (non-capitalised),GORCU Admin DEL Votd,CABLE & WIRELESS,5106155432,508.1
Communities & Local Government,GO,20/01/2011,Telephone call costs,GORCU Admin DEL Votd,PREMIERE CONFERENCING,5106155376,759.72
Communities & Local Government,GO,20/01/2011,Training,GORCU Admin DEL Votd,PRICEWATERHOUSECOOPERS,5106155334,"1,568.50"
Communities & Local Government,GO,20/01/2011,Training,GORCU Admin DEL Votd,PRICEWATERHOUSECOOPERS,5106155347,"2,881.00"
Communities & Local Government,GO,21/01/2011,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106155502,"1,038.82"
Communities & Local Government,GO,21/01/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE FAC SERV LTD (STH WEST & WALE,5106155451,"35,072.30"
