Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cost of Sales - Freelance Technicians,Interface,CHRISTOPHER SHEAD T/A Global Idea,11718,600
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cost of Sales - Freelance Technicians,Interface,CHRISTOPHER SHEAD T/A Global Idea,11719,1030
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cost of Sales - Freelance Technicians,Interface,DENE UNSWORTH,11720,1159
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Water,Operations,THAMES WATER UTILITIES LTD,11722,4419.55
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Electricity,Operations,EDF ENERGY,11723,30840.77
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Consultants,Administration,JTE CONSULTANCY LTD,11726,537.7
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,11729,425.65
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Disposal Of Waste,Operations,BPR GROUP EUROPE LTD,11730,651.6
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Internet & Telecomms,Interface,BARCLAYCARD PROCUREMENT CARD,11731,38.37
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cost of Sales - Equipment Hire,Interface,BARCLAYCARD PROCUREMENT CARD,11731,492.74
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,11731,452.74
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Internet & Telecomms,ITC Department,BARCLAYCARD PROCUREMENT CARD,11731,59.15
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cost Of Sales - Consumables,Business Centre,BARCLAYCARD PROCUREMENT CARD,11731,76.43
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,IT Equipment Maintenance,ITC Department,BARCLAYCARD PROCUREMENT CARD,11731,3501.88
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Maintenance,Interface,BARCLAYCARD PROCUREMENT CARD,11731,41.01
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Travel,ITC Department,BARCLAYCARD PROCUREMENT CARD,11731,56
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Mobile Phone Costs,Interface,BARCLAYCARD PROCUREMENT CARD,11731,20
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Staff Expenses,Interface,BARCLAYCARD PROCUREMENT CARD,11731,68.74
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cost of Sales - Equipment Hire,ITC Department,BARCLAYCARD PROCUREMENT CARD,11731,33.8
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Training,Administration,BARCLAYCARD PROCUREMENT CARD,11731,222
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Postage Stamps,Business Centre,BARCLAYCARD PROCUREMENT CARD,11731,114.39
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Travel,Interface,BARCLAYCARD PROCUREMENT CARD,11731,124.81
Communities And Local Government,Queen Elizabeth II Conference Centre,14/07/2010,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,11733,1007.3
Communities And Local Government,Queen Elizabeth II Conference Centre,14/07/2010,Cost of Sales - Freelance Technicians,Interface,LAWRENCE TILDESLEY,11734,447
Communities And Local Government,Queen Elizabeth II Conference Centre,14/07/2010,Marketing,Commercial,LAWRENCE TILDESLEY,11734,200
Communities And Local Government,Queen Elizabeth II Conference Centre,14/07/2010,Cost of Sales - Commission,Commercial,GovNet Communications,11735,1164.3
Communities And Local Government,Queen Elizabeth II Conference Centre,14/07/2010,Consumables,ITC Department,Scorpio Computer Supplies Limited,11736,490.94
Communities And Local Government,Queen Elizabeth II Conference Centre,14/07/2010,Internet & Telecomms,ITC Department,VERIZON UK LIMITED,11739,1852
Communities And Local Government,Queen Elizabeth II Conference Centre,14/07/2010,Marketing,Commercial,VERIZON UK LIMITED,11739,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,14/07/2010,Cost of Sales - Equipment Hire,ITC Department,VERIZON UK LIMITED,11740,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Cost of Sales - Commission,Commercial,Pro-ven,11742,680.88
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Cost of Sales - Mini Shifts,Event Management,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,11747,3300
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,11748,633.44
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,11749,743.16
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Gas,Operations,CORONA ENERGY,11750,3565.13
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Marketing,Commercial,Leith's at the Centre,11752,899
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Exhibitions,Commercial,Visit London Ltd,11754,6750
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Marketing,Commercial,Visit London Ltd,11755,450
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Cost of Sales - Telecommunications,ITC Department,VERIZON UK LIMITED,11760,455.33
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Cost of Sales - Telecommunications,ITC Department,VERIZON UK LIMITED,11761,824.29
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Consumables,ITC Department,Scorpio Computer Supplies Limited,11763,922.35
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Cost of Sales - Freelance Technicians,Interface,MATTHEW JACKSON,11764,800
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Consumables,ITC Department,VITESSE PLC,11765,2010.1
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Cost of Sales - Contract Labour,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11767,2982.78
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Security,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11767,4533.3
Communities And Local Government,Queen Elizabeth II Conference Centre,16/07/2010,Building Improvements,Operations,THE FRIARY ELECTRICAL COMPANY,11768,4203.04
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,11771,26692
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Advertising,Commercial,INTERACTION MEDIA LTD,11775,3053.05
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Advertising,Commercial,INTERACTION MEDIA LTD,11776,500.5
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Cost of Sales - Freelance Technicians,Interface,CHRIS BRAUN,11778,1316
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Cost of Sales - Freelance Technicians,Interface,TOM MORRIS,11779,1966
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Consultants,Commercial,Jude Cosway Consultancy Services,11780,925
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Marketing,Commercial,Marmalade On Toast,11781,500
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Disposal Of Waste,Operations,BPR GROUP EUROPE LTD,11782,909.6
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Maintenance,Operations,NATIONAL CRADLE MAINTENANCE LTD,11784,750
Communities And Local Government,Queen Elizabeth II Conference Centre,20/07/2010,Maintenance,Operations,NATIONAL CRADLE MAINTENANCE LTD,11785,730
Communities And Local Government,Queen Elizabeth II Conference Centre,21/07/2010,Building Improvements,Operations,LIME,11787,3420
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2010,Electricity,Operations,"EDF ENERGY CUST FIELD SERVICES
(annual)",11788,597
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11791,2445.11
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11794,1312.1
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11796,3251.86
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11797,508.03
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2010,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,11799,550.01
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2010,Maintenance,Operations,SHIELD PEST CONTROL,11801,447.8
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2010,Agency Labour,Commercial,Poolia UK Ltd,11802,487.8
Communities And Local Government,Queen Elizabeth II Conference Centre,22/07/2010,IT Equipment Maintenance,ITC Department,INSIGHT DIRECT UK LTD,11806,1737.12
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2010,Cost of Sales - Equipment Hire,Interface,ESSENTIAL LIGHTING LTD,11808,510
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2010,Consultants,Operations,CUNDALL JOHNSTON & PARTNERS LLP,11810,1110
Communities And Local Government,Queen Elizabeth II Conference Centre,23/07/2010,Consultants,Commercial,WATTERSTON ASSOCIATES LTD,11811,1336
Communities And Local Government,Queen Elizabeth II Conference Centre,26/07/2010,Cost of Sales - Commission,Commercial,Ingenium-SE Limited,11812,2228.25
Communities And Local Government,Queen Elizabeth II Conference Centre,26/07/2010,Cost of Sales - Commission,Commercial,GovNet Communications,11813,1185
Communities And Local Government,Queen Elizabeth II Conference Centre,26/07/2010,Maintenance,Operations,ENABLE ACCESS,11818,434
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2010,Cost of Sales - Equipment Hire,Interface,VOICE & SCRIPT INTERNATIONAL LTD,11819,1057.85
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2010,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,11822,735.18
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2010,Cost of Sales - Freelance Technicians,Interface,DENE UNSWORTH,11824,1133
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2010,Cost of Sales - Freelance Technicians,Interface,JIM COUGHLAN VISUAL COMM. LTD,11828,447
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2010,Agency Labour,Commercial,Poolia UK Ltd,11830,487.8
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2010,Cost of Sales - Equipment Hire,Operations,EVE TRAKWAY LTD,11832,1121.82
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2010,Marketing,Commercial,Marmalade On Toast,11833,500
Communities And Local Government,Queen Elizabeth II Conference Centre,27/07/2010,Cost of Sales - Time & Labour,Event Management,MOORE PEOPLE KENNER LTD,11834,1296.75
Communities And Local Government,Queen Elizabeth II Conference Centre,28/07/2010,Advertising,Commercial,DK ADVERTISING LTD,11836,1500
Communities And Local Government,Queen Elizabeth II Conference Centre,28/07/2010,Audit Costs,Administration,NATIONAL AUDIT OFFICE,11842,37500
Communities And Local Government,Queen Elizabeth II Conference Centre,29/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11843,38688.43
Communities And Local Government,Queen Elizabeth II Conference Centre,29/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11844,4398.25
Communities And Local Government,Queen Elizabeth II Conference Centre,29/07/2010,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,11848,501.08
Communities And Local Government,Queen Elizabeth II Conference Centre,02/08/2010,Consultants,Commercial,Lychee3 Solutions Ltd,11852,3000
Communities And Local Government,Queen Elizabeth II Conference Centre,02/08/2010,Marketing,Commercial,ANISEED PR LTD,11854,2020
Communities And Local Government,Queen Elizabeth II Conference Centre,02/08/2010,Agency Labour,Commercial,Poolia UK Ltd,11855,487.8
Communities And Local Government,Queen Elizabeth II Conference Centre,02/08/2010,Security,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11856,38495.99
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2010,Cost of Sales - Freelance Technicians,Interface,MATTHEW WILDE,11860,431
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2010,Travel,Interface,GREATER LONDON HIRE LTD,11862,85.67
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2010,Travel,ITC Department,GREATER LONDON HIRE LTD,11862,52.7
Communities And Local Government,Queen Elizabeth II Conference Centre,03/08/2010,Travel,Event Management,GREATER LONDON HIRE LTD,11862,533.43
