FREEDOM OF INFORMATION,,
MOD Requests to 30 April 2010,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,

Case Number,Date Due,Request Summary
09-04-2010-125235-001,06/05/2010,"Hard copies of any information relating to the submarine HMS Truculent. Of specific interest is the period immediately before the sinking, ie during overhaul at Sheerness. Also any and all photographs of Truculent from any period, its officers and crew, salvage pictures and reports, Courts Martial documents relating to the disaster, and any further information held by the MoD on this vessel."
09-04-2010-143548-001,07/05/2010,Request for Search and Rescue stats
09-04-2010-144337-002,06/05/2010,An electronic copy of the report entitled MET Relocation Project - from Bracknell to Exeter
09-04-2010-155738-003,10/05/2010,Total number of soldiers that had limb amputations within the last ten years (2000-2009)? How many amputees were treated for psychiatric disorders? How many were able to return to battle? 
09-04-2010-161046-001,06/05/2010,Copies of all reports and assessments sent to the Ministry of Defence by the commanding officer (or his colleagues) of the Royal Scots Dragoon Guards battlegroup in 2003 on how the system of embedded journalists worked during the five weeks of 2003 in which war correspondents were embedded with the battlegroup.
09-04-2010-162719-002,06/05/2010,Annual armed forces recruitment from the North West area. Annual veterans retired from the armed forces in the Northwest. Any estimate of the number of veterans already retired into the Northwest over the past 25 years.
09-04-2010-164630-001,06/05/2010,"Please provide details of birth place and family, war service and any other information that might be useful of specified individual'"
12-04-2010-095022-001,07/05/2010,I have recently read that some Ex-service Maunsell Forts have been sold to members of the public. I wish to know if and how I can purchase one? 
12-04-2010-100112-002,10/05/2010,"How many of your military personnel, in the ages 15 - 24 years old, that lived in military quarters in 2008. "
12-04-2010-100706-001,07/05/2010,Leadership style of Military Officers in 21st century and their relationship with the more experienced lower ranks
12-04-2010-101622-002,07/05/2010,How many Taliban have been killed by British Forces since the Afghanistan War began?
12-04-2010-103324-003,07/05/2010," The number of complaints relating to residential accommodation in the UK occupied by members of the armed forces and their families received for each of the years 2007, 2008 and 2009."
12-04-2010-104304-004,10/05/2010,"I require the Business Case and financial aspects of the upgrading of Glendhu, Station Road, Brampton, Cumbria, CA8 1EX which is to be commenced in July 2010. "
12-04-2010-110445-002,10/05/2010,A copy of The Review of the Armed Forces Compensation Scheme.
12-04-2010-111123-005,10/05/2010,A full set of your Annual Report and Accounts.
12-04-2010-112148-006,10/05/2010,"(1) Does a Ministry of Defense's veteran roll exist? Is it possible to obtain information beside the single information provided by the personal service record? (2) Is that public or confidential?  (3) If the register is public, how it is possible to consult it?"
12-04-2010-113757-002,07/05/2010,I am currently in the process of gathering information on the extent of lowland heathland management in the UK and the impact this has on native reptile populations.
12-04-2010-115031-003,07/05/2010,Follow up three questions on previous request regarding deaths in Iraq and Afghanistan.
12-04-2010-115946-003,07/05/2010,"Geodata (ESRI shapefiles) concerning the MOD radar, ASACS radar sites and MOD low flying areas. "
12-04-2010-120724-004,07/05/2010,"1. The amount of money spent on consultancy services in the Police Force for the financial year 2009-2010. 2. The names of these consultants (companies only) and where possible a short description of the services provided. Consultancy in this sense means things such as recruitment consultants, training consultants (e.g. conflict training), security consultancy (e.g. in building security), management and efficiency consultancy etc."
12-04-2010-121402-004,27/04/2010,Recorded temperatures during the period Start 00:00 hrs on the 17th of December through 00:00 hrs 23rd of December 2009. Recorded hourly temperatures covering the entire 168 hours for the dates indicated above taken at the RAF base at Saintathan in South Wales. 
12-04-2010-121530-005,07/05/2010,a) a member of the public has been stopped under the Ballykinler Ranges Bye-Laws 1940 since 1990: b) the number of prosecutions the Ministry of Defence has brought against persons under the Ballykinler Bye-Laws 1940. Please could you inform me whether there is any additional guidance and/or policy regarding regarding rights of way upon Ministry of Defence property in Northern Ireland.
12-04-2010-122048-004,07/05/2010,"1. How many British servicewomen have been sent home from Iraq and Afghanistan after getting pregnant in the years 2007, 2008, 2009 ? Please provide the figures for each year and country; 2. How many British servicewomen have been sent home from other areas of operation after getting pregnant in the years 2007, 2008 and 2009? Please provide the figures for each year and country."
12-04-2010-123027-006,10/05/2010,Where is the extraterrestrial hotspot of Northern Ireland according to figures  from 2007 to 2009? The details of these claims made by the public? A break-down of when these reports were made?
12-04-2010-123909-007,10/05/2010,I would like details of any flights which took place from RAF Wyton between the dates 24-30 January 1974. I am specifically interested in flights which were made over the Berwyn Mountains area of mid North Wales in response to a possible meteorite seen coming to earth on 23 January. Police records indicate a plane was sent to take photographs of the area.
12-04-2010-124957-008,10/05/2010,"Full details of staffing within the department and related agencies, for each year from 2003-04 to the present. I would like the information to include: i) the number of posts; ii) the number of permanent employees; iii) the number of temporary staff employed; iv) the number of staff recruited; v) the number of staff made redundant; vi) the number of staff transferred to other public sector bodies (please name each organisation); vii) the number of staff brought into the department from other public sector bodies (please name each organisation)."
12-04-2010-130137-007,10/05/2010,Details of the cost of the recent contract placed with Triton group for specialist subsea surveillance equipment including the Comanche Remotely Operated Vehicle (ROV) .
12-04-2010-131211-008,10/05/2010,"Full details of external research projects commissioned and/or funded, in whole or in part, by your department since 2005.I would like the response to include the name of each project, the institutions/individuals involved, date of commission/confirmation of funding decision, expected/actual date of delivery and subsequent publication, and the cost to the department."
12-04-2010-131912-009,10/05/2010,"Access to and copies of all documents, including emails, meeting reports, minutes, emails, official communications and representations relating to the size, maintenance and use  of the UK stockpile of white phosphorous shells since January 1, 2007.
"
12-04-2010-132725-001,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to The confiscation of non-standard issue military equipment from members of HM Armed Forces in each year since 2001."
12-04-2010-145839-001,10/05/2010,Full details of the MOD Art Collection (MODAC) 
12-04-2010-150250-002,10/05/2010,"Details of recorded missing (a) weapons and (b) weapons parts reports made to the Royal Military Police between May 2002 and the present.I would like the response to include reports of losses and thefts, whether the item was recovered, and action taken as a result."
12-04-2010-150813-001,10/05/2010,"Full details of civilian contractors working in Iraq and Afghanistan in each year since 2001. I would like the response to include: i) the total number of contractors associated with the Coalition/ISAF missions, where they are based and the roles they are fulfilling; ii) the number working for UK Government departments and agencies, where they are based and the roles they are fulfilling; iii) the number working for other governments, where they are based and the roles they are fulfilling;i v) the numbers killed and wounded during the period in Afghanistan since 2001, and in Iraq since 2003."
12-04-2010-151313-002,10/05/2010,"Full details of staff working for non-governmental organisations in Iraq and Afghanistan in each year since 2001.I would like the response to include:the total number of NGO staff in each country, where they are based and the roles they are fulfilling their nationality their employers the numbers killed and wounded during the period in Afghanistan since 2001, and in Iraq since 2003."
12-04-2010-151754-003,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to Planning and consultations regarding the timing and nature of the military training exercise Joint Warrior, given that the exercise coincided with the lambing season."
12-04-2010-152215-002,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to attempts to procure an alternative to real fur for the production of bearskin caps, in each year for which figures are available. I would like the response to include full details of trials, research and investment in a wide variety of samples and treatments of imitation bearskin. "
12-04-2010-152815-001,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to the condition of Afghan police and recruits, since January, 2008. I would like the response to include details of communications within and between UK Government departments and agencies, as well as with foreign and international organisations, on the physical and psychological suitability of officers and would-be officers, together with the results of relevant tests, such as drug tests, during the period."
12-04-2010-153706-003,10/05/2010,"Details of all international sales of surplus MoD stock, weaponry and vehicles valued at over ?3m in each year since 1997. I would like the response to include a description of each item, price realised, purchasing nation or organisation and date of sale for each year during the period."
12-04-2010-154234-004,10/05/2010,"Full details of all allegations of abuse or mistreatment made against British forces in Afghanistan since 2001. I would like the response to include date of each alleged incident, nature of incident, status/result of any investigation and subsequent action."
12-04-2010-154754-002,10/05/2010,"Full details of all allegations of abuse or mistreatment made against British forces in Iraq since 2003. I would like the response to include date of each alleged incident, nature of incident, status/result of any investigation and subsequent action."
12-04-2010-155237-005,10/05/2010,"Full details of the amount spent on bar and waiting staff by the Ministry of Defence in each year since 2004. I would like the response to include a detailed breakdown of the number of staff employed in each area, their grades, and the expenditure on the operation in each year during the period."
12-04-2010-155645-006,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to Discussions of the potential for disposing of the Afghan heroin crop by destruction or cultivation for legitimate commercial use since January 1, 2007. I would like the response to include details of discussions within and between Government departments and with international partners, including the United States and Afghanistan, and any proposals/studies/scoping reports produced on the issue."
12-04-2010-160102-004,10/05/2010,"Full details of flights provided for individuals at the rank of Commodore, Air Commodore, Brigadier and above on service flights, since January 1, 2009. I would like the response to include a breakdown of date, location of departure and destination, officer involved and estimated cost for each flight. I would also like a copy of the latest guidance governing the provision of service flights for the transportation of officers between locations and engagements."
12-04-2010-160711-003,10/05/2010,"All information produced by the Surveillance, Monitoring, Targeting and Verification project, on Afghan heroin production, in each year of its operation. I would like the response to include pictures produced by the project and details of how they have been used to monitor production and formulate policy on the heroin operation."
12-04-2010-161235-005,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to Notice received by the Ministry of Defence of the perceived deficiencies of Land Rovers for operational duty, from 2001. I would like the response to include full details of the instance in 2003, when the possibility of Royal Military Police units being equipped with better protected vehicles, when required to deploy in advanced positions in operational theatres, was raised (Official Report, 17 Sep 2008 : Column 2253W)."
12-04-2010-161853-003,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to The industry briefing day proposed for 23 October, 2008, to discuss the feasibility of mounting a competition to develop and produce a synthetic cap to the current design using material that matches the performance characteristics of black bear fur."
12-04-2010-162340-004,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to Consideration of tilt-rotor aircraft in the context of studies to inform the composition of the UK?s future aircraft fleet, in line with the statement of Baroness Taylor in the House of Lords on 20 Oct 2008 (Official Report: Column WA76).I would like the response to include details of studies considered during the process, opinions sought and given, and the final decision."
12-04-2010-163033-006,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to the conduct of basic fitness policy in the British Army since January, 2007. I would like the response to include assessments of the policy of ensuring troops are of a required standard of physical fitness and its impact on the fitness of personnel, and the progress of efforts to  introduce a body composition measurement"" policy and a minimum of three physical training sessions a week."
12-04-2010-163424-007,10/05/2010,"Full details of The cost of clearing MoD firing-ranges in each year since 2005.I would like the response to include the number of times each range is cleared per year, the work carried out ? eg removal, filtering and replacement of sand ? the cost of each operation and amounts paid to any contractors who carry out the work."
12-04-2010-163841-008,10/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to Assessment and feedback relating to the pay-as-you-dine system in operation throughout the armed forces, dating from January 2008. I would like the response to include details of feedback on trial sites, focus groups, food diaries and formal assessments carried out by market research companies."
12-04-2010-164354-007,12/05/2010,"Access to and copies of all documents, including meeting reports, minutes, emails, official communications and representations relating to discussions over  the implications of the rising levels of non-UK citizens within the armed forces, since January 2008."
12-04-2010-173148-005,11/05/2010,I would like a copy of an interrogation report from May 1993 from the Intelligence Corps.
12-04-2010-173904-010,11/05/2010,"How much was paid from public funds in compensation payments, resulting from internal disputes, to MoD civilian members of staff for each of the financial years 2000-01 to 2009-10?"
12-04-2010-174343-008,11/05/2010," Full details of departmental assets to the value of £250,000 or more which is currently mothballed ? ie temporarily suspended or put into storage. I would like the response to include details of each asset or collection of assets ? eg, consignments of helmets, etc ? property, land or  building, the value, the reason for suspension/storage and the length of time it has been beyond use.",STOP
13-04-2010-103411-001,10/05/2010,I would like any documents relating to the governments role in using media pressure and apathy to control support for either the Iraq or Afghan war.,
13-04-2010-113325-001,11/05/2010,There is a plot of land marked as MOD property near clopton in Northamptonshire. I noticed there is a set of stairs going into the ground. Whats this for? Is it a bunker?,
13-04-2010-122855-002,11/05/2010,"I have found what is believed to be small wreckage parts of 2 harrier jets which collided in january 1976 almost 35 years ago and wish to mount the wreckage parts along with the model in our local libraries around cheshire the librarian at winsford library seems keen on displaying the finds,however he does ask for a clearance letter from yourselves.",
13-04-2010-130951-001,11/05/2010,Claim against an injury incurred during training.,
13-04-2010-143238-002,11/05/2010,A copy of the following report: DISCUSSION DOCUMENT FOR THE LONG TERM STRATEGY TO PURCHASE TRACK FOR DLO MANAGED ?A? VEHICLES -   VCMT  07-8 Track Future -  Dated:  050519 Or any related documents which have been produced as alternatives to or have superseded this one.,
13-04-2010-143251-003,11/05/2010,A copy of the following report:  DISCUSSION DOCUMENT FOR THE LONG TERM STRATEGY TO PURCHASE TRACK FOR DLO MANAGED ?A? VEHICLES -   VCMT  07-8 Track Future -  Dated:  050519 Or any related documents which have been produced as alternatives to or have superseded this one.,
13-04-2010-145209-004,11/05/2010,Records of the proceedings of any official inquiry into the technical aspects surrounding the flying accident that befell Lieutenant Reginald Walter Le Gallais at Throwley Aerodrom on the 15 September 1917?,
13-04-2010-145810-001,11/05/2010, E-Mails between HR Director Richard Hatfield and Common Purpose during the last year.,
13-04-2010-150317-001,11/05/2010,Please disclose E-Mails between Commodore Ian Jess and Common Purpose during the last year,
13-04-2010-152036-005,11/05/2010,"I'm looking for information on, in this case, the British PRT in Helmand. Specific information about size, structure, tactics, strategy etc. I'm also looking for infromation on the effectiveness of this PRT by looking at three indicators: providing security (indicators would be: size of Afghan National Army, Afghan National Police, number of attacks, number of civilian casaulties as a result of Taliban attacks, the feeling of security), strengthening the reach of the Afghan government (number of civil servants, effectiveness of government, support by local population for government ect) and the distribution of welfare (in this case reconstruction, indicators would be number of projects, number of schools, public services etc.). Basically all data/statistics between 2006 and 2010 on Helmand would be more than welcome. I don't have a specific year but because i want to look if there is any progress, information from the first year (2006 or 2007) and the last year (2009) would provide me with some indication if the PRTs had any effect in the province of Helmand. ",
13-04-2010-153110-006,11/05/2010,"I would like information on any flights or operations or aircraft movements by the Battle of Britain Memorial Flight between 7 March 2010 and 14 March 2010, in particular by the Hurricane or Spitfire aircraft in the flight. Also, if in that week or so, any of the aircraft were involved in a 'fly past' to pay tribute at the funeral of former RAF officers, then who was that former RAF officer that they were paying tribute to on that date.",
13-04-2010-154832-001,12/05/2010,"Any briefings for new minsters that were prepared by the MoD prior to or during the elections of 1983, 1987 and 1992 and which cover the issues of defence, foreign policy, nuclear weapons and disarmament.",
14-04-2010-103333-001,12/05/2010,"Please could you provide details of all significant Ministry of Defence, Royal Navy, Army and Royal Air Force locations within the East Midlands region?",
14-04-2010-105113-002,12/05/2010,Nine suggested ideas on saving money.,
14-04-2010-111332-001,12/05/2010,"I would like to request a copy of the RAF (SIB) Police report, relating to my request for an investigation into the alleged criminal forgery of my signatures. The alleged incidents took place in November 2008 while on Op HERRICK 9.",
14-04-2010-112741-001,13/05/2010,How many available 2/3 bedroom houses are there on the Drury Meadow estate in Colchester.
14-04-2010-122611-002,27/04/2010,Request a copy of and the reply to any letter reference complaints of Service pay written by Service Personnel or Ex Service Personnel. This time to the last eight letters you received on this topic in 2009
14-04-2010-132257-002,06/05/2010,I am requesting the addresses of void SFA properties in Greater London.
14-04-2010-132818-003,11/05/2010,"RAF Fylingdales - Please advise me what documentary evidence of soil or water contamination is held, what evidence of any advice on how the contamination is dealt with, and whether any past contamination has been remediated."
14-04-2010-154839-001,06/04/2010,Chinook Mk 2 documents.
14-04-2010-160850-002,13/05/2010,"I would like to apply for information regarding flights of any aircraft or helicopters that were involved in an aerial search of the Berwyn Mountains area of North Wales, between 24 and 30 January 1974. I am reliably infomred that Harriers were involved in this incident."
14-04-2010-161303-001,13/05/2010,I would like to apply for any information regarding any flights of aircraft or helicopters from RAF Shawbury which took place regarding an aerial search of the Berwyn Mountains area between 24 and 20 january 1974. I am informed that Gazelles were involved in this event.
14-04-2010-161623-001,13/05/2010,I would like to apply for any information regarding any flights of aircraft or helicopters from RAF Wittering which took place regarding an aerial search of the Berwyn Mountains area between 24 and 20 January 1974. I am informed that Harriers were involved in this event.
14-04-2010-162131-002,13/05/2010,"I request a copy of the pre-deployment report that was written by British forces ahead of the Helmand Deployment in 2006. The report was compiled by the J2 officer for the recce force sent into Helmand in late 2005 and early 2006. It is an assessment of conditions in the province, the political and economic situation and expected Taliban opposition."
14-04-2010-162813-004,13/05/2010,"1.	Article 119 of the treaty of Rome defines occupational pensions deferred payments2.	Please clarify whether recipients of service pensions with a commitment to HM reserve can legitimately claim to b Serving the Crown given they're contractually obligated under the reserve service act and are paid as defined above. 3.	If MOD feel para 1 is incorrect does the obligation  @para 2 constitute Serving the Crown?"
14-04-2010-163956-001,09/04/2010,"Access to the following files held at The National Archives: DEFE 7/2281, DEFE 7/2282, DEFE 7/2283, DEFE 7/2284"
14-04-2010-164059-002,13/05/2010,Please could you release to me the interim findings of the review by Trevor Wooley of the Terms and Conditions of Service of the Ministry of Defence Police. 
14-04-2010-164923-002,13/05/2010,"I would like to request a copy of Joint Service Publication 579 - Arrangements for Broadcasters, Film Makers and Other Media on Projects with the Ministry of Defence."
14-04-2010-170748-003,13/05/2010,Statistics regarding divorce rates in the armed forces. It would be breat to get a figure for 1999 and one for 2009 to make a comparison over ten years.
14-04-2010-171259-004,14/04/2010,Modification to request refused due to excessive cost.
15-04-2010-090456-001,12/05/2010,"Also, 12 (j) of Form 760 (attachment 3) states ""Recommendations NSG SMM and QA have initiated a investigation into last fitting of clack valve"" What was the result (report) of that investigation?"
15-04-2010-091033-001,06/05/2010,A copy of the MOU that was signed between DSG and General Dynamics recently please?
15-04-2010-091440-002,07/05/2010,"1. The amount of money spent on consultancy services in the Police Force for the financial year 2009-2010. 2. The names of these consultants (companies only) and where possible a short description of the services provided. Consultancy in this sense means things such as recruitment consultants, training consultants (e.g. conflict training), security consultancy (e.g. in building security), management and efficiency consultancy etc."
15-04-2010-095633-001,13/05/2010,Number of people claiming a War Pension (or equivalent statistics that you normally provide) resident in the Local Authority district of Dudley (ONS Code 00CR) in the West Midlands Region.  
15-04-2010-095903-002,11/05/2010,The rates of Submarine pay (later called SSP) in 1959
15-04-2010-105335-002,13/05/2010,"Work the Naval Secretary conducted in the review of the ‘Normal Retirement Age’ (NRA) for officers (late 2008?). Also, from the last 5-years,  the number of Logistic Officers at SO2 and SO1 level that have been offered (not just accepted) Extensions of Service for both Branch specific and Common Appointment posts."
15-04-2010-121053-001,12/05/2010,What is Regulation 20 of the Defence (General) Regulations 1939.
15-04-2010-121656-003,13/05/2010,DMG 24 Guide to World War II hangars 03 - Type C hangars PDF  and  AutoCAD format drawings if possible.
15-04-2010-122621-002,13/05/2010,"A current and up to date list of all government buildings, sites, facilities, and insulations both civil and military where photography is both prohibited and permitted (please only include information for locations/sites that are in the public domain). For the purposes of this request assume all photos would be taken from public areas and areas that the public have access to."
15-04-2010-123005-003,13/05/2010,"Strategic battle maps from, The Invaision of Holland, Battle map of the battle of the Bulge, battle map of D day invasion, battle map of the battle of the Somme, battle map of operation Barbarosa, battle map of Waterloo, 1815, battle map of first battle of Ypres,, Battle of Keiv, 1941,Battle map oft Hohe battle of hong Kong, 1942, Battle map of Wake Island,Battle map of North cape, 1943 "
15-04-2010-125245-003,14/05/2010,How much the past and present cost of the issue of badges? How many ex-officers apply to wear them?
15-04-2010-130124-001,14/05/2010,"This request applies only to the MOD police. How much was spent on promotional items in the previous two financial years (2009-10 and 2008-9). Promotional items would include, but are not limited to, branded pens, keyrings, sweets or cd-roms promoting the force ? usually given away at events and conferences. It would not include money spent on advertising in the media or on the force website.As well as telling me the total cost, could you also indicate the top three items on which the money was spent and, if possible, itemise how much was spent on each."
14-04-2010-162719-003,09/04/2010,"Access to the following files held at The National Archives: DEFE 7/2281, DEFE 7/2282, DEFE 7/2283, DEFE 7/2284"
15-04-2010-153836-001,14/05/2010,"1.	How many 16 and 17 years old are currently serving in the armed fors. 2.	How many 16 and 17 years old have been deployed to Iraq from the start of the war to today. 3.	How many 16 and 17 years old have been deployed to Afghanistan since the start of the wr. 4.	How many 16 and 17 years old are currently deployed in  Afghanistan. 5.	How many 16 and 17 years olds have been injured in both the Iraq war and the Afghanistan war to date  "
15-04-2010-154257-002,12/05/2010,All minutes from meetings held within the last year relating to the accuracy of Met Office forecasts.
15-04-2010-154754-001,12/05/2010,"Information on the MoD's assessment of it's global supplier base - i.e. a ranking by score of its key suppliers.  I've seen some of this data and it appears to be published annually, so either 2009 or (if not yet available) 2008 data."
