,,
Organisations Paid Between £25 thousand and £5 million by the Ministry of Defence in 2009/10,,
,,
Austin Hayes Ltd,Helmet Integrated Systems Ltd,Rolls-Royce Corporation
Auto Conversions Ltd,Hempel UK Ltd,Rolls-Royce Marine Electrical Systems Ltd
Avon Inflatables Ltd,Henry Schein UK Holdings Ltd,Roselead Ltd
AW Hainsworth & Sons Ltd,Henty Oil Ltd,Rosemount Aerospace Ltd
BAE Systems (Hawk Synthetic Training) Ltd,HJ Sock Group Ltd,Roxel (UK Rocket Motors) Ltd
BAE Systems Land Systems (Bridging) Ltd,HL Foods Ltd,Royal Artillery Centre For Personal Development
Bajars Ltd,HM Revenue & Customs,Royal Brunei Airlines Sdn BHD
Balfour Beatty Group Ltd,Hobson & Sons (London) Ltd,Royston Ltd
Baltic Wharf Ltd,Hobson Industries Ltd,Rubb Buildings Ltd
Banner Holdings Ltd,Houlder Ltd,Rushmoor Borough Council
Bannockburn Homes Ltd,Hyder Consulting (UK) Ltd,Ryder Public Ltd Company
Bayford & Co Ltd,Hydraulics International Inc,S Macneillie & Son Ltd
BCB International Ltd,Hydroid Inc,S P Services (UK) Ltd
Beacon Care Services Ltd,IA Technology Ltd,Safeskys Ltd
Bearingpoint Ltd,Iacovou Brothers (Constructions) Ltd,Safety And Ecology Corporation Ltd
Beechwood Equipment Ltd,Iap Worldwide Services Inc,Salt Separation Services Ltd
Belfast Health And Social Care Trust,IFS Defence Ltd,Satcom Global FZE
Bernard Seymour & Partners T/A Linder Myers Solicitors,IHS (Global) Ltd,Satlink Ltd
Biffa Waste Services Ltd,Imes Ltd,Scanna Msc Ltd
Birmingham City University,Impact Marcom Ltd,Schal International Management Ltd
Blackhurst Budd LLP,Industria De Turbo Propulsores SA,Scisys UK Ltd
Blakley Electrics Ltd,Insight Direct (UK) Ltd,Score Marine Ltd
BMI Healthcare Ltd,Inzpire Ltd,Scott Health & Safety Ltd
Boldon James Ltd,Iss Facility Services Ltd,Secure Data Media Solutions Ltd
Bovis Lend Lease Ltd,ITT Defence Ltd,Selex Sensors And Airborne Systems Ltd
Bowles Security Services (UK) Ltd,ITT Industries,Selex Systems Integration Ltd
Bozeat Industrial Ltd,ITW Ltd,Sensor Technology Systems Inc
BP International Ltd,J & S Franklin Ltd,Seyntex NV
BP Oil UK Ltd,J C B Sales Ltd,Shell Aviation Ltd
Braemar Howells Ltd,J+S Ltd,Shell UK Oil Products Ltd
Bridgehead Container Services Ltd,Jacobs Engineering UK Ltd,Shropshire Council
Bristol Industrial & Research Associates Ltd,Jacobs UK Ltd,Signature Industries Ltd
Bryce Garten & Landschaftsbau,Jankel Armouring Ltd,Simmons & Simmons
Bt Payment Services Ltd,Jeppesen UK Ltd,Smiths Detection-Watford Ltd
Buck & Hickman Ltd,Jewers Doors Ltd,Snecma Services SA
Building Design Partnership Ltd,John Graham (Dromore) Ltd,Soaring (Oxford) Ltd
Bunzl UK Ltd,Johnson Controls Ltd,Solid Swivel Company Ltd (The)
Burfield & Co (Gloves) Ltd,Joseph Gleave & Son Ltd,Solo International Ltd
Cae (UK) PLC,JRA Aerospace Ltd,Somers Forge Ltd
Calor Gas Ltd,Karcher (UK) Ltd,Southcombe Brothers Ltd
Calumet Photographic Ltd,Kashket & Partners Ltd,Southern Water Services Ltd
Canada Mdb2 Equip Mou2 Cw Assist Rus Cpac,KBC Lease (UK) Ltd,Southwest Research Institute
Canyon Offshore Ltd,Kemira Chemsolutions B V,Spa International Oil Services Ltd
Capita Business Services Ltd,Kidde Graviner Ltd,Specialist Electronics Services Ltd
Cardiac Report Ltd,Kings College London,Specialist Mobility Training Ltd
Cargostore International Ltd,Kpmg LLP,Springfields Fuels Ltd
Carwood Motor Units Ltd,Krauss-Maffei Wegmann Gmbh & Co KG,SSI Schaefer Ltd
Caterpillar Remanufacturing Ltd,L Whitaker & Sons (1983) Ltd,St John & Red Cross Defence Medical Welfare Service
Central Bedfordshire Council,L3 Communications Spar Aerospace Ltd,Stadtwerke Bielefeld Gmbh
CF Anderson & Son Ltd,Lafarge Aggregates Ltd,Stadtwerke Boehmetal Gmbh
Chapo-Koulendros JV,Land Rover,Stadtwerke Guetersloh Gmbh
Charles Hubbard & Partnerst/A Edmund Kirby,Legion Fm Ltd,Stadtwerke Herford Gmbh
Chelton Ltd,LEK Consulting LLP,Stadtwerke Muenster
Chemring Energetics UK Ltd,Lengeling Service Gmbh Umweltservice Gmbh,Stella-Meta Ltd
Chromalloy United Kingdom Ltd,Life Fitness (UK) Ltd,Sterling Life Ltd
Chubb Fire Ltd,Lincad Ltd,Stryker UK Ltd
Chubb Security Personnel Ltd,Link Microtek Ltd,STS Defence Ltd
City Of Edinburgh Council,Llanelec Precision Engineering Co Ltd,Sula Systems Ltd
Citysprint (UK) Ltd,Lloyds Register Emea,Sun Test Systems BV
Clark Construction Ltd,LLW Repository Ltd,Sungard Public Sector Ltd
Claverham Ltd,Lockheed Martin Canada Inc,Swalec Gas Ltd
CMCA Ltd,London Borough Of Hillingdon,Synthesys Systems Engineers Ltd
Coastal Marine 2004 Ltd,LSC Group Ltd,System Design Evaluation Ltd
Cobham Flight Inspection Ltd,Mabanaft Deutschland Gmbh,Systematic Software Engineering Ltd
Cobra Specialist Security Services Ltd,Mabey & Johnson Ltd,T Clarke Public Ltd Company
Coffey International Development Ltd,Mactaggart Scott & Company Ltd,Tal International Container Corporation
Colchester Borough Council,Mainstream Training Ltd,TB Davies (UK) Ltd
Colt Canada Corporation,Marine & Industrial Transmissions Ltd,Team Simoco Ltd
Commonwealth Department Of Veterans Affairs,Martin-Baker Aircraft Company Ltd,Technogym UK Ltd
Converteam Ltd,Matrix Display Systems Ltd,Technology Strategy Board
Converteam UK Ltd,Mbda France,Television Installation Services (Mansfield) Ltd
Conway Packing Services Ltd,Med-Co (Europe) Ltd,Telindus Ltd
Co-Operative Insurance Society Ltd,Medway Council,Temperature Control Ltd
Cornwall Council,Meggitt (UK) Ltd,Tequila London Ltd
Cosalt:Ballyclare Ltd,Meggitt Aerospace Ltd,Terstappen Autovermieter KG
Cotech Trading (GB) Ltd,Meggitt Defence Systems Ltd,Test-Fuchs Gmbh
Cotswold Outdoor Ltd,Mel Aviation Ltd,Thales ATM Ltd
Covesea Ltd,Merchant Navy Ratings Pension Fund Trustees Ltd,Thales Avionics Electrical Systems
Coyle Personnel PLC,Messier-Dowty Ltd,Thales Training & Simulation (Eagle Middle Wallop) Ltd
CQC Ltd,Metag Insaat Ticaret AA,The Army Cadet Force Association
Cranfield Aerospace Ltd,Metal Products (Arden) Ltd,The Berthon Boat Company Ltd
Crisplant A/S,Methods Consulting Ltd,The British Council
Crye Associates,Michelin Tyre PLC,The British School Of Motoring Ltd,,
CTBTO Preparatory Commission,Micromill Electronics Ltd,The Highland Council,,
CTS (GB) Ltd,Milsys (UK) Ltd,The Hymatic Engineering Co Ltd,,
D & W Carlisle Ltd,Mira Ltd,The Locum Practice Ltd,,
D 0 Systems Ltd,Mitchell Diesel Ltd,The Mindworks Marketing Company Ltd,,
Daf Trucks NV,Mobile Mini UK Ltd,The Moray Council,,
Datong PLC,Modis International Ltd,The National Museum Of The Royal Navy,,
Dawsonrentals Truck & Trailer Ltd,Morada Home Ltd,The Riverside Group Ltd,,
Dcc Energy Ltd,Morgan Ashurst PLC,The Royal Engineers Vocational Education And Training Trust,,
Dell Corporation Ltd,Morganite Electrical Carbon Ltd,The Royal Mint,,
Deloitte LLP,Mott Macdonald Ltd,The Saville Group Ltd,,
Denel (Pty) Ltd,Mouchel Management Consulting Ltd,The Soldiers Sailors Airmen And Families Ass - Forces Help,,
Denis Ferranti Meters Ltd,MPI Aviation Ltd,Thomas Jacks Ltd,,
Dennis Carter Ltd,MPI Services (UK) Ltd,Thyssenkrupp Aerospace UK Ltd,,
Denton Wilde Sapte LLP,MSB International Ltd,Tnt UK Ltd,,
Diplomat Freight Services Ltd,Muirhead Aerospace Ltd,TOC Ltd,,
Divex Ltd,Multi Service Aviation,Total UK Ltd
Dockwise Shipping BV,MWH UK Ltd,TQ Education And Training Ltd
Donaldson Filter Components Ltd,Nammo Demil Division AB,Tricomm Housing (Portsmouth) Ltd
Dowding & Mills (UK) Ltd,Nammo Raufoss AS,Trustmarque Solutions Ltd
Drive Motor Retail Ltd,Nammo Talley Inc,Turfsoil Ltd
DRS RSTA Inc,National Army Museum,Tyne Slipway & Engineering Co Ltd
Dsv Air & Sea Ltd,National Blood Authority,Ultralife Batteries (UK) Ltd
Dunlop Aircraft Tyres Ltd,National Nuclear Laboratory Ltd,Unidrug Distribution Group Ltd
Dunlop GRG Holdings Ltd,National School Of Government,Univar Ltd
Dytecna Ltd,Nats (Services) Ltd,Universal Engineering Company (Charlestown) Ltd
E.ON Avacon Vertrieb Gmbh,NCS Fuel,University Of Manchester
E.ON UK PLC,Network Equipment Technologies Inc,University Of Plymouth
E2V Technologies (UK) Ltd,New Pig Ltd,Vados Systems Ltd
Eads Test & Services (UK) Ltd,Newman & Spurr Consultancy Ltd,Valpro Ltd
Eads Test Engineering Services (UK) Ltd,NHS Fife,Van Kappel BV
Eaton Aerospace Ltd,NHS Logistics Authority,Van Wijngaarden Marine Services B V
Edo Mbm Technology Ltd,NIC Instruments Ltd,Varivane Industries Ltd
Eglinton (Timber Products) Ltd,North Dorset District Council,Vector Aerospace Engine Services UK Ltd
Elan Computing Ltd,North Kesteven District Council,Veolia Es (UK) Ltd
Electro Services (Midlands) Ltd,Northern Diver (International) Ltd,Veterans Affairs Canada
Electrothermal Engineering Ltd,Northrop Grumman Sperry Marine BV,Viridian Energy Supply Ltd
Emcor Facilities Services Ltd,Northumberland County Council,W F E L Ltd
Emergency One (UK) Ltd,NYCO SA,W S Atkins PLC
Enersys Ltd,Office Depot UK Ltd,W S P Consult Gmbh
Enhanced Protection Systems UK Ltd,Oldbury Engineering Co Ltd,Water Service
Enterprise Control Systems Ltd,Oldham Seals Ltd,Watson Petroleum Ltd
EOD Technology Inc,Orbit GV Ltd,Wehrbereichsverwaltung
EP Barrus Ltd,Orchid Cellmark Ltd,West Energie Und Verkehr
Equipos Industriales De Manutencion SA (Einsa),Ordnance Survey,West Oxfordshire District Council
Era Technology Ltd,Oshkosh Corporation,Western Challenge Housing Association Ltd
Ernst & Young LLP,Paccar Parts UK Ltd,Westerwalder Eisenwerk Gmbh
Esri (UK) Ltd,Pace Petroleum Ltd,Westler Foods Ltd
Euravia Engineering & Supply Co Ltd,Palletways (UK) Ltd,Wf Electrical PLC
European Defence Agency,Parker Hannifin Ltd,Wincanton Group Ltd
European Union Satellite Centre,Partnerships UK PLC,Winder Power Ltd
Exxonmobil Petroleum & Chemical BVBA,Paterson Ltd,Wordwave International Ltd
Fareham Borough Council,Paymaster (1836) Ltd,Worldwide Language Resources Inc
Far-Side Marketing Ltd,PDM Training & Consultancy Ltd,WPDS Software Ltd
Feka Construction,Pearson Engineering Ltd,Wrvs Services Welfare Ltd
Fenn Night Vision Ltd,Peninsula Petroleum Ltd,Wycombe District Council
Fenton Pharmaceuticals Ltd,Penman Engineering Ltd,Wynnwith Group Ltd
Fernau Avionics Ltd,Pennant Training Systems Ltd,Xerox (UK) Ltd
Ferranti Technologies Ltd,Pentalver Transport Ltd,Yamaha Motor (UK) Ltd
Fife Council,Permali Gloucester Ltd,Your World Recruitment Ltd
Flight Refuelling Ltd,Permoid Industries Ltd,Zarlink Semiconductor Ltd
FLIR Systems Ltd,Phoenix Natural Gas Ltd,Zephyr Racing Pennants Ltd
Fluid Transfer International Ltd,,
£500k - £1 million (365 Organisations),,
1Spatial Group Ltd,Fox Feeds Ltd,Prometheus Medical Ltd
3SDL Ltd,Francis Searchlights Ltd,Propshop Ltd
A.T.S.I. Limited,Fugro-Bks Ltd,PRS GB Ltd
AB Connectors Ltd,G4S Assessment Services (UK) Ltd,Purbeck District Council
Abbott Laboratories Ltd,Gallay Ltd,Pyser-S G I Ltd
Accidon'T Ltd,Gem Mbh,QA Ltd
Acclimatise Ltd,General Dynamics European Land Systems - Germany Gmbh,Qatar Airways Ltd
Accuracy International Ltd,GH+MP Niblett,Quanta Training Ltd
Active Electronics PLC,GMK Ltd,Quo Imus Ltd
Aegean Marine Petroleum SA,Golley Slater Group Ltd,R K International Machine Tools Ltd
Aesthetic Dental Services Ltd,Goodrich Actuation Systems SAS,Rackspace Ltd
AGFA Healthcare UK Ltd,Graphics Research Corporation Ltd,Rainey & Best LLP
Aggregate Industries UK Ltd,Green United Group,Red Orange LLC
Agile Ideas Ltd,Greenroad Technologies UK Ltd,Redtray Ltd
Aldershot Healthcare Investments Ltd,Guildford Borough Council,Reed Personnel Services PLC
Alliance Medical Ltd,Gulf Aircraft Maintenance Co,Renown Engineering Ltd
Allied Aerosystems Ltd,H & S Aviation Ltd,Resource Services (NI) Ltd
Allyance Ltd,Hambleton District Council,Retro Track & Air (UK) Ltd
Amdac - Carmichael Ltd,Hamworthy Water Systems Ltd,Rider Levett Bucknall UK Ltd
Amec Group Ltd,Harmonic Ltd,RJD Technology Ltd
Amtec Consulting PLC,Harrogate Borough Council,Robinson Fans Inc
Anglian Water Services Ltd,Hart District Council,Rosker Ltd
Anglo Technical Recruitment Ltd,Hawkmoor Ltd,Rps Consultants Ltd
Angloco Ltd,Haynes & Cann Ltd,Ruag Ammotec Gmbh
Angus Council,Headland Foods Ltd,Rutland County Council District Council
APM Technologies SA,Helyx Secure Information Systems Ltd,SAES Getters USA Inc
APPH Basingstoke Ltd,Hoeber-Reisen KG,Saic Ltd
Aqualift Ltd,Humberside Aggregates & Excavations Ltd,Sandy Arthur Training Services Ltd
Arke Ltd,Huntingdonshire District Council,Savills (L&P) Ltd
Army Catering Training Trust,Hutchinson SNC,Scottish Power PLC
Army Sport Control Board,Hydrasun Ltd,Sds Group Ltd
Arval UK Ltd,I To I Research Ltd,Seawide Consulting Ltd
Ascentor Ltd,Icethaw Salt Supplies Ltd,Secomak Ltd,,
Ashridge,Industrial Acoustics Co Ltd,Securitas Security Services Ltd,,
ATOC Ltd,Infoterra Ltd,SGW Construction (Redcar) Ltd,,
Atos Origin It Services UK Ltd,Ingres Europe Ltd,Shepway District Council,,
ATSI Ltd,Innovative Technology Projects Ltd,Short Brothers PLC,,
Austin & Mclean Ltd,Integrated Building Services Engineering Consultants Ltd,Sign Plus Ltd,,
Aylesbury Vale District Council,Integrated Utility ServicesLtd,Sil-Mid Ltd,,
B F I Optilas Ltd,International Science And Technology Centre,Simmers Of Edinburgh Ltd,,
Bae Systems Defence Ltd,Intraining (NTP) Ltd,Sir Joseph Isherwood Ltd,,
Baines Simmons Ltd,Inver Energy (UK) Ltd,Smiths Medical International Ltd,,
Balfour Beatty Engineering Services Ltd,Isle Of Anglesey County Council,Somers Totalkare Ltd,,
Bearmach Ltd,Israel Military Industries Ltd (IMI),South Cambridgeshire District Council,,
Birmingham Barbed Tape Ltd,J & D Wilkie Ltd,South Gloucestershire Council,,
Blackwell Ltd,J & H Locums Ltd,South Oxfordshire District Council,,
Blum Gmbh,J Coates (HGV Services) Ltd,Southern Scientific Ltd,,
Bmt Hi-Q Sigma Ltd,Jones Lang Lasalle (Scotland) Ltd,Spanset Ltd,,
Boeing Defence UK Ltd,Keen Thinking Ltd,Spire Healthcare Ltd
Borough Council Of Kings Lynn & West Norfolk,Kelvin Hughes Ltd,SSE Power Distribution Ltd
Britcon (Scunthorpe) Ltd,Key Industrial Equipment Ltd,Stadt Muenster
Brostrom Tankers Denmark AS,Keymed (Medical & Industrial Equipment) Ltd,Stadt Paderborn
Bundesanstalt Fuer Immoblienaufgaben,Kidde Products Ltd,Stadtwerke Detmold Gmbh
Burges Salmon LLP,Kings Heavy Haulage (Bristol) Ltd,Stadtwerke Hameln
Butyl Products Ltd,Konica Minolta Business Solutions (UK) Ltd,Superletter.Com Inc
Buying Solutions,Kpmg It Advisory Ltd,Surrey Heath Borough Council
C V Fitness Ltd,L H Group Services Ltd,Survival-One Ltd
CA Design Services Ltd,L3 Communications,SVGC Ltd
Cable & Wireless UK,Laerdal Medical Ltd,Symantec-Liric Ltd
Cableconnect Solutions Ltd,Land & Property Services,Synectic Systems Group Ltd
Capewell Components Co LLC,Land And Property Services,Tatung (UK) Ltd
Capita Symonds Ltd,LEICA Geosystems Ltd,Taunton Aerospace Ltd
Carlisle Staffing PLC,Lightning Aerospace Ltd,Tawazuh Commercial & Construction Co Ltd
Carnival PLC,Line Communications Group Ltd,Tbs (South Wales) Ltd
Central Management Catalogue Agency (UK) Ltd,Lionbridge (UK) Ltd,Team Leyland International Ltd
Cepsa Gibraltar Ltd,Lionmed Shipping Co Ltd,Templar Company Ltd
Certes Computing Ltd,Lockheed Martin Sippican Inc,Teradyne Ltd
City And Guilds Of London Institute,Locums (UK) Ltd,Terrafix Ltd
City Of Westminster,Long & Marshall Ltd,Test Valley Borough Council
Clement Clarke Communications Ltd,Macnabb Brothers (Waste Disposal) Ltd,Thales Communications Inc
Cockett Marine Oil Ltd,Manitowoc Crane Group (UK) Ltd,Thales Communications Ltd
Cofely Ltd Cofely Ltd,Marlow Ropes Ltd,Thales E-Security Ltd
Communications & Power Industries Europe Ltd,Martin & Derek Lowe T/A Transvac Systems,The Automobile Association Ltd
Complete World Travel Ltd,Martin Yale International Gmbh,The Gurkha Welfare Trust
Composite Engineering Inc,Meridian Medical Technologies Inc,The Intraining Group Ltd
Comptons 2000 Ltd,Merkle (UK) Ltd,The Salamander Organization Ltd
Computacenter (UK) Ltd,Michelin Aircraft Tyre,Thurston Group Ltd
Computer Application Services Ltd,Midas Construction Ltd,Tinsley Bridge Ltd
Concord XXI Inc,Midlothian Council,Tlmnexus Ltd
Conjay Collectors Ammunition Co Ltd,Millbrook Proving Ground Ltd,Top Cover Solutions Ltd
Cool-Therm (UK) Ltd,Mills & Reeve LLP,Total Lubrifiants SA
Corda Ltd,Millstream Penthouse Systems Ltd,Toye Kenning & Spencer Ltd
Cordes & Graefe Gmbh,Mitie Catering Services Ltd,Transflo Instruments Ltd
Corporate Television Networks Ltd,Mitie Security Ltd,Turfsol Ltd
Corps Of Commissionaires Management Ltd,Molecular Products Ltd,TW Kempton (Corporate Clothing) Ltd
Cosalt International Ltd,Multi-Pack Ltd,Tyco Fire & Integrated Solutions (UK) Ltd
Criminal Records Bureau,Mycroft Talisen Ltd,Typhoon International Ltd
Crown Agents Bank Ltd,NAAFI,Underhill Engineering Ltd
Crye Precision LLC,Nal Research Corporation,Unipart Group Ltd
CTA International,National Assembly For Wales,University Of London
Dalkia Energy & Technicalservices Ltd,National Policing Improvement Agency,University Of Portsmouth
Data2Impact Ltd,New Energie Gmbh,Valuation Office Agency
Datex-Ohmeda Ltd,Nissan Motor (GB) Ltd,Veolia Umweltservice Nord-West Gmbh
David Mouland Haulage Ltd,Nurse Plus And Carer Plus (UK) Ltd,Veolia Water Industrial Outsourcing Ltd
De Montfort University,Nyk Logistics (Deutschland) Gmbh,Veolia Water Projects Ltd
Defence Strategy & Solutions LLP,Ocean Safety Ltd,Verizon UK Ltd
Diagnosys Systems Ltd,Ocs Group UK Ltd,Vl Test Systems Ltd
Digitrol Ltd,Office Angels Ltd,Vodafone D2 Gmbh
Draeger Safety UK Ltd,Offshore Systems Ltd,VT Nuclear Services Ltd
DRS Technologies UK Ltd,Oman Aviation Services Co,Vt Support Services Ltd
DSV Air & Sea A/S,On Time Delivery Assistance,W H Boddington & Co Ltd
Dynamit Nobel Defence Gmbh,Open University International Ltd,Walker Cox Ltd
E.ON UK Energy Services Ltd,Optimized Systems & Solutions Ltd,Walter Lawrence Civil & Mechanical Ltd
EAL Ltd,Ordnance Test Solutions Ltd,Wbl Services Ltd
East Hampshire District Council,Pall Europe Ltd,Weber (UK) Ltd
Eaton Ltd,Parity Resources Ltd,Weidlinger Associates Ltd
Ebsco International Inc,Park Air Systems Ltd,Welch Allyn (UK) Ltd
Edf Energy 1 Ltd,PCA Electronic Test Ltd,Wilhelm Ahlers Gmbh & Co KG
Edf Energy Networks Ltd,PCG Group,Wilhelm Schroeder
EIC Ltd,Penn Pharmaceutical Services Ltd,Wilhelm Schroeder Gmbh
Eimco Water Technologies Ltd,Performance Chemicals Ltd,William Tracey Ltd
Eka Ltd,Pfizer Ltd,Wilmat Ltd
Enfield Safety Supplies,Photonis France SAS,Winchester City Council
Enviros Consulting Ltd,Piepenbrock Dienstleistungen Gmbh & Co KG,Windsor And Maidenhead Royal Borough Council
Envitia Ltd,Pilgrims Group Ltd,Wragge & Co LLP
Epic Performance Improvement Ltd,Portsmouth City Council,Wyedean Weaving Company Ltd (The)
ESKO / PAE,Powersport International Ltd,Xograph Healthcare Ltd
Facet Industrial UK Ltd,Poyry Energy Ltd,Xpedite Group Of Companies Ltd
Facility Care AG,Prepared Foods Processing Ltd,Youngman Group Ltd
Fender Care Ltd,Primagraphics Ltd,Zodiac Data Systems UK Ltd
Firmin & Sons Ltd,Priory Healthcare Ltd,Zodiac Services Europe
Ford Motor Company Ltd,Procom UK Sales Ltd,
£100k - £500k (1408 Organisations),,
01DB-Metravib,European Aeronautical Group UK Ltd,Parsons Brinckerhoff Ltd
2D3 Ltd,Eurostep Ltd,Paxford Composites Ltd
A A Duncan & Son,Euro-Tec (Investigators & Consultants),PCG Group (Overseas) Ltd
A E M Ltd,Everest Vit (UK) Ltd,Peace Support Operations Training Center
A L Dalton Ltd,Evergood Associates Ltd,Pearson Driving Assessments Ltd
A Loutsios & Sons Ltd,Eversheds LLP,Pell Frischmann Projects Ltd
A Petsas & Sons Public Ltd,EW Fuel Management Ltd,Pembrey West Wales Airport Ltd
A Shores & Co (Leather & Canvas Products) Ltd,EWF Edgwick Ltd,Pembrokeshire County Council
A T G Airports Ltd,Exchem Defence Systems Ltd,Pennant Information Services Ltd
A T Wilde And Son Ltd,Exeter And Devon Airport Ltd,Penny & Giles Aerospace Ltd
A Turner & Sons Ltd,Expacare Ltd,Percy Metal Company Ltd
A/S Dan-Bunkering Ltd,Explosive Learning Solutions Ltd,Performance Learning & Development Ltd
AA Securities Ltd,Explosivos Alaveses SA,Perkinelmer Las (UK) Ltd
AAR International Inc,Exscien Training Ltd,Permwil
Abbott Risk Consulting Ltd,Exxonmobil Marine Ltd,Personnel Selection Associates Ltd
Aberdeenshire Council,Factair Ltd,Peterborough City Council
Able Recruitment Services Ltd,Factiva Ltd,Peters & May (Dangerous Goods) Ltd
ABSL Power Solutions Ltd,Fal Energy Co Ltd,Petroleos De Portugal - Petrogal SA
Abtus Ltd,Fareham College,Pgam Advanced Technologies Ltd
Acal Technology Ltd,Farnborough College Of Technology,Pheonix Healthcare Distribution Ltd
Acis Group Ltd,Faroese Telecom,Phi@Falmouth Ltd
Activ Training Ltd,Federal Express (Europe) Inc,Photo-Sonics International Ltd
Acuity Computing Enterprise Technology (Acet) Ltd,Fel Avionics Ltd,Physio Med Services Ltd
Adecco UK Ltd,Fender Care Naval Solutions Ltd,Pierse Contracting Ltd
Adelard LLP,Feuchter Gmbh,Pilgrim International Ltd
"ADS, Inc",Field Fisher Waterhouse Ltd,PKL Group (UK) Ltd
ADT Fire & Security PLC,Fire Vehicle Services Ltd,Plalite Ltd
Advanced Defence Materials Ltd,Firebrand Training Ltd,Planet Platforms Ltd
Advanced Power Components Public Ltd Company,Firmus Energy (Supply) Ltd,Planetmayo Ltd
Advantage Healthcare Group  Ltd,Fitness First Clubs Ltd,Playforce Ltd
Advantage Healthcare Nursing And Care Ltd,Flakt Woods Ltd,Plumett Ltd
AEA Technology PLC,Flight Safety International,Plymouth City Airport Ltd
AEI Systems Ltd,Flughafen Dusseldorf Gmbh,Polaris Consulting Ltd
Aero Quality Sales Ltd,Flughafen Paderborn/Lippstadt Gmbh,Police Rehabilitation And Retraining Trust (The)
