Minister,Date,Name of External Organisation,Purpose of meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","May, 2011",Ford,To discuss automotive industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011",Green Economy Council,To discuss Green issues
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011",Nissan,To discuss manufacturing and apprenticeships
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011",BMW,To discuss manufacturing and apprenticeships
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011",Society of Motor Manufacturers Limited,To discuss motoring and manufacturing industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011","University of Leeds, University of Bath, University of Birmingham, University of Kent, University of Nottingham, London Met, Teesside University, Sheffield Hallam University, University of East London, Roehampton University, Loughborough University, University of Westminster, University of Essex, University of Exeter, University of Surrey, University of Bristol, Northumbria University, Lancaster University, University of the West of England, Bucks New University, Universities UK, GuildHE",To discuss Higher Education
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011",Transform UK,To discuss Green issues
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011","FIRST Responsible Capitalism, General Electric, World Energy Council and Ambassadors to Kazakhstan",To discuss Trade and investment
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011","GSM Group, The Society of Motor Manufacturers and Traders, TSB, Ford of Britain, Nissan, BMW Group Plant Oxford, Caterpillar Inc, UK Trade and Investment, Royal Bank of Scotland, OLEV, UNITE, Nissan Motor Manufacturing, ARUP, Gordon Murray Designs, General Motors UK, RPJ Consulting Services, Toyota Motor Europe, Jaguar Land Rover, GKN Automotive, Leyland Trucks",To discuss automotive industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011",Financial Times Summer Reception,Social
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011",Confederation of Indian Industry,General catch up
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011",BAE Systems Brough Trade Union ,To discuss defence industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP","June, 2011","The Campaign for Real Ale (CAMRA), All Party Save the Pub Group",To discuss competition
"Minister of State (Universities and Science), Rt Hon David Willetts MP",,,
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","Lionel Barber, Financial Times",Social
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","University of Winchester, University of  Chester, Steve Brine MP, Steven Mosley MP",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011",Royal College of Music Imperial College,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","Ann Mroz,  Times Higher Education","General discussion, lunch provided"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011",Pfizer Taskforce,To discuss regional economy
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011",Pfizer,To discuss business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","GlaxoSmithKline, Wellcome Trust, Biotechnology and Biological Sciences Research Council, SQW, Engineering and Physical Sciences Research Council, London School of Economics, Scottish Funding Council, John Innes Centre, Microsoft, Academy of Medical Sciences, Medical Research Council, National Nuclear Laboratory, Science and Technology Facilities Council, University of Southampton",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011",Institute of Directors,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","Association of School and College Leaders, Office for Fair Access, GuildHE, Association of Colleges, Sutton Trust, Student Loans Company, National Union of Students",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011",Crossrail,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011",College of Law,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","Logica, Surrey Satellite Technology Limited, Astrium, UKspace, Met Office, University of Reading, Reaction Engines, University of Leicester, Open University, Inmarsat, Technology Strategy Board, South East England Development Agency, Avanti, Natural Environment Research Council, Clyde Space, National Space Technology Steering Group, Satellite Broadband Steering Group",To discuss space
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","National Skills Development Corporation, India",To discuss skills
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011",Bolton University,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","Tony Gallagher, The Telegraph",General discussion
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","London School of Economics, Bristol University",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","Royal Academy of Engineering, Royal Society, US National Academy of Engineering, US National Academy of Sciences, Chinese Academy of Sciences",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","James Harding, The Times",General catch up
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011",Johnson and Johnson,To discuss science and business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","Universities Superannuation Scheme, Employers’ Pensions Forum and Universities and Colleges Employers Association",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","April, 2011","Ted Verity, The Mail on Sunday","General discussion, lunch provided"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",1994 Group,Regular meeting
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",Design Council,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011","Hawkpoint, Wilmington Group, A4e, Pearson, Paragon Skills, Royal Agricultural College, Exponent Private Equity, Duke Street, Higher Education Funding Council for England, Providence Equity Partners, Silverfleet Capital, esg, Greenwich School of Management, TQ Education and Training, College of Law, Kaplan Europe, Babcock International Group, RM Education, Eversheds, 7city Learning","To discuss Higher Education, dinner provided by Hawkpoint"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",University Alliance,Regular meeting
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",Universities UK,Regular meeting
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011","Institute of Education, University College London, University of Oxford, University of Bristol",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",Pfizer Taskforce,To discuss regional economy
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011","BPP, Apollo Group",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",University Alliance,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011","Justin Tomlinson MP, moneysavingexpert.com, Simon Hughes MP, UCAS, Helena Kennedy Foundation, National Association of Student Money Advisors, Brightside UniAid, Institute of Careers Guidance, Student Loans Company, Personal Finance Education Group, University Marketing Forum, Birkbeck University, Consumer Finance Education Board, CreditAction, UniversitiesUK, GuildHE, National Union of Students, Quintin Kynaston School, University of Oxford",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",American Pharmaceutical Group,"To discuss science and business, dinner provided"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011","UCAS, GuildHE, UniversitiesUK, Higher Education Funding Council for England, Supporting Professionalism in Admissions",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",Thames Gateway London Partnership,"To discuss Higher Education, dinner provided"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",Virgin Galactic,To discuss Space
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011","Association of Colleges, Research Councils UK, Universities UK, Quality Assurance Agency for Higher Education, British Council",To discuss education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",Bayer Healthcare,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011","Pearson, National Union of Students, Demos, EngineeringUK, Russell Group, Times Higher Education, Higher Education Academy, million+, Young Foundation, Edelman, University Alliance, Higher Education Statistics Agency, University of London, University of Sheffield","To discuss Higher Education, dinner provided by Pearson"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",Santander Universities UK and  University of Surrey ,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011",National Ignition Facility and Photon Science Directorate,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","May, 2011","Moneysavingexpert.com, Simon Hughes MP",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","AstraZeneca, Association of the British Pharmaceutical Industry, British Pharma Group, American Pharma Group, BIA, European Medicines Group, Japanese Pharma Group, UCB Pharma Ltd",To discuss science and business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Northumbria University and Universities UK,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",UK Association for Science and Discovery Centres,To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",National Union of Students,Introductory meeting
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","Moneysavingexpert.com, Helena Kennedy Foundation, Money Advice Service, Credit Action, UCAS, National Association of Student Money Advisors, Brightside UniAid, Personal Finance Education Group, Birkbeck University, Universities UK, GuildHE, National Union of Students, Kindred, Institute of Careers Guidance",To discuss student finance
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","Hanover communications, Pearson, Publishers Association, UK Music, Association of Photographers, British Phonographic Industry, Federation Against Software Theft, NBC Universal, Sky, Huawei, Hewlet Packard, Vodafone, Consumer Focus, Open Rights Group, Ofcom, British Library, Deltex, Wellcome Trust, Premier League, England and Wales Cricket Board",To discuss Intellectual Property
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","University of Leeds, University of Bath, University of Birmingham, University of Kent, University of Nottingham, London Met, Teesside University, Sheffield Hallam University, University of East London, Roehampton University, Loughborough University, University of Westminster, University of Essex, University of Exeter, University of Surrey, University of Bristol, Northumbria University, Lancaster University, University of the West of England, Bucks New University, Universities UK, GuildHE",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",British Medical Association,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Pearson UK,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","Logica, Surrey Satellite Technology Limited, Astrium, UKspace, Met Office, University of Reading, Reaction Engines, University of Leicester, Open University, Inmarsat, Technology Strategy Board, South East England Development Agency, Avanti, Natural Environment Research Council, Clyde Space, National Space Technology Steering Group, Satellite Broadband Steering Group","To discuss space, dinner provided by Astrium"
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Pfizer Taskforce,To discuss regional economy
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Design Council,To discuss innovation
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","Consumer Focus, UCAS, Higher Education Statistics Agency, Brightside, Higher Education Funding Council for England, bestCourse4me, PUSH",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",China Britain Business Council,To discuss business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Universities UK,Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Bristol Myers Squibb,To discuss science and business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","Logica, Surrey Satellite Technology Limited, Astrium, UKSpace, Met Office, University of Leicester, Technology Strategy Board, London Institute of Space Policy and Law, Science and Technology Facilities Council, Avanti, Natural Environment Research Council, Reaction Engines, South East England Development Agency, Inmarsat, Satellite Broadband Steering Group",To discuss space
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","Johnson and Johnson, Coviden, BD, Deltex Medical Group, British In Vitro Diagnostics Association, Association of British Healthcare Industries",To discuss science and business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Universities UK,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Japanese Pharmaceutical Group,To discuss science and business
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",University of Lancaster and University of Liverpool,To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Financial Times Summer Reception,Social
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","Gavin Barwell MP, Drexel University",To discuss Higher Education
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","Dr Neil Weir, Shahzad Malik, Martin Mackay, Lord Paul Drayson, Earl Howe, Andrew Witty, Professor John Beddington, Professor Sally Davies, Dr Christian Rohiff, Professor Janet Thornton, Pascale Witz, Professor Dale Sanders, Chris Brinsmead, Professor Lord Ara Darzi, Dr David Bentley, Professor Michael Stratton, Sir Mark Walport, Dr Nicolaus Henke, Chris Llewellyn, Sir John Bell, Professor Kay Davies, Patrick Vallance ",To discuss science
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011",Academy of Medical Sciences,To discuss skills
"Minister of State (Universities and Science), Rt Hon David Willetts MP","June, 2011","London Business School, Economic and Social Research Council, The Association of MBAs, Higher Education Funding Council for England, Leeds University Management School","To discuss Higher Education, dinner provided by London Business School"
"Minister of State (Business and Enterprise), Mark Prisk MP","April, 2011",Small Business Economic Forum,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","April, 2011",The Alchemists (Northern) Ltd,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","April, 2011",Automotive Council,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","April, 2011",Boeing United Kingdom Limited,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",Finmeccanica UK,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",Future Route Ltd,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",Marine Trade Associations,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",Capital for Enterprise Ltd,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",Burton's Foods Ltd,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",British Management Data Foundation,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",Shott Consulting Ltd,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",Construction Industry Council,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",British Airways,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011","Confederation of Business Industry, Construction Council",General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",Group Lotus plc,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",The Society of Motor Manufacturers and Traders,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",The Institution of Engineering & Technology,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","May, 2011",Cranfield University National,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",The Royal British Legion,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",INEOS,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",UK Contractors Group,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",The Aldridge Foundation,General catch up
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",Automotive Council,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",Design Council,Introductory meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",Chemicals Industry Association,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",The Society of Motor Manufacturers and Traders,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",Institute of Directors,Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011","Confederation of Business Industry, Management Today",Regular meeting
"Minister of State (Business and Enterprise), Mark Prisk MP","June, 2011",Aerospace Growth partnership,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",,,
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","April, 2011","Princes Trust, Arts and Business, Hernewood, Princes Regeneration, Business in the Community, Princes Foundation, Heritage Craft Association, Princes Drawing School, Sunderland College, Queen Elizabeth Scholarship Trust, Princes Teaching Institute, Princes School of Traditional Arts",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","April, 2011","London School of Economics, University of Oxford, National Union of Students",Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","April, 2011",Crafts Council,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","April, 2011",Third Sector National Alliance,To discuss lifelong learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","April, 2011",Open University,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","April, 2011",Pearsons,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","April, 2011",UfI Learndirect,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011",German Industry UK,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011",OPTIO,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011","Wates Group, The Restaurant Group, Holland and Barrett, Centrica, National Grid, E.on, Ladbrokes, Siemens",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011",London and North Western Railway Heritage Company,To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011",BBC,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011","Association of Colleges, Association of Learning Providers, 157 Group, Learning and Skills Improvement Service, National Institute of Adult Continuing Education, UK Commission for Employment and Skills, Trades Union Congress, Local Government Association, Federation of Small Businesses, British Chambers of Commerce, Confederation of British Industry, Forum of Private Business, Institute of Directors, EEF Manufacturers Organisation, British Retail Consortium, Chartered Institute of Personnel and Development, Pyronix Ltd; and Skills Funding Agency",Get Britain Working
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011","Fair Train, London Learning Consortium, 3SC, Third Sector National Learning Alliance, Learning Curve, Skills Third Sector",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011",Plastic Electronics,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011","Bournemouth and Poole College, Conor Burns MP",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011","Paul Morse, Norman Lamb MP",To discuss lifelong learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011",Rawabit,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011","Association of Colleges, Universities and Colleges Union, Institute for Learning",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","May, 2011","Thanet College, Canterbury Christchurch University, Laura Sandy MP",To discuss Further Education and skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",Confederation of British Industry,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",Learning and Skills Improvement Service,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",National Union of Students,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",Association of Learning Providers,To discuss Further Education and lifelong learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011","Gatsby Foundation, Lord Sainsbury",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",Institute for Engineering and Technology,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",British Airways,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",Oxford Cambridge and RSA Examinations,To discuss Further Education and lifelong learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",Apprenticeships Ambassadors’ Network,General catch up
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011","Kingston College, Zac Goldsmith MP",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",Association of Accounting Technicians,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011","Capel Manor College, Nick de Bois MP",To discuss Further Education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011","Hackney Community College, Meg Hillier MP, Diane Abbott MP",To discuss lifelong learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",RaceOnline,To discuss lifelong learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011","Serco, British Telecom, Holland and Barrett, Yum, Siemens, Everything Everywhere, Ladbrokes",To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",Heritage Railway Association,To discuss Further Education and skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011",WH Smith,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","June, 2011","UCanDoIT, Greg Hands MP","To discuss lifelong learning, lunch provided"
"Minister of State (Trade and Investment), Lord Green","April, 2011",McKinsey & Company,General catch up 
"Minister of State (Trade and Investment), Lord Green","April, 2011",Goldman Sachs,General catch up
"Minister of State (Trade and Investment), Lord Green","April, 2011",HSBC,General catch up
"Minister of State (Trade and Investment), Lord Green","April, 2011",British Bankers' Association,General catch up
"Minister of State (Trade and Investment), Lord Green","April, 2011",Tata,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","April, 2011","Welcome Trust, Deloitte and Ondra Partners",To discuss infrastructure and investment
"Minister of State (Trade and Investment), Lord Green","April, 2011",Hitachi,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","April, 2011",Digi-Capital,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","April, 2011",Arup,To discuss business
"Minister of State (Trade and Investment), Lord Green","April, 2011",Anglo American PLC,To discuss business 
"Minister of State (Trade and Investment), Lord Green","April, 2011",Standard Chartered and DAKS,To discuss  business 
"Minister of State (Trade and Investment), Lord Green","April, 2011",Pfizer,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","April, 2011",General Electric,To discuss trade
"Minister of State (Trade and Investment), Lord Green","April, 2011",Trilantic Capital Partners ,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","April, 2011",Centrica,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","April, 2011",ESS-Chamber,General catch up
"Minister of State (Trade and Investment), Lord Green","April, 2011",Chinese Bank of Communications,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","April, 2011",Rolls Royce,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","April, 2011",Institute of Directors,To discuss trade
"Minister of State (Trade and Investment), Lord Green","April, 2011",Hyder Consulting,General catch up
"Minister of State (Trade and Investment), Lord Green","April, 2011",Morgan Stanley,General catch up
"Minister of State (Trade and Investment), Lord Green","April, 2011",UK India Business Council,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","April, 2011",Goldman Sachs,General catch up
"Minister of State (Trade and Investment), Lord Green","May, 2011","American Airlines, Capital International, IBM, Messier-Dowty, Panasonic, Takeda Global Research & Development, Thysseukrupp Tallent, Vattenfall, Xerox",To discuss inward investment and employment relations
"Minister of State (Trade and Investment), Lord Green","May, 2011",John Lewis,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",John Lewis ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",UK Financial Investments Ltd,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",Tech City,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",J P Morgan,To discuss trade
"Minister of State (Trade and Investment), Lord Green","May, 2011",HSBC,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",Tesco,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",Yell Group Plc,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",UK Financial Institutions Ltd,General catch up
"Minister of State (Trade and Investment), Lord Green","May, 2011",British Export Association,General catch up
"Minister of State (Trade and Investment), Lord Green","May, 2011",Panasonic Europe,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green","May, 2011",Barclays,General catch up
"Minister of State (Trade and Investment), Lord Green","May, 2011",Jubilee Debt Campaign,Introductory meeting
"Minister of State (Trade and Investment), Lord Green","May, 2011",Commonwealth Business Council,To discuss trade and investment
