Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,15/09/2011,Estate management,Defence Infrastructure Organisation ,PRIDE (SERP) LTD,GU11 2ER,844370,Estate core services charge,5809607.95
Ministry of Defence,Ministry of Defence,02/09/2011,Design services and minor equipment purchases,Central TLB,METEOROLOGICAL OFFICE,EX1 3PB,838959,Equipment support non-project costs,5673666.66
Ministry of Defence,Ministry of Defence,29/09/2011,Design services and minor equipment purchases,Central TLB,METEOROLOGICAL OFFICE,EX1 3PB,849758,Equipment support non-project costs,5673666.66
Ministry of Defence,Ministry of Defence,21/09/2011,Purchase of buildings and military equipment ,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,846357,Fiscal asset under construction - capital in year addition,5631944.6
Ministry of Defence,Ministry of Defence,08/09/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,841429,Estate core services charge,5619886.68
Ministry of Defence,Ministry of Defence,21/09/2011,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,846357,Estate + facilities management services - accommodation inventory + service,5578625.26
Ministry of Defence,Ministry of Defence,13/09/2011,Property leases,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,843305,Property dwellings private finance initiative - service concession arrangement service charge,5482181.97
Ministry of Defence,Ministry of Defence,08/09/2011,Transport hire charges,Defence Equipment & Support,SD MARINE SERVICES LIMITED,RG27 9XB,841744,Transport other private finance initiative - service concession arrangement service charge,5247473.64
Ministry of Defence,Ministry of Defence,09/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SKANSKA UK PLC,GU21 6HR,842283,Fiscal asset under construction - capital in year addition,4642888.6
Ministry of Defence,Ministry of Defence,21/09/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,846578,Cost of food purchases,4530673
Ministry of Defence,Ministry of Defence,21/09/2011,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,846235,Grant in aid to the council of reserve forces and cadet associations,4485280
Ministry of Defence,Ministry of Defence,30/09/2011,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,850416,Estate core services charge,4394736.28
Ministry of Defence,Ministry of Defence,05/09/2011,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,839190,Plant + machinery private finance initiative - service concession arrangements service charge,4364271.22
Ministry of Defence,Ministry of Defence,29/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,TURBOMECA SA,,5000063271,Fiscal asset under construction - capital in year addition,4209649.12
Ministry of Defence,Ministry of Defence,16/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,EUROCOPTER UK LIMITED,OX5 1QZ,844727,Fiscal asset under construction - capital in year addition,4158872.4
Ministry of Defence,Ministry of Defence,16/09/2011,Administration,Navy Command,VT FLAGSHIP LTD,PO6 4PR,845110,General administration,3950392.83
Ministry of Defence,Ministry of Defence,19/09/2011,Administration,Navy Command,VT FLAGSHIP LTD,PO6 4PR,845684,General administration,3950392.83
Ministry of Defence,Ministry of Defence,22/09/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,KY11 2YD,5000062693,Estate core services charge,3759035.22
Ministry of Defence,Ministry of Defence,07/09/2011,Property leases,Defence Infrastructure Organisation ,EASTBURY PARK LIMITED,WV1 4HY,840982,Property non dwellings private finance initiative - service concession arrangement service charge,3705153.13
Ministry of Defence,Ministry of Defence,29/09/2011,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,849370,Plant + machinery private finance initiative - service concession arrangements service charge,3573530.97
Ministry of Defence,Ministry of Defence,08/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,THALES AIR DEFENCE LIMITED,BT6 9HB,33333,Equipment support project costs,3500037.5
Ministry of Defence,Ministry of Defence,06/09/2011,"Purchase of munitions, other inventory or fuel",Air Command,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000012659,Raw materials and consumable aviation fuel inventory purchased,3227354.39
Ministry of Defence,Ministry of Defence,13/09/2011,Property leases,Defence Infrastructure Organisation ,COAST TO COAST WATER LTD,B26 3JZ,843018,Property non dwellings private finance initiative - service concession arrangement service charge,3123498.62
Ministry of Defence,Ministry of Defence,14/09/2011,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,843549,Estate core services charge,3097689.93
Ministry of Defence,Ministry of Defence,09/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,841961,Fiscal asset under construction - capital in year addition,3091732.64
Ministry of Defence,Ministry of Defence,09/09/2011,Design services and minor equipment purchases,Air Command,FR AVIATION LIMITED,BH23 6NE,841999,Equipment support non-project costs,2949201.52
Ministry of Defence,Ministry of Defence,13/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,843154,Equipment support project costs,2865553
Ministry of Defence,Ministry of Defence,13/09/2011,Property leases,Defence Infrastructure Organisation ,KELDA WATER SERVICES (ESTATES) LIMITED,S35 2PQ,843130,Property non dwellings private finance initiative - service concession arrangement service charge,2836667.04
Ministry of Defence,Ministry of Defence,01/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MORGAN SINDALL PLC.,DH1 1TW,838512,Fiscal asset under construction - capital in year addition,2685316.62
Ministry of Defence,Ministry of Defence,12/09/2011,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,842482,Works - estate management,2585065.97
Ministry of Defence,Ministry of Defence,20/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SEFA CONTRACTORS JV,,3000005943,Fiscal asset under construction - capital in year addition,2541137.9
Ministry of Defence,Ministry of Defence,15/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,844124,Fiscal asset under construction - capital in year addition,2538474.44
Ministry of Defence,Ministry of Defence,19/09/2011,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,5000062549,Works services - excluding United States forces/NATO + married quarters,2519804.51
Ministry of Defence,Ministry of Defence,09/09/2011,Transport hire charges,Air Command,FBS LIMITED,RG24 8AG,841993,Transport finance lease service charge,2508618.69
Ministry of Defence,Ministry of Defence,20/09/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,845726,Transport other operating lease,2483368.11
Ministry of Defence,Ministry of Defence,26/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,VOLKER STEVIN LIMITED,EN11 9BX,848504,Fiscal asset under construction - capital in year addition,2483354.6
Ministry of Defence,Ministry of Defence,08/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,NORTHROP GRUMMAN INFORMATION  TECHNOLOGY INTERNATIONAL INC,,841683,Equipment support non-project costs,2439671.95
Ministry of Defence,Ministry of Defence,22/09/2011,Rent and rates,Defence Infrastructure Organisation ,GOVERNMENT OF GIBRALTAR,,3000005954,Rent buildings - non civil estate property and married quarter property,2371741.13
Ministry of Defence,Ministry of Defence,27/09/2011,Rent and rates,Defence Infrastructure Organisation ,TOUCHSTONE CORPORATE PROPERTY SERVICES LIMITED,BA2 2AF,849050,Rent land - non civil estate property + married quarter property,2307258.16
Ministry of Defence,Ministry of Defence,08/09/2011,Fees for professional services,Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,841503,Fees for professional services excluding legal fees,2295191.17
Ministry of Defence,Ministry of Defence,29/09/2011,Rent and rates,Defence Infrastructure Organisation ,LONDON & REGIONAL (ST GEORGES  COURT) LIMITED,W1U 8EW,849737,Rent buildings - civil estate property,2160000
Ministry of Defence,Ministry of Defence,22/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,THALES UK LIMITED,RH10 9HA,847273,Fiscal asset under construction - capital in year addition,2153015
Ministry of Defence,Ministry of Defence,29/09/2011,General services and support,Defence Equipment & Support,THALES UNDERWATER SYSTEMS LIMITED,BA8 0DH,850109,Defence equipment CLS/IOS service charge,2040288.51
Ministry of Defence,Ministry of Defence,12/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,842521,Fiscal asset under construction - capital in year addition,2009689.4
Ministry of Defence,Ministry of Defence,23/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,LEND LEASE CONSTRUCTION (EMEA) LIMITED,BA1 5AB,847676,Fiscal asset under construction - capital in year addition,1997179.33
Ministry of Defence,Ministry of Defence,23/09/2011,Medical treatment & stores and welfare services,Central TLB,SERVICES SOUND & VISION CORPORATION,SL9 8TN,847871,Recreational facilities costs in support of social work,1990008
Ministry of Defence,Ministry of Defence,20/09/2011,Transport hire charges,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,845726,Transport other operating lease,1939844.25
Ministry of Defence,Ministry of Defence,14/09/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,BFPO 57,5000062391,Estate + facilities management services - accommodation inventory + service,1901463.16
Ministry of Defence,Ministry of Defence,26/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,LEND LEASE CONSTRUCTION (EMEA) LIMITED,BA1 5AB,848234,Fiscal asset under construction - capital in year addition,1900486.32
Ministry of Defence,Ministry of Defence,26/09/2011,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,848232,Estate core services charge,1867874.69
Ministry of Defence,Ministry of Defence,16/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,VECTOR AEROSPACE INTERNATIONAL  LIMITED,PO13 0AA,845101,Equipment support non-project costs,1866258.97
Ministry of Defence,Ministry of Defence,05/09/2011,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,839433,Estate + facilities management services - accommodation inventory + service,1843200.34
Ministry of Defence,Ministry of Defence,19/09/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,845626,Utilities consumed - electricity,1830603.21
Ministry of Defence,Ministry of Defence,07/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER ESTATE SOLUTIONS LIMITED,KY11 2BL,841345,Fiscal asset under construction - capital in year addition,1776232.2
Ministry of Defence,Ministry of Defence,13/09/2011,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,843043,Property non dwellings private finance initiative - service concession arrangement service charge,1732219.89
Ministry of Defence,Ministry of Defence,14/09/2011,Fees for professional services,Land Forces,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,843661,Fees for professional services excluding legal fees,1719674
Ministry of Defence,Ministry of Defence,02/09/2011,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,838956,Intangible single use military equipment asset  - in year capital addition,1672532.4
Ministry of Defence,Ministry of Defence,19/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,845262,Fiscal asset under construction - capital in year addition,1655716.72
Ministry of Defence,Ministry of Defence,20/09/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,846005,Cost of food purchases,1641214.29
Ministry of Defence,Ministry of Defence,08/09/2011,Transport hire charges,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,841428,Transport fighting equipment operating lease,1639028
Ministry of Defence,Ministry of Defence,29/09/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,849994,Cost of food purchases,1633125.94
Ministry of Defence,Ministry of Defence,20/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,EUROCOPTER,,5000062596,Equipment support project costs,1614643.86
Ministry of Defence,Ministry of Defence,16/09/2011,Service and civilian recruitment,Air Command,CENTRAL OFFICE OF INFORMATION,SE1 7DU,844641,Service recruitment excluding recruitment related external assistance,1600829.63
Ministry of Defence,Ministry of Defence,14/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,843555,Post design services which are not capitalised,1579115.3
Ministry of Defence,Ministry of Defence,05/09/2011,Property leases,Defence Infrastructure Organisation ,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,839371,Property dwellings private finance initiative - service concession arrangement service charge,1549502.45
Ministry of Defence,Ministry of Defence,23/09/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,847817,Cost of food purchases,1512937.6
Ministry of Defence,Ministry of Defence,05/09/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,839642,Cost of food purchases,1494193.14
Ministry of Defence,Defence Science and Technology Laboratory,16/09/2011,Facility Management Costs,Infrastructure,SERCO LIMITED,,V - 9000136083 - 00117714,,1491413.25
Ministry of Defence,Defence Science and Technology Laboratory,16/09/2011,Facility Management Costs,Infrastructure,SERCO LIMITED,,V - 9000136083 - 00117714,,1491413.25
Ministry of Defence,Ministry of Defence,16/09/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,845019,Equipment support non-project costs,1482866.79
Ministry of Defence,Ministry of Defence,01/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,MEGGITT TRAINING SYSTEMS INC,,838503,Single use military equipment asset under construction - capital in year addition,1422837.2
Ministry of Defence,Ministry of Defence,12/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,842482,Fiscal asset under construction - capital in year addition,1369020.92
Ministry of Defence,Ministry of Defence,22/09/2011,Fees for professional services,Central TLB,IBM UNITED KINGDOM LIMITED,PO6 3AE,846991,Fees for professional services excluding legal fees,1356111
Ministry of Defence,Ministry of Defence,12/09/2011,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,842414,External military training ,1322727.54
Ministry of Defence,Ministry of Defence,21/09/2011,Grants to Reserves Forces and Cadets Association,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,846235,Grants to reserve forces and cadet associations,1321977.5
Ministry of Defence,Ministry of Defence,09/09/2011,Research and development,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,841894,Research and development at the pre main gate stage of a project,1312492.6
Ministry of Defence,Ministry of Defence,07/09/2011,General services and support,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,DE24 8BJ,841263,Defence equipment CLS/IOS service charge,1285667.65
Ministry of Defence,Ministry of Defence,13/09/2011,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,843038,Works - estate management,1221989.36
Ministry of Defence,Ministry of Defence,16/09/2011,Fees for professional services,Central TLB,CRANFIELD UNIVERSITY,MK43 0AL,844665,Fees for professional services excluding legal fees,1200633.92
Ministry of Defence,Ministry of Defence,07/09/2011,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,5000062095,Intangible single use military equipment asset  - in year capital addition,1181413.16
Ministry of Defence,Ministry of Defence,15/09/2011,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,5000062420,Intangible single use military equipment asset  - in year capital addition,1181413.16
Ministry of Defence,Ministry of Defence,13/09/2011,"Purchase of major spares armaments, medical & general stores",Defence Equipment & Support,THALES OPTRONICS LTD,G51 4BZ,843377,Capital spares engineering and technical inventory single use military equip capital in year addition,1171855.34
Ministry of Defence,Ministry of Defence,08/09/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,841759,Estate + facilities management services - accommodation inventory + service,1126998.54
Ministry of Defence,Ministry of Defence,05/09/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,839759,Works - estate management,1123628.24
Ministry of Defence,Ministry of Defence,01/09/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,838682,Utilities consumed - electricity,1109450.39
Ministry of Defence,Ministry of Defence,15/09/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,844024,Works - estate management,1109263.2
Ministry of Defence,Ministry of Defence,19/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,DE21 7XX,845587,Equipment support project costs,1078974.63
Ministry of Defence,Ministry of Defence,29/09/2011,"Transporation of personnel, freight and travel expenses",Land Forces,BUSVERKEHR OSTWESTFALEN GMBH,,5000063223,Movement of service personnel,1077373.23
Ministry of Defence,Ministry of Defence,14/09/2011,"Transporation of personnel, freight and travel expenses",Land Forces,BUSVERKEHR OSTWESTFALEN GMBH,,4000005604,Movement of service personnel,1067922.59
Ministry of Defence,Ministry of Defence,08/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,841505,Equipment support non-project costs,1064758.72
Ministry of Defence,Ministry of Defence,21/09/2011,Property leases,Central TLB,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,846435,Property non dwellings private finance initiative - service concession arrangement service charge,1058377.63
Ministry of Defence,Ministry of Defence,02/09/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,839095,Equipment support non-project costs,1046735.18
Ministry of Defence,Ministry of Defence,22/09/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,847047,Estate core services charge,1046134.51
Ministry of Defence,Ministry of Defence,08/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,841429,Fiscal asset under construction - capital in year addition,1031382.45
Ministry of Defence,Ministry of Defence,07/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,841246,Equipment support project costs,1028915.54
Ministry of Defence,Ministry of Defence,09/09/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000012698,Raw materials and consumable aviation fuel inventory purchased,1021147.46
Ministry of Defence,Ministry of Defence,16/09/2011,Property leases,Defence Infrastructure Organisation ,INTEQ SERVICES LTD.,RG10 9JU,844798,Property non dwellings private finance initiative - service concession arrangement service charge,1002940.81
Ministry of Defence,Ministry of Defence,30/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,850444,Equipment support non-project costs,996095
Ministry of Defence,Ministry of Defence,15/09/2011,Property leases,Defence Infrastructure Organisation ,VEOLIA WATER NEVIS LIMITED,KY11 8UU,844508,Property non dwellings private finance initiative - service concession arrangement service charge,991572.15
Ministry of Defence,Ministry of Defence,29/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,CAMMELL LAIRD SHIPREPAIRERS & SHIPBUILDERS LIMITED,CH41 9BP,849469,Fiscal asset under construction - capital in year addition,990259.2
Ministry of Defence,Ministry of Defence,12/09/2011,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS34 8YU,842638,Works - estate management,986336.09
Ministry of Defence,Ministry of Defence,14/09/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,843909,Utilities consumed - electricity,975627.22
Ministry of Defence,Ministry of Defence,26/09/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,848445,Utilities consumed - electricity,975013.94
Ministry of Defence,Ministry of Defence,06/09/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,840134,Cost of food purchases,967635.45
Ministry of Defence,Ministry of Defence,15/09/2011,Fees for professional services,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,844421,Fees for professional services excluding legal fees,965825.32
Ministry of Defence,Ministry of Defence,27/09/2011,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,BFPO 53,4000005623,Utilities consumed - electricity,962997.8
Ministry of Defence,Ministry of Defence,15/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,844118,Fiscal asset under construction - capital in year addition,944121.96
Ministry of Defence,Ministry of Defence,12/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,842524,Equipment support non-project costs,926997.47
Ministry of Defence,Defence Science and Technology Laboratory,23/09/2011,Rent/Lease of Land & Bldgs,Infrastructure,QINETIQ LIMITED,,V - 9000136271 - 00118060,,926182.81
Ministry of Defence,Defence Science and Technology Laboratory,23/09/2011,Rent/Lease of Land & Bldgs,Infrastructure,QINETIQ LIMITED,,V - 9000136271 - 00118060,,926182.81
Ministry of Defence,Ministry of Defence,14/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,BAE SYSTEMS INTEGRATED SYSTEM TECHNOLOGIES LIMITED,PO31 8PF,843500,Single use military equipment asset under construction - capital in year addition,923280
Ministry of Defence,Ministry of Defence,02/09/2011,Medical treatment & stores and welfare services,Central TLB,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,839147,Medical health services,917662
Ministry of Defence,Ministry of Defence,06/09/2011,Grants to NDPBs,Land Forces,ROYAL HOSPITAL,SW3 4SR,840153,Operating costs grant in aid to the Royal Hospital Chelsea,916750
Ministry of Defence,Ministry of Defence,23/09/2011,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,847870,Works - estate management,913839.45
Ministry of Defence,Ministry of Defence,26/09/2011,Grants to NDPBs,Air Command,ROYAL AIR FORCE MUSEUM,NW9 5LL,848403,Operating costs grant in aid to the Royal Air Force museum,900000
Ministry of Defence,Ministry of Defence,09/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,NORTHROP GRUMMAN INFORMATION  TECHNOLOGY INTERNATIONAL INC,,2000012705,Equipment support non-project costs,883411.78
Ministry of Defence,Ministry of Defence,19/09/2011,Transport hire charges,Land Forces,RYDER DEUTSCHLAND GMBH,,5000062570,Transport other operating lease,882408.82
Ministry of Defence,Ministry of Defence,15/09/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,844080,Fiscal asset under construction - capital in year addition,879814.65
Ministry of Defence,Ministry of Defence,27/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,F N HERSTAL SA,,3000005967,Fiscal asset under construction - capital in year addition,876523.59
Ministry of Defence,Ministry of Defence,14/09/2011,Payment of utilities,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,843587,Utilities consumed - electricity,875866.17
Ministry of Defence,Ministry of Defence,12/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,ASCENT FLIGHT TRAINING  (MANAGEMENT) LIMITED,BS34 8JH,842402,Equipment support project costs,875468
Ministry of Defence,Ministry of Defence,22/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,846892,Equipment support non-project costs,868134.24
