BUSINESS PLAN QUARTERLY DATA SUMMARY - JANUARY 2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SPENDING,,,,,,,,,,,RESULTS,,,,PEOPLE,,,
,,,,,,,,,,,,,,,,,,
Budget,,,£million,,,Common Areas of Spend,,Q2 2011-12,Q1 2011-12,,Input Indicators,Current,Previous,,Whole Department Family - Workforce Size ,,Current,Previous
Payroll within Resource DEL,,,"3,166","3,169",,Corporate Service Cost,Human Resources (£million),11.51,15.73,,"7a  Percentage of non-front line costs versus front line costs, split by Service: Royal Navy  (%,  Current available Q2)",QDS4 2011-12,not applicable,,,Executive Officers,19.8,20.0
Grants within Resource DEL,,,43,54,,,Finance (£million),81.13,not applicable,,"7b  Percentage of non-front line costs versus front line costs, split by Service: Army (%,  Current available Q2)",QDS4 2011-12,not applicable,,,Higher and Senior Executive Officers,33.9,33.5
of which Capital DEL,,,"2,010","2,253",,,Procurement (£million),25.00,25.00,,"7c  Percentage of non-front line versus front line costs, split by Service: Royal Air Force (%, Current available Q2)",QDS4 2011-12,not applicable,,,Grade 7/6,4.8,5.0
Upto top 5 contributory elements,A: Additions - (IT-HWE),,38,69,,,Legal (£million),1.92,1.92,,"8  Direct personnel costs, per Service person (£thousand, Previous=Q4 2009-10, Current=Q4 2010-11)",51,49,,,Senior Civil Servants,0.5,0.5
,B: Additions - Estates,,93,89,,,Communications (£million),QDS1 2012-13,not applicable,,"9  Direct personnel costs, per MOD civilian (£thousand, Previous=Q4 2009-10, Current= see note 9)",not applicable,not applicable,,,Part Time,10.7,10.5
,C: Additions - Single Use Military Equipment Intangibles,,96,239,,"Fraud, Error, Debt",Total Identified Fraud (£million),not applicable,not applicable,,"10  Defence spending as a percentage of Gross Domestic Product (published NATO definition) (%, Previous=FY 2010-11, Current=FY 2010-11)",2.7,2.7,,Workforce Dynamics,"Recruitment Exceptions (current = Q2  2011-12, previous = Q1  2011-12)",255.0,150.0
,D: PoA & AuC,,474,545,,,Total known Errors (£million),not applicable,not applicable,,Impact Indicators,Current,Previous,,,"Annual Turnover Rate (%, current = at 30 Sep 2011, previous = at 30 Jun 2011)",Not Applicable,not applicable
,E: Single Use Military Equipment,,"1,318","1,181",,,Total Debt (£million),122.00,101.80,,"1  Progress towards a stable and secure Afghanistan  (%, current = Q4 2010-11)",88,not applicable,,"Workforce Diversity
[Total]
(%, current = at 30 Sep 2011, previous = at 30 Jun 2011)",Black and Minority Ethnic,3.5,3.5
Total Annually Managed Expenditure (AME),,,559,788,,,Debtor Days,QDS4 2011-12,not applicable,,2  Number of Service personnel deployed to support civil agencies (e.g. police and fire service) during emergencies  (current = Q4 2010-11),3241,not applicable,,,Women,38.3,38.3
Upto top 5 contributory elements,A: Provision for Legal Claims (LC),,32,56,,Voluntary and community sector (VCS)/Small and medium enterprises (SME),Procurement spend with SME (£million),QDS1 2012-13,not applicable,,3  Number of attaches and advisors deployed in support of conflict prevention and defence diplomacy activities (Number of personnel / Number of countries)  (current = Q4 2010-11),110/143,not applicable,,,Disabled,QDS1 2012-13,not applicable
,B: Unwinding of discount in provisions,,32,57,,,Procurement spend with VCS (£million),QDS1 2012-13,not applicable,,4  Number of Service and MOD civilian personnel deployed on all operations in a year  (current=Q2 2011-12),12672,15782,,"Workforce Diversity
[Senior Civil Servants only]
(%, current = at 30 Sep 2011, previous = at 30 Jun 2011)",Black and Minority Ethnic,3.0,2.8
,C: Provision for Nuclear decom (NDC),,33,48,,,Grants to VCS (£million),QDS1 2012-13,not applicable,,"5  Number of Force Elements (typically ships, aircraft or groiund force sub-units) showing critical or serious weakness against the total number of Force Elements for Strategy for Defence priorities  (current = Q4 2010-11)",8/27,not applicable,,,Women,20.5,19.6
,"D: Property, plant & equip impairment - other imparments",,268,482,,Major Projects (Top 5),,,Cost,,6  Average number of months that the MOD equipment programme is delayed in year  (Previous= Q1 2011-12 Current Q2 2011-12),0.73,0.29,,,Women (Top Management Posts),16.2,19.0
,E: Social Assistance Benefits,,231,0,,Typhoon (£million),,,"20,600.00",,"7  Percentage of Service personnel that are deployable   (%, current = Q4 2010-11)",92,not applicable,,,Disabled,QDS1 2012-13,not applicable
Financial Indicators,,,Q2 2011-12,Q1 2011-12,,Future Strategic Aiercraft Tanker (£million),,,"11,900.00",,"8a  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Royal Navy   (%, current = Q4 2010-11)",9/12/47,not applicable,,"Attendance (AWDL) (current = at 30 Sep 2011, previous = at 30 Jun 2011)",Actual,8.1,8.1
Accuracy of Cash Forecasting ( +/- %),,,3.43,10.58,,Astute Submarine (£million),,,"6,700.00",,"8b  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Army   (%, current = Q4 2010-11)",31/46/62,not applicable,,,Standardised,Not Applicable,not applicable
Working Capital Forecast (% variance of Actual v Forecast),,,3.61,not applicable,,Type 45 Destroyer (£million),,,"6,500.00",,"8c  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Royal Air Force   (%, current = Q4 2010-11)",25/14/15,not applicable,,Department only; People Survey Metrics,,2011 survey,2010 survey
Net Book Value (% variance of Actual v Forecast),,,3.88,not applicable,,Queen Elizabeth Class Aircraft Carrier (£million),,,"5,900.00",,"9  Percentage of Service personnel (Officers / Other Ranks) who are satisfied with Service life in general   (%, current = 2011, previous=2010)",62/56,70/57,,Engagement Index (%),,53,58
,,,,,,£m whole life cost of ALL major projects,,,"67,100.00",,"10  Overall favourability of the UK Armed Forces   (%, current = Q4 2010-11, previous = Q4 2009-10)",88,82,,Theme scores  (%),Leadership and Managing Change,22,25
,,,,,,,,,,,Structural Reform Plan Actions,Q3 2011-12,Q2 2011-12,,,My Work,70,73
"Notes: 
(1) For more information on time periods, please refer to measurement annex;
(2) Numbers may not sum to totals due to rounding;
(3) For cells that are marked as 'not applicable' please refer to measurement annex  for specific reasons;
(4) For cells that are marked with a QDS number and a year (e.g. QDS4 2011-12) refers to the future QDS publication that the department will be able to provide the missing data. Please refer to measurement annex for specific reasons for this missing data;
(5) Cells coloured 'white' indicate missing data cells;
(6) Cells coloured ""light grey"" indicate where data does not conform to the techincal definition requested, please refer to the measurement annex for specific reasons;
(7) Further information on input and impact indicators visit: http://www.mod.uk/NR/rdonlyres/455FA472-13BF-43AC-9C88-2704DA941332/0/20110506_business_plan_measurement_template.pdf;
(8) Further information on the Structural Reform Plan Actions visit: http://transparency.number10.gov.uk/transparency/srp;
(9) Please refer to the 'People' Section fo rthe Civilian statistics.

 
",,,,,,,,,,,Total number of actions completed over the quarter,8,17,,,My Line Manager,60,61
,,,,,,,,,,,Total number of actions overdue at the end of the quarter,1,0,,,Organisational Objectives & Purpose,76,80
,,,,,,,,,,,Number of overdue actions that are attributable to external factors,1,0,,"Contact details:
Public enquires: Members of the public should contact DefRes-AnnualReportAccounts@mod.uk
Press enquiries: Members of the media should contact the News Desk on 020 7218 7907.",,,
,,,,,,,,,,,Total number of actions ongoing,43,45,,,,,
,,,,,,,,,,,Total number of actions in the business plan that have yet to start,16,23,,,,,
,,,,,,,,,,,,,,,,,,
"Any interpretation of this management information must give careful consideration to the caveats noted in the measurement annex. Many of the measures are not yet directly comparable because they do not have common definitions, time periods, or data collection processes.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
