LULWORTH RANGES FIRING PROGRAMME FOR WEEK 1 COMMENCING MON 31 DEC 12,,,,,,,

E. LULWORTH TO STEEPLE (WHITEWAYS RD),0900-1700,0900-1600,0900-1700,0900-1600,0900-1230,
,,1700-2359,,1700-2359,,
CREECH TO STEEPLE HILL,OPEN,OPEN,OPEN,OPEN,OPEN,
AIR DANGER HEIGHT (NOTAM),,,,,,
"UPPER LIMIT 15,000ft (AMSL)",0800-2359,0800-2359,0800-2359,0800-2359,0800-1230,
"UPPER LIMIT 20,000ft (AMSL)",,,,,,
SEA DANGER AREAS IN USE,,,,,,RANGE WALKS 
INNER DO26 DAY,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,ARE OPEN 
OUTER DO26B DAY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,TO THE PUBLIC 
INNER DO26 NIGHT,CLEAR,1730-2359,CLEAR,1730-2359,CLEAR,FROM 
OUTER DO26B NIGHT,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,0900 SAT 12 JAN 13
UKAEA PROHIBITED (TIMINGS),,,,,,UNTIL
UKAEA PIPELINE AND VALVE HOUSE,0900-1700,0900-1600,0900-1700,0900-1600,0900-1230,  0800 MON 14 JAN 13
ARISH MELL TO MARKER BUOY,,1700-2359,,1700-2359,,
CLAYMINE POVINGTON HEATH,CLEAR,0900-2359,0900-1700,0900-2359,CLEAR,
FIRING TIMES,,,,,,
BINDON,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,,
,,1730-2359,,1730-2359,,,
HEATH,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,,
,,1730-2359,,1730-2359,,,
TYNEHAM,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,,
,,1730-2359,,1730-2359,,,
EAST HOLME RIFLE RANGE,0830-1630,0830-1630,0830-1630,0830-1730,0830-1630,0830-1630,0830-1630
PUBLIC ACCESS (TIMINGS),,,,,,,
LULWORTH RANGE WALKS,0001-0800,CLOSED,CLOSED,CLOSED,CLOSED,0900-2359,0001-2359
TYNEHAM CHURCH,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,1000 - 1600,1000 - 1600
ELMS GROVE GATE (ROAD INTO TYNEHAM),CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,0900 - 1600,0900 - 1600






LULWORTH RANGES FIRING PROGRAMME FOR WEEK 3 COMMENCING MON 14 JAN 13,,,,,,,

DETAILS OF ROAD  CLOSURES / ADH /,MON,TUE,WED,THU,FRI,SAT,SUN
SEA DANGER AREAS IN USE,14,15,16,17,18,19,20
ROAD CLOSURES,,,,,,,
E. LULWORTH TO WEST HOLME (B3070),OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
E. LULWORTH TO STEEPLE (WHITEWAYS RD),0900-1700,0900-1600,0900-1700,0900-1600,0900-1230,OPEN,OPEN
,,1700-2359,,1700-2359,,,
CREECH TO STEEPLE HILL,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
AIR DANGER HEIGHT (NOTAM),,,,,,,
"UPPER LIMIT 15,000ft (AMSL)",0800-2359,0800-2359,0800-2359,0800-2359,0800-1230,CLEAR,CLEAR
"UPPER LIMIT 20,000ft (AMSL)",,,,,,,
SEA DANGER AREAS IN USE,,,,,,,
INNER DO26 DAY,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,CLEAR,CLEAR
OUTER DO26B DAY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR
INNER DO26 NIGHT,CLEAR,1730-2359,CLEAR,1730-2359,CLEAR,CLEAR,CLEAR
OUTER DO26B NIGHT,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR
UKAEA PROHIBITED (TIMINGS),,,,,,,
UKAEA PIPELINE AND VALVE HOUSE,0900-1700,0900-1600,0900-1700,0900-1600,0900-1230,CLEAR,CLEAR
ARISH MELL TO MARKER BUOY,,1700-2359,,1700-2359,,CLEAR,CLEAR
CLAYMINE POVINGTON HEATH,CLEAR,0900-2359,0900-1700,0900-2359,CLEAR,0900-2359,0900-1230
FIRING TIMES,,,,,,,
BINDON,0930-1700,0930-1600,0930-1700,0930-1600,0900-1230,CLEAR,CLEAR
,,1730-2359,,1730-2359,,,
HEATH,0930-1700,0930-1600,0930-1700,0930-1600,0900-1230,CLEAR,CLEAR
,,1730-2359,,1730-2359,,,
TYNEHAM,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,CLEAR,CLEAR
,,1730-2359,,1730-2359,,,
EAST HOLME RIFLE RANGE,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630
PUBLIC ACCESS (TIMINGS),,,,,,,
LULWORTH RANGE WALKS,0001-0800,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
TYNEHAM CHURCH,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
ELMS GROVE GATE (ROAD INTO TYNEHAM),CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED






LULWORTH RANGES FIRING PROGRAMME FOR WEEK 4 COMMENCING MON 21 JAN 13,,,,,,,

DETAILS OF ROAD  CLOSURES / ADH /,MON,TUE,WED,THU,FRI,SAT,SUN
SEA DANGER AREAS IN USE,21,22,23,24,25,26,27
ROAD CLOSURES,,,,,,,
E. LULWORTH TO WEST HOLME (B3070),OPEN,OPEN,OPEN,OPEN,OPEN,,
E. LULWORTH TO STEEPLE (WHITEWAYS RD),0900-1700,0900-1600,0900-1700,0900-1600,0900-1230,,
,,1700-2359,,1700-2359,,,
CREECH TO STEEPLE HILL,OPEN,OPEN,OPEN,OPEN,OPEN,
AIR DANGER HEIGHT (NOTAM),,,,,,
"UPPER LIMIT 15,000ft (AMSL)",0800-2359,0800-2359,0800-2359,0800-2359,0800-1230,
"UPPER LIMIT 20,000ft (AMSL)",,,,,,
SEA DANGER AREAS IN USE,,,,,,RANGE WALKS 
INNER DO26 DAY,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,ARE OPEN 
OUTER DO26B DAY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,TO THE PUBLIC 
INNER DO26 NIGHT,CLEAR,1730-2359,CLEAR,1730-2359,CLEAR,FROM 
OUTER DO26B NIGHT,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,0900 SAT 26 JAN 13
UKAEA PROHIBITED (TIMINGS),,,,,,UNTIL
UKAEA PIPELINE AND VALVE HOUSE,0900-1700,0900-1600,0900-1700,0900-1600,0900-1230,  0800 MON 28 JAN 13
ARISH MELL TO MARKER BUOY,,1700-2359,,1700-2359,,
CLAYMINE POVINGTON HEATH,CLEAR,0900-2359,0900-1700,0900-2359,CLEAR,
FIRING TIMES,,,,,,
BINDON,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,
,,1730-2359,,1730-2359,,
HEATH,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,,
,,1730-2359,,1730-2359,,,
TYNEHAM,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,,
,,1730-2359,,1730-2359,,,
EAST HOLME RIFLE RANGE,0830-1630,0830-1730,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630
PUBLIC ACCESS (TIMINGS),,,,,,,
LULWORTH RANGE WALKS,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,0900-2359,0001-2359
TYNEHAM CHURCH,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,1000 - 1600,1000 - 1600
ELMS GROVE GATE (ROAD INTO TYNEHAM),CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,0900 - 1600,0900 - 1600







LULWORTH RANGES FIRING PROGRAMME FOR WEEK 5 COMMENCING MON 28 JAN 13,,,,,,,

DETAILS OF ROAD  CLOSURES / ADH /,MON,TUE,WED,THU,FRI,SAT,SUN
SEA DANGER AREAS IN USE,28,29,30,31,01-Feb,2,3
ROAD CLOSURES,,,,,,,
E. LULWORTH TO WEST HOLME (B3070),OPEN,OPEN,OPEN,OPEN,OPEN,,
E. LULWORTH TO STEEPLE (WHITEWAYS RD),0900-1700,0900-1600,0900-1700,0900-1600,0900-1230,,
,,1700-2359,,1700-2359,,,
CREECH TO STEEPLE HILL,OPEN,OPEN,OPEN,OPEN,OPEN,,
AIR DANGER HEIGHT (NOTAM),,,,,,,
"UPPER LIMIT 15,000ft (AMSL)",0800-2359,0800-2359,0800-2359,0800-2359,0800-1230,,
"UPPER LIMIT 20,000ft (AMSL)",,,,,,,
SEA DANGER AREAS IN USE,,,,,,RANGE WALKS ,
INNER DO26 DAY,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,ARE OPEN ,
OUTER DO26B DAY,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,TO THE PUBLIC ,
INNER DO26 NIGHT,CLEAR,1730-2359,CLEAR,1730-2359,CLEAR,FROM ,
OUTER DO26B NIGHT,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,0900 SAT 2 FEB 13,
UKAEA PROHIBITED (TIMINGS),,,,,,UNTIL,
UKAEA PIPELINE AND VALVE HOUSE,0900-1700,0900-1600,0900-1700,0900-1600,0900-1230,  0800 MON 4 FEB 13,
ARISH MELL TO MARKER BUOY,,1700-2359,,1700-2359,,,
CLAYMINE POVINGTON HEATH,CLEAR,0900-2359,0900-1700,0900-2359,CLEAR,,
FIRING TIMES,,,,,,,
BINDON,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,,
,,1730-2359,,1730-2359,,,
HEATH,0930-1700,0930-1600,0930-1700,0930-1600,0930-1230,,
,,1730-2359,,1730-2359,,,
TYNEHAM,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,
,,CLEAR,,CLEAR,,,
EAST HOLME RIFLE RANGE,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630,0830-1630
PUBLIC ACCESS (TIMINGS),,,,,,,
LULWORTH RANGE WALKS,0001-0800,CLOSED,CLOSED,CLOSED,CLOSED,0900-2359,0001-2359
TYNEHAM CHURCH,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,1000 - 1600,1000 - 1600
ELMS GROVE GATE (ROAD INTO TYNEHAM),CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,0900 - 1800,0900 - 1800
