BUSINESS PLAN QUARTERLY DATA SUMMARY - OCTOBER 2011,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SPENDING,,,,,,,,,,,RESULTS,,,,PEOPLE,,,,
,,,,,,,,,,,,,,,,,,,
Budget,,,£million,,,Common Areas of Spend,,Q1 2011-12,Q4 2010-11,,Input Indicators,Current,Previous,,Whole Department Family - Workforce Size ,,Current,Previous,
Net Book Value [000s],,,"116,499.61","120,573.11",,Queen Elizabeth Class Aircraft Carrier,,,"5,900",,"9  Percentage of Service personnel (Officers / Other Ranks) who are satisfied with Service life in general   (%, current = Q4 2010-11)",70 / 57,60 / 52,,Engagement Index (%),,58,59,
,,,,,,£m whole life cost of ALL major projects,,,"67,100",,"10  Overall favourability of the UK Armed Forces   (%, current = Q4 2010-11, previous = Q4 2009-10)",88,82,,Theme scores  (%),Leadership and Managing Change,25,25,
,,,,,,,,,,,Structural Reform Plan Actions,Q2 2011-12,Q1 2011-12,,,My Work,73,75,
"Notes: 
(1) For more information on time periods, please refer to measurement annex;
(2) Numbers may not sum to totals due to rounding;
(3) For cells that are marked as 'not applicable' (.) please refer to measurement annex  for specific reasons;
(4) For cells that are marked as 'not available' (.. with a date) please refer to measurement annex for specific reasons and when it will be available;
(5) For cells containing ‘A’, please refer to the measurement annex for annual data.(6) Further information on input and impact indicators visit: http://www.mod.uk/NR/rdonlyres/455FA472-13BF-43AC-9C88-2704DA941332/0/20110506_business_plan_measurement_template.pdf;
(7) Further information on the Structural Reform Plan Actions visit: http://transparency.number10.gov.uk/transparency/srp.

 
",,,,,,,,,,,Total number of actions completed over the quarter,17,21,,,My Line Manager,61,61,
,,,,,,,,,,,Total number of actions overdue at the end of the quarter,0,0,,,Organisational Objectives & Purpose,80,78,
,,,,,,,,,,,Number of overdue actions that are attributable to external factors,0,0,,"Contact details:
Public enquires: Members of the public should contact DefRes-AnnualReportAccounts@mod.uk.
Press enquiries: Members of the media should contact the News Desk on 020 7218 7907.",,,,
,,,,,,,,,,,Total number of actions ongoing,45,51,,,,,,
,,,,,,,,,,,Total number of actions in the business plan that have yet to start,23,34,,,,,,
"Any interpretation of this management information must give careful consideration to the caveats noted in the measurement annex. Many of the measures are not yet directly comparable because they do not have common definitions, time periods, or data collection processes.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
