RTFO Quarterly Report 12: 
15 April 2010 - 14 April 2011

Provisional Data
"The information contained in this report is provisional and based on unverified claims made by suppliers. It should be viewed as indicative rather than definitive. Verified data is published annually and can be found on the the DfT website, http://www.dft.gov.uk/statistics/series/biofuels/.  Those using this document should be aware that while in the majority of cases there is little discrepancy between a company’s provisional and verified data, in some instances the difference has been significant. For further information on provisional data please see the notes at the end of this report."

Executive Summary

"Under the RTFO, the sustainability targets increase year on year.  For year three the data capture target is up 20% to 90% relative to Year Two; the target for GHG savings is up 5% to 50% and the target for fuels meeting an Environmental Standards has increased by 30% to 80%."
This report covers the supply of biofuels under the Renewable Transport Fuel Obligation¹ from 15 April 2010 to 14 April 2011.  The headline figures2 are:
4.3 billion litres of biofuel have been supplied under the RTFO in the first 36 months.
"In the twelve months of the 2010/11 obligation period, 1,440 million litres of biofuel have been supplied, which is approximately 3.1% of total road transport fuel reported to the RTFO Administrator against an annual target of 3.5%3. More biodiesel (59%) has been supplied than bioethanol (41%).  There has also been a small volume of biogas declared to us."

The feedstock is known for 97% of fuel supplied. Both the feedstock and country of origin are known for 97%.
"The largest proportion of biofuel came from the feedstock, used cooking oil (428m litres, 30% of total biofuel supplied).  The most widely reported feedstock and country of biodiesel was soy from Argentina (180m litres, 21% of biodiesel supplied). The most widely reported feedstock and country of bioethanol was sugarcane from Brazil (119m litres, 20% of bioethanol supplied)."
"Over the period, 55%4 of biofuels met an environmental standard, compared to a target of 80%5."
The majority of feedstock has been imported; 22% of the biofuel was reported as coming from UK feedstocks.
85% of the fuel reported as coming from UK feedstocks met environmental sustainability standards.
Greenhouse gas savings of 58% were achieved against a Government target6 of 50%. This figure may not include all emissions from direct land use change and excludes the emissions from indirect land-use changes considered in the 'Gallagher Review'. 


Notes
"1. The RTFO applies to road transport across the whole of the UK. Refiners, importers and any others who supply more than 450,000 litres of relevant hydrocarbon oil for road transport annually to the UK market are obligated by it. "
"2. Data come from monthly reports submitted by fuel suppliers to the RTFO Administrator. The RTFO Administrator performs checks on the data, which for suppliers of over 450,000 litres of biofuel, are also subject to an annual verification process by independent auditors. The RTFO Administrator will publish a final, fully verified dataset after the end of each obligation year."
Every quarter we publish an extended report that identifies the carbon and sustainability performance of individual companies. These reports are available on our website at: http://dft.gov.uk/pgr/sustainable/biofuels/data/

3. Obligated suppliers can meet their volume obligation by surrendering the appropriate number of RTFCs to the RTFO Administrator and/or by paying into a buy-out fund. The RTFCs can be obtained by supplying their own biofuels or by purchasing RTFCs from other biofuel suppliers. A quarter of their obligation can be met by surplus RTFCs from the previous obligation year.
"4. Under the RTFO Order, these reports must not contain information from which the volumes of fuel being reported by individual suppliers might be derived. To protect the volumes of individual suppliers in some reports, certain quantities of fuel reported as meeting the Qualifying Standard or RTFO Meta-Standard have been removed from the overall RTFO figures. In this report, all fuel meeting the Qualifying Standard or Meta-Standard has been included in the overall RTFO figures, but some has still been excluded from the reporting by feedstock and country. The figures by country and feedstock do not therefore tally exactly with the overall figures.  "
"5. 80% of feedstocks should meet environmental sustainability standards in the year 2010/11. The ability of suppliers to source certifiably sustainable fuels is currently limited by the lack of operational sustainability standards for several feedstock/country combinations. Certified sustainable feedstock is expected to become increasingly available over time, as feedstock standards develop in response to the demand created by the RTFO and growing concern about the sustainability of agricultural commodities more widely. Suppliers can arrange their own audits against the RTFO Meta-Standard. There is more than enough RSPO certified palm oil to meet the entire UK demand for palm oil biodiesel feedstock."
6. Throughout this report 'Government targets' refers to targets set by the Government in 2007.

***GRAPHS WOULD BE FOUND HERE IN XLS AND PDF VERSION***

Table 1: Performance of the RTFO against the three carbon and sustainability targets set by the Government in 2007. ,,,,,,,,,,

Annual Supplier Target,,,,,2010/11 Obligation period,,2009/10 Obligation period,,2008/09 Obligation period,
,,,,,Target,Actual,Target,Actual,Target,Actual
Percentage of feedstock meeting a Qualifying Environmental Standard,,,,,80%,55%,50%,31%,30%,20%
Annual GHG saving of fuel supplied,,,,,50%,58%,45%,51%,40%,46%
Data reporting of renewable fuel characteristics,,,,,90%,85%,70%,72%,50%,64%


Table 2: Volume of biofuels supplied for road transport under the RTFO.,,,,,,,,,,

,Biofuel type,Volume (millions l) or mass (millions kg)*,Fossil fuel type,"Volume, million l **",Biofuels as a proportion of total road transport fuels supplied,,,,,


Fuel type,Biodiesel,853.5,Diesel,"24,957",3.31%,,,,,
,Bioethanol,585.7,Petrol,"19,876",2.86%,,,,,,,,,,
,Malaysia,"12,733,880",12.7,1%,0%,70%,0%,30%,0%,70%,0%,30%,66,21%,1.9
,Netherlands,"131,767,023",131.8,15%,0%,95%,0%,5%,0%,95%,0%,5%,16,81%,1.1
,Poland,"4,218,960",4.2,0%,0%,2%,0%,98%,0%,2%,0%,98%,51,39%,1.3
,Portugal,"2,259,298",2.3,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.1
,Romania,"20,000",0,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1
,Spain,"40,763,441",40.8,5%,0%,97%,0%,3%,0%,97%,0%,3%,15,82%,1.1
,Sweden,"377,535",0.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5
,Switzerland,"31,084",0,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1
,Ukraine,"5,390,956",5.4,1%,0%,0%,16%,84%,0%,0%,16%,84%,52,38%,1.3
,United Kingdom,"133,424,320",133.4,16%,0%,95%,0%,5%,0%,89%,5%,5%,18,79%,3.2
,United States,"86,694,326",86.7,10%,0%,69%,0%,31%,0%,69%,0%,31%,26,69%,2.8
,Unknown,"41,826,800",41.8,5%,0%,2%,0%,98%,0%,2%,0%,98%,87,-3%,0.1
,Total,"853,497,451",853.5,100%,,,,,,,,,,,
,Mean,,,,0%,61%,1%,38%,2%,59%,2%,38%,34,59%,1.7
Previous land-use,By-product,"480,134,540",480.1,56%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.9
,Cropland – non-protected,"37,326,115",37.3,4%,0%,5%,0%,95%,0%,1%,4%,95%,51,39%,2.4
,Cropland - protection status unknown,"223,221,488",223.2,26%,0%,12%,2%,86%,4%,8%,2%,86%,57,31%,1.4
,Unknown,"112,815,308",112.8,13%,0%,12%,2%,86%,3%,4%,7%,86%,69,18%,0.9
,Total,"853,497,451",853.5,100%,,,,,,,,,,,
,Mean,,,,0%,61%,1%,38%,2%,59%,2%,38%,34,59%,1.7


"Table 5: Carbon and sustainability data of bioethanol from different feedstocks, countries, and according to the previous land-use.",,,,,,,,,,,,,,,

,,"Volume, 
litres","Volume, 
million litres","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-6)"
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,
Feedstock,Barley,"21,069,394",21.1,4%,0%,0%,0%,100%,0%,0%,0%,100%,47,44%,4.9
,Corn EC,"65,084,686",65.1,11%,0%,0%,0%,100%,0%,0%,0%,100%,35,59%,4.2
,Corn non EC,"131,923,160",131.9,23%,0%,0%,0%,100%,0%,0%,0%,100%,49,41%,3.4
,Molasses,"17,966,773",18,3%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1
,Rye,"326,680",0.3,0%,0%,0%,0%,100%,0%,0%,0%,100%,115,-37%,1
,Sugar beet,"86,618,487",86.6,15%,0%,85%,0%,15%,0%,4%,82%,15%,24,71%,5.3
,Sugar cane,"120,086,510",120.1,21%,-*,-*,-*,-*,-*,-*,-*,-*,24,71%,1
,Triticale,"910,380",0.9,0%,0%,0%,0%,100%,0%,0%,0%,100%,62,26%,1
,Wheat,"140,633,736",140.6,24%,0%,49%,2%,50%,0%,0%,50%,50%,38,55%,4
,Unknown,"1,060,085",1.1,0%,0%,0%,0%,100%,0%,0%,0%,100%,115,-37%,0
,Total,"585,679,891",585.7,100%,,,,,,,,,,,
,Mean,,,,0%,27%,0%,72%,0%,4%,24%,72%,36,57%,3.4
Country of origin,Belgium,"7,883,950",7.9,1%,0%,0%,0%,100%,0%,0%,0%,100%,53,37%,1
,Brazil,"119,171,089",119.2,20%,-*,-*,-*,-*,-*,-*,-*,-*,24,71%,1
,Costa Rica,"6,839,970",6.8,1%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1
,Czech Republic,"343,354",0.3,0%,0%,0%,0%,100%,0%,0%,0%,100%,70,16%,1
,Denmark,"1,575,598",1.6,0%,0%,0%,0%,100%,0%,0%,0%,100%,55,35%,1.6
,Finland,"45,801",0,0%,0%,0%,0%,100%,0%,0%,0%,100%,70,16%,1
,France,"60,079,277",60.1,10%,0%,0%,0%,100%,0%,0%,0%,100%,47,44%,2.9
,Germany,"915,553",0.9,0%,0%,0%,0%,100%,0%,0%,0%,100%,53,37%,1
,Guatemala,"10,653,780",10.7,2%,0%,91%,0%,9%,0%,91%,0%,9%,58,31%,1.1
,Hungary,"1,695,727",1.7,0%,0%,0%,0%,100%,0%,0%,0%,100%,40,52%,3
,Latvia,"148,914",0.1,0%,0%,0%,0%,100%,0%,0%,0%,100%,62,26%,1
,Lithuania,37,0,0%,0%,0%,0%,100%,0%,0%,0%,100%,62,26%,1
,Netherlands,"50,943",0.1,0%,0%,0%,0%,100%,0%,0%,0%,100%,70,16%,1
,Nicaragua,"1,388,444",1.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1
,Poland,"606,992",0.6,0%,0%,0%,0%,100%,0%,0%,0%,100%,62,26%,1
,Romania,"1,706,556",1.7,0%,0%,0%,0%,100%,0%,0%,0%,100%,43,49%,1
,Serbia,"504,707",0.5,0%,0%,0%,0%,100%,0%,0%,0%,100%,34,59%,5
,Spain,"51,365,124",51.4,9%,0%,0%,0%,100%,0%,0%,0%,100%,39,54%,4.7
,Sweden,"2,934,911",2.9,1%,0%,0%,0%,100%,0%,0%,0%,100%,59,30%,1.9
,United Kingdom,"184,863,736",184.9,32%,0%,77%,1%,22%,0%,2%,76%,22%,27,68%,5.2
,United States,"131,418,453",131.4,22%,0%,0%,0%,100%,0%,0%,0%,100%,49,41%,3.4
,Unknown,"1,486,975",1.5,0%,0%,0%,0%,100%,0%,0%,0%,100%,95,-13%,0.3
,Total,"585,679,891",585.7,100%,,,,,,,,,,,
,Mean,,,,0%,27%,0%,72%,0%,4%,24%,72%,36,57%,3.4
Previous land-use,By-product,"17,966,773",18,3%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1
,Cropland – non-protected,"254,912,564",254.9,44%,0%,20%,0%,80%,0%,1%,19%,80%,29,66%,3.2
,Cropland – protected,"73,976",0.1,0%,0%,0%,0%,100%,0%,0%,0%,100%,40,52%,1
,Cropland - protection status unknown,"260,282,865",260.3,44%,0%,34%,0%,66%,0%,0%,34%,66%,38,54%,4
,Unknown,"52,443,713",52.4,9%,0%,6%,2%,92%,0%,0%,8%,92%,56,34%,2.2
,Total,"585,679,891",585.7,100%,,,,,,,,,,,
,Mean,,,,0%,27%,0%,72%,0%,4%,24%,72%,36,57%,3.4
"* Under the RTFO Order, these reports must not contain information from which the volumes of fuel being reported by individual suppliers might be derived. To protect the volumes of individual suppliers certain quantities of fuel reported as meeting the Qualifying Standard or RTFO Meta-Standard have been removed from the RTFO figures. In this report, all fuel meeting the Qualifying Standard or Meta-Standard has been included in the overall RTFO figures, but some has still been excluded from the reporting by feedstock and country. The figures by country and feedstock do not therefore tally exactly with the overall figures.",,,,,,,,,,,,,,,

"Table 6: Carbon and sustainability data of biogas by feedstock, country of origin and previous land-use.",,,,,,,,,,,,,,,
,,"Volume, 
kilograms","Volume, 
million kilograms","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-6)"
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,
Feedstock,MSW,"428,207",0.4,100%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,5
Country of origin,United Kingdom,"428,207",0.4,100%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,5
Previous land-use,By-product,"428,207",0.4,100%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,5

"Table 7: Carbon and sustainability data of total biofuel from different feedstocks, countries and according to the previous land-use.",,,,,,,,,,,,,,,

,,"Volume, 
litres or kilograms","Volume, 
million litres/kilograms","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-6)"
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,
Feedstock,Barley,"21,069,394",21.1,1%,0%,0%,0%,100%,0%,0%,0%,100%,47,44%,4.9
,Corn EC,"65,084,686",65.1,5%,0%,0%,0%,100%,0%,0%,0%,100%,35,59%,4.2
,Corn non EC,"131,923,160",131.9,9%,0%,0%,0%,100%,0%,0%,0%,100%,49,41%,3.4
,Molasses,"17,966,773",18,1%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1
,Municipal solid waste,"428,207",0.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,5
,Oilseed rape,"89,659,689",89.7,6%,0%,8%,7%,85%,0%,0%,15%,85%,52,38%,1.5
,Palm,"33,546,898",33.5,2%,0%,44%,0%,56%,0%,44%,0%,56%,67,20%,1.5
,Rye,"326,680",0.3,0%,0%,0%,0%,100%,0%,0%,0%,100%,115,-37%,1
,Soy,"214,206,004",214.2,15%,0%,10%,0%,90%,6%,4%,0%,90%,57,32%,1.5
,Sugar beet,"86,618,487",86.6,6%,0%,85%,0%,15%,0%,4%,82%,15%,24,71%,5.3
,Sugar cane,"120,086,510",120.1,8%,-*,-*,-*,-*,-*,-*,-*,-*,24,71%,1
,Tallow,"51,880,942",51.9,4%,0%,100%,0%,0%,0%,100%,0%,0%,17,80%,1.3
,Triticale,"910,380",0.9,0%,0%,0%,0%,100%,0%,0%,0%,100%,62,26%,1
,Used cooking oil,"428,253,598",428.3,30%,0%,100%,0%,0%,0%,100%,0%,0%,14,84%,2
,Wheat,"140,633,736",140.6,10%,0%,49%,2%,50%,0%,0%,50%,50%,38,55%,4
,Unknown,"37,010,405",37,3%,0%,0%,0%,100%,0%,0%,0%,100%,94,-12%,0
,Total,"1,439,605,549",1439.6,100%,,,,,,,,,,,
,Mean,,,,0%,47%,1%,52%,1%,36%,11%,52%,35,58%,2.4
Country of origin,Argentina,"180,086,489",180.1,13%,0%,11%,0%,89%,7%,5%,0%,89%,58,31%,1.3
,Austria,"2,811,464",2.8,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.2
,Belgium,"31,914,011",31.9,2%,0%,71%,0%,29%,0%,71%,0%,29%,25,70%,1.2
,Brazil,"119,813,183",119.8,8%,-*,-*,-*,-*,-*,-*,-*,-*,24,71%,1
,Canada,"285,855",0.3,0%,0%,16%,0%,84%,0%,16%,0%,84%,50,40%,1
,Chile,"225,277",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5
,Costa Rica,"6,839,970",6.8,0%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1
,Czech Republic,"457,274",0.5,0%,0%,25%,0%,75%,0%,25%,0%,75%,56,33%,1
,Denmark,"8,209,896",8.2,1%,0%,75%,0%,25%,0%,75%,0%,25%,26,69%,1.5
,Finland,"843,091",0.8,0%,0%,95%,0%,5%,0%,95%,0%,5%,19,78%,2.1
,France,"85,263,674",85.3,6%,0%,16%,1%,83%,0%,16%,1%,83%,42,49%,2.4
,Germany,"126,206,161",126.2,9%,0%,63%,4%,33%,0%,63%,4%,33%,28,66%,1.4
,Guatemala,"10,653,780",10.7,1%,0%,91%,0%,9%,0%,91%,0%,9%,58,31%,1.1
,Hungary,"1,863,506",1.9,0%,0%,0%,0%,100%,0%,0%,0%,100%,41,51%,2.9
,India,"2,327,297",2.3,0%,0%,0%,0%,100%,0%,0%,0%,100%,68,19%,1.5
,Indonesia,"18,485,721",18.5,1%,0%,32%,0%,68%,0%,32%,0%,68%,68,19%,1.3
,"Ireland, Republic of","6,393,164",6.4,0%,0%,96%,0%,4%,0%,96%,0%,4%,16,81%,1.2
,Italy,"247,261",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1
,Latvia,"148,914",0.1,0%,0%,0%,0%,100%,0%,0%,0%,100%,62,26%,1
,Lithuania,"170,631",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,17,80%,1
,Luxembourg,"96,259",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1
,Malaysia,"12,733,880",12.7,1%,0%,70%,0%,30%,0%,70%,0%,30%,66,21%,1.9
,Netherlands,"131,817,966",131.8,9%,0%,95%,0%,5%,0%,95%,0%,5%,16,81%,1.1
,Nicaragua,"1,388,444",1.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1
,Poland,"4,825,952",4.8,0%,0%,2%,0%,98%,0%,2%,0%,98%,53,37%,1.3
,Portugal,"2,259,298",2.3,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.1
,Romania,"1,726,556",1.7,0%,0%,0%,0%,100%,0%,0%,0%,100%,43,49%,1
,Serbia,"504,707",0.5,0%,0%,0%,0%,100%,0%,0%,0%,100%,34,59%,5
,Spain,"92,128,565",92.1,6%,0%,43%,0%,57%,0%,43%,0%,57%,28,66%,3.1
,Sweden,"3,312,446",3.3,0%,0%,11%,0%,89%,0%,11%,0%,89%,54,36%,2.3
,Switzerland,"31,084",0,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1
,Ukraine,"5,390,956",5.4,0%,0%,0%,16%,84%,0%,0%,16%,84%,52,38%,1.3
,United Kingdom,"318,716,263",318.7,22%,0%,85%,1%,15%,0%,39%,47%,15%,23,72%,4.3
,United States,"218,112,779",218.1,15%,0%,27%,0%,73%,0%,27%,0%,73%,40,52%,3.2
,Unknown,"43,313,775",43.3,3%,0%,2%,0%,98%,0%,2%,0%,98%,87,-4%,0.1
,Total,"1,439,605,549",1439.6,100%,,,,,,,,,,,
,Mean,,,,0%,47%,1%,52%,1%,36%,11%,52%,35,58%,2.4
Previous land-use,By-product,"498,529,520",498.5,35%,0%,100%,0%,0%,0%,100%,0%,0%,16,81%,1.9
,Cropland – non-protected,"292,238,679",292.2,20%,0%,19%,0%,81%,0%,1%,17%,81%,32,62%,3.1
,Cropland – protected,"73,976",0.1,0%,0%,0%,0%,100%,0%,0%,0%,100%,40,52%,1
,Cropland - protection status unknown,"483,504,353",483.5,34%,0%,24%,1%,75%,2%,4%,19%,75%,47,44%,2.8
,Unknown,"165,259,021",165.3,11%,0%,10%,2%,88%,2%,3%,7%,88%,64,23%,1.3
,Total,"1,439,605,549",1439.6,100%,,,,,,,,,,,
,Mean,,,,0%,47%,1%,52%,1%,36%,11%,52%,35,58%,2.4
