Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Department for Communities and Local Government,Government Office Network,GO East,GO013,Grade 6,54490,67506,Grade 6,1.0
Department for Communities and Local Government,Government Office Network,GO East,GO013,Grade 7,44509,54946,Grade 7,2.6
Department for Communities and Local Government,Government Office Network,GO East,GO013,Higher Executive Officer,26676,29599,Higher Executive Officer,5.0
Department for Communities and Local Government,Government Office Network,GO East,GO013,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO013,Administrative Officer,16457,18414,Administrative Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO013,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO013,Grade 7,44509,54946,Grade 7,3.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO013,Higher Executive Officer,26676,29599,Higher Executive Officer,3.6
Department for Work and Pensions,Government Office Network,GO East,GO013,Grade 7,44509,54946,Grade 7,1.0
Department for Work and Pensions,Government Office Network,GO East,GO013,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
Department for Work and Pensions,Government Office Network,GO East,GO013,Senior Information Officer,37371,40767,Senior Information Officer,1.0,Recorded as SEO level on organogram
Home Office,Government Office Network,GO East,GO013,Executive Officer,19927,23582,Executive Officer,1.0,
Home Office,Government Office Network,GO East,GO013,Grade 6,54490,67506,Grade 6,1.0,
Ministry of Defence,Government Office Network,GO East,GO013,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO East,GO014,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO East,GO014,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East,GO014,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East,GO014,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO East,GO014,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO East,GO014,Grade 6,54490,67506,Grade 6,2.0,
Department for Communities and Local Government,Government Office Network,GO East,GO014,Grade 7,44509,54946,Grade 7,2.9,
Department for Communities and Local Government,Government Office Network,GO East,GO014,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO East,GO014,Higher Professional & Technical Officer,31737,35255,Higher Professional & Technical Officer,2.0,Recorded as HEO level on organogram
Department for Communities and Local Government,Government Office Network,GO East,GO014,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO East,GO014,Senior Planning Officer,40640,45139,Senior Planning Officer,3.0,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO014,Executive Officer,19927,23582,Executive Officer,0.8,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO014,Grade 7,44509,54946,Grade 7,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO014,Higher Executive Officer,26676,29599,Higher Executive Officer,3.4,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO014,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO014,Senior Planning Officer,40640,45139,Senior Planning Officer,1.6,Recorded as SEO level on organogram
Department for Transport,Government Office Network,GO East,GO014,Grade 7,44509,54946,Grade 7,2.0,
Department for Transport,Government Office Network,GO East,GO014,Higher Professional & Technical Officer,31737,35255,Higher Professional & Technical Officer,0.9,Recorded as HEO level on organogram
Home Office,Government Office Network,GO East,GO014,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Business Innovation and Skills,Government Office Network,GO East,GO015,Grade 7,44509,54946,Grade 7,2.0,
Department for Business Innovation and Skills,Government Office Network,GO East,GO015,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO East,GO015,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East,GO015,Grade 7,44509,54946,Grade 7,1.9,
"Department for Children, Schools and Families",Government Office Network,GO East,GO015,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East,GO015,Senior Executive Officer,32599,36177,Senior Executive Officer,3.0,
Department for Communities and Local Government,Government Office Network,GO East,GO015,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO East,GO015,Higher Executive Officer,26676,29599,Higher Executive Officer,0.8,
Department for Communities and Local Government,Government Office Network,GO East,GO015,Senior Executive Officer,32599,36177,Senior Executive Officer,2.4,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO015,Administrative Officer,16457,18414,Administrative Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO015,Grade 6,54490,67506,Grade 6,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO015,Grade 7,44509,54946,Grade 7,2.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO015,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO015,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
Department for Transport,Government Office Network,GO East,GO015,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO East,GO016,Grade 7,44509,54946,Grade 7,4.6
"Department for Children, Schools and Families",Government Office Network,GO East,GO016,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East,GO016,Administrative Officer,16457,18414,Administrative Officer,0.5
Department for Communities and Local Government,Government Office Network,GO East,GO016,Executive Officer,19927,23582,Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East,GO016,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East,GO016,Senior Executive Officer,32599,36177,Senior Executive Officer,2.7
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO016,Administrative Officer,16457,18414,Administrative Officer,0.8
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO016,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
Home Office,Government Office Network,GO East,GO016,Executive Officer,19927,23582,Executive Officer,1.0
Home Office,Government Office Network,GO East,GO016,Grade 7,44509,54946,Grade 7,1.7
Department for Business Innovation and Skills,Government Office Network,GO East,GO017,Executive Officer,19927,23582,Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO East,GO017,Grade 7,44509,54946,Grade 7,0.8
Department for Business Innovation and Skills,Government Office Network,GO East,GO017,Senior Executive Officer,32599,36177,Senior Executive Officer,1.9
"Department for Children, Schools and Families",Government Office Network,GO East,GO017,Grade 7,44509,54946,Grade 7,1.0
"Department for Children, Schools and Families",Government Office Network,GO East,GO017,Senior Executive Officer,32599,36177,Senior Executive Officer,2.9
Department for Communities and Local Government,Government Office Network,GO East,GO017,Grade 6,54490,67506,Grade 6,1.0
Department for Communities and Local Government,Government Office Network,GO East,GO017,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East,GO017,Senior Executive Officer,32599,36177,Senior Executive Officer,4.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO017,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO017,Grade 7,44509,54946,Grade 7,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO017,Senior Executive Officer,32599,36177,Senior Executive Officer,3.0
Department for Transport,Government Office Network,GO East,GO017,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
Home Office,Government Office Network,GO East,GO017,Grade 7,44509,54946,Grade 7,2.0
Home Office,Government Office Network,GO East,GO017,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO East,GO018,Higher Executive Officer,26676,29599,Higher Executive Officer,0.6
"Department for Children, Schools and Families",Government Office Network,GO East,GO018,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO East,GO018,Grade 6,54490,67506,Grade 6,0.9
"Department for Children, Schools and Families",Government Office Network,GO East,GO018,Grade 7,44509,54946,Grade 7,3.0
"Department for Children, Schools and Families",Government Office Network,GO East,GO018,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0
"Department for Children, Schools and Families",Government Office Network,GO East,GO018,Senior Executive Officer,32599,36177,Senior Executive Officer,1.9
Department for Communities and Local Government,Government Office Network,GO East,GO018,Executive Officer,19927,23582,Executive Officer,2.0
Department for Communities and Local Government,Government Office Network,GO East,GO018,Grade 7,44509,54946,Grade 7,1.0
Department for Communities and Local Government,Government Office Network,GO East,GO018,Higher Executive Officer,26676,29599,Higher Executive Officer,4.3
Department for Communities and Local Government,Government Office Network,GO East,GO018,Senior Executive Officer,32599,36177,Senior Executive Officer,1.6
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East,GO018,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Transport,Government Office Network,GO East,GO018,Grade 7,44509,54946,Grade 7,1.0
Home Office,Government Office Network,GO East,GO018,Senior Executive Officer,32599,36177,Senior Executive Officer,0.8
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO019,Administrative Officer,16457,18414,Administrative Officer,3.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO019,Executive Officer,19927,23582,Executive Officer,3.9
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO019,Grade 7,44509,54946,Grade 7,2.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO019,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO019,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO019,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO019,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO019,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO019,Administrative Officer,16457,18414,Administrative Officer,0.9,
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO019,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO019,Grade 7,44509,54946,Grade 7,1.0,
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO019,HEO (D),27000,35000,HEO (D),1.0,HEO (D) staff are Fast Streamers
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO019,Higher Executive Officer,26676,29599,Higher Executive Officer,4.0,
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO019,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO019,Senior Information Officer,37371,40767,Senior Information Officer,1.0,Recorded as SEO level on organogram
Department for Transport,Government Office Network,GO East Midlands,GO019,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Transport,Government Office Network,GO East Midlands,GO019,Higher Executive Officer,26676,29599,Higher Executive Officer,1.6,
Revenue & Customs,Government Office Network,GO East Midlands,GO019,Senior Information Officer,37371,40767,Senior Information Officer,1.0,Recorded as SEO level on organogram
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO021,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO021,Executive Officer,19927,23582,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO021,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO021,Grade 7,44509,54946,Grade 7,1.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO021,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO021,Senior Executive Officer,32599,36177,Senior Executive Officer,0.8
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO021,Administrative Officer,16457,18414,Administrative Officer,2.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO021,Executive Officer,19927,23582,Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO021,Grade 7,44509,54946,Grade 7,0.8
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO021,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Transport,Government Office Network,GO East Midlands,GO021,Grade 7,44509,54946,Grade 7,1.0
Department for Transport,Government Office Network,GO East Midlands,GO021,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO023,Administrative Officer,16457,18414,Administrative Officer,0.5
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO023,Executive Officer,19927,23582,Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO023,Grade 7,44509,54946,Grade 7,2.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO023,Grade 7,44509,54946,Grade 7,2.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO023,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO023,Executive Officer,19927,23582,Executive Officer,2.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO023,Grade 6,54490,67506,Grade 6,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO023,Grade 7,44509,54946,Grade 7,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO023,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Transport,Government Office Network,GO East Midlands,GO023,Executive Officer,19927,23582,Executive Officer,1.0
Home Office,Government Office Network,GO East Midlands,GO023,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO024,Administrative Officer,16457,18414,Administrative Officer,2.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO024,Grade 6,54490,67506,Grade 6,1.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO024,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO024,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO024,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO024,Grade 6,54490,67506,Grade 6,3.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO024,Executive Officer,19927,23582,Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO024,Grade 7,44509,54946,Grade 7,1.8
Department for Transport,Government Office Network,GO East Midlands,GO024,Grade 7,44509,54946,Grade 7,1.0
Department for Transport,Government Office Network,GO East Midlands,GO024,Higher Executive Officer,26676,29599,Higher Executive Officer,2.8
Department for Work and Pensions,Government Office Network,GO East Midlands,GO024,Grade 6,54490,67506,Grade 6,1.0
Department for Business Innovation and Skills,Government Office Network,GO London,GO025,Executive Officer,24730,29277,Executive Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO London,GO025,Higher Executive Officer,30858,34274,Higher Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO London,GO025,Grade 7,49363,61151,Grade 7,1.9
