Minister,Date,Name of External Organisation,Purpose of meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Princes Trust,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010","Stoke on Trent College and MPs - Joan Walley MP, Robert Flello MP, Tristam Hunt MP",To discuss further education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Association of Accounting Technicians,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Institute for Learning,Introductory meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",German Industry UK,To discuss skills
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010","Association of Colleges, Campaign for Learning,   Community Learning and Skills (Kent Adult Education/KEY Training), Derbyshire Adult Community Education Service, Federation for Community Development Learning (FCDL),. Local Education Authorities' Forum for the Education of  Adults (LEAFEA) National Association for Voluntary and Community Action (NAVCA), National Institute of Adult Continuing Education (NIACE),Novas Scarman Skill: National Bureau for Students with Disabilities, Third Sector National Learning Alliance (TSNLA), Trade Union Congress/Unionlearn (TUC), UK online centres , Workers’ Educational Association (WEA)",To discuss lifelong learning
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010","Skillset, University Vocational Awards Council,Learning & Skills Improvement Service, Institute for Learning,Tertiary Colleges Group, Association of Learning Providers, Confederation of British Industry,  UK Commission for Employment & Skills,  Ofsted, Universities and Colleges Union, University of Bedfordshire, 157 Group, Alliance of Sector Skills Councils, Association of Colleges, City & Islington College, National Union of Students, NIACE, Federation of Small Businesses,",To discuss further education
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",Association of Colleges,Regular meeting
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP","September, 2010",London First,To discuss skills
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","August, 2010",Communication Workers Union,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","August, 2010",Recruitment and Employment Confederations (REC),To discuss employment
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","August, 2010","Money Advice Trust, Consumer Credit Counselling Service, Which?",To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","August, 2010",Working Families,To discuss flexible working
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","August, 2010","Co-operative Group, Co-operatives UK,  Mutuo, The Plunkett Foundation, Innovation Unit LTD",To discuss mutualisation
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Post Office Limited,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Woman Like Us,To discuss flexible working
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Communication Workers Union,Regular catch up
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Takeover Panel,To discuss takeover regulations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Post Office Limited,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Demos,To discuss flexible working
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010","CIC Association, Association of Chief Executives of Voluntary Organisations, Kingston PCT, Co-operative Group, Oxford Centre for Mutual and Employee-owned Business, Ifs ProShare, Tomorrow’s Company, Social Enterprise Coalition, New Economics Foundation, Mutuo, Co-operatives UK, Cobbetts Solicitors, Employee Ownership Association, Employer Share Ownership Centre, John Lewis Partnership, Childbase, UnLtd, Innovation Unit Ltd, Social Enterprise London, Oxford University Institute for Science, Innovation and Society, Richard Simmons.",To discuss mutualisation
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010","Royal Institute of British Architects, Easy Jet, Electra Private Equity Investments plc, Tesco, Premium Foods, McKinsey, PVL Media Consultants, Trinity Mirror, British American Tobacco, National Grid and Anglo American, Everywoman Ltd",To discuss women on board
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Post Offices Limited,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",UK Steel,To discuss trade
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",London Stock Exchange Group plc,To discuss corporate governance
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Unite CMA,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2010",Strategic Mailing Partnership for Royal Mail,To discuss postal services
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2010",Confederation of British Industry ,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2010",GlaxoSmithKline ,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2010",British Brands and Diageo,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2010",Institute of Trademark Attorneys,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2010",Visa Europe,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2010",Creators' Rights Alliance,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","August, 2010",Towerhouse Consulting,To discuss business rates
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","August, 2010",Talk Talk,General catch up
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","August, 2010",Performing Rights Society for Music,To discuss intellectual property
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","August, 2010",Everything Everywhere,General catch up
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",3 Mobile,General catch up
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",British Telecom,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",HTC Corp,Introductory meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",Google/Ebay/Skype/Facebook/Yahoo,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",Hutchinson Whampoa/3UK,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",Korea Information Society Development Institute,Introductory Meeting
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",Geo,General catch up
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",Bookseller’s Association,To discuss publishing
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",AT&T,To discuss broadband internet
"Parliamentary Under Secretary of State (Minister for Culture, Communications and Creative Industries), The Hon Ed Vaizey MP","September, 2010",Bloomsbury,To discuss publishing
