Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Ministry of Defence,01/06/2011,"Purchase of munitions, other inventory or fuel",Air Command,MAXCOM PETROLI S.P.A.,,5000057062,37791.24
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Defence Infrastructure Organisation ,NVV AG,,5000057068,54353.98
Ministry of Defence,Ministry of Defence,01/06/2011,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE HERFORD GMBH,,5000057084,251327.44
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Land Forces,TERSTAPPEN GMBH & CO KG,,5000057090,26115.04
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,FIG - Quarry Stone,,"90048
90051",45956.59
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Marriot Residence,,CO AP03 001,25064.49
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Marriott Courtyard,,CO AP03 002,25386.79
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Marriot Residence,,CO AP03 003,25566.29
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Courtyard Marriott,,CO AP03 004,25798.02
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Air Command,Radisson Suites,,CO AP03 005,25964.67
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Marriott Fairfield Inn,,CO AP03 006,26276.54
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Marriot Residence,,CO AP03 007,26376.69
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Marriott Fairfield Inn,,CO AP03 008,26823.65
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Marriot Residence,,CO AP03 009,29449.09
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Air Command,Marriott Fairfield Inn,,CO AP03 010,29697.61
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Air Command,Inn Suites,,CO AP03 011,32412.52
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Air Command,Davis Monthan Lodgings,,CO AP03 012,33954.54
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Air Command,Inn Suites,,CO AP03 013,40701.56
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Air Command,Inn Suites,,CO AP03 014,44948.7
Ministry of Defence,Ministry of Defence,01/06/2011,Transport hire charges,Air Command,Enterprise Rent a Car,,CO AP03 015,56939.72
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Central TLB,Hafif Travel & Tourism Ltd,,CO AP03 019,26226
Ministry of Defence,Ministry of Defence,01/06/2011,"Transporation of personnel, freight and travel expenses",Central TLB,Hafif Travel & Tourism Ltd,,CO AP03 020,394770.12
Ministry of Defence,Ministry of Defence,01/06/2011,Design services and minor equipment purchases,Central TLB,Hafif Travel & Tourism Ltd,,CO AP03 021,44523.17
Ministry of Defence,Ministry of Defence,01/06/2011,Medical treatment & stores and welfare services.,Navy Command,D & A Campus,,CO AP03 022,32730
Ministry of Defence,Ministry of Defence,01/06/2011,Estate management,Defence Equipment & Support,KIMTA ELECTRIC PTE LTD,,S00088/11,83772.52
Ministry of Defence,Ministry of Defence,01/06/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,KIMTA ELECTRIC PTE LTD,,S00089/11,131578.22
Ministry of Defence,Defence Science and Technology Laboratory,01/06/2011,Sub Contracted Research,Programme Office,COSWORTH ELECTRONICS LIMITED,,V - 9000133153 - 00106633,79444
Ministry of Defence,Defence Science and Technology Laboratory,01/06/2011,Sub Contracted Work,Operations,ATLAS ELEKTRONIK UK LIMITED,,V - 9000133154 - 00107425,62822.77
Ministry of Defence,Ministry of Defence,02/06/2011,Food and clothing,Defence Equipment & Support,KERRY FOODS LIMITED,,32512,33365.88
Ministry of Defence,Ministry of Defence,02/06/2011,Externally delivered education and training.,Defence Infrastructure Organisation ,NUFFIELD HEALTH,SG6 1UG,160438,127405.68
Ministry of Defence,Ministry of Defence,02/06/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,801776,188.77
Ministry of Defence,Ministry of Defence,02/06/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,801776,2065.37
Ministry of Defence,Ministry of Defence,02/06/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,801776,10585.7
Ministry of Defence,Ministry of Defence,02/06/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,801776,17628.75
Ministry of Defence,Ministry of Defence,02/06/2011,Estate management,Defence Equipment & Support,AVENANCE PLC,SK11 6ET,801803,351.69
Ministry of Defence,Ministry of Defence,02/06/2011,Estate management,Land Forces,AVENANCE PLC,SK11 6ET,801803,416.04
Ministry of Defence,Ministry of Defence,02/06/2011,Food and clothing,Defence Equipment & Support,AVENANCE PLC,SK11 6ET,801803,658
Ministry of Defence,Ministry of Defence,02/06/2011,Estate management,Air Command,AVENANCE PLC,SK11 6ET,801803,1358
Ministry of Defence,Ministry of Defence,02/06/2011,Food and clothing,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,801803,6460.31
Ministry of Defence,Ministry of Defence,02/06/2011,Estate management,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,801803,8346.32
Ministry of Defence,Ministry of Defence,02/06/2011,Food and clothing,Air Command,AVENANCE PLC,SK11 6ET,801803,8786.2
Ministry of Defence,Ministry of Defence,02/06/2011,Design services and minor equipment purchases,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,118.42
Ministry of Defence,Ministry of Defence,02/06/2011,Design services and minor equipment purchases,Command Joint Operations,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,200.75
Ministry of Defence,Ministry of Defence,02/06/2011,Transport hire charges,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,367.5
Ministry of Defence,Ministry of Defence,02/06/2011,Design services and minor equipment purchases,Navy Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,466.66
Ministry of Defence,Ministry of Defence,02/06/2011,Transport hire charges,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,782.25
Ministry of Defence,Ministry of Defence,02/06/2011,Transport hire charges,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,1711.5
Ministry of Defence,Ministry of Defence,02/06/2011,Design services and minor equipment purchases,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,2848.27
Ministry of Defence,Ministry of Defence,02/06/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,5834.85
Ministry of Defence,Ministry of Defence,02/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,9742.64
Ministry of Defence,Ministry of Defence,02/06/2011,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,19171.56
Ministry of Defence,Ministry of Defence,02/06/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,51286.72
Ministry of Defence,Ministry of Defence,02/06/2011,Design services and minor equipment purchases,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,801809,62695.08
Ministry of Defence,Ministry of Defence,02/06/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,BA1 5AB,801813,28462.29
Ministry of Defence,Ministry of Defence,02/06/2011,Externally delivered education and training.,Land Forces,CABLE TELECOMMUNICATIONS TRAINING SERVICES LIMITED,LN6 3QX,801847,24333.37
Ministry of Defence,Ministry of Defence,02/06/2011,Fees for professional services,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,801855,33592.28
Ministry of Defence,Ministry of Defence,02/06/2011,Purchase of inventory and services ,Land Forces,CENTAUR SERVICES LTD,BA7 7EU,801860,7753.72
Ministry of Defence,Ministry of Defence,02/06/2011,Purchase of inventory and services ,Defence Equipment & Support,CENTAUR SERVICES LTD,BA7 7EU,801860,18955.56
Ministry of Defence,Ministry of Defence,02/06/2011,Administration ,Air Command,CIVIL AVIATION AUTHORITY,RH6 0YR,801869,31615.3
Ministry of Defence,Ministry of Defence,02/06/2011,Externally delivered education and training.,Central TLB,CRANFIELD UNIVERSITY,MK43 0AL,801874,6417.5
Ministry of Defence,Ministry of Defence,02/06/2011,International contributions,Central TLB,CRANFIELD UNIVERSITY,MK43 0AL,801874,67750.5
Ministry of Defence,Ministry of Defence,02/06/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,801878,197378
Ministry of Defence,Ministry of Defence,02/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,801880,28096.04
Ministry of Defence,Ministry of Defence,02/06/2011,Fees for professional services,Land Forces,G4S CARE AND JUSTICE SERVICES (UK) LIMITED,S81 7QF,801922,182014.57
Ministry of Defence,Ministry of Defence,02/06/2011,Payment of utilities,Land Forces,GB OILS LIMITED,FK5 4RB,801926,1383.75
Ministry of Defence,Ministry of Defence,02/06/2011,IT and communication services,Defence Equipment & Support,GREENROAD TECHNOLOGIES UK  LIMITED,W1W 5NA,801933,150524.64
Ministry of Defence,Ministry of Defence,02/06/2011,Fees for professional services,Defence Infrastructure Organisation ,GRONTMIJ LIMITED,LS7 4DN,801935,67808.02
Ministry of Defence,Ministry of Defence,02/06/2011,Medical treatment & stores and welfare services.,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,801946,1384.8
Ministry of Defence,Ministry of Defence,02/06/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,801946,18893.25
Ministry of Defence,Ministry of Defence,02/06/2011,Externally delivered education and training.,Air Command,KINGSTON UNIVERSITY,KT1 2HX,801967,25200
Ministry of Defence,Ministry of Defence,02/06/2011,Design services and minor equipment purchases,Defence Equipment & Support,L B BENTLEY LIMITED,GL5 2BY,801971,138105.2
Ministry of Defence,Ministry of Defence,02/06/2011,IT and communication services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,801972,990
Ministry of Defence,Ministry of Defence,02/06/2011,IT and communication services,Defence Equipment & Support,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,801972,12600
Ministry of Defence,Ministry of Defence,02/06/2011,General services and support,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,801991,31002.59
