Department family,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,25/10/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17093,235
Communities And Local Government,25/10/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17094,235
Communities And Local Government,25/10/2012,Audio Visual Equipment,Interface,MERCURY AV LIMITED,17096,239.32
Communities And Local Government,25/10/2012,Audio Equipment,Interface,MERCURY AV LIMITED,17096,1062
Communities And Local Government,29/10/2012,Cost of Sales - Freelance Technicians,Interface,THE KEW WORKSHOP COMPANY LTD,17099,620
Communities And Local Government,29/10/2012,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,17099,1861
Communities And Local Government,29/10/2012,Cost of Sales - Equipment Hire,Interface,LOCK ON PRODUCTIONS LTD,17100,850
Communities And Local Government,29/10/2012,Cost of Sales - Equipment Hire,Interface,QED PRODUCTIONS LTD,17101,235
Communities And Local Government,29/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17102,600
Communities And Local Government,29/10/2012,Consumables,Interface,GBS,17104,2081.4
Communities And Local Government,29/10/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17105,865
Communities And Local Government,29/10/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17106,235
Communities And Local Government,29/10/2012,Cost of Sales - Time & Labour,Event Management,GALLOWGLASS LIMITED,17109,240
Communities And Local Government,30/10/2012,Entertaining,Event Management,Leith's at the Centre,17110,73.82
Communities And Local Government,30/10/2012,Entertaining,Administration,Leith's at the Centre,17110,3.15
Communities And Local Government,30/10/2012,Entertaining,Administration,Leith's at the Centre,17110,104.93
Communities And Local Government,30/10/2012,Entertaining,Interface,Leith's at the Centre,17110,28.83
Communities And Local Government,30/10/2012,Entertaining,Interface,Leith's at the Centre,17110,15.75
Communities And Local Government,30/10/2012,Entertaining,Commercial,Leith's at the Centre,17110,11.02
Communities And Local Government,30/10/2012,Entertaining,ITC Department,Leith's at the Centre,17110,3.15
Communities And Local Government,30/10/2012,Entertaining,Commercial,Leith's at the Centre,17110,32.3
Communities And Local Government,30/10/2012,Entertaining,Interface,Leith's at the Centre,17111,3.15
Communities And Local Government,30/10/2012,Entertaining,Commercial,Leith's at the Centre,17111,40.43
Communities And Local Government,30/10/2012,Entertaining,Administration,Leith's at the Centre,17111,29.93
Communities And Local Government,30/10/2012,Entertaining,Event Management,Leith's at the Centre,17111,113.82
Communities And Local Government,30/10/2012,Entertaining,Administration,Leith's at the Centre,17111,60.35
Communities And Local Government,30/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17112,400
Communities And Local Government,30/10/2012,Cost of Sales - Commission,Commercial,EMC3 Ltd,17115,4811.17
Communities And Local Government,30/10/2012,Cost of Sales - Commission,Commercial,THE EVENT WORKSHOP LTD,17117,2278
Communities And Local Government,30/10/2012,Marketing,Commercial,HENDERSON WEB DESIGN LTD,17119,225
Communities And Local Government,30/10/2012,Published Material,Operations,WOLTERS KLUWER (UK) LIMITED,17120,550.56
Communities And Local Government,30/10/2012,Stationery,Event Management,TECHNOGRAPH LTD,17121,4200
Communities And Local Government,30/10/2012,Cost of Sales - Freelance Technicians,Interface,JIM COUGHLAN VISUAL COMM. LTD,17122,818
Communities And Local Government,31/10/2012,Consultants,Administration,TICKETT ENTERPRISES LTD,17124,750
Communities And Local Government,31/10/2012,Cost of Sales - Freelance Technicians,Interface,Live Horizon Ltd,17125,227
Communities And Local Government,31/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17126,618
Communities And Local Government,31/10/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17129,800
Communities And Local Government,31/10/2012,Maintenance,Operations,INVICTA STORAGE SYSTEMS LTD,17130,5922
Communities And Local Government,31/10/2012,Security,Operations,INTERSERVE PLC,17131,30523.57
Communities And Local Government,31/10/2012,Maintenance,Operations,INTERSERVE PLC,17131,16946.82
Communities And Local Government,31/10/2012,Cleaners & Porters,Event Management,INTERSERVE PLC,17131,38218.42
Communities And Local Government,31/10/2012,Cost of Sales - Time & Labour,Event Management,GALLOWGLASS LIMITED,17132,240
Communities And Local Government,31/10/2012,Cost of Sales - Time & Labour,Event Management,MOORE PEOPLE KENNER LTD,17133,1197
Communities And Local Government,01/11/2012,Cost of Sales - Commission,Interface,GovNet Communications,17134,500
Communities And Local Government,01/11/2012,Cost of Sales - Commission,Interface,GovNet Communications,17135,500
Communities And Local Government,01/11/2012,Maintenance,Operations,L'OCCITANE LTD,17136,810
Communities And Local Government,01/11/2012,Cost of Sales - Commission,Commercial,British HIV Association,17137,3270.27
Communities And Local Government,01/11/2012,Travel,Commercial,London and Partners,17139,732.3
Communities And Local Government,01/11/2012,Cost of Sales - Equipment Hire,Interface,WHITE LIGHT LTD,17140,504
Communities And Local Government,01/11/2012,Cost of Sales - Equipment Hire,Interface,WHITE LIGHT LTD,17141,247.8
Communities And Local Government,01/11/2012,Cost of Sales - Freelance Technicians,Interface,Crewsaders Ltd,17142,411
Communities And Local Government,01/11/2012,IT Equipment Maintenance,ITC Department,DATAFORT,17143,4277.83
Communities And Local Government,01/11/2012,Travel,Interface,EXPOSE TRAVEL MANAGEMENT LTD,17144,1250
Communities And Local Government,01/11/2012,Payroll Costs,Administration,LOGICA IT SERVICES UK LTD,17146,398.02
Communities And Local Government,02/11/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17147,1848
Communities And Local Government,02/11/2012,Payroll Costs,Administration,LOGICA IT SERVICES UK LTD,17148,239.8
Communities And Local Government,02/11/2012,Marketing,Commercial,ANISEED PR LTD,17150,2520
Communities And Local Government,02/11/2012,Disposal Of Waste,Operations,INTERSERVE PLC,17151,731.14
Communities And Local Government,02/11/2012,Maintenance,Operations,INTERSERVE PLC,17151,933.44
Communities And Local Government,02/11/2012,Security,Operations,INTERSERVE PLC,17151,6739.04
Communities And Local Government,02/11/2012,Cost of Sales - Mini Shifts,Event Management,INTERSERVE PLC,17151,27619.86
Communities And Local Government,02/11/2012,Cost of Sales - Contract Labour,Operations,INTERSERVE PLC,17151,8556.34
Communities And Local Government,02/11/2012,Maintenance,Operations,INTERSERVE PLC,17151,4555.15
Communities And Local Government,02/11/2012,Cost of Sales - Equipment Hire,Interface,HIRE INTELLIGENCE INTERNATIONAL  LTD,17153,1950
Communities And Local Government,02/11/2012,Cost of Sales - Commission,Interface,GovNet Communications,17155,500
Communities And Local Government,02/11/2012,Cost of Sales - Commission,Interface,GovNet Communications,17156,500
Communities And Local Government,05/11/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17166,235
Communities And Local Government,05/11/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17167,235
Communities And Local Government,05/11/2012,Cost of Sales - Freelance Technicians,Interface,JACOBS MASSEY Audio Visual Recruitment,17168,235
Communities And Local Government,05/11/2012,Cost of Sales - Consumables,Interface,PROJECTED IMAGE UK LTD,17169,574.5
Communities And Local Government,05/11/2012,Consumables,Interface,A PERTON SIGNS LIMITED,17170,40
Communities And Local Government,05/11/2012,Cost of Sales - Sets,Interface,A PERTON SIGNS LIMITED,17170,5493
Communities And Local Government,05/11/2012,Cost of Sales - Signage,Interface,A PERTON SIGNS LIMITED,17170,2414
