Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group-Advanced Manufacturing Services,COI COMMUNICATIONS,1045370,234.00, -Hire of Agency Staff (Clerical/Secretariat/Other),SE1 7DU,PCTF,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2012,Standard Desktop Services (PFI),Finance & Commercial Group-Commercial Directorate,FUJITSU SERVICES LTD,1045728,1427.52, -Standard Desktop Services (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Research & Development Expenditure (Programme),Knowledge and Innovation Group-Government Office for Science,FUJITSU SERVICES LTD,1045786,94.82, -Research & Development Expenditure (Programme),WA3 9BD,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group-Communications Directorate",ADECCO UK LTD,1045968,691.24, -Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/03/2012,Mobile Call Charges,Business & Skills Group-Advanced Manufacturing Services,VODAFONE LTD,1046023,34.87, -Mobile Call Charges,NG24 2EG,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/03/2012,Mobile Call Charges,Business & Skills Group-Advanced Manufacturing Services,VODAFONE LTD,1046023,21.19, -Mobile Call Charges,NG24 2EG,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2012,Air Fares  - Overseas (Programme),Knowledge and Innovation Group-Research Base,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,1046106,1573.30, -Air Fares  - Overseas (Programme),SN2 1FF,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2012,Capital Grants - Other,Knowledge and Innovation Group-Research Base,SCOTTISH HIGHER EDUCATION FUNDING COUNCIL,1046236,2154933.00, -Capital Grants - Other,EH12 5HD,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046404,620.82, -Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046407,501.47, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046408,327.26, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046409,290.01, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046410,1423.67, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046412,173.47, -Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046413,488.27, -Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046414,726.50, -Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046416,3000.00, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046416,135.80, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046418,502.76, -Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046420,1515.06, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group-Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1046423,456.29, -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2012,Cash Expenditure during the Year - Other Programme Provisions,Business & Skills Group-Advanced Manufacturing Services,BIRCHALL BLACKBURN LLP,1046784,5884.90, -Cash Expenditure during the Year - Other Programme Provisions,PR1 3BN,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2012,Research & Development Expenditure (Programme),Knowledge and Innovation Group-Government Office for Science,INVANTAGE GROUP,1046916,548.40, -Research & Development Expenditure (Programme),811 03,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group-Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1046944,1046.20, -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group-Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1046945,881.84, -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Other Overseas Travel & Subsistence,"Legal, People & Communications Group-Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1046948,125.54, -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/03/2012,Health & Safety Training,Finance & Commercial Group-Commercial Directorate,BRITISH RED CROSS SOCIETY,1046974,258.00, -Health & Safety Training,PA1 1EA,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046985,-522.93, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2012,Administration of Grants and Awards,Business & Skills Group-RDA Transition and Closures,ZZZZPROPACK DIRECT MAIL LTD,1046986,726.80, -Administration of Grants and Awards,HD2 1FA,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046987,2.26, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1046990,3.98, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047035,16.76, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047036,18.47, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047037,19.13, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047038,19.66, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047039,23.95, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047041,26.19, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047042,32.11, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047043,38.98, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047044,43.69, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047045,45.70, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047047,48.62, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047048,58.80, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047049,107.89, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047050,110.41, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047051,135.09, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047053,151.58, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047054,186.80, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047055,188.43, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047056,193.13, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047057,194.74, -Others UK Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047059,208.21, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047060,225.00, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047061,269.73, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047062,335.29, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047065,337.15, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047066,337.15, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047067,337.15, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047068,404.59, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047069,440.54, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047070,526.58, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047071,617.80, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047072,651.05, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047073,734.03, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047074,906.36, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047075,944.80, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047076,955.23, -Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047077,978.75, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047078,994.12, -Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047079,994.12, -Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047080,1040.99, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047081,1054.48, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047082,1099.82, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047083,1114.01, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047084,1144.64, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047085,1144.90, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047087,1255.00, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047088,1293.28, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047089,1350.00, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047090,1350.00, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047091,1468.05, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047093,1996.00, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047095,3681.62, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2012,Grants - Current - Other,Knowledge and Innovation Group-Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1047096,10780.38, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,PLYMOUTH MARINE LABORATORY,1047162,36.00, -Other Overseas Travel & Subsistence (Programme),PL1 3DH,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/03/2012,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group-Research Base,PLYMOUTH MARINE LABORATORY,1047162,1164.00, -Other Overseas Travel & Subsistence (Programme),PL1 3DH,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2012,Other Training Costs,Finance & Commercial Group-Commercial Directorate,PARTNERSHIP MEDIA GROUP LTD T/A GOVNET COMMUNICATIONS,1047183,385.00, -Other Training Costs,M1 6PP,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/03/2012,Standard Desktop Plus Services,Finance & Commercial Group-Commercial Directorate,DAISY COMMUNICATIONS LTD,1047282,41.72, -Standard Desktop Plus Services,BB9 5SR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/03/2012,Telecommunications,"Legal, People & Communications Group-Legal Services",DAISY COMMUNICATIONS LTD,1047284,35.99, -Telecommunications,BB9 5SR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2012,Standard Desktop Plus Services,Finance & Commercial Group-Commercial Directorate,DAISY COMMUNICATIONS LTD,1047287,46.90, -Standard Desktop Plus Services,BB9 5SR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2012,ICT Infrastructure Specific Service,Finance & Commercial Group-Commercial Directorate,DAISY COMMUNICATIONS LTD,1047287,3.02, -ICT Infrastructure Specific Service,BB9 5SR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/03/2012,ICT Infrastructure Specific Service,Finance & Commercial Group-Commercial Directorate,DAISY COMMUNICATIONS LTD,1047290,52.79, -ICT Infrastructure Specific Service,BB9 5SR,,,,Administration
