RTFO report for the pre-RED implementation part of Year 4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Provisional data for the 2011/12 obligation year to date,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Table 1: Carbon and sustainability performance of the RTFO.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,2011/12 Obligation period,,2010/11 Obligation period,,2009/10 Obligation period,,2008/09 Obligation period,,,,,
,,,,,Actual,,Target,Actual,Target,Actual,Target,Actual,,,,
Percentage of feedstock meeting a Qualifying Environmental Standard,,,,,53%,,80%,53%,50%,31%,30%,20%,,,,
Annual GHG saving of fuel supplied,,,,,62%,,50%,57%,45%,51%,40%,46%,,,,
Data reporting of renewable fuel characteristics,,,,,85%,,90%,84%,70%,72%,50%,64%,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Table 2: Volume of biofuels supplied for road transport under the RTFO.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Biofuel type,Volume (millions l) or mass (millions kg)*,Fossil fuel type,"Volume, million l **",Biofuels as a proportion of total road transport fuels supplied,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fuel type,Biodiesel,548.1, Diesel,"16,982",3.13%,,,,,,,,,,,
,Bioethanol,434.6, Petrol,"12,726",3.30%,,,,,,,,,,,
,Biogas,0.4,,,,,,,,,,,,,,
,Total,983.1,,"29,708",3.20%,,,,,,,,,,,
* Biodiesel and bioethanol volumes are reported in litres and biogas volumes are reported in kilograms.  Volumes relate to fuel for which RTFCs have been issued and may differ from HMRC totals.,,,,,,,,,,,,,,,,
** Fossil fuel volumes given are obligated volumesand may differ from HMRC totals.  ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Table 3: Carbon and sustainability data of biofuels by fuel type.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Volume, 
litres","Volume, 
million litres","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-7)",
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,,
Fuel type,Biodiesel,"548,122,590",548.1,56%,0%,92%,0%,8%,0%,91%,1%,8%,19,78%,1.8,
,Bioethanol,"434,591,362",434.6,44%,0%,4%,4%,92%,0%,2%,7%,92%,48,43%,5.2,
,Biogas,"392,917",0.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,6.5,
,Total,"983,106,869",983.1,100%,,,,,,,,,,,,
,Mean,,,,0%,53%,2%,45%,0%,51%,4%,45%,32,62%,3.3,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 4: Carbon and sustainability data of biodiesel from different feedstocks, countries, and according to the previous land-use.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Volume, 
litres","Volume, 
million litres","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-7)",
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,,
Feedstock,Oilseed rape,"21,847,828",21.8,4%,0%,32%,1%,67%,0%,0%,33%,67%,52,38%,1.4,
,Palm,"4,888,447",4.9,1%,0%,71%,0%,29%,0%,71%,0%,29%,64,24%,1.0,
,Soy,"16,374,963",16.4,3%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0,
,Tallow - category 1,"14,027",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Tallow - category 3 or unknown,"4,419,572",4.4,1%,0%,100%,0%,0%,0%,100%,0%,0%,18,79%,1.7,
,Tallow - except category 3,"90,192",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Used cooking oil,"489,482,569",489.5,89%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.9,
,Unknown,"11,004,992",11.0,2%,0%,0%,0%,100%,0%,0%,0%,100%,93,-11%,0.0,
,Total,"548,122,590",548.1,100%,,,,,,,,,,,,
,Mean,,,,0%,92%,0%,8%,0%,91%,1%,8%,19,78%,1.8,
Country of origin,Argentina,"14,432,399",14.4,3%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0,
,Australia,"1,906,370",1.9,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0,
,Austria,"2,621,151",2.6,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.4,
,Belgium,"10,373,031",10.4,2%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.3,
,Brazil,"817,741",0.8,0%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0,
,Canada,"22,112,797",22.1,4%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Chile,"1,163,788",1.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0,
,Croatia,"98,607",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,2.0,
,Czech Republic,"103,588",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.9,
,Denmark,"1,642,041",1.6,0%,0%,87%,0%,13%,0%,87%,0%,13%,24,71%,2.3,
,Finland,"2,365,444",2.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,84%,1.9,
,France,"6,795,589",6.8,1%,0%,41%,2%,57%,0%,41%,2%,57%,36,57%,1.2,
,Germany,"61,455,471",61.5,11%,0%,94%,0%,6%,0%,94%,0%,6%,16,81%,1.3,
,Indonesia,"1,425,998",1.4,0%,0%,1%,0%,99%,0%,1%,0%,99%,68,19%,1.0,
,"Ireland, Republic of","3,120,150",3.1,1%,0%,97%,0%,3%,0%,97%,0%,3%,14,83%,1.6,
,Italy,"4,070,899",4.1,1%,0%,100%,0%,0%,0%,100%,0%,0%,15,82%,1.5,
,Luxembourg,"144,305",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.2,
,Malaysia,"3,602,616",3.6,1%,0%,100%,0%,0%,0%,100%,0%,0%,60,28%,1.0,
,Netherlands,"153,330,408",153.3,28%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.2,
,Poland,"4,843,050",4.8,1%,0%,33%,0%,67%,0%,33%,0%,67%,40,53%,1.0,
,Portugal,"171,301",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,2.0,
,Saudi Arabia,"46,141",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0,
,Slovakia,"667,420",0.7,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.5,
,South Africa,"128,054",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0,
,Spain,"20,752,113",20.8,4%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.8,
,Sweden,"114,000",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0,
,Switzerland,"166,264",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Ukraine,"1,262,546",1.3,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.7,
,United Arab Emirates,"65,458",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0,
,United Kingdom,"100,872,647",100.9,18%,0%,99%,0%,1%,0%,92%,7%,1%,17,80%,3.1,
,United States,"89,101,230",89.1,16%,0%,99%,0%,1%,0%,99%,0%,1%,14,83%,2.8,
,Unknown,"38,349,973",38.3,7%,0%,72%,0%,28%,0%,72%,0%,28%,36,57%,0.7,
,Total,"548,122,590",548.1,100%,,,,,,,,,,,,
,Mean,,,,0%,92%,0%,8%,0%,91%,1%,8%,19,78%,1.8,
Previous land-use,By-product,"494,994,863",495.0,90%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.9,
,Cropland - non-protected,"864,600",0.9,0%,0%,7%,0%,93%,0%,1%,6%,93%,51,39%,1.1,
,Cropland - protection status unknown,"24,329,963",24.3,4%,0%,14%,0%,86%,0%,14%,0%,86%,57,32%,1.1,
,Unknown,"27,933,164",27.9,5%,0%,25%,0%,75%,0%,0%,25%,75%,69,18%,0.9,
,Total,"548,122,590",548.1,100%,,,,,,,,,,,,
,Mean,,,,0%,92%,0%,8%,0%,91%,1%,8%,19,78%,1.8,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 5: Carbon and sustainability data of bioethanol from different feedstocks, countries, and according to the previous land-use.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Volume, 
litres","Volume, 
million litres","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-7)",
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,,
Feedstock,Barley,"2,952,217",3.0,1%,0%,0%,0%,100%,0%,0%,0%,100%,73,13%,1.3,
,Corn EC,"34,974,662",35.0,8%,0%,0%,0%,100%,0%,0%,0%,100%,42,50%,3.9,
,Corn Non EC,"335,813,196",335.8,77%,0%,2%,5%,93%,0%,2%,5%,93%,46,45%,5.7,
,Molasses,"7,543",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1.0,
,Sugar beet,"6,988,280",7.0,2%,0%,100%,0%,0%,0%,0%,100%,0%,31,62%,2.6,
,Sugar cane,"921,486",0.9,0%,-*,-*,-*,-*,-*,-*,-*,-*,24,71%,1.0,
,Sweet sorghum,"18,354,318",18.4,4%,0%,0%,0%,100%,0%,0%,0%,100%,50,40%,6.1,
,Wheat,"21,071,642",21.1,5%,0%,18%,1%,80%,0%,0%,20%,80%,43,49%,3.2,
,Unknown,"13,508,018",13.5,3%,0%,0%,0%,100%,0%,0%,0%,100%,115,-37%,0.0,
,Total,"434,591,362",434.6,100%,,,,,,,,,,,,
,Mean,,,,0%,4%,4%,92%,0%,2%,7%,92%,48,43%,5.2,
Country of origin,Brazil,"921,486",0.9,0%,-*,-*,-*,-*,-*,-*,-*,-*,24,71%,1.0,
,France,"16,721,894",16.7,4%,0%,0%,0%,100%,0%,0%,0%,100%,49,42%,3.2,
,Hungary,"880,410",0.9,0%,0%,0%,0%,100%,0%,0%,0%,100%,39,53%,4.7,
,Netherlands,"6,925,688",6.9,2%,0%,0%,0%,100%,0%,0%,0%,100%,49,41%,4.0,
,Romania,"185,173",0.2,0%,0%,0%,0%,100%,0%,0%,0%,100%,55,35%,1.9,
,Serbia,"48,704",0.0,0%,0%,0%,0%,100%,0%,0%,0%,100%,54,35%,1.9,
,Spain,"17,278,885",17.3,4%,0%,0%,0%,100%,0%,0%,0%,100%,37,55%,4.3,
,Sudan,"7,543",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1.0,
,Sweden,"2,382,670",2.4,1%,0%,0%,0%,100%,0%,0%,0%,100%,30,64%,5.0,
,United Kingdom,"18,575,670",18.6,4%,0%,59%,2%,40%,0%,0%,60%,40%,36,58%,2.7,
,United States,"354,167,514",354.2,81%,0%,2%,5%,93%,0%,2%,5%,93%,46,45%,5.8,
,Unknown,"16,495,725",16.5,4%,0%,0%,0%,100%,0%,0%,0%,100%,108,-29%,0.2,
,Total,"434,591,362",434.6,100%,,,,,,,,,,,,
,Mean,,,,0%,4%,4%,92%,0%,2%,7%,92%,48,43%,5.2,
Previous land-use,By-product,"7,543",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1.0,
,Cropland - non-protected,"272,303,679",272.3,63%,0%,3%,2%,95%,0%,0%,5%,95%,43,48%,6.5,
,Cropland - protected,"1,516",0.0,0%,0%,0%,0%,100%,0%,0%,0%,100%,39,53%,5.0,
,Cropland - protected / protection status unknown,"297,218",0.3,0%,0%,0%,100%,0%,0%,0%,100%,0%,44,47%,2.0,
,Cropland - protection status unknown,"117,863,832",117.9,27%,0%,7%,10%,83%,0%,4%,13%,83%,49,41%,3.6,
,Unknown,"44,117,574",44.1,10%,0%,5%,0%,95%,0%,5%,0%,95%,72,14%,1.7,
,Total,"434,591,362",434.6,100%,,,,,,,,,,,,
,Mean,,,,0%,4%,4%,92%,0%,2%,7%,92%,48,43%,5.2,
"* Under the RTFO Order, these reports must not contain information from which the volumes of fuel being reported by individual suppliers might be derived. To protect the volumes of individual suppliers, certain quantities of fuel reported as meeting the Qualifying Standard or RTFO Meta-Standard have been removed from the RTFO figures. In this report, all fuel meeting the Qualifying Standard or Meta-Standard has been included in the overall RTFO figures, but some has still been excluded from the reporting by feedstock and country. The figures by country and feedstock do not therefore tally exactly with the overall figures.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 6: Carbon and sustainability data of biogas by feedstock, country of origin and previous land-use.",,,,,,,,,,,,,,,,
,,"Volume, 
litres","Volume, 
million litres","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-7)",
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,,
Feedstock,MSW,"392,917",0.4,100%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,6.5,
Country of origin,United Kingdom,"392,917",0.4,100%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,6.5,
Previous land-use,By-product,"392,917",0.4,100%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,6.5,
,,,,,,,,,,,,,,,,
"Table 7: Carbon and sustainability data of total biofuel from different feedstocks, countries and according to the previous land-use.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Volume, 
litres","Volume, 
million litres","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-7)",
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,,
Feedstock,Barley,"2,952,217",3.0,0%,0%,0%,0%,100%,0%,0%,0%,100%,73,13%,1.3,
,Corn EC,"34,974,662",35.0,4%,0%,0%,0%,100%,0%,0%,0%,100%,42,50%,3.9,
,Corn Non EC,"335,813,196",335.8,34%,0%,2%,5%,93%,0%,2%,5%,93%,46,45%,5.7,
,Molasses,"7,543",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1.0,
,Municipal organic waste,"392,917",0.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,6.5,
,Oilseed rape,"21,847,828",21.8,2%,0%,32%,1%,67%,0%,0%,33%,67%,52,38%,1.4,
,Palm,"4,888,447",4.9,0%,0%,71%,0%,29%,0%,71%,0%,29%,64,24%,1.0,
,Soy,"16,374,963",16.4,2%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0,
,Sugar beet,"6,988,280",7.0,1%,0%,100%,0%,0%,0%,0%,100%,0%,31,62%,2.6,
,Sugar cane,"921,486",0.9,0%,-*,-*,-*,-*,-*,-*,-*,-*,24,71%,1.0,
,Sweet sorghum,"18,354,318",18.4,2%,0%,0%,0%,100%,0%,0%,0%,100%,50,40%,6.1,
,Tallow - category 1,"14,027",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Tallow - category 3 or unknown,"4,419,572",4.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,18,79%,1.7,
,Tallow - except category 3,"90,192",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Used cooking oil,"489,482,569",489.5,50%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.9,
,Wheat,"21,071,642",21.1,2%,0%,18%,1%,80%,0%,0%,20%,80%,43,49%,3.2,
,Unknown,"24,513,010",24.5,2%,0%,0%,0%,100%,0%,0%,0%,100%,105,-25%,0.0,
,Total,"983,106,869",983.1,100%,,,,,,,,,,,,
,Mean,,,,0%,53%,2%,45%,0%,51%,4%,45%,32,62%,3.3,
Country of origin,Argentina,"14,432,399",14.4,1%,0%,0%,0%,100%,0%,0%,0%,100%,58,31%,1.0,
,Australia,"1,906,370",1.9,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.0,
,Austria,"2,621,151",2.6,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.4,
,Belgium,"10,373,031",10.4,1%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.3,
,Brazil,"1,739,227",1.7,0%,-*,-*,-*,-*,-*,-*,-*,-*,40,52%,1.0,
,Canada,"22,112,797",22.1,2%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Chile,"1,163,788",1.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0,
,Croatia,"98,607",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,2.0,
,Czech Republic,"103,588",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.9,
,Denmark,"1,642,041",1.6,0%,0%,87%,0%,13%,0%,87%,0%,13%,24,71%,2.3,
,Finland,"2,365,444",2.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,84%,1.9,
,France,"23,517,483",23.5,2%,0%,12%,0%,88%,0%,12%,0%,88%,45,46%,2.7,
,Germany,"61,455,471",61.5,6%,0%,94%,0%,6%,0%,94%,0%,6%,16,81%,1.3,
,Hungary,"880,410",0.9,0%,0%,0%,0%,100%,0%,0%,0%,100%,39,53%,4.7,
,Indonesia,"1,425,998",1.4,0%,0%,1%,0%,99%,0%,1%,0%,99%,68,19%,1.0,
,"Ireland, Republic of","3,120,150",3.1,0%,0%,97%,0%,3%,0%,97%,0%,3%,14,83%,1.6,
,Italy,"4,070,899",4.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,15,82%,1.5,
,Luxembourg,"144,305",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.2,
,Malaysia,"3,602,616",3.6,0%,0%,100%,0%,0%,0%,100%,0%,0%,60,28%,1.0,
,Netherlands,"160,256,096",160.3,16%,0%,95%,0%,5%,0%,95%,0%,5%,16,81%,1.4,
,Poland,"4,843,050",4.8,0%,0%,33%,0%,67%,0%,33%,0%,67%,40,53%,1.0,
,Portugal,"171,301",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,2.0,
,Romania,"185,173",0.2,0%,0%,0%,0%,100%,0%,0%,0%,100%,55,35%,1.9,
,Saudi Arabia,"46,141",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0,
,Serbia,"48,704",0.0,0%,0%,0%,0%,100%,0%,0%,0%,100%,54,35%,1.9,
,Slovakia,"667,420",0.7,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.5,
,South Africa,"128,054",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0,
,Spain,"38,030,998",38.0,4%,0%,55%,0%,45%,0%,55%,0%,45%,25,71%,2.9,
,Sudan,"7,543",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,61,27%,1.0,
,Sweden,"2,496,670",2.5,0%,0%,5%,0%,95%,0%,5%,0%,95%,29,65%,5.0,
,Switzerland,"166,264",0.2,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Ukraine,"1,262,546",1.3,0%,0%,0%,0%,100%,0%,0%,0%,100%,52,38%,1.7,
,United Arab Emirates,"65,458",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,5.0,
,United Kingdom,"119,841,234",119.8,12%,0%,93%,0%,7%,0%,78%,15%,7%,20,77%,3.0,
,United States,"443,268,744",443.3,45%,0%,21%,4%,75%,0%,21%,4%,75%,40,52%,5.2,
,Unknown,"54,845,698",54.8,6%,0%,50%,0%,50%,0%,50%,0%,50%,58,31%,0.6,
,Total,"983,106,869",983.1,100%,,,,,,,,,,,,
,Mean,,,,0%,53%,2%,45%,0%,51%,4%,45%,32,62%,3.3,
Previous land-use,By-product,"495,395,323",495.4,50%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.9,
,Cropland - non-protected,"273,168,279",273.2,28%,0%,3%,2%,95%,0%,0%,5%,95%,43,48%,6.4,
,Cropland - protected,"1,516",0.0,0%,0%,0%,0%,100%,0%,0%,0%,100%,39,53%,5.0,
,Cropland - protected / protection status unknown,"297,218",0.3,0%,0%,0%,100%,0%,0%,0%,100%,0%,44,47%,2.0,
,Cropland - protection status unknown,"142,193,795",142.2,14%,0%,9%,8%,83%,0%,6%,11%,83%,51,40%,3.2,
,Unknown,"72,050,738",72.1,7%,0%,12%,0%,87%,0%,3%,10%,87%,71,15%,1.4,
,Total,"983,106,869",983.1,100%,,,,,,,,,,,,
,Mean,,,,0%,53%,2%,45%,0%,51%,4%,45%,32,62%,3.3,
"* Under the RTFO Order, these reports must not contain information from which the volumes of fuel being reported by individual suppliers might be derived. To protect the volumes of individual suppliers certain quantities of fuel reported as meeting the Qualifying Standard or RTFO Meta-Standard have been removed from the RTFO figures. In this report, all fuel meeting the Qualifying Standard or Meta-Standard has been included in the overall RTFO figures, but some has still been excluded from the reporting by feedstock and country. The figures by country and feedstock do not therefore tally exactly with the overall figures.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 8: Carbon and sustainability data of biofuel from UK feedstocks, by feedstocks and according to the previous land-use.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Volume, 
litres","Volume, 
million litres","Volume, 
%",Proportion meeting an environmental standard,,,,Proportion meeting a social standard,,,,"Carbon intensity, g(CO2e)/MJ","Greenhouse gas saving, %","Accuracy level,
(0-7)",
,,,,,RTFO,QS,"Other 
standards","None/
unknown",RTFO,QS,"Other 
standards","None/
unknown",,,,
Feedstock,Corn EC,376,0.0,0%,0%,0%,0%,100%,0%,0%,0%,100%,54,35%,1.9,
,Municipal organic waste,"392,917",0.4,0%,0%,100%,0%,0%,0%,100%,0%,0%,27,68%,6.5,
,Oilseed rape,"7,642,459",7.6,6%,0%,92%,0%,8%,0%,0%,92%,8%,52,38%,1.9,
,Sugar beet,"6,988,280",7.0,6%,0%,100%,0%,0%,0%,0%,100%,0%,31,62%,2.6,
,Tallow - category 1,"14,027",0.0,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Tallow - category 3 or unknown,"4,006,334",4.0,3%,0%,100%,0%,0%,0%,100%,0%,0%,18,79%,1.8,
,Tallow - except category 3,"90,192",0.1,0%,0%,100%,0%,0%,0%,100%,0%,0%,14,83%,1.0,
,Used cooking oil,"89,119,635",89.1,74%,0%,100%,0%,0%,0%,100%,0%,0%,13,84%,3.2,
,Wheat,"11,587,014",11.6,10%,0%,34%,3%,64%,0%,0%,36%,64%,38,55%,2.7,
,Total,"119,841,234",119.8,100%,,,,,,,,,,,,
,Mean,,,,0%,93%,0%,7%,0%,78%,15%,7%,20,77%,3.0,
Previous land-use,By-product,"93,623,105",93.6,78%,0%,100%,0%,0%,0%,100%,0%,0%,14,84%,3.2,
,Cropland - non-protected,"7,047,899",7.0,6%,0%,100%,0%,0%,0%,0%,100%,0%,31,62%,2.6,
,Cropland - protected / protection status unknown,"297,218",0.3,0%,0%,0%,100%,0%,0%,0%,100%,0%,44,47%,2.0,
,Cropland - protection status unknown,"10,362,544",10.4,9%,0%,38%,0%,62%,0%,0%,38%,62%,37,56%,2.8,
,Unknown,"8,510,468",8.5,7%,0%,81%,0%,19%,0%,0%,81%,19%,51,39%,1.9,
,Total,"119,841,234",119.8,100%,,,,,,,,,,,,
