Department family,Entity,Entered On,Supplier Name,Expense Type,Expense Area,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,21/04/2009,DATAFORT,Maintenance,Operations,8303,3060
Communities And Local Government,Queen Elizabeth II Conference Centre,21/04/2009,Visit London Ltd,Marketing,Commercial,8304,1200
Communities And Local Government,Queen Elizabeth II Conference Centre,21/04/2009,TERRY KING,Agency Labour,Interface,8305,1575
Communities And Local Government,Queen Elizabeth II Conference Centre,21/04/2009,TERRY KING,Agency Labour,Interface,8306,1350
Communities And Local Government,Queen Elizabeth II Conference Centre,22/04/2009,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,8309,2067.65
Communities And Local Government,Queen Elizabeth II Conference Centre,22/04/2009,BEN SHEPHERD T/A Live Horizon Ltd,Cost of Sales - Freelance Technicians,Interface,8310,600
Communities And Local Government,Queen Elizabeth II Conference Centre,22/04/2009,ROYAL MAIL,Postage,Commercial,8311,500
Communities And Local Government,Queen Elizabeth II Conference Centre,22/04/2009,SHIELD PEST CONTROL,Maintenance,Operations,8313,447.8
Communities And Local Government,Queen Elizabeth II Conference Centre,23/04/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,8316,600
Communities And Local Government,Queen Elizabeth II Conference Centre,23/04/2009,VERIZON UK LIMITED,Cost of Sales - Telecommunications,ITC Department,8317,503.63
Communities And Local Government,Queen Elizabeth II Conference Centre,24/04/2009,ESSENTIAL LIGHTING LTD,Cost of Sales - Equipment Hire,Interface,8321,510.7
Communities And Local Government,Queen Elizabeth II Conference Centre,24/04/2009,THAMES WATER UTILITIES LTD,Water,Operations,8322,607.17
Communities And Local Government,Queen Elizabeth II Conference Centre,24/04/2009,VERIZON UK LIMITED,Marketing,Commercial,8325,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,24/04/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,8325,1618
Communities And Local Government,Queen Elizabeth II Conference Centre,27/04/2009,MOORE PEOPLE KENNER LTD,Cost of Sales - Time & Labour,Event Management,8326,513
Communities And Local Government,Queen Elizabeth II Conference Centre,27/04/2009,Office Projects Ltd,Building Improvements,Operations,8327,11832.72
Communities And Local Government,Queen Elizabeth II Conference Centre,27/04/2009,VERIZON UK LIMITED,Marketing,Commercial,8329,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,27/04/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,8329,2203
Communities And Local Government,Queen Elizabeth II Conference Centre,27/04/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,8330,569.6
Communities And Local Government,Queen Elizabeth II Conference Centre,27/04/2009,HELEN BUSHELL,Cost of Sales - Freelance Technicians,Interface,8331,663
Communities And Local Government,Queen Elizabeth II Conference Centre,27/04/2009,THE MEETINGS COMPANY,Cost of Sales - Commission,Commercial,8332,1337
Communities And Local Government,Queen Elizabeth II Conference Centre,27/04/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,8334,483.14
Communities And Local Government,Queen Elizabeth II Conference Centre,28/04/2009,GALLOWGLASS LIMITED,Cost of Sales - Time & Labour,Event Management,8335,525
Communities And Local Government,Queen Elizabeth II Conference Centre,28/04/2009,EXPOSE TRAVEL MANAGEMENT LTD,Conferences,Interface,8336,1525
Communities And Local Government,Queen Elizabeth II Conference Centre,28/04/2009,WORKING WALL LIMITED,Maintenance,Interface,8338,1100.25
Communities And Local Government,Queen Elizabeth II Conference Centre,29/04/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8344,3014.65
Communities And Local Government,Queen Elizabeth II Conference Centre,29/04/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,8348,600
Communities And Local Government,Queen Elizabeth II Conference Centre,30/04/2009,NYS Corporate Limited,Cost of Sales - Commission,Commercial,8355,1036
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,8356,53535.54
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,Sage UK Ltd,Maintenance,Operations,8357,654
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,VERIZON UK LIMITED,Marketing,Commercial,8359,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,8359,2203
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,Audit Costs,Administration,8361,4940
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,SIMON STANMORE PHOTOGRAPHY,Marketing,Commercial,8362,1260
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,Grass Roots Live Limited,Cost of Sales - Commission,Commercial,8364,1052.25
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,REDSTONE CONVERGED SOLUTIONS LTD,Cost of Sales - Telecommunications,ITC Department,8366,4735
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,LIME,Furniture,Operations,8368,48900
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2009,VOHM,Marketing,Commercial,8369,600
Communities And Local Government,Queen Elizabeth II Conference Centre,06/05/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,8379,584
Communities And Local Government,Queen Elizabeth II Conference Centre,06/05/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,8380,10450
Communities And Local Government,Queen Elizabeth II Conference Centre,06/05/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,8381,561
Communities And Local Government,Queen Elizabeth II Conference Centre,06/05/2009,ENABLE ACCESS,Maintenance,Operations,8383,585
Communities And Local Government,Queen Elizabeth II Conference Centre,06/05/2009,UNGERBOECK SYSTEMS,Maintenance,Operations,8384,15780
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2009,CITY OF WESTMINSTER,Business Rates,Administration,8385,44717
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2009,Leith's at the Centre,Leith's Receipts,Finance,8386,1752
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,8393,1740
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Freelance Technicians,Interface,8393,220
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,8394,5479.4
Communities And Local Government,Queen Elizabeth II Conference Centre,08/05/2009,GovNet Communications,Cost of Sales - Commission,Commercial,8399,1127.7
Communities And Local Government,Queen Elizabeth II Conference Centre,08/05/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8400,40586.82
Communities And Local Government,Queen Elizabeth II Conference Centre,08/05/2009,EDF ENERGY,Electricity,Operations,8401,48394.6
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8407,3522.83
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,8408,647
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,LAWRENCE TILDESLEY,Cost of Sales - Freelance Technicians,Interface,8411,808
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,FRIDAY'S MEDIA GROUP LIMITED,Marketing,Commercial,8412,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,MGM WORKSAFE,Consultants,Operations,8413,1000
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,DELPHINI LTD,Maintenance,Interface,8414,900
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,GREATER LONDON HIRE LTD,Carriage,Interface,8417,54.32
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,GREATER LONDON HIRE LTD,Carriage,Event Management,8417,278.39
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,GREATER LONDON HIRE LTD,Carriage,Administration,8417,128.46
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,GREATER LONDON HIRE LTD,Carriage,Commercial,8417,56.81
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,VISIONSOFT LTD,IT Equipment Maintenance,ITC Department,8420,760
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2009,ELCRP,Disposal Of Waste,Operations,8421,629.72
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,Conference Search Ltd,Cost of Sales - Commission,Commercial,8425,661.5
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,PLANTERIA GROUP (UK) LTD,Maintenance,Operations,8429,4015.05
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Training,Administration,8430,1076.3
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Bank Charges,Administration,8430,58.55
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,8430,2045.6
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Stationery,Event Management,8430,372.22
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Insurable Losses,Administration,8430,119
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,8430,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Cost Of Sales - Consumables,Business Centre,8430,86.78
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Mobile Phone Costs,Event Management,8430,60
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,8430,44.18
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Conferences,Interface,8430,91.24
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,8430,41.59
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,DAVID BOYCE,Cost of Sales - Freelance Technicians,Interface,8432,615
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,GREATER LONDON HIRE LTD,Travel,Operations,8435,69.18
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,GREATER LONDON HIRE LTD,Travel,Interface,8435,56.62
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,GREATER LONDON HIRE LTD,Travel,ITC Department,8435,71.18
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,GREATER LONDON HIRE LTD,Travel,Event Management,8435,491.43
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,CONFERENCE CARE UK,Cost of Sales - Commission,Commercial,8436,1014.5
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,Marmalade On Toast,Marketing,Commercial,8437,500
Communities And Local Government,Queen Elizabeth II Conference Centre,12/05/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,8438,1012.36
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,8441,9140
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2009,NYS Corporate Limited,Cost of Sales - Commission,Commercial,8449,1133.6
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2009,BRITISH TELECOM,Cost of Sales - Telecommunications,ITC Department,8453,1888.89
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8459,2373.73
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,8463,850.77
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,8468,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,VERIZON UK LIMITED,Marketing,Commercial,8468,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,CORONA ENERGY,Gas,Operations,8469,7801.83
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,COMPLETE MEDIA GROUP,Advertising,Commercial,8470,1231
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,EVE TRAKWAY LTD,Cost of Sales - Equipment Hire,Operations,8473,1120
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,IG Conference Services,Cost of Sales - Commission,Commercial,8474,696
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,FIRECO LTD,Maintenance,Operations,8476,1098
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,A PERTON SIGNS LIMITED,Cost of Sales - Sets,Interface,8477,10060
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,A PERTON SIGNS LIMITED,Marketing,Commercial,8477,94
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2009,A PERTON SIGNS LIMITED,Cost of Sales - Signage,Interface,8477,1758
Communities And Local Government,Queen Elizabeth II Conference Centre,15/05/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8478,938.64
Communities And Local Government,Queen Elizabeth II Conference Centre,15/05/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8480,4890
Communities And Local Government,Queen Elizabeth II Conference Centre,15/05/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8481,1913.25
Communities And Local Government,Queen Elizabeth II Conference Centre,15/05/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8485,1643.27
Communities And Local Government,Queen Elizabeth II Conference Centre,15/05/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8486,2179.31
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2009,MATT PHILLIPS,Marketing,Commercial,8503,200
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2009,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,8503,608
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2009,CONFERENCE & TRAVEL PUBLICATIO,Marketing,Commercial,8506,1950
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,8507,719
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2009,GREEN - WORKS LTD,Maintenance,Operations,8508,595
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2009,LIME,Furniture,Operations,8509,93795
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2009,CALDER CONFERENCES LIMITED,Cost of Sales - Commission,Commercial,8510,1142.5
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2009,WATER SPLASH LTD,Maintenance,Operations,8513,930
Communities And Local Government,Queen Elizabeth II Conference Centre,19/05/2009,CUNDALL JOHNSTON & PARTNERS LLP,Consultants,Operations,8514,8738
Communities And Local Government,Queen Elizabeth II Conference Centre,19/05/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,8520,49380.28
Communities And Local Government,Queen Elizabeth II Conference Centre,20/05/2009,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,8526,1835
Communities And Local Government,Queen Elizabeth II Conference Centre,20/05/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Cost of Sales - Contract Labour,Operations,8530,3190.05
Communities And Local Government,Queen Elizabeth II Conference Centre,20/05/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,8530,6135.07
Communities And Local Government,Queen Elizabeth II Conference Centre,21/05/2009,Zibrant Limited,Marketing,Commercial,8532,696.1
Communities And Local Government,Queen Elizabeth II Conference Centre,21/05/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,8533,3460
Communities And Local Government,Queen Elizabeth II Conference Centre,21/05/2009,AP SET CONSTRUCTION LTD,Cost of Sales - Sets,Interface,8535,765
Communities And Local Government,Queen Elizabeth II Conference Centre,21/05/2009,AP SET CONSTRUCTION LTD,Cost of Sales - Freelance Technicians,Interface,8535,675
Communities And Local Government,Queen Elizabeth II Conference Centre,22/05/2009,FELTECH ELECTRONICS LTD,Maintenance,Operations,8543,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,22/05/2009,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,8550,790
Communities And Local Government,Queen Elizabeth II Conference Centre,22/05/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,8555,660
Communities And Local Government,Queen Elizabeth II Conference Centre,22/05/2009,UNGERBOECK SYSTEMS,Conference Fees,Commercial,8556,561.57
Communities And Local Government,Queen Elizabeth II Conference Centre,22/05/2009,EVE TRAKWAY LTD,Cost of Sales - Equipment Hire,Operations,8557,980
Communities And Local Government,Queen Elizabeth II Conference Centre,22/05/2009,TOM MORRIS,Cost of Sales - Freelance Technicians,Interface,8560,911
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Freelance Technicians,Interface,8564,500
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2009,THE KEW WORKSHOP COMPANY LTD,Cost of Sales - Sets,Interface,8564,1167
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2009,MOORE PEOPLE KENNER LTD,Cost of Sales - Time & Labour,Event Management,8568,696
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2009,THAMES WATER UTILITIES LTD,Water,Operations,8573,3715.05
Communities And Local Government,Queen Elizabeth II Conference Centre,27/05/2009,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,8574,780.18
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2009,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,8585,730.7
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2009,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,8587,2078
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2009,MOORE PEOPLE KENNER LTD,Cost of Sales - Time & Labour,Event Management,8588,997.5
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2009,BRE TRAINING,Training,Administration,8589,3200
Communities And Local Government,Queen Elizabeth II Conference Centre,28/05/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,8590,54547.96
Communities And Local Government,Queen Elizabeth II Conference Centre,29/05/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8592,40586.82
Communities And Local Government,Queen Elizabeth II Conference Centre,29/05/2009,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,8594,42319.24
Communities And Local Government,Queen Elizabeth II Conference Centre,01/06/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8595,3026.01
Communities And Local Government,Queen Elizabeth II Conference Centre,01/06/2009,BK DESIGN ASSOCIATES UK LTD,Consultants,Operations,8598,7225
Communities And Local Government,Queen Elizabeth II Conference Centre,01/06/2009,NATIONAL CRADLE MAINTENANCE LTD,Maintenance,Operations,8599,750
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2009,SHIRE SYSTEMS LIMITED,IT Equipment Maintenance,ITC Department,8607,726
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2009,COMPUTACENTER UK LTD,IT Equipment Maintenance,ITC Department,8609,475.94
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2009,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,8610,3522.83
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2009,ALLIANZ CORNHILL ENGINEERING,Maintenance,Operations,8612,731.27
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2009,Leith's at the Centre,Marketing,Commercial,8613,2540.31
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Cost of Sales - Mini Shifts,Event Management,8615,2518.5
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Cost of Sales - Mini Shifts,Event Management,8616,3713
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2009,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,IT Equipment Maintenance,ITC Department,8617,632
Communities And Local Government,Queen Elizabeth II Conference Centre,03/06/2009,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,8627,719
Communities And Local Government,Queen Elizabeth II Conference Centre,03/06/2009,CITY OF WESTMINSTER,Business Rates,Administration,8628,44717
Communities And Local Government,Queen Elizabeth II Conference Centre,03/06/2009,Leith's at the Centre,Entertaining,Operations,8629,5.9
Communities And Local Government,Queen Elizabeth II Conference Centre,03/06/2009,Leith's at the Centre,Entertaining,Administration,8629,491.45
Communities And Local Government,Queen Elizabeth II Conference Centre,03/06/2009,Leith's at the Centre,Entertaining,Interface,8629,128.33
