N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG066,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),1.60
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG066,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),2.81
N/A,Department for Communities and Local Government,Regions and Communities,CLG021,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),0.50
N/A,Department for Communities and Local Government,Regions and Communities,CLG021,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Regions and Communities,CLG021,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),1.70
N/A,Department for Communities and Local Government,Regions and Communities,CLG021,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG022,AA,15717,21133,Administrative Assistant and equivalent grades (includes London and National),0.67
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG022,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG022,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG022,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG022,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),5.89
N/A,Department for Communities and Local Government,Communities,CLG078,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Communities,CLG078,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Communities,CLG078,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),3.20
N/A,Department for Communities and Local Government,Communities,CLG078,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Communities,CLG011,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),4.61
N/A,Department for Communities and Local Government,Communities,CLG011,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),5.94
N/A,Department for Communities and Local Government,Communities,CLG011,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),5.79
N/A,Department for Communities and Local Government,Communities,CLG011,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),5.00
N/A,Department for Communities and Local Government,Communities,CLG011,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG127,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),7.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG127,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),20.14
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG127,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG127,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),18.41
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG127,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),8.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG127,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG052,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG052,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),13.59
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG052,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG052,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),11.80
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG052,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),15.60
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG052,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),5.00
N/A,Department for Communities and Local Government,Communities,CLG012,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG012,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Communities,CLG012,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Communities,CLG012,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),1.00
N/A,Department for Communities and Local Government,Communities,CLG012,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),11.43
N/A,Department for Communities and Local Government,Communities,CLG005,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Communities,CLG005,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),5.00
N/A,Department for Communities and Local Government,Communities,CLG005,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),7.40
N/A,Department for Communities and Local Government,Communities,CLG005,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),2.47
N/A,Department for Communities and Local Government,Communities,CLG005,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),10.38
N/A,Department for Communities and Local Government,Communities,CLG005,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG010,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG010,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG010,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),6.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG010,HEO (D),27000,35000,Civil Service Fast Streamer,2.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG010,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG010,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),7.16
N/A,Department for Communities and Local Government,Housing and Planning,CLG010,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG040,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),4.54
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG040,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG040,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG040,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),4.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG040,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),5.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG040,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG025,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG025,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.50
N/A,Department for Communities and Local Government,Housing and Planning,CLG025,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG025,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG025,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),4.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG025,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),5.00
N/A,Department for Communities and Local Government,Communities,CLG094,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Communities,CLG094,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG119,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG119,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG050,AA,15717,21133,Administrative Assistant and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG050,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),15.05
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG050,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),15.02
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG050,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),6.81
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG050,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),3.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG050,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG050,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG124,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG124,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG124,HEO (D),27000,35000,Civil Service Fast Streamer,2.60
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG124,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),4.83
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG124,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),10.50
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG124,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG044,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG044,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG044,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Communities,CLG044,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),11.00
N/A,Department for Communities and Local Government,Communities,CLG044,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG062,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG062,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG062,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG045,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG045,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG045,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),5.09
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG045,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),3.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG045,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),9.33
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG088,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG088,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),2.78
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG088,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),5.25
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG081,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG081,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG081,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG074,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),2.67
N/A,Department for Communities and Local Government,Housing and Planning,CLG074,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG074,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),5.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG074,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),3.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG074,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG074,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Communities,CLG073,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG073,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.80
N/A,Department for Communities and Local Government,Communities,CLG073,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),6.77
N/A,Department for Communities and Local Government,Communities,CLG073,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG073,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),4.94
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG031,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG031,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG031,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),0.94
N/A,Department for Communities and Local Government,Communities,CLG042,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.01
N/A,Department for Communities and Local Government,Communities,CLG042,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Communities,CLG042,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.28
N/A,Department for Communities and Local Government,Communities,CLG042,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Communities,CLG042,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),4.00
N/A,Department for Communities and Local Government,Communities,CLG042,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Regions and Communities,CLG020,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),0.50
N/A,Department for Communities and Local Government,Regions and Communities,CLG020,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Regions and Communities,CLG020,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),1.92
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG039,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),1.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG039,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),1.50
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG039,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),3.29
N/A,Department for Communities and Local Government,Communities,CLG053,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.80
N/A,Department for Communities and Local Government,Communities,CLG053,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Communities,CLG053,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Communities,CLG053,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),8.59
N/A,Department for Communities and Local Government,Communities,CLG053,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),7.60
N/A,Department for Communities and Local Government,Communities,CLG053,G6,40852,57110,Grade 7 and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG006,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG006,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG006,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.60
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG006,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG006,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),2.89
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG006,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),7.00
N/A,Department for Communities and Local Government,Communities,CLG041,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG041,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG041,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),3.89
N/A,Department for Communities and Local Government,Communities,CLG041,HEO (D),27000,35000,Civil Service Fast Streamer,2.00
N/A,Department for Communities and Local Government,Communities,CLG041,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),3.00
N/A,Department for Communities and Local Government,Communities,CLG041,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),9.00
N/A,Department for Communities and Local Government,Communities,CLG041,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),2.40
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG116,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.42
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG116,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.68
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG116,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG116,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),4.89
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG116,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),6.63
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG116,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG026,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),6.67
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG026,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),12.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG026,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),9.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG026,HEO (D),27000,35000,Civil Service Fast Streamer,2.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG026,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG026,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),7.45
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG026,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG056,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.80
N/A,Department for Communities and Local Government,Housing and Planning,CLG056,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.76
N/A,Department for Communities and Local Government,Housing and Planning,CLG056,HEO (D),27000,35000,Civil Service Fast Streamer,2.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG056,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),5.72
N/A,Department for Communities and Local Government,Housing and Planning,CLG019,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG019,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG077,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Housing and Planning,CLG077,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Regions and Communities,CLG095,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Regions and Communities,CLG095,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG128,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG128,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG128,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),6.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG128,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),3.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG128,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),5.00
N/A,Department for Communities and Local Government,Corporate Delivery Group,CLG128,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG017,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG017,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG017,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG001,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG001,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG001,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),1.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG001,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),1.78
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG001,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),3.00
N/A,Department for Communities and Local Government,Local Government and Regeneration,CLG001,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG096,AO,19935,25847,Administrative Officer and equivalent grades (includes London and National),2.00
N/A,Department for Communities and Local Government,Communities,CLG096,EO,22279,31225,Executive Officer and equivalent grades (includes London and National),2.94
N/A,Department for Communities and Local Government,Communities,CLG096,HEO,26058,34655,Higher Executive Officer and equivalent grades (includes London and National),4.00
N/A,Department for Communities and Local Government,Communities,CLG096,HEO (D),27000,35000,Civil Service Fast Streamer,1.00
N/A,Department for Communities and Local Government,Communities,CLG096,SEO,32311,45734,Senior Executive Officer and equivalent grades (both London and National),7.00
N/A,Department for Communities and Local Government,Communities,CLG096,G7,40852,57110,Grade 7 and equivalent grades (includes London and National),5.00
N/A,Department for Communities and Local Government,Communities,CLG096,G6,50203,70375,Grade 6 and equivalent grades (includes London and National),5.00
