Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,GREENWICH LB,,,,5000173156,Grant Payable by Exchequer,SE18 6RA,"-2,701,499.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF HACKNEY,,,,5000173175,Grant Payable by Exchequer,E8 4RU,"-3,538,692.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,HALTON BC,,,,5000173179,Grant Payable by Exchequer,WA8 7QF,"-2,088,778.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,HARINGEY LB,,,,5000173223,Grant Payable by Exchequer,N22 7TR,"-2,773,967.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,HARROW LB,,,,5000173251,Grant Payable by Exchequer,HA1 2UZ,"-2,174,732.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,HARTLEPOOL BOROUGH COUNCIL,,,,5000173263,Grant Payable by Exchequer,TS24 7BT,"-1,210,168.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,HEREFORDSHIRE DISTRICT COUNCIL,,,,5000173301,Grant Payable by Exchequer,HR1 1SH,"-2,028,173.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,ISLE OF WIGHT CNCL,,,,5000172789,Grant Payable by Exchequer,PO30 1UD,"-1,513,101.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,ISLES OF SCILLY COUNCIL,,,,5000172805,Grant Payable by Exchequer,TR21 0LW,"-58,689.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,HULL CITY COUNCIL,,,,5000172857,Grant Payable by Exchequer,HU1 2AA,"-4,236,449.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,KIRKLEES MBC,,,,5000172873,Grant Payable by Exchequer,HD1 2YU,"-4,706,318.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,KNOWSLEY MBC,,,,5000172877,Grant Payable by Exchequer,L36 9YZ,"-1,732,595.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF LAMBETH,,,,5000172885,Grant Payable by Exchequer,SW2 1RL,"-4,990,042.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,LEICESTER CITY CNCL,,,,5000172923,Grant Payable by Exchequer,LE1 6ZG,"-4,679,057.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,LEWISHAM LB,,,,5000172951,Grant Payable by Exchequer,SE6 4RU,"-2,167,147.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,LIVERPOOL CITY COUNCIL,,,,5000172983,Grant Payable by Exchequer,L1 6JD,"-8,243,024.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,LUTON BC,,,,5000172987,Grant Payable by Exchequer,LU1 1DX,"-2,898,482.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,MIDDLESBROUGH BC,,,,5000173107,Grant Payable by Exchequer,TS1 9GA,"-1,858,198.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF NEWHAM,,Large,,5000173170,Grant Payable by Exchequer,E16 2QU,"-3,874,392.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,NORTH TYNESIDE MBC,,,,5000173253,Grant Payable by Exchequer,NE30 1AE,"-2,552,591.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,NOTTINGHAM CITY COUNCIL,,,,5000173306,Grant Payable by Exchequer,NG1 7DW,"-5,561,108.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,OLDHAM MBC,,,,5000173349,Grant Payable by Exchequer,OL1 1UH,"-2,613,945.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,PLYMOUTH CITY CNCL,,,,5000172786,Grant Payable by Exchequer,PL1 2AA,"-3,863,294.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF REDBRIDGE,,,,5000172838,Grant Payable by Exchequer,IG1 1NN,"-2,367,906.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,REDCAR & CLEVELAND BOROUGH COUNCIL,,,,5000172846,Grant Payable by Exchequer,TS6 9AR,"-2,178,232.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,ROCHDALE MBC,,,,5000172894,Grant Payable by Exchequer,OL16 1LQ,"-2,796,068.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,ROTHERHAM MBC,,,,5000172926,Grant Payable by Exchequer,S65 1UF,"-3,068,751.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,SALFORD CITY CNCL,,,,5000172982,Grant Payable by Exchequer,M27 5AW,"-3,681,931.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,SANDWELL MBC,,,,5000172986,Grant Payable by Exchequer,B69 3BS,"-4,129,768.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,SEFTON MBC,,,,5000173011,Grant Payable by Exchequer,L20 3NQ,"-3,117,344.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,SHEFFIELD CITY CNCL,,,,5000173039,Grant Payable by Exchequer,S1 1UR,"-9,052,917.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,SOUTH TYNESIDE COUNCIL,,,,5000173193,Grant Payable by Exchequer,NE33 2RL,"-1,281,323.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,SOUTHEND ON SEA BC,,,,5000173216,Grant Payable by Exchequer,SS2 6EP,"-2,099,874.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,ST HELENS MBC,,,,5000173256,Grant Payable by Exchequer,WA10 1HP,"-2,165,419.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,STOKE ON TRENT CITY COUNCIL,,,,5000173312,Grant Payable by Exchequer,ST4 1RJ,"-3,768,386.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,SUNDERLAND DC,,,,5000173352,Grant Payable by Exchequer,SR2 7DN,"-3,767,423.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,TAMESIDE MBC,,,,5000172807,Grant Payable by Exchequer,OL6 6DL,"-2,564,302.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,TORBAY BC,,,,5000172919,Grant Payable by Exchequer,TQ1 3DR,"-1,652,248.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,WALSALL MBC,,,,5000173000,Grant Payable by Exchequer,WS1 1TW,"-3,062,118.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,WALTHAM FOREST LB,,,,5000173004,Grant Payable by Exchequer,E17 4JA,"-2,368,085.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,WANDSWORTH LB,,,,5000173016,Grant Payable by Exchequer,SW18 2PU,"-4,577,526.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,WIGAN MBC,,,,5000173196,Grant Payable by Exchequer,WN1 1YD,"-3,489,268.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,WIRRAL MBC,,,,5000173230,Grant Payable by Exchequer,L41 6BU,"-3,021,485.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,WOLVERHAMPTON MBC,,,,5000173250,Grant Payable by Exchequer,WV1 1RL,"-3,179,667.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,CORNWALL COUNCIL,,,,5000173339,Grant Payable by Exchequer,TR1 3AY,"-6,540,062.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,DURHAM COUNTY COUNCIL,,,,5000173347,Grant Payable by Exchequer,DH1 5UE,"-4,854,723.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,NORTHUMBERLAND,,,,5000173359,Grant Payable by Exchequer,NE61 2EF,"-3,234,199.00",Yes
Communities & Local Government,DCLG,01/09/2011,NNDR Billing Authorities Receipts,Treasury,SHROPSHIRE COUNCIL,,Large,,5000173363,Grant Payable by Exchequer,SY2 6ND,"-3,306,770.00",Yes
Communities & Local Government,DCLG,01/09/2011,Agency Staff,Finance & Corporate Services,MICHAEL PAGE INTERNATIONAL,,Large,,5106167990,Interim  internal Audit,SL1 3SA,"1,929.48",
Communities & Local Government,DCLG,01/09/2011,Agency Staff,Finance & Corporate Services,REED SPECIALIST RECRUITMENT LTD,,Large,,5106168028,Temp electoral claims,NN1 1UE,450.06,
Communities & Local Government,DCLG,01/09/2011,Agency Staff,Finance & Corporate Services,SBS GROUP (UK) LTD,,Large,,5106168015,Contractor Business Support Team P2P,EC1N 8TS,"1,824.00",
Communities & Local Government,DCLG,01/09/2011,Agency Staff,Finance & Corporate Services,SBS GROUP (UK) LTD,,Large,,5106168032,SAP Technical Support,EC1N 8TS,"7,092.00",
Communities & Local Government,DCLG,01/09/2011,Domestic Services,Finance & Corporate Services,MITIE SECURITY LTD,,Large,,5106168001,Hemel Hempstead Cleaning 11-12,MK5 6LB,"1,094.38",
Communities & Local Government,DCLG,01/09/2011,Legal Fees,Localism,DENTON WILDE SAPTE LLP,,Large,,5106168026,RCC Buildings Advice for FireControl,EC4M 7WS,"12,541.32",
Communities & Local Government,DCLG,01/09/2011,Professional services,Finance & Corporate Services,E C HARRIS LLP,,Large,,5106167993,"Provision of H& S, Fire advice - Year 1",N1 9AB,"8,754.00",
Communities & Local Government,DCLG,01/09/2011,Research,Neighbourhoods,BRITISH BOARD AGREMENT,,Medium,,5106167995,Quartely Report,WD2 7NG,"10,190.40",
Communities & Local Government,DCLG,01/09/2011,Security,Finance & Corporate Services,MITIE SECURITY LTD,,Large,,5106167999,Hemel Hempstead Security 11-12,MK5 6LB,"4,246.40",
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON & SOMERSET POLICE AUTHORITY,,,,5000173389,Grant Payable by Exchequer,TA1 4DY,"2,334,699.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON FIRE AUTHORITY,,,,5000173390,Grant Payable by Exchequer,BS1 6EU,"817,881.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARKING & DAGENHAM LB,,,,5000173396,Grant Payable by Exchequer,RM10 7BY,"3,847,942.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARNSLEY MBC,,,,5000173400,Grant Payable by Exchequer,S70 2AQ,"3,975,685.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,,,,5000173411,Grant Payable by Exchequer,MK42 7NR,"394,763.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDFORDSHIRE POLICE AUTH,,,,5000173412,Grant Payable by Exchequer,MK43 9AX,"1,061,934.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROYAL BERKSHIRE FIRE AUTHORITY,,,,5000173413,Grant Payable by Exchequer,RG30 4FS,"536,368.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BIRMINGHAM CITY CNCL,,,,5000173417,Grant Payable by Exchequer,B3 3AB,"25,079,982.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKBURN WITH DARWEN BC,,,,5000173421,Grant Payable by Exchequer,BB1 7DY,"2,995,303.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKPOOL BC,,,,5000173423,Grant Payable by Exchequer,FY1 1NA,"3,135,551.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOLTON MBC,,,,5000173427,Grant Payable by Exchequer,BL1 1RU,"4,645,991.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRADFORD MBC,,,,5000173435,Grant Payable by Exchequer,BD1 1HX,"9,937,171.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRENT LB,,,,5000173440,Grant Payable by Exchequer,HA9 9EZ,"6,019,971.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKS & MILTON KEYNES FIRE AUTH,,,,5000173459,Grant Payable by Exchequer,HP20 1BD,"379,904.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKINGHAMSHIRE CC,,,,5000173460,Grant Payable by Exchequer,HP20 1UD,"2,411,285.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,BURY MBC,,,,5000173464,Grant Payable by Exchequer,BL9 0SP,"2,460,535.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CALDERDALE MBC,,,,5000173465,Grant Payable by Exchequer,HX1 1YP,"2,988,848.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,,,,5000173469,Grant Payable by Exchequer,PE29 2NA,"474,285.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE POLICE AUT,,,,5000173470,Grant Payable by Exchequer,P18 8NP,"1,077,894.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE COUNTY CNCL,,,,5000173471,Grant Payable by Exchequer,CB3 0AP,"4,359,263.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE FIRE AUTHORITY,,,,5000173490,Grant Payable by Exchequer,CW7 2FQ,"677,392.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE POLICE AUTHORITY,,,,5000173491,Grant Payable by Exchequer,CW7 2UA,"1,931,487.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND FIRE AUTHORITY,,,,5000173506,Grant Payable by Exchequer,TS25 5TB,"734,956.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND POLICE AUTHORITY,,,,5000173507,Grant Payable by Exchequer,TS1 2JX,"1,678,662.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,COVENTRY CITY CNCL,,,,5000173516,Grant Payable by Exchequer,CV1 2QL,"5,743,248.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA COUNTY CNCL,,,,5000173524,Grant Payable by Exchequer,CA3 8NA,"5,752,173.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA POLICE AUTHORITY,,,,5000173525,Grant Payable by Exchequer,CA10 2AU,"1,310,831.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DARLINGTON BC,,,,5000172780,Grant Payable by Exchequer,TS19 1JA,"1,497,513.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBY CITY CNCL,,,,5000172800,Grant Payable by Exchequer,DE1 2FS,"4,104,261.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE FIRE AUTHORITY,,,,5000172808,Grant Payable by Exchequer,DE55 1RH,"654,056.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE POLICE AUTHORITY,,,,5000172812,Grant Payable by Exchequer,DE5 3RS,"1,663,309.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE COUNTYCOUNCIL,,,,5000172816,Grant Payable by Exchequer,DE4 3AH,"7,464,910.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & CORNWALL POLICE A,,,,5000172828,Grant Payable by Exchequer,EX2 5YT,"2,622,644.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON COUNTY CNCL,,,,5000172832,Grant Payable by Exchequer,EX2 4QJ,"6,744,807.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,,,,5000172836,Grant Payable by Exchequer,EX3 0NW,"1,120,991.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DONCASTER MBC,,,,5000172844,Grant Payable by Exchequer,DN1 2PN,"5,259,053.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET COUNTY CNCL,,,,5000172848,Grant Payable by Exchequer,DT1 1XJ,"2,373,292.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET FIRE AUTHORITY,,,,5000172852,Grant Payable by Exchequer,DT1 1FB,"394,893.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET POLICE AUTHORITY,,,,5000172856,Grant Payable by Exchequer,DT2 8DZ,"762,984.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DUDLEY MBC,,,,5000172872,Grant Payable by Exchequer,DY1 1HF,"4,648,571.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,CO DURHAM & DARLINGTON FIRE AND RES,,,,5000172876,Grant Payable by Exchequer,DH1 5UE,"477,102.00",Yes
Communities & Local Government,DCLG,01/09/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM POLICE AUTHORITY,,,,5000172880,Grant Payable by Exchequer,DH1 5TT,"1,610,131.00",Yes
