,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Full-time,Part-time,Total,,,
Male,83.20%,69.90%,84.40%,87.50%,84.90%,80.00%,74.50%,48.00%,1766
Female,16.80%,30.10%,15.60%,12.50%,15.10%,20.00%,25.50%,52.00%,767
Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,2533




Table 1.9: Staff by Age Group,,,,,,,,,

,Male,Female,Total,,,,,,
Under 20,0,0,0,,,,,,
20-24,8,20,28,,,,,,
25-29,52,55,107,,,,,,
30-34,74,72,146,,,,,,
35-39,139,98,237,,,,,,
40-44,187,130,317,,,,,,
45-49,293,129,422
50-54,356,119,475
55-59,332,91,423
60 to 64,257,46,303
65 and over,68,7,75
Total,"1,766",767,2533


Table 1.10: Religion and Belief,,,

"Table 1.10 summarises records on the religion and belief of staff in post on 31st March. Staff were grouped into 'Declared a religion', 'No religion declareddeclared' and 'Unknown':",,,
"'Declared a religion' represents all those who declared themselves to be Buddhist, Christian, Hindu, Jewish, Muslim, Sikh, or of any other religion or belief.",,,
"'No religion declared' includes all staff who declared themselves to be Atheist, Agnostic, or of no religion.",,,
Please note that there may be years where all staff are listed as having 'Unknown' or 'Unknown/Undeclared' belief; this is due to data not being collected for the purposes of this report in those years.,,,

,2009/2010,2010/2011,
Declared a religion,697,757
No religion declared,179,186
Religion/Belief Unknown/Undeclared,"1,736","1,590"
Total,"2,612","2,533"


Table 1.11: Sexual Orientation,,

"Table 1.11 summarises records on the Sexual Orientation of staff in post on 31st March in 2009, 2010 and 2011. Staff were grouped into 'Heterosexual', 'LGB' and 'Unknown/Undeclared': ",,
"'LGB' includes all staff who declared themselves to be lesbian, a gay man, or bisexual.",,

,2009/2010,2010/2011
Heterosexual,967,"1,031"
LGB,28,29
Sexual Orientation Unknown/Undeclared,"1,617","1,473"
Total,"2,612","2,533"


"Table 1.12 gives the number of staff on maternity leave on 31st March 2011, and the number of staff returning from maternity leave during 2010/11",

Table 1.12: Maternity Leave,

,2010/2011
Currently on maternity leave,15
Returned from maternity leave,13


2.  Recruitment,

Tables in section 2 summarise diversity data collected on all applicants to positions within DSA for recruitment campaigns launched between 1st April 2010 and 31st March 2011.,

Tables 2.1-2.4: All Recruitment (Internal & External Campaigns),
Table 2.1: Recruitment by Pay Band (pay bands with no applications have been omitted),,,,

,AA,DE,SE,Total
All applications received,54,"2,494",102,"2,650"
Successful at sift,18,474,60,552
Successful at assessment centre,11,228,28,267
Successful at interview,7,89,28,124
Successful at special driving test,0,71,0,71
Appointed,7,34,0,41

Table 2.2: Recruitment by Sex,,,,

,Male,Female,Total,
All applications received,"2,143",507,"2,650",
Successful at sift,420,132,552,
Successful at assessment centre,208,59,267,
Successful at interview,92,32,124,
Successful at special driving test,55,16,71,
Appointed,28,13,41,


Table 2.3: Recruitment by Race,,,,

,White,BME,Unknown,Total
All applications received,"2,113",409,128,"2,650"
Successful at sift,428,101,23,552
Successful at assessment centre,216,37,14,267
Successful at interview,104,13,7,124
Successful at special driving test,63,8,0,71
Appointed,28,7,6,41


Table 2.4: Recruitment by Disabled Status,,,,,

,Not disabled,Disabled,Disabled Status Unknown/ Undeclared,Total,
All applications received,"2,422",108,120,"2,650",
Successful at sift,513,19,20,552,
Successful at assessment centre,249,8,10,267,
Successful at interview,111,5,8,124,
Successful at special driving test,68,1,2,71,
Appointed,36,2,3,41,


Table 2.5: Recruitment by Campaign Type,,,,,

,Within DSA,Across DfT family,Across Civil Service,Outside Civil Service,Total
All applications received,102,0,54,"2,494","2,650"
Successful at sift,60,0,18,474,552
Successful at assessment centre,28,0,11,228,267,,,,,,
Successful at interview,28,0,7,89,124,,,,,,
Successful at special driving test,N/A,N/A,N/A,71,71,,,,,,
Appointed,0*,0,7,34,41,,,,,,
,* 28 applicants placed on merit list,,,,,,,,,,



3.  Performance Management,,,,,,,,,,,

Tables in section 3 summarise data held by DSA Human Resources on the performance management reports (PMRs) of staff that were recorded between 1st February 2010 and 31st January 2011.,,,,,,,,,,,
These PMRs were matched to records for staff in post so that diversity analysis could be performed.,,,,,,,,,,,

Table 3.1: PMR Ratings by Pay Band,,,,,,,,,,,

,AA,AO,EO,HEO,SEO,Grade 7 - Grade 6,DE,SDE,SE,ACDE / DCDE / CDE,Total
Consistently Achieves All,48,199,141,93,51,41,"1,113",195,47,22,"1,950"
Consistently Achieves Some,7,54,1,2,4,1,120,31,11,1,232
Persistently Fails,1,2,2,1,0,0,8,2,0,0,16
Total,56,255,144,96,55,42,"1,241",228,58,23,2198


Table 3.2: PMR Ratings by Sex,,,,,,,,,,,

Table 3.2(a): Summary of PMR Ratings by Sex,,,,,,,,,,,
,Male,Female,Total,,,,,,,,
Consistently Achieves All,"1,377",573,"1,950",,,,,,,,
Consistently Achieves Some,153,79,232,,,,,,,,
Persistently Fails,9,7,16,,,,,,,,
Total,"1,539",659,2198,,,,,,,,


Table 3.2(b): PMR Ratings by Sex and Pay Band,,,,,,,
,AA,,AO,,EO,,
,Male,Female,Male,Female,Male,Female,
Consistently Achieves All,20,28,81,118,63,78,
Consistently Achieves Some,2,5,16,38,0,1,
Persistently Fails,1,0,2,0,1,1,
Total,23,33,99,156,64,80,

,HEO,,SEO,,Grade 7 - Grade 6,,
,Male,Female,Male,Female,Male,Female,
Consistently Achieves All,39,54,21,30,29,12,
Consistently Achieves Some,1,1,3,1,1,0,
Persistently Fails,0,1,0,0,0,0,
Total,40,56,24,31,30,12,

,DE,,SDE,,SE / ACDE / DCDE / CDE,,Totals
,Male,Female,Male,Female,Male,Female,Male,Female,Total
Consistently Achieves All,904,209,161,34,59,10,1377,573,1950
Consistently Achieves Some,93,27,27,4,10,2,153,79,232
Persistently Fails,3,5,2,0,0,0,9,7,16
Total,1000,241,190,38,69,12,1539,659,2198

Table 3.3: PMR Ratings by Race,,,,,,,,,

Table 3.3(a): Summary of PMR Ratings by Race,,,,,,,,,
,White,BME,Unknown,Total,,,,,
Consistently Achieves All,"1,756",71,123,"1,950",,,,,
Consistently Achieves Some,191,21,20,232,,,,,
Persistently Fails,14,2,0,16,,,,,
Total,"1,961",94,143,2198,,,,,


Table 3.3(b): PMR Ratings by Race and Pay Band,,,,,,,,,,
,AA - EO,,,HEO - SEO,,,Grade 7 - Grade 6,,,
,White,BME,Unknown,White,BME,Unknown,White,BME,Unknown,
Consistently Achieves All,356,12,20,129,8,7,40,0,1,
Consistently Achieves Some,52,5,5,4,1,1,1,0,0,
Persistently Fails,5,0,0,0,1,0,0,0,0,
Total,413,17,25,133,10,8,41,0,1,

,DE,,,SDE / SE / ACDE / DCDE / CDE,,,Totals,,,
,White,BME,Unknown,White,BME,Unknown,White,BME,Unknown,Total
Consistently Achieves All,991,41,81,240,10,14,1756,71,123,1950
Consistently Achieves Some,96,13,11,38,2,3,191,21,20,232
Persistently Fails,7,1,0,2,0,0,14,2,0,16
Total,1094,55,92,280,12,17,1961,94,143,2198

3.4: PMR Ratings by Disabled Status,,,,,,,,,,

Table 3.4(a): Summary of PMR Ratings by Disabled Status,,,,,,,,,
,Not disabled,Disabled,Disabled Status Unknown/ Undeclared,Total,,,,,
Consistently Achieves All,"1,651",175,124,"1,950",,,,,
Consistently Achieves Some,191,24,17,232,,,,,
Persistently Fails,13,2,1,16,,,,,
Total,"1,855",201,142,2198,,,,,


Table 3.4(b): PMR Ratings by Disabled Status and Pay Band,,,,,,,,,
,AA,,,AO,,,EO,,
,Not disabled,Disabled,Disabled Status Unknown/ Undeclared,Not disabled,Disabled,Disabled Status Unknown/ Undeclared,Not disabled,Disabled,Disabled Status Unknown/ Undeclared
Consistently Achieves All,42,5,1,161,21,17,109,26,6
Consistently Achieves Some,4,3,0,45,6,3,0,1,0
Persistently Fails,1,0,0,1,1,0,2,0,0
Total,47,8,1,207,28,20,111,27,6

,HEO,,,SEO / Grade 7 / Grade 6,,
,Not disabled,Disabled,Disabled Status Unknown/ Undeclared,Not disabled,Disabled,Disabled Status Unknown/ Undeclared
Consistently Achieves All,71,16,6,80,7,5
Consistently Achieves Some,1,0,1,3,1,1
Persistently Fails,1,0,0,0,0,0
Total,73,16,7,83,8,6

,DE,,,SDE,,
,Not disabled,Disabled,Disabled Status Unknown/ Undeclared,Not disabled,Disabled,Disabled Status Unknown/ Undeclared
Consistently Achieves All,960,78,75,171,13,11
Consistently Achieves Some,104,7,9,26,2,3
Persistently Fails,7,0,1,1,1,0
Total,1071,85,85,198,16,14

,SE / ACDE / DCDE / CDE,,,Totals,,
,Not disabled,Disabled,Disabled Status Unknown/ Undeclared,Not disabled,Disabled,Disabled Status Unknown/ Undeclared,Total
Consistently Achieves All,57,9,3,1651,175,124,1950
Consistently Achieves Some,8,4,0,191,24,17,232
Persistently Fails,0,0,0,13,2,1,16
Total,65,13,3,1855,201,142,2198


Table 3.5: PMR Ratings by Work Pattern,,,,,,,

,Full-time,Part-time,Total,,,,
Consistently Achieves All,"1,622",328,"1,950",,,,
Consistently Achieves Some,194,38,232,,,,
Persistently Fails,12,4,16,,,,
Total,"1,828",370,2198,,,,



4.  Learning and Development,,,,,,,,,,,

Tables in section 4 summarise data held by DSA on the training centrally recorded by staff in post between 1st April 2010 and 31st March 2011.,,,,,,,,,,,
"These records were matched to those for staff in post, so that analysis by diversity could be performed.",,,,,,,,,,,
Averages were calculated by dividing the number of training days recorded for a specific group by the number of members of staff in post in the same group.,,,,,,,,,,,

Table 4.1: Training Recorded by Pay Band,,,,,,,,,,,

,AA,AO,EO,HEO,SEO,Grade 7,Grade 6,DE,SDE,SE,ACDE / DCDE / CDE
Total Number of Training Days,28,156,222,171,144,58,9,3807,2132,699,59
Average Number of Training Days,0.3,0.57,1.44,1.61,2.18,1.57,0.9,2.63,8.49,10.43,2.46


Table 4.2: Training Recorded by Sex,,,,,,,,,,,

,Male,Female,
Total Number of Training Days,5927,1558,
Average Number of Training Days,3.36,2.03,


Table 4.3: Training Recorded by Race,,,

,White,BME,Unknown
Total Number of Training Days,6518,365,602
Average Number of Training Days,2.9,3.38,3.33


Table 4.4: Training Recorded by Disabled Status,,,

,Not disabled,Disabled,Disabled Status Unknown/ Undeclared
Total Number of Training Days,6346,439,700
Average Number of Training Days,2.98,2.04,3.78,,


5.  Cessations,,,,,

Tables in section 5 summarise data on staff who left DSA between 1st April 2010 and 31st March 2011. These staff were grouped by their reason for leaving:,,,,,
"Voluntary cessations can include: resignations, voluntary exit schemes, career breaks, and transfers to other government departments.",,,,,
"Other cessations can include: cessation due to the ending of a contract (casual/fixed term), retirement (including retirement for medical reasons), terminations ",,,,,
"of contracts, compulsory redundancies, deceased staff, and those who failed to complete a probation period.",,,,,

Table 5.1: Ceased Employment by Pay Band,,,,,

,AA - EO,HEO - Grade 6,DE,SDE / SE/ ACDE / DCDE / CDE,Total
Voluntary,15,6,13,2,36
Other,22,1,78,14,115
Total,37,7,91,16,151


Table 5.2: Ceased Employment by Sex,,,,

,Male,Female,Total,
Voluntary,24,12,36,
Other,87,28,115,


Table 5.3: Ceased Employment by Race,,,,

,White,BME,Unknown,Total
Voluntary,33,1,2,36
Other,97,7,11,115
Total,130,8,13,151


Table 5.4: Ceased Employment by Disabled Status,,,,

,Not disabled,Disabled,Disabled Status Unknown/ Undeclared,Total
Voluntary,24,2,10,29
Other,87,7,21,11
Total,111,9,31,151


6. Sickness Absence,,,,

Tables in section 6 summarise data recorded by DSA Human Resources on the incidences of sickness absence taken between 1st April 2010 and 31st March 2011.,,,,
"These records were matched with those for staff in post (including those on long term sickness, but excluding those on other long term leave), to allow diversity analysis to be performed.",,,,

"Please note that where individual members of staff have taken substantial periods of sick leave, this may have a significant impact upon the average figures for their group.",,,,

Table 6.1: Sickness Absence by Pay Band,,,,,,,,,,,

,AA,AO,EO,HEO,SEO,Grade 6&7,DE,SDE,SE,ACDE/DCDE/CDE,Total
Total days taken as sickness absence (days),"1,383","3,199","1,113",723,517,192,16286,"1,784",127,53,25377
Average days taken as sickness absence (days),14.6,11.4,7.2,6.8,7.6,4,11,6.9,1.9,2.2,9.8


Table 6.2: Sickness Absence by Sex,,,,,,,,,,,

,Male,Female,,,,,,,,,
Total days taken as sickness absence (days),"15,249","10,128",,,,,,,,,
Average days taken as sickness absence (days),8.485809683,12.88549618,,,,,,,,,


Table 6.3: Sickness Absence by Race,,,,,,,,,,,

,White,BME,Unknown/ Undeclared
Total days taken as sickness absence (days),"23,137","1,018","1,222"
Average days taken as sickness absence (days),10.09908337,9.339449541,6.677595628


Table 6.4: Sickness Absence by Disability,,,

,Not disabled,Disabled,Disabled Status Unknown/ Undeclared
Total days taken as sickness absence (days),"19,771","4,196","1,410"
Average days taken as sickness absence (days),9.115260489,18.4845815,7.540106952


Table 6.5: Sickness Absence by Work Pattern,,,

,Full-time,Part-time,
Total days taken as sickness absence (days),"20,018","5,359",
Average days taken as sickness absence (days),9.473734027,11.40212766
