Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Fees Planning,LEIGH & GLENNIE LTD,,Micro,,2100000530,#,SL5 9EA,470.40,
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Fees Planning,MR C J CHECKLEY,,Micro,,2100000533,#,NE46 2PT,840.00,
Communities & Local Government,PINS,02/05/2012,NSI Fees & Expenses,NSI Fees Planning,STEP CONSULTANCY LTD,,Micro,,2100000428,#,BN8 5DW,"1,344.00",
Communities & Local Government,PINS,02/05/2012,Legal Fees,IPC (agreed pre-integration),LONDON PENSIONS FUND AUTHORITY,,Data Not Provided,,5106178531,Legal Fees for IPC,EC3N 4LP,655.50,
Communities & Local Government,PINS,02/05/2012,Legal Fees,IPC (agreed pre-integration),LONDON PENSIONS FUND AUTHORITY,,Data Not Provided,,5106178532,Legal fees for IPC,EC3N 4LP,"1,941.00",
Communities & Local Government,PINS,04/05/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106178610,Paper supplies,NR3 1PD,650.30,
Communities & Local Government,PINS,04/05/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106178631,Extension 16/04/12-08/06/12,SL6 1DP,"2,992.26",
Communities & Local Government,PINS,04/05/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106178652,Extension 16/04/12-08/06/12,SL6 1DP,"2,992.26",
Communities & Local Government,PINS,04/05/2012,Steady State Service Provision,Human Resources,LOGICA IT SERVICES UK LTD,,Large,,5106178620,Payroll Services,CF31 9AP,"4,082.02",
Communities & Local Government,PINS,04/05/2012,Steady State Service Provision,Human Resources,LOGICA IT SERVICES UK LTD,,Large,,5106178623,Payroll Services,CF31 9AP,439.16,
Communities & Local Government,PINS,04/05/2012,IT - Service Contracts,ICT,INFORMED SOLUTIONS LTD,,Data Not Provided,,2100000600,Find my consultee 01/04/12 - 30/11/12,WA14 4PA,"-8,283.75",
Communities & Local Government,PINS,04/05/2012,IT - Service Contracts,ICT,INFORMED SOLUTIONS LTD,,Data Not Provided,,5106178502,Find my consultee 01/04/12 - 30/11/12,WA14 4PA,"8,283.75",
Communities & Local Government,PINS,04/05/2012,IT SUPPORT,ICT,CAPITA RESOURCING LTD,,Large,,5106178634,Fabasoft Upgrade - Specialist Contractor,SL6 1DP,"1,513.51",
Communities & Local Government,PINS,04/05/2012,IT - Service Contracts,IPC (agreed pre-integration),INFORMED SOLUTIONS LTD,,Data Not Provided,,2100000600,Find my consultee 01/12/11 - 31/03/12,WA14 4PA,"-2,761.25",
Communities & Local Government,PINS,04/05/2012,IT - Service Contracts,IPC (agreed pre-integration),INFORMED SOLUTIONS LTD,,Data Not Provided,,5106178502,Find my consultee 01/12/11 - 31/03/12,WA14 4PA,"2,761.25",
Communities & Local Government,PINS,04/05/2012,Legal Fees,IPC (agreed pre-integration),BIRCHAM DYSON BELL,,Data Not Provided,,5106178636,Legal Fees for IPC,SW1H 0BL,"11,048.40",
Communities & Local Government,PINS,08/05/2012,Mobile phone costs,Admin Support,VODAFONE UK,,Large,,5106178680,Mobile phone charges for LWPS + CREDIT,NG24 2EG,"4,133.08",
Communities & Local Government,PINS,08/05/2012,Mobile phone costs,Casework & Plans Director,VODAFONE UK,,Large,,5106178680,Mobile phone charges for LWPS,NG24 2EG,"2,937.60",
Communities & Local Government,PINS,08/05/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106178678,Postage Costs,S49 1HQ,"9,000.00",
Communities & Local Government,PINS,08/05/2012,NSI Fees & Expenses,NSI Expenses Planning,S P PLANNING,,Small,,2100000550,#,EC1M 5QA,29.70,
Communities & Local Government,PINS,08/05/2012,NSI Fees & Expenses,NSI Expenses Planning,URBAN RURAL PLANNING ASSCN LTD,,Micro,,2100000537,#,PL14 6AF,151.18,
Communities & Local Government,PINS,08/05/2012,NSI Fees & Expenses,NSI Fees Planning,S P PLANNING,,Small,,2100000550,#,EC1M 5QA,"2,016.00",
Communities & Local Government,PINS,08/05/2012,NSI Fees & Expenses,NSI Fees Planning,URBAN RURAL PLANNING ASSCN LTD,,Micro,,2100000537,#,PL14 6AF,"1,008.00",
Communities & Local Government,PINS,08/05/2012,Agency Staff,IPC (agreed pre-integration),CAPITA RESOURCING LTD,,Large,,5106178688,Temporary staff for the IPC,SL6 1DP,779.72,
Communities & Local Government,PINS,09/05/2012,Courier Services,Estates,CITY LINK,,Large,,5106178725,City Link Postage,WA4 4SN,"1,750.03",
Communities & Local Government,PINS,09/05/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106178730,Royal Mail Post,S49 1HQ,"2,598.19",
Communities & Local Government,PINS,09/05/2012,Vehicle hire,Inspector Costs,ENTERPRISE RENT A CAR,,Large,,5106178759,Car Hire - Inspector Costs,SO23 0LD,"7,266.80",
Communities & Local Government,PINS,09/05/2012,Agency Staff,IPC (agreed pre-integration),CAPITA RESOURCING LTD,,Large,,5106178723,Temporary staff for IPC,SL6 1DP,894.24,
Communities & Local Government,PINS,09/05/2012,Agency Staff,IPC (agreed pre-integration),CAPITA RESOURCING LTD,,Large,,5106178763,Temporary staff for IPC,SL6 1DP,779.72,
Communities & Local Government,PINS,09/05/2012,Vehicle hire,ROW New Work,ENTERPRISE RENT A CAR,,Large,,5106178759,Car Hire - ROW New Work,SO23 0LD,222.90,
Communities & Local Government,PINS,09/05/2012,Vehicle hire,Wales Director,ENTERPRISE RENT A CAR,,Large,,5106178759,Car Hire - PINS Wales,SO23 0LD,758.51,
Communities & Local Government,PINS,11/05/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106178766,Ink Cartridges,NG11 7EP,"1,651.32",
Communities & Local Government,PINS,11/05/2012,Accommodation Service Charges,Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106178793,TFM contract for TQH until 30/09/12,WD24 4WW,"187,386.62",
Communities & Local Government,PINS,11/05/2012,IT - Service Contracts,ICT,INFORMED SOLUTIONS LTD,,Data Not Provided,,5106178806,Find my Consultee - 01/04/12 - 30/11/12,WA14 4PA,"8,283.75",
Communities & Local Government,PINS,11/05/2012,Mobile phone costs,ICT,ORANGE (AIRTIME/LINE RENTAL),,Large,,5106178816,Mobile Contracts,S99 6LU,"1,077.55",
Communities & Local Government,PINS,11/05/2012,NSI Fees & Expenses,NSI Expenses Planning,CHRIS THOMAS PLANNING,,Data Not Provided,,2100000639,#,CH6 5QE,104.55,
Communities & Local Government,PINS,11/05/2012,NSI Fees & Expenses,NSI Expenses Planning,D C PLANNING LTD,,Data Not Provided,,2100000641,#,BH14 8AL,242.94,
Communities & Local Government,PINS,11/05/2012,NSI Fees & Expenses,NSI Expenses Planning,MR WILL FIELDHOUSE,,Micro,,2100000642,#,S10 2NQ,244.55,
Communities & Local Government,PINS,11/05/2012,NSI Fees & Expenses,NSI Fees Planning,CHRIS THOMAS PLANNING,,Micro,,2100000639,#,CH6 5QE,"1,400.00",
Communities & Local Government,PINS,11/05/2012,NSI Fees & Expenses,NSI Fees Planning,D C PLANNING LTD,,Micro,,2100000641,#,BH14 8AL,"4,166.40",
Communities & Local Government,PINS,11/05/2012,NSI Fees & Expenses,NSI Fees Planning,MR WILL FIELDHOUSE,,Micro,,2100000642,#,S10 2NQ,"1,064.00",
Communities & Local Government,PINS,11/05/2012,IT - Service Contracts,IPC (agreed pre-integration),INFORMED SOLUTIONS LTD,,Data Not Provided,,5106178806,Find my Consultee - 01/12/11 - 31/03/12,WA14 4PA,"2,761.25",
Communities & Local Government,PINS,11/05/2012,Mobile phone costs,IPC (agreed pre-integration),ORANGE (AIRTIME/LINE RENTAL),,Large,,5106178816,Mobile Contracts for IPC,S99 6LU,37.72,
Communities & Local Government,PINS,11/05/2012,Office machinery consumables,IPC (agreed pre-integration),X M A LTD,,Data Not Provided,,5106178779,Ink Cartridges for IPC,NG11 7EP,743.95,
Communities & Local Government,PINS,14/05/2012,Courier Services,Estates,CITY LINK,,Large,,5106178862,City Link Postage,WA4 4SN,"1,825.97",
Communities & Local Government,PINS,14/05/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106178852,Non VAT charges,S49 1HQ,10.32,
Communities & Local Government,PINS,14/05/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106178852,Royal Mail Post,S49 1HQ,"2,856.11",
Communities & Local Government,PINS,14/05/2012,Translations,National Infrastructure Director,TROSOL CYFYNGEDIG,,Small,,5106178854,Welsh translation for NID,CF14 5GH,844.42,
Communities & Local Government,PINS,14/05/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,ALAN J ENGLEY & ASSOCIATES,,Micro,,2100000694,#,BS37 6SN,150.30,
Communities & Local Government,PINS,14/05/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,BRIAN G CRANE & ASSOCIATES,,Micro,,2100000538,#,SG13 9EL,218.52,
Communities & Local Government,PINS,14/05/2012,NSI Fees & Expenses,NSI Expenses Planning,MR WILL FIELDHOUSE,,Micro,,2100000683,#,S10 2NQ,250.65,
Communities & Local Government,PINS,14/05/2012,NSI Fees & Expenses,NSI Expenses Planning,SIMON MILES PLANNING,,Micro,,2100000692,#,EX20 4JW,616.08,
Communities & Local Government,PINS,14/05/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,ALAN J ENGLEY & ASSOCIATES,,Micro,,2100000694,#,BS37 6SN,"1,256.64",
Communities & Local Government,PINS,14/05/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,BRIAN G CRANE & ASSOCIATES,,Micro,,2100000538,#,SG13 9EL,"1,518.48",
Communities & Local Government,PINS,14/05/2012,NSI Fees & Expenses,NSI Fees Planning,MR WILL FIELDHOUSE,,Micro,,2100000683,#,S10 2NQ,"1,064.00",
Communities & Local Government,PINS,14/05/2012,NSI Fees & Expenses,NSI Fees Planning,SIMON MILES PLANNING,,Micro,,2100000692,#,EX20 4JW,"4,704.00",
Communities & Local Government,PINS,14/05/2012,Legal Fees,Wales Director,TREASURY SOLICITORS DEPT,,Public Bodies,,5106178849,Solicitors Fees for PINS Wales,WC2B 4TS,"1,103.40",
Communities & Local Government,PINS,14/05/2012,Translations,Wales Director,TROSOL CYFYNGEDIG,,Small,,5106178855,Welsh translation for PINS Wales,CF14 5GH,"2,776.80",
Communities & Local Government,PINS,15/05/2012,Conferences and Meeting Facilities,Common Land,OTS BACS VENDOR,,Not assigned,,2100000697,Public Enquiry 17/4 - 20/4/13,#,"2,562.00",
Communities & Local Government,PINS,15/05/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106178921,Inspector Competence - Framework Review,SL6 1DP,"2,992.26",
Communities & Local Government,PINS,15/05/2012,IT - Software Maintenance,ICT,SOFTCAT LTD,,Large,,5106178902,Support for PGP Upgrade,SL7 1TB,"1,440.00",
Communities & Local Government,PINS,15/05/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,MR B J UNWIN,,Micro,,2100000695,#,GL20 6BD,127.98,
Communities & Local Government,PINS,15/05/2012,NSI Fees & Expenses,NSI Expenses Planning,LEIGH & GLENNIE LTD,,Micro,,2100000696,#,SL5 9EA,172.84,
Communities & Local Government,PINS,15/05/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,MR B J UNWIN,,Micro,,2100000695,#,GL20 6BD,"1,404.48",
Communities & Local Government,PINS,15/05/2012,NSI Fees & Expenses,NSI Fees Planning,LEIGH & GLENNIE LTD,,Micro,,2100000696,#,SL5 9EA,"1,512.00",
Communities & Local Government,PINS,16/05/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106178928,White A4 Paper,NR3 1PD,650.30,
Communities & Local Government,PINS,16/05/2012,NSI Fees & Expenses,NSI Expenses Planning,GARY DEANE ASSOCIATES,,Micro,,2100000730,#,M33 6RG,807.78,
Communities & Local Government,PINS,16/05/2012,NSI Fees & Expenses,NSI Expenses Planning,MR D KAISERMAN,,Micro,,2100000733,#,SK9 1QZ,144.15,
Communities & Local Government,PINS,16/05/2012,NSI Fees & Expenses,NSI Fees Planning,GARY DEANE ASSOCIATES,,Micro,,2100000730,#,M33 6RG,"2,520.00",
Communities & Local Government,PINS,16/05/2012,NSI Fees & Expenses,NSI Fees Planning,MR D KAISERMAN,,Micro,,2100000733,#,SK9 1QZ,"2,380.00",
Communities & Local Government,PINS,16/05/2012,Agency Staff,IPC (agreed pre-integration),REED SPECIALIST RECRUITMENT LTD,,Large,,5106178932,Temporary Staff for IPC,NN1 1UE,700.36,
Communities & Local Government,PINS,16/05/2012,Agency Staff,IPC (agreed pre-integration),REED SPECIALIST RECRUITMENT LTD,,Large,,5106178933,Temporary Staff for IPC,NN1 1UE,753.48,
Communities & Local Government,PINS,16/05/2012,Training,IPC (agreed pre-integration),OTS BACS VENDOR,,Not assigned,,2100000714,,#,"1,119.75",
Communities & Local Government,PINS,16/05/2012,Training,IPC (agreed pre-integration),OTS BACS VENDOR,,Not assigned,,2100000715,,#,"1,396.63",
Communities & Local Government,PINS,16/05/2012,Translations,IPC (agreed pre-integration),BIG WORD,,Medium,,5106178947,Welsh Tranlsation for IPC,LS12 6AB,460.36,
Communities & Local Government,PINS,17/05/2012,Publications,Communications,DURRANTS LTD,,Large,,5106179035,Publications,EC1Y 8QE,786.54,
Communities & Local Government,PINS,17/05/2012,Vehicle hire,Energy,ARVAL,,Large,,5106179071,Car Hire,SN5 6PE,157.54,
Communities & Local Government,PINS,17/05/2012,Courier Services,Estates,CITY LINK,,Large,,5106179049,City Link Postage,WA4 4SN,"1,777.64",
Communities & Local Government,PINS,17/05/2012,Rates,Estates,BRISTOL CITY COUNCIL,,Public Bodies,,5106179040,Buisness Rates for Temple Quay House,BS99 1SD,"129,156.00",
Communities & Local Government,PINS,17/05/2012,Vehicle hire,Group Managers,ENTERPRISE RENT-A-CAR,,Large,,5106179072,Car Hire Group Managers,TW20 8RX,33.95,
Communities & Local Government,PINS,17/05/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106178442,MFD costs,TW13 7HG,"2,407.02",
Communities & Local Government,PINS,17/05/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106178444,MFD costs,TW13 7HG,"2,472.97",
Communities & Local Government,PINS,17/05/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106178446,MFD costs,TW13 7HG,574.74,
Communities & Local Government,PINS,17/05/2012,Vehicle hire,Inspector Costs,ENTERPRISE RENT-A-CAR,,Large,,5106179072,Car Hire Inspectors,TW20 8RX,"5,202.29",
Communities & Local Government,PINS,17/05/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,ALDERWOOD CONSULTING LTD,,Micro,,2100000736,#,SO19 7GU,100.98,
Communities & Local Government,PINS,17/05/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,ALDERWOOD CONSULTING LTD,,Micro,,2100000742,#,SO19 7GU,100.98,
Communities & Local Government,PINS,17/05/2012,NSI Fees & Expenses,NSI Expenses Planning,STEP CONSULTANCY LTD,,Micro,,2100000741,#,BN8 5DW,209.70,
Communities & Local Government,PINS,17/05/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,ALDERWOOD CONSULTING LTD,,Micro,,2100000736,#,SO19 7GU,739.20,
Communities & Local Government,PINS,17/05/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,ALDERWOOD CONSULTING LTD,,Micro,,2100000742,#,SO19 7GU,739.20,
Communities & Local Government,PINS,17/05/2012,NSI Fees & Expenses,NSI Fees Planning,STEP CONSULTANCY LTD,,Micro,,2100000741,#,BN8 5DW,"1,680.00",
Communities & Local Government,PINS,17/05/2012,Travel and Subsistence Account,IPC (agreed pre-integration),REDFERN TRAVEL LIMITED,,Small,,5106179070,Travel for IPC,BD1 3AZ,404.40,
Communities & Local Government,PINS,17/05/2012,Travel and Subsistence Account,IPC (agreed pre-integration),REDFERN TRAVEL LIMITED,,Small,,5106179070,Travel for IPC non vat charges,BD1 3AZ,"9,190.74",
Communities & Local Government,PINS,17/05/2012,Vehicle hire,IPC (agreed pre-integration),ARVAL,,Large,,5106179071,IPC Car Hire,SN5 6PE,467.60,
Communities & Local Government,PINS,17/05/2012,Vehicle hire,ROW,ENTERPRISE RENT-A-CAR,,Large,,5106179072,Car Hire ROW,TW20 8RX,364.43,
Communities & Local Government,PINS,17/05/2012,Vehicle hire,"Transport, Water and Waste",ENTERPRISE RENT-A-CAR,,Large,,5106179072,Car Hire NID,TW20 8RX,263.50,
Communities & Local Government,PINS,17/05/2012,Vehicle hire,Wales Director,ENTERPRISE RENT-A-CAR,,Large,,5106179072,Car Hire PINS Wales,TW20 8RX,723.88,
Communities & Local Government,PINS,18/05/2012,Advertising,Common Land,PENNA PLC,,Large,,5106179079,Statutory Advertising,EC4M 7RD,613.92,
Communities & Local Government,PINS,18/05/2012,Facilities Management (ISD use only),Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106179107,Re-stack of TQH,WD24 4WW,"52,954.54",
Communities & Local Government,PINS,18/05/2012,Facilities Management (ISD use only),Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106179108,Re-stack of TQH,WD24 4WW,"-2,050.10",
Communities & Local Government,PINS,18/05/2012,Online Database Information Retrieval,ICT,THOMSON REUTERS (PROFESSIONAL) UK L,,Large,,5106179073,IPC - Westlaw UK Services,SP10 9AH,"4,308.01",
Communities & Local Government,PINS,18/05/2012,NSI Fees & Expenses,NSI Expenses Planning,CATALYS CONSULTING,,Micro,,2100000746,#,CM7 1BH,185.04,
Communities & Local Government,PINS,18/05/2012,NSI Fees & Expenses,NSI Expenses Planning,MR D KAISERMAN,,Micro,,2100000750,#,SK9 1QZ,319.25,
Communities & Local Government,PINS,18/05/2012,NSI Fees & Expenses,NSI Fees Planning,CATALYS CONSULTING,,Micro,,2100000746,#,CM7 1BH,"1,192.80",
Communities & Local Government,PINS,18/05/2012,NSI Fees & Expenses,NSI Fees Planning,MR D KAISERMAN,,Micro,,2100000750,#,SK9 1QZ,"3,640.00",
Communities & Local Government,PINS,18/05/2012,NSI Fees & Expenses,NSI Fees Planning,TYLER PARKES PARTNERSHIP,,Micro,,2100000747,#,B90 2LP,"2,352.00",
Communities & Local Government,PINS,18/05/2012,NSI Fees & Expenses,NSI Fees Planning,W S C WADRUP INDEPENDENT CONS LTD,,Micro,,2100000752,#,MK43 7DU,"4,435.20",
Communities & Local Government,PINS,18/05/2012,Agency Staff,IPC (agreed pre-integration),REED SPECIALIST RECRUITMENT LTD,,Large,,5106179091,Temporary staff in IPC,NN1 1UE,739.00,
Communities & Local Government,PINS,18/05/2012,IT SUPPORT,IPC (agreed pre-integration),DCLG,,Public Bodies,,5106179077,IPC - Support services,HP2 4XN,"4,200.00",
Communities & Local Government,PINS,18/05/2012,IT SUPPORT,IPC (agreed pre-integration),DCLG,,Public Bodies,,5106179089,IPC - Support Services,HP2 4XN,"147,613.06",
Communities & Local Government,PINS,18/05/2012,Notional Internal Audit Services (IAS),IPC (agreed pre-integration),MOORE STEPHENS,,Large,,2100000777,Moore Stephens 211823,EC1A 4AB,856.02,
Communities & Local Government,PINS,18/05/2012,Steady State Service Provision,IPC (agreed pre-integration),LOGICA IT SERVICES UK LTD,,Large,,5106179097,IPC - Payroll services,CF31 9AP,428.50,
Communities & Local Government,PINS,18/05/2012,Vehicle hire,IPC (agreed pre-integration),ARVAL,,Large,,5106179110,IPC car rental,SN5 6PE,601.46,
Communities & Local Government,PINS,18/05/2012,Legal Fees,Quality Assurance Unit,TREASURY SOLICITORS DEPT,,Public Bodies,,5106179134,Disbersements (0% VAT),WC2B 4TS,11.00,
Communities & Local Government,PINS,18/05/2012,Legal Fees,Quality Assurance Unit,TREASURY SOLICITORS DEPT,,Public Bodies,,5106179134,"Fees, charges & dispersements",WC2B 4TS,"57,702.80",
Communities & Local Government,PINS,18/05/2012,Advertising,ROW,PENNA PLC,,Large,,5106179082,Statutory Advert,EC4M 7RD,894.02,
Communities & Local Government,PINS,21/05/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106179160,toner cartridges C8543X,NG11 7EP,"2,050.56",
Communities & Local Government,PINS,21/05/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106179158,Non VAT charges,S49 1HQ,1.68,
Communities & Local Government,PINS,21/05/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106179158,Royal Mail Post,S49 1HQ,"1,979.84",
Communities & Local Government,PINS,21/05/2012,Online Database Information Retrieval,Library,THOMSON REUTERS,,Large,,5106179165,Westlaw UK Services,SP10 9AF,"2,538.00",
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,MR I R MURAT,,Micro,,2100000796,#,WA16 6BY,438.78,
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Expenses Planning,DLP PLANNING,,Micro,,2100000780,#,MK40 3NF,151.20,
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Expenses Planning,GARY DEANE ASSOCIATES,,Micro,,2100000793,#,M33 6RG,555.18,
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Expenses Planning,JDA DEVELOPMENT & PLANNING SERVICE,,Micro,,2100000795,#,TA14 6PT,378.90,
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Expenses Planning,MARTIN CHAMPION,,Micro,,2100000794,#,KT24 5HH,78.60,
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Expenses Planning,MUSTON PLANNING,,Micro,,2100000800,#,BA1 7UD,201.96,
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,MR I R MURAT,,Micro,,2100000796,#,WA16 6BY,"1,848.00",
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Fees Planning,DLP PLANNING,,Micro,,2100000780,#,MK40 3NF,"1,999.20",
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Fees Planning,GARY DEANE ASSOCIATES,,Micro,,2100000793,#,M33 6RG,"2,956.80",
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Fees Planning,JDA DEVELOPMENT & PLANNING SERVICE,,Micro,,2100000795,#,TA14 6PT,"2,800.00",
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Fees Planning,MARTIN CHAMPION,,Micro,,2100000794,#,KT24 5HH,"3,255.00",
Communities & Local Government,PINS,21/05/2012,NSI Fees & Expenses,NSI Fees Planning,MUSTON PLANNING,,Micro,,2100000800,#,BA1 7UD,"3,696.00",
Communities & Local Government,PINS,21/05/2012,Agency Staff,IPC (agreed pre-integration),GALLOIS GEOLOGICAL CONSULTANCY,,Micro,,5106179147,IPC - Specialist Advisor,EX4 5ER,"1,983.00",
