Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,SOUTH YORKS PASSENGER TRANS EXEC,,,,2100208195,090_000000022607,S1 2BQ,"86,072.36",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,ART (ASTON REINVESTMENT TRUST),,Small,,2100208244,080/XFS/SL9021,B6 4EA,"35,812.50",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,PRINCE'S TRUST,,Medium,,2100208248,080/XFS/SL9022,DY9 8QH,"45,600.00",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,WASTE & RESOURCES ACTION PROG'M,,Small,,2100208245,080/XER/SD9001B,OX16 0AH,"158,222.00",
Communities & Local Government,DCLG,03/10/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,ADVANTAGE WEST MIDLANDS,,Medium,,2100208243,080/FS/SP7008B,B7 4BN,"750,000.00",
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BARKING & DAGENHAM LB,,,,5000175501,Grant Payable by Exchequer,RM10 7BY,"-2,408,327.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BARNSLEY MBC,,,,5000175521,Grant Payable by Exchequer,S70 2AQ,"-2,232,758.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BIRMINGHAM CITY CNCL,,,,5000175611,Grant Payable by Exchequer,B3 3AB,"-18,024,100.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BLACKBURN WITH DARWEN BC,,,,5000175626,Grant Payable by Exchequer,BB1 7DY,"-2,001,481.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BLACKPOOL BC,,,,5000175636,Grant Payable by Exchequer,FY1 1NA,"-2,162,889.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BOLTON MBC,,,,5000175656,Grant Payable by Exchequer,BL1 1RU,"-3,923,366.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BRADFORD MBC,,,,5000175696,Grant Payable by Exchequer,BD1 1HX,"-6,106,844.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BRENT LB,,,,5000175731,Grant Payable by Exchequer,HA9 9EZ,"-4,394,201.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BRENT LB,,,,5000175736,Grant Payable by Exchequer,HA9 9EZ,"-23,648.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,BURY MBC,,,,5000175840,Grant Payable by Exchequer,BL9 0SP,"-2,314,744.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,CALDERDALE MBC,,,,5000175850,Grant Payable by Exchequer,HX1 1YP,"-2,568,221.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,COVENTRY CITY CNCL,,,,5000176107,Grant Payable by Exchequer,CV1 2QL,"-5,031,816.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,DARLINGTON BC,,,,5000175412,Grant Payable by Exchequer,TS19 1JA,"-1,474,367.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,DERBY CITY CNCL,,,,5000175442,Grant Payable by Exchequer,DE1 2FS,"-3,837,423.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,DONCASTER MBC,,,,5000175488,Grant Payable by Exchequer,DN1 2PN,"-3,711,175.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,DUDLEY MBC,,,,5000175524,Grant Payable by Exchequer,DY1 1HF,"-4,202,726.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,EAST RIDING OF YORKS,,,,5000175628,Grant Payable by Exchequer,HU17 9AB,"-3,621,165.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,ENFIELD LB,,,,5000175697,Grant Payable by Exchequer,EN1 3XF,"-4,526,974.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,GATESHEAD MBC,,,,5000175812,Grant Payable by Exchequer,NE8 1HH,"-3,810,435.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,GREENWICH LB,,,,5000175883,Grant Payable by Exchequer,SE18 6RA,"-2,701,499.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF HACKNEY,,,,5000175905,Grant Payable by Exchequer,E8 4RU,"-3,538,691.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,HALTON BC,,,,5000175915,Grant Payable by Exchequer,WA8 7QF,"-2,088,778.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,HARINGEY LB,,,,5000175974,Grant Payable by Exchequer,N22 7TR,"-2,773,967.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,HARROW LB,,,,5000176004,Grant Payable by Exchequer,HA1 2UZ,"-2,174,733.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,HARTLEPOOL BOROUGH COUNCIL,,,,5000176019,Grant Payable by Exchequer,TS24 7BT,"-1,210,169.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,HEREFORDSHIRE DISTRICT COUNCIL,,,,5000176070,Grant Payable by Exchequer,HR1 1SH,"-2,028,173.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,ISLE OF WIGHT CNCL,,,,5000175425,Grant Payable by Exchequer,PO30 1UD,"-1,513,100.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,ISLES OF SCILLY COUNCIL,,,,5000175445,Grant Payable by Exchequer,TR21 0LW,"-58,689.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,HULL CITY COUNCIL,,,,5000175510,Grant Payable by Exchequer,HU1 2AA,"-4,236,448.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,KIRKLEES MBC,,,,5000175530,Grant Payable by Exchequer,HD1 2YU,"-4,706,317.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,KNOWSLEY MBC,,,,5000175534,Grant Payable by Exchequer,L36 9YZ,"-1,732,595.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF LAMBETH,,,,5000175543,Grant Payable by Exchequer,SW2 1RL,"-4,990,042.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,LEICESTER CITY CNCL,,,,5000175594,Grant Payable by Exchequer,LE1 6ZG,"-4,679,057.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,LEWISHAM LB,,,,5000175629,Grant Payable by Exchequer,SE6 4RU,"-2,167,147.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,LIVERPOOL CITY COUNCIL,,,,5000175669,Grant Payable by Exchequer,L1 6JD,"-8,243,024.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,LUTON BC,,,,5000175674,Grant Payable by Exchequer,LU1 1DX,"-2,898,482.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,MIDDLESBROUGH BC,,,,5000175823,Grant Payable by Exchequer,TS1 9GA,"-1,858,198.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF NEWHAM,,Large,,5000175902,Grant Payable by Exchequer,E16 2QU,"-3,874,393.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,NORTH TYNESIDE MBC,,,,5000176010,Grant Payable by Exchequer,NE30 1AE,"-2,552,591.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,NOTTINGHAM CITY COUNCIL,,,,5000176073,Grant Payable by Exchequer,NG1 7DW,"-5,561,108.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,OLDHAM MBC,,,,5000176129,Grant Payable by Exchequer,OL1 1UH,"-2,613,946.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,PLYMOUTH CITY CNCL,,,,5000175424,Grant Payable by Exchequer,PL1 2AA,"-3,863,294.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,LONDON BOROUGH OF REDBRIDGE,,,,5000175487,Grant Payable by Exchequer,IG1 1NN,"-2,367,906.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,REDCAR & CLEVELAND BOROUGH COUNCIL,,,,5000175497,Grant Payable by Exchequer,TS6 9AR,"-2,178,232.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,ROCHDALE MBC,,,,5000175560,Grant Payable by Exchequer,OL16 1LQ,"-2,796,067.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,ROTHERHAM MBC,,,,5000175600,Grant Payable by Exchequer,S65 1UF,"-3,068,751.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,SALFORD CITY CNCL,,,,5000175668,Grant Payable by Exchequer,M27 5AW,"-3,681,931.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,SANDWELL MBC,,,,5000175673,Grant Payable by Exchequer,B69 3BS,"-4,129,768.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,SEFTON MBC,,,,5000175709,Grant Payable by Exchequer,L20 3NQ,"-3,117,344.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,SHEFFIELD CITY CNCL,,,,5000175738,Grant Payable by Exchequer,S1 1UR,"-9,052,917.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,SOUTH TYNESIDE COUNCIL,,,,5000175939,Grant Payable by Exchequer,NE33 2RL,"-1,281,324.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,SOUTHEND ON SEA BC,,,,5000175967,Grant Payable by Exchequer,SS2 6EP,"-2,099,874.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,ST HELENS MBC,,,,5000176017,Grant Payable by Exchequer,WA10 1HP,"-2,165,419.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,STOKE ON TRENT CITY COUNCIL,,,,5000176088,Grant Payable by Exchequer,ST4 1RJ,"-3,768,386.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,SUNDERLAND DC,,,,5000176139,Grant Payable by Exchequer,SR2 7DN,"-3,767,423.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,TAMESIDE MBC,,,,5000175453,Grant Payable by Exchequer,OL6 6DL,"-2,564,302.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,TORBAY BC,,,,5000175592,Grant Payable by Exchequer,TQ1 3DR,"-1,652,249.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,WALSALL MBC,,,,5000175690,Grant Payable by Exchequer,WS1 1TW,"-3,062,118.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,WALTHAM FOREST LB,,,,5000175695,Grant Payable by Exchequer,E17 4JA,"-2,368,086.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,WANDSWORTH LB,,,,5000175710,Grant Payable by Exchequer,SW18 2PU,"-4,577,526.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,WIGAN MBC,,,,5000175931,Grant Payable by Exchequer,WN1 1YD,"-3,489,268.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,WIRRAL MBC,,,,5000175966,Grant Payable by Exchequer,L41 6BU,"-3,021,484.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,WOLVERHAMPTON MBC,,,,5000175996,Grant Payable by Exchequer,WV1 1RL,"-3,179,667.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,CORNWALL COUNCIL,,,,5000176106,Grant Payable by Exchequer,TR1 3AY,"-6,540,062.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,DURHAM COUNTY COUNCIL,,,,5000176116,Grant Payable by Exchequer,DH1 5UE,"-4,854,723.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,NORTHUMBERLAND,,,,5000176126,Grant Payable by Exchequer,NE61 2EF,"-3,234,199.00",Yes
Communities & Local Government,DCLG,03/10/2011,NNDR Billing Authorities Receipts,Treasury,SHROPSHIRE COUNCIL,,Large,,5000176136,Grant Payable by Exchequer,SY2 6ND,"-3,306,770.00",Yes
Communities & Local Government,DCLG,03/10/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,Large,,5106169239,20%New Dimension - Consumables,NG15 0DR,"16,325.65",
Communities & Local Government,DCLG,03/10/2011,Travel and Subsistence Account,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,,,,5106169291,Ministerial Cars,SW8 5AX,774.00,
Communities & Local Government,DCLG,03/10/2011,Office Supplies,Neighbourhoods,BANNER BUSINESS SUPPLIES LTD,,Large,,5106169232,BANNER A4 RECY SIDE SPIRAL N/BOOK,NR3 1PD,8.31,
Communities & Local Government,DCLG,03/10/2011,Current Grants to Non Profit Bodies,Neighbourhoods,COALFIELDS REGENERATION TRUST,Yes,Small,,2100207694,Regeneration of Coalfields,S63 7WX,"377,749.00",Yes
Communities & Local Government,DCLG,03/10/2011,Publications,Finance & Corporate Services,CREDO REFERENCE LIMITED,,Micro,,5106169278,Credo Reference 2011-2012,OX2 7HT,"1,706.40",
Communities & Local Government,DCLG,03/10/2011,Training,Finance & Corporate Services,NATIONAL SCHOOL OF GOVERNMENT,,,,5106169285,2010-11 Audit trainees course & exam fee,SL5 0QE,"1,230.00",
Communities & Local Government,DCLG,03/10/2011,Cap Grants to Local Authorities (DEL),Neighbourhoods,OLYMPIC PARK LEGACY COMPANY,,,,2100208253,Capital Costs relating to planning - 2nd claim,E15 4PH,"1,445,771.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON & SOMERSET POLICE AUTHORITY,,,,5000175471,Grant Payable by Exchequer,TA1 4DY,"2,334,700.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON FIRE AUTHORITY,,,,5000175476,Grant Payable by Exchequer,BS1 6EU,"817,880.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARKING & DAGENHAM LB,,,,5000175506,Grant Payable by Exchequer,RM10 7BY,"3,847,942.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARNSLEY MBC,,,,5000175526,Grant Payable by Exchequer,S70 2AQ,"3,975,684.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,,,,5000175581,Grant Payable by Exchequer,MK42 7NR,"394,762.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDFORDSHIRE POLICE AUTH,,,,5000175586,Grant Payable by Exchequer,MK43 9AX,"1,061,934.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,ROYAL BERKSHIRE FIRE AUTHORITY,,,,5000175591,Grant Payable by Exchequer,RG30 4FS,"536,368.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BIRMINGHAM CITY CNCL,,,,5000175606,Grant Payable by Exchequer,B3 3AB,"25,079,983.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKBURN WITH DARWEN BC,,,,5000175631,Grant Payable by Exchequer,BB1 7DY,"2,995,302.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKPOOL BC,,,,5000175641,Grant Payable by Exchequer,FY1 1NA,"3,135,552.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOLTON MBC,,,,5000175661,Grant Payable by Exchequer,BL1 1RU,"4,645,991.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRADFORD MBC,,,,5000175701,Grant Payable by Exchequer,BD1 1HX,"9,937,172.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRENT LB,,,,5000175726,Grant Payable by Exchequer,HA9 9EZ,"6,019,971.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKS & MILTON KEYNES FIRE AUTH,,,,5000175820,Grant Payable by Exchequer,HP20 1BD,"379,904.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKINGHAMSHIRE CC,,,,5000175825,Grant Payable by Exchequer,HP20 1UD,"2,411,285.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,BURY MBC,,,,5000175845,Grant Payable by Exchequer,BL9 0SP,"2,460,535.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CALDERDALE MBC,,,,5000175855,Grant Payable by Exchequer,HX1 1YP,"2,988,849.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,,,,5000175870,Grant Payable by Exchequer,PE29 2NA,"474,286.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE POLICE AUT,,,,5000175875,Grant Payable by Exchequer,P18 8NP,"1,077,895.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE COUNTY CNCL,,,,5000175880,Grant Payable by Exchequer,CB3 0AP,"4,359,263.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE FIRE AUTHORITY,,,,5000175973,Grant Payable by Exchequer,CW7 2FQ,"677,392.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE POLICE AUTHORITY,,,,5000175978,Grant Payable by Exchequer,CW7 2UA,"1,931,486.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND FIRE AUTHORITY,,,,5000176052,Grant Payable by Exchequer,TS25 5TB,"734,956.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND POLICE AUTHORITY,,,,5000176057,Grant Payable by Exchequer,TS1 2JX,"1,678,662.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,COVENTRY CITY CNCL,,,,5000176102,Grant Payable by Exchequer,CV1 2QL,"5,743,248.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA COUNTY CNCL,,,,5000176142,Grant Payable by Exchequer,CA3 8NA,"5,752,172.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA POLICE AUTHORITY,,,,5000176147,Grant Payable by Exchequer,CA10 2AU,"1,310,831.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DARLINGTON BC,,,,5000175413,Grant Payable by Exchequer,TS19 1JA,"1,497,512.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBY CITY CNCL,,,,5000175437,Grant Payable by Exchequer,DE1 2FS,"4,104,261.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE FIRE AUTHORITY,,,,5000175447,Grant Payable by Exchequer,DE55 1RH,"654,056.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE POLICE AUTHORITY,,,,5000175452,Grant Payable by Exchequer,DE5 3RS,"1,663,308.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE COUNTYCOUNCIL,,,,5000175457,Grant Payable by Exchequer,DE4 3AH,"7,464,910.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & CORNWALL POLICE A,,,,5000175472,Grant Payable by Exchequer,EX2 5YT,"2,622,644.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON COUNTY CNCL,,,,5000175477,Grant Payable by Exchequer,EX2 4QJ,"6,744,807.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,,,,5000175483,Grant Payable by Exchequer,EX3 0NW,"1,120,990.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DONCASTER MBC,,,,5000175493,Grant Payable by Exchequer,DN1 2PN,"5,259,053.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET COUNTY CNCL,,,,5000175498,Grant Payable by Exchequer,DT1 1XJ,"2,373,292.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET FIRE AUTHORITY,,,,5000175503,Grant Payable by Exchequer,DT1 1FB,"394,893.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET POLICE AUTHORITY,,,,5000175509,Grant Payable by Exchequer,DT2 8DZ,"762,985.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DUDLEY MBC,,,,5000175527,Grant Payable by Exchequer,DY1 1HF,"4,648,571.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,CO DURHAM & DARLINGTON FIRE AND RES,,,,5000175532,Grant Payable by Exchequer,DH1 5UE,"477,102.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM POLICE AUTHORITY,,,,5000175537,Grant Payable by Exchequer,DH1 5TT,"1,610,131.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST RIDING OF YORKS,,,,5000175623,Grant Payable by Exchequer,HU17 9AB,"3,720,651.00",Yes
Communities & Local Government,DCLG,03/10/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX COUNTY CNCL,,,,5000175643,Grant Payable by Exchequer,BN7 1SF,"4,274,856.00",Yes
