FREEDOM OF INFORMATION,,
MOD Requests to 14 January 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,

Case Number,Date ,Request Summary
12-01-2011-114032-002,08/02/2011,"Information on the number of members of the Armed Forces who have gone absent without leave (AWOL) in 2010 provided on a month-by-month basis. If this is not available, please provide me with your latest figures."
12-01-2011-114656-003,09/02/2011,Equipment maintenance records for a specific weapon and armoured vehicle
12-01-2011-115110-004,08/02/2011,"Did the RAF/Air Ministry take steps during that test series to sample air in the El Adem/Tobruk area? If sampling was carried out, sight of the measurement data?"
12-01-2011-120706-005,09/02/2011,"I am looking for any archive film footage of RAF Station Hullavington, Chippenham in Wilts, now known as Buckley Barracks."
12-01-2011-121304-006,09/02/2011,"Information about RN and RM uniform regulations, including SBS uniform and insignia."
12-01-2011-121928-007,09/02/2011,Details on the memorials of all known servicemen that died during the Second Anglo Boer War 1899-1902.
12-01-2011-135050-001,08/02/2011,Information on when was the government informed that the Met Office expected a harder than normal winter.   
12-01-2011-135212-001,09/02/2011,Various statistics for Welsh units in the Army.
12-01-2011-140006-002,09/02/2011,The rank of the most senior officer currently qualified to fly the Typhoon or Tornado F3.
12-01-2011-140644-003,09/02/2011,"Details of instructions and requests  on ""The handling, dissemination, reporting or restriction of use of the private"" seasonal weather forecast supplied to the Cabinet Office by the Met Office for the winter of 2010-11."
12-01-2011-144427-004,09/02/2011,Data relating to the number of soldiers recruited from each part of the UK every year going back 30 years.
12-01-2011-145634-005,09/02/2011,Retained files on Storage and carriage of nuclear weapons.
12-01-2011-164646-001,09/02/2011,Information on whether an invitation to tender has recently been issued for the provision of forensic services to the Royal Military Police.
12-01-2011-165643-002,09/02/2011,"Information on a briefing authored by the Chief of the Air Staff regarding the possibility of the Royal Marines, the Brigade of Ghurkhas, and the Parachute Regiment becoming part of the Royal Air Force."
13-01-2011-094310-001,03/02/2011, A list of the documentation and reports held by DE about The REME Site.
13-01-2011-094708-002,07/02/2011,"Request all correspondence between DE and the Netheravon Shoot, and Durrington Shoot concerning Choulston Farm over the past 15 yrs. Also between any other 3rd parties and shooting over the farm."
13-01-2011-095707-003,01/02/2011,Information on a specified Service Family Accommodation
13-01-2011-103707-001,09/02/2011,SIB Report
13-01-2011-150325-001,10/02/2011,BOI into helicopter crash
13-01-2011-163400-001,01/02/2011,Copy of ACP 34 Volume 2 - Aircraft Handling
13-01-2011-185615-001,07/02/2011,AUS(GS) draft paper circulated under D/DS10/44/18 dated 7 December 1971 - including Annex B.
13-01-2011-190050-002,07/02/2011,MOD Daily Operational Summaries (OPSUM) for 12 - 14 November 1971 and 4 - 7 December 1971.
13-01-2011-190334-003,07/02/2011,Weekly Operational Summaries (including statistics) covering 12 -14 November 1971 and 4 - 7 December 1971.
13-01-2011-190649-004,07/02/2011,The monthly reports on Northern Ireland prepared by MO4 covering November and December 1971.
14-01-2011-104334-001,10/02/2011,"The complete 2010 Trident Value for Money (VFM) review, including all supporting paperwork"
14-01-2011-104638-002,10/02/2011,Number of DV requests carried out in the last 5 years including details on the most common reasons for refusal.
14-01-2011-110901-003,11/02/2011,"Details of armed forces personnel divorce figures for specified years broken down into RN, RAF and Army."
14-01-2011-122236-004,09/02/2011,Pay scales for MoD grades
14-01-2011-122741-005,09/02/2011,Information on a specified individual working at MDPGA AWE.
14-01-2011-123659-006,11/02/2011,A break down of MOD spending on outsourced defence contracts including how much MOD contracts last year were worth for Qinetiq and BAE Systems.
14-01-2011-131806-001,10/02/2011,Detailed information for the service personnel included in the mental health reports from when they began
14-01-2011-145532-001,09/02/2011,Information on a specified individual working at with the MDPGA at AWE? 
14-01-2011-150034-002,09/02/2011,"Please could I have a copy of the business case that was raised in 2010 in order to retain the Recruitment & Retention allowance, raised by AWE Divisional HQ"
14-01-2011-153914-003,11/02/2011,"Information on the total number of single mothers who have applied and been accepted to join the army since 5th March 2007 to  date, and the number of secretarial job vacancies available between March 2007 and June 2008 at the Rheindahlen Barracks in Monchengladbach, Germany."
14-01-2011-161708-004,11/02/2011,Please detail a breakdown of the entertainment bill for last year claimed by senior military officers.
14-01-2011-162258-005,11/02/2011,Any details regarding contracts for helicopter manufacturer Augusta Westland in the last two years.
14-01-2011-163632-006,10/02/2011,I wish to obtain details of agency staff working at St Athan near Barry.
14-01-2011-164405-007,11/02/2011,"Please detail the £100,864 spent on unplanned maintenance at official service residences last year:"
14-01-2011-165117-008,11/02/2011,Average weekly fixed wing aircraft movements at RAF Cosford 1/7/10 to 31/12/10.
